accession	cell	matched	density	identity	others_median	others_identity_median	n_others	diff
GCA_056824585.1	RYR	0	0	0.8052	0	0.8486	3	0
GCA_057876775.1	ITPR1	0	0	0.8767	0	0.8534	3	0
GCA_057876775.1	ITPR2	0	0	0.8127	0	0.8767	3	0
GCA_057876775.1	ITPR3	0	0.7605	0.8534	0	0.8767	3	0.7605
GCA_057876775.1	RYR	0	0	0.8899	0	0.8534	3	0
GCA_058224745.1	ITPR1	0	0	0.9842	0	0.9819	3	0
GCA_058224745.1	ITPR2	0	0	0.9819	0	0.9842	3	0
GCA_058224745.1	ITPR3	0	0	0.9948	0	0.9819	3	0
GCA_058224745.1	RYR	0	0	0.9783	0	0.9842	3	0
GCA_058707665.1	ITPR1	0	0	0.9612	0	0.8834	3	0
GCA_058707665.1	ITPR2	0	0	0.8696	0	0.9105	3	0
GCA_058707665.1	ITPR3	0	0	0.9105	0	0.8834	3	0
GCA_058707665.1	RYR	0	0	0.8834	0	0.9105	3	0
GCA_951230385.1	ITPR1	0	4.1746	0.9278	1.1912	0.9072	1	2.9834
GCA_951230385.1	RYR	0	1.1912	0.9072	4.1746	0.9278	1	-2.9834
GCA_965364685.1	ITPR1	0	0	0.9556	0.3702	0.8782	3	-0.3702
GCA_965364685.1	ITPR2	0	0.3702	0.8634	0	0.9011	3	0.3702
GCA_965364685.1	ITPR3	0	0.3785	0.9011	0	0.8782	3	0.3785
GCA_965364685.1	RYR	0	0	0.8782	0.3702	0.9011	3	-0.3702
GCA_980438365.1	ITPR1	0	0	0.9618	0	0.8714	3	0
GCA_980438365.1	ITPR2	0	0.3702	0.8714	0	0.9056	3	0.3702
GCA_980438365.1	ITPR3	0	0	0.9056	0	0.8714	3	0
GCA_980438365.1	RYR	0	0	0.8672	0	0.9056	3	0
GCA_984656905.1	ITPR1	0	0	0.9601	0.2016	0.8743	3	-0.2016
GCA_984656905.1	ITPR2	0	0.3702	0.8743	0	0.9076	3	0.3702
GCA_984656905.1	ITPR3	0	0	0.9076	0.2016	0.8743	3	-0.2016
GCA_984656905.1	RYR	0	0.2016	0.8728	0	0.9076	3	0.2016
GCA_987193245.1	ITPR1	0	0	0.9786	0	0.9693	3	0
GCA_987193245.1	ITPR2	0	0	0.9693	0	0.973	3	0
GCA_987193245.1	ITPR3	0	0	0.9682	0	0.973	3	0
GCA_987193245.1	RYR	0	0	0.973	0	0.9693	3	0
GCF_000001405.40	ITPR1	0	0	0.9993	0	1	3	0
GCF_000001405.40	ITPR2	0	0	1	0	0.9994	3	0
GCF_000001405.40	ITPR3	0	0	1	0	0.9994	3	0
GCF_000001405.40	RYR	0	0	0.9994	0	1	3	0
GCF_000001635.27	ITPR1	0	0	0.9989	0	1	3	0
GCF_000001635.27	ITPR2	0	0	1	0	0.9989	3	0
GCF_000001635.27	ITPR3	0	0	1	0	0.9989	3	0
GCF_000001635.27	RYR	0	0	0.9726	0	1	3	0
GCF_000004195.4	ITPR1	0	0	0.9993	0	1	3	0
GCF_000004195.4	ITPR2	0	0	1	0	0.9993	3	0
GCF_000004195.4	ITPR3	0	0	1	0	0.9993	3	0
GCF_000004195.4	RYR	0	0	0.999	0	1	3	0
GCF_000243295.1	ITPR1	0	0	0.9637	0	0.9674	3	0
GCF_000243295.1	ITPR2	0	0	0.8752	0	0.9674	3	0
GCF_000243295.1	ITPR3	0	0	0.9757	0	0.9637	3	0
GCF_000243295.1	RYR	0	0	0.9674	0	0.9637	3	0
GCF_000298275.1	ITPR1	0	0	0.9826	0	0.9753	3	0
GCF_000298275.1	ITPR2	0	0	0.9789	0	0.9753	3	0
GCF_000298275.1	ITPR3	0	0	0.9753	0	0.9789	3	0
GCF_000298275.1	RYR	0	0	0.9618	0	0.9789	3	0
GCF_000299155.1	ITPR1	0	0	0.9742	0	0.9734	3	0
GCF_000299155.1	ITPR2	0	0	0.9752	0	0.9734	3	0
GCF_000299155.1	ITPR3	0	0	0.9734	0	0.9742	3	0
GCF_000299155.1	RYR	0	0.2013	0.9687	0	0.9742	3	0.2013
GCF_000334495.1	ITPR1	0	0.3626	0.9785	0.3744	0.9568	3	-0.0118
GCF_000334495.1	ITPR2	0	0	0.9749	0.3744	0.9568	3	-0.3744
GCF_000334495.1	ITPR3	0	0.3744	0.9568	0.3626	0.9749	3	0.0118
GCF_000334495.1	RYR	0	0.3971	0.773	0.3626	0.9749	3	0.0345
GCF_000687185.1	ITPR1	0	0.3598	0.9888	0.2013	0.9765	3	0.1585
GCF_000687185.1	ITPR2	0	0	0.9768	0.3598	0.9765	3	-0.3598
GCF_000687185.1	ITPR3	0	0.3754	0.9765	0.2013	0.9768	3	0.1741
GCF_000687185.1	RYR	0	0.2013	0.6775	0.3598	0.9768	3	-0.1585
GCF_000687285.1	ITPR3	0	0.766	0.9697	0.4486	0.6859	1	0.3174
GCF_000687285.1	RYR	0	0.4486	0.6859	0.766	0.9697	1	-0.3174
GCF_000690535.1	ITPR1	0	0	0.9917	0	0.9897	1	0
GCF_000690535.1	ITPR3	0	0	0.9897	0	0.9917	1	0
GCF_000690775.1	ITPR1	0	0.3598	0.9888	0	0.9826	1	0.3598
GCF_000690775.1	ITPR3	0	0	0.9826	0.3598	0.9888	1	-0.3598
GCF_000691975.1	ITPR1	0	0	0.9856	0	0.9798	3	0
GCF_000691975.1	ITPR2	0	0	0.9798	0	0.9856	3	0
GCF_000691975.1	ITPR3	0	0	0.9929	0	0.9798	3	0
GCF_000691975.1	RYR	0	0.3971	0.6768	0	0.9856	3	0.3971
GCF_000695765.1	ITPR1	0	0	0.9903	0	0.9813	1	0
GCF_000695765.1	ITPR3	0	0	0.9813	0	0.9903	1	0
GCF_000695815.1	ITPR1	0	0.3618	0.9787	0.47305	0.9689	2	-0.11125
GCF_000695815.1	ITPR3	0	0.9461	0.9663	0.1809	0.9751	2	0.7652
GCF_000695815.1	RYR	0	0	0.9715	0.65395	0.9725	2	-0.65395
GCF_000696875.1	ITPR1	0	0	0.9895	0.3797	0.9655	1	-0.3797
GCF_000696875.1	ITPR3	0	0.3797	0.9655	0	0.9895	1	0.3797
GCF_000698965.1	ITPR1	0	0	0.9856	0.3754	0.9722	3	-0.3754
GCF_000698965.1	ITPR2	0	0	0.9709	0.3754	0.9739	3	-0.3754
GCF_000698965.1	ITPR3	0	0.3754	0.9739	0	0.9722	3	0.3754
GCF_000698965.1	RYR	0	0.4036	0.9722	0	0.9739	3	0.4036
GCF_000699105.1	ITPR1	0	0	0.9917	0.1985	0.9835	3	-0.1985
GCF_000699105.1	ITPR2	0	0	0.9835	0.1985	0.9856	3	-0.1985
GCF_000699105.1	ITPR3	0	0.3788	0.9856	0	0.9835	3	0.3788
GCF_000699105.1	RYR	0	0.1985	0.6727	0	0.9856	3	0.1985
GCF_000699145.1	ITPR1	0	0	0.9914	0	0.9841	3	0
GCF_000699145.1	ITPR2	0	0	0.9873	0	0.9841	3	0
GCF_000699145.1	ITPR3	0	0	0.9841	0	0.9873	3	0
GCF_000699145.1	RYR	0	0.1985	0.672	0	0.9873	3	0.1985
GCF_000699245.1	ITPR1	0	0	0.9911	0.13545	0.81315	2	-0.13545
GCF_000699245.1	ITPR3	0	0	0.9576	0.13545	0.8299	2	-0.13545
GCF_000699245.1	RYR	0	0.2709	0.6687	0	0.97435	2	0.2709
GCF_000700745.2	ITPR1	0	0.3628	0.988	0	0.9677	1	0.3628
GCF_000700745.2	ITPR3	0	0	0.9677	0.3628	0.988	1	-0.3628
GCF_000705375.1	ITPR1	0	0	0.986	0	0.9767	1	0
GCF_000705375.1	RYR	0	0	0.9767	0	0.986	1	0
GCF_000708025.1	ITPR1	0	0	0.9924	0	0.9834	3	0
GCF_000708025.1	ITPR2	0	0	0.9809	0	0.9871	3	0
GCF_000708025.1	ITPR3	0	0	0.9871	0	0.9834	3	0
GCF_000708025.1	RYR	0	0	0.9834	0	0.9871	3	0
GCF_000710305.1	ITPR3	0	0.3788	0.9727	0.2595	0.6727	1	0.1193
GCF_000710305.1	RYR	0	0.2595	0.6727	0.3788	0.9727	1	-0.1193
GCF_000747805.2	ITPR1	0	0	0.987	0	0.9841	3	0
GCF_000747805.2	ITPR2	0	0	0.9849	0	0.9841	3	0
GCF_000747805.2	ITPR3	0	0	0.9841	0	0.9849	3	0
GCF_000747805.2	RYR	0	0	0.6709	0	0.9849	3	0
GCF_001715985.3	ITPR1	0	0	0.9874	0	0.9811	3	0
GCF_001715985.3	ITPR2	0	0	0.9811	0	0.9868	3	0
GCF_001715985.3	ITPR3	0	0	0.9868	0	0.9811	3	0
GCF_001715985.3	RYR	0	0	0.6753	0	0.9868	3	0
GCF_003342845.1	ITPR1	0	0	0.987	0	0.9748	3	0
GCF_003342845.1	ITPR2	0	0	0.9748	0	0.9801	3	0
GCF_003342845.1	ITPR3	0	0	0.9801	0	0.9748	3	0
GCF_003342845.1	RYR	0	0.1985	0.6761	0	0.9801	3	0.1985
GCF_003668045.3	ITPR1	0	0	0.9956	0	0.9708	3	0
GCF_003668045.3	ITPR2	0	0	0.9708	0	0.9751	3	0
GCF_003668045.3	ITPR3	0	0	0.9678	0	0.9751	3	0
GCF_003668045.3	RYR	0	0	0.9751	0	0.9708	3	0
GCF_003957555.1	ITPR1	0	0	0.9878	0.3704	0.9722	3	-0.3704
GCF_003957555.1	ITPR2	0	0.3704	0.9814	0	0.9722	3	0.3704
GCF_003957555.1	ITPR3	0	1.5238	0.9644	0	0.9814	3	1.5238
GCF_003957555.1	RYR	0	0	0.9722	0.3704	0.9814	3	-0.3704
GCF_004115215.2	ITPR1	0	0	0.9637	0	0.9174	3	0
GCF_004115215.2	ITPR2	0	0	0.9178	0	0.9174	3	0
GCF_004115215.2	ITPR3	0	0	0.9148	0	0.9178	3	0
GCF_004115215.2	RYR	0	0.604	0.9174	0	0.9178	3	0.604
GCF_009764475.1	ITPR1	0	1.4545	0.8723	0.3702	0.8149	3	1.0843
GCF_009764475.1	ITPR2	0	0.3702	0.8149	0.3802	0.824	3	-0.01
GCF_009764475.1	ITPR3	0	0.3802	0.824	0.3702	0.8149	3	0.01
GCF_009764475.1	RYR	0	0.2015	0.6772	0.3802	0.824	3	-0.1787
GCF_009769465.1	ITPR1	0	0	0.991	0	0.9874	3	0
GCF_009769465.1	ITPR2	0	0	0.9874	0	0.9895	3	0
GCF_009769465.1	ITPR3	0	0.3754	0.9895	0	0.9874	3	0.3754
GCF_009769465.1	RYR	0	0	0.9819	0	0.9895	3	0
GCF_011004845.1	ITPR1	0	0	0.9201	0	0.8594	3	0
GCF_011004845.1	ITPR2	0	0	0.8035	0	0.8964	3	0
GCF_011004845.1	ITPR3	0	0	0.8594	0	0.8964	3	0
GCF_011004845.1	RYR	0	0	0.8964	0	0.8594	3	0
GCF_011004875.1	ITPR1	0	0	0.9917	0	0.9856	3	0
GCF_011004875.1	ITPR2	0	0	0.9856	0	0.9899	3	0
GCF_011004875.1	ITPR3	0	0	0.9899	0	0.9856	3	0
GCF_011004875.1	RYR	0	0	0.9845	0	0.9899	3	0
GCF_013368585.1	ITPR1	0	0	0.9109	0	0.8507	3	0
GCF_013368585.1	ITPR2	0	0	0.8081	0	0.9109	3	0
GCF_013368585.1	ITPR3	0	0	0.8507	0	0.9109	3	0
GCF_013368585.1	RYR	0	0	0.9198	0	0.8507	3	0
GCF_013368605.1	ITPR1	0	0	0.9906	0	0.9878	3	0
GCF_013368605.1	ITPR2	0	0	0.9878	0	0.9891	3	0
GCF_013368605.1	ITPR3	0	0	0.9891	0	0.9878	3	0
GCF_013368605.1	RYR	0	0	0.9817	0	0.9891	3	0
GCF_014839835.1	ITPR1	0	0	0.9845	0	0.9716	3	0
GCF_014839835.1	ITPR2	0	0	0.9582	0	0.9763	3	0
GCF_014839835.1	ITPR3	0	0	0.9716	0	0.9763	3	0
GCF_014839835.1	RYR	0	0	0.9763	0	0.9716	3	0
GCF_016433145.1	ITPR1	0	0.3626	0.9264	0	0.9448	3	0.3626
GCF_016433145.1	ITPR2	0	0	0.9448	0	0.9264	3	0
GCF_016433145.1	ITPR3	0	0	0.9128	0	0.9448	3	0
GCF_016433145.1	RYR	0	0	0.9622	0	0.9264	3	0
GCF_016699485.2	ITPR1	0	0	1	0	1	3	0
GCF_016699485.2	ITPR2	0	0	1	0	1	3	0
GCF_016699485.2	ITPR3	0	0	1	0	1	3	0
GCF_016699485.2	RYR	0	0	1	0	1	3	0
GCF_016859285.1	ITPR1	0	0	0.9659	0	0.8775	3	0
GCF_016859285.1	ITPR2	0	0.3702	0.8775	0	0.9064	3	0.3702
GCF_016859285.1	ITPR3	0	0	0.9064	0	0.8775	3	0
GCF_016859285.1	RYR	0	0	0.81	0	0.9064	3	0
GCF_017639515.1	ITPR1	0	0	0.8759	0.2007	0.8501	3	-0.2007
GCF_017639515.1	ITPR2	0	0	0.8086	0.2007	0.8734	3	-0.2007
GCF_017639515.1	ITPR3	0	0.3802	0.8501	0	0.8734	3	0.3802
GCF_017639515.1	RYR	0	0.2007	0.8734	0	0.8501	3	0.2007
GCF_017654505.1	ITPR1	0	0	0.8856	0	0.8327	3	0
GCF_017654505.1	ITPR2	0	0.7407	0.8327	0	0.8856	3	0.7407
GCF_017654505.1	ITPR3	0	0	0.7998	0	0.8856	3	0
GCF_017654505.1	RYR	0	0	0.8865	0	0.8327	3	0
GCF_017976375.1	ITPR1	0	0	0.9867	0	0.9815	3	0
GCF_017976375.1	ITPR2	0	0	0.9815	0	0.9861	3	0
GCF_017976375.1	ITPR3	0	0	0.9861	0	0.9815	3	0
GCF_017976375.1	RYR	0	0	0.9807	0	0.9861	3	0
GCF_018139145.2	ITPR1	0	0	0.9914	0	0.9873	3	0
GCF_018139145.2	ITPR2	0	0	0.9915	0	0.9873	3	0
GCF_018139145.2	ITPR3	0	1.1261	0.9873	0	0.9914	3	1.1261
GCF_018139145.2	RYR	0	0	0.9845	0	0.9914	3	0
GCF_018320785.1	ITPR1	0	0.3639	0.9571	0.2016	0.869	3	0.1623
GCF_018320785.1	ITPR2	0	0.3702	0.869	0.2016	0.9025	3	0.1686
GCF_018320785.1	ITPR3	0	0	0.9025	0.3639	0.869	3	-0.3639
GCF_018320785.1	RYR	0	0.2016	0.8602	0.3639	0.9025	3	-0.1623
GCF_018691265.1	ITPR1	0	0	0.9903	0	0.9881	3	0
GCF_018691265.1	ITPR2	0	0.3704	0.9881	0	0.9903	3	0.3704
GCF_018691265.1	ITPR3	0	0	0.991	0	0.9881	3	0
GCF_018691265.1	RYR	0	0	0.9835	0	0.9903	3	0
GCF_018977255.1	ITPR1	0	0	0.8704	0.3747	0.9972	3	-0.3747
GCF_018977255.1	ITPR2	0	0.3747	0.8119	0	0.9972	3	0.3747
GCF_018977255.1	ITPR3	0	0.3802	0.9972	0	0.8704	3	0.3802
GCF_018977255.1	RYR	0	0	0.9984	0.3747	0.8704	3	-0.3747
GCF_019279795.1	ITPR1	0	0	0.8021	0	0.8144	3	0
GCF_019279795.1	ITPR2	0	0	0.8144	0	0.8021	3	0
GCF_019279795.1	ITPR3	0	0	0.79	0	0.8144	3	0
GCF_019279795.1	RYR	0	0	0.882	0	0.8021	3	0
GCF_019393635.1	ITPR1	0	0	0.972	0	0.9496	3	0
GCF_019393635.1	ITPR2	0	0	0.9496	0	0.9578	3	0
GCF_019393635.1	ITPR3	0	0	0.942	0	0.9578	3	0
GCF_019393635.1	RYR	0	2.6173	0.9578	0	0.9496	3	2.6173
GCF_019740435.1	ITPR1	0	0	0.9067	0	0.8635	3	0
GCF_019740435.1	ITPR2	0	1.1107	0.7961	0	0.8809	3	1.1107
GCF_019740435.1	ITPR3	0	0	0.8809	0	0.8635	3	0
GCF_019740435.1	RYR	0	0	0.8635	0	0.8809	3	0
GCF_020171115.1	ITPR1	0	0	0.9865	0	0.9763	3	0
GCF_020171115.1	ITPR2	0	0	0.9763	0	0.9821	3	0
GCF_020171115.1	ITPR3	0	0	0.9738	0	0.9821	3	0
GCF_020171115.1	RYR	0	0	0.9821	0	0.9763	3	0
GCF_020740795.1	ITPR1	0	0	0.9896	0	0.9841	3	0
GCF_020740795.1	ITPR2	0	0	0.9841	0	0.9869	3	0
GCF_020740795.1	ITPR3	0	0	0.9869	0	0.9841	3	0
GCF_020740795.1	RYR	0	0	0.9801	0	0.9869	3	0
GCF_020826845.1	ITPR1	0	0	0.9855	0	0.9811	3	0
GCF_020826845.1	ITPR2	0	0	0.9811	0	0.9849	3	0
GCF_020826845.1	ITPR3	0	0	0.976	0	0.9849	3	0
GCF_020826845.1	RYR	0	0	0.9849	0	0.9811	3	0
GCF_021028975.2	ITPR1	0	0.7281	0.8344	0.5956	0.9463	3	0.1325
GCF_021028975.2	ITPR2	0	1.1107	0.9472	0.5956	0.8344	3	0.5151
GCF_021028975.2	ITPR3	0	0.3932	0.9463	0.7281	0.8344	3	-0.3349
GCF_021028975.2	RYR	0	0.5956	0.6747	0.7281	0.9463	3	-0.1325
GCF_021292245.1	ITPR1	0	0	0.9544	0	0.8807	3	0
GCF_021292245.1	ITPR2	0	0.3702	0.8729	0	0.9001	3	0.3702
GCF_021292245.1	ITPR3	0	0	0.9001	0	0.8807	3	0
GCF_021292245.1	RYR	0	0	0.8807	0	0.9001	3	0
GCF_021613505.1	ITPR1	0	0	0.9884	0	0.9819	3	0
GCF_021613505.1	ITPR2	0	0	0.9819	0	0.9837	3	0
GCF_021613505.1	ITPR3	0	0	0.9779	0	0.9837	3	0
GCF_021613505.1	RYR	0	0	0.9837	0	0.9819	3	0
GCF_023634155.1	ITPR1	0	0	0.9924	0	0.9896	3	0
GCF_023634155.1	ITPR2	0	0	0.9896	0	0.9899	3	0
GCF_023634155.1	ITPR3	0	0	0.9899	0	0.9896	3	0
GCF_023634155.1	RYR	0	0	0.9825	0	0.9899	3	0
GCF_023851605.1	ITPR1	0	0	0.983	0	0.9789	3	0
GCF_023851605.1	ITPR2	0	0	0.9789	0	0.9793	3	0
GCF_023851605.1	ITPR3	0	0	0.9626	0	0.9793	3	0
GCF_023851605.1	RYR	0	0	0.9793	0	0.9789	3	0
GCF_024166365.1	ITPR1	0	0	0.9855	0	0.9793	3	0
GCF_024166365.1	ITPR2	0	0	0.9815	0	0.9793	3	0
GCF_024166365.1	ITPR3	0	0	0.9738	0	0.9815	3	0
GCF_024166365.1	RYR	0	0	0.9793	0	0.9815	3	0
GCF_025201925.1	ITPR1	0	0	0.8932	0	0.9414	3	0
GCF_025201925.1	ITPR2	0	0	0.9526	0	0.8932	3	0
GCF_025201925.1	ITPR3	0	0	0.9414	0	0.8932	3	0
GCF_025201925.1	RYR	0	0	0.8399	0	0.9414	3	0
GCF_027244095.1	ITPR1	0	0	0.9807	0	0.9441	3	0
GCF_027244095.1	ITPR2	0	0.3702	0.9441	0	0.9618	3	0.3702
GCF_027244095.1	ITPR3	0	0	0.9618	0	0.9441	3	0
GCF_027244095.1	RYR	0	0	0.852	0	0.9618	3	0
GCF_027409185.1	ITPR1	0	0	0.988	0	0.9805	3	0
GCF_027409185.1	ITPR2	0	0	0.9815	0	0.9805	3	0
GCF_027409185.1	ITPR3	0	0	0.976	0	0.9815	3	0
GCF_027409185.1	RYR	0	0	0.9805	0	0.9815	3	0
GCF_027409825.1	ITPR1	0	0	0.9629	0	0.8808	3	0
GCF_027409825.1	ITPR2	0	0.7405	0.8673	0	0.888	3	0.7405
GCF_027409825.1	ITPR3	0	0	0.888	0	0.8808	3	0
GCF_027409825.1	RYR	0	0	0.8808	0	0.888	3	0
GCF_027579695.1	ITPR1	0	0	0.929	0	0.833	3	0
GCF_027579695.1	ITPR2	0	0	0.8259	0	0.9261	3	0
GCF_027579695.1	ITPR3	0	0	0.833	0	0.9261	3	0
GCF_027579695.1	RYR	0	0	0.9261	0	0.833	3	0
GCF_027579735.1	ITPR1	0	0	0.9189	1.5882	0.9127	3	-1.5882
GCF_027579735.1	ITPR2	0	0	0.9234	1.5882	0.9127	3	-1.5882
GCF_027579735.1	ITPR3	0	13.8421	0.8812	0	0.9189	3	13.8421
GCF_027579735.1	RYR	0	1.5882	0.9127	0	0.9189	3	1.5882
GCF_027595985.1	ITPR1	0	0	0.9585	0	0.9558	3	0
GCF_027595985.1	ITPR2	0	0.7405	0.9158	0	0.9585	3	0.7405
GCF_027595985.1	ITPR3	0	0	0.9558	0	0.9585	3	0
GCF_027595985.1	RYR	0	0	0.9767	0	0.9558	3	0
GCF_028372415.1	ITPR1	0	0	0.9692	0	0.9504	3	0
GCF_028372415.1	ITPR2	0	0	0.9504	0	0.9612	3	0
GCF_028372415.1	ITPR3	0	0	0.9397	0	0.9612	3	0
GCF_028372415.1	RYR	0	0	0.9612	0	0.9504	3	0
GCF_028389875.1	ITPR1	0	0	0.9896	0	0.9833	3	0
GCF_028389875.1	ITPR2	0	0	0.9833	0	0.9876	3	0
GCF_028389875.1	ITPR3	0	0	0.9876	0	0.9833	3	0
GCF_028389875.1	RYR	0	0	0.9785	0	0.9876	3	0
GCF_028858725.1	ITPR1	0	0	0.9885	0	0.9826	3	0
GCF_028858725.1	ITPR2	0	0	0.9826	0	0.9835	3	0
GCF_028858725.1	ITPR3	0	0	0.9835	0	0.9826	3	0
GCF_028858725.1	RYR	0	0.1985	0.6725	0	0.9835	3	0.1985
GCF_029633855.1	ITPR1	0	0	0.9308	0	0.8149	3	0
GCF_029633855.1	ITPR2	0	0	0.8149	0	0.8435	3	0
GCF_029633855.1	ITPR3	0	0	0.8435	0	0.8149	3	0
GCF_029633855.1	RYR	0	0	0.8053	0	0.8435	3	0
GCF_029633865.1	ITPR1	0	0	0.9473	0.3702	0.8575	3	-0.3702
GCF_029633865.1	ITPR2	0	0.3702	0.8575	0	0.87	3	0.3702
GCF_029633865.1	ITPR3	0	3.0075	0.5153	0	0.87	3	3.0075
GCF_029633865.1	RYR	0	0	0.87	0.3702	0.8575	3	-0.3702
GCF_030020395.1	ITPR1	0	0	0.9833	0	0.9716	3	0
GCF_030020395.1	ITPR2	0	0	0.9678	0	0.9753	3	0
GCF_030020395.1	ITPR3	0	0	0.9716	0	0.9753	3	0
GCF_030020395.1	RYR	0	0	0.9753	0	0.9716	3	0
GCF_030445035.2	ITPR1	0	0	0.9837	0	0.9648	3	0
GCF_030445035.2	ITPR2	0	0	0.9648	0	0.9755	3	0
GCF_030445035.2	ITPR3	0	0.3744	0.9501	0	0.9755	3	0.3744
GCF_030445035.2	RYR	0	0	0.9755	0	0.9648	3	0
GCF_030463565.1	ITPR1	0	0	0.9917	0	0.9882	3	0
GCF_030463565.1	ITPR2	0	0	0.9882	0	0.9895	3	0
GCF_030463565.1	ITPR3	0	0	0.9895	0	0.9882	3	0
GCF_030463565.1	RYR	0	0	0.9859	0	0.9895	3	0
GCF_030490865.1	ITPR1	0	0	0.9827	0	0.9807	3	0
GCF_030490865.1	ITPR2	0	0	0.9807	0	0.9827	3	0
GCF_030490865.1	ITPR3	0	0	0.9974	0	0.9807	3	0
GCF_030490865.1	RYR	0	0	0.9785	0	0.9827	3	0
GCF_030867095.1	ITPR1	0	0	0.9659	0	0.9552	3	0
GCF_030867095.1	ITPR2	0	0	0.9552	0	0.9659	3	0
GCF_030867095.1	ITPR3	0	0	0.952	0	0.9659	3	0
GCF_030867095.1	RYR	0	0	0.9946	0	0.9552	3	0
GCF_030867145.1	ITPR1	0	0	0.9888	0	0.9841	3	0
GCF_030867145.1	ITPR2	0	0	0.9841	0	0.9884	3	0
GCF_030867145.1	ITPR3	0	0	0.9884	0	0.9841	3	0
GCF_030867145.1	RYR	0	0	0.9807	0	0.9884	3	0
GCF_030936135.1	ITPR1	0	0	0.9924	0	0.9889	3	0
GCF_030936135.1	ITPR2	0	0	0.9889	0	0.9899	3	0
GCF_030936135.1	ITPR3	0	0	0.9899	0	0.9889	3	0
GCF_030936135.1	RYR	0	0	0.9829	0	0.9899	3	0
GCF_033026475.1	ITPR1	0	0.3639	0.9431	0	0.8724	3	0.3639
GCF_033026475.1	ITPR2	0	0.3702	0.8588	0	0.902	3	0.3702
GCF_033026475.1	ITPR3	0	0	0.902	0.3639	0.8724	3	-0.3639
GCF_033026475.1	RYR	0	0	0.8724	0.3639	0.902	3	-0.3639
GCF_033807715.1	ITPR1	0	0.3639	0.9447	0	0.8567	3	0.3639
GCF_033807715.1	ITPR2	0	0.7405	0.8567	0	0.8897	3	0.7405
GCF_033807715.1	ITPR3	0	0	0.8897	0.3639	0.8567	3	-0.3639
GCF_033807715.1	RYR	0	0	0.8043	0.3639	0.8897	3	-0.3639
GCF_033978785.1	ITPR1	0	0	0.9415	0	0.8353	3	0
GCF_033978785.1	ITPR2	0	0	0.8124	0	0.8854	3	0
GCF_033978785.1	ITPR3	0	0	0.8854	0	0.8353	3	0
GCF_033978785.1	RYR	0	0	0.8353	0	0.8854	3	0
GCF_034619465.1	ITPR1	0	0	0.9903	0	0.9889	3	0
GCF_034619465.1	ITPR2	0	0	0.9889	0	0.9899	3	0
GCF_034619465.1	ITPR3	0	0	0.9899	0	0.9889	3	0
GCF_034619465.1	RYR	0	0	0.9817	0	0.9899	3	0
GCF_034638445.1	ITPR1	0	0	0.9921	0	0.99	3	0
GCF_034638445.1	ITPR2	0	0	0.99	0	0.9902	3	0
GCF_034638445.1	ITPR3	0	0	0.9902	0	0.99	3	0
GCF_034638445.1	RYR	0	0	0.9843	0	0.9902	3	0
GCF_034702125.1	ITPR1	0	0	0.8786	0	0.8087	3	0
GCF_034702125.1	ITPR2	0	0	0.8087	0	0.8786	3	0
GCF_034702125.1	ITPR3	0	0	0.8021	0	0.8786	3	0
GCF_034702125.1	RYR	0	0	0.8787	0	0.8087	3	0
GCF_035084215.1	ITPR1	0	0	0.876	0	0.811	3	0
GCF_035084215.1	ITPR2	0	0	0.811	0	0.8577	3	0
GCF_035084215.1	ITPR3	0	0.3802	0.8577	0	0.811	3	0.3802
GCF_035084215.1	RYR	0	0	0.6696	0	0.8577	3	0
GCF_035582795.1	ITPR1	0	0	0.9932	0	0.9891	3	0
GCF_035582795.1	ITPR2	0	0	0.9893	0	0.9891	3	0
GCF_035582795.1	ITPR3	0	0	0.9891	0	0.9893	3	0
GCF_035582795.1	RYR	0	0	0.9843	0	0.9893	3	0
GCF_035609145.1	ITPR1	0	0.3646	0.9304	0	0.8915	3	0.3646
GCF_035609145.1	ITPR2	0	0	0.8915	0	0.9215	3	0
GCF_035609145.1	ITPR3	0	0	0.886	0	0.9215	3	0
GCF_035609145.1	RYR	0	0	0.9215	0	0.8915	3	0
GCF_036013445.1	ITPR1	0	0	0.9914	0	0.9827	3	0
GCF_036013445.1	ITPR2	0	0	0.9885	0	0.9827	3	0
GCF_036013445.1	ITPR3	0	0	0.9769	0	0.9885	3	0
GCF_036013445.1	RYR	0	0	0.9827	0	0.9885	3	0
GCF_036365525.1	ITPR1	0	0	0.8784	0.3702	0.8149	3	-0.3702
GCF_036365525.1	ITPR2	0	0.3702	0.8149	0.1985	0.8483	3	0.1717
GCF_036365525.1	ITPR3	0	0.7605	0.8483	0.1985	0.8149	3	0.562
GCF_036365525.1	RYR	0	0.1985	0.6693	0.3702	0.8483	3	-0.1717
GCF_036370855.1	ITPR1	0	0	0.9906	0	0.9841	3	0
GCF_036370855.1	ITPR2	0	0	0.9841	0	0.9891	3	0
GCF_036370855.1	ITPR3	0	0	0.9891	0	0.9841	3	0
GCF_036370855.1	RYR	0	0	0.9789	0	0.9891	3	0
GCF_036373705.1	ITPR1	0	0	0.9096	0	0.8297	3	0
GCF_036373705.1	ITPR2	0	0	0.8125	0	0.9043	3	0
GCF_036373705.1	ITPR3	0	0	0.8297	0	0.9043	3	0
GCF_036373705.1	RYR	0	0	0.9043	0	0.8297	3	0
GCF_036417535.1	ITPR1	0	0	0.9881	0	0.9874	3	0
