accession	organism	vclass	contig_n50	contig_spans_gene	control_ok	state_ITPR1	state_ITPR2	state_ITPR3	synteny_ITPR1	synteny_ITPR2	synteny_ITPR3
GCF_030867145.1	Opisthocomus hoazin	Aves	14274197	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013400995.1	Oreotrochilus melanogaster	Aves	7679	0	1	present_truncated	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013397895.1	Origma solitaria	Aves	99117	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013400675.1	Oxylabes madagascariensis	Aves	3531	0	1	present_fragmented	present_truncated	present_truncated	no_neighbourhood	not_asked	not_asked
GCA_013399855.1	Oxyruncus cristatus	Aves	75750	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013400915.1	Pardalotus punctatus	Aves	83169	0	1	present_truncated	present_truncated	present_truncated	not_asked	not_asked	not_asked
GCA_013398155.1	Pedionomus torquatus	Aves	36855	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_030463565.1	Pelecanus crispus	Aves	9666746	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_964289735.1	Phaethon aethereus	Aves	2122569	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_000687285.1	Phaethon lepturus	Aves	22941	0	1	present_truncated	present_truncated	present_single_locus	not_asked	not_asked	not_asked
GCF_963921805.1	Phalacrocorax carbo	Aves	4631399	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	14700712	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_965183815.1	Platalea leucorodia	Aves	3299000	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_000699545.1	Podiceps cristatus	Aves	17412	0	1	present_truncated	present_partial	present_single_locus	not_asked	not_asked	not_asked
GCA_013399565.1	Podilymbus podiceps	Aves	35810	0	1	present_single_locus	present_truncated	present_single_locus	not_asked	not_asked	not_asked
GCF_030490865.1	Poecile atricapillus	Aves	8462732	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013397295.1	Polioptila caerulea	Aves	50944	0	1	present_fragmented	present_single_locus	present_single_locus	corroborated	not_asked	not_asked
GCA_013401195.1	Pomatorhinus ruficollis	Aves	60017	0	1	present_fragmented	present_single_locus	present_fragmented	no_neighbourhood	not_asked	no_neighbourhood
GCA_013400735.1	Pomatostomus ruficeps	Aves	34780	0	1	present_fragmented	present_truncated	present_single_locus	no_neighbourhood	not_asked	not_asked
GCA_013396835.1	Psilopogon haemacephalus	Aves	36269	0	1	present_single_locus	present_truncated	present_single_locus	not_asked	not_asked	not_asked
GCA_013397535.1	Pterocles burchelli	Aves	43196	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_000699245.1	Pterocles gutturalis	Aves	26448	0	1	present_single_locus	present_partial	present_single_locus	not_asked	not_asked	not_asked
GCA_013396485.1	Ptilorrhoa leucosticta	Aves	77643	0	1	present_single_locus	present_single_locus	present_truncated	not_asked	not_asked	not_asked
GCF_000699105.1	Pygoscelis adeliae	Aves	22195	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013399035.1	Quiscalus mexicanus	Aves	60532	0	1	present_truncated	present_truncated	present_single_locus	not_asked	not_asked	not_asked
GCF_028389875.1	Rhea pennata	Aves	19335416	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013399305.1	Rostratula benghalensis	Aves	78725	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013400415.1	Scytalopus superciliaris	Aves	60031	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013399775.1	Semnornis frantzii	Aves	8608	0	1	present_fragmented	present_fragmented	present_single_locus	no_neighbourhood	no_neighbourhood	not_asked
GCA_013399895.1	Serilophus lunatus	Aves	89885	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013397395.1	Sinosuthora webbiana	Aves	78603	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013396465.1	Smithornis capensis	Aves	67220	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_056776345.1	Spizella passerina	Aves	5055426	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_054099775.1	Steatornis caripensis	Aves	44324291	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_047716275.1	Strix uralensis	Aves	16359274	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_040807025.1	Struthio camelus	Aves	28829471	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_000698965.1	Struthio camelus australis	Aves	34997	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_014839755.1	Sylvia borin	Aves	31914676	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_009769465.1	Tauraco erythrolophus	Aves	11927027	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013400895.1	Thalassarche chlororhynchos	Aves	23404	0	1	present_single_locus	present_fragmented	present_single_locus	not_asked	no_neighbourhood	not_asked
GCA_013397245.1	Thryothorus ludovicianus	Aves	60402	0	1	present_truncated	present_single_locus	present_truncated	not_asked	not_asked	not_asked
GCA_013390105.1	Tichodroma muraria	Aves	14901	0	1	present_fragmented	present_fragmented	present_single_locus	no_neighbourhood	no_neighbourhood	not_asked
GCF_000705375.1	Tinamus guttatus	Aves	29773	0	1	present_single_locus	present_fragmented	present_truncated	not_asked	corroborated	not_asked
GCA_013389965.1	Todus mexicanus	Aves	8743	0	1	present_fragmented	present_fragmented	present_single_locus	no_neighbourhood	no_neighbourhood	not_asked
GCA_013399735.1	Tyrannus savana	Aves	72317	0	1	present_single_locus	present_truncated	present_single_locus	not_asked	not_asked	not_asked
GCF_018691265.1	Tyto alba	Aves	17955177	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013401255.1	Urocolius indicus	Aves	94415	0	1	present_single_locus	present_truncated	present_truncated	not_asked	not_asked	not_asked
GCA_013396875.1	Vireo altiloquus	Aves	121572	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_013399795.1	Zosterops hypoxanthus	Aves	48044	0	1	present_truncated	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_018977255.1	Callorhinchus milii	Chondrichthyes	1626615	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_017639515.1	Carcharodon carcharias	Chondrichthyes	6544962	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_047496795.1	Chiloscyllium punctatum	Chondrichthyes	5342658	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_057876775.1	Echinorhinus cookei	Chondrichthyes	2278199	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_048418815.1	Hemitrygon akajei	Chondrichthyes	8940806	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_035084215.1	Heptranchias perlo	Chondrichthyes	4905566	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_036365525.1	Heterodontus francisci	Chondrichthyes	3418954	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_036971445.1	Narcine bancroftii	Chondrichthyes	5195315	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_009764475.1	Pristis pectinata	Chondrichthyes	17009522	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_963514005.1	Raja brachyura	Chondrichthyes	2048057	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_047496885.1	Scyliorhinus torazame	Chondrichthyes	3187150	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_052327205.1	Somniosus microcephalus	Chondrichthyes	1075145	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_900747795.2	Erpetoichthys calabaricus	Cladistia	6772339	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_037176945.1	Latimeria chalumnae	Coelacanthimorpha	42076942	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_030867095.1	Alligator mississippiensis	Crocodylia	38556409	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_019279795.1	Protopterus annectens	Dipnoi	1603140	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_048934315.1	Petromyzon marinus	Hyperoartia	4594409	1	1	present_single_locus	paralog_unassignable	paralog_unassignable	not_asked	not_asked	not_asked
GCA_018340635.1	Bothrops jararaca	Lepidosauria	162550	1	1	present_single_locus	present_fragmented	present_single_locus	not_asked	not_asked	not_asked
GCF_027244095.1	Hemicordylus capensis	Lepidosauria	160691000	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_004320025.1	Laticauda laticaudata	Lepidosauria	35581	0	1	present_truncated	present_truncated	present_truncated	not_asked	not_asked	not_asked
GCF_021028975.2	Sphaerodactylus townsendi	Lepidosauria	9459502	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_003113815.1	Sphenodon punctatus	Lepidosauria	27065	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	7944	0	1	present_single_locus	present_single_locus	present_fragmented	not_asked	not_asked	no_neighbourhood
GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	268660	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_951640355.1	Cnephaeus nilssonii	Mammalia	2474537	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_003668045.3	Cricetulus griseus	Mammalia	2711962	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_027409185.1	Cynocephalus volans	Mammalia	69195939	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_030445035.2	Dasypus novemcinctus	Mammalia	13963394	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_020826845.1	Diceros bicornis minor	Mammalia	28468213	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_019393635.1	Dromiciops gliroides	Mammalia	38230856	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_000299155.1	Elephantulus edwardii	Mammalia	24219	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_024166365.1	Elephas maximus indicus	Mammalia	87987108	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_021613505.1	Equus quagga	Mammalia	427941	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_054371585.1	Giraffa tippelskirchi	Mammalia	166642423	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_016433145.1	Gracilinanus agilis	Mammalia	73170	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_028571685.1	Heterohyrax brucei	Mammalia	78495281	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_000001405.40	Homo sapiens	Mammalia	57879411	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_054644205.1	Lestoros inca	Mammalia	11940304	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_049350105.2	Macaca mulatta	Mammalia	162285572	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_037893015.1	Macrotis lagotis	Mammalia	1227456	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_030020395.1	Manis pentadactyla	Mammalia	25547713	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_000001635.27	Mus musculus	Mammalia	59462871	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_020171115.1	Neogale vison	Mammalia	220349319	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_028372415.1	Notamacropus eugenii	Mammalia	15255043	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_048126345.2	Notoryctes typhlops	Mammalia	84282059	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	15146802	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_000298275.1	Orycteropus afer afer	Mammalia	17683	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_964237555.1	Oryctolagus cuniculus	Mammalia	2030165	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_987193245.1	Pontoporia blainvillei	Mammalia	20985247	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_023764695.1	Pygathrix nigripes	Mammalia	14260291	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_036850765.1	Saccopteryx bilineata	Mammalia	20156883	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_031835075.1	Saguinus oedipus	Mammalia	91852676	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_048593235.1	Sminthopsis crassicaudata	Mammalia	4359487	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_027595985.1	Sorex araneus	Mammalia	4024507	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCA_007760645.1	Sousa chinensis	Mammalia	113766	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_023851605.1	Tamandua tetradactyla	Mammalia	9869167	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_050624435.1	Tenrec ecaudatus	Mammalia	41601014	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_000243295.1	Trichechus manatus latirostris	Mammalia	37750	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_000334495.1	Tupaia belangeri chinensis	Mammalia	25938	0	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
GCF_964187855.1	Myxine glutinosa	Myxini	739991	1	1	present_single_locus	paralog_unassignable	paralog_unassignable	not_asked	not_asked	not_asked
GCF_025201925.1	Gopherus flavomarginatus	Testudines	6917139	1	1	present_single_locus	present_single_locus	present_single_locus	not_asked	not_asked	not_asked
