panel	accession	organism	vclass	cell	full_found	full_coverage	full_bait	panel_found	panel_coverage	panel_bait	direction	full_coverage_distance_from_bar
basal_only	GCA_013399795.1	Zosterops hypoxanthus	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
basal_only	GCA_013399795.1	Zosterops hypoxanthus	Aves	ITPR3	1	0.9809	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.2809
basal_only	GCA_013399795.1	Zosterops hypoxanthus	Aves	RYR	1	0.7558	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.0558
no_ryr_control	GCA_013399795.1	Zosterops hypoxanthus	Aves	RYR	1	0.7558	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.0558
human_only	GCA_013399795.1	Zosterops hypoxanthus	Aves	ITPR1	0	0.6956	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1	0.703	Q14643|ITPR1|Homo_sapiens|ITPR1	gain	0.0044
drop_bird	GCA_013399795.1	Zosterops hypoxanthus	Aves	ITPR1	0	0.6956	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1	0.7022	A0A670JBK6|ITPR1|Podarcis_muralis	gain	0.0044
drop_ITPR2_baits	GCA_013399795.1	Zosterops hypoxanthus	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
drop_ITPR3_baits	GCA_013399795.1	Zosterops hypoxanthus	Aves	ITPR3	1	0.9809	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.2809
basal_only	GCA_013399855.1	Oxyruncus cristatus	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
basal_only	GCA_013399855.1	Oxyruncus cristatus	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
basal_only	GCA_013399855.1	Oxyruncus cristatus	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013399855.1	Oxyruncus cristatus	Aves	RYR	1	0.8893	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.1893
no_ryr_control	GCA_013399855.1	Oxyruncus cristatus	Aves	RYR	1	0.8893	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.1893
drop_ITPR1_baits	GCA_013399855.1	Oxyruncus cristatus	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
drop_ITPR2_baits	GCA_013399855.1	Oxyruncus cristatus	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
drop_ITPR3_baits	GCA_013399855.1	Oxyruncus cristatus	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013399895.1	Serilophus lunatus	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
basal_only	GCA_013399895.1	Serilophus lunatus	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
basal_only	GCA_013399895.1	Serilophus lunatus	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013399895.1	Serilophus lunatus	Aves	RYR	1	1.0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.3
no_ryr_control	GCA_013399895.1	Serilophus lunatus	Aves	RYR	1	1.0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.3
drop_ITPR1_baits	GCA_013399895.1	Serilophus lunatus	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
drop_ITPR2_baits	GCA_013399895.1	Serilophus lunatus	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
drop_ITPR3_baits	GCA_013399895.1	Serilophus lunatus	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013400075.1	Hippolais icterina	Aves	ITPR2	1	0.9885	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.2885
basal_only	GCA_013400075.1	Hippolais icterina	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013400075.1	Hippolais icterina	Aves	RYR	1	0.93	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.23
no_ryr_control	GCA_013400075.1	Hippolais icterina	Aves	RYR	1	0.93	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.23
drop_ITPR2_baits	GCA_013400075.1	Hippolais icterina	Aves	ITPR1	0	0.5185	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1	0.9788	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	gain	0.1815
drop_ITPR2_baits	GCA_013400075.1	Hippolais icterina	Aves	ITPR2	1	0.9885	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.2885
drop_ITPR3_baits	GCA_013400075.1	Hippolais icterina	Aves	ITPR1	0	0.5185	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1	0.9975	P11881|Itpr1|Mus_musculus|ITPR1	gain	0.1815
drop_ITPR3_baits	GCA_013400075.1	Hippolais icterina	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013400195.1	Aramus guarauna	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
basal_only	GCA_013400195.1	Aramus guarauna	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
basal_only	GCA_013400195.1	Aramus guarauna	Aves	ITPR3	1	1.0	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.3
basal_only	GCA_013400195.1	Aramus guarauna	Aves	RYR	1	0.9974	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.2974
no_ryr_control	GCA_013400195.1	Aramus guarauna	Aves	RYR	1	0.9974	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.2974
drop_ITPR1_baits	GCA_013400195.1	Aramus guarauna	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
drop_ITPR2_baits	GCA_013400195.1	Aramus guarauna	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
drop_ITPR3_baits	GCA_013400195.1	Aramus guarauna	Aves	ITPR3	1	1.0	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.3
basal_only	GCA_013400215.1	Cisticola juncidis	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
basal_only	GCA_013400215.1	Cisticola juncidis	Aves	ITPR2	1	0.9885	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.2885
basal_only	GCA_013400215.1	Cisticola juncidis	Aves	ITPR3	1	0.9895	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.2895
basal_only	GCA_013400215.1	Cisticola juncidis	Aves	RYR	1	0.9974	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.2974
no_ryr_control	GCA_013400215.1	Cisticola juncidis	Aves	RYR	1	0.9974	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.2974
drop_ITPR1_baits	GCA_013400215.1	Cisticola juncidis	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
drop_ITPR2_baits	GCA_013400215.1	Cisticola juncidis	Aves	ITPR2	1	0.9885	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.2885
drop_ITPR3_baits	GCA_013400215.1	Cisticola juncidis	Aves	ITPR3	1	0.9895	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.2895
basal_only	GCA_013400415.1	Scytalopus superciliaris	Aves	ITPR1	1	0.9705	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.2705
basal_only	GCA_013400415.1	Scytalopus superciliaris	Aves	ITPR2	1	0.9137	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.2137
basal_only	GCA_013400415.1	Scytalopus superciliaris	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013400415.1	Scytalopus superciliaris	Aves	RYR	1	0.8831	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.1831
no_ryr_control	GCA_013400415.1	Scytalopus superciliaris	Aves	RYR	1	0.8831	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.1831
drop_ITPR1_baits	GCA_013400415.1	Scytalopus superciliaris	Aves	ITPR1	1	0.9705	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.2705
drop_ITPR2_baits	GCA_013400415.1	Scytalopus superciliaris	Aves	ITPR2	1	0.9137	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.2137
drop_ITPR3_baits	GCA_013400415.1	Scytalopus superciliaris	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013400445.1	Leiothrix lutea	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
basal_only	GCA_013400445.1	Leiothrix lutea	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013400445.1	Leiothrix lutea	Aves	RYR	1	0.7107	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.0107
no_ryr_control	GCA_013400445.1	Leiothrix lutea	Aves	RYR	1	0.7107	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.0107
drop_ITPR2_baits	GCA_013400445.1	Leiothrix lutea	Aves	ITPR1	0	0.0		1	1.0	A0ABM4F3U0|ITPR1|Apteryx_mantelli	gain	0.7
drop_ITPR2_baits	GCA_013400445.1	Leiothrix lutea	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
drop_ITPR3_baits	GCA_013400445.1	Leiothrix lutea	Aves	ITPR1	0	0.0		1	1.0	P11881|Itpr1|Mus_musculus|ITPR1	gain	0.7
drop_ITPR3_baits	GCA_013400445.1	Leiothrix lutea	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013400515.1	Erpornis zantholeuca	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
basal_only	GCA_013400515.1	Erpornis zantholeuca	Aves	ITPR2	1	0.9885	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.2885
basal_only	GCA_013400515.1	Erpornis zantholeuca	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
drop_ITPR1_baits	GCA_013400515.1	Erpornis zantholeuca	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
drop_ITPR2_baits	GCA_013400515.1	Erpornis zantholeuca	Aves	ITPR2	1	0.9885	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.2885
drop_ITPR3_baits	GCA_013400515.1	Erpornis zantholeuca	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013400585.1	Chloropsis cyanopogon	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
basal_only	GCA_013400585.1	Chloropsis cyanopogon	Aves	ITPR2	1	0.9885	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.2885
basal_only	GCA_013400585.1	Chloropsis cyanopogon	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
drop_ITPR1_baits	GCA_013400585.1	Chloropsis cyanopogon	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
drop_ITPR2_baits	GCA_013400585.1	Chloropsis cyanopogon	Aves	ITPR2	1	0.9885	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.2885
drop_ITPR3_baits	GCA_013400585.1	Chloropsis cyanopogon	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
drop_ITPR3_baits	GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR2	0	0.0		1	0.9948	Q14571|ITPR2|Homo_sapiens|ITPR2	gain	0.7
drop_ITPR3_baits	GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013400655.1	Mystacornis crossleyi	Aves	ITPR2	1	0.7374	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.0374
drop_ITPR2_baits	GCA_013400655.1	Mystacornis crossleyi	Aves	ITPR1	0	0.0		1	0.7422	Q14643|ITPR1|Homo_sapiens|ITPR1	gain	0.7
drop_ITPR2_baits	GCA_013400655.1	Mystacornis crossleyi	Aves	ITPR2	1	0.7374	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.0374
basal_only	GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
drop_ITPR3_baits	GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR2	0	0.5607	A0A672UP22|ITPR2|Strigops_habroptila	1	0.9948	Q14571|ITPR2|Homo_sapiens|ITPR2	gain	0.1393
drop_ITPR3_baits	GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_013400815.1	Centropus bengalensis	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
basal_only	GCA_013400815.1	Centropus bengalensis	Aves	ITPR3	1	0.9655	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.2655
basal_only	GCA_013400815.1	Centropus bengalensis	Aves	RYR	1	1.0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.3
no_ryr_control	GCA_013400815.1	Centropus bengalensis	Aves	RYR	1	1.0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.3
drop_ITPR2_baits	GCA_013400815.1	Centropus bengalensis	Aves	ITPR1	0	0.5002	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1	1.0	A0ABM4F3U0|ITPR1|Apteryx_mantelli	gain	0.1998
drop_ITPR2_baits	GCA_013400815.1	Centropus bengalensis	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
drop_ITPR3_baits	GCA_013400815.1	Centropus bengalensis	Aves	ITPR1	0	0.5002	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1	0.9547	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	gain	0.1998
drop_ITPR3_baits	GCA_013400815.1	Centropus bengalensis	Aves	ITPR3	1	0.9655	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.2655
basal_only	GCA_013400895.1	Thalassarche chlororhynchos	Aves	ITPR1	1	0.7629	A0ABM4F3U0|ITPR1|Apteryx_mantelli	0	0.0		loss	0.0629
basal_only	GCA_013400895.1	Thalassarche chlororhynchos	Aves	ITPR3	1	1.0	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.3
drop_ITPR1_baits	GCA_013400895.1	Thalassarche chlororhynchos	Aves	ITPR1	1	0.7629	A0ABM4F3U0|ITPR1|Apteryx_mantelli	0	0.0		loss	0.0629
drop_ITPR1_baits	GCA_013400895.1	Thalassarche chlororhynchos	Aves	ITPR2	0	0.0		1	0.7508	Q9Z329|Itpr2|Mus_musculus|ITPR2	gain	0.7
drop_ITPR3_baits	GCA_013400895.1	Thalassarche chlororhynchos	Aves	ITPR2	0	0.0		1	0.9948	Q14571|ITPR2|Homo_sapiens|ITPR2	gain	0.7
drop_ITPR3_baits	GCA_013400895.1	Thalassarche chlororhynchos	Aves	ITPR3	1	1.0	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.3
basal_only	GCA_013400915.1	Pardalotus punctatus	Aves	RYR	1	0.9976	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.2976
no_ryr_control	GCA_013400915.1	Pardalotus punctatus	Aves	RYR	1	0.9976	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.2976
basal_only	GCA_013400955.1	Drymodes brunneopygia	Aves	ITPR1	1	0.706	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.006
basal_only	GCA_013400955.1	Drymodes brunneopygia	Aves	ITPR3	1	0.9652	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.2652
basal_only	GCA_013400955.1	Drymodes brunneopygia	Aves	RYR	1	0.9764	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.2764
no_ryr_control	GCA_013400955.1	Drymodes brunneopygia	Aves	RYR	1	0.9764	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.2764
drop_ITPR1_baits	GCA_013400955.1	Drymodes brunneopygia	Aves	ITPR1	1	0.706	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.006
drop_ITPR3_baits	GCA_013400955.1	Drymodes brunneopygia	Aves	ITPR3	1	0.9652	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.2652
basal_only	GCA_013400995.1	Oreotrochilus melanogaster	Aves	ITPR2	1	0.7311	F1P1X4|ITPR2|Gallus_gallus|ITPR2	0	0.0		loss	0.0311
basal_only	GCA_013400995.1	Oreotrochilus melanogaster	Aves	ITPR3	1	0.9655	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.2655
drop_ITPR2_baits	GCA_013400995.1	Oreotrochilus melanogaster	Aves	ITPR2	1	0.7311	F1P1X4|ITPR2|Gallus_gallus|ITPR2	0	0.0		loss	0.0311
drop_ITPR3_baits	GCA_013400995.1	Oreotrochilus melanogaster	Aves	ITPR3	1	0.9655	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.2655
basal_only	GCA_013401195.1	Pomatorhinus ruficollis	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
basal_only	GCA_013401195.1	Pomatorhinus ruficollis	Aves	RYR	1	1.0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.3
no_ryr_control	GCA_013401195.1	Pomatorhinus ruficollis	Aves	RYR	1	1.0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.3
drop_ITPR2_baits	GCA_013401195.1	Pomatorhinus ruficollis	Aves	ITPR1	0	0.0		1	1.0	A0ABM4F3U0|ITPR1|Apteryx_mantelli	gain	0.7
drop_ITPR2_baits	GCA_013401195.1	Pomatorhinus ruficollis	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
basal_only	GCA_013401255.1	Urocolius indicus	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
basal_only	GCA_013401255.1	Urocolius indicus	Aves	RYR	1	0.9764	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.2764
no_ryr_control	GCA_013401255.1	Urocolius indicus	Aves	RYR	1	0.9764	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.2764
drop_ITPR1_baits	GCA_013401255.1	Urocolius indicus	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
drop_ITPR1_baits	GCA_013401255.1	Urocolius indicus	Aves	ITPR2	0	0.6622	A0A672UP22|ITPR2|Strigops_habroptila	1	0.9993	A0A672UP22|ITPR2|Strigops_habroptila	gain	0.0378
basal_only	GCA_013401295.1	Glareola pratincola	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
basal_only	GCA_013401295.1	Glareola pratincola	Aves	ITPR2	1	0.7444	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.0444
basal_only	GCA_013401295.1	Glareola pratincola	Aves	RYR	1	0.9974	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.2974
no_ryr_control	GCA_013401295.1	Glareola pratincola	Aves	RYR	1	0.9974	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.2974
drop_ITPR1_baits	GCA_013401295.1	Glareola pratincola	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
drop_ITPR2_baits	GCA_013401295.1	Glareola pratincola	Aves	ITPR2	1	0.7444	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.0444
basal_only	GCA_013401315.1	Balaeniceps rex	Aves	ITPR1	1	0.8793	A0ABM4F3U0|ITPR1|Apteryx_mantelli	0	0.0		loss	0.1793
basal_only	GCA_013401315.1	Balaeniceps rex	Aves	ITPR3	1	0.9125	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.2125
drop_ITPR1_baits	GCA_013401315.1	Balaeniceps rex	Aves	ITPR1	1	0.8793	A0ABM4F3U0|ITPR1|Apteryx_mantelli	0	0.0		loss	0.1793
drop_ITPR1_baits	GCA_013401315.1	Balaeniceps rex	Aves	ITPR2	0	0.4748	F1P1X4|ITPR2|Gallus_gallus|ITPR2	1	0.8723	Q9Z329|Itpr2|Mus_musculus|ITPR2	gain	0.2252
drop_ITPR3_baits	GCA_013401315.1	Balaeniceps rex	Aves	ITPR2	0	0.4748	F1P1X4|ITPR2|Gallus_gallus|ITPR2	1	0.9141	A0ABM1LG32|ITPR2|Gekko_japonicus	gain	0.2252
drop_ITPR3_baits	GCA_013401315.1	Balaeniceps rex	Aves	ITPR3	1	0.9125	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0	0.0		loss	0.2125
basal_only	GCA_013401355.1	Ceyx cyanopectus	Aves	ITPR2	1	0.783	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.083
drop_ITPR2_baits	GCA_013401355.1	Ceyx cyanopectus	Aves	ITPR1	0	0.1979	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	1	0.783	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	gain	0.5021
drop_ITPR2_baits	GCA_013401355.1	Ceyx cyanopectus	Aves	ITPR2	1	0.783	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.083
basal_only	GCA_014281875.1	Nibea albiflora	Actinopteri	ITPR1	1	1.0	A0A672IUQ7|ITPR1|Salarias_fasciatus	0	0.0		loss	0.3
basal_only	GCA_014281875.1	Nibea albiflora	Actinopteri	ITPR2	1	1.0	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	0	0.0		loss	0.3
basal_only	GCA_014281875.1	Nibea albiflora	Actinopteri	ITPR3	1	1.0	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	0	0.0		loss	0.3
basal_only	GCA_014281875.1	Nibea albiflora	Actinopteri	RYR	1	1.0	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	0	0.0		loss	0.3
no_ryr_control	GCA_014281875.1	Nibea albiflora	Actinopteri	RYR	1	1.0	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	0	0.0		loss	0.3
drop_ITPR1_baits	GCA_014281875.1	Nibea albiflora	Actinopteri	ITPR1	1	1.0	A0A672IUQ7|ITPR1|Salarias_fasciatus	0	0.0		loss	0.3
drop_ITPR2_baits	GCA_014281875.1	Nibea albiflora	Actinopteri	ITPR2	1	1.0	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	0	0.0		loss	0.3
drop_ITPR3_baits	GCA_014281875.1	Nibea albiflora	Actinopteri	ITPR3	1	1.0	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	0	0.0		loss	0.3
basal_only	GCA_014839755.1	Sylvia borin	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
basal_only	GCA_014839755.1	Sylvia borin	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
basal_only	GCA_014839755.1	Sylvia borin	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_014839755.1	Sylvia borin	Aves	RYR	1	1.0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.3
no_ryr_control	GCA_014839755.1	Sylvia borin	Aves	RYR	1	1.0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0	0.0		loss	0.3
drop_ITPR1_baits	GCA_014839755.1	Sylvia borin	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
drop_ITPR2_baits	GCA_014839755.1	Sylvia borin	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
drop_ITPR3_baits	GCA_014839755.1	Sylvia borin	Aves	ITPR3	1	1.0	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	0	0.0		loss	0.3
basal_only	GCA_015883425.2	Lamprotornis superbus	Aves	ITPR1	1	1.0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0	0.0		loss	0.3
basal_only	GCA_015883425.2	Lamprotornis superbus	Aves	ITPR2	1	1.0	A0A672UP22|ITPR2|Strigops_habroptila	0	0.0		loss	0.3
