accession	organism	vclass	cell	ledger_status	gene_present	has_reference_proteome	proteome_id	n_family_protein_records_species	n_records_resolving_to_any_cell	n_records_resolving_to_cell	recovery_channel
GCA_013398955.1	Callaeas wilsoni	Aves	RYR	found_annotated	1	1	UP000576729	8	1	1	protein_database_and_genome
GCA_013398975.1	Catharus fuscescens	Aves	ITPR1	assembly_gap	1	1	UP000519684	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398975.1	Catharus fuscescens	Aves	ITPR2	found_unannotated	1	1	UP000519684	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013398975.1	Catharus fuscescens	Aves	ITPR3	found_annotated	1	1	UP000519684	4	1	1	protein_database_and_genome
GCA_013398975.1	Catharus fuscescens	Aves	RYR	found_annotated	1	1	UP000519684	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013399035.1	Quiscalus mexicanus	Aves	ITPR1	assembly_gap	1	1	UP000552319	5	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013399035.1	Quiscalus mexicanus	Aves	ITPR2	assembly_gap	1	1	UP000552319	5	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013399035.1	Quiscalus mexicanus	Aves	ITPR3	found_annotated	1	1	UP000552319	5	1	1	protein_database_and_genome
GCA_013399035.1	Quiscalus mexicanus	Aves	RYR	found_unannotated	1	1	UP000552319	5	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013399075.1	Chloroceryle aenea	Aves	ITPR1	found_annotated	1	1	UP000579406	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013399075.1	Chloroceryle aenea	Aves	ITPR2	found_unannotated	1	1	UP000579406	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013399075.1	Chloroceryle aenea	Aves	ITPR3	found_annotated	1	1	UP000579406	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013399075.1	Chloroceryle aenea	Aves	RYR	found_annotated	1	1	UP000579406	4	1	1	protein_database_and_genome
GCA_013399305.1	Rostratula benghalensis	Aves	ITPR1	found_annotated	1	1	UP000545435	3	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013399305.1	Rostratula benghalensis	Aves	ITPR2	found_unannotated	1	1	UP000545435	3	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013399305.1	Rostratula benghalensis	Aves	ITPR3	found_annotated	1	1	UP000545435	3	1	1	protein_database_and_genome
GCA_013399305.1	Rostratula benghalensis	Aves	RYR	found_annotated	1	1	UP000545435	3	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013399395.1	Nyctiprogne leucopyga	Aves	ITPR1	found_annotated	1	1	UP000551823	2	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013399395.1	Nyctiprogne leucopyga	Aves	ITPR2	found_unannotated	1	1	UP000551823	2	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013399395.1	Nyctiprogne leucopyga	Aves	ITPR3	found_annotated	1	1	UP000551823	2	1	1	protein_database_and_genome
GCA_013399395.1	Nyctiprogne leucopyga	Aves	RYR	assembly_gap	1	1	UP000551823	2	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013399455.1	Anthoscopus minutus	Aves	ITPR1	found_unannotated	1	1	UP000554720	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013399455.1	Anthoscopus minutus	Aves	ITPR2	assembly_gap	1	1	UP000554720	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013399455.1	Anthoscopus minutus	Aves	ITPR3	assembly_gap	1	1	UP000554720	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013399455.1	Anthoscopus minutus	Aves	RYR	assembly_gap	1	1	UP000554720	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013399495.1	Corythaixoides concolor	Aves	ITPR1	found_unannotated	1	1	UP000526942	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013399495.1	Corythaixoides concolor	Aves	ITPR2	found_unannotated	1	1	UP000526942	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013399495.1	Corythaixoides concolor	Aves	ITPR3	found_annotated	1	1	UP000526942	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013399495.1	Corythaixoides concolor	Aves	RYR	found_annotated	1	1	UP000526942	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013399565.1	Podilymbus podiceps	Aves	ITPR1	found_unannotated	1	1	UP000555275	5	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013399565.1	Podilymbus podiceps	Aves	ITPR2	assembly_gap	1	1	UP000555275	5	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013399565.1	Podilymbus podiceps	Aves	ITPR3	found_annotated	1	1	UP000555275	5	2	1	protein_database_and_genome
GCA_013399565.1	Podilymbus podiceps	Aves	RYR	found_annotated	1	1	UP000555275	5	2	1	protein_database_and_genome
GCA_013399735.1	Tyrannus savana	Aves	ITPR1	found_unannotated	1	1	UP000537779	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013399735.1	Tyrannus savana	Aves	ITPR2	assembly_gap	1	1	UP000537779	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013399735.1	Tyrannus savana	Aves	ITPR3	found_annotated	1	1	UP000537779	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013399735.1	Tyrannus savana	Aves	RYR	found_unannotated	1	1	UP000537779	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013399775.1	Semnornis frantzii	Aves	ITPR1	tblastn_trace	1	1	UP000536381	1	0	0	genome_only:records_exist_but_none_full_length
GCA_013399775.1	Semnornis frantzii	Aves	ITPR2	tblastn_trace	1	1	UP000536381	1	0	0	genome_only:records_exist_but_none_full_length
GCA_013399775.1	Semnornis frantzii	Aves	ITPR3	found_annotated	1	1	UP000536381	1	0	0	genome_only:records_exist_but_none_full_length
GCA_013399775.1	Semnornis frantzii	Aves	RYR	assembly_gap	1	1	UP000536381	1	0	0	genome_only:records_exist_but_none_full_length
GCA_013399795.1	Zosterops hypoxanthus	Aves	ITPR1	assembly_gap	1	1	UP000549157	4	0	0	genome_only:records_exist_but_none_full_length
GCA_013399795.1	Zosterops hypoxanthus	Aves	ITPR2	found_unannotated	1	1	UP000549157	4	0	0	genome_only:records_exist_but_none_full_length
GCA_013399795.1	Zosterops hypoxanthus	Aves	ITPR3	found_annotated	1	1	UP000549157	4	0	0	genome_only:records_exist_but_none_full_length
GCA_013399795.1	Zosterops hypoxanthus	Aves	RYR	found_unannotated	1	1	UP000549157	4	0	0	genome_only:records_exist_but_none_full_length
GCA_013399855.1	Oxyruncus cristatus	Aves	ITPR1	found_unannotated	1	1	UP000564466	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013399855.1	Oxyruncus cristatus	Aves	ITPR2	found_unannotated	1	1	UP000564466	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013399855.1	Oxyruncus cristatus	Aves	ITPR3	found_annotated	1	1	UP000564466	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013399855.1	Oxyruncus cristatus	Aves	RYR	found_unannotated	1	1	UP000564466	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013399895.1	Serilophus lunatus	Aves	ITPR1	found_unannotated	1	1	UP000553648	4	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013399895.1	Serilophus lunatus	Aves	ITPR2	found_unannotated	1	1	UP000553648	4	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013399895.1	Serilophus lunatus	Aves	ITPR3	found_annotated	1	1	UP000553648	4	2	1	protein_database_and_genome
GCA_013399895.1	Serilophus lunatus	Aves	RYR	found_annotated	1	1	UP000553648	4	2	1	protein_database_and_genome
GCA_013400075.1	Hippolais icterina	Aves	ITPR1	assembly_gap	1	1	UP000527178	5	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400075.1	Hippolais icterina	Aves	ITPR2	found_unannotated	1	1	UP000527178	5	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400075.1	Hippolais icterina	Aves	ITPR3	found_annotated	1	1	UP000527178	5	1	1	protein_database_and_genome
GCA_013400075.1	Hippolais icterina	Aves	RYR	found_unannotated	1	1	UP000527178	5	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400195.1	Aramus guarauna	Aves	ITPR1	found_annotated	1	1	UP000567570	5	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400195.1	Aramus guarauna	Aves	ITPR2	found_unannotated	1	1	UP000567570	5	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400195.1	Aramus guarauna	Aves	ITPR3	found_annotated	1	1	UP000567570	5	2	1	protein_database_and_genome
GCA_013400195.1	Aramus guarauna	Aves	RYR	found_annotated	1	1	UP000567570	5	2	1	protein_database_and_genome
GCA_013400215.1	Cisticola juncidis	Aves	ITPR1	found_unannotated	1	1	UP000546986	4	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400215.1	Cisticola juncidis	Aves	ITPR2	found_unannotated	1	1	UP000546986	4	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400215.1	Cisticola juncidis	Aves	ITPR3	found_annotated	1	1	UP000546986	4	2	1	protein_database_and_genome
GCA_013400215.1	Cisticola juncidis	Aves	RYR	found_annotated	1	1	UP000546986	4	2	1	protein_database_and_genome
GCA_013400415.1	Scytalopus superciliaris	Aves	ITPR1	found_annotated	1	1	UP000580825	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400415.1	Scytalopus superciliaris	Aves	ITPR2	found_unannotated	1	1	UP000580825	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400415.1	Scytalopus superciliaris	Aves	ITPR3	found_annotated	1	1	UP000580825	6	1	1	protein_database_and_genome
GCA_013400415.1	Scytalopus superciliaris	Aves	RYR	found_unannotated	1	1	UP000580825	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400445.1	Leiothrix lutea	Aves	ITPR1	tblastn_trace	1	1	UP000524007	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400445.1	Leiothrix lutea	Aves	ITPR2	found_unannotated	1	1	UP000524007	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400445.1	Leiothrix lutea	Aves	ITPR3	found_annotated	1	1	UP000524007	6	1	1	protein_database_and_genome
GCA_013400445.1	Leiothrix lutea	Aves	RYR	found_unannotated	1	1	UP000524007	6	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400515.1	Erpornis zantholeuca	Aves	ITPR1	found_annotated	1	1	UP000545329	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400515.1	Erpornis zantholeuca	Aves	ITPR2	found_unannotated	1	1	UP000545329	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400515.1	Erpornis zantholeuca	Aves	ITPR3	found_annotated	1	1	UP000545329	4	1	1	protein_database_and_genome
GCA_013400515.1	Erpornis zantholeuca	Aves	RYR	assembly_gap	1	1	UP000545329	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400585.1	Chloropsis cyanopogon	Aves	ITPR1	found_unannotated	1	1	UP000614263	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013400585.1	Chloropsis cyanopogon	Aves	ITPR2	found_unannotated	1	1	UP000614263	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013400585.1	Chloropsis cyanopogon	Aves	ITPR3	found_annotated	1	1	UP000614263	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013400585.1	Chloropsis cyanopogon	Aves	RYR	assembly_gap	1	1	UP000614263	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR1	tblastn_trace	1	1	UP000574191	2	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR2	tblastn_trace	1	1	UP000574191	2	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR3	found_annotated	1	1	UP000574191	2	1	1	protein_database_and_genome
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	RYR	assembly_gap	1	1	UP000574191	2	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400655.1	Mystacornis crossleyi	Aves	ITPR1	tblastn_trace	1	1	UP000537747	2	0	0	genome_only:records_exist_but_none_full_length
GCA_013400655.1	Mystacornis crossleyi	Aves	ITPR2	found_annotated	1	1	UP000537747	2	0	0	genome_only:records_exist_but_none_full_length
GCA_013400655.1	Mystacornis crossleyi	Aves	ITPR3	tblastn_trace	1	1	UP000537747	2	0	0	genome_only:records_exist_but_none_full_length
GCA_013400655.1	Mystacornis crossleyi	Aves	RYR	assembly_gap	1	1	UP000537747	2	0	0	genome_only:records_exist_but_none_full_length
GCA_013400675.1	Oxylabes madagascariensis	Aves	ITPR1	tblastn_trace	1	1	UP000570288	2	0	0	genome_only:records_exist_but_none_full_length
GCA_013400675.1	Oxylabes madagascariensis	Aves	ITPR2	assembly_gap	1	1	UP000570288	2	0	0	genome_only:records_exist_but_none_full_length
GCA_013400675.1	Oxylabes madagascariensis	Aves	ITPR3	assembly_gap	1	1	UP000570288	2	0	0	genome_only:records_exist_but_none_full_length
GCA_013400675.1	Oxylabes madagascariensis	Aves	RYR	assembly_gap	1	1	UP000570288	2	0	0	genome_only:records_exist_but_none_full_length
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR1	tblastn_trace	1	1	UP000560066	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR2	fragment	1	1	UP000560066	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR3	assembly_gap	1	1	UP000560066	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013400695.1	Neodrepanis coruscans	Aves	RYR	assembly_gap	1	1	UP000560066	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR1	tblastn_trace	1	1	UP000583496	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR2	assembly_gap	1	1	UP000583496	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR3	found_annotated	1	1	UP000583496	4	1	1	protein_database_and_genome
GCA_013400735.1	Pomatostomus ruficeps	Aves	RYR	assembly_gap	1	1	UP000583496	4	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400815.1	Centropus bengalensis	Aves	ITPR1	assembly_gap	1	1	UP000632886	4	0	0	genome_only:records_exist_but_none_full_length
GCA_013400815.1	Centropus bengalensis	Aves	ITPR2	found_unannotated	1	1	UP000632886	4	0	0	genome_only:records_exist_but_none_full_length
GCA_013400815.1	Centropus bengalensis	Aves	ITPR3	found_annotated	1	1	UP000632886	4	0	0	genome_only:records_exist_but_none_full_length
GCA_013400815.1	Centropus bengalensis	Aves	RYR	found_annotated	1	1	UP000632886	4	0	0	genome_only:records_exist_but_none_full_length
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR1	tblastn_trace	1	1	UP000566314	4	0	0	genome_only:records_exist_but_none_full_length
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR2	assembly_gap	1	1	UP000566314	4	0	0	genome_only:records_exist_but_none_full_length
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR3	tblastn_trace	1	1	UP000566314	4	0	0	genome_only:records_exist_but_none_full_length
GCA_013400855.1	Buphagus erythrorhynchus	Aves	RYR	assembly_gap	1	1	UP000566314	4	0	0	genome_only:records_exist_but_none_full_length
GCA_013400895.1	Thalassarche chlororhynchos	Aves	ITPR1	found_annotated	1	1	UP000556761	2	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400895.1	Thalassarche chlororhynchos	Aves	ITPR2	tblastn_trace	1	1	UP000556761	2	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400895.1	Thalassarche chlororhynchos	Aves	ITPR3	found_annotated	1	1	UP000556761	2	1	1	protein_database_and_genome
GCA_013400895.1	Thalassarche chlororhynchos	Aves	RYR	assembly_gap	1	1	UP000556761	2	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400915.1	Pardalotus punctatus	Aves	ITPR1	assembly_gap	1	1	UP000570592	7	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400915.1	Pardalotus punctatus	Aves	ITPR2	assembly_gap	1	1	UP000570592	7	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400915.1	Pardalotus punctatus	Aves	ITPR3	assembly_gap	1	1	UP000570592	7	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400915.1	Pardalotus punctatus	Aves	RYR	found_annotated	1	1	UP000570592	7	1	1	protein_database_and_genome
GCA_013400955.1	Drymodes brunneopygia	Aves	ITPR1	found_unannotated	1	1	UP000525319	5	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400955.1	Drymodes brunneopygia	Aves	ITPR2	assembly_gap	1	1	UP000525319	5	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_013400955.1	Drymodes brunneopygia	Aves	ITPR3	found_annotated	1	1	UP000525319	5	2	1	protein_database_and_genome
GCA_013400955.1	Drymodes brunneopygia	Aves	RYR	found_annotated	1	1	UP000525319	5	2	1	protein_database_and_genome
GCA_013400995.1	Oreotrochilus melanogaster	Aves	ITPR1	assembly_gap	1	1	UP000579904	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013400995.1	Oreotrochilus melanogaster	Aves	ITPR2	found_unannotated	1	1	UP000579904	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013400995.1	Oreotrochilus melanogaster	Aves	ITPR3	found_annotated	1	1	UP000579904	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013400995.1	Oreotrochilus melanogaster	Aves	RYR	assembly_gap	1	1	UP000579904	5	0	0	genome_only:records_exist_but_none_full_length
GCA_013401035.1	Horornis vulcanius	Aves	ITPR1	tblastn_trace	1	1	UP000558460	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013401035.1	Horornis vulcanius	Aves	ITPR2	assembly_gap	1	1	UP000558460	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013401035.1	Horornis vulcanius	Aves	ITPR3	assembly_gap	1	1	UP000558460	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013401035.1	Horornis vulcanius	Aves	RYR	assembly_gap	1	1	UP000558460	3	0	0	genome_only:records_exist_but_none_full_length
GCA_013401195.1	Pomatorhinus ruficollis	Aves	ITPR1	tblastn_trace	1	1	UP000572837	5	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013401195.1	Pomatorhinus ruficollis	Aves	ITPR2	found_unannotated	1	1	UP000572837	5	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013401195.1	Pomatorhinus ruficollis	Aves	ITPR3	tblastn_trace	1	1	UP000572837	5	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013401195.1	Pomatorhinus ruficollis	Aves	RYR	found_annotated	1	1	UP000572837	5	1	1	protein_database_and_genome
GCA_013401215.1	Atlantisia rogersi	Aves	ITPR1	assembly_gap	1	1	UP000518911	6	0	0	genome_only:records_exist_but_none_full_length
GCA_013401215.1	Atlantisia rogersi	Aves	ITPR2	assembly_gap	1	1	UP000518911	6	0	0	genome_only:records_exist_but_none_full_length
GCA_013401215.1	Atlantisia rogersi	Aves	ITPR3	assembly_gap	1	1	UP000518911	6	0	0	genome_only:records_exist_but_none_full_length
GCA_013401215.1	Atlantisia rogersi	Aves	RYR	assembly_gap	1	1	UP000518911	6	0	0	genome_only:records_exist_but_none_full_length
GCA_013401255.1	Urocolius indicus	Aves	ITPR1	found_unannotated	1	1	UP000654395	7	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013401255.1	Urocolius indicus	Aves	ITPR2	assembly_gap	1	1	UP000654395	7	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013401255.1	Urocolius indicus	Aves	ITPR3	assembly_gap	1	1	UP000654395	7	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013401255.1	Urocolius indicus	Aves	RYR	found_annotated	1	1	UP000654395	7	1	1	protein_database_and_genome
GCA_013401295.1	Glareola pratincola	Aves	ITPR1	found_unannotated	1	1	UP000583049	6	0	0	genome_only:records_exist_but_none_full_length
GCA_013401295.1	Glareola pratincola	Aves	ITPR2	found_unannotated	1	1	UP000583049	6	0	0	genome_only:records_exist_but_none_full_length
GCA_013401295.1	Glareola pratincola	Aves	ITPR3	assembly_gap	1	1	UP000583049	6	0	0	genome_only:records_exist_but_none_full_length
GCA_013401295.1	Glareola pratincola	Aves	RYR	found_annotated	1	1	UP000583049	6	0	0	genome_only:records_exist_but_none_full_length
GCA_013401315.1	Balaeniceps rex	Aves	ITPR1	found_unannotated	1	1	UP000528411	3	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013401315.1	Balaeniceps rex	Aves	ITPR2	assembly_gap	1	1	UP000528411	3	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013401315.1	Balaeniceps rex	Aves	ITPR3	found_annotated	1	1	UP000528411	3	1	1	protein_database_and_genome
GCA_013401315.1	Balaeniceps rex	Aves	RYR	assembly_gap	1	1	UP000528411	3	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_013401355.1	Ceyx cyanopectus	Aves	ITPR1	assembly_gap	1	1	UP000586704	4	0	0	genome_only:records_exist_but_none_full_length
GCA_013401355.1	Ceyx cyanopectus	Aves	ITPR2	found_unannotated	1	1	UP000586704	4	0	0	genome_only:records_exist_but_none_full_length
GCA_013401355.1	Ceyx cyanopectus	Aves	ITPR3	tblastn_trace	1	1	UP000586704	4	0	0	genome_only:records_exist_but_none_full_length
GCA_013401355.1	Ceyx cyanopectus	Aves	RYR	assembly_gap	1	1	UP000586704	4	0	0	genome_only:records_exist_but_none_full_length
GCA_014281875.1	Nibea albiflora	Actinopteri	ITPR1	found_annotated	1	1	UP000805704	2	0	0	genome_only:records_exist_but_none_full_length
GCA_014281875.1	Nibea albiflora	Actinopteri	ITPR2	found_unannotated	1	1	UP000805704	2	0	0	genome_only:records_exist_but_none_full_length
GCA_014281875.1	Nibea albiflora	Actinopteri	ITPR3	found_annotated	1	1	UP000805704	2	0	0	genome_only:records_exist_but_none_full_length
GCA_014281875.1	Nibea albiflora	Actinopteri	RYR	found_unannotated	1	1	UP000805704	2	0	0	genome_only:records_exist_but_none_full_length
GCA_014363365.1	Leucopsar rothschildi	Aves	ITPR1	assembly_gap	1	1	UP000522331	6	0	0	genome_only:records_exist_but_none_full_length
GCA_014363365.1	Leucopsar rothschildi	Aves	ITPR2	assembly_gap	1	1	UP000522331	6	0	0	genome_only:records_exist_but_none_full_length
GCA_014363365.1	Leucopsar rothschildi	Aves	ITPR3	assembly_gap	1	1	UP000522331	6	0	0	genome_only:records_exist_but_none_full_length
GCA_014363365.1	Leucopsar rothschildi	Aves	RYR	assembly_gap	1	1	UP000522331	6	0	0	genome_only:records_exist_but_none_full_length
GCA_014839755.1	Sylvia borin	Aves	ITPR1	found_annotated	1	1	UP000538515	5	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_014839755.1	Sylvia borin	Aves	ITPR2	found_annotated	1	1	UP000538515	5	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_014839755.1	Sylvia borin	Aves	ITPR3	found_annotated	1	1	UP000538515	5	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_014839755.1	Sylvia borin	Aves	RYR	found_annotated	1	1	UP000538515	5	1	1	protein_database_and_genome
GCA_015883425.2	Lamprotornis superbus	Aves	ITPR1	found_annotated	1	1	UP000618051	3	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_015883425.2	Lamprotornis superbus	Aves	ITPR2	found_annotated	1	1	UP000618051	3	2	1	protein_database_and_genome
GCA_015883425.2	Lamprotornis superbus	Aves	ITPR3	found_annotated	1	1	UP000618051	3	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_015883425.2	Lamprotornis superbus	Aves	RYR	found_annotated	1	1	UP000618051	3	2	1	protein_database_and_genome
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	ITPR1	found_annotated	1	0		0	0	0	genome_only:no_reference_proteome
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	ITPR2	found_annotated	1	0		0	0	0	genome_only:no_reference_proteome
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	ITPR3	found_annotated	1	0		0	0	0	genome_only:no_reference_proteome
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	RYR	found_annotated	1	0		0	0	0	genome_only:no_reference_proteome
GCA_018340635.1	Bothrops jararaca	Lepidosauria	ITPR1	found_no_annotation	1	1	UP000681084	0	0	0	genome_only:no_family_record_for_species
GCA_018340635.1	Bothrops jararaca	Lepidosauria	ITPR2	tblastn_trace	1	1	UP000681084	0	0	0	genome_only:no_family_record_for_species
GCA_018340635.1	Bothrops jararaca	Lepidosauria	ITPR3	found_no_annotation	1	1	UP000681084	0	0	0	genome_only:no_family_record_for_species
GCA_018340635.1	Bothrops jararaca	Lepidosauria	RYR	found_no_annotation	1	1	UP000681084	0	0	0	genome_only:no_family_record_for_species
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	ITPR1	found_annotated	1	1	UP000812440	12	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	ITPR2	found_annotated	1	1	UP000812440	12	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	ITPR3	found_unannotated	1	1	UP000812440	12	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	RYR	found_annotated	1	1	UP000812440	12	1	1	protein_database_and_genome
GCA_020745705.1	Hemiprocne comata	Aves	ITPR1	found_no_annotation	1	1	UP000518305	4	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_020745705.1	Hemiprocne comata	Aves	ITPR2	found_no_annotation	1	1	UP000518305	4	2	0	genome_only:no_record_resolves_to_this_paralog
GCA_020745705.1	Hemiprocne comata	Aves	ITPR3	found_no_annotation	1	1	UP000518305	4	2	1	protein_database_and_genome
GCA_020745705.1	Hemiprocne comata	Aves	RYR	found_no_annotation	1	1	UP000518305	4	2	1	protein_database_and_genome
GCA_022829145.1	Albula goreensis	Actinopteri	ITPR1	found_annotated	1	1	UP000829720	11	7	2	protein_database_and_genome
GCA_022829145.1	Albula goreensis	Actinopteri	ITPR2	found_annotated	1	1	UP000829720	11	7	1	protein_database_and_genome
GCA_022829145.1	Albula goreensis	Actinopteri	ITPR3	found_annotated	1	1	UP000829720	11	7	0	genome_only:no_record_resolves_to_this_paralog
GCA_022829145.1	Albula goreensis	Actinopteri	RYR	found_annotated	1	1	UP000829720	11	7	4	protein_database_and_genome
GCA_023764695.1	Pygathrix nigripes	Mammalia	ITPR1	found_no_annotation	1	1	UP001710656	11	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_023764695.1	Pygathrix nigripes	Mammalia	ITPR2	found_no_annotation	1	1	UP001710656	11	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_023764695.1	Pygathrix nigripes	Mammalia	ITPR3	found_no_annotation	1	1	UP001710656	11	1	0	genome_only:no_record_resolves_to_this_paralog
GCA_023764695.1	Pygathrix nigripes	Mammalia	RYR	found_no_annotation	1	1	UP001710656	11	1	1	protein_database_and_genome
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	ITPR1	found_annotated	1	1	UP001057452	11	4	0	genome_only:no_record_resolves_to_this_paralog
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	ITPR2	found_annotated	1	1	UP001057452	11	4	0	genome_only:no_record_resolves_to_this_paralog
