accession	organism	vclass	cell	bait	bait_species	bait_band	bait_group	bait_origin	identity	coverage	aligned	found
GCA_013397495.1	Mionectes macconnelli	Aves	RYR	H3BGR5|RYR|Latimeria_chalumnae	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s5_addition	0.6616	1.0	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR1	A0A672IUQ7|ITPR1|Salarias_fasciatus	Salarias_fasciatus	actinopteri	ray-finned fish	s5_addition	0.8599	1.0	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR1	A0A8M2BDG0|itpr1a|Danio_rerio|ITPR1	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.8244	1.0	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR1	A0A8J0T3U5|itpr1|Xenopus_tropicalis|ITPR1	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.8905	1.0	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR1	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	Gallus_gallus	aves	bird	s3_seed	0.9914	1.0	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR1	A0ABM4F3U0|ITPR1|Apteryx_mantelli	Apteryx_mantelli	aves	bird	s5_addition	0.9905	1.0	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR1	P11881|Itpr1|Mus_musculus|ITPR1	Mus_musculus	mammalia	mammal	s3_seed	0.9422	1.0	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR1	Q14643|ITPR1|Homo_sapiens|ITPR1	Homo_sapiens	mammalia	mammal	s3_seed	0.9423	1.0	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR1	A0A670JBK6|ITPR1|Podarcis_muralis	Podarcis_muralis	reptilia	reptile	s5_addition	0.9585	1.0	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR1	H3A1P5|ITPR1|Latimeria_chalumnae|ITPR1	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s3_seed	0.8581	1.0	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR2	A0A8M9PQQ3|itpr2|Danio_rerio|ITPR2	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.7523	0.9876	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR2	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	Astatotilapia_calliptera	actinopteri	ray-finned fish	s5_addition	0.7537	0.9885	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR2	A0A6I8RGU0|itpr2|Xenopus_tropicalis|ITPR2	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.8838	0.9885	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR2	A0A672UP22|ITPR2|Strigops_habroptila	Strigops_habroptila	aves	bird	s5_addition	0.9865	0.9885	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR2	F1P1X4|ITPR2|Gallus_gallus|ITPR2	Gallus_gallus	aves	bird	s3_seed	0.9813	0.9885	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR2	Q14571|ITPR2|Homo_sapiens|ITPR2	Homo_sapiens	mammalia	mammal	s3_seed	0.9315	0.9885	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR2	Q9Z329|Itpr2|Mus_musculus|ITPR2	Mus_musculus	mammalia	mammal	s3_seed	0.9169	0.9885	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR2	A0ABM1LG32|ITPR2|Gekko_japonicus	Gekko_japonicus	reptilia	reptile	s5_addition	0.9164	0.9885	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR3	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	Nothobranchius_furzeri	actinopteri	ray-finned fish	s5_addition	0.7612	0.9921	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR3	A0A8M6Z266|itpr3|Danio_rerio|ITPR3	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.75	0.9932	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR3	A0A8J0SYK9|itpr3|Xenopus_tropicalis|ITPR3	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.8395	0.9959	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR3	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	Falcunculus_frontatus	aves	bird	s5_addition	0.9816	1.0	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR3	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	Gallus_gallus	aves	bird	s3_seed	0.9857	1.0	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR3	A0A4W3GWE7|ITPR3|Callorhinchus_milii	Callorhinchus_milii	chondrichthyes	cartilaginous fish	s5_addition	0.7878	0.9958	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR3	P70227|Itpr3|Mus_musculus|ITPR3	Mus_musculus	mammalia	mammal	s3_seed	0.89	1.0	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR3	Q14573|ITPR3|Homo_sapiens|ITPR3	Homo_sapiens	mammalia	mammal	s3_seed	0.8941	1.0	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR3	A0A6J0TV85|ITPR3|Pogona_vitticeps	Pogona_vitticeps	reptilia	reptile	s5_addition	0.9244	1.0	1	1
GCA_013397535.1	Pterocles burchelli	Aves	ITPR3	H3B932|ITPR3|Latimeria_chalumnae	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s5_addition	0.7683	0.9948	1	1
GCA_013397535.1	Pterocles burchelli	Aves	RYR	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.8525	0.997	1	1
GCA_013397535.1	Pterocles burchelli	Aves	RYR	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.672	0.9968	1	1
GCA_013397535.1	Pterocles burchelli	Aves	RYR	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Gallus_gallus	aves	bird	s3_seed	0.9761	0.993	1	1
GCA_013397535.1	Pterocles burchelli	Aves	RYR	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal	Callorhinchus_milii	chondrichthyes	cartilaginous fish	s3_seed	0.6741	0.9972	1	1
GCA_013397535.1	Pterocles burchelli	Aves	RYR	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal	Petromyzon_marinus	cyclostomata	cyclostome	s3_seed	0.6806	0.9969	1	1
GCA_013397535.1	Pterocles burchelli	Aves	RYR	Q92736|RYR2|Homo_sapiens|RYR2	Homo_sapiens	mammalia	mammal	s3_seed	0.9273	0.9968	1	1
GCA_013397535.1	Pterocles burchelli	Aves	RYR	A0A3Q0HBW9|RYR|Alligator_sinensis	Alligator_sinensis	reptilia	reptile	s5_addition	0.9539	0.996	1	1
GCA_013397535.1	Pterocles burchelli	Aves	RYR	H3BGR5|RYR|Latimeria_chalumnae	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s5_addition	0.661	1.0	1	1
GCA_013397635.1	Columbina picui	Aves	ITPR1	A0A672IUQ7|ITPR1|Salarias_fasciatus	Salarias_fasciatus	actinopteri	ray-finned fish	s5_addition	0.8422	1.0	1	1
GCA_013397635.1	Columbina picui	Aves	ITPR1	A0A8M2BDG0|itpr1a|Danio_rerio|ITPR1	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.8091	1.0	1	1
GCA_013397635.1	Columbina picui	Aves	ITPR1	A0A8J0T3U5|itpr1|Xenopus_tropicalis|ITPR1	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.875	1.0	1	1
GCA_013397635.1	Columbina picui	Aves	ITPR1	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	Gallus_gallus	aves	bird	s3_seed	0.9773	1.0	1	1
GCA_013397635.1	Columbina picui	Aves	ITPR1	A0ABM4F3U0|ITPR1|Apteryx_mantelli	Apteryx_mantelli	aves	bird	s5_addition	0.976	1.0	1	1
GCA_013397635.1	Columbina picui	Aves	ITPR1	P11881|Itpr1|Mus_musculus|ITPR1	Mus_musculus	mammalia	mammal	s3_seed	0.9283	1.0	1	1
GCA_013397635.1	Columbina picui	Aves	ITPR1	Q14643|ITPR1|Homo_sapiens|ITPR1	Homo_sapiens	mammalia	mammal	s3_seed	0.9275	1.0	1	1
GCA_013397635.1	Columbina picui	Aves	ITPR1	A0A670JBK6|ITPR1|Podarcis_muralis	Podarcis_muralis	reptilia	reptile	s5_addition	0.9415	1.0	1	1
GCA_013397635.1	Columbina picui	Aves	ITPR1	H3A1P5|ITPR1|Latimeria_chalumnae|ITPR1	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s3_seed	0.8434	1.0	1	1
GCA_013397635.1	Columbina picui	Aves	ITPR2	A0A8M9PQQ3|itpr2|Danio_rerio|ITPR2	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.7411	0.9876	1	1
GCA_013397635.1	Columbina picui	Aves	ITPR2	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	Astatotilapia_calliptera	actinopteri	ray-finned fish	s5_addition	0.7403	0.9885	1	1
GCA_013397635.1	Columbina picui	Aves	ITPR2	A0A6I8RGU0|itpr2|Xenopus_tropicalis|ITPR2	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.872	0.9885	1	1
GCA_013397635.1	Columbina picui	Aves	ITPR2	A0A672UP22|ITPR2|Strigops_habroptila	Strigops_habroptila	aves	bird	s5_addition	0.9693	0.9885	1	1
GCA_013397635.1	Columbina picui	Aves	ITPR2	F1P1X4|ITPR2|Gallus_gallus|ITPR2	Gallus_gallus	aves	bird	s3_seed	0.9637	0.9885	1	1
GCA_013397635.1	Columbina picui	Aves	ITPR2	Q14571|ITPR2|Homo_sapiens|ITPR2	Homo_sapiens	mammalia	mammal	s3_seed	0.9188	0.9885	1	1
GCA_013397635.1	Columbina picui	Aves	ITPR2	Q9Z329|Itpr2|Mus_musculus|ITPR2	Mus_musculus	mammalia	mammal	s3_seed	0.9027	0.9885	1	1
GCA_013397635.1	Columbina picui	Aves	ITPR2	A0ABM1LG32|ITPR2|Gekko_japonicus	Gekko_japonicus	reptilia	reptile	s5_addition	0.9037	0.9885	1	1
GCA_013397635.1	Columbina picui	Aves	RYR	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.8513	1.0	1	1
GCA_013397635.1	Columbina picui	Aves	RYR	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.6673	1.0	1	1
GCA_013397635.1	Columbina picui	Aves	RYR	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Gallus_gallus	aves	bird	s3_seed	0.9732	1.0	1	1
GCA_013397635.1	Columbina picui	Aves	RYR	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal	Callorhinchus_milii	chondrichthyes	cartilaginous fish	s3_seed	0.6717	0.9972	1	1
GCA_013397635.1	Columbina picui	Aves	RYR	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal	Petromyzon_marinus	cyclostomata	cyclostome	s3_seed	0.6797	1.0	1	1
GCA_013397635.1	Columbina picui	Aves	RYR	Q92736|RYR2|Homo_sapiens|RYR2	Homo_sapiens	mammalia	mammal	s3_seed	0.9286	1.0	1	1
GCA_013397635.1	Columbina picui	Aves	RYR	A0A3Q0HBW9|RYR|Alligator_sinensis	Alligator_sinensis	reptilia	reptile	s5_addition	0.9539	0.996	1	1
GCA_013397635.1	Columbina picui	Aves	RYR	H3BGR5|RYR|Latimeria_chalumnae	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s5_addition	0.6567	1.0	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR1	A0A672IUQ7|ITPR1|Salarias_fasciatus	Salarias_fasciatus	actinopteri	ray-finned fish	s5_addition	0.8577	1.0	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR1	A0A8M2BDG0|itpr1a|Danio_rerio|ITPR1	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.8268	1.0	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR1	A0A8J0T3U5|itpr1|Xenopus_tropicalis|ITPR1	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.8878	1.0	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR1	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	Gallus_gallus	aves	bird	s3_seed	0.986	1.0	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR1	A0ABM4F3U0|ITPR1|Apteryx_mantelli	Apteryx_mantelli	aves	bird	s5_addition	0.9847	1.0	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR1	P11881|Itpr1|Mus_musculus|ITPR1	Mus_musculus	mammalia	mammal	s3_seed	0.9404	1.0	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR1	Q14643|ITPR1|Homo_sapiens|ITPR1	Homo_sapiens	mammalia	mammal	s3_seed	0.9424	1.0	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR1	A0A670JBK6|ITPR1|Podarcis_muralis	Podarcis_muralis	reptilia	reptile	s5_addition	0.9542	1.0	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR1	H3A1P5|ITPR1|Latimeria_chalumnae|ITPR1	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s3_seed	0.8525	1.0	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR2	A0A8M9PQQ3|itpr2|Danio_rerio|ITPR2	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.7513	0.9947	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR2	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	Astatotilapia_calliptera	actinopteri	ray-finned fish	s5_addition	0.7542	0.9956	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR2	A0A6I8RGU0|itpr2|Xenopus_tropicalis|ITPR2	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.8835	0.9956	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR2	A0A672UP22|ITPR2|Strigops_habroptila	Strigops_habroptila	aves	bird	s5_addition	0.9792	0.9956	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR2	F1P1X4|ITPR2|Gallus_gallus|ITPR2	Gallus_gallus	aves	bird	s3_seed	0.9766	0.9956	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR2	Q14571|ITPR2|Homo_sapiens|ITPR2	Homo_sapiens	mammalia	mammal	s3_seed	0.926	0.9956	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR2	Q9Z329|Itpr2|Mus_musculus|ITPR2	Mus_musculus	mammalia	mammal	s3_seed	0.9145	0.9956	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR2	A0ABM1LG32|ITPR2|Gekko_japonicus	Gekko_japonicus	reptilia	reptile	s5_addition	0.911	0.9956	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR3	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	Nothobranchius_furzeri	actinopteri	ray-finned fish	s5_addition	0.7492	0.9588	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR3	A0A8M6Z266|itpr3|Danio_rerio|ITPR3	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.7553	0.9594	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR3	A0A8J0SYK9|itpr3|Xenopus_tropicalis|ITPR3	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.8387	0.963	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR3	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	Falcunculus_frontatus	aves	bird	s5_addition	0.9981	0.9652	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR3	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	Gallus_gallus	aves	bird	s3_seed	0.9837	0.967	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR3	A0A4W3GWE7|ITPR3|Callorhinchus_milii	Callorhinchus_milii	chondrichthyes	cartilaginous fish	s5_addition	0.7841	0.9631	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR3	P70227|Itpr3|Mus_musculus|ITPR3	Mus_musculus	mammalia	mammal	s3_seed	0.8824	0.967	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR3	Q14573|ITPR3|Homo_sapiens|ITPR3	Homo_sapiens	mammalia	mammal	s3_seed	0.887	0.9671	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR3	A0A6J0TV85|ITPR3|Pogona_vitticeps	Pogona_vitticeps	reptilia	reptile	s5_addition	0.9225	0.967	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	ITPR3	H3B932|ITPR3|Latimeria_chalumnae	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s5_addition	0.7703	0.9615	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	RYR	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.8518	0.9341	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	RYR	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.6688	0.9373	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	RYR	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Gallus_gallus	aves	bird	s3_seed	0.9769	0.9312	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	RYR	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal	Callorhinchus_milii	chondrichthyes	cartilaginous fish	s3_seed	0.6724	0.936	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	RYR	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal	Petromyzon_marinus	cyclostomata	cyclostome	s3_seed	0.6747	0.9375	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	RYR	Q92736|RYR2|Homo_sapiens|RYR2	Homo_sapiens	mammalia	mammal	s3_seed	0.9323	0.934	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	RYR	A0A3Q0HBW9|RYR|Alligator_sinensis	Alligator_sinensis	reptilia	reptile	s5_addition	0.9558	0.9348	1	1
GCA_013397815.1	Aleadryas rufinucha	Aves	RYR	H3BGR5|RYR|Latimeria_chalumnae	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s5_addition	0.6623	0.9413	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR1	A0A672IUQ7|ITPR1|Salarias_fasciatus	Salarias_fasciatus	actinopteri	ray-finned fish	s5_addition	0.8581	1.0	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR1	A0A8M2BDG0|itpr1a|Danio_rerio|ITPR1	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.8252	1.0	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR1	A0A8J0T3U5|itpr1|Xenopus_tropicalis|ITPR1	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.8845	1.0	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR1	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	Gallus_gallus	aves	bird	s3_seed	0.9856	1.0	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR1	A0ABM4F3U0|ITPR1|Apteryx_mantelli	Apteryx_mantelli	aves	bird	s5_addition	0.9844	1.0	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR1	P11881|Itpr1|Mus_musculus|ITPR1	Mus_musculus	mammalia	mammal	s3_seed	0.9418	1.0	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR1	Q14643|ITPR1|Homo_sapiens|ITPR1	Homo_sapiens	mammalia	mammal	s3_seed	0.9413	1.0	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR1	A0A670JBK6|ITPR1|Podarcis_muralis	Podarcis_muralis	reptilia	reptile	s5_addition	0.9538	1.0	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR1	H3A1P5|ITPR1|Latimeria_chalumnae|ITPR1	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s3_seed	0.8542	1.0	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR2	A0A8M9PQQ3|itpr2|Danio_rerio|ITPR2	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.7473	0.9876	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR2	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	Astatotilapia_calliptera	actinopteri	ray-finned fish	s5_addition	0.7504	0.9885	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR2	A0A6I8RGU0|itpr2|Xenopus_tropicalis|ITPR2	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.8796	0.9885	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR2	A0A672UP22|ITPR2|Strigops_habroptila	Strigops_habroptila	aves	bird	s5_addition	0.982	0.9885	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR2	F1P1X4|ITPR2|Gallus_gallus|ITPR2	Gallus_gallus	aves	bird	s3_seed	0.9786	0.9885	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR2	Q14571|ITPR2|Homo_sapiens|ITPR2	Homo_sapiens	mammalia	mammal	s3_seed	0.9274	0.9885	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR2	Q9Z329|Itpr2|Mus_musculus|ITPR2	Mus_musculus	mammalia	mammal	s3_seed	0.915	0.9885	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR2	A0ABM1LG32|ITPR2|Gekko_japonicus	Gekko_japonicus	reptilia	reptile	s5_addition	0.9091	0.9885	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR3	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	Nothobranchius_furzeri	actinopteri	ray-finned fish	s5_addition	0.7512	0.7049	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR3	A0A8M6Z266|itpr3|Danio_rerio|ITPR3	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.7527	0.7051	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR3	A0A8J0SYK9|itpr3|Xenopus_tropicalis|ITPR3	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.8315	0.7067	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR3	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	Falcunculus_frontatus	aves	bird	s5_addition	0.9942	0.7067	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR3	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	Gallus_gallus	aves	bird	s3_seed	0.9804	0.708	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR3	A0A4W3GWE7|ITPR3|Callorhinchus_milii	Callorhinchus_milii	chondrichthyes	cartilaginous fish	s5_addition	0.7714	0.7099	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR3	P70227|Itpr3|Mus_musculus|ITPR3	Mus_musculus	mammalia	mammal	s3_seed	0.88	0.7071	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR3	Q14573|ITPR3|Homo_sapiens|ITPR3	Homo_sapiens	mammalia	mammal	s3_seed	0.8884	0.7072	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR3	A0A6J0TV85|ITPR3|Pogona_vitticeps	Pogona_vitticeps	reptilia	reptile	s5_addition	0.9258	0.7067	1	1
GCA_013397895.1	Origma solitaria	Aves	ITPR3	H3B932|ITPR3|Latimeria_chalumnae	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s5_addition	0.7441	0.7036	1	1
GCA_013397895.1	Origma solitaria	Aves	RYR	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.8581	0.997	1	1
GCA_013397895.1	Origma solitaria	Aves	RYR	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.6739	0.9968	1	1
GCA_013397895.1	Origma solitaria	Aves	RYR	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Gallus_gallus	aves	bird	s3_seed	0.9782	0.9976	1	1
GCA_013397895.1	Origma solitaria	Aves	RYR	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal	Callorhinchus_milii	chondrichthyes	cartilaginous fish	s3_seed	0.6803	0.9972	1	1
GCA_013397895.1	Origma solitaria	Aves	RYR	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal	Petromyzon_marinus	cyclostomata	cyclostome	s3_seed	0.6855	0.9969	1	1
GCA_013397895.1	Origma solitaria	Aves	RYR	Q92736|RYR2|Homo_sapiens|RYR2	Homo_sapiens	mammalia	mammal	s3_seed	0.9344	0.9968	1	1
GCA_013397895.1	Origma solitaria	Aves	RYR	A0A3Q0HBW9|RYR|Alligator_sinensis	Alligator_sinensis	reptilia	reptile	s5_addition	0.9577	0.996	1	1
GCA_013397895.1	Origma solitaria	Aves	RYR	H3BGR5|RYR|Latimeria_chalumnae	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s5_addition	0.663	1.0	1	1
GCA_013397955.1	Grantiella picta	Aves	ITPR1	A0A672IUQ7|ITPR1|Salarias_fasciatus	Salarias_fasciatus	actinopteri	ray-finned fish	s5_addition	0.8581	1.0	1	1
GCA_013397955.1	Grantiella picta	Aves	ITPR1	A0A8M2BDG0|itpr1a|Danio_rerio|ITPR1	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.8252	1.0	1	1
GCA_013397955.1	Grantiella picta	Aves	ITPR1	A0A8J0T3U5|itpr1|Xenopus_tropicalis|ITPR1	Xenopus_tropicalis	amphibia	amphibian	s3_seed	0.8843	1.0	1	1
GCA_013397955.1	Grantiella picta	Aves	ITPR1	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	Gallus_gallus	aves	bird	s3_seed	0.9867	1.0	1	1
GCA_013397955.1	Grantiella picta	Aves	ITPR1	A0ABM4F3U0|ITPR1|Apteryx_mantelli	Apteryx_mantelli	aves	bird	s5_addition	0.9826	1.0	1	1
GCA_013397955.1	Grantiella picta	Aves	ITPR1	P11881|Itpr1|Mus_musculus|ITPR1	Mus_musculus	mammalia	mammal	s3_seed	0.9418	1.0	1	1
GCA_013397955.1	Grantiella picta	Aves	ITPR1	Q14643|ITPR1|Homo_sapiens|ITPR1	Homo_sapiens	mammalia	mammal	s3_seed	0.942	1.0	1	1
GCA_013397955.1	Grantiella picta	Aves	ITPR1	A0A670JBK6|ITPR1|Podarcis_muralis	Podarcis_muralis	reptilia	reptile	s5_addition	0.9516	1.0	1	1
GCA_013397955.1	Grantiella picta	Aves	ITPR1	H3A1P5|ITPR1|Latimeria_chalumnae|ITPR1	Latimeria_chalumnae	sarcopterygian_fish	lobe-finned fish	s3_seed	0.8552	1.0	1	1
GCA_013397955.1	Grantiella picta	Aves	ITPR2	A0A8M9PQQ3|itpr2|Danio_rerio|ITPR2	Danio_rerio	actinopteri	ray-finned fish	s3_seed	0.7464	0.9992	1	1
