accession	cell	min_sufficient_identity
GCF_030463565.1	ITPR2	0.7522
GCF_030463565.1	ITPR3	0.7538
GCF_030463565.1	RYR	0.6626
GCF_030490865.1	ITPR1	0.8225
GCF_030490865.1	ITPR2	0.7496
GCF_030490865.1	ITPR3	0.7474
GCF_030490865.1	RYR	0.6626
GCF_030867095.1	ITPR1	0.8255
GCF_030867095.1	ITPR2	0.7462
GCF_030867095.1	ITPR3	0.7524
GCF_030867095.1	RYR	0.6629
GCF_030867145.1	ITPR1	0.8232
GCF_030867145.1	ITPR2	0.7505
GCF_030867145.1	ITPR3	0.7494
GCF_030867145.1	RYR	0.6627
GCF_030936135.1	ITPR1	0.8197
GCF_030936135.1	ITPR2	0.7537
GCF_030936135.1	ITPR3	0.759
GCF_030936135.1	RYR	0.6651
GCF_033026475.1	ITPR1	0.8241
GCF_033026475.1	ITPR2	0.7659
GCF_033026475.1	ITPR3	0.7237
GCF_033026475.1	RYR	0.6466
GCF_033807715.1	ITPR1	0.8193
GCF_033807715.1	ITPR2	0.7613
GCF_033807715.1	ITPR3	0.7272
GCF_033807715.1	RYR	0.6444
GCF_033978785.1	ITPR1	0.8062
GCF_033978785.1	ITPR2	0.7397
GCF_033978785.1	ITPR3	0.7035
GCF_033978785.1	RYR	0.6295
GCF_034619465.1	ITPR1	0.8254
GCF_034619465.1	ITPR2	0.7541
GCF_034619465.1	ITPR3	0.7506
GCF_034619465.1	RYR	0.6642
GCF_034638445.1	ITPR1	0.825
GCF_034638445.1	ITPR2	0.7533
GCF_034638445.1	ITPR3	0.7564
GCF_034638445.1	RYR	0.6642
GCF_034702125.1	ITPR1	0.7939
GCF_034702125.1	ITPR2	0.7654
GCF_034702125.1	ITPR3	0.7016
GCF_034702125.1	RYR	0.6419
GCF_035084215.1	ITPR1	0.8166
GCF_035084215.1	ITPR2	0.7256
GCF_035084215.1	ITPR3	0.7413
GCF_035084215.1	RYR	0.6614
GCF_035582795.1	ITPR1	0.8254
GCF_035582795.1	ITPR2	0.7533
GCF_035582795.1	ITPR3	0.7545
GCF_035582795.1	RYR	0.6639
GCF_035609145.1	ITPR1	0.813
GCF_035609145.1	ITPR2	0.7232
GCF_035609145.1	ITPR3	0.7478
GCF_035609145.1	RYR	0.6495
GCF_036013445.1	ITPR1	0.8221
GCF_036013445.1	ITPR2	0.7531
GCF_036013445.1	ITPR3	0.7504
GCF_036013445.1	RYR	0.6635
GCF_036365525.1	ITPR1	0.8188
GCF_036365525.1	ITPR2	0.723
GCF_036365525.1	ITPR3	0.7324
GCF_036365525.1	RYR	0.6626
GCF_036370855.1	ITPR1	0.8263
GCF_036370855.1	ITPR2	0.7528
GCF_036370855.1	ITPR3	0.7568
GCF_036370855.1	RYR	0.6634
GCF_036373705.1	ITPR1	0.8563
GCF_036373705.1	ITPR2	0.7878
GCF_036373705.1	ITPR3	0.7489
GCF_036373705.1	RYR	0.6628
GCF_036417535.1	ITPR1	0.8258
GCF_036417535.1	ITPR2	0.7548
GCF_036417535.1	ITPR3	0.7556
GCF_036417535.1	RYR	0.6625
GCF_036417845.1	ITPR1	0.8236
GCF_036417845.1	ITPR2	0.7533
GCF_036417845.1	ITPR3	0.7573
GCF_036417845.1	RYR	0.6629
GCF_036850765.1	ITPR1	0.8206
GCF_036850765.1	ITPR2	0.7462
GCF_036850765.1	ITPR3	0.7471
GCF_036850765.1	RYR	0.6394
GCF_036971445.1	ITPR1	0.8161
GCF_036971445.1	ITPR2	0.7209
GCF_036971445.1	ITPR3	0.725
GCF_036971445.1	RYR	0.6598
GCF_037157495.1	ITPR1	0.822
GCF_037157495.1	ITPR2	0.7548
GCF_037157495.1	ITPR3	0.7546
GCF_037157495.1	RYR	0.6644
GCF_037176945.1	ITPR1	0.841
GCF_037176945.1	ITPR2	0.734
GCF_037176945.1	ITPR3	0.7349
GCF_037176945.1	RYR	0.6571
GCF_037893015.1	ITPR1	0.8309
GCF_037893015.1	ITPR2	0.7266
GCF_037893015.1	ITPR3	0.7481
GCF_037893015.1	RYR	0.6633
GCF_039877785.1	ITPR1	0.8226
GCF_039877785.1	ITPR2	0.7703
GCF_039877785.1	ITPR3	0.7319
GCF_039877785.1	RYR	0.6479
GCF_040054535.1	ITPR1	0.8174
GCF_040054535.1	ITPR2	0.7627
GCF_040054535.1	ITPR3	0.7164
GCF_040054535.1	RYR	0.64
GCF_040807025.1	ITPR1	0.8227
GCF_040807025.1	ITPR2	0.7525
GCF_040807025.1	ITPR3	0.7525
GCF_040807025.1	RYR	0.6599
GCF_040954835.1	ITPR1	0.8555
GCF_040954835.1	ITPR2	0.7874
GCF_040954835.1	ITPR3	0.7439
GCF_040954835.1	RYR	0.661
GCF_041296385.2	ITPR1	0.8251
GCF_041296385.2	ITPR2	0.75
GCF_041296385.2	ITPR3	0.7584
GCF_041296385.2	RYR	0.6629
GCF_041902795.1	ITPR1	0.785
GCF_041902795.1	ITPR2	0.7319
GCF_041902795.1	ITPR3	0.723
GCF_041902795.1	RYR	0.6448
GCF_042186555.1	ITPR2	0.742
GCF_042186555.1	ITPR3	0.7427
GCF_042186555.1	RYR	0.6576
GCF_042242105.1	ITPR1	0.8184
GCF_042242105.1	ITPR2	0.7685
GCF_042242105.1	ITPR3	0.7311
GCF_042242105.1	RYR	0.6436
GCF_043380555.1	ITPR1	0.7897
GCF_043380555.1	ITPR2	0.714
GCF_043380555.1	ITPR3	0.7165
GCF_043380555.1	RYR	0.6412
GCF_045865225.1	ITPR1	0.8268
GCF_045865225.1	ITPR2	0.7712
GCF_045865225.1	ITPR3	0.7294
GCF_045865225.1	RYR	0.645
GCF_046128005.1	ITPR1	0.8205
GCF_046128005.1	ITPR2	0.7377
GCF_046128005.1	ITPR3	0.7066
GCF_046128005.1	RYR	0.6446
GCF_047370975.1	ITPR1	0.8243
GCF_047370975.1	ITPR2	0.7504
GCF_047370975.1	ITPR3	0.7473
GCF_047370975.1	RYR	0.6636
GCF_047496795.1	ITPR1	0.8183
GCF_047496795.1	ITPR2	0.7216
GCF_047496795.1	ITPR3	0.7379
GCF_047496795.1	RYR	0.6594
GCF_047496885.1	ITPR1	0.8121
GCF_047496885.1	ITPR2	0.7198
GCF_047496885.1	ITPR3	0.7318
GCF_047496885.1	RYR	0.6584
GCF_047663525.1	ITPR1	0.8244
GCF_047663525.1	ITPR2	0.7519
GCF_047663525.1	ITPR3	0.7584
GCF_047663525.1	RYR	0.6643
GCF_047716275.1	ITPR1	0.8236
GCF_047716275.1	ITPR2	0.7505
GCF_047716275.1	ITPR3	0.7599
GCF_047716275.1	RYR	0.6619
GCF_048418815.1	ITPR1	0.8119
GCF_048418815.1	ITPR2	0.7215
GCF_048418815.1	ITPR3	0.7158
GCF_048418815.1	RYR	0.6599
GCF_048593235.1	ITPR1	0.8294
GCF_048593235.1	ITPR2	0.746
GCF_048593235.1	ITPR3	0.7531
GCF_048593235.1	RYR	0.6627
GCF_048594095.1	ITPR1	0.8426
GCF_048594095.1	ITPR2	0.7726
GCF_048594095.1	ITPR3	0.7199
GCF_048594095.1	RYR	0.6587
GCF_048934315.1	ITPR1	0.6941
GCF_048934315.1	RYR	0.6548
GCF_049350105.2	ITPR1	0.8218
GCF_049350105.2	ITPR2	0.7455
GCF_049350105.2	ITPR3	0.7496
GCF_049350105.2	RYR	0.6624
GCF_050624435.1	ITPR1	0.8244
GCF_050624435.1	ITPR2	0.7468
GCF_050624435.1	ITPR3	0.742
GCF_050624435.1	RYR	0.6588
GCF_052040795.1	ITPR1	0.793
GCF_052040795.1	ITPR2	0.7431
GCF_052040795.1	ITPR3	0.7149
GCF_052040795.1	RYR	0.6496
GCF_052327205.1	ITPR1	0.7891
GCF_052327205.1	ITPR2	0.7212
GCF_052327205.1	ITPR3	0.7401
GCF_052327205.1	RYR	0.6624
GCF_054371585.1	ITPR1	0.825
GCF_054371585.1	ITPR2	0.7467
GCF_054371585.1	ITPR3	0.74
GCF_054371585.1	RYR	0.6616
GCF_054491055.1	ITPR1	0.8268
GCF_054491055.1	ITPR2	0.7623
GCF_054491055.1	ITPR3	0.7238
GCF_054491055.1	RYR	0.656
GCF_056507025.1	ITPR1	0.8268
GCF_056507025.1	ITPR2	0.7749
GCF_056507025.1	ITPR3	0.7328
GCF_056507025.1	RYR	0.6477
GCF_057381845.1	ITPR1	0.8237
GCF_057381845.1	ITPR2	0.7494
GCF_057381845.1	ITPR3	0.7231
GCF_057381845.1	RYR	0.6453
GCF_900324485.3	ITPR1	0.8248
GCF_900324485.3	ITPR2	0.7571
GCF_900324485.3	ITPR3	0.7233
GCF_900324485.3	RYR	0.6405
GCF_900634775.2	ITPR1	0.8218
GCF_900634775.2	ITPR2	0.7495
GCF_900634775.2	ITPR3	0.701
GCF_900634775.2	RYR	0.6336
GCF_900747795.2	ITPR1	0.8468
GCF_900747795.2	ITPR2	0.7188
GCF_900747795.2	ITPR3	0.7212
GCF_900747795.2	RYR	0.6593
GCF_900880675.2	ITPR1	0.8219
GCF_900880675.2	ITPR2	0.7676
GCF_900880675.2	ITPR3	0.7326
GCF_900880675.2	RYR	0.6458
GCF_901000725.3	ITPR1	0.8154
GCF_901000725.3	ITPR2	0.7619
GCF_901000725.3	ITPR3	0.6826
GCF_901000725.3	RYR	0.648
GCF_901001135.2	ITPR1	0.8208
GCF_901001135.2	ITPR2	0.7477
GCF_901001135.2	ITPR3	0.7546
GCF_901001135.2	RYR	0.6582
GCF_902148855.1	ITPR1	0.8245
GCF_902148855.1	ITPR2	0.7522
GCF_902148855.1	ITPR3	0.7285
GCF_902148855.1	RYR	0.6409
GCF_902150065.1	ITPR1	0.8339
GCF_902150065.1	ITPR2	0.7771
GCF_902150065.1	ITPR3	0.7321
GCF_902150065.1	RYR	0.6454
GCF_902167405.1	ITPR1	0.8175
GCF_902167405.1	ITPR2	0.7528
GCF_902167405.1	ITPR3	0.709
GCF_902167405.1	RYR	0.6367
GCF_902362185.1	ITPR1	0.7877
GCF_902362185.1	ITPR2	0.7733
GCF_902362185.1	ITPR3	0.7394
GCF_902362185.1	RYR	0.6561
GCF_902500255.1	ITPR1	0.8225
GCF_902500255.1	ITPR2	0.7623
GCF_902500255.1	ITPR3	0.7117
GCF_902500255.1	RYR	0.6386
GCF_907165065.1	ITPR1	0.8248
GCF_907165065.1	ITPR2	0.7526
GCF_907165065.1	ITPR3	0.7603
GCF_907165065.1	RYR	0.662
GCF_933228915.1	ITPR1	0.8076
GCF_933228915.1	ITPR2	0.7563
GCF_933228915.1	ITPR3	0.7265
GCF_933228915.1	RYR	0.6392
GCF_947461875.1	ITPR1	0.8233
GCF_947461875.1	ITPR2	0.7523
GCF_947461875.1	ITPR3	0.7602
GCF_947461875.1	RYR	0.6645
GCF_949152265.1	ITPR1	0.7905
GCF_949152265.1	ITPR2	0.7355
GCF_949152265.1	ITPR3	0.7199
GCF_949152265.1	RYR	0.6478
GCF_949606895.1	ITPR1	0.8209
GCF_949606895.1	ITPR2	0.7611
GCF_949606895.1	ITPR3	0.7237
GCF_949606895.1	RYR	0.6439
GCF_949987555.1	ITPR1	0.8268
GCF_949987555.1	ITPR2	0.7655
GCF_949987555.1	ITPR3	0.7241
GCF_949987555.1	RYR	0.6526
GCF_949987685.1	ITPR1	0.82
GCF_949987685.1	ITPR2	0.762
GCF_949987685.1	ITPR3	0.6744
GCF_949987685.1	RYR	0.6436
GCF_951640355.1	ITPR1	0.8203
GCF_951640355.1	ITPR2	0.7508
GCF_951640355.1	ITPR3	0.7417
GCF_951640355.1	RYR	0.6576
GCF_951799975.1	ITPR1	0.817
GCF_951799975.1	ITPR2	0.7533
GCF_951799975.1	ITPR3	0.7113
GCF_951799975.1	RYR	0.6336
GCF_960531495.1	ITPR1	0.8258
GCF_960531495.1	ITPR2	0.7683
GCF_960531495.1	ITPR3	0.7263
GCF_960531495.1	RYR	0.6515
GCF_963457635.1	ITPR1	0.8173
GCF_963457635.1	ITPR2	0.7661
GCF_963457635.1	ITPR3	0.7298
GCF_963457635.1	RYR	0.6421
GCF_963514005.1	ITPR1	0.8155
GCF_963514005.1	ITPR2	0.7179
GCF_963514005.1	ITPR3	0.7192
GCF_963514005.1	RYR	0.6577
GCF_963514075.1	ITPR1	0.837
GCF_963514075.1	ITPR2	0.7847
GCF_963514075.1	ITPR3	0.7332
GCF_963514075.1	RYR	0.6592
GCF_963514085.1	ITPR1	0.825
GCF_963514085.1	ITPR2	0.7677
GCF_963514085.1	ITPR3	0.7301
GCF_963514085.1	RYR	0.6396
GCF_963921795.1	ITPR1	0.8153
GCF_963921795.1	ITPR2	0.764
GCF_963921795.1	ITPR3	0.7233
GCF_963921795.1	RYR	0.6467
GCF_963921805.1	ITPR1	0.8269
GCF_963921805.1	ITPR2	0.7519
GCF_963921805.1	ITPR3	0.7567
GCF_963921805.1	RYR	0.6626
GCF_963971535.1	ITPR1	0.7955
GCF_963971535.1	ITPR2	0.7658
GCF_963971535.1	ITPR3	0.7262
GCF_963971535.1	RYR	0.64
GCF_963989245.1	ITPR1	0.8211
GCF_963989245.1	ITPR2	0.7764
GCF_963989245.1	ITPR3	0.7144
GCF_963989245.1	RYR	0.6427
GCF_964187855.1	ITPR1	0.6522
GCF_964187855.1	RYR	0.6229
GCF_964195595.1	ITPR1	0.8233
GCF_964195595.1	ITPR2	0.7536
GCF_964195595.1	ITPR3	0.7539
GCF_964195595.1	RYR	0.6642
GCF_964237555.1	ITPR1	0.8228
GCF_964237555.1	ITPR2	0.7447
GCF_964237555.1	ITPR3	0.7278
GCF_964237555.1	RYR	0.6653
GCF_964237585.1	ITPR1	0.8261
GCF_964237585.1	ITPR2	0.7542
GCF_964237585.1	ITPR3	0.7528
GCF_964237585.1	RYR	0.6653
GCF_964261635.1	ITPR1	0.8209
GCF_964261635.1	ITPR2	0.7438
GCF_964261635.1	ITPR3	0.7506
GCF_964261635.1	RYR	0.6544
GCF_964289735.1	ITPR1	0.8243
GCF_964289735.1	ITPR2	0.754
GCF_964289735.1	ITPR3	0.7545
GCF_964289735.1	RYR	0.6613
GCF_964417175.1	ITPR1	0.8247
GCF_964417175.1	ITPR2	0.7511
GCF_964417175.1	ITPR3	0.7577
GCF_964417175.1	RYR	0.6607
GCF_964638095.1	ITPR1	0.8225
GCF_964638095.1	ITPR2	0.7526
GCF_964638095.1	ITPR3	0.7321
GCF_964638095.1	RYR	0.6457
GCF_965183815.1	ITPR1	0.8243
GCF_965183815.1	ITPR2	0.7528
GCF_965183815.1	ITPR3	0.752
GCF_965183815.1	RYR	0.6647
GCF_965601325.1	ITPR1	0.8306
GCF_965601325.1	ITPR2	0.7715
GCF_965601325.1	ITPR3	0.737
GCF_965601325.1	RYR	0.6494
GCF_965638725.1	ITPR1	0.8218
GCF_965638725.1	ITPR2	0.7522
GCF_965638725.1	ITPR3	0.7542
GCF_965638725.1	RYR	0.6628
