accession	organism	vclass	cell	status	grade	found	control	control_reason	false_negative	s15_state	s15_rule	level	annotated_assembly	annotation_source	contig_n50	scaffold_n50	total_length_bp	spans_gene	best_coverage	recon_coverage
GCA_013400415.1	Scytalopus superciliaris	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	60031	632025	1061776118	0	1.0	0.0
GCA_013400415.1	Scytalopus superciliaris	Aves	RYR	found_unannotated	found	1	ryr_sister	present in every vertebrate	0			Scaffold	Y	GenBank	60031	632025	1061776118	0	0.8831	0.0
GCA_013400445.1	Leiothrix lutea	Aves	ITPR1	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	27764	297511	1058758629	0	0.0	0.7262
GCA_013400445.1	Leiothrix lutea	Aves	ITPR2	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	27764	297511	1058758629	0	1.0	0.0
GCA_013400445.1	Leiothrix lutea	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	27764	297511	1058758629	0	1.0	0.0
GCA_013400445.1	Leiothrix lutea	Aves	RYR	found_unannotated	found	1	ryr_sister	present in every vertebrate	0			Scaffold	Y	GenBank	27764	297511	1058758629	0	0.7107	0.0
GCA_013400515.1	Erpornis zantholeuca	Aves	ITPR1	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	45331	176063	1013967273	0	1.0	0.0
GCA_013400515.1	Erpornis zantholeuca	Aves	ITPR2	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	45331	176063	1013967273	0	0.9885	0.0
GCA_013400515.1	Erpornis zantholeuca	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	45331	176063	1013967273	0	1.0	0.0
GCA_013400515.1	Erpornis zantholeuca	Aves	RYR	assembly_gap	assembly_gap	0	ryr_sister	present in every vertebrate	1			Scaffold	Y	GenBank	45331	176063	1013967273	0	0.3158	0.0
GCA_013400585.1	Chloropsis cyanopogon	Aves	ITPR1	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	24720	106723	985401841	0	1.0	0.0
GCA_013400585.1	Chloropsis cyanopogon	Aves	ITPR2	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	24720	106723	985401841	0	0.9885	0.0
GCA_013400585.1	Chloropsis cyanopogon	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	24720	106723	985401841	0	1.0	0.0
GCA_013400585.1	Chloropsis cyanopogon	Aves	RYR	assembly_gap	assembly_gap	0	ryr_sister	present in every vertebrate	1			Scaffold	Y	GenBank	24720	106723	985401841	0	0.186	0.0
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR1	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	23460	39504	854293167	0	0.0	0.8359
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR2	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	23460	39504	854293167	0	0.0	0.7419
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	23460	39504	854293167	0	1.0	0.0
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	RYR	assembly_gap	assembly_gap	0	ryr_sister	present in every vertebrate	1			Scaffold	Y	GenBank	23460	39504	854293167	0	0.1935	0.0
GCA_013400655.1	Mystacornis crossleyi	Aves	ITPR1	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	10653	36392	1116797458	0	0.0	0.1866
GCA_013400655.1	Mystacornis crossleyi	Aves	ITPR2	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	10653	36392	1116797458	0	0.7374	0.0
GCA_013400655.1	Mystacornis crossleyi	Aves	ITPR3	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	10653	36392	1116797458	0	0.0	0.6587
GCA_013400655.1	Mystacornis crossleyi	Aves	RYR	assembly_gap	assembly_gap	0	ryr_sister	present in every vertebrate	1			Scaffold	Y	GenBank	10653	36392	1116797458	0	0.1181	0.0
GCA_013400675.1	Oxylabes madagascariensis	Aves	ITPR1	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	3531	17018	1199250113	0	0.0	0.2355
GCA_013400675.1	Oxylabes madagascariensis	Aves	ITPR2	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	3531	17018	1199250113	0	0.3204	0.0
GCA_013400675.1	Oxylabes madagascariensis	Aves	ITPR3	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	3531	17018	1199250113	0	0.1734	0.0
GCA_013400675.1	Oxylabes madagascariensis	Aves	RYR	assembly_gap	assembly_gap	0	ryr_sister	present in every vertebrate	1			Scaffold	Y	GenBank	3531	17018	1199250113	0	0.2806	0.0
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR1	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	7054	18836	1024462016	0	0.0	0.2703
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR2	fragment	fragment	0	itpr_present	S15a present_partial (R3)	1	present_partial	R3	Scaffold	Y	GenBank	7054	18836	1024462016	0	0.187	0.0
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR3	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	7054	18836	1024462016	0	0.1345	0.0
GCA_013400695.1	Neodrepanis coruscans	Aves	RYR	assembly_gap	assembly_gap	0	ryr_sister	present in every vertebrate	1			Scaffold	Y	GenBank	7054	18836	1024462016	0	0.2589	0.0
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR1	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	34780	71937	1020560999	0	0.0	0.9403
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR2	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	34780	71937	1020560999	0	0.5607	0.0
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	34780	71937	1020560999	0	1.0	0.0
GCA_013400735.1	Pomatostomus ruficeps	Aves	RYR	assembly_gap	assembly_gap	0	ryr_sister	present in every vertebrate	1			Scaffold	Y	GenBank	34780	71937	1020560999	0	0.2017	0.0
GCA_013400815.1	Centropus bengalensis	Aves	ITPR1	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	34951	1149962	1015638883	0	0.5002	0.0
GCA_013400815.1	Centropus bengalensis	Aves	ITPR2	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	34951	1149962	1015638883	0	1.0	0.0
GCA_013400815.1	Centropus bengalensis	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	34951	1149962	1015638883	0	0.9655	0.0
GCA_013400815.1	Centropus bengalensis	Aves	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Scaffold	Y	GenBank	34951	1149962	1015638883	0	1.0	0.0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR1	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	13219	37415	1040192226	0	0.0	0.2434
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR2	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	13219	37415	1040192226	0	0.5981	0.0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR3	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	13219	37415	1040192226	0	0.0	0.4929
GCA_013400855.1	Buphagus erythrorhynchus	Aves	RYR	assembly_gap	assembly_gap	0	ryr_sister	present in every vertebrate	1			Scaffold	Y	GenBank	13219	37415	1040192226	0	0.1558	0.0
GCA_013400895.1	Thalassarche chlororhynchos	Aves	ITPR1	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	23404	47773	1087776125	0	0.7629	0.0
GCA_013400895.1	Thalassarche chlororhynchos	Aves	ITPR2	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	23404	47773	1087776125	0	0.0	0.89
GCA_013400895.1	Thalassarche chlororhynchos	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	23404	47773	1087776125	0	1.0	0.0
GCA_013400895.1	Thalassarche chlororhynchos	Aves	RYR	assembly_gap	assembly_gap	0	ryr_sister	present in every vertebrate	1			Scaffold	Y	GenBank	23404	47773	1087776125	0	0.1457	0.0
GCA_013400915.1	Pardalotus punctatus	Aves	ITPR1	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	83169	306807	1032444361	0	0.4538	0.0
GCA_013400915.1	Pardalotus punctatus	Aves	ITPR2	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	83169	306807	1032444361	0	0.4722	0.0
GCA_013400915.1	Pardalotus punctatus	Aves	ITPR3	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	83169	306807	1032444361	0	0.6157	0.0
GCA_013400915.1	Pardalotus punctatus	Aves	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Scaffold	Y	GenBank	83169	306807	1032444361	0	0.9976	0.0
GCA_013400955.1	Drymodes brunneopygia	Aves	ITPR1	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	79910	443364	1058966521	0	0.706	0.0
GCA_013400955.1	Drymodes brunneopygia	Aves	ITPR2	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	79910	443364	1058966521	0	0.6263	0.0
GCA_013400955.1	Drymodes brunneopygia	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	79910	443364	1058966521	0	0.9652	0.0
GCA_013400955.1	Drymodes brunneopygia	Aves	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Scaffold	Y	GenBank	79910	443364	1058966521	0	0.9764	0.0
GCA_013400995.1	Oreotrochilus melanogaster	Aves	ITPR1	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	7679	167855	1107792040	0	0.5934	0.0
GCA_013400995.1	Oreotrochilus melanogaster	Aves	ITPR2	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	7679	167855	1107792040	0	0.7311	0.0
GCA_013400995.1	Oreotrochilus melanogaster	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	7679	167855	1107792040	0	0.9655	0.0
GCA_013400995.1	Oreotrochilus melanogaster	Aves	RYR	assembly_gap	assembly_gap	0	ryr_sister	present in every vertebrate	1			Scaffold	Y	GenBank	7679	167855	1107792040	0	0.5525	0.0
GCA_013401035.1	Horornis vulcanius	Aves	ITPR1	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	3129	15429	1223573813	0	0.0	0.2565
GCA_013401035.1	Horornis vulcanius	Aves	ITPR2	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	3129	15429	1223573813	0	0.1804	0.0
GCA_013401035.1	Horornis vulcanius	Aves	ITPR3	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	3129	15429	1223573813	0	0.2019	0.0
GCA_013401035.1	Horornis vulcanius	Aves	RYR	assembly_gap	assembly_gap	0	ryr_sister	present in every vertebrate	1			Scaffold	Y	GenBank	3129	15429	1223573813	0	0.1761	0.0
GCA_013401195.1	Pomatorhinus ruficollis	Aves	ITPR1	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	60017	1256354	1065047492	0	0.0	0.8539
GCA_013401195.1	Pomatorhinus ruficollis	Aves	ITPR2	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	60017	1256354	1065047492	0	1.0	0.0
GCA_013401195.1	Pomatorhinus ruficollis	Aves	ITPR3	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	60017	1256354	1065047492	0	0.0	0.6172
GCA_013401195.1	Pomatorhinus ruficollis	Aves	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Scaffold	Y	GenBank	60017	1256354	1065047492	0	1.0	0.0
GCA_013401215.1	Atlantisia rogersi	Aves	ITPR1	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	36139	36904	1168394043	0	0.636	0.0
GCA_013401215.1	Atlantisia rogersi	Aves	ITPR2	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	36139	36904	1168394043	0	0.2878	0.0
GCA_013401215.1	Atlantisia rogersi	Aves	ITPR3	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	36139	36904	1168394043	0	0.5315	0.0
GCA_013401215.1	Atlantisia rogersi	Aves	RYR	assembly_gap	assembly_gap	0	ryr_sister	present in every vertebrate	1			Scaffold	Y	GenBank	36139	36904	1168394043	0	0.4193	0.0
GCA_013401255.1	Urocolius indicus	Aves	ITPR1	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	94415	261726	1109599764	0	1.0	0.0
GCA_013401255.1	Urocolius indicus	Aves	ITPR2	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	94415	261726	1109599764	0	0.6622	0.0
GCA_013401255.1	Urocolius indicus	Aves	ITPR3	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	94415	261726	1109599764	0	0.5757	0.0
GCA_013401255.1	Urocolius indicus	Aves	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Scaffold	Y	GenBank	94415	261726	1109599764	0	0.9764	0.0
GCA_013401295.1	Glareola pratincola	Aves	ITPR1	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	39898	411631	1172993239	0	1.0	0.0
GCA_013401295.1	Glareola pratincola	Aves	ITPR2	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	39898	411631	1172993239	0	0.7444	0.0
GCA_013401295.1	Glareola pratincola	Aves	ITPR3	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	39898	411631	1172993239	0	0.6107	0.0
GCA_013401295.1	Glareola pratincola	Aves	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Scaffold	Y	GenBank	39898	411631	1172993239	0	0.9974	0.0
GCA_013401315.1	Balaeniceps rex	Aves	ITPR1	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	24547	60453	1181932130	0	0.8793	0.0
GCA_013401315.1	Balaeniceps rex	Aves	ITPR2	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	24547	60453	1181932130	0	0.4748	0.0
GCA_013401315.1	Balaeniceps rex	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	24547	60453	1181932130	0	0.9125	0.0
GCA_013401315.1	Balaeniceps rex	Aves	RYR	assembly_gap	assembly_gap	0	ryr_sister	present in every vertebrate	1			Scaffold	Y	GenBank	24547	60453	1181932130	0	0.1169	0.0
GCA_013401355.1	Ceyx cyanopectus	Aves	ITPR1	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	Y	GenBank	14890	25847	1119293467	0	0.1979	0.0
GCA_013401355.1	Ceyx cyanopectus	Aves	ITPR2	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	Y	GenBank	14890	25847	1119293467	0	0.783	0.0
GCA_013401355.1	Ceyx cyanopectus	Aves	ITPR3	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	Y	GenBank	14890	25847	1119293467	0	0.0	0.6603
GCA_013401355.1	Ceyx cyanopectus	Aves	RYR	assembly_gap	assembly_gap	0	ryr_sister	present in every vertebrate	1			Scaffold	Y	GenBank	14890	25847	1119293467	0	0.2424	0.0
GCA_014281875.1	Nibea albiflora	Actinopteri	ITPR1	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	4420150	25433336	627578634	1	1.0	0.0
GCA_014281875.1	Nibea albiflora	Actinopteri	ITPR2	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	4420150	25433336	627578634	1	1.0	0.0
GCA_014281875.1	Nibea albiflora	Actinopteri	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	4420150	25433336	627578634	1	1.0	0.0
GCA_014281875.1	Nibea albiflora	Actinopteri	RYR	found_unannotated	found	1	ryr_sister	present in every vertebrate	0			Chromosome	Y	GenBank	4420150	25433336	627578634	1	1.0	0.0
GCA_014363365.1	Leucopsar rothschildi	Aves	ITPR1	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	N	GenBank	104200	220241	999682512	0	0.4959	0.0
GCA_014363365.1	Leucopsar rothschildi	Aves	ITPR2	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	N	GenBank	104200	220241	999682512	0	0.5363	0.0
GCA_014363365.1	Leucopsar rothschildi	Aves	ITPR3	assembly_gap	assembly_gap	0	itpr_present	S15a present_truncated (R2)	1	present_truncated	R2	Scaffold	N	GenBank	104200	220241	999682512	0	0.4052	0.0
GCA_014363365.1	Leucopsar rothschildi	Aves	RYR	assembly_gap	assembly_gap	0	ryr_sister	present in every vertebrate	1			Scaffold	N	GenBank	104200	220241	999682512	0	0.5938	0.0
GCA_014839755.1	Sylvia borin	Aves	ITPR1	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	31914676	72750092	1045652180	1	1.0	0.0
GCA_014839755.1	Sylvia borin	Aves	ITPR2	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	31914676	72750092	1045652180	1	1.0	0.0
GCA_014839755.1	Sylvia borin	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	31914676	72750092	1045652180	1	1.0	0.0
GCA_014839755.1	Sylvia borin	Aves	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Chromosome	Y	GenBank	31914676	72750092	1045652180	1	1.0	0.0
GCA_015883425.2	Lamprotornis superbus	Aves	ITPR1	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	150307	72276715	1068005652	1	1.0	0.0
GCA_015883425.2	Lamprotornis superbus	Aves	ITPR2	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	150307	72276715	1068005652	1	1.0	0.0
GCA_015883425.2	Lamprotornis superbus	Aves	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	150307	72276715	1068005652	1	1.0	0.0
GCA_015883425.2	Lamprotornis superbus	Aves	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Chromosome	Y	GenBank	150307	72276715	1068005652	1	1.0	0.0
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	ITPR1	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	956540	20392628	461946147	1	1.0	0.0
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	ITPR2	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	956540	20392628	461946147	1	1.0	0.0
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	956540	20392628	461946147	1	1.0	0.0
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Chromosome	Y	GenBank	956540	20392628	461946147	1	1.0	0.0
GCA_018340635.1	Bothrops jararaca	Lepidosauria	ITPR1	found_no_annotation	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	N	GenBank	162550	164310	1672323932	1	0.9701	0.0
GCA_018340635.1	Bothrops jararaca	Lepidosauria	ITPR2	tblastn_trace	trace	0	itpr_present	S15a present_fragmented (R4)	1	present_fragmented	R4	Scaffold	N	GenBank	162550	164310	1672323932	1	0.0	0.7956
GCA_018340635.1	Bothrops jararaca	Lepidosauria	ITPR3	found_no_annotation	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Scaffold	N	GenBank	162550	164310	1672323932	1	1.0	0.0
GCA_018340635.1	Bothrops jararaca	Lepidosauria	RYR	found_no_annotation	found	1	ryr_sister	present in every vertebrate	0			Scaffold	N	GenBank	162550	164310	1672323932	1	1.0	0.0
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	ITPR1	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	783846	293320900	3210867089	1	1.0	0.0
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	ITPR2	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	783846	293320900	3210867089	1	1.0	0.0
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	ITPR3	found_unannotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	783846	293320900	3210867089	1	1.0	0.0
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Chromosome	Y	GenBank	783846	293320900	3210867089	1	1.0	0.0
GCA_020745705.1	Hemiprocne comata	Aves	ITPR1	found_no_annotation	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	N	GenBank	20531774	91346199	1164793941	1	1.0	0.0
GCA_020745705.1	Hemiprocne comata	Aves	ITPR2	found_no_annotation	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	N	GenBank	20531774	91346199	1164793941	1	1.0	0.0
GCA_020745705.1	Hemiprocne comata	Aves	ITPR3	found_no_annotation	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	N	GenBank	20531774	91346199	1164793941	1	1.0	0.0
GCA_020745705.1	Hemiprocne comata	Aves	RYR	found_no_annotation	found	1	ryr_sister	present in every vertebrate	0			Chromosome	N	GenBank	20531774	91346199	1164793941	1	1.0	0.0
GCA_022829145.1	Albula goreensis	Actinopteri	ITPR1	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	17514905	39075509	933663665	1	1.0	0.0
GCA_022829145.1	Albula goreensis	Actinopteri	ITPR2	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	17514905	39075509	933663665	1	1.0	0.0
GCA_022829145.1	Albula goreensis	Actinopteri	ITPR3	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	17514905	39075509	933663665	1	1.0	0.0
GCA_022829145.1	Albula goreensis	Actinopteri	RYR	found_annotated	found	1	ryr_sister	present in every vertebrate	0			Chromosome	Y	GenBank	17514905	39075509	933663665	1	1.0	0.0
GCA_023764695.1	Pygathrix nigripes	Mammalia	ITPR1	found_no_annotation	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Contig	N	GenBank	14260291	14260291	2896204080	1	1.0	0.0
GCA_023764695.1	Pygathrix nigripes	Mammalia	ITPR2	found_no_annotation	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Contig	N	GenBank	14260291	14260291	2896204080	1	1.0	0.0
GCA_023764695.1	Pygathrix nigripes	Mammalia	ITPR3	found_no_annotation	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Contig	N	GenBank	14260291	14260291	2896204080	1	1.0	0.0
GCA_023764695.1	Pygathrix nigripes	Mammalia	RYR	found_no_annotation	found	1	ryr_sister	present in every vertebrate	0			Contig	N	GenBank	14260291	14260291	2896204080	1	1.0	0.0
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	ITPR1	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	1500626	33456537	1065596499	1	1.0	0.0
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	ITPR2	found_annotated	found	1	itpr_present	S15a present_single_locus (R1)	0	present_single_locus	R1	Chromosome	Y	GenBank	1500626	33456537	1065596499	1	1.0	0.0
