set	a	b	label_a	label_b	group_a	group_b	identity	identity_covered
family	P29995	Q9NA13	Itpr2 R. norvegicus	iplA D. discoideum	ITPR2	invert_grade	0.1455	0.2323
family	F1P1X4	F1P1X4	ITPR2 G. gallus	ITPR2 G. gallus	ITPR2	ITPR2	1.0000	1.0000
family	F1P1X4	A0A6I8RGU0	ITPR2 G. gallus	itpr2 X. tropicalis	ITPR2	ITPR2	0.8838	0.8887
family	F1P1X4	A0A8M9PQQ3	ITPR2 G. gallus	itpr2 D. rerio	ITPR2	ITPR2	0.7482	0.7625
family	F1P1X4	Q8WN96	ITPR2 G. gallus	ITPR2 B. taurus	ITPR2	ITPR2	0.9234	0.9251
family	F1P1X4	Q14573	ITPR2 G. gallus	ITPR3 H. sapiens	ITPR2	ITPR3	0.6376	0.6695
family	F1P1X4	P70227	ITPR2 G. gallus	Itpr3 M. musculus	ITPR2	ITPR3	0.6401	0.6724
family	F1P1X4	Q63269	ITPR2 G. gallus	Itpr3 R. norvegicus	ITPR2	ITPR3	0.6376	0.6697
family	F1P1X4	A0A8V1ACE6	ITPR2 G. gallus	ITPR3 G. gallus	ITPR2	ITPR3	0.6401	0.6724
family	F1P1X4	A4ZYX8	ITPR2 G. gallus	itpr3 X. tropicalis	ITPR2	ITPR3	0.6288	0.6622
family	F1P1X4	A0A8M6Z266	ITPR2 G. gallus	itpr3 D. rerio	ITPR2	ITPR3	0.6125	0.6521
family	F1P1X4	Q8WN95	ITPR2 G. gallus	ITPR3 B. taurus	ITPR2	ITPR3	0.6361	0.6697
family	F1P1X4	P29993	ITPR2 G. gallus	Itpr D. melanogaster	ITPR2	invert_grade	0.5273	0.5757
family	F1P1X4	Q9Y0A1	ITPR2 G. gallus	itr-1 C. elegans	ITPR2	invert_grade	0.3499	0.4205
family	F1P1X4	Q9NA13	ITPR2 G. gallus	iplA D. discoideum	ITPR2	invert_grade	0.1489	0.2376
family	A0A6I8RGU0	A0A6I8RGU0	itpr2 X. tropicalis	itpr2 X. tropicalis	ITPR2	ITPR2	1.0000	1.0000
family	A0A6I8RGU0	A0A8M9PQQ3	itpr2 X. tropicalis	itpr2 D. rerio	ITPR2	ITPR2	0.7390	0.7562
family	A0A6I8RGU0	Q8WN96	itpr2 X. tropicalis	ITPR2 B. taurus	ITPR2	ITPR2	0.8764	0.8809
family	A0A6I8RGU0	Q14573	itpr2 X. tropicalis	ITPR3 H. sapiens	ITPR2	ITPR3	0.6293	0.6625
family	A0A6I8RGU0	P70227	itpr2 X. tropicalis	Itpr3 M. musculus	ITPR2	ITPR3	0.6308	0.6642
family	A0A6I8RGU0	Q63269	itpr2 X. tropicalis	Itpr3 R. norvegicus	ITPR2	ITPR3	0.6293	0.6627
family	A0A6I8RGU0	A0A8V1ACE6	itpr2 X. tropicalis	ITPR3 G. gallus	ITPR2	ITPR3	0.6336	0.6673
family	A0A6I8RGU0	A4ZYX8	itpr2 X. tropicalis	itpr3 X. tropicalis	ITPR2	ITPR3	0.6235	0.6583
family	A0A6I8RGU0	A0A8M6Z266	itpr2 X. tropicalis	itpr3 D. rerio	ITPR2	ITPR3	0.6073	0.6487
family	A0A6I8RGU0	Q8WN95	itpr2 X. tropicalis	ITPR3 B. taurus	ITPR2	ITPR3	0.6286	0.6635
family	A0A6I8RGU0	P29993	itpr2 X. tropicalis	Itpr D. melanogaster	ITPR2	invert_grade	0.5195	0.5682
family	A0A6I8RGU0	Q9Y0A1	itpr2 X. tropicalis	itr-1 C. elegans	ITPR2	invert_grade	0.3475	0.4179
family	A0A6I8RGU0	Q9NA13	itpr2 X. tropicalis	iplA D. discoideum	ITPR2	invert_grade	0.1450	0.2310
family	A0A8M9PQQ3	A0A8M9PQQ3	itpr2 D. rerio	itpr2 D. rerio	ITPR2	ITPR2	1.0000	1.0000
family	A0A8M9PQQ3	Q8WN96	itpr2 D. rerio	ITPR2 B. taurus	ITPR2	ITPR2	0.7426	0.7566
family	A0A8M9PQQ3	Q14573	itpr2 D. rerio	ITPR3 H. sapiens	ITPR2	ITPR3	0.5925	0.6282
family	A0A8M9PQQ3	P70227	itpr2 D. rerio	Itpr3 M. musculus	ITPR2	ITPR3	0.5929	0.6288
family	A0A8M9PQQ3	Q63269	itpr2 D. rerio	Itpr3 R. norvegicus	ITPR2	ITPR3	0.5910	0.6269
family	A0A8M9PQQ3	A0A8V1ACE6	itpr2 D. rerio	ITPR3 G. gallus	ITPR2	ITPR3	0.5990	0.6353
family	A0A8M9PQQ3	A4ZYX8	itpr2 D. rerio	itpr3 X. tropicalis	ITPR2	ITPR3	0.5925	0.6277
family	A0A8M9PQQ3	A0A8M6Z266	itpr2 D. rerio	itpr3 D. rerio	ITPR2	ITPR3	0.5847	0.6249
family	A0A8M9PQQ3	Q8WN95	itpr2 D. rerio	ITPR3 B. taurus	ITPR2	ITPR3	0.5920	0.6289
family	A0A8M9PQQ3	P29993	itpr2 D. rerio	Itpr D. melanogaster	ITPR2	invert_grade	0.5019	0.5525
family	A0A8M9PQQ3	Q9Y0A1	itpr2 D. rerio	itr-1 C. elegans	ITPR2	invert_grade	0.3428	0.4122
family	A0A8M9PQQ3	Q9NA13	itpr2 D. rerio	iplA D. discoideum	ITPR2	invert_grade	0.1425	0.2265
family	Q8WN96	Q8WN96	ITPR2 B. taurus	ITPR2 B. taurus	ITPR2	ITPR2	1.0000	1.0000
family	Q8WN96	Q14573	ITPR2 B. taurus	ITPR3 H. sapiens	ITPR2	ITPR3	0.6314	0.6627
family	Q8WN96	P70227	ITPR2 B. taurus	Itpr3 M. musculus	ITPR2	ITPR3	0.6318	0.6634
family	Q8WN96	Q63269	ITPR2 B. taurus	Itpr3 R. norvegicus	ITPR2	ITPR3	0.6310	0.6626
family	Q8WN96	A0A8V1ACE6	ITPR2 B. taurus	ITPR3 G. gallus	ITPR2	ITPR3	0.6361	0.6679
family	Q8WN96	A4ZYX8	ITPR2 B. taurus	itpr3 X. tropicalis	ITPR2	ITPR3	0.6237	0.6566
family	Q8WN96	A0A8M6Z266	ITPR2 B. taurus	itpr3 D. rerio	ITPR2	ITPR3	0.6085	0.6476
family	Q8WN96	Q8WN95	ITPR2 B. taurus	ITPR3 B. taurus	ITPR2	ITPR3	0.6296	0.6626
family	Q8WN96	P29993	ITPR2 B. taurus	Itpr D. melanogaster	ITPR2	invert_grade	0.5249	0.5729
family	Q8WN96	Q9Y0A1	ITPR2 B. taurus	itr-1 C. elegans	ITPR2	invert_grade	0.3460	0.4156
family	Q8WN96	Q9NA13	ITPR2 B. taurus	iplA D. discoideum	ITPR2	invert_grade	0.1458	0.2328
family	Q14573	Q14573	ITPR3 H. sapiens	ITPR3 H. sapiens	ITPR3	ITPR3	1.0000	1.0000
family	Q14573	P70227	ITPR3 H. sapiens	Itpr3 M. musculus	ITPR3	ITPR3	0.9532	0.9536
family	Q14573	Q63269	ITPR3 H. sapiens	Itpr3 R. norvegicus	ITPR3	ITPR3	0.9525	0.9528
family	Q14573	A0A8V1ACE6	ITPR3 H. sapiens	ITPR3 G. gallus	ITPR3	ITPR3	0.8964	0.9001
family	Q14573	A4ZYX8	ITPR3 H. sapiens	itpr3 X. tropicalis	ITPR3	ITPR3	0.8260	0.8372
family	Q14573	A0A8M6Z266	ITPR3 H. sapiens	itpr3 D. rerio	ITPR3	ITPR3	0.7375	0.7624
family	Q14573	Q8WN95	ITPR3 H. sapiens	ITPR3 B. taurus	ITPR3	ITPR3	0.9659	0.9685
family	Q14573	P29993	ITPR3 H. sapiens	Itpr D. melanogaster	ITPR3	invert_grade	0.4940	0.5521
family	Q14573	Q9Y0A1	ITPR3 H. sapiens	itr-1 C. elegans	ITPR3	invert_grade	0.3404	0.4174
family	Q14573	Q9NA13	ITPR3 H. sapiens	iplA D. discoideum	ITPR3	invert_grade	0.1468	0.2380
family	P70227	P70227	Itpr3 M. musculus	Itpr3 M. musculus	ITPR3	ITPR3	1.0000	1.0000
family	P70227	Q63269	Itpr3 M. musculus	Itpr3 R. norvegicus	ITPR3	ITPR3	0.9873	0.9873
family	P70227	A0A8V1ACE6	Itpr3 M. musculus	ITPR3 G. gallus	ITPR3	ITPR3	0.8926	0.8967
family	P70227	A4ZYX8	Itpr3 M. musculus	itpr3 X. tropicalis	ITPR3	ITPR3	0.8212	0.8326
family	P70227	A0A8M6Z266	Itpr3 M. musculus	itpr3 D. rerio	ITPR3	ITPR3	0.7334	0.7584
family	P70227	Q8WN95	Itpr3 M. musculus	ITPR3 B. taurus	ITPR3	ITPR3	0.9525	0.9553
family	P70227	P29993	Itpr3 M. musculus	Itpr D. melanogaster	ITPR3	invert_grade	0.4916	0.5496
family	P70227	Q9Y0A1	Itpr3 M. musculus	itr-1 C. elegans	ITPR3	invert_grade	0.3401	0.4171
family	P70227	Q9NA13	Itpr3 M. musculus	iplA D. discoideum	ITPR3	invert_grade	0.1463	0.2372
family	Q63269	Q63269	Itpr3 R. norvegicus	Itpr3 R. norvegicus	ITPR3	ITPR3	1.0000	1.0000
family	Q63269	A0A8V1ACE6	Itpr3 R. norvegicus	ITPR3 G. gallus	ITPR3	ITPR3	0.8904	0.8944
family	Q63269	A4ZYX8	Itpr3 R. norvegicus	itpr3 X. tropicalis	ITPR3	ITPR3	0.8197	0.8311
family	Q63269	A0A8M6Z266	Itpr3 R. norvegicus	itpr3 D. rerio	ITPR3	ITPR3	0.7319	0.7569
family	Q63269	Q8WN95	Itpr3 R. norvegicus	ITPR3 B. taurus	ITPR3	ITPR3	0.9517	0.9546
family	Q63269	P29993	Itpr3 R. norvegicus	Itpr D. melanogaster	ITPR3	invert_grade	0.4919	0.5500
family	Q63269	Q9Y0A1	Itpr3 R. norvegicus	itr-1 C. elegans	ITPR3	invert_grade	0.3391	0.4159
family	Q63269	Q9NA13	Itpr3 R. norvegicus	iplA D. discoideum	ITPR3	invert_grade	0.1460	0.2368
family	A0A8V1ACE6	A0A8V1ACE6	ITPR3 G. gallus	ITPR3 G. gallus	ITPR3	ITPR3	1.0000	1.0000
family	A0A8V1ACE6	A4ZYX8	ITPR3 G. gallus	itpr3 X. tropicalis	ITPR3	ITPR3	0.8400	0.8517
family	A0A8V1ACE6	A0A8M6Z266	ITPR3 G. gallus	itpr3 D. rerio	ITPR3	ITPR3	0.7442	0.7697
family	A0A8V1ACE6	Q8WN95	ITPR3 G. gallus	ITPR3 B. taurus	ITPR3	ITPR3	0.8941	0.9002
family	A0A8V1ACE6	P29993	ITPR3 G. gallus	Itpr D. melanogaster	ITPR3	invert_grade	0.4990	0.5580
family	A0A8V1ACE6	Q9Y0A1	ITPR3 G. gallus	itr-1 C. elegans	ITPR3	invert_grade	0.3429	0.4210
family	A0A8V1ACE6	Q9NA13	ITPR3 G. gallus	iplA D. discoideum	ITPR3	invert_grade	0.1481	0.2401
family	A4ZYX8	A4ZYX8	itpr3 X. tropicalis	itpr3 X. tropicalis	ITPR3	ITPR3	1.0000	1.0000
family	A4ZYX8	A0A8M6Z266	itpr3 X. tropicalis	itpr3 D. rerio	ITPR3	ITPR3	0.7318	0.7570
family	A4ZYX8	Q8WN95	itpr3 X. tropicalis	ITPR3 B. taurus	ITPR3	ITPR3	0.8242	0.8376
family	A4ZYX8	P29993	itpr3 X. tropicalis	Itpr D. melanogaster	ITPR3	invert_grade	0.4950	0.5536
family	A4ZYX8	Q9Y0A1	itpr3 X. tropicalis	itr-1 C. elegans	ITPR3	invert_grade	0.3428	0.4224
family	A4ZYX8	Q9NA13	itpr3 X. tropicalis	iplA D. discoideum	ITPR3	invert_grade	0.1479	0.2397
family	A0A8M6Z266	A0A8M6Z266	itpr3 D. rerio	itpr3 D. rerio	ITPR3	ITPR3	1.0000	1.0000
family	A0A8M6Z266	Q8WN95	itpr3 D. rerio	ITPR3 B. taurus	ITPR3	ITPR3	0.7310	0.7565
family	A0A8M6Z266	P29993	itpr3 D. rerio	Itpr D. melanogaster	ITPR3	invert_grade	0.4852	0.5495
family	A0A8M6Z266	Q9Y0A1	itpr3 D. rerio	itr-1 C. elegans	ITPR3	invert_grade	0.3363	0.4162
family	A0A8M6Z266	Q9NA13	itpr3 D. rerio	iplA D. discoideum	ITPR3	invert_grade	0.1448	0.2341
family	Q8WN95	Q8WN95	ITPR3 B. taurus	ITPR3 B. taurus	ITPR3	ITPR3	1.0000	1.0000
family	Q8WN95	P29993	ITPR3 B. taurus	Itpr D. melanogaster	ITPR3	invert_grade	0.4909	0.5501
family	Q8WN95	Q9Y0A1	ITPR3 B. taurus	itr-1 C. elegans	ITPR3	invert_grade	0.3394	0.4173
family	Q8WN95	Q9NA13	ITPR3 B. taurus	iplA D. discoideum	ITPR3	invert_grade	0.1474	0.2397
family	P29993	P29993	Itpr D. melanogaster	Itpr D. melanogaster	invert_grade	invert_grade	1.0000	1.0000
family	P29993	Q9Y0A1	Itpr D. melanogaster	itr-1 C. elegans	invert_grade	invert_grade	0.3400	0.4188
family	P29993	Q9NA13	Itpr D. melanogaster	iplA D. discoideum	invert_grade	invert_grade	0.1395	0.2274
family	Q9Y0A1	Q9Y0A1	itr-1 C. elegans	itr-1 C. elegans	invert_grade	invert_grade	1.0000	1.0000
family	Q9Y0A1	Q9NA13	itr-1 C. elegans	iplA D. discoideum	invert_grade	invert_grade	0.1313	0.2141
family	Q9NA13	Q9NA13	iplA D. discoideum	iplA D. discoideum	invert_grade	invert_grade	1.0000	1.0000
superfamily	Q14643	Q14643	ITPR1 H. sapiens	ITPR1 H. sapiens	ITPR1	ITPR1	1.0000	1.0000
superfamily	Q14643	Q14571	ITPR1 H. sapiens	ITPR2 H. sapiens	ITPR1	ITPR2	0.6793	0.7153
superfamily	Q14643	Q14573	ITPR1 H. sapiens	ITPR3 H. sapiens	ITPR1	ITPR3	0.6025	0.6576
superfamily	Q14643	P29993	ITPR1 H. sapiens	Itpr D. melanogaster	ITPR1	invert_grade	0.5590	0.6163
superfamily	Q14643	Q9Y0A1	ITPR1 H. sapiens	itr-1 C. elegans	ITPR1	invert_grade	0.3538	0.4347
superfamily	Q14643	P21817	ITPR1 H. sapiens	RYR1 H. sapiens	ITPR1	RyR (sister family)	0.1114	0.2501
superfamily	Q14643	Q92736	ITPR1 H. sapiens	RYR2 H. sapiens	ITPR1	RyR (sister family)	0.1104	0.2452
superfamily	Q14643	Q15413	ITPR1 H. sapiens	RYR3 H. sapiens	ITPR1	RyR (sister family)	0.1130	0.2466
superfamily	Q14571	Q14571	ITPR2 H. sapiens	ITPR2 H. sapiens	ITPR2	ITPR2	1.0000	1.0000
superfamily	Q14571	Q14573	ITPR2 H. sapiens	ITPR3 H. sapiens	ITPR2	ITPR3	0.6354	0.6820
superfamily	Q14571	P29993	ITPR2 H. sapiens	Itpr D. melanogaster	ITPR2	invert_grade	0.5305	0.5828
superfamily	Q14571	Q9Y0A1	ITPR2 H. sapiens	itr-1 C. elegans	ITPR2	invert_grade	0.3476	0.4220
superfamily	Q14571	P21817	ITPR2 H. sapiens	RYR1 H. sapiens	ITPR2	RyR (sister family)	0.1085	0.2494
superfamily	Q14571	Q92736	ITPR2 H. sapiens	RYR2 H. sapiens	ITPR2	RyR (sister family)	0.1087	0.2473
superfamily	Q14571	Q15413	ITPR2 H. sapiens	RYR3 H. sapiens	ITPR2	RyR (sister family)	0.1113	0.2487
superfamily	Q14573	Q14573	ITPR3 H. sapiens	ITPR3 H. sapiens	ITPR3	ITPR3	1.0000	1.0000
superfamily	Q14573	P29993	ITPR3 H. sapiens	Itpr D. melanogaster	ITPR3	invert_grade	0.4986	0.5601
superfamily	Q14573	Q9Y0A1	ITPR3 H. sapiens	itr-1 C. elegans	ITPR3	invert_grade	0.3469	0.4245
superfamily	Q14573	P21817	ITPR3 H. sapiens	RYR1 H. sapiens	ITPR3	RyR (sister family)	0.1083	0.2549
superfamily	Q14573	Q92736	ITPR3 H. sapiens	RYR2 H. sapiens	ITPR3	RyR (sister family)	0.1077	0.2500
superfamily	Q14573	Q15413	ITPR3 H. sapiens	RYR3 H. sapiens	ITPR3	RyR (sister family)	0.1117	0.2554
superfamily	P29993	P29993	Itpr D. melanogaster	Itpr D. melanogaster	invert_grade	invert_grade	1.0000	1.0000
superfamily	P29993	Q9Y0A1	Itpr D. melanogaster	itr-1 C. elegans	invert_grade	invert_grade	0.3458	0.4274
superfamily	P29993	P21817	Itpr D. melanogaster	RYR1 H. sapiens	invert_grade	RyR (sister family)	0.1095	0.2450
superfamily	P29993	Q92736	Itpr D. melanogaster	RYR2 H. sapiens	invert_grade	RyR (sister family)	0.1109	0.2455
superfamily	P29993	Q15413	Itpr D. melanogaster	RYR3 H. sapiens	invert_grade	RyR (sister family)	0.1142	0.2485
superfamily	Q9Y0A1	Q9Y0A1	itr-1 C. elegans	itr-1 C. elegans	invert_grade	invert_grade	1.0000	1.0000
superfamily	Q9Y0A1	P21817	itr-1 C. elegans	RYR1 H. sapiens	invert_grade	RyR (sister family)	0.1057	0.2428
superfamily	Q9Y0A1	Q92736	itr-1 C. elegans	RYR2 H. sapiens	invert_grade	RyR (sister family)	0.1048	0.2381
superfamily	Q9Y0A1	Q15413	itr-1 C. elegans	RYR3 H. sapiens	invert_grade	RyR (sister family)	0.1082	0.2414
superfamily	P21817	P21817	RYR1 H. sapiens	RYR1 H. sapiens	RyR (sister family)	RyR (sister family)	1.0000	1.0000
superfamily	P21817	Q92736	RYR1 H. sapiens	RYR2 H. sapiens	RyR (sister family)	RyR (sister family)	0.6450	0.6738
superfamily	P21817	Q15413	RYR1 H. sapiens	RYR3 H. sapiens	RyR (sister family)	RyR (sister family)	0.6485	0.6818
superfamily	Q92736	Q92736	RYR2 H. sapiens	RYR2 H. sapiens	RyR (sister family)	RyR (sister family)	1.0000	1.0000
superfamily	Q92736	Q15413	RYR2 H. sapiens	RYR3 H. sapiens	RyR (sister family)	RyR (sister family)	0.6736	0.7040
superfamily	Q15413	Q15413	RYR3 H. sapiens	RYR3 H. sapiens	RyR (sister family)	RyR (sister family)	1.0000	1.0000
