accession	call	confidence	reason	instruments	arch_call	profile_call	profile_confidence	itpr_score	ryr_score	rel_margin	searches	source	gene	protein_name	species	taxon_id	group	kingdom	phylum	class	order	family	length	in_band	fragment	reviewed	protein_existence	in_alphafold	seed_pfams	pfams	n_itpr_arch	ryr_pfams
A0A4Z2GV61	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 931.6 bits (83.9% of 1110.7) over 800 profile positions	profile		ITPR	medium	1110.7	179.1	0.8388	sweep	HMM	ITPR2_2	Inositol 1,4,5-trisphosphate receptor type 2	Liparis tanakae	230148	Vertebrata	Metazoa	Chordata				917			0						
A0A4Z2HAB2	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 562.3 bits (100.0% of 562.3) over 567 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	562.3	1.0	sweep	HMM	Ryr2_5	Ryanodine receptor 2	Liparis tanakae	230148	Vertebrata	Metazoa	Chordata				568			0						
A0A4Z2HCS4	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 560.2 bits (100.0% of 560.2) over 414 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	560.2	1.0	sweep	HMM	RYR2_1	Ryanodine receptor 2	Liparis tanakae	230148	Vertebrata	Metazoa	Chordata				411			0						
A0A4Z2HXA9	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 684.2 bits (100.0% of 684.2) over 661 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	684.2	1.0	sweep	HMM	RYR2_8	Ryanodine receptor 2	Liparis tanakae	230148	Vertebrata	Metazoa	Chordata				636			0						
A0A4Z2JAP6	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 605.0 bits (100.0% of 605.0) over 360 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	605.0	1.0	sweep	HMM	RYR3_6	Ryanodine receptor 3	Liparis tanakae	230148	Vertebrata	Metazoa	Chordata				414			0						
A0A556U7Y9	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 442.5 bits (67.4% of 656.1) over 384 profile positions	profile		ITPR	medium	656.1	213.6	0.6744	sweep	HMM	Baya_8734	Inositol 1,4,5-trisphosphate receptor type 3	Bagarius yarrelli	175774	Vertebrata	Metazoa	Chordata				431			0						
A0A556VUY4	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 377.7 bits (83.7% of 451.2) over 370 profile positions	profile		ITPR	medium	451.2	73.5	0.8371	sweep	HMM	Baya_16286	Inositol 1,4,5-trisphosphate receptor type 1	Bagarius yarrelli	175774	Vertebrata	Metazoa	Chordata				377			0						
A0A5A9NRM7	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 1342.2 bits (80.5% of 1666.7) over 996 profile positions	profile		RYR	medium	324.5	1666.7	0.8053	sweep	HMM	E1301_Tti022365	Ryanodine receptor 3	Triplophysa tibetana	1572043	Vertebrata	Metazoa	Chordata				1016			0						
A0A5A9NYS9	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 41.2 bits (100.0% of 41.2) over 237 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	41.2	1.0	sweep	HMM	E1301_Tti010218	Ran-binding protein 10	Triplophysa tibetana	1572043	Vertebrata	Metazoa	Chordata				609			0						
A0A5A9PV51	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 1620.4 bits (100.0% of 1620.4) over 1075 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	1620.4	1.0	sweep	HMM	E1301_Tti022659	Ryanodine receptor 2	Triplophysa tibetana	1572043	Vertebrata	Metazoa	Chordata				1059			0						
A0A5C6MK26	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 410.3 bits (100.0% of 410.3) over 454 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	410.3	1.0	sweep	HMM	D4764_0013250	Ryanodine receptor 2 (Fragment)	Takifugu flavidus	433684	Vertebrata	Metazoa	Chordata				755			0						
A0A5C6PET3	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 503.9 bits (100.0% of 503.9) over 498 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	503.9	1.0	sweep	HMM	D4764_11G0003930	Ryanodine receptor 2	Takifugu flavidus	433684	Vertebrata	Metazoa	Chordata				787			0						
A0A5C6PSU4	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 348.7 bits (100.0% of 348.7) over 256 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	348.7	1.0	sweep	HMM	D4764_01G0016760	Ryanodine receptor 2	Takifugu flavidus	433684	Vertebrata	Metazoa	Chordata				259			0						
A0A5C6PTS3	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 245.7 bits (100.0% of 245.7) over 202 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	245.7	1.0	sweep	HMM	D4764_01G0016750	Ryanodine receptor 2	Takifugu flavidus	433684	Vertebrata	Metazoa	Chordata				201			0						
A0A5E4AHK2	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 468.5 bits (63.5% of 737.5) over 330 profile positions	profile		RYR	medium	269.0	737.5	0.6353	sweep	HMM	MONAX_5E012125	Ion transport domain-containing protein	Marmota monax	9995	Vertebrata	Metazoa	Chordata				459			0						
A0A5E4B2G9	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 975.1 bits (100.0% of 975.1) over 587 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	975.1	1.0	sweep	HMM	MONAX_5E015104	Ryanodine receptor Ryr domain-containing protein (Fragment)	Marmota monax	9995	Vertebrata	Metazoa	Chordata				582			0						
A0A5E4BSK8	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 1289.6 bits (100.0% of 1289.6) over 887 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	1289.6	1.0	sweep	HMM	MONAX_5E039946	B30.2/SPRY domain-containing protein	Marmota monax	9995	Vertebrata	Metazoa	Chordata				908			0						
A0A5J5CJP8	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 329.3 bits (58.3% of 564.5) over 242 profile positions	profile		RYR	medium	235.2	564.5	0.5833	sweep	HMM	FQN60_002726	Ion transport domain-containing protein	Etheostoma spectabile	54343	Vertebrata	Metazoa	Chordata				256			0						
A0A5J5CN93	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 339.2 bits (55.1% of 615.5) over 256 profile positions	profile		RYR	medium	276.3	615.5	0.5511	sweep	HMM	FQN60_015560	Ion transport domain-containing protein	Etheostoma spectabile	54343	Vertebrata	Metazoa	Chordata				258			0						
A0A5J5CQW1	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 272.3 bits (100.0% of 272.3) over 202 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	272.3	1.0	sweep	HMM	FQN60_015561	Ryanodine receptor Ryr domain-containing protein (Fragment)	Etheostoma spectabile	54343	Vertebrata	Metazoa	Chordata				200			0						
A0A5J5N1V2	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 316.9 bits (58.2% of 544.6) over 290 profile positions	profile		ITPR	medium	544.6	227.7	0.5819	sweep	HMM	FD755_001663	Ion transport domain-containing protein (Fragment)	Muntiacus reevesi	9886	Vertebrata	Metazoa	Chordata				503			0						
A0A5N3VP68	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 323.8 bits (58.7% of 551.3) over 298 profile positions	profile		ITPR	medium	551.3	227.5	0.5873	sweep	HMM	FD754_014703	Ion transport domain-containing protein (Fragment)	Muntiacus muntjak	9888	Vertebrata	Metazoa	Chordata				496			0						
A0A5N4DS27	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 563.4 bits (82.1% of 686.6) over 587 profile positions	profile		RYR	medium	123.2	686.6	0.8206	sweep	HMM	Cadr_000011647	Ryanodine receptor 1	Camelus dromedarius	9838	Vertebrata	Metazoa	Chordata				647			0						
A0A5N4E1B8	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 448.9 bits (100.0% of 448.9) over 311 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	448.9	1.0	sweep	HMM	Cadr_000005567	Ryanodine receptor 3 (Fragment)	Camelus dromedarius	9838	Vertebrata	Metazoa	Chordata				341			0						
A0A5N5P6Z7	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 35.9 bits (100.0% of 35.9) over 261 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	35.9	1.0	sweep	HMM	PHYPO_G00217150	B30.2/SPRY domain-containing protein	Pangasianodon hypophthalmus	310915	Vertebrata	Metazoa	Chordata				844			0						
A0A643CGQ5	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 248.9 bits (81.5% of 305.5) over 201 profile positions	profile		ITPR	medium	305.5	56.6	0.8147	sweep	HMM	E2I00_010043	Ion transport domain-containing protein	Balaenoptera physalus	9770	Vertebrata	Metazoa	Chordata				257			0						
A0A662YWA5	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 369.6 bits (100.0% of 369.6) over 256 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	369.6	1.0	sweep	HMM	EOD39_9636	Ryanodine receptor 2	Acipenser ruthenus	7906	Vertebrata	Metazoa	Chordata				258			0						
A0A671PJN8	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 40.0 bits (100.0% of 40.0) over 227 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	40.0	1.0	sweep	HMM	LOC107692935	Ran-binding protein 10	Sinocyclocheilus anshuiensis	1608454	Vertebrata	Metazoa	Chordata				654			0						
A0A671RPN8	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 546.1 bits (100.0% of 546.1) over 306 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	546.1	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Sinocyclocheilus anshuiensis	1608454	Vertebrata	Metazoa	Chordata				351			0						
A0A672GE38	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 528.2 bits (100.0% of 528.2) over 301 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	528.2	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Salarias fasciatus	181472	Vertebrata	Metazoa	Chordata				304			0						
A0A672KMD4	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 448.0 bits (100.0% of 448.0) over 306 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	448.0	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Sinocyclocheilus grahami	75366	Vertebrata	Metazoa	Chordata				308			0						
A0A672M8N5	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 40.5 bits (100.0% of 40.5) over 227 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	40.5	1.0	sweep	HMM	LOC107583731	Ran-binding protein 10	Sinocyclocheilus grahami	75366	Vertebrata	Metazoa	Chordata				654			0						
A0A672ZSG2	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 526.1 bits (100.0% of 526.1) over 296 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	526.1	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Sphaeramia orbicularis	375764	Vertebrata	Metazoa	Chordata				307			0						
A0A673NAZ9	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 548.0 bits (100.0% of 548.0) over 306 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	548.0	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Sinocyclocheilus rhinocerous	307959	Vertebrata	Metazoa	Chordata				351			0						
A0A674HFS1	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 540.8 bits (100.0% of 540.8) over 301 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	540.8	1.0	sweep	HMM		B30.2/SPRY domain-containing protein	Taeniopygia guttata	59729	Vertebrata	Metazoa	Chordata				309			0						
A0A6B0RER4	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 1111.1 bits (100.0% of 1111.1) over 621 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	1111.1	1.0	sweep	HMM	E5288_WYG003740	B30.2/SPRY domain-containing protein	Bos mutus	72004	Vertebrata	Metazoa	Chordata				696			0						
A0A6I9MJ74	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 346.6 bits (100.0% of 346.6) over 242 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	346.6	1.0	sweep	HMM	LOC104941171	Ryanodine receptor 1-like	Notothenia coriiceps	8208	Vertebrata	Metazoa	Chordata				262			0						
A0A6I9MR18	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 557.0 bits (66.2% of 841.9) over 370 profile positions	profile		RYR	medium	284.9	841.9	0.6616	sweep	HMM	LOC104942218	Ryanodine receptor 3-like	Notothenia coriiceps	8208	Vertebrata	Metazoa	Chordata				378			0						
A0A6I9N2P4	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 376.1 bits (100.0% of 376.1) over 338 profile positions; no ryr.hmm hit	profile		ITPR	medium	376.1	0.0	1.0	sweep	HMM	LOC104947791	Inositol 1,4,5-trisphosphate receptor type 3-like	Notothenia coriiceps	8208	Vertebrata	Metazoa	Chordata				380			0						
A0A6I9N3H3	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 263.6 bits (54.9% of 480.4) over 202 profile positions	profile		RYR	medium	216.8	480.4	0.5487	sweep	HMM	LOC104944943	Ryanodine receptor 3-like	Notothenia coriiceps	8208	Vertebrata	Metazoa	Chordata				208			0						
A0A6I9ND70	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 229.6 bits (56.5% of 406.0) over 212 profile positions	profile		ITPR	medium	406.0	176.4	0.5655	sweep	HMM	LOC104947874	Inositol 1,4,5-trisphosphate receptor type 3-like	Notothenia coriiceps	8208	Vertebrata	Metazoa	Chordata				221			0						
A0A6I9NPJ4	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 432.8 bits (100.0% of 432.8) over 256 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	432.8	1.0	sweep	HMM	LOC104951857	Ryanodine receptor 1-like	Notothenia coriiceps	8208	Vertebrata	Metazoa	Chordata				255			0						
A0A6I9P644	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 925.5 bits (100.0% of 925.5) over 606 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	925.5	1.0	sweep	HMM	LOC104957114	Ryanodine receptor 2-like	Notothenia coriiceps	8208	Vertebrata	Metazoa	Chordata				669			0						
A0A6I9PBI7	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 1429.7 bits (100.0% of 1429.7) over 937 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	1429.7	1.0	sweep	HMM	LOC104957479	Ryanodine receptor 3-like	Notothenia coriiceps	8208	Vertebrata	Metazoa	Chordata				1006			0						
A0A6I9PBQ8	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 700.4 bits (77.8% of 900.0) over 556 profile positions	profile		ITPR	medium	900.0	199.6	0.7782	sweep	HMM	LOC104959425	LOW QUALITY PROTEIN: inositol 1,4,5-trisphosphate receptor type 1-like	Notothenia coriiceps	8208	Vertebrata	Metazoa	Chordata				664			0						
A0A6I9PCC0	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 360.6 bits (86.1% of 418.7) over 271 profile positions	profile		RYR	medium	58.1	418.7	0.8612	sweep	HMM	LOC104959253	Ryanodine receptor 3-like	Notothenia coriiceps	8208	Vertebrata	Metazoa	Chordata				290			0						
A0A6I9PKE3	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 340.7 bits (60.5% of 563.0) over 319 profile positions	profile		ITPR	medium	563.0	222.3	0.6052	sweep	HMM	LOC104961474	Inositol 1,4,5-trisphosphate receptor type 2-like	Notothenia coriiceps	8208	Vertebrata	Metazoa	Chordata				393			0						
A0A6I9PTU4	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 395.6 bits (100.0% of 395.6) over 237 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	395.6	1.0	sweep	HMM	LOC104963820	Ryanodine receptor 1-like	Notothenia coriiceps	8208	Vertebrata	Metazoa	Chordata				244			0						
A0A6I9XEJ8	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 528.4 bits (76.3% of 692.2) over 375 profile positions	profile		RYR	medium	163.8	692.2	0.7634	sweep	HMM	LOC106542777	Ryanodine receptor 1-like	Thamnophis sirtalis	35019	Vertebrata	Metazoa	Chordata				408			0						
A0A6I9XTP9	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 1421.8 bits (100.0% of 1421.8) over 1060 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	1421.8	1.0	sweep	HMM	LOC106542775	Ryanodine receptor 1-like	Thamnophis sirtalis	35019	Vertebrata	Metazoa	Chordata				1087			0						
A0A6I9YNC5	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 749.5 bits (100.0% of 749.5) over 518 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	749.5	1.0	sweep	HMM	LOC106551639	Ryanodine receptor 1-like	Thamnophis sirtalis	35019	Vertebrata	Metazoa	Chordata				563			0						
A0A6J1TY74	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 280.4 bits (61.4% of 457.0) over 231 profile positions	profile		ITPR	medium	457.0	176.6	0.6136	sweep	HMM	LOC113412320	Inositol 1,4,5-trisphosphate receptor type 2-like	Notechis scutatus	8663	Vertebrata	Metazoa	Chordata				277			0						
A0A6J1VXM7	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 882.6 bits (100.0% of 882.6) over 542 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	882.6	1.0	sweep	HMM	LOC113429522	Ryanodine receptor 1-like	Notechis scutatus	8663	Vertebrata	Metazoa	Chordata				554			0						
A0A6J1VYH3	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 425.3 bits (100.0% of 425.3) over 301 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	425.3	1.0	sweep	HMM	LOC113429755	Ryanodine receptor 1-like	Notechis scutatus	8663	Vertebrata	Metazoa	Chordata				298			0						
A0A6P7Z6F6	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 282.7 bits (61.4% of 460.6) over 236 profile positions	profile		ITPR	medium	460.6	177.9	0.6138	sweep	HMM	LOC115477971	Inositol 1,4,5-trisphosphate receptor type 2-like	Microcaecilia unicolor	1415580	Vertebrata	Metazoa	Chordata				278			0						
A0A7F8Q554	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 428.2 bits (100.0% of 428.2) over 336 profile positions; no ryr.hmm hit	profile		ITPR	medium	428.2	0.0	1.0	sweep	HMM	LOC115937763	Inositol 1,4,5-trisphosphate receptor type 1-like	Leptonychotes weddellii	9713	Vertebrata	Metazoa	Chordata				382			0						
A0A7F8QAD4	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 291.8 bits (100.0% of 291.8) over 246 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	291.8	1.0	sweep	HMM	LOC102729923	Ryanodine receptor 3-like	Leptonychotes weddellii	9713	Vertebrata	Metazoa	Chordata				271			0						
A0A7F8QC50	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 727.3 bits (100.0% of 727.3) over 488 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	727.3	1.0	sweep	HMM	LOC102730223	Ryanodine receptor 3-like	Leptonychotes weddellii	9713	Vertebrata	Metazoa	Chordata				498			0						
A0A7F8QD46	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 371.2 bits (57.6% of 644.4) over 266 profile positions	profile		RYR	medium	273.2	644.4	0.576	sweep	HMM	LOC102729621	Ryanodine receptor 3-like	Leptonychotes weddellii	9713	Vertebrata	Metazoa	Chordata				265			0						
A0A7J5XYJ6	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 1109.9 bits (81.5% of 1361.0) over 971 profile positions	profile		RYR	medium	251.1	1361.0	0.8155	sweep	HMM	F7725_023892	EF-hand domain-containing protein	Dissostichus mawsoni	36200	Vertebrata	Metazoa	Chordata				955			0						
A0A7J5YVY7	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 36.1 bits (100.0% of 36.1) over 306 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	36.1	1.0	sweep	HMM	F7725_006254	IMD domain-containing protein (Fragment)	Dissostichus mawsoni	36200	Vertebrata	Metazoa	Chordata				755			0						
A0A7J6C295	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 40.2 bits (100.0% of 40.2) over 237 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	40.2	1.0	sweep	HMM	G5714_017830	Ran-binding protein 10	Onychostoma macrolepis	369639	Vertebrata	Metazoa	Chordata				609			0						
A0A7J8AM32	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 779.3 bits (100.0% of 779.3) over 542 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	779.3	1.0	sweep	HMM	mMyoMyo1_008071	B30.2/SPRY domain-containing protein	Myotis myotis	51298	Vertebrata	Metazoa	Chordata				567			0						
A0A7K4IWH8	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 389.0 bits (63.0% of 617.8) over 317 profile positions	profile		ITPR	medium	617.8	228.8	0.6297	sweep	HMM	Itpr3_0	ITPR3 protein (Fragment)	Geococcyx californianus	8947	Vertebrata	Metazoa	Chordata				350			0						
A0A7K4KD81	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 387.2 bits (62.5% of 619.6) over 317 profile positions	profile		ITPR	medium	619.6	232.4	0.6249	sweep	HMM	Itpr3_0	ITPR3 protein (Fragment)	Crypturellus soui	458187	Vertebrata	Metazoa	Chordata				339			0						
A0A7K4M791	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 326.8 bits (58.6% of 557.9) over 276 profile positions	profile		ITPR	medium	557.9	231.1	0.5858	sweep	HMM	Itpr3	ITPR3 protein (Fragment)	Crypturellus undulatus	48396	Vertebrata	Metazoa	Chordata				309			0						
A0A7K5K7H4	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 404.6 bits (63.6% of 636.3) over 319 profile positions	profile		ITPR	medium	636.3	231.7	0.6359	sweep	HMM	Itpr1_0	ITPR1 protein (Fragment)	Mionectes macconnelli	254557	Vertebrata	Metazoa	Chordata				360			0						
A0A7K5K8Q9	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 393.3 bits (63.2% of 621.9) over 317 profile positions	profile		ITPR	medium	621.9	228.6	0.6324	sweep	HMM	Itpr3	ITPR3 protein (Fragment)	Mionectes macconnelli	254557	Vertebrata	Metazoa	Chordata				358			0						
A0A7K5Q449	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 307.4 bits (58.4% of 526.6) over 263 profile positions	profile		ITPR	medium	526.6	219.2	0.5837	sweep	HMM	Itpr2_2	ITPR2 protein (Fragment)	Erythrocercus mccallii	107208	Vertebrata	Metazoa	Chordata				292			0						
A0A7K6DI36	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 389.1 bits (62.6% of 621.6) over 317 profile positions	profile		ITPR	medium	621.6	232.5	0.626	sweep	HMM	Itpr3_1	ITPR3 protein (Fragment)	Origma solitaria	720586	Vertebrata	Metazoa	Chordata				351			0						
A0A7K6GQ50	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 388.1 bits (62.5% of 621.4) over 317 profile positions	profile		ITPR	medium	621.4	233.3	0.6246	sweep	HMM	Itpr3_0	ITPR3 protein (Fragment)	Malurus elegans	720584	Vertebrata	Metazoa	Chordata				341			0						
A0A7K6MLF1	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 329.4 bits (100.0% of 329.4) over 220 profile positions; no ryr.hmm hit	profile		ITPR	medium	329.4	0.0	1.0	sweep	HMM	Itpr1_1	Inositol 1,4,5-trisphosphate receptor (Fragment)	Panurus biarmicus	181101	Vertebrata	Metazoa	Chordata				225			0						
A0A7K6U3A3	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 391.5 bits (62.9% of 622.5) over 317 profile positions	profile		ITPR	medium	622.5	231.0	0.6289	sweep	HMM	Itpr3_0	ITPR3 protein (Fragment)	Aegotheles bennettii	48278	Vertebrata	Metazoa	Chordata				359			0						
A0A7K6W2W9	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 398.4 bits (63.4% of 627.9) over 325 profile positions	profile		ITPR	medium	627.9	229.5	0.6345	sweep	HMM	Itpr3_0	ITPR3 protein (Fragment)	Steatornis caripensis	48435	Vertebrata	Metazoa	Chordata				362			0						
A0A7K7RF33	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 390.3 bits (62.8% of 621.7) over 317 profile positions	profile		ITPR	medium	621.7	231.4	0.6278	sweep	HMM	Itpr3_0	ITPR3 protein (Fragment)	Nesospiza acunhae	381881	Vertebrata	Metazoa	Chordata				355			0						
A0A7K7XMT0	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 248.1 bits (58.1% of 427.0) over 207 profile positions	profile		ITPR	medium	427.0	178.9	0.581	sweep	HMM	Itpr3_0	ITPR3 protein (Fragment)	Mohoua ochrocephala	874463	Vertebrata	Metazoa	Chordata				235			0						
A0A7K8FQF1	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 307.9 bits (58.7% of 524.9) over 263 profile positions	profile		ITPR	medium	524.9	217.0	0.5866	sweep	HMM	Itpr2_2	ITPR2 protein (Fragment)	Struthidea cinerea	181839	Vertebrata	Metazoa	Chordata				294			0						
A0A7K8GD54	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 431.6 bits (65.5% of 659.3) over 338 profile positions	profile		ITPR	medium	659.3	227.7	0.6546	sweep	HMM	Itpr2_0	ITPR2 protein (Fragment)	Orthonyx spaldingii	38397	Vertebrata	Metazoa	Chordata				384			0						
A0A7K8MRC8	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 385.5 bits (61.7% of 624.6) over 322 profile positions	profile		ITPR	medium	624.6	239.1	0.6172	sweep	HMM	Itpr3	ITPR3 protein (Fragment)	Ptilorrhoa leucosticta	449384	Vertebrata	Metazoa	Chordata				349			0						
A0A7K8R4R0	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 316.5 bits (59.4% of 532.6) over 263 profile positions	profile		ITPR	medium	532.6	216.1	0.5943	sweep	HMM	Itpr1_1	ITPR1 protein (Fragment)	Smithornis capensis	363769	Vertebrata	Metazoa	Chordata				304			0						
A0A7K9BXA7	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 246.3 bits (67.7% of 363.8) over 209 profile positions	profile		ITPR	medium	363.8	117.5	0.677	sweep	HMM	Itpr2_1	ITPR2 protein (Fragment)	Psilopogon haemacephalus	2585815	Vertebrata	Metazoa	Chordata				294			0						
A0A7K9HM57	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 199.3 bits (100.0% of 199.3) over 207 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	199.3	1.0	sweep	HMM	Ryr1_1	RYR1 protein (Fragment)	Bucco capensis	135168	Vertebrata	Metazoa	Chordata				280			0						
A0A7L0P897	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 307.2 bits (58.7% of 523.8) over 263 profile positions	profile		ITPR	medium	523.8	216.6	0.5865	sweep	HMM	Itpr2_1	ITPR2 protein (Fragment)	Mesembrinibis cayennensis	1118748	Vertebrata	Metazoa	Chordata				285			0						
