accession	call	confidence	reason	instruments	arch_call	profile_call	profile_confidence	itpr_score	ryr_score	rel_margin	searches	source	gene	protein_name	species	taxon_id	group	kingdom	phylum	class	order	family	length	in_band	fragment	reviewed	protein_existence	in_alphafold	seed_pfams	pfams	n_itpr_arch	ryr_pfams	verdict
A0A673ILH1	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	3813.5	413.3	0.8916	interpro+calibration	InterPro	itpr2	Inositol 1,4,5-trisphosphate receptor	Sinocyclocheilus rhinocerous	307959	Vertebrata	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	2622	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673ILS8	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4165.0	369.2	0.9114	interpro+calibration	InterPro	itpr1b	Inositol 1,4,5-trisphosphate receptor	Sinocyclocheilus rhinocerous	307959	Vertebrata	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	2643	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673ILU1	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4148.9	377.9	0.9089	interpro+calibration	InterPro	itpr1b	Inositol 1,4,5-trisphosphate receptor	Sinocyclocheilus rhinocerous	307959	Vertebrata	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	2594	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673IT36	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4142.0	369.0	0.9109	interpro+calibration	InterPro	itpr1b	Inositol 1,4,5-trisphosphate receptor	Sinocyclocheilus rhinocerous	307959	Vertebrata	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	2669	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673IT60	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4104.6	367.9	0.9104	interpro+calibration	InterPro	itpr1b	Inositol 1,4,5-trisphosphate receptor	Sinocyclocheilus rhinocerous	307959	Vertebrata	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	2662	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673IT68	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	2373.2	263.2	0.8891	interpro+calibration	InterPro	itpr1b	Inositol 1,4,5-trisphosphate receptor type 1-like	Sinocyclocheilus rhinocerous	307959	Vertebrata	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	1515	0		0	Predicted	0	PF01365;PF08454	PF00520;PF01365;PF08454	3		not in the DB; another entry of the same gene was hit
A0A673IWR2	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	medium	1276.8	320.3	0.7491	interpro+calibration	InterPro	itpr1b	Inositol 1,4,5-trisphosphate receptor	Sinocyclocheilus rhinocerous	307959	Vertebrata	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	708	0		0	Inferred from homology	1	PF08709	PF00520;PF02815;PF08709	3		not in the DB; another entry of the same gene was hit
A0A673MZI1	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	3504.6	342.5	0.9023	interpro+calibration	InterPro	LOC107740421	Inositol 1,4,5-trisphosphate receptor	Sinocyclocheilus rhinocerous	307959	Vertebrata	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	2457	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673N6Q6	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	3383.8	340.6	0.8993	interpro+calibration	InterPro	LOC107740421	Inositol 1,4,5-trisphosphate receptor	Sinocyclocheilus rhinocerous	307959	Vertebrata	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	2453	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673TQH7	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4439.1	434.9	0.902	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Suricata suricatta (Meerkat)	37032	Vertebrata	Metazoa	Chordata	Mammalia	Carnivora	Herpestidae	2756	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673TRL4	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4436.3	432.2	0.9026	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Suricata suricatta (Meerkat)	37032	Vertebrata	Metazoa	Chordata	Mammalia	Carnivora	Herpestidae	2742	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673TT10	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	medium	1316.1	327.0	0.7515	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Suricata suricatta (Meerkat)	37032	Vertebrata	Metazoa	Chordata	Mammalia	Carnivora	Herpestidae	721	0		0	Inferred from homology	1	PF08709	PF00520;PF02815;PF08709	3		not in the DB; another entry of the same gene was hit
A0A673TU50	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4006.3	388.4	0.9031	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Suricata suricatta (Meerkat)	37032	Vertebrata	Metazoa	Chordata	Mammalia	Carnivora	Herpestidae	2455	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673U4N8	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4452.5	434.4	0.9024	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Suricata suricatta (Meerkat)	37032	Vertebrata	Metazoa	Chordata	Mammalia	Carnivora	Herpestidae	2709	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673U5E4	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4139.0	410.4	0.9008	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Suricata suricatta (Meerkat)	37032	Vertebrata	Metazoa	Chordata	Mammalia	Carnivora	Herpestidae	2541	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673U6S1	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4118.3	410.6	0.9003	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Suricata suricatta (Meerkat)	37032	Vertebrata	Metazoa	Chordata	Mammalia	Carnivora	Herpestidae	2577	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673UTK1	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4262.6	468.5	0.8901	interpro+calibration	InterPro	ITPR2	Inositol 1,4,5-trisphosphate receptor	Suricata suricatta (Meerkat)	37032	Vertebrata	Metazoa	Chordata	Mammalia	Carnivora	Herpestidae	2669	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673UU72	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4178.0	419.1	0.8997	interpro+calibration	InterPro	ITPR2	Inositol 1,4,5-trisphosphate receptor	Suricata suricatta (Meerkat)	37032	Vertebrata	Metazoa	Chordata	Mammalia	Carnivora	Herpestidae	2667	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673UY52	ITPR	low	architecture only — no profile verdict	architecture	ITPR	unassigned	none	318.1	26.6	0.9164	interpro+calibration	InterPro	ITPR2	Inositol 1,4,5-trisphosphate receptor	Suricata suricatta (Meerkat)	37032	Vertebrata	Metazoa	Chordata	Mammalia	Carnivora	Herpestidae	181	0		0	Inferred from homology	1	PF08709	PF08709	1		not in the DB; another entry of the same gene was hit
A0A673V4P9	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4261.3	465.0	0.8909	interpro+calibration	InterPro	ITPR2	Inositol 1,4,5-trisphosphate receptor	Suricata suricatta (Meerkat)	37032	Vertebrata	Metazoa	Chordata	Mammalia	Carnivora	Herpestidae	2685	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673V7G3	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4160.6	452.1	0.8913	interpro+calibration	InterPro	ITPR2	Inositol 1,4,5-trisphosphate receptor	Suricata suricatta (Meerkat)	37032	Vertebrata	Metazoa	Chordata	Mammalia	Carnivora	Herpestidae	2658	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673WBI2	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	3774.1	422.2	0.8881	interpro+calibration	InterPro	ITPR2	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2559	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673X0X8	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4318.0	418.2	0.9031	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2721	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673X141	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4256.1	399.4	0.9062	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2686	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673X1E1	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4243.2	421.7	0.9006	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2651	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673X1L4	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4198.5	417.1	0.9007	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2629	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673X1Q0	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4178.8	405.5	0.903	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2626	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673X8Z5	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4311.7	418.5	0.9029	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2728	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673X977	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4326.9	418.2	0.9033	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2717	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673X9U7	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4271.0	418.2	0.9021	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2735	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673XAS2	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4203.9	405.2	0.9036	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2649	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673YQJ8	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	2901.6	171.2	0.941	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	1977	0		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF01365;PF02815;PF08454;PF08709	4		not in the DB; another entry of the same gene was hit
A0A673YQL2	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4261.7	399.5	0.9063	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2725	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673YQN2	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	2429.6	269.7	0.889	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor type 1	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	1577	0		0	Predicted	0	PF01365;PF08454	PF00520;PF01365;PF08454	3		not in the DB; another entry of the same gene was hit
A0A673YQR6	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4253.4	398.9	0.9062	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2724	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673YQW3	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4255.8	401.3	0.9057	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2717	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673YQX2	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4243.9	402.3	0.9052	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2714	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673YR87	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4201.6	391.1	0.9069	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2649	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673YRV2	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4259.2	399.2	0.9063	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2699	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A673YRZ3	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	medium	1274.4	315.5	0.7524	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	714	0		0	Inferred from homology	1	PF08709	PF00520;PF02815;PF08709	3		not in the DB; another entry of the same gene was hit
A0A674ADJ3	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4342.0	407.7	0.9061	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2730	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A674AE23	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4273.6	399.6	0.9065	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2721	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A674AE61	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4271.0	399.6	0.9064	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2721	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A674AFF5	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4208.1	404.6	0.9039	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2657	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A674AFZ7	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4077.1	399.1	0.9021	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2637	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A674AGV1	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4179.4	401.4	0.904	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2638	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A674AHG8	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4280.5	404.2	0.9056	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2714	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A674AIC7	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4206.0	398.6	0.9052	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2657	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A674B1V9	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	3830.3	389.1	0.8984	interpro+calibration	InterPro	ITPR3	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2637	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A674B214	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	3824.5	382.4	0.9	interpro+calibration	InterPro	ITPR3	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2641	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A674B215	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	3806.2	376.8	0.901	interpro+calibration	InterPro	ITPR3	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2630	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A674B258	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	medium	516.8	63.0	0.8781	interpro+calibration	InterPro	ITPR3	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	286	0		0	Inferred from homology	1	PF08709	PF02815;PF08709	2		not in the DB; another entry of the same gene was hit
A0A674B279	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	3724.1	378.5	0.8984	interpro+calibration	InterPro	ITPR3	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2632	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A674B3J3	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	3429.9	230.1	0.9329	interpro+calibration	InterPro	ITPR3	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2457	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A674C4B6	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4208.4	391.6	0.9069	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2721	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A674C4J6	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4181.8	402.4	0.9038	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2687	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A674C4P0	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4155.1	397.1	0.9044	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2661	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A674C4R5	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4121.2	397.1	0.9036	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2649	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A674C4U2	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4178.9	404.3	0.9033	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2661	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A674C5L1	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4180.4	404.0	0.9034	interpro+calibration	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Salmo trutta (Brown trout)	8032	Vertebrata	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	2679	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
