accession	band	role	length	n_itpr_arch	itpr_score	verdict	detail
A0A5E4QI94	Arthropoda	RYR	3842	3	280.1	shape	length 3842 outside RyR bait band 4600-5400
A0A5E4QID8	Arthropoda	RYR	1233	2	432.1	shape	length 1233 outside RyR bait band 4600-5400
A0A5E4R6N7	Arthropoda	ITPR	1256	3	1304.6	shape	length 1256 outside measured bait band 2450-3250
A0A5E4R7R6	Arthropoda	ITPR	948	2	1168.3	shape	length 948 outside measured bait band 2450-3250
A0A5J4NXI2	Platyhelminthes	RYR	5606	5	625.7	shape	length 5606 outside RyR bait band 4600-5400
A0A5J4P0A9	Platyhelminthes	ITPR	1026	3	726.6	shape	length 1026 outside measured bait band 2450-3250
A0A5J4P0D6	Platyhelminthes	ITPR	1473	2	587.1	shape	length 1473 outside measured bait band 2450-3250
A0A5K4EV29	Platyhelminthes	RYR	5663	5	700.3	shape	length 5663 outside RyR bait band 4600-5400
A0A5N5T554	Arthropoda	ITPR	582	3	842.5	shape	length 582 outside measured bait band 2450-3250
A0A5S6PZZ0	Nematoda	RYR	4429	3	496.9	shape	length 4429 outside RyR bait band 4600-5400
A0A5S6Q0N4	Nematoda	RYR	623	3	170.9	shape	length 623 outside RyR bait band 4600-5400
A0A640KCF7	Euglenozoa	ITPR	2306	2	195.4	shape	length 2306 outside measured bait band 2450-3250
A0A653BQS5	Arthropoda	RYR	1638	3	183.8	shape	length 1638 outside RyR bait band 4600-5400
A0A653BQW0	Arthropoda	RYR	1638	3	183.8	shape	length 1638 outside RyR bait band 4600-5400
A0A653BQZ9	Arthropoda	RYR	1618	3	177.8	shape	length 1618 outside RyR bait band 4600-5400
A0A653BRL5	Arthropoda	RYR	1132	3	185.5	shape	length 1132 outside RyR bait band 4600-5400
A0A653C289	Arthropoda	ITPR	966	2	1344.0	shape	length 966 outside measured bait band 2450-3250
A0A653D8B2	Arthropoda	RYR	1842	1	69.0	shape	length 1842 outside RyR bait band 4600-5400
A0A653D8R7	Arthropoda	RYR	1135	1	137.7	shape	length 1135 outside RyR bait band 4600-5400
A0A653DA39	Arthropoda	RYR	2381	2	204.0	shape	length 2381 outside RyR bait band 4600-5400
A0A653DHA5	Arthropoda	RYR	1037	2	351.3	shape	length 1037 outside RyR bait band 4600-5400
A0A653DJ48	Arthropoda	RYR	1118	2	363.1	shape	length 1118 outside RyR bait band 4600-5400
A0A653DNQ9	Arthropoda	ITPR	1091	3	1462.8	shape	length 1091 outside measured bait band 2450-3250
A0A6A3MJ00	Oomycota	ITPR	408	1	166.8	shape	length 408 outside measured bait band 2450-3250
A0A6A3XZ48	Oomycota	ITPR	408	1	166.8	shape	length 408 outside measured bait band 2450-3250
A0A6A4VAY1	Arthropoda	ITPR	1076	3	1352.9	shape	length 1076 outside measured bait band 2450-3250
A0A6A4VLS6	Arthropoda	ITPR	1697	3	2048.4	shape	length 1697 outside measured bait band 2450-3250
A0A6A4WBV4	Arthropoda	ITPR	962	3	1098.4	shape	length 962 outside measured bait band 2450-3250
A0A6A4WJ60	Arthropoda	RYR	4233	4	383.8	shape	length 4233 outside RyR bait band 4600-5400
A0A6A5B5Q0	Heterolobosea	ITPR	1517	2	710.3	shape	length 1517 outside measured bait band 2450-3250
A0A6A5BJM4	Heterolobosea	ITPR	364	1	154.8	shape	length 364 outside measured bait band 2450-3250
A0A6A5BJU9	Heterolobosea	ITPR	1238	3	423.6	shape	length 1238 outside measured bait band 2450-3250
A0A6A5BK41	Heterolobosea	ITPR	1767	3	675.5	shape	length 1767 outside measured bait band 2450-3250
A0A6A5BN11	Heterolobosea	ITPR	807	1	286.8	shape	length 807 outside measured bait band 2450-3250
A0A6A7FWC2	Arthropoda	RYR	2664	2	439.0	shape	length 2664 outside RyR bait band 4600-5400
A0A6G0T1B7	Arthropoda	ITPR	3835	5	3308.7	shape	length 3835 outside measured bait band 2450-3250
A0A6G0WFQ1	Oomycota	ITPR	2808	2	340.0	shape	architecture 2/5, not complete, and itpr.hmm scores it only 340 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A6G0XB17	Oomycota	ITPR	1048	2	270.6	shape	length 1048 outside measured bait band 2450-3250
A0A6G0YER7	Arthropoda	RYR	1376	1	159.3	shape	length 1376 outside RyR bait band 4600-5400
A0A6G0Z6V5	Arthropoda	RYR	3427	3	265.8	shape	length 3427 outside RyR bait band 4600-5400
A0A6G0ZEY4	Arthropoda	ITPR	3826	5	3270.5	shape	length 3826 outside measured bait band 2450-3250
A0A6H5HHL1	Arthropoda	RYR	886	1	0.0	shape	length 886 outside RyR bait band 4600-5400
A0A6H5HUU5	Arthropoda	ITPR	452	1	290.3	shape	length 452 outside measured bait band 2450-3250
A0A6J2J978	Arthropoda	ITPR	1997	3	2308.7	shape	length 1997 outside measured bait band 2450-3250
A0A6J2J983	Arthropoda	ITPR	960	3	1337.9	shape	length 960 outside measured bait band 2450-3250
A0A6J2T1W7	Arthropoda	RYR	2903	3	275.7	shape	length 2903 outside RyR bait band 4600-5400
A0A6J3KG79	Arthropoda	RYR	4050	3	308.5	shape	length 4050 outside RyR bait band 4600-5400
A0A6J3KG86	Arthropoda	RYR	4025	3	317.9	shape	length 4025 outside RyR bait band 4600-5400
A0A6J3KG89	Arthropoda	RYR	4060	3	308.5	shape	length 4060 outside RyR bait band 4600-5400
A0A6J3KG93	Arthropoda	RYR	4027	3	312.4	shape	length 4027 outside RyR bait band 4600-5400
A0A6J3KG94	Arthropoda	RYR	4030	3	317.7	shape	length 4030 outside RyR bait band 4600-5400
A0A6J3KGW9	Arthropoda	RYR	4042	3	308.1	shape	length 4042 outside RyR bait band 4600-5400
A0A6J3KGX8	Arthropoda	RYR	4010	3	314.4	shape	length 4010 outside RyR bait band 4600-5400
A0A6J3KIN9	Arthropoda	RYR	4040	3	316.6	shape	length 4040 outside RyR bait band 4600-5400
A0A6J3KIP7	Arthropoda	RYR	4025	3	317.9	shape	length 4025 outside RyR bait band 4600-5400
A0A6J3KJT5	Arthropoda	RYR	4045	3	316.4	shape	length 4045 outside RyR bait band 4600-5400
A0A6J3KJT9	Arthropoda	RYR	4010	3	314.4	shape	length 4010 outside RyR bait band 4600-5400
A0A6J8APY4	Mollusca	ITPR	2032	3	871.0	shape	length 2032 outside measured bait band 2450-3250
A0A6J8AQB4	Mollusca	ITPR	2035	3	869.9	shape	length 2035 outside measured bait band 2450-3250
A0A6J8AQC2	Mollusca	ITPR	2052	3	868.3	shape	length 2052 outside measured bait band 2450-3250
A0A6J8AQK9	Mollusca	ITPR	2038	3	871.1	shape	length 2038 outside measured bait band 2450-3250
A0A6J8AQL2	Mollusca	ITPR	2044	3	859.5	shape	length 2044 outside measured bait band 2450-3250
A0A6J8AQN2	Mollusca	ITPR	2026	3	869.4	shape	length 2026 outside measured bait band 2450-3250
A0A6J8AQR8	Mollusca	ITPR	783	3	496.9	shape	length 783 outside measured bait band 2450-3250
A0A6J8AQT0	Mollusca	ITPR	2075	3	862.8	shape	length 2075 outside measured bait band 2450-3250
A0A6J8AR89	Mollusca	ITPR	2043	3	872.1	shape	length 2043 outside measured bait band 2450-3250
A0A6J8ARK1	Mollusca	ITPR	2049	3	865.1	shape	length 2049 outside measured bait band 2450-3250
A0A6J8ATV4	Mollusca	ITPR	791	3	494.5	shape	length 791 outside measured bait band 2450-3250
A0A6J8ATW3	Mollusca	ITPR	2021	3	870.2	shape	length 2021 outside measured bait band 2450-3250
A0A6J8AUD5	Mollusca	ITPR	2032	3	872.4	shape	length 2032 outside measured bait band 2450-3250
A0A6P5ABM7	Chordata	ITPR	1367	3	787.7	shape	length 1367 outside measured bait band 2450-3250
A0A6P5ALE4	Chordata	ITPR	967	1	572.8	shape	length 967 outside measured bait band 2450-3250
A0A6P7U7S7	Mollusca	ITPR	870	2	597.6	shape	length 870 outside measured bait band 2450-3250
A0A6P7U8I7	Mollusca	ITPR	500	3	372.3	shape	length 500 outside measured bait band 2450-3250
A0A6P8K2E6	Arthropoda	RYR	3844	3	271.2	shape	length 3844 outside RyR bait band 4600-5400
A0A6S7H4S0	Cnidaria	ITPR	1295	1	684.4	shape	length 1295 outside measured bait band 2450-3250
A0A6S7HTL5	Cnidaria	ITPR	1426	1	684.0	shape	length 1426 outside measured bait band 2450-3250
A0A6S7JVE1	Cnidaria	ITPR	881	1	1028.7	shape	length 881 outside measured bait band 2450-3250
A0A6V7H6T5	Arthropoda	RYR	2289	2	103.2	shape	length 2289 outside RyR bait band 4600-5400
A0A7D9DNX6	Cnidaria	ITPR	351	2	433.4	shape	length 351 outside measured bait band 2450-3250
A0A7D9DSD2	Cnidaria	ITPR	239	1	387.7	shape	length 239 outside measured bait band 2450-3250
A0A7E4VXK5	Nematoda	RYR	1283	2	450.8	shape	length 1283 outside RyR bait band 4600-5400
A0A7E4VY38	Nematoda	RYR	4039	3	235.0	shape	length 4039 outside RyR bait band 4600-5400
A0A7E6EH83	Mollusca	ITPR	589	2	420.6	shape	length 589 outside measured bait band 2450-3250
A0A7E6EIE7	Mollusca	ITPR	556	1	251.5	shape	length 556 outside measured bait band 2450-3250
A0A7E6EIJ3	Mollusca	ITPR	997	2	602.9	shape	length 997 outside measured bait band 2450-3250
A0A7E6F585	Mollusca	RYR	1194	2	436.6	shape	length 1194 outside RyR bait band 4600-5400
A0A7E6F791	Mollusca	RYR	4022	3	266.1	shape	length 4022 outside RyR bait band 4600-5400
A0A7E6F8L9	Mollusca	RYR	4016	3	266.1	shape	length 4016 outside RyR bait band 4600-5400
A0A7G2C430	Euglenozoa	ITPR	2214	2	255.5	shape	length 2214 outside measured bait band 2450-3250
A0A7G2CLF3	Euglenozoa	ITPR	1315	1	149.2	shape	length 1315 outside measured bait band 2450-3250
A0A7I8VN50	Annelida	ITPR	1242	3	458.7	shape	length 1242 outside measured bait band 2450-3250
A0A7I8VNA3	Annelida	ITPR	1211	2	596.5	shape	length 1211 outside measured bait band 2450-3250
A0A7I8VNW3	Annelida	ITPR	976	1	256.0	shape	length 976 outside measured bait band 2450-3250
A0A7I8VPP3	Annelida	ITPR	2408	4	916.1	shape	length 2408 outside measured bait band 2450-3250
A0A7I8VR16	Annelida	ITPR	1418	3	747.3	shape	length 1418 outside measured bait band 2450-3250
A0A7I8W5Y9	Annelida	RYR	1982	3	211.2	shape	length 1982 outside RyR bait band 4600-5400
A0A7I8W737	Annelida	RYR	1344	2	445.4	shape	length 1344 outside RyR bait band 4600-5400
A0A7I8W7Y7	Annelida	RYR	1666	1	57.9	shape	length 1666 outside RyR bait band 4600-5400
A0A7I8W9L7	Annelida	ITPR	1991	2	637.3	shape	length 1991 outside measured bait band 2450-3250
A0A7J6MH59	Perkinsozoa	ITPR	724	2	304.2	shape	length 724 outside measured bait band 2450-3250
A0A7J7J3T9	Bryozoa	ITPR	783	3	529.0	shape	length 783 outside measured bait band 2450-3250
A0A7J7J401	Bryozoa	ITPR	1724	3	849.8	shape	length 1724 outside measured bait band 2450-3250
A0A7J7JC37	Bryozoa	ITPR	299	2	457.3	shape	length 299 outside measured bait band 2450-3250
A0A7J7JJZ9	Bryozoa	ITPR	482	3	678.4	shape	length 482 outside measured bait band 2450-3250
A0A7J7JRK3	Bryozoa	ITPR	361	2	431.8	shape	length 361 outside measured bait band 2450-3250
A0A7J7JRK8	Bryozoa	ITPR	1529	3	2035.0	shape	length 1529 outside measured bait band 2450-3250
A0A7J7KG12	Bryozoa	RYR	629	1	31.5	shape	length 629 outside RyR bait band 4600-5400
A0A7J7KHS8	Bryozoa	RYR	2099	2	428.5	shape	length 2099 outside RyR bait band 4600-5400
A0A7J7KIA4	Bryozoa	ITPR	400	1	538.1	shape	length 400 outside measured bait band 2450-3250
A0A7J7KJC9	Bryozoa	ITPR	421	1	371.7	shape	length 421 outside measured bait band 2450-3250
A0A7J7KKU0	Bryozoa	ITPR	420	2	572.7	shape	length 420 outside measured bait band 2450-3250
A0A7M7SSJ1	Echinodermata	ITPR	2301	3	3112.7	shape	length 2301 outside measured bait band 2450-3250
A0A7R8CVF9	Arthropoda	RYR	2112	2	126.2	shape	length 2112 outside RyR bait band 4600-5400
A0A7R8CVG3	Arthropoda	RYR	1654	3	187.0	shape	length 1654 outside RyR bait band 4600-5400
A0A7R8H2F0	Arthropoda	ITPR	1870	4	2027.4	shape	length 1870 outside measured bait band 2450-3250
A0A7R8H353	Arthropoda	ITPR	1843	4	2044.2	shape	length 1843 outside measured bait band 2450-3250
A0A7R8H385	Arthropoda	ITPR	1879	4	2025.6	shape	length 1879 outside measured bait band 2450-3250
A0A7R8WZ42	Arthropoda	RYR	4163	3	510.9	shape	length 4163 outside RyR bait band 4600-5400
A0A7R8XH63	Arthropoda	RYR	693	1	56.1	shape	length 693 outside RyR bait band 4600-5400
A0A7R8Z1S9	Arthropoda	ITPR	2120	3	2423.5	shape	length 2120 outside measured bait band 2450-3250
A0A7R8Z3H6	Arthropoda	ITPR	850	3	1231.8	shape	length 850 outside measured bait band 2450-3250
A0A7R9BQ83	Arthropoda	RYR	3631	3	490.0	shape	length 3631 outside RyR bait band 4600-5400
A0A7R9BXY1	Arthropoda	ITPR	1339	2	1158.3	shape	length 1339 outside measured bait band 2450-3250
A0A7R9GIH7	Arthropoda	ITPR	1437	3	1716.3	shape	length 1437 outside measured bait band 2450-3250
A0A7R9L670	Arthropoda	ITPR	237	1	403.3	shape	length 237 outside measured bait band 2450-3250
A0A7R9LF13	Arthropoda	RYR	387	1	73.0	shape	length 387 outside RyR bait band 4600-5400
A0A7R9LP60	Arthropoda	RYR	1742	2	438.4	shape	length 1742 outside RyR bait band 4600-5400
A0A7R9MLC2	Arthropoda	ITPR	237	1	402.1	shape	length 237 outside measured bait band 2450-3250
A0A7R9PVA5	Arthropoda	RYR	3592	3	389.9	shape	length 3592 outside RyR bait band 4600-5400
A0A7R9QHI5	Arthropoda	ITPR	2445	4	2958.9	shape	length 2445 outside measured bait band 2450-3250
A0A7T8K2P8	Arthropoda	ITPR	312	1	378.0	shape	length 312 outside measured bait band 2450-3250
A0A811V8B2	Arthropoda	RYR	3902	3	271.2	shape	length 3902 outside RyR bait band 4600-5400
A0A812DN11	Mollusca	RYR	2113	3	188.7	shape	length 2113 outside RyR bait band 4600-5400
A0A812DS02	Mollusca	RYR	2912	3	245.2	shape	length 2912 outside RyR bait band 4600-5400
A0A812EEE1	Mollusca	ITPR	480	1	213.1	shape	length 480 outside measured bait band 2450-3250
A0A812EJL0	Mollusca	ITPR	469	1	250.8	shape	length 469 outside measured bait band 2450-3250
A0A812ETH3	Mollusca	ITPR	1847	3	927.5	shape	length 1847 outside measured bait band 2450-3250
A0A812EWF7	Mollusca	ITPR	944	2	601.7	shape	length 944 outside measured bait band 2450-3250
A0A813Y109	Rotifera	ITPR	1061	3	1218.2	shape	length 1061 outside measured bait band 2450-3250
A0A813Y763	Rotifera	ITPR	1065	3	1239.2	shape	length 1065 outside measured bait band 2450-3250
A0A814A014	Rotifera	ITPR	990	2	1133.4	shape	length 990 outside measured bait band 2450-3250
A0A814IGF4	Rotifera	ITPR	1539	2	1525.4	shape	length 1539 outside measured bait band 2450-3250
A0A814JJM3	Rotifera	ITPR	785	3	1035.5	shape	length 785 outside measured bait band 2450-3250
A0A814NM05	Rotifera	ITPR	1740	3	1809.3	shape	length 1740 outside measured bait band 2450-3250
A0A814SRX9	Rotifera	ITPR	1433	2	1435.8	shape	length 1433 outside measured bait band 2450-3250
A0A814VE44	Rotifera	RYR	2365	2	423.4	shape	length 2365 outside RyR bait band 4600-5400
A0A814YGI2	Rotifera	ITPR	1962	3	1886.1	shape	length 1962 outside measured bait band 2450-3250
A0A814YHZ2	Rotifera	ITPR	1958	3	1933.8	shape	length 1958 outside measured bait band 2450-3250
A0A814YK46	Rotifera	ITPR	1966	3	1927.0	shape	length 1966 outside measured bait band 2450-3250
A0A814YKC7	Rotifera	ITPR	1963	3	1882.1	shape	length 1963 outside measured bait band 2450-3250
A0A814YKZ6	Rotifera	ITPR	1954	3	1892.9	shape	length 1954 outside measured bait band 2450-3250
A0A815CSR2	Rotifera	ITPR	2440	4	2524.2	shape	length 2440 outside measured bait band 2450-3250
A0A815D222	Rotifera	ITPR	1748	3	1806.1	shape	length 1748 outside measured bait band 2450-3250
A0A815D345	Rotifera	ITPR	1731	3	1818.8	shape	length 1731 outside measured bait band 2450-3250
A0A815D783	Rotifera	ITPR	1707	3	1768.6	shape	length 1707 outside measured bait band 2450-3250
A0A815DDM3	Rotifera	ITPR	1724	3	1756.0	shape	length 1724 outside measured bait band 2450-3250
A0A815DEP1	Rotifera	ITPR	1716	3	1759.2	shape	length 1716 outside measured bait band 2450-3250
A0A815DEX3	Rotifera	ITPR	2416	4	2474.5	shape	length 2416 outside measured bait band 2450-3250
A0A815DIS1	Rotifera	ITPR	1067	2	1152.2	shape	length 1067 outside measured bait band 2450-3250
A0A815EXP8	Rotifera	ITPR	606	1	584.0	shape	length 606 outside measured bait band 2450-3250
A0A815GA46	Rotifera	RYR	2213	2	412.9	shape	length 2213 outside RyR bait band 4600-5400
A0A815JFZ8	Rotifera	RYR	4154	2	221.5	shape	length 4154 outside RyR bait band 4600-5400
A0A815JQP0	Rotifera	RYR	4154	2	225.5	shape	length 4154 outside RyR bait band 4600-5400
A0A815M856	Rotifera	RYR	3298	3	251.0	shape	length 3298 outside RyR bait band 4600-5400
A0A815MKC4	Rotifera	ITPR	1615	3	1645.7	shape	length 1615 outside measured bait band 2450-3250
A0A815N5D1	Rotifera	ITPR	1589	3	1609.1	shape	length 1589 outside measured bait band 2450-3250
A0A815RZH1	Rotifera	RYR	411	1	98.4	shape	length 411 outside RyR bait band 4600-5400
A0A815S0M9	Rotifera	RYR	878	1	94.4	shape	length 878 outside RyR bait band 4600-5400
A0A815SH50	Rotifera	RYR	827	3	180.9	shape	length 827 outside RyR bait band 4600-5400
A0A815SQ28	Rotifera	RYR	827	3	181.5	shape	length 827 outside RyR bait band 4600-5400
A0A815TW83	Rotifera	ITPR	1955	3	1885.4	shape	length 1955 outside measured bait band 2450-3250
A0A815U597	Rotifera	ITPR	578	2	649.6	shape	length 578 outside measured bait band 2450-3250
A0A815UNK0	Rotifera	ITPR	1082	1	969.0	shape	length 1082 outside measured bait band 2450-3250
A0A815XUF9	Rotifera	ITPR	465	2	656.6	shape	length 465 outside measured bait band 2450-3250
A0A815Y080	Rotifera	ITPR	663	1	704.3	shape	length 663 outside measured bait band 2450-3250
A0A815ZAQ4	Rotifera	RYR	2096	1	65.7	shape	length 2096 outside RyR bait band 4600-5400
A0A815ZEN6	Rotifera	RYR	1403	2	418.6	shape	length 1403 outside RyR bait band 4600-5400
A0A815ZIN3	Rotifera	RYR	1369	2	417.9	shape	length 1369 outside RyR bait band 4600-5400
A0A816CYJ6	Rotifera	RYR	690	1	54.4	shape	length 690 outside RyR bait band 4600-5400
A0A816DII0	Rotifera	ITPR	466	2	649.9	shape	length 466 outside measured bait band 2450-3250
A0A816FIX6	Rotifera	ITPR	664	1	704.3	shape	length 664 outside measured bait band 2450-3250
A0A816FQP8	Rotifera	RYR	662	2	84.5	shape	length 662 outside RyR bait band 4600-5400
A0A816G9V7	Rotifera	RYR	509	3	119.5	shape	length 509 outside RyR bait band 4600-5400
A0A816GAA3	Rotifera	RYR	509	3	119.8	shape	length 509 outside RyR bait band 4600-5400
A0A819AJ11	Rotifera	ITPR	1187	3	1351.7	shape	length 1187 outside measured bait band 2450-3250
A0A819LAN5	Rotifera	RYR	2282	2	428.8	shape	length 2282 outside RyR bait band 4600-5400
A0A819MBS4	Rotifera	ITPR	1561	3	1613.6	shape	length 1561 outside measured bait band 2450-3250
A0A819WPT9	Rotifera	ITPR	1222	2	666.5	shape	length 1222 outside measured bait band 2450-3250
A0A819YS51	Rotifera	RYR	1755	1	79.3	shape	length 1755 outside RyR bait band 4600-5400
A0A819YWP2	Rotifera	RYR	968	3	160.5	shape	length 968 outside RyR bait band 4600-5400
A0A819Z8A8	Rotifera	RYR	1328	2	250.4	shape	length 1328 outside RyR bait band 4600-5400
A0A820FHW4	Rotifera	RYR	1045	3	176.6	shape	length 1045 outside RyR bait band 4600-5400
A0A820GBR1	Rotifera	ITPR	891	3	1121.3	shape	length 891 outside measured bait band 2450-3250
A0A820L7N5	Rotifera	RYR	2253	2	430.4	shape	length 2253 outside RyR bait band 4600-5400
A0A820LXG1	Rotifera	RYR	2627	1	120.0	shape	length 2627 outside RyR bait band 4600-5400
A0A820PXT9	Rotifera	RYR	333	2	92.5	shape	length 333 outside RyR bait band 4600-5400
A0A820TRH4	Rotifera	RYR	279	2	0.0	shape	length 279 outside RyR bait band 4600-5400
A0A820WW65	Rotifera	ITPR	639	2	778.2	shape	length 639 outside measured bait band 2450-3250
A0A820Z2F5	Rotifera	RYR	614	1	0.0	shape	length 614 outside RyR bait band 4600-5400
A0A821FVB3	Rotifera	RYR	347	1	45.7	shape	length 347 outside RyR bait band 4600-5400
A0A821VCV4	Arthropoda	RYR	1860	2	439.7	shape	length 1860 outside RyR bait band 4600-5400
A0A821VCW5	Arthropoda	RYR	1847	2	439.7	shape	length 1847 outside RyR bait band 4600-5400
A0A821VFV6	Arthropoda	RYR	3242	3	277.7	shape	length 3242 outside RyR bait band 4600-5400
A0A830HJY1	Chlorophyta	ITPR	1662	2	386.9	shape	length 1662 outside measured bait band 2450-3250
A0A830HKN8	Chlorophyta	ITPR	534	1	128.9	shape	length 534 outside measured bait band 2450-3250
A0A833RUI5	Arthropoda	ITPR	1713	4	2212.9	shape	length 1713 outside measured bait band 2450-3250
A0A833TJ41	Oomycota	ITPR	3786	5	1974.7	shape	length 3786 outside measured bait band 2450-3250
A0A834JT34	Arthropoda	ITPR	754	1	788.9	shape	length 754 outside measured bait band 2450-3250
A0A834N359	Arthropoda	ITPR	1675	3	2162.5	shape	length 1675 outside measured bait band 2450-3250
A0A834U2V9	Arthropoda	RYR	3737	3	289.0	shape	length 3737 outside RyR bait band 4600-5400
A0A834U342	Arthropoda	RYR	1458	2	443.0	shape	length 1458 outside RyR bait band 4600-5400
A0A835TB45	Chlorophyta	ITPR	3182	4	683.9	shape	architecture 4/5, not complete, and itpr.hmm scores it only 684 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A835Y1X9	Chlorophyta	ITPR	3268	4	658.6	shape	length 3268 outside measured bait band 2450-3250
A0A836B9Y3	Chlorophyta	ITPR	3219	4	717.6	shape	architecture 4/5, not complete, and itpr.hmm scores it only 718 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A836EHW0	Arthropoda	RYR	391	2	106.4	shape	length 391 outside RyR bait band 4600-5400
A0A836GHV8	Euglenozoa	ITPR	2900	3	454.8	shape	architecture 3/5, not complete, and itpr.hmm scores it only 455 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A836HD65	Euglenozoa	ITPR	2853	4	469.2	shape	architecture 4/5, not complete, and itpr.hmm scores it only 469 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A836KP41	Euglenozoa	ITPR	2901	3	451.2	shape	architecture 3/5, not complete, and itpr.hmm scores it only 451 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A8B6CEC8	Mollusca	ITPR	1891	3	937.6	shape	length 1891 outside measured bait band 2450-3250
A0A8B6CEN9	Mollusca	ITPR	1924	3	955.0	shape	length 1924 outside measured bait band 2450-3250
A0A8B6DGF7	Mollusca	ITPR	273	1	219.7	shape	length 273 outside measured bait band 2450-3250
A0A8B6FUU9	Mollusca	ITPR	1878	3	2231.8	shape	length 1878 outside measured bait band 2450-3250
A0A8B6FWT3	Mollusca	ITPR	1862	3	2239.0	shape	length 1862 outside measured bait band 2450-3250
A0A8B6HHY4	Mollusca	ITPR	1293	2	738.9	shape	length 1293 outside measured bait band 2450-3250
A0A8B6HI66	Mollusca	RYR	4029	3	533.5	shape	length 4029 outside RyR bait band 4600-5400
A0A8B6HK61	Mollusca	RYR	4074	3	533.3	shape	length 4074 outside RyR bait band 4600-5400
A0A8B7NYH7	Arthropoda	RYR	700	1	72.0	shape	length 700 outside RyR bait band 4600-5400
A0A8B7NZM1	Arthropoda	RYR	1050	1	161.1	shape	length 1050 outside RyR bait band 4600-5400
A0A8B8DQN4	Mollusca	RYR	3436	3	279.0	shape	length 3436 outside RyR bait band 4600-5400
A0A8B8GE66	Arthropoda	ITPR	3813	5	3291.9	shape	length 3813 outside measured bait band 2450-3250
A0A8E0RU88	Platyhelminthes	ITPR	260	1	145.9	shape	length 260 outside measured bait band 2450-3250
A0A8E0VKM0	Platyhelminthes	ITPR	274	2	230.4	shape	length 274 outside measured bait band 2450-3250
A0A8E0VKM4	Platyhelminthes	RYR	5541	5	638.6	shape	length 5541 outside RyR bait band 4600-5400
A0A8H7BU48	Mucoromycota	ITPR	2391	5	1152.1	shape	length 2391 outside measured bait band 2450-3250
A0A8J2HMJ1	Arthropoda	ITPR	1615	3	2222.0	shape	length 1615 outside measured bait band 2450-3250
A0A8J2K4J8	Arthropoda	RYR	383	1	53.0	shape	length 383 outside RyR bait band 4600-5400
A0A8J2M3J9	Nematoda	ITPR	2413	3	2110.1	shape	length 2413 outside measured bait band 2450-3250
A0A8J2M9V3	Nematoda	ITPR	2434	3	2152.2	shape	length 2434 outside measured bait band 2450-3250
A0A8J2MA65	Arthropoda	RYR	1602	2	417.2	shape	length 1602 outside RyR bait band 4600-5400
A0A8J2MSU0	Nematoda	ITPR	2431	3	2159.9	shape	length 2431 outside measured bait band 2450-3250
A0A8J2MT04	Nematoda	ITPR	386	2	433.6	shape	length 386 outside measured bait band 2450-3250
A0A8J2NYV6	Arthropoda	RYR	244	1	59.7	shape	length 244 outside RyR bait band 4600-5400
A0A8J2QUK7	Arthropoda	RYR	1857	2	437.3	shape	length 1857 outside RyR bait band 4600-5400
A0A8J2QY98	Arthropoda	RYR	3237	3	278.0	shape	length 3237 outside RyR bait band 4600-5400
A0A8J2RIW8	Arthropoda	ITPR	1316	3	1568.5	shape	length 1316 outside measured bait band 2450-3250
A0A8J2VWS2	Arthropoda	ITPR	630	1	287.5	shape	length 630 outside measured bait band 2450-3250
A0A8J2W102	Arthropoda	ITPR	368	1	266.9	shape	length 368 outside measured bait band 2450-3250
A0A8J2WFV5	Arthropoda	ITPR	1208	3	1191.6	shape	length 1208 outside measured bait band 2450-3250
A0A8J4BKS1	Chlorophyta	ITPR	1827	2	405.8	shape	length 1827 outside measured bait band 2450-3250
A0A8J4BL52	Chlorophyta	ITPR	1944	2	442.8	shape	length 1944 outside measured bait band 2450-3250
A0A8J4EWX3	Chlorophyta	ITPR	813	2	208.9	shape	length 813 outside measured bait band 2450-3250
A0A8J4SJ13	Platyhelminthes	ITPR	976	3	857.0	shape	length 976 outside measured bait band 2450-3250
A0A8J4THQ5	Platyhelminthes	RYR	5627	5	689.2	shape	length 5627 outside RyR bait band 4600-5400
A0A8J4XVZ7	Arthropoda	ITPR	236	1	229.9	shape	length 236 outside measured bait band 2450-3250
A0A8J5JM50	Arthropoda	RYR	4088	2	304.7	shape	length 4088 outside RyR bait band 4600-5400
A0A8J5JZN9	Arthropoda	ITPR	2114	4	2494.5	shape	length 2114 outside measured bait band 2450-3250
A0A8J6H6D8	Arthropoda	RYR	4154	3	227.9	shape	length 4154 outside RyR bait band 4600-5400
A0A8J6HUA9	Arthropoda	ITPR	7164	4	2827.5	shape	length 7164 outside measured bait band 2450-3250
A0A8J8SXM7	Ciliophora	ITPR	902	2	559.4	shape	length 902 outside measured bait band 2450-3250
A0A8J8SYJ5	Ciliophora	ITPR	2767	2	198.5	shape	architecture 2/5, not complete, and itpr.hmm scores it only 198 bits (< 752, the 5th percentile of the complete-architecture records' own scores)
A0A8J9VFY1	Chordata	ITPR	2254	2	1096.6	shape	length 2254 outside measured bait band 2450-3250
