id	accession	band	group	role	paralog	clade	family	length	species	taxon_id	gene	protein_name	n_itpr_arch	arch_exception	itpr_score	ryr_score	rel_margin	envelope_frac	origin	shape_reason	screen_reason
A0ACC2W476|PMT1|Naganishia_cerealis|Tremellomycetes|MIR	A0ACC2W476	Tremellomycetes		MIR	Tremellomycetes	Tremellomycetes	MIR	846			PMT1	Dolichyl-phosphate-mannose--protein mannosyltransferase		0					PF02815 over the archived fungi proteome DB	best PF02815 protein in Tremellomycetes (172 bits, 846 aa, named a mannosyltransferase); the clade S20 swept 44 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade	assigned no_hit by the screen (itpr 0 / ryr 0 bits)
A0ABQ7J9N3|IE077_002895|Cardiosporidium_cionae|Aconoidasida|MIR	A0ABQ7J9N3	Aconoidasida		MIR	Aconoidasida	Aconoidasida	MIR	233			IE077_002895	MIR domain-containing protein		0					PF02815 over the archived protista_other proteome DB	best PF02815 protein in Aconoidasida (39 bits, 233 aa, unnamed); the clade S20 swept 36 proteomes of for 0 ITPR; control is weak — not named a mannosyltransferase; 233 aa — a short MIR-only protein, not the full PMT (< 600); PF02815 found in only 3% of the clade's swept proteomes	assigned no_hit by the screen (itpr 0 / ryr 0 bits)
A0A397UQW3|C2G38_2203012|Gigaspora_rosea|Glomeromycetes|MIR	A0A397UQW3	Glomeromycetes		MIR	Glomeromycetes	Glomeromycetes	MIR	833			C2G38_2203012	Dolichyl-phosphate-mannose--protein mannosyltransferase		0					PF02815 over the archived fungi proteome DB	best PF02815 protein in Glomeromycetes (153 bits, 833 aa, named a mannosyltransferase); the clade S20 swept 27 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade	assigned no_hit by the screen (itpr 0 / ryr 0 bits)
A0AAV9Y0A3|RS030_172601|Cryptosporidium_xiaoi|Conoidasida|MIR	A0AAV9Y0A3	Conoidasida		MIR	Conoidasida	Conoidasida	MIR	231			RS030_172601	MIR domain-containing protein		0					PF02815 over the archived protista_other proteome DB	best PF02815 protein in Conoidasida (33 bits, 231 aa, unnamed); the clade S20 swept 24 proteomes of for 0 ITPR; control is weak — not named a mannosyltransferase; 231 aa — a short MIR-only protein, not the full PMT (< 600); PF02815 found in only 4% of the clade's swept proteomes	assigned unassigned by the screen (itpr 20 / ryr 0 bits)
A0A9W7Y6C8|PMT2_2|Coemansia_erecta|Kickxellomycetes|MIR	A0A9W7Y6C8	Kickxellomycetes		MIR	Kickxellomycetes	Kickxellomycetes	MIR	2218			PMT2_2	dolichyl-phosphate-mannose--protein mannosyltransferase		0					PF02815 over the archived fungi proteome DB	best PF02815 protein in Kickxellomycetes (248 bits, 2218 aa, named a mannosyltransferase); the clade S20 swept 23 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade	assigned unassigned by the screen (itpr 9 / ryr 0 bits)
A0AAV1I2H9|CVIRNUC_004794|Coccomyxa_viridis|Trebouxiophyceae|MIR	A0AAV1I2H9	Trebouxiophyceae		MIR	Trebouxiophyceae	Trebouxiophyceae	MIR	208			CVIRNUC_004794	MIR domain-containing protein		0					PF02815 over the archived viridiplantae proteome DB	best PF02815 protein in Trebouxiophyceae (66 bits, 208 aa, unnamed); the clade S20 swept 19 proteomes of for 0 ITPR; control is weak — not named a mannosyltransferase; 208 aa — a short MIR-only protein, not the full PMT (< 600)	assigned unassigned by the screen (itpr 29 / ryr 0 bits)
A0A9P5VM63|BG006_005680|Podila_minutissima|Mortierellomycetes|MIR	A0A9P5VM63	Mortierellomycetes		MIR	Mortierellomycetes	Mortierellomycetes	MIR	910			BG006_005680	Dolichyl-phosphate-mannose--protein mannosyltransferase		0					PF02815 over the archived fungi proteome DB	best PF02815 protein in Mortierellomycetes (137 bits, 910 aa, named a mannosyltransferase); the clade S20 swept 18 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade	assigned no_hit by the screen (itpr 0 / ryr 0 bits)
A0A4U7KRL0|EX895_003660|Sporisorium_graminicola|Ustilaginomycetes|MIR	A0A4U7KRL0	Ustilaginomycetes		MIR	Ustilaginomycetes	Ustilaginomycetes	MIR	959			EX895_003660	Dolichyl-phosphate-mannose--protein mannosyltransferase		0					PF02815 over the archived fungi proteome DB	best PF02815 protein in Ustilaginomycetes (143 bits, 959 aa, named a mannosyltransferase); the clade S20 swept 16 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade	assigned no_hit by the screen (itpr 0 / ryr 0 bits)
M5EA22|MSYG_2930|Malassezia_sympodialis|Malasseziomycetes|MIR	M5EA22	Malasseziomycetes		MIR	Malasseziomycetes	Malasseziomycetes	MIR	889			MSYG_2930	Dolichyl-phosphate-mannose--protein mannosyltransferase		0					PF02815 over the archived fungi proteome DB	best PF02815 protein in Malasseziomycetes (113 bits, 889 aa, named a mannosyltransferase); the clade S20 swept 16 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade	assigned no_hit by the screen (itpr 0 / ryr 0 bits)
A0A177UKF7|JKIAZH3_G5040|Tilletia_caries|Exobasidiomycetes|MIR	A0A177UKF7	Exobasidiomycetes		MIR	Exobasidiomycetes	Exobasidiomycetes	MIR	981			JKIAZH3_G5040	Dolichyl-phosphate-mannose--protein mannosyltransferase		0					PF02815 over the archived fungi proteome DB	best PF02815 protein in Exobasidiomycetes (133 bits, 981 aa, named a mannosyltransferase); the clade S20 swept 15 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade	assigned no_hit by the screen (itpr 0 / ryr 0 bits)
A0AAV0APX6|PPACK8108_LOCUS5708|Phakopsora_pachyrhizi|Pucciniomycetes|MIR	A0AAV0APX6	Pucciniomycetes		MIR	Pucciniomycetes	Pucciniomycetes	MIR	820			PPACK8108_LOCUS5708	Dolichyl-phosphate-mannose--protein mannosyltransferase		0					PF02815 over the archived fungi proteome DB	best PF02815 protein in Pucciniomycetes (120 bits, 820 aa, named a mannosyltransferase); the clade S20 swept 14 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade	assigned no_hit by the screen (itpr 0 / ryr 0 bits)
A0A0D6EMK1|SPOSA6832_02852|Sporidiobolus_salmonicolor|Microbotryomycetes|MIR	A0A0D6EMK1	Microbotryomycetes		MIR	Microbotryomycetes	Microbotryomycetes	MIR	959			SPOSA6832_02852	Dolichyl-phosphate-mannose--protein mannosyltransferase		0					PF02815 over the archived fungi proteome DB	best PF02815 protein in Microbotryomycetes (132 bits, 959 aa, named a mannosyltransferase); the clade S20 swept 13 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade	assigned no_hit by the screen (itpr 0 / ryr 0 bits)
A0ACE1STM5|PMT1|Xanthoria_parietina|Lecanoromycetes|MIR	A0ACE1STM5	Lecanoromycetes		MIR	Lecanoromycetes	Lecanoromycetes	MIR	922			PMT1	Dolichyl-phosphate-mannose--protein mannosyltransferase 1		0					PF02815 over the archived fungi proteome DB	best PF02815 protein in Lecanoromycetes (160 bits, 922 aa, named a mannosyltransferase); the clade S20 swept 13 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade	assigned no_hit by the screen (itpr 0 / ryr 0 bits)
A0A3N4LBK7|L211DRAFT_792467|Terfezia_boudieri_ATCC_MYA-4762|Pezizomycetes|MIR	A0A3N4LBK7	Pezizomycetes		MIR	Pezizomycetes	Pezizomycetes	MIR	897			L211DRAFT_792467	Dolichyl-phosphate-mannose--protein mannosyltransferase		0					PF02815 over the archived fungi proteome DB	best PF02815 protein in Pezizomycetes (159 bits, 897 aa, named a mannosyltransferase); the clade S20 swept 12 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade	assigned no_hit by the screen (itpr 0 / ryr 0 bits)
A0AAN8RJ86|TWF506_002945|Arthrobotrys_conoides|Orbiliomycetes|MIR	A0AAN8RJ86	Orbiliomycetes		MIR	Orbiliomycetes	Orbiliomycetes	MIR	1019			TWF506_002945	dolichyl-phosphate-mannose--protein mannosyltransferase		0					PF02815 over the archived fungi proteome DB	best PF02815 protein in Orbiliomycetes (145 bits, 1019 aa, named a mannosyltransferase); the clade S20 swept 12 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 92% of the clade	assigned no_hit by the screen (itpr 0 / ryr 0 bits)
A0ABR1F347|BZA70DRAFT_281849|Myxozyma_melibiosi|Lipomycetes|MIR	A0ABR1F347	Lipomycetes		MIR	Lipomycetes	Lipomycetes	MIR	767			BZA70DRAFT_281849	Dolichyl-phosphate-mannose--protein mannosyltransferase		0					PF02815 over the archived fungi proteome DB	best PF02815 protein in Lipomycetes (170 bits, 767 aa, named a mannosyltransferase); the clade S20 swept 10 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 100% of the clade	assigned no_hit by the screen (itpr 0 / ryr 0 bits)
A0A0F9WRL3|AAJ76_1800036836|Vairimorpha_ceranae|Microsporidia|MIR	A0A0F9WRL3	Microsporidia		MIR	Microsporidia	Microsporidia	MIR	657			AAJ76_1800036836	Dolichyl-phosphate-mannose--protein mannosyltransferase		0					PF02815 over the archived fungi proteome DB	best PF02815 protein in Microsporidia (74 bits, 657 aa, named a mannosyltransferase); the clade S20 swept 29 proteomes of for 0 ITPR; control is strong — a named mannosyltransferase of full length, present across 83% of the clade	assigned no_hit by the screen (itpr 0 / ryr 0 bits)
A0ABD3PUM4|HJC23_000896|Cyclotella_cryptica|Bacillariophyta|MIR	A0ABD3PUM4	Bacillariophyta		MIR	Bacillariophyta	Bacillariophyta	MIR	217			HJC23_000896	MIR domain-containing protein		0					PF02815 over the archived protista_other proteome DB	best PF02815 protein in Bacillariophyta (60 bits, 217 aa, unnamed); the clade S20 swept 16 proteomes of for 0 ITPR; control is weak — not named a mannosyltransferase; 217 aa — a short MIR-only protein, not the full PMT (< 600)	assigned unassigned by the screen (itpr 13 / ryr 0 bits)
A0A2V3J3L8|BWQ96_01756|Gracilariopsis_chorda|Rhodophyta|MIR	A0A2V3J3L8	Rhodophyta		MIR	Rhodophyta	Rhodophyta	MIR	219			BWQ96_01756	Stromal cell-derived factor 2-like protein		0					PF02815 over the archived protista_other proteome DB	best PF02815 protein in Rhodophyta (67 bits, 219 aa, unnamed); the clade S20 swept 12 proteomes of for 0 ITPR; control is weak — not named a mannosyltransferase; 219 aa — a short MIR-only protein, not the full PMT (< 600)	assigned unassigned by the screen (itpr 12 / ryr 0 bits)
