accession	organism	vclass	class	status	contig	start	coverage	identity	family_margin	paralog_margin	assigned_via	bait	annot_gene	annot_paralog	annot_agrees
GCA_013399395.1	Nyctiprogne leucopyga	Aves	RYR	assembly_gap	VZZU01005516.1	727	0.2343	0.9461	1.0	1.0	primary	A0A3Q0HBW9|RYR|Alligator_sinensis			0
GCA_013399395.1	Nyctiprogne leucopyga	Aves	RYR	assembly_gap	VZZU01005425.1	3	0.2081	0.9749	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_013399395.1	Nyctiprogne leucopyga	Aves	RYR	assembly_gap	VZZU01006842.1	84	0.2277	0.6696	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_013399395.1	Nyctiprogne leucopyga	Aves	RYR	assembly_gap	VZZU01004937.1	11629	0.1224	0.9753	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_013399455.1	Anthoscopus minutus	Aves	ITPR1	found_unannotated	VWYI01047507.1	143620	1.0	0.9824	1.0	0.3163	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1			0
GCA_013399455.1	Anthoscopus minutus	Aves	ITPR2	assembly_gap	VWYI01032194.1	1677	0.5941	0.9707	1.0	1.0	primary	F1P1X4|ITPR2|Gallus_gallus|ITPR2			0
GCA_013399455.1	Anthoscopus minutus	Aves	ITPR3	assembly_gap	VWYI01048517.1	78475	0.5045	0.9941	1.0	1.0	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus			0
GCA_013399455.1	Anthoscopus minutus	Aves	ITPR3	assembly_gap	VWYI01021686.1	24039	0.4963	0.9962	1.0	1.0	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus			0
GCA_013399455.1	Anthoscopus minutus	Aves	RYR	assembly_gap	VWYI01043680.1	1686	0.5712	0.6704	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	Ryr3_3	RYR3	1
GCA_013399455.1	Anthoscopus minutus	Aves	RYR	assembly_gap	VWYI01026173.1	264	0.2286	0.71	1.0	1.0	primary	A0A3Q0HBW9|RYR|Alligator_sinensis			0
GCA_013399495.1	Corythaixoides concolor	Aves	ITPR1	found_unannotated	VXAM01000844.1	396822	0.9712	0.9915	1.0	0.3299	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1			0
GCA_013399495.1	Corythaixoides concolor	Aves	ITPR2	found_unannotated	VXAM01000304.1	434291	0.9885	0.9742	1.0	0.3196	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013399495.1	Corythaixoides concolor	Aves	ITPR3	found_annotated	VXAM01000033.1	368612	1.0	0.988	1.0	0.3901	primary	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	CORCON_R02939		0
GCA_013399495.1	Corythaixoides concolor	Aves	RYR	found_annotated	VXAM01000550.1	288494	1.0	0.9757	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	CORCON_R03947		0
GCA_013399565.1	Podilymbus podiceps	Aves	ITPR1	found_unannotated	VXAO01000176.1	1065495	1.0	0.9903	1.0	0.3217	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1			0
GCA_013399565.1	Podilymbus podiceps	Aves	ITPR2	assembly_gap	VXAO01001455.1	85959	0.6622	0.9832	1.0	1.0	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013399565.1	Podilymbus podiceps	Aves	ITPR3	found_annotated	VXAO01000163.1	435533	1.0	0.9906	1.0	0.3452	primary	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	Itpr3	ITPR3	1
GCA_013399565.1	Podilymbus podiceps	Aves	RYR	found_annotated	VXAO01000097.1	961397	1.0	0.9827	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2	RYR2	1
GCA_013399565.1	Podilymbus podiceps	Aves	RYR	found_annotated	VXAO01000161.1	281873	1.0	0.6745	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_013399735.1	Tyrannus savana	Aves	ITPR1	found_unannotated	VXAW01003770.1	651721	1.0	0.986	1.0	0.3218	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1			0
GCA_013399735.1	Tyrannus savana	Aves	ITPR2	assembly_gap	VXAW01003906.1	106432	0.5733	0.9793	1.0	1.0	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013399735.1	Tyrannus savana	Aves	ITPR3	found_annotated	VXAW01010101.1	229002	1.0	0.9764	1.0	0.3426	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	TYRSAV_R08019		0
GCA_013399735.1	Tyrannus savana	Aves	RYR	found_unannotated	VXAW01002520.1	14	0.7391	0.9739	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_013399735.1	Tyrannus savana	Aves	RYR	found_unannotated	VXAW01003324.1	332648	1.0	0.6757	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_013399775.1	Semnornis frantzii	Aves	ITPR3	found_annotated	VWYK01019522.1	14349	1.0	0.9727	1.0	0.3351	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	SEMFRA_R10292		0
GCA_013399775.1	Semnornis frantzii	Aves	RYR	assembly_gap	VWYK01049941.1	19	0.3406	0.6439	1.0	1.0	primary	H3BGR5|RYR|Latimeria_chalumnae			0
GCA_013399775.1	Semnornis frantzii	Aves	RYR	assembly_gap	VWYK01114935.1	7544	0.256	0.7235	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_013399775.1	Semnornis frantzii	Aves	RYR	assembly_gap	VWYK01121561.1	2301	0.1068	0.7237	1.0	1.0	primary	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal			0
GCA_013399775.1	Semnornis frantzii	Aves	RYR	assembly_gap	VWYK01041092.1	198	0.1132	0.6883	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_013399795.1	Zosterops hypoxanthus	Aves	ITPR1	assembly_gap	VWYL01013425.1	753	0.6956	0.9829	1.0	1.0	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1			0
GCA_013399795.1	Zosterops hypoxanthus	Aves	ITPR1	assembly_gap	VWYL01029682.1	143906	0.2508	0.9871	1.0	1.0	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1			0
GCA_013399795.1	Zosterops hypoxanthus	Aves	ITPR2	found_unannotated	VWYL01018137.1	130450	1.0	0.98	1.0	0.2939	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013399795.1	Zosterops hypoxanthus	Aves	ITPR3	found_annotated	VWYL01030448.1	54891	0.9809	0.9909	1.0	0.3739	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	ZOSHYP_R11060		0
GCA_013399795.1	Zosterops hypoxanthus	Aves	RYR	found_unannotated	VWYL01030747.1	1951	0.7558	0.9766	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_013399795.1	Zosterops hypoxanthus	Aves	RYR	found_unannotated	VWYL01031540.1	1636	0.7362	0.6697	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_013399795.1	Zosterops hypoxanthus	Aves	RYR	found_unannotated	VWYL01017432.1	219987	0.6031	0.6664	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_013399855.1	Oxyruncus cristatus	Aves	ITPR1	found_unannotated	VXAY01004762.1	2375397	1.0	0.9881	1.0	0.3344	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1			0
GCA_013399855.1	Oxyruncus cristatus	Aves	ITPR2	found_unannotated	VXAY01004465.1	75393	1.0	0.9826	1.0	0.3098	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013399855.1	Oxyruncus cristatus	Aves	ITPR3	found_annotated	VXAY01006930.1	717935	1.0	0.9854	1.0	0.396	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	OXYCRI_R01550		0
GCA_013399855.1	Oxyruncus cristatus	Aves	RYR	found_unannotated	VXAY01002711.1	6765	0.8893	0.9774	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_013399855.1	Oxyruncus cristatus	Aves	RYR	found_unannotated	VXAY01001352.1	293252	1.0	0.6751	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_013399895.1	Serilophus lunatus	Aves	ITPR1	found_unannotated	VXBA01004282.1	417809	1.0	0.9819	1.0	0.333	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1			0
GCA_013399895.1	Serilophus lunatus	Aves	ITPR2	found_unannotated	VXBA01005702.1	411321	1.0	0.9815	1.0	0.3074	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013399895.1	Serilophus lunatus	Aves	ITPR3	found_annotated	VXBA01002447.1	184804	1.0	0.9873	1.0	0.3959	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	Itpr3	ITPR3	1
GCA_013399895.1	Serilophus lunatus	Aves	RYR	found_annotated	VXBA01001840.1	56628	1.0	0.9767	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2	RYR2	1
GCA_013399895.1	Serilophus lunatus	Aves	RYR	found_annotated	VXBA01005560.1	402796	1.0	0.6742	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_013400075.1	Hippolais icterina	Aves	ITPR1	assembly_gap	VWYN01021473.1	2592	0.5185	0.9806	1.0	1.0	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1			0
GCA_013400075.1	Hippolais icterina	Aves	ITPR2	found_unannotated	VWYN01013987.1	375873	0.9885	0.9801	1.0	0.3008	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013400075.1	Hippolais icterina	Aves	ITPR3	found_annotated	VWYN01026794.1	9189	1.0	0.9944	1.0	0.3704	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	Itpr3	ITPR3	1
GCA_013400075.1	Hippolais icterina	Aves	RYR	found_unannotated	VWYN01024224.1	215696	0.93	0.9768	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_013400075.1	Hippolais icterina	Aves	RYR	found_unannotated	VWYN01009831.1	147031	0.6897	0.6748	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_013400195.1	Aramus guarauna	Aves	ITPR1	found_annotated	VXBL01002157.1	1575190	1.0	0.9917	1.0	0.3329	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	ARAGUA_R09074		0
GCA_013400195.1	Aramus guarauna	Aves	ITPR2	found_unannotated	VXBL01000728.1	232459	1.0	0.9856	1.0	0.3124	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013400195.1	Aramus guarauna	Aves	ITPR3	found_annotated	VXBL01003098.1	326541	1.0	0.9891	1.0	0.3898	primary	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	Itpr3	ITPR3	1
GCA_013400195.1	Aramus guarauna	Aves	RYR	found_annotated	VXBL01009547.1	55736	0.9974	0.9833	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2	RYR2	1
GCA_013400195.1	Aramus guarauna	Aves	RYR	found_annotated	VXBL01009441.1	447354	1.0	0.6736	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_013400215.1	Cisticola juncidis	Aves	ITPR1	found_unannotated	VXBR01003613.1	1069633	1.0	0.9683	1.0	0.3266	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1			0
GCA_013400215.1	Cisticola juncidis	Aves	ITPR2	found_unannotated	VXBR01000324.1	451987	0.9885	0.9798	1.0	0.3169	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013400215.1	Cisticola juncidis	Aves	ITPR3	found_annotated	VXBR01010904.1	32883	0.9895	0.9853	1.0	0.3931	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	Itpr3	ITPR3	1
GCA_013400215.1	Cisticola juncidis	Aves	RYR	found_annotated	VXBR01009377.1	36364	0.9974	0.9756	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	Ryr2	RYR2	1
GCA_013400215.1	Cisticola juncidis	Aves	RYR	found_annotated	VXBR01005532.1	2477378	1.0	0.6763	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_013400415.1	Scytalopus superciliaris	Aves	ITPR1	found_annotated	VXBX01005888.1	25951	0.9705	0.9867	1.0	0.3249	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	SCYSUP_R07630		0
GCA_013400415.1	Scytalopus superciliaris	Aves	ITPR2	found_unannotated	VXBX01000030.1	39	0.9137	0.9765	1.0	0.3722	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013400415.1	Scytalopus superciliaris	Aves	ITPR3	found_annotated	VXBX01001803.1	124156	1.0	0.9854	1.0	0.3477	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	Itpr3	ITPR3	1
GCA_013400415.1	Scytalopus superciliaris	Aves	RYR	found_unannotated	VXBX01009827.1	154	0.8831	0.9703	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_013400415.1	Scytalopus superciliaris	Aves	RYR	found_unannotated	VXBX01004616.1	1983150	1.0	0.6811	1.0	1.0	primary	Q92736|RYR2|Homo_sapiens|RYR2			0
GCA_013400445.1	Leiothrix lutea	Aves	ITPR2	found_unannotated	VXBY01000177.1	219864	1.0	0.9819	1.0	0.2995	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013400445.1	Leiothrix lutea	Aves	ITPR3	found_annotated	VXBY01000669.1	42710	1.0	0.9914	1.0	0.3636	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	Itpr3	ITPR3	1
GCA_013400445.1	Leiothrix lutea	Aves	RYR	found_unannotated	VXBY01000496.1	123605	0.7107	0.9774	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_013400445.1	Leiothrix lutea	Aves	RYR	found_unannotated	VXBY01003370.1	3917	0.5405	0.6541	1.0	1.0	primary	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal			0
GCA_013400445.1	Leiothrix lutea	Aves	RYR	found_unannotated	VXBY01001508.1	798	0.3073	0.6901	1.0	1.0	primary	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal			0
GCA_013400445.1	Leiothrix lutea	Aves	RYR	found_unannotated	VXBY01000171.1	731473	0.2805	0.6707	1.0	1.0	primary	H3BGR5|RYR|Latimeria_chalumnae			0
GCA_013400515.1	Erpornis zantholeuca	Aves	ITPR1	found_annotated	VZTN01006051.1	6019	1.0	0.9842	1.0	0.3267	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	ERPZAN_R11818		0
GCA_013400515.1	Erpornis zantholeuca	Aves	ITPR2	found_unannotated	VZTN01005749.1	81967	0.9885	0.9805	1.0	0.3109	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013400515.1	Erpornis zantholeuca	Aves	ITPR3	found_annotated	VZTN01001861.1	496957	1.0	0.9954	1.0	0.3967	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	Itpr3	ITPR3	1
GCA_013400515.1	Erpornis zantholeuca	Aves	RYR	assembly_gap	VZTN01021505.1	391	0.3158	0.8941	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_013400515.1	Erpornis zantholeuca	Aves	RYR	assembly_gap	VZTN01020667.1	3134	0.2856	0.6913	1.0	1.0	primary	H3BGR5|RYR|Latimeria_chalumnae			0
GCA_013400515.1	Erpornis zantholeuca	Aves	RYR	assembly_gap	VZTN01007637.1	596	0.2355	0.644	1.0	1.0	primary	H3BGR5|RYR|Latimeria_chalumnae			0
GCA_013400515.1	Erpornis zantholeuca	Aves	RYR	assembly_gap	VZTN01004341.1	877	0.133	0.9578	1.0	1.0	primary	A0A3Q0HBW9|RYR|Alligator_sinensis			0
GCA_013400515.1	Erpornis zantholeuca	Aves	RYR	assembly_gap	VZTN01004512.1	6359	0.1252	0.9198	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_013400585.1	Chloropsis cyanopogon	Aves	ITPR1	found_unannotated	WEZZ01015506.1	399273	1.0	0.9845	1.0	0.3282	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1			0
GCA_013400585.1	Chloropsis cyanopogon	Aves	ITPR2	found_unannotated	WEZZ01021076.1	268745	0.9885	0.979	1.0	0.3121	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013400585.1	Chloropsis cyanopogon	Aves	ITPR3	found_annotated	WEZZ01019221.1	51647	1.0	0.9899	1.0	0.3978	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	CHLCYA_R08772		0
GCA_013400585.1	Chloropsis cyanopogon	Aves	RYR	assembly_gap	WEZZ01037339.1	1846	0.186	0.6839	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_013400585.1	Chloropsis cyanopogon	Aves	RYR	assembly_gap	WEZZ01034000.1	1103	0.1448	0.7386	1.0	1.0	primary	A0A3Q0HBW9|RYR|Alligator_sinensis			0
GCA_013400585.1	Chloropsis cyanopogon	Aves	RYR	assembly_gap	WEZZ01001230.1	146	0.2215	0.546	1.0	1.0	primary	H3BGR5|RYR|Latimeria_chalumnae			0
GCA_013400585.1	Chloropsis cyanopogon	Aves	RYR	assembly_gap	WEZZ01009356.1	60	0.1017	0.9723	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_013400585.1	Chloropsis cyanopogon	Aves	RYR	assembly_gap	WEZZ01003677.1	324	0.1318	0.6079	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR3	found_annotated	VYZP01027902.1	2862	1.0	0.9973	1.0	0.3472	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	Itpr3	ITPR3	1
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	RYR	assembly_gap	VYZP01073347.1	429	0.1935	0.5834	1.0	1.0	primary	H3BGR5|RYR|Latimeria_chalumnae			0
GCA_013400655.1	Mystacornis crossleyi	Aves	ITPR2	found_annotated	VYZQ01028303.1	5218	0.7374	0.9238	1.0	0.3329	primary	A0A672UP22|ITPR2|Strigops_habroptila	MYSCRO_R00249		0
GCA_013400655.1	Mystacornis crossleyi	Aves	ITPR2	found_annotated	VYZQ01003708.1	258	0.2007	0.7883	1.0	0.0895	primary	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera			0
GCA_013400655.1	Mystacornis crossleyi	Aves	RYR	assembly_gap	VYZQ01013846.1	365	0.1181	0.6264	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_013400655.1	Mystacornis crossleyi	Aves	RYR	assembly_gap	VYZQ01059422.1	292	0.1606	0.4739	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_013400675.1	Oxylabes madagascariensis	Aves	ITPR2	assembly_gap	VYZR01059318.1	576	0.3204	0.6387	1.0	0.294	primary	F1P1X4|ITPR2|Gallus_gallus|ITPR2			0
GCA_013400675.1	Oxylabes madagascariensis	Aves	ITPR2	assembly_gap	VYZR01120155.1	11203	0.1344	0.9725	1.0	0.2647	primary	A0A672UP22|ITPR2|Strigops_habroptila	Itpr2	ITPR2	1
GCA_013400675.1	Oxylabes madagascariensis	Aves	ITPR2	assembly_gap	VYZR01028793.1	1171	0.1267	0.7996	1.0	1.0	primary	F1P1X4|ITPR2|Gallus_gallus|ITPR2			0
GCA_013400675.1	Oxylabes madagascariensis	Aves	ITPR3	assembly_gap	VYZR01384315.1	48	0.1734	0.9914	1.0	0.4212	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus			0
GCA_013400675.1	Oxylabes madagascariensis	Aves	ITPR3	assembly_gap	VYZR01385930.1	3	0.1479	1.0	1.0	0.3635	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	Itpr3_1	ITPR3	1
GCA_013400675.1	Oxylabes madagascariensis	Aves	ITPR3	assembly_gap	VYZR01373897.1	3	0.1067	0.9895	1.0	0.3657	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus			0
GCA_013400675.1	Oxylabes madagascariensis	Aves	RYR	assembly_gap	VYZR01046489.1	6585	0.2806	0.5216	1.0	1.0	primary	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal			0
GCA_013400675.1	Oxylabes madagascariensis	Aves	RYR	assembly_gap	VYZR01019161.1	263	0.1111	0.7589	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_013400675.1	Oxylabes madagascariensis	Aves	RYR	assembly_gap	VYZR01021997.1	1834	0.1109	0.6243	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_013400675.1	Oxylabes madagascariensis	Aves	RYR	assembly_gap	VYZR01032298.1	3	0.101	0.5184	1.0	1.0	primary	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal			0
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR2	fragment	VYZS01089185.1	12126	0.187	0.9743	1.0	0.2715	primary	A0A672UP22|ITPR2|Strigops_habroptila	Itpr2	ITPR2	1
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR2	fragment	VYZS01106126.1	1228	0.17	0.963	1.0	0.3186	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR3	assembly_gap	VYZS01345020.1	186	0.1345	0.9805	1.0	1.0	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus			0
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR3	assembly_gap	VYZS01345552.1	30	0.1351	0.9722	1.0	0.4769	primary	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3			0
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR3	assembly_gap	VYZS01347926.1	27	0.1182	0.981	1.0	0.2494	primary	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3			0
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR3	assembly_gap	VYZS01335199.1	110	0.1013	0.9333	1.0	0.2549	primary	A0A6J0TV85|ITPR3|Pogona_vitticeps			0
GCA_013400695.1	Neodrepanis coruscans	Aves	RYR	assembly_gap	VYZS01026334.1	165	0.2589	0.5349	1.0	1.0	primary	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal			0
GCA_013400695.1	Neodrepanis coruscans	Aves	RYR	assembly_gap	VYZS01020745.1	596	0.1152	0.6506	1.0	1.0	primary	H3BGR5|RYR|Latimeria_chalumnae			0
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR2	assembly_gap	VYZT01016493.1	3485	0.5607	0.9808	1.0	0.3058	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR3	found_annotated	VYZT01008480.1	5930	1.0	0.9668	1.0	0.3547	primary	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	Itpr3	ITPR3	1
GCA_013400735.1	Pomatostomus ruficeps	Aves	RYR	assembly_gap	VYZT01023010.1	472	0.2017	0.984	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_013400735.1	Pomatostomus ruficeps	Aves	RYR	assembly_gap	VYZT01017135.1	5530	0.1915	0.9508	1.0	1.0	primary	A0A3Q0HBW9|RYR|Alligator_sinensis			0
GCA_013400735.1	Pomatostomus ruficeps	Aves	RYR	assembly_gap	VYZT01044222.1	1038	0.1109	0.7549	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_013400735.1	Pomatostomus ruficeps	Aves	RYR	assembly_gap	VYZT01004917.1	390	0.1616	0.5483	1.0	1.0	primary	H3BGR5|RYR|Latimeria_chalumnae			0
GCA_013400815.1	Centropus bengalensis	Aves	ITPR1	assembly_gap	WBNK01000178.1	3	0.5002	0.9906	1.0	1.0	primary	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1			0
GCA_013400815.1	Centropus bengalensis	Aves	ITPR2	found_unannotated	WBNK01000445.1	319066	1.0	0.9848	1.0	0.3016	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013400815.1	Centropus bengalensis	Aves	ITPR3	found_annotated	WBNK01000718.1	263841	0.9655	0.9833	1.0	0.3687	primary	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	CENBEN_R07917		0
GCA_013400815.1	Centropus bengalensis	Aves	RYR	found_annotated	WBNK01000420.1	54288	1.0	0.974	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	CENBEN_R03704		0
GCA_013400815.1	Centropus bengalensis	Aves	RYR	found_annotated	WBNK01000174.1	122183	1.0	0.6681	1.0	1.0	primary	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1			0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR2	assembly_gap	VZTT01023994.1	4807	0.5981	0.8931	1.0	0.3063	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR2	assembly_gap	VZTT01070297.1	2862	0.2278	0.9724	1.0	0.2692	primary	A0A672UP22|ITPR2|Strigops_habroptila			0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	RYR	assembly_gap	VZTT01031201.1	622	0.1558	0.8965	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	RYR	assembly_gap	VZTT01043608.1	1260	0.1232	0.7974	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_013400895.1	Thalassarche chlororhynchos	Aves	ITPR1	found_annotated	VZTW01023184.1	708	0.7629	0.9914	1.0	0.3479	primary	A0ABM4F3U0|ITPR1|Apteryx_mantelli	THACHL_R04200		0
GCA_013400895.1	Thalassarche chlororhynchos	Aves	ITPR3	found_annotated	VZTW01014806.1	156093	1.0	0.9906	1.0	0.3473	primary	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	Itpr3	ITPR3	1
GCA_013400895.1	Thalassarche chlororhynchos	Aves	RYR	assembly_gap	VZTW01007999.1	3321	0.1457	0.9641	1.0	1.0	primary	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2			0
GCA_013400895.1	Thalassarche chlororhynchos	Aves	RYR	assembly_gap	VZTW01007723.1	6395	0.1045	0.6307	1.0	1.0	primary	H3BGR5|RYR|Latimeria_chalumnae			0
