accession	organism	vclass	cell	cell_status	region_kind	contig	start	end	n_hsps	aligned_aa	best_evalue	best_pident	assigned_clade	attribution_rel_margin	family_call	family_rel_margin	clade_bits	overlapping_genes	annot_paralog	annot_agrees
GCA_013396975.1	Bucco capensis	Aves	ITPR2	tblastn_trace	rescue_regions	VWZO01012035.1	2168	47777	45	2446	1.79e-43	91.304	ITPR2	0.345	ITPR	1.0	ITPR2=1671.3;vertebrate_basal=1101.5;ITPR1=1095.3;ITPR3=987.3			0
GCA_013396975.1	Bucco capensis	Aves	ITPR2	tblastn_trace	rescue_regions	VWZO01019138.1	5528	59624	41	2351	2.16e-40	95.349	ITPR2	0.24	ITPR	0.919	ITPR2=1580.6;ITPR1=1201.5;vertebrate_basal=1171.7;ITPR3=1097.1;RYR=128.6	BUCCAP_R15389		0
GCA_013396975.1	Bucco capensis	Aves	ITPR2	tblastn_trace	rescue_regions	VWZO01012035.1	88309	90914	5	307	6.14e-25	87.5	ITPR2	0.592	ITPR	1.0	ITPR2=181.0;vertebrate_basal=77.0;ITPR1=73.9;ITPR3=73.9			0
GCA_013396975.1	Bucco capensis	Aves	ITPR2	tblastn_trace	rescue_regions	VWZO01036333.1	16	168	3	152	2.79e-24	98.039	ITPR2	0.364	ITPR	1.0	ITPR2=109.0;ITPR3=69.3;vertebrate_basal=68.6;ITPR1=60.5			0
GCA_013396975.1	Bucco capensis	Aves	ITPR2	tblastn_trace	rescue_regions	VWZO01014393.1	111096	112487	6	274	1.16e-22	94.828	ITPR2	0.309	ITPR	1.0	ITPR2=181.3;vertebrate_basal=125.6;ITPR1=125.2;ITPR3=94.7	Itpr2_1	ITPR2	1
GCA_013396975.1	Bucco capensis	Aves	ITPR2	tblastn_trace	ambiguous_regions	VWZO01012999.1	45621	64515	22	944	2.67e-25	98.214	ITPR2	0.129	ITPR	1.0	ITPR2=652.1;vertebrate_basal=577.5;ITPR1=568.2;ITPR3=567.5			0
GCA_013396975.1	Bucco capensis	Aves	ITPR2	tblastn_trace	ambiguous_regions	VWZO01012999.1	93141	93230	3	90	4.72e-08	100.0	ITPR2	0.053	ITPR	1.0	ITPR2=63.9;ITPR1=60.5;vertebrate_basal=60.5;ITPR3=55.8			0
GCA_013396975.1	Bucco capensis	Aves	ITPR2	tblastn_trace	attributed_elsewhere	VWZO01035808.1	258	371	3	114	3.07e-13	86.842	ITPR3	0.178	ITPR	0.607	ITPR3=93.2;ITPR2=76.6;vertebrate_basal=71.6;ITPR1=70.9;RYR=36.6			0
GCA_013397295.1	Polioptila caerulea	Aves	ITPR1	tblastn_trace	rescue_regions	VYXF01005323.1	187	19535	45	2503	4.61e-51	89.655	ITPR1	0.308	ITPR	1.0	ITPR1=1695.8;vertebrate_basal=1569.9;ITPR2=1173.5;ITPR3=1013.0			0
GCA_013397295.1	Polioptila caerulea	Aves	ITPR1	tblastn_trace	rescue_regions	VYXF01003297.1	38	73688	61	3324	3.96e-38	88.372	ITPR1	0.369	ITPR	0.959	ITPR1=2235.4;vertebrate_basal=1994.2;ITPR2=1411.3;ITPR3=1339.2;RYR=92.5	Itpr1_1;Itpr1_0	ITPR1	1
GCA_013397295.1	Polioptila caerulea	Aves	ITPR1	tblastn_trace	rescue_regions	VYXF01003602.1	439191	456438	45	2478	6.22e-36	100.0	ITPR1	0.247	ITPR	1.0	ITPR1=1495.8;vertebrate_basal=1350.6;ITPR2=1126.0;ITPR3=1082.0			0
GCA_013397295.1	Polioptila caerulea	Aves	ITPR1	tblastn_trace	ambiguous_regions	VYXF01003602.1	407561	411362	4	131	1.83e-13	92.5	ITPR1	0.196	ITPR	1.0	ITPR1=139.0;vertebrate_basal=118.2;ITPR2=111.7;ITPR3=109.0			0
GCA_013397495.1	Mionectes macconnelli	Aves	ITPR3	tblastn_trace	rescue_regions	VYZC01002337.1	1	4948	27	1955	9.58e-66	95.556	ITPR3	0.404	ITPR	1.0	ITPR3=1156.8;ITPR2=689.2;ITPR1=652.1;vertebrate_basal=642.0			0
GCA_013397495.1	Mionectes macconnelli	Aves	ITPR3	tblastn_trace	rescue_regions	VYZC01000433.1	7	9706	49	2993	2.33e-55	95.161	ITPR3	0.412	ITPR	0.908	ITPR3=1769.0;vertebrate_basal=1066.5;ITPR1=1040.2;ITPR2=1033.9;RYR=162.1	Itpr3	ITPR3	1
GCA_013397495.1	Mionectes macconnelli	Aves	ITPR3	tblastn_trace	rescue_regions	VYZC01003853.1	293	1071	6	636	4.03e-40	62.406	ITPR3	0.281	ITPR	1.0	ITPR3=312.0;ITPR2=224.4;vertebrate_basal=223.0;ITPR1=222.0			0
GCA_013397495.1	Mionectes macconnelli	Aves	ITPR3	tblastn_trace	ambiguous_regions	VYZC01000502.1	10	17639	39	1761	2.73e-58	100.0	ITPR3	0.21	ITPR	1.0	ITPR3=1325.9;ITPR2=1047.7;vertebrate_basal=1007.0;ITPR1=994.6			0
GCA_013397495.1	Mionectes macconnelli	Aves	ITPR3	tblastn_trace	ambiguous_regions	VYZC01003519.1	160	1197	9	420	1.38e-31	100.0	ITPR3	0.118	ITPR	0.872	ITPR3=288.7;ITPR1=254.5;ITPR2=232.3;vertebrate_basal=225.4;RYR=37.0			0
GCA_013397495.1	Mionectes macconnelli	Aves	ITPR3	tblastn_trace	attributed_elsewhere	VYZC01000389.1	33	65409	42	2374	1.21e-24	89.189	ITPR1	0.351	ITPR	0.958	ITPR1=2220.2;vertebrate_basal=1987.3;ITPR2=1440.3;ITPR3=1347.8;RYR=93.9	Itpr1_0	ITPR1	1
GCA_013398795.1	Elachura formosa	Aves	ITPR3	tblastn_trace	rescue_regions	WBNG01000943.1	225902	253060	60	3690	8.55e-79	80.663	ITPR3	0.277	ITPR	1.0	ITPR3=2330.6;ITPR2=1685.7;ITPR1=1595.8;vertebrate_basal=1592.6	Itpr3_0	ITPR3	1
GCA_013398795.1	Elachura formosa	Aves	ITPR3	tblastn_trace	rescue_regions	WBNG01001225.1	3	12136	67	4084	1.17e-58	77.181	ITPR3	0.372	ITPR	0.949	ITPR3=2402.0;ITPR1=1509.0;vertebrate_basal=1495.4;ITPR2=1461.7;RYR=122.5	Itpr3_1	ITPR3	1
GCA_013400445.1	Leiothrix lutea	Aves	ITPR1	tblastn_trace	rescue_regions	VXBY01004248.1	28529	46263	42	2275	7.1e-52	89.655	ITPR1	0.317	ITPR	1.0	ITPR1=1583.1;vertebrate_basal=1466.1;ITPR2=1080.6;ITPR3=981.7			0
GCA_013400445.1	Leiothrix lutea	Aves	ITPR1	tblastn_trace	rescue_regions	VXBY01004970.1	1841	19799	36	1961	3.55e-36	73.585	ITPR1	0.268	ITPR	1.0	ITPR1=1271.0;vertebrate_basal=1137.0;ITPR2=930.5;ITPR3=887.5			0
GCA_013400445.1	Leiothrix lutea	Aves	ITPR1	tblastn_trace	rescue_regions	VXBY01005896.1	3797	18160	24	1112	2.01e-32	87.013	ITPR1	0.348	ITPR	1.0	ITPR1=731.4;vertebrate_basal=610.1;ITPR2=477.1;ITPR3=435.6			0
GCA_013400445.1	Leiothrix lutea	Aves	ITPR1	tblastn_trace	rescue_regions	VXBY01002460.1	1880	21563	13	701	7.26e-26	96.429	ITPR1	0.247	ITPR	0.812	ITPR1=488.0;vertebrate_basal=476.4;ITPR2=367.5;ITPR3=328.7;RYR=91.7	Itpr1_1;Itpr1_0	ITPR1	1
GCA_013400445.1	Leiothrix lutea	Aves	ITPR1	tblastn_trace	rescue_regions	VXBY01004248.1	6927	8207	5	221	1.39e-21	100.0	ITPR1	0.667	ITPR	1.0	ITPR1=221.6;vertebrate_basal=171.4;ITPR2=73.9;ITPR3=72.0			0
GCA_013400445.1	Leiothrix lutea	Aves	ITPR1	tblastn_trace	ambiguous_regions	VXBY01002961.1	22041	25825	5	159	1.54e-13	92.5	ITPR1	0.203	ITPR	1.0	ITPR1=140.6;vertebrate_basal=119.0;ITPR2=112.1;ITPR3=109.0			0
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR1	tblastn_trace	rescue_regions	VYZP01025208.1	962	7441	19	1173	1.1e-52	98.276	ITPR1	0.37	ITPR	1.0	ITPR1=881.5;vertebrate_basal=758.1;ITPR2=555.0;ITPR3=503.2	Itpr1_0	ITPR1	1
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR1	tblastn_trace	rescue_regions	VYZP01032376.1	13201	38399	23	1199	2.32e-43	97.701	ITPR1	0.368	ITPR	1.0	ITPR1=903.0;vertebrate_basal=833.9;ITPR2=570.4;ITPR3=511.8			0
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR1	tblastn_trace	rescue_regions	VYZP01213858.1	2102	3128	6	436	2.49e-38	91.765	ITPR1	0.393	ITPR	0.878	ITPR1=288.0;vertebrate_basal=241.0;ITPR2=174.8;ITPR3=129.0;RYR=35.0			0
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR1	tblastn_trace	rescue_regions	VYZP01214461.1	354	6346	9	654	5.49e-33	66.981	ITPR1	0.394	ITPR	1.0	ITPR1=373.0;vertebrate_basal=354.0;ITPR2=226.1;ITPR3=218.7			0
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR1	tblastn_trace	rescue_regions	VYZP01209974.1	321	518	3	198	1.14e-30	96.97	ITPR1	0.502	ITPR	1.0	ITPR1=133.0;vertebrate_basal=103.0;ITPR2=66.2;ITPR3=58.9			0
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR1	tblastn_trace	rescue_regions	VYZP01044495.1	12279	34307	20	1072	4.51e-26	91.667	ITPR1	0.282	ITPR	0.873	ITPR1=756.8;vertebrate_basal=710.7;ITPR2=543.5;ITPR3=505.8;RYR=95.9	Itpr1_1;Itpr1_2	ITPR1	1
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR1	tblastn_trace	ambiguous_regions	VYZP01201744.1	432	647	3	214	1.71e-36	95.89	ITPR1	0.154	ITPR	1.0	ITPR1=143.0;vertebrate_basal=139.0;ITPR2=121.0;ITPR3=119.0			0
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR1	tblastn_trace	ambiguous_regions	VYZP01031320.1	177	16134	42	2229	1.11e-34	96.226	ITPR1	0.199	ITPR	1.0	ITPR1=1321.1;vertebrate_basal=1250.2;ITPR2=1058.4;ITPR3=1023.0			0
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR1	tblastn_trace	ambiguous_regions	VYZP01092110.1	328	531	3	204	1.32e-27	100.0	ITPR1	0.032	ITPR	0.716	ITPR1=126.0;vertebrate_basal=125.0;ITPR2=122.0;ITPR3=116.0;RYR=35.8			0
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR1	tblastn_trace	attributed_elsewhere	VYZP01061144.1	70	39417	44	2453	3.41e-38	83.146	ITPR2	0.227	ITPR	1.0	ITPR2=1736.1;ITPR1=1342.0;ITPR3=1332.5;vertebrate_basal=1328.6	Itpr2_1	ITPR2	1
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR1	tblastn_trace	attributed_elsewhere	VYZP01030576.1	22850	47041	24	1378	1.36e-35	77.528	ITPR2	0.299	ITPR	1.0	ITPR2=1173.2;vertebrate_basal=831.7;ITPR1=822.2;ITPR3=729.2			0
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR1	tblastn_trace	attributed_elsewhere	VYZP01027987.1	16014	55969	25	1600	8.99e-24	64.368	ITPR2	0.284	ITPR	0.89	ITPR2=1159.0;vertebrate_basal=836.4;ITPR1=830.0;ITPR3=790.8;RYR=127.1	Itpr2_0	ITPR2	1
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR2	tblastn_trace	rescue_regions	VYZP01061144.1	70	39417	48	2696	8.41e-51	98.413	ITPR2	0.227	ITPR	1.0	ITPR2=1736.1;ITPR1=1342.0;ITPR3=1332.5;vertebrate_basal=1328.6	Itpr2_1	ITPR2	1
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR2	tblastn_trace	rescue_regions	VYZP01030576.1	21173	48474	33	1763	5.33e-44	93.258	ITPR2	0.299	ITPR	1.0	ITPR2=1173.2;vertebrate_basal=831.7;ITPR1=822.2;ITPR3=729.2			0
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR2	tblastn_trace	rescue_regions	VYZP01027987.1	14394	57282	34	1930	1.97e-29	95.385	ITPR2	0.284	ITPR	0.89	ITPR2=1159.0;vertebrate_basal=836.4;ITPR1=830.0;ITPR3=790.8;RYR=127.1	Itpr2_0	ITPR2	1
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR2	tblastn_trace	rescue_regions	VYZP01099364.1	22	195	3	177	3.97e-28	96.61	ITPR2	0.402	ITPR	1.0	ITPR2=112.0;vertebrate_basal=67.4;ITPR1=67.0;ITPR3=62.8			0
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR2	tblastn_trace	rescue_regions	VYZP01041613.1	34	156	1	41	6.49e-19	97.561	ITPR2	0.458	ITPR	1.0	ITPR2=92.4;ITPR1=50.1;ITPR3=45.1;vertebrate_basal=38.5			0
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR2	tblastn_trace	attributed_elsewhere	VYZP01025208.1	962	7378	15	910	4.45e-37	84.706	ITPR1	0.37	ITPR	1.0	ITPR1=881.5;vertebrate_basal=758.1;ITPR2=555.0;ITPR3=503.2	Itpr1_0	ITPR1	1
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR2	tblastn_trace	attributed_elsewhere	VYZP01032376.1	13201	38399	16	915	9.84e-36	85.057	ITPR1	0.368	ITPR	1.0	ITPR1=903.0;vertebrate_basal=833.9;ITPR2=570.4;ITPR3=511.8			0
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR2	tblastn_trace	attributed_elsewhere	VYZP01201744.1	444	647	3	204	6.54e-29	76.471	ITPR1	0.154	ITPR	1.0	ITPR1=143.0;vertebrate_basal=139.0;ITPR2=121.0;ITPR3=119.0			0
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR2	tblastn_trace	attributed_elsewhere	VYZP01031320.1	153	16134	37	1987	7.34e-28	86.792	ITPR1	0.199	ITPR	1.0	ITPR1=1321.1;vertebrate_basal=1250.2;ITPR2=1058.4;ITPR3=1023.0			0
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR2	tblastn_trace	attributed_elsewhere	VYZP01214461.1	6035	6292	3	258	6.67e-27	63.953	ITPR1	0.256	ITPR	1.0	ITPR1=246.0;vertebrate_basal=234.2;ITPR2=183.0;ITPR3=173.8			0
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR2	tblastn_trace	attributed_elsewhere	VYZP01092110.1	328	531	3	204	3.39e-26	97.059	ITPR1	0.032	ITPR	0.716	ITPR1=126.0;vertebrate_basal=125.0;ITPR2=122.0;ITPR3=116.0;RYR=35.8			0
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	ITPR2	tblastn_trace	attributed_elsewhere	VYZP01044495.1	16689	34307	18	1032	4.19e-22	83.051	ITPR1	0.282	ITPR	0.873	ITPR1=756.8;vertebrate_basal=710.7;ITPR2=543.5;ITPR3=505.8;RYR=95.9	Itpr1_1;Itpr1_2	ITPR1	1
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR1	tblastn_trace	rescue_regions	VYZS01345502.1	1058	1496	6	321	2.01e-52	91.379	ITPR1	0.476	ITPR	1.0	ITPR1=310.1;vertebrate_basal=286.1;ITPR2=162.5;ITPR3=155.2			0
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR1	tblastn_trace	rescue_regions	VYZS01346806.1	1299	2329	6	464	6.24e-39	86.957	ITPR1	0.399	ITPR	0.882	ITPR1=293.0;vertebrate_basal=246.0;ITPR2=176.0;ITPR3=133.2;RYR=34.7			0
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR1	tblastn_trace	rescue_regions	VYZS01307618.1	483	677	3	195	2.99e-32	96.923	ITPR1	0.444	ITPR	1.0	ITPR1=133.0;vertebrate_basal=104.0;ITPR2=73.9;ITPR3=54.3			0
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR1	tblastn_trace	rescue_regions	VYZS01225639.1	11	196	3	186	3.31e-32	100.0	ITPR1	0.361	ITPR	1.0	ITPR1=126.0;vertebrate_basal=123.0;ITPR2=80.5;ITPR3=49.3			0
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR1	tblastn_trace	rescue_regions	VYZS01236670.1	112	282	3	171	8.96e-30	98.246	ITPR1	0.404	ITPR	0.666	ITPR1=119.0;vertebrate_basal=119.0;ITPR2=70.9;ITPR3=68.9;RYR=39.7			0
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR1	tblastn_trace	rescue_regions	VYZS01297329.1	402	563	3	162	9.93e-30	100.0	ITPR1	0.221	ITPR	1.0	ITPR1=125.0;vertebrate_basal=125.0;ITPR2=97.4;ITPR3=92.4			0
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR1	tblastn_trace	ambiguous_regions	VYZS01272491.1	240	515	3	276	4.68e-52	92.391	ITPR1	0.112	ITPR	1.0	ITPR1=187.0;vertebrate_basal=174.0;ITPR2=166.0;ITPR3=151.0			0
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR1	tblastn_trace	ambiguous_regions	VYZS01098498.1	85	1021	6	400	1.42e-48	96.629	vertebrate_basal	0.123	ITPR	1.0	vertebrate_basal=284.6;ITPR1=279.8;ITPR2=245.4;ITPR3=218.3			0
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR1	tblastn_trace	ambiguous_regions	VYZS01313572.1	424	645	3	220	2.11e-37	94.667	ITPR1	0.148	ITPR	1.0	ITPR1=187.5;vertebrate_basal=182.5;ITPR2=159.7;ITPR3=157.7			0
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR1	tblastn_trace	ambiguous_regions	VYZS01307943.1	367	597	3	227	4.03e-35	89.041	ITPR1	0.141	ITPR	1.0	ITPR1=142.0;vertebrate_basal=140.0;ITPR2=122.0;ITPR3=107.0			0
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR1	tblastn_trace	attributed_elsewhere	VYZS01312860.1	71	835	3	765	8.39e-64	49.412	ITPR3	0.357	ITPR	0.909	ITPR3=361.0;ITPR2=232.0;ITPR1=230.8;vertebrate_basal=219.0;RYR=32.7	Itpr3_0	ITPR3	1
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR1	tblastn_trace	attributed_elsewhere	VYZS01066261.1	2526	4276	6	413	1.5e-35	76.596	ITPR2	0.128	ITPR	1.0	ITPR2=278.8;vertebrate_basal=247.4;ITPR1=243.0;ITPR3=220.4			0
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR1	tblastn_trace	rescue_regions	VYZT01011340.1	743	36465	50	2968	6.25e-56	76.224	ITPR1	0.395	ITPR	1.0	ITPR1=2127.2;vertebrate_basal=1943.8;ITPR2=1286.8;ITPR3=1139.8			0
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR1	tblastn_trace	rescue_regions	VYZT01002692.1	14876	48854	49	2767	6.17e-33	85.333	ITPR1	0.329	ITPR	0.949	ITPR1=1855.7;vertebrate_basal=1674.8;ITPR2=1245.2;ITPR3=1189.1;RYR=94.4	Itpr1_0;Itpr1_1	ITPR1	1
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR1	tblastn_trace	rescue_regions	VYZT01123329.1	38	235	3	198	4.54e-31	95.455	ITPR1	0.467	ITPR	1.0	ITPR1=130.0;vertebrate_basal=98.6;ITPR2=69.3;ITPR3=61.6			0
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR1	tblastn_trace	rescue_regions	VYZT01028894.1	3271	21368	48	2336	2.86e-28	95.455	ITPR1	0.259	ITPR	1.0	ITPR1=1603.4;vertebrate_basal=1457.8;ITPR2=1188.7;ITPR3=1147.7			0
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR1	tblastn_trace	ambiguous_regions	VYZT01032716.1	105	359	3	255	4.55e-49	97.647	ITPR1	0.112	ITPR	1.0	ITPR1=179.0;vertebrate_basal=170.0;ITPR2=159.0;ITPR3=147.0			0
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR1	tblastn_trace	ambiguous_regions	VYZT01031244.1	217569	221604	4	146	2.43e-14	70.0	ITPR1	0.218	ITPR	1.0	ITPR1=142.9;vertebrate_basal=118.6;ITPR2=111.7;ITPR3=108.6			0
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR1	tblastn_trace	attributed_elsewhere	VYZT01122154.1	49	631	6	588	2.08e-32	50.345	ITPR3	0.161	ITPR	1.0	ITPR3=249.8;ITPR2=209.5;vertebrate_basal=202.2;ITPR1=200.2			0
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR1	tblastn_trace	attributed_elsewhere	VYZT01051456.1	2899	12117	18	1216	8.81e-28	82.353	ITPR2	0.308	ITPR	0.954	ITPR2=808.5;ITPR1=559.6;vertebrate_basal=531.7;ITPR3=478.0;RYR=37.0			0
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR1	tblastn_trace	attributed_elsewhere	VYZT01051456.1	33594	53581	22	1418	1.65e-23	75.758	ITPR2	0.237	ITPR	0.871	ITPR2=979.0;vertebrate_basal=753.4;ITPR1=747.0;ITPR3=706.7;RYR=126.3			0
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR1	tblastn_trace	attributed_elsewhere	VYZT01051456.1	74180	74347	3	168	1.39e-15	73.214	ITPR2	0.316	ITPR	1.0	ITPR2=180.3;vertebrate_basal=124.4;ITPR1=123.3;ITPR3=93.2	Itpr2_1	ITPR2	1
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR1	tblastn_trace	attributed_elsewhere	VYZT01042054.1	900	1091	3	192	2.7e-14	62.5	ITPR2	0.404	ITPR	1.0	ITPR2=142.0;vertebrate_basal=87.8;ITPR1=84.7;ITPR3=59.7			0
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR1	tblastn_trace	attributed_elsewhere	VYZT01001058.1	421	567	3	153	4.75e-10	62.745	ITPR2	0.333	ITPR	1.0	ITPR2=180.7;vertebrate_basal=122.5;ITPR1=120.6;ITPR3=120.6			0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR1	tblastn_trace	rescue_regions	VZTT01081957.1	145	1353	9	472	1.03e-51	98.276	ITPR1	0.422	ITPR	1.0	ITPR1=368.8;vertebrate_basal=304.6;ITPR2=213.0;ITPR3=196.1			0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR1	tblastn_trace	rescue_regions	VZTT01202422.1	250	474	3	222	7.67e-35	87.838	ITPR1	0.452	ITPR	1.0	ITPR1=137.0;vertebrate_basal=107.0;ITPR2=75.1;ITPR3=34.7			0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR1	tblastn_trace	rescue_regions	VZTT01180523.1	59	259	3	201	6.19e-32	92.537	ITPR1	0.621	ITPR	1.0	ITPR1=125.0;vertebrate_basal=119.0;ITPR2=47.4;ITPR3=46.6			0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR1	tblastn_trace	rescue_regions	VZTT01253030.1	110	304	3	195	3.53e-30	96.923	ITPR1	0.437	ITPR	1.0	ITPR1=132.0;vertebrate_basal=104.0;ITPR2=74.3;ITPR3=54.3			0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR1	tblastn_trace	ambiguous_regions	VZTT01058446.1	2017	2271	3	255	1.1e-43	97.647	ITPR1	0.095	ITPR	1.0	ITPR1=179.0;vertebrate_basal=169.0;ITPR2=162.0;ITPR3=149.0			0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR1	tblastn_trace	ambiguous_regions	VZTT01230350.1	328	603	3	276	1.8e-36	72.826	ITPR1	0.132	ITPR	1.0	ITPR1=144.0;vertebrate_basal=140.0;ITPR2=125.0;ITPR3=112.0			0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR1	tblastn_trace	ambiguous_regions	VZTT01229881.1	289	504	3	214	4.76e-36	95.89	ITPR1	0.154	ITPR	1.0	ITPR1=143.0;vertebrate_basal=139.0;ITPR2=121.0;ITPR3=119.0			0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR1	tblastn_trace	ambiguous_regions	VZTT01171623.1	134	319	3	186	2.14e-35	98.387	ITPR1	0.044	ITPR	1.0	ITPR1=135.0;ITPR2=129.0;vertebrate_basal=128.0;ITPR3=115.0			0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR1	tblastn_trace	ambiguous_regions	VZTT01186048.1	30	197	3	168	1.19e-29	96.429	ITPR1	0.101	ITPR	0.576	ITPR1=119.0;vertebrate_basal=119.0;ITPR2=107.0;ITPR3=102.0;RYR=50.4			0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR1	tblastn_trace	attributed_elsewhere	VZTT01251878.1	458	1407	9	831	1.74e-56	67.273	ITPR3	0.171	ITPR	0.925	ITPR3=423.0;ITPR2=350.8;ITPR1=339.6;vertebrate_basal=337.7;RYR=31.6			0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR1	tblastn_trace	attributed_elsewhere	VZTT01200179.1	176	439	3	264	3.39e-42	81.818	ITPR2	0.138	ITPR	1.0	ITPR2=181.0;vertebrate_basal=157.0;ITPR1=156.0;ITPR3=134.0			0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR1	tblastn_trace	attributed_elsewhere	VZTT01238387.1	668	999	6	249	1.33e-31	82.353	ITPR3	0.093	ITPR	1.0	ITPR3=191.1;ITPR2=173.3;vertebrate_basal=168.4;ITPR1=163.2			0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR3	tblastn_trace	rescue_regions	VZTT01253856.1	24	1591	9	899	2.63e-61	63.542	ITPR3	0.518	ITPR	0.924	ITPR3=449.0;ITPR1=216.4;vertebrate_basal=208.7;ITPR2=206.5;RYR=33.9			0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR3	tblastn_trace	rescue_regions	VZTT01242802.1	31	484	6	344	3.62e-48	100.0	ITPR3	0.397	ITPR	1.0	ITPR3=218.0;vertebrate_basal=131.8;ITPR1=131.4;ITPR2=118.6			0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR3	tblastn_trace	rescue_regions	VZTT01236841.1	144	907	6	612	1.01e-41	61.94	ITPR3	0.277	ITPR	1.0	ITPR3=310.0;ITPR2=224.0;vertebrate_basal=223.0;ITPR1=220.0			0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR3	tblastn_trace	rescue_regions	VZTT01229663.1	23	786	9	409	4.23e-39	91.837	ITPR3	0.317	ITPR	1.0	ITPR3=287.3;ITPR2=196.1;vertebrate_basal=185.3;ITPR1=183.0			0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR3	tblastn_trace	rescue_regions	VZTT01191845.1	3	352	6	286	2.13e-38	85.294	ITPR3	0.453	ITPR	1.0	ITPR3=185.8;ITPR2=101.7;ITPR1=95.1;vertebrate_basal=94.0			0
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR3	tblastn_trace	rescue_regions	VZTT01232944.1	25	701	6	311	7.49e-35	100.0	ITPR3	0.355	ITPR	1.0	ITPR3=227.4;ITPR2=146.6;ITPR1=142.8;vertebrate_basal=142.3			0
