accession	verdict	rule	evidence	kingdom	phylum	lineage_class	species	taxon_id	gene	protein_name	length	source	call_by	itpr_score	ryr_score	rel_margin	itpr_positions	fragment	protein_existence	reviewed	pfams	n_embl	n_proteomes	out_kingdom_best	out_kingdom_pident	out_kingdom_qcov	out_kingdom_group	within_best	within_pident	within_group
A0AAE0F1H0	fragment	R5	1134 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_42485	MIR domain-containing protein	1134	census_v3	profile	294.2	25.1	0.9147	990		Predicted	0	PF08709;PF02815;PF01365;	1	1	A0A8S3ZVV4	24.1	0.381	Metazoa (non-vertebrate)	A0AAE0F2K9	99.9	Viridiplantae
A0AAE0F1L8	fragment	R5	373 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_42487	MIR domain-containing protein	373	census_v3+s20_sweep:viridiplantae	profile	114.6	0.0	1.0	255		Predicted	0	PF08709;	1	1	A0A6A7G5P7	25.6	0.721	Metazoa (non-vertebrate)	A0AAE0F2K9	94.5	Viridiplantae
A0AAE0F2K9	fragment	R5	1135 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_42485	MIR domain-containing protein	1135	census_v3+s20_sweep:viridiplantae	profile	298.2	23.4	0.9215	990		Predicted	0	PF08709;PF02815;PF01365;	1	1	A0A8S3ZVV4	24.1	0.381	Metazoa (non-vertebrate)	A0AAE0F1H0	99.9	Viridiplantae
A0AAE0FLF0	fragment	R5	UniProt flags it a fragment; 577 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_29261	Ion transport domain-containing protein (Fragment)	577	s20_sweep:viridiplantae	profile	220.0	78.2	0.6445	456	fragment	Predicted	0		1	1	A0A3B4CJG4	25.6	0.593	Vertebrata	A0AAE0ENM3	40.4	Viridiplantae
A0AAE0FNQ2	fragment	R5	712 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_27966	Ion transport domain-containing protein	712	s20_sweep:viridiplantae	profile	200.0	124.6	0.377	644		Predicted	0		1	1	A0A8H7BU48	28.5	0.4	Fungi	A0AAE0LE05	73.1	Viridiplantae
A0AAE0FNT5	fragment	R5	UniProt flags it a fragment; 2366 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_28105	RyR/IP3R Homology associated domain-containing protein	2366	census_v3+s20_sweep:viridiplantae	profile	629.3	95.4	0.8484	1898	fragment	Predicted	0	PF08454;PF01365;	1	1	A0AAN7YWK4	20.6	0.235	Amoebozoa	A0AAE0BBD3	33.4	Viridiplantae
A0AAE0FVC1	fragment	R5	1557 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_24711	RIH domain-containing protein	1557	census_v3+s20_sweep:viridiplantae	profile	450.7	31.8	0.9294	1173		Predicted	0	PF01365;	1	1	A0A6I8U9W2	20.9	0.583	Metazoa (non-vertebrate)	A0AAE0FW44	98.9	Viridiplantae
A0AAE0FW44	fragment	R5	1540 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_24711	RIH domain-containing protein	1540	census_v3	profile	453.1	31.9	0.9296	1173		Predicted	0	PF01365;	1	1	A0A6I8U9W2	20.9	0.59	Metazoa (non-vertebrate)	A0AAE0FVC1	98.9	Viridiplantae
A0AAE0FXK1	fragment	R5	1474 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_23645	Uncharacterized protein	1474	census_v3	profile	419.9	52.1	0.8759	1229		Predicted	0	PF08709;PF01365;	1	1	L8GF85	22.1	0.488	Amoebozoa	A0AAE0FXX3	98.5	Viridiplantae
A0AAE0FXX3	fragment	R5	1496 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_23645	Uncharacterized protein	1496	census_v3+s20_sweep:viridiplantae	profile	414.6	52.1	0.8743	1229		Predicted	0	PF08709;PF01365;	1	1	L8GF85	22.1	0.481	Amoebozoa	A0AAE0FXK1	98.5	Viridiplantae
A0AAE0FY27	fragment	R5	1452 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_23645	Uncharacterized protein	1452	census_v3	profile	428.5	62.5	0.8541	1229		Predicted	0	PF08709;PF01365;	1	1	A0A8B7N5U0	21.5	0.8	Metazoa (non-vertebrate)	A0AAE0FXK1	98.5	Viridiplantae
A0AAE0G204	real_gene	R6	2900 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 39.9 % (A0AAD7UD70, SAR); nearest within-kingdom 48.7 %	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_21539	MIR domain-containing protein	2900	census_v3+s20_sweep:viridiplantae	both	932.1	252.6	0.729	2158		Predicted	0	PF08709;PF00520;PF02815;PF08454;PF01365;	1	1	A0AAD7UD70	39.9	0.321	SAR	A0AAE0GMP6	48.7	Viridiplantae
A0AAE0G3M7	fragment	R5	486 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_20639	Inositol 1,4,5-trisphosphate/ryanodine receptor domain-containing protein	486	census_v3+s20_sweep:viridiplantae	profile	155.8	0.0	1.0	333		Predicted	0	PF08709;	1	1	A0AA88L6A2	29.0	0.741	Metazoa (non-vertebrate)			
A0AAE0G465	real_gene	R6	2922 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 22.4 % (A0ABS2YQ63, Vertebrata); nearest within-kingdom 40.3 %	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_20382	MIR domain-containing protein	2922	census_v3+s20_sweep:viridiplantae	both	813.6	130.2	0.84	2373		Predicted	0	PF08709;PF02815;PF08454;PF01365;	1	1	A0ABS2YQ63	22.4	0.515	Vertebrata	A0AAE0EZ22	40.3	Viridiplantae
A0AAE0G5L1	fragment	R5	UniProt flags it a fragment; 952 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_19905	Uncharacterized protein (Fragment)	952	s20_sweep:viridiplantae	profile	174.9	0.0	1.0	754	fragment	Predicted	0		1	1	A0A9P0TPV2	23.9	0.449	Metazoa (non-vertebrate)	A0AAE0LAS1	54.8	Viridiplantae
A0AAE0GMP6	real_gene	R6	2998 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 38.5 % (A0AAD7UD70, SAR); nearest within-kingdom 48.6 %	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_11329	MIR domain-containing protein	2998	census_v3+s20_sweep:viridiplantae	both	852.1	225.7	0.7351	2187		Predicted	0	PF08709;PF00520;PF08454;PF01365;	1	1	A0AAD7UD70	38.5	0.315	SAR	A0AAE0G204	48.6	Viridiplantae
A0AAE0GNN5	fragment	R5	1877 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_10968	MIR domain-containing protein	1877	census_v3+s20_sweep:viridiplantae	profile	654.9	102.0	0.8443	1471		Predicted	0	PF08709;PF02815;PF01365;	1	1	A0ABM4F3U0	22.3	0.803	Vertebrata	A0AAE0EZ22	30.6	Viridiplantae
A0AAE0GPV6	real_gene	R6	3355 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 24.3 % (A0AAD7UD70, SAR); nearest within-kingdom 99.4 %	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_10314	MIR domain-containing protein	3355	census_v3	both	1948.7	163.5	0.9161	2617		Predicted	0	PF08709;PF02815;PF08454;PF01365;	1	1	A0AAD7UD70	24.3	0.162	SAR	A0AAE0LDZ1	99.4	Viridiplantae
A0AAE0GQ97	fragment	R5	UniProt flags it a fragment; 1732 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_9858	Uncharacterized protein	1732	census_v3+s20_sweep:viridiplantae	profile	354.0	102.3	0.711	1063	fragment	Predicted	0	PF08454;PF01365;	1	1	A0A4P9Y2S6	26.6	0.177	Fungi	A0AAE0FNQ2	31.6	Viridiplantae
A0AAE0GX54	fragment	R5	UniProt flags it a fragment; 985 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_6566	Ion transport domain-containing protein	985	census_v3+s20_sweep:viridiplantae	profile	332.5	137.3	0.5871	719	fragment	Predicted	0	PF00520;PF08454;	1	1	L8GF85	23.2	0.826	Amoebozoa	A0A830HJY1	39.0	Viridiplantae
A0AAE0GY33	fragment	R5	UniProt flags it a fragment; 749 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_6213	Ion transport domain-containing protein (Fragment)	749	s20_sweep:viridiplantae	profile	249.6	82.9	0.6679	432	fragment	Predicted	0		1	1	A0A0D2UGF9	27.8	0.351	Eukaryota (other)	A0AAE0GPV6	39.0	Viridiplantae
A0AAE0GZ30	real_gene	R6	2462 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 21.5 % (A0A913ZRM3, Metazoa (non-vertebrate)); nearest within-kingdom 99.9 %	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_5549	MIR domain-containing protein	2462	census_v3+s20_sweep:viridiplantae	both	835.2	114.8	0.8625	1806		Predicted	0	PF08709;PF02815;PF08454;PF01365;	1	1	A0A913ZRM3	21.5	0.642	Metazoa (non-vertebrate)	A0AAE0EZ22	99.9	Viridiplantae
A0AAE0H2B7	fragment	R5	1932 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_3820	MIR domain-containing protein	1932	census_v3	profile	451.6	114.7	0.746	934		Predicted	0	PF08709;PF01365;	1	1	L8GF85	22.8	0.41	Amoebozoa	A0AAE0H2G5	98.5	Viridiplantae
A0AAE0H2E6	fragment	R5	1951 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_3820	MIR domain-containing protein	1951	census_v3	profile	440.4	116.7	0.735	918		Predicted	0	PF08709;PF01365;	1	1	Q9Y0A1	22.4	0.361	Metazoa (non-vertebrate)	A0AAE0H2G5	100.0	Viridiplantae
A0AAE0H2G5	fragment	R5	1961 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_3820	MIR domain-containing protein	1961	census_v3+s20_sweep:viridiplantae	profile	450.8	114.2	0.7467	934		Predicted	0	PF08709;PF01365;	1	1	L8GF85	22.8	0.404	Amoebozoa	A0AAE0H2E6	100.0	Viridiplantae
A0AAE0H2Q1	fragment	R5	1017 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_3821	RIH domain-containing protein	1017	census_v3+s20_sweep:viridiplantae	profile	284.7	31.5	0.8894	558		Predicted	0	PF01365;	1	1	R7TPX0	26.4	0.42	Metazoa (non-vertebrate)	A0A830HJY1	29.2	Viridiplantae
A0AAE0KPG3	fragment	R5	UniProt flags it a fragment; 1395 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_34940	RyR/IP3R Homology associated domain-containing protein	1395	census_v3+s20_sweep:viridiplantae	profile	422.7	84.1	0.801	891	fragment	Predicted	0	PF08454;	1	1	A0A4P9Y2S6	22.0	0.361	Fungi	A0AAE0LDZ1	43.0	Viridiplantae
A0AAE0KPX7	fragment	R5	UniProt flags it a fragment; 888 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_34467	RyR/IP3R Homology associated domain-containing protein	888	census_v3+s20_sweep:viridiplantae	profile	304.7	75.2	0.7532	719	fragment	Predicted	0	PF08454;	1	1	A0ABR4NID5	24.4	0.896	Fungi	A0AAE0CFQ3	98.0	Viridiplantae
A0AAE0L826	fragment	R5	1821 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_16298	Uncharacterized protein	1821	census_v3+s20_sweep:viridiplantae	profile	356.6	69.1	0.8062	1337		Predicted	0	PF08709;PF00520;PF01365;	1	1	A0AAD7UD70	27.1	0.94	SAR	A0AAE0G204	35.4	Viridiplantae
A0AAE0LAS1	fragment	R5	UniProt flags it a fragment; 1308 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_13868	RyR/IP3R Homology associated domain-containing protein	1308	census_v3+s20_sweep:viridiplantae	profile	262.4	143.0	0.455	896	fragment	Predicted	0	PF08454;	1	1	L8GF85	25.5	0.239	Amoebozoa	A0AAE0LE05	99.6	Viridiplantae
A0AAE0LDZ1	real_gene	R6	3375 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 24.3 % (A0AAD7UD70, SAR); nearest within-kingdom 99.4 %	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_10314	MIR domain-containing protein	3375	census_v3+s20_sweep:viridiplantae	both	1943.2	153.5	0.921	2617		Predicted	0	PF08709;PF08454;PF01365;	1	1	A0AAD7UD70	24.3	0.161	SAR	A0AAE0GPV6	99.4	Viridiplantae
A0AAE0LE05	fragment	R5	517 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_10589	Ion transport domain-containing protein	517	s20_sweep:viridiplantae	profile	178.6	126.7	0.2906	435		Predicted	0		1	1	A0A8H7BU48	26.7	0.553	Fungi	A0AAE0LAS1	99.6	Viridiplantae
A0AAE0LG05	fragment	R5	UniProt flags it a fragment; 873 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_8503	RyR/IP3R Homology associated domain-containing protein	873	census_v3+s20_sweep:viridiplantae	profile	115.0	36.6	0.6817	242	fragment	Predicted	0	PF08454;	1	1	A0ACC2TPX2	29.8	0.119	Fungi	A0AAE0G465	37.0	Viridiplantae
A0AAE0LLW0	fragment	R5	551 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Cymbomonas tetramitiformis	36881	CYMTET_3114	Ion transport domain-containing protein	551	s20_sweep:viridiplantae	profile	315.4	164.6	0.4781	464		Predicted	0	PF00520;	1	1	A0AAD7UD70	45.8	0.588	SAR	A0AAE0G204	56.1	Viridiplantae
A0AAN7D8C4	real_gene	R6	2613 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 24.9 % (L8GF85, Amoebozoa); nearest within-kingdom 90.9 %	Fungi	Mucoromycota	other_early_diverging	Mucor velutinosus	708070	ATC70_007105	Uncharacterized protein	2613	census_v3+s20_sweep:fungi	both	1245.2	390.4	0.6865	2614		Predicted	0	PF08709;PF00520;PF02815;PF08454;	1	1	L8GF85	24.9	0.652	Amoebozoa	A0A168KKP7	90.9	Fungi
A0ABQ5SNM9	real_gene	R6	3236 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 22.5 % (A0A1V4J217, Vertebrata); nearest within-kingdom 91.7 %	Viridiplantae	Chlorophyta	green_alga	Volvox africanus	51714	VaNZ11_016878	Uncharacterized protein	3236	census_v3+s20_sweep:viridiplantae	both	696.6	155.2	0.7772	2314		Predicted	0	PF08709;PF00520;PF08454;PF01365;	1	1	A0A1V4J217	22.5	0.281	Vertebrata	A0A8J4BL52	91.7	Viridiplantae
A0ABR2W6A1	real_gene	R6	2502 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 24.6 % (A0A8S4Q492, Metazoa (non-vertebrate)); nearest within-kingdom 86.7 %	Fungi	Basidiobolomycota	other_early_diverging	Basidiobolus ranarum	34480	K7432_003395	Uncharacterized protein	2502	census_v3+s20_sweep:fungi	both	2077.4	418.2	0.7987	2601		Inferred from homology	0	PF08709;PF00520;PF02815;PF08454;PF01365;	1	1	A0A8S4Q492	24.6	0.997	Metazoa (non-vertebrate)	A0A1Y1XHY3	86.7	Fungi
A0ABR2WSE9	fragment	R5	1356 aa against the 2000 aa family floor	Fungi	Basidiobolomycota	other_early_diverging	Basidiobolus ranarum	34480	K7432_008041	Uncharacterized protein	1356	census_v3+s20_sweep:fungi	profile	1068.4	332.8	0.6885	1337		Predicted	0	PF00520;PF08454;	1	1	L8GF85	26.3	0.972	Amoebozoa	A0ABR2W6A1	84.9	Fungi
A0ABR2WSM3	fragment	R5	UniProt flags it a fragment; 1054 aa against the 2000 aa family floor	Fungi	Basidiobolomycota	other_early_diverging	Basidiobolus ranarum	34480	K7432_007884	MIR domain-containing protein	1054	census_v3+s20_sweep:fungi	profile	752.6	93.5	0.8758	1076	fragment	Predicted	0	PF08709;PF02815;PF01365;	1	1	A0ACM8C709	24.2	0.963	Metazoa (non-vertebrate)	A0ABR2W6A1	84.2	Fungi
A0ABR3B852	real_gene	R6	2551 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 23.5 % (A0AAN9C066, Metazoa (non-vertebrate)); nearest within-kingdom 100.0 %	Fungi	Mucoromycota	other_early_diverging	Phycomyces blakesleeanus	4837	J3Q64DRAFT_1846802	IP3 receptor	2551	census_v3+s20_sweep:fungi	both	1280.0	369.6	0.7112	2504		Predicted	0	PF08709;PF00520;PF02815;PF08454;	1	1	A0AAN9C066	23.5	0.941	Metazoa (non-vertebrate)	A0A162V9Q6	100.0	Fungi
A0ABR4NG49	real_gene	R6	3104 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 23.6 % (A0AAD9KQF7, Metazoa (non-vertebrate)); nearest within-kingdom 28.9 %	Fungi	Chytridiomycota	other_early_diverging	Polyrhizophydium stewartii	2732419	HK105_201920	Uncharacterized protein	3104	census_v3+s20_sweep:fungi	both	1281.9	342.1	0.7331	2595		Predicted	0	PF08709;PF00520;PF08454;PF01365;	1	1	A0AAD9KQF7	23.6	0.793	Metazoa (non-vertebrate)	A0AAD7UQL8	28.9	Fungi
A0ABR4NID5	real_gene	R6	4446 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 30.5 % (L8GF85, Amoebozoa); nearest within-kingdom 37.8 %	Fungi	Chytridiomycota	other_early_diverging	Polyrhizophydium stewartii	2732419	HK105_200862	Protein kinase domain-containing protein	4446	census_v3+s20_sweep:fungi	both	1298.5	399.6	0.6923	2593		Predicted	0	PF08709;PF00520;PF00560;PF12799;PF02815;PF07714;PF08454;PF01365;	1	1	L8GF85	30.5	0.167	Amoebozoa	A0AAD5U9K5	37.8	Fungi
A0ACC2TPX2	real_gene	R6	2567 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 23.5 % (A0A433UB23, Metazoa (non-vertebrate)); nearest within-kingdom 33.6 %	Fungi	Entomophthoromycota	other_early_diverging	Entomophthora muscae	34485	DSO57_1024190	MIR domain-containing protein	2567	census_v3+s20_sweep:fungi	both	1322.1	396.0	0.7005	2373		Inferred from homology	0	PF08709;PF00520;PF02815;PF08454;PF01365;	1	1	A0A433UB23	23.5	0.932	Metazoa (non-vertebrate)	A0ABR2W6A1	33.6	Fungi
D8UKJ4	real_gene	R6	3167 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 27.1 % (A0A422P9J5, Discoba); nearest within-kingdom 71.6 %	Viridiplantae	Chlorophyta	green_alga	Volvox carteri f. nagariensis	3068	VOLCADRAFT_121781	MIR domain-containing protein	3167	census_v3+s20_sweep:viridiplantae	both	575.6	129.3	0.7754	2026		Predicted	0	PF08709;PF00520;PF08454;PF01365;	1	1	A0A422P9J5	27.1	0.092	Discoba	A0ABQ5SNM9	71.6	Viridiplantae
S2J437	real_gene	R6	2592 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 30.2 % (L8GF85, Amoebozoa); nearest within-kingdom 89.2 %	Fungi	Mucoromycota	other_early_diverging	Mucor circinelloides f. circinelloides (strain 1006PhL) (Mucormycosis agent) (Calyptromyces circinelloides)	1220926	HMPREF1544_08383	MIR domain-containing protein	2592	census_v3+s20_sweep:fungi	both	1245.6	374.9	0.699	2614		Predicted	0	PF08709;PF00520;PF02815;PF08454;	1	1	L8GF85	30.2	0.329	Amoebozoa	A0AAN7D8C4	89.2	Fungi
