accession	organism	vclass	cell	ledger_status	base_state	base_rule	recon_coverage	recon_n_contigs	n_spare_itpr_loci	contig_spans_gene	n_settings_absent	n_settings	loosest_evidence	needs_r5_off	needs_r6_off	released_by	base_reason
GCA_036250305.1	Ataeniobius toweri	Actinopteri	ITPR1	assembly_gap	present_truncated	R2	0	0	3	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.50, truncated at a contig edge or an N-run
GCA_036250305.1	Ataeniobius toweri	Actinopteri	ITPR2	assembly_gap	present_truncated	R2	0	0	3	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.37, truncated at a contig edge or an N-run
GCA_036250305.1	Ataeniobius toweri	Actinopteri	ITPR3	assembly_gap	present_truncated	R2	0	0	3	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.57, truncated at a contig edge or an N-run
GCA_036250325.1	Characodon lateralis	Actinopteri	ITPR1	assembly_gap	present_truncated	R2	0	0	2	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.49, truncated at a contig edge or an N-run
GCA_036250325.1	Characodon lateralis	Actinopteri	ITPR2	assembly_gap	present_truncated	R2	0	0	2	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.63, truncated at a contig edge or an N-run
GCA_036250325.1	Characodon lateralis	Actinopteri	ITPR3	assembly_gap	present_truncated	R2	0	0	2	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.36, truncated at a contig edge or an N-run
GCA_040091285.1	Ameca splendens	Actinopteri	ITPR1	assembly_gap	present_truncated	R2	0	0	5	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.50, truncated at a contig edge or an N-run
GCA_040091285.1	Ameca splendens	Actinopteri	ITPR2	assembly_gap	present_truncated	R2	0	0	5	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.37, truncated at a contig edge or an N-run
GCA_040091285.1	Ameca splendens	Actinopteri	ITPR3	assembly_gap	present_truncated	R2	0	0	5	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.49, truncated at a contig edge or an N-run
GCA_040091305.1	Ilyodon furcidens	Actinopteri	ITPR1	assembly_gap	present_truncated	R2	0	0	5	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.50, truncated at a contig edge or an N-run
GCA_040091305.1	Ilyodon furcidens	Actinopteri	ITPR2	assembly_gap	present_truncated	R2	0	0	5	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.36, truncated at a contig edge or an N-run
GCA_040091305.1	Ilyodon furcidens	Actinopteri	ITPR3	assembly_gap	present_truncated	R2	0	0	5	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.31, truncated at a contig edge or an N-run
GCA_040091325.1	Goodea atripinnis	Actinopteri	ITPR1	assembly_gap	present_truncated	R2	0	0	7	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.50, truncated at a contig edge or an N-run
GCA_040091325.1	Goodea atripinnis	Actinopteri	ITPR2	assembly_gap	present_truncated	R2	0	0	7	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.37, truncated at a contig edge or an N-run
GCA_040091325.1	Goodea atripinnis	Actinopteri	ITPR3	assembly_gap	present_truncated	R2	0	0	7	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.31, truncated at a contig edge or an N-run
GCA_040091335.1	Xenoophorus captivus	Actinopteri	ITPR1	assembly_gap	present_truncated	R2	0	0	7	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.34, truncated at a contig edge or an N-run
GCA_040091335.1	Xenoophorus captivus	Actinopteri	ITPR2	assembly_gap	present_truncated	R2	0	0	7	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.51, truncated at a contig edge or an N-run
GCA_040091335.1	Xenoophorus captivus	Actinopteri	ITPR3	assembly_gap	present_truncated	R2	0	0	7	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.31, truncated at a contig edge or an N-run
GCA_040091345.1	Xenotaenia resolanae	Actinopteri	ITPR1	assembly_gap	present_truncated	R2	0	0	3	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.50, truncated at a contig edge or an N-run
GCA_040091345.1	Xenotaenia resolanae	Actinopteri	ITPR2	assembly_gap	present_truncated	R2	0	0	3	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.37, truncated at a contig edge or an N-run
GCA_040091345.1	Xenotaenia resolanae	Actinopteri	ITPR3	assembly_gap	present_truncated	R2	0	0	3	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.56, truncated at a contig edge or an N-run
GCA_051992705.1	Lepidogalaxias salamandroides	Actinopteri	ITPR1	assembly_gap	present_truncated	R2	0	0	3	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.43, truncated at a contig edge or an N-run
GCA_051992705.1	Lepidogalaxias salamandroides	Actinopteri	ITPR2	assembly_gap	present_truncated	R2	0	0	3	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.11, truncated at a contig edge or an N-run
GCA_051992705.1	Lepidogalaxias salamandroides	Actinopteri	ITPR3	assembly_gap	present_truncated	R2	0	0	3	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.15, truncated at a contig edge or an N-run
GCA_900312595.1	Guentherus altivela	Actinopteri	ITPR1	assembly_gap	present_truncated	R2	0	0	1	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.17, truncated at a contig edge or an N-run
GCA_900312595.1	Guentherus altivela	Actinopteri	ITPR3	assembly_gap	present_truncated	R2	0	0	1	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.11, truncated at a contig edge or an N-run
GCF_000687285.1	Phaethon lepturus	Aves	ITPR1	assembly_gap	present_truncated	R2	0	0	1	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.62, truncated at a contig edge or an N-run
GCF_000687285.1	Phaethon lepturus	Aves	ITPR2	assembly_gap	present_truncated	R2	0	0	1	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.46, truncated at a contig edge or an N-run
GCF_000690835.1	Fulmarus glacialis	Aves	ITPR1	assembly_gap	present_truncated	R2	0	0	1	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.59, truncated at a contig edge or an N-run
GCF_000690835.1	Fulmarus glacialis	Aves	ITPR2	assembly_gap	present_truncated	R2	0	0	1	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.34, truncated at a contig edge or an N-run
GCF_000691845.1	Merops nubicus	Aves	ITPR1	assembly_gap	present_truncated	R2	0	0	4	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.33, truncated at a contig edge or an N-run
GCF_000691845.1	Merops nubicus	Aves	ITPR2	assembly_gap	present_truncated	R2	0	0	4	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.46, truncated at a contig edge or an N-run
GCF_000691845.1	Merops nubicus	Aves	ITPR3	assembly_gap	present_truncated	R2	0	0	4	0	1	32	full_locus_only	1	1	evidence=full_locus_only; R5 off (D45); R6 off (D4)	locus at coverage 0.51, truncated at a contig edge or an N-run
