accession	organism	vclass	cell	contig	coverage	identity	aligned_aa	frameshifts	stop_codons	lesion_density	verdict	cell_state	elevated	incomplete	not_live	state_reading_available	is_fossil	reading
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	ITPR1	CM043789.1	1	0.9363	2748	9	0	3.2751	elevated_lesions	present_single_locus	1	0	0	1	0	not a fossil under any reading
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	ITPR1	CM043789.1	1	0.8566	2748	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	ITPR2	CM043790.1	1	0.8615	2701	3	0	1.1107	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	RYR	JAMFTG010000034.1	1	0.8541	4961	25	0	5.0393	elevated_lesions	not_in_matrix	1	0	0	0	0	not a fossil under any reading
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	RYR	CM043798.1	1	0.7886	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	RYR	CM043797.1	1	0.7945	5037	9	0	1.7868	elevated_lesions	not_in_matrix	1	0	0	0	0	not a fossil under any reading
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	RYR	CM043799.1	1	0.6687	4967	10	0	2.0133	elevated_lesions	not_in_matrix	1	0	0	0	0	not a fossil under any reading
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	RYR	CM043808.1	0.9972	0.6363	4968	16	1	3.4219	elevated_lesions	not_in_matrix	1	0	0	0	1	above the lesion bar with 1 internal stops
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	RYR	CM043806.1	1	0.6388	4967	17	0	3.4226	elevated_lesions	not_in_matrix	1	0	0	0	0	not a fossil under any reading
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	ITPR1	CM051002.1	1	0.9279	2748	1	0	0.3639	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	ITPR1	CM051002.1	1	0.842	2748	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	ITPR2	CM051010.1	1	0.8234	2701	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	ITPR3	CM051007.1	1	0.8403	2670	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	RYR	CM051014.1	1	0.8583	4961	1	0	0.2016	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	RYR	CM050999.1	1	0.7978	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	RYR	CM050999.1	1	0.8023	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	RYR	CM051016.1	1	0.6713	4967	0	1	0.2013	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	RYR	CM051019.1	1	0.6443	4982	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	RYR	CM051018.1	1	0.5454	5168	3	0	0.5805	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_028571685.1	Heterohyrax brucei	Mammalia	ITPR1	CM053158.1	1	0.9837	2758	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_028571685.1	Heterohyrax brucei	Mammalia	ITPR2	CM053142.1	1	0.9722	2701	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_028571685.1	Heterohyrax brucei	Mammalia	ITPR3	CM053144.1	1	0.9708	2671	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_028571685.1	Heterohyrax brucei	Mammalia	RYR	CM053155.1	1	0.9797	4967	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_028571685.1	Heterohyrax brucei	Mammalia	RYR	CM053152.1	1	0.7865	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_028571685.1	Heterohyrax brucei	Mammalia	RYR	CM053151.1	1	0.671	5037	2	0	0.3971	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_029706075.1	Aldrovandia affinis	Actinopteri	ITPR1	JAINUG010000031.1	1	0.892	2748	0	1	0.3639	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_029706075.1	Aldrovandia affinis	Actinopteri	ITPR1	JAINUG010000036.1	1	0.8942	2748	1	0	0.3639	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_029706075.1	Aldrovandia affinis	Actinopteri	ITPR2	JAINUG010000023.1	1	0.7976	2701	1	0	0.3702	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_029706075.1	Aldrovandia affinis	Actinopteri	ITPR3	JAINUG010000229.1	1	0.8241	2670	4	0	1.4981	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	JAINUG010000051.1	1	0.9115	4961	7	0	1.411	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	JAINUG010000065.1	1	0.8107	5037	2	0	0.3971	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	JAINUG010000546.1	1	0.8064	5037	10	0	1.9853	elevated_lesions	not_in_matrix	1	0	0	0	0	not a fossil under any reading
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	JAINUG010000085.1	1	0.6776	4968	3	0	0.6039	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	JAINUG010000136.1	1	0.6571	5037	1	0	0.1985	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	CM062265.1	1	0.9535	2748	4	0	1.4556	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	CM062265.1	1	0.8538	2748	6	0	2.1834	elevated_lesions	present_single_locus	1	0	0	1	0	not a fossil under any reading
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR2	CM062273.1	1	0.863	2701	1	0	0.3702	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR3	CM062267.1	1	0.8884	2670	2	0	0.7491	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	CM062284.1	1	0.8727	4961	2	0	0.4031	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	CM062268.1	1	0.7984	5037	2	0	0.3971	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	CM062279.1	1	0.7884	5037	7	0	1.3897	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	CM062275.1	1	0.6726	4967	3	0	0.604	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	CM062281.1	0.9972	0.6428	4968	3	1	0.8052	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	CM062278.1	1	0.6439	4968	2	0	0.4026	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_031835075.1	Saguinus oedipus	Mammalia	ITPR1	CM063184.1	1	0.9924	2758	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_031835075.1	Saguinus oedipus	Mammalia	ITPR2	CM063177.1	1	0.9904	2701	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_031835075.1	Saguinus oedipus	Mammalia	ITPR3	CM063172.1	1	0.9869	2671	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_031835075.1	Saguinus oedipus	Mammalia	RYR	CM063188.1	1	0.9915	4967	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_031835075.1	Saguinus oedipus	Mammalia	RYR	CM063187.1	1	0.7871	5037	1	0	0.1985	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_031835075.1	Saguinus oedipus	Mammalia	RYR	CM063176.1	1	0.6727	5037	1	0	0.1985	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_032275445.1	Crypturellus soui	Aves	ITPR1	JAUBNY010000656.1	1	0.9719	2779	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_032275445.1	Crypturellus soui	Aves	ITPR2	JAUBNY010001198.1	1	0.9804	2700	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_032275445.1	Crypturellus soui	Aves	ITPR3	JAUBNY010000997.1	1	0.9654	2664	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_032275445.1	Crypturellus soui	Aves	RYR	JAUBNY010000465.1	0.9974	0.8949	4955	2	2	0.8073	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_032275445.1	Crypturellus soui	Aves	RYR	JAUBNY010000184.1	0.9248	0.6739	4658	1	0	0.2147	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_033238685.1	Lates japonicus	Actinopteri	ITPR1	BRZM01000050.1	1	0.8541	2748	7	0	2.5473	elevated_lesions	present_single_locus	1	0	0	1	0	not a fossil under any reading
GCA_033238685.1	Lates japonicus	Actinopteri	ITPR1	BRZM01000069.1	1	0.6863	2748	8	2	3.639	elevated_lesions	present_single_locus	1	0	0	1	1	above the lesion bar with 2 internal stops
GCA_033238685.1	Lates japonicus	Actinopteri	ITPR2	BRZM01000040.1	1	0.5799	2701	19	1	7.4047	elevated_lesions	present_single_locus	1	0	0	1	1	above the lesion bar with 1 internal stops
GCA_033238685.1	Lates japonicus	Actinopteri	ITPR3	BRZM01000063.1	1	0.9058	2670	3	0	1.1236	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_033238685.1	Lates japonicus	Actinopteri	ITPR3	BRZM01003583.1	0.9337	0.9087	2493	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_033238685.1	Lates japonicus	Actinopteri	ITPR3	BRZM01000698.1	0.8337	0.8832	2226	7	0	3.1447	elevated_lesions	present_single_locus	1	0	0	1	0	not a fossil under any reading
GCA_033238685.1	Lates japonicus	Actinopteri	RYR	BRZM01000068.1	1	0.8547	4961	13	0	2.6204	elevated_lesions	not_in_matrix	1	0	0	0	0	not a fossil under any reading
GCA_033238685.1	Lates japonicus	Actinopteri	RYR	BRZM01000015.1	1	0.7475	5037	28	1	5.7574	elevated_lesions	not_in_matrix	1	0	0	0	1	above the lesion bar with 1 internal stops
GCA_033238685.1	Lates japonicus	Actinopteri	RYR	BRZM01000008.1	0.9938	0.6652	4937	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_033238685.1	Lates japonicus	Actinopteri	RYR	BRZM01000065.1	1	0.6507	4968	1	0	0.2013	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_033238685.1	Lates japonicus	Actinopteri	RYR	BRZM01000003.1	0.7502	0.8054	3779	1	0	0.2646	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_033238685.1	Lates japonicus	Actinopteri	RYR	BRZM01000052.1	0.9972	0.6131	4968	14	2	3.2206	elevated_lesions	not_in_matrix	1	0	0	0	1	above the lesion bar with 2 internal stops
GCA_035590135.1	Circaetus pectoralis	Aves	ITPR1	JAVJGK010000037.1	1	0.9924	2779	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_035590135.1	Circaetus pectoralis	Aves	ITPR2	JAVJGK010000024.1	0.9885	0.9884	2669	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_035590135.1	Circaetus pectoralis	Aves	ITPR3	JAVJGK010000054.1	1	0.9899	2664	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_035590135.1	Circaetus pectoralis	Aves	RYR	JAVJGK010000051.1	1	0.9853	4968	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_035590135.1	Circaetus pectoralis	Aves	RYR	JAVJGK010000032.1	1	0.6748	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_035590135.1	Circaetus pectoralis	Aves	RYR	JAVJGK010000078.1	0.9821	0.6355	4947	5	1	1.2129	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	ITPR1	CM070012.1	1	0.9691	2711	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	ITPR1	CM070017.1	1	0.88	2748	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	ITPR2	CM070024.1	1	0.9288	2665	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	ITPR3	CM070014.1	1	0.9425	2635	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	RYR	CM070018.1	1	0.971	4961	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	RYR	CM070016.1	1	0.8133	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	RYR	CM070024.1	1	0.8028	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	RYR	CM070023.1	1	0.6796	4967	3	0	0.604	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	RYR	CM070026.1	1	0.6588	5037	1	0	0.1985	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	RYR	CM070023.1	0.9996	0.5462	5166	4	1	0.9679	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_036250305.1	Ataeniobius toweri	Actinopteri	RYR	JAHUTI010039425.1	0.7074	0.7999	3563	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_040091335.1	Xenoophorus captivus	Actinopteri	RYR	JAHRIN010033797.1	0.7449	0.7978	3752	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_043380575.1	Atractosteus spatula	Actinopteri	ITPR1	CM092437.1	1	0.9042	2748	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_043380575.1	Atractosteus spatula	Actinopteri	ITPR2	CM092440.1	1	0.8197	2700	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_043380575.1	Atractosteus spatula	Actinopteri	ITPR3	CM092438.1	1	0.8361	2670	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_043380575.1	Atractosteus spatula	Actinopteri	RYR	CM092448.1	1	0.9029	4961	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_043380575.1	Atractosteus spatula	Actinopteri	RYR	CM092436.1	1	0.8403	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_043380575.1	Atractosteus spatula	Actinopteri	RYR	CM092441.1	1	0.6938	4968	0	1	0.2013	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_046255725.1	Amblyopsis spelaea	Actinopteri	ITPR1	CM101355.1	1	0.9386	2748	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_046255725.1	Amblyopsis spelaea	Actinopteri	ITPR1	CM101355.1	1	0.8435	2748	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_046255725.1	Amblyopsis spelaea	Actinopteri	ITPR2	CM101349.1	1	0.8094	2701	1	0	0.3702	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_046255725.1	Amblyopsis spelaea	Actinopteri	ITPR3	CM101356.1	1	0.8624	2670	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_046255725.1	Amblyopsis spelaea	Actinopteri	RYR	CM101357.1	1	0.8657	4961	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_046255725.1	Amblyopsis spelaea	Actinopteri	RYR	CM101366.1	1	0.8016	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_046255725.1	Amblyopsis spelaea	Actinopteri	RYR	CM101361.1	1	0.7928	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_046255725.1	Amblyopsis spelaea	Actinopteri	RYR	CM101358.1	1	0.6696	4968	2	0	0.4026	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_046255725.1	Amblyopsis spelaea	Actinopteri	RYR	CM101363.1	1	0.6623	4968	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_046255725.1	Amblyopsis spelaea	Actinopteri	RYR	CM101368.1	1	0.5483	5168	1	1	0.387	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_047511595.1	Polymixia lowei	Actinopteri	ITPR1	CM105268.1	1	0.9458	2748	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_047511595.1	Polymixia lowei	Actinopteri	ITPR1	CM105268.1	1	0.873	2748	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_047511595.1	Polymixia lowei	Actinopteri	ITPR2	CM105265.1	0.9956	0.8559	2689	1	0	0.3719	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_047511595.1	Polymixia lowei	Actinopteri	ITPR3	CM105270.1	1	0.8277	2670	1	0	0.3745	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_047511595.1	Polymixia lowei	Actinopteri	RYR	CM105262.1	1	0.9019	4961	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_047511595.1	Polymixia lowei	Actinopteri	RYR	CM105260.1	1	0.8125	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_047511595.1	Polymixia lowei	Actinopteri	RYR	CM105264.1	1	0.8054	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_047511595.1	Polymixia lowei	Actinopteri	RYR	CM105261.1	1	0.6774	4968	2	0	0.4026	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_047511595.1	Polymixia lowei	Actinopteri	RYR	CM105272.1	1	0.6641	4968	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_047511595.1	Polymixia lowei	Actinopteri	RYR	CM105278.1	0.9972	0.6561	4968	2	0	0.4026	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_048126345.2	Notoryctes typhlops	Mammalia	ITPR1	CM138677.1	1	0.972	2749	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_048126345.2	Notoryctes typhlops	Mammalia	ITPR2	CM138672.1	1	0.9467	2701	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_048126345.2	Notoryctes typhlops	Mammalia	ITPR3	CM138675.1	1	0.9394	2671	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_048126345.2	Notoryctes typhlops	Mammalia	RYR	CM138676.1	1	0.9615	4967	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_048126345.2	Notoryctes typhlops	Mammalia	RYR	CM138669.1	1	0.7944	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_048126345.2	Notoryctes typhlops	Mammalia	RYR	CM138674.1	1	0.6767	5037	1	0	0.1985	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_048569125.1	Diretmus argenteus	Actinopteri	ITPR1	CM109045.1	1	0.9451	2748	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_048569125.1	Diretmus argenteus	Actinopteri	ITPR1	CM109045.1	1	0.8653	2748	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_048569125.1	Diretmus argenteus	Actinopteri	ITPR2	CM109053.1	1	0.8557	2701	1	0	0.3702	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_048569125.1	Diretmus argenteus	Actinopteri	ITPR2	CM109053.1	1	0.8426	2701	2	1	1.1107	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_048569125.1	Diretmus argenteus	Actinopteri	ITPR3	CM109051.1	1	0.8739	2670	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_048569125.1	Diretmus argenteus	Actinopteri	RYR	CM109064.1	1	0.8919	4961	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_048569125.1	Diretmus argenteus	Actinopteri	RYR	CM109048.1	1	0.8115	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_048569125.1	Diretmus argenteus	Actinopteri	RYR	CM109054.1	1	0.7927	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_048569125.1	Diretmus argenteus	Actinopteri	RYR	CM109052.1	1	0.682	4968	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_048569125.1	Diretmus argenteus	Actinopteri	RYR	CM109062.1	0.9972	0.6553	4968	1	0	0.2013	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_048569125.1	Diretmus argenteus	Actinopteri	RYR	CM109060.1	1	0.6562	4968	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_050084785.1	Liparis tanakae	Actinopteri	ITPR1	CM114425.1	1	0.9435	2748	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_050084785.1	Liparis tanakae	Actinopteri	ITPR1	CM114425.1	1	0.8504	2748	2	0	0.7278	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_050084785.1	Liparis tanakae	Actinopteri	ITPR2	CM114422.1	0.9981	0.8572	2696	2	0	0.7418	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_050084785.1	Liparis tanakae	Actinopteri	ITPR3	CM114428.1	1	0.883	2670	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_050084785.1	Liparis tanakae	Actinopteri	RYR	CM114437.1	1	0.8735	4961	2	0	0.4031	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_050084785.1	Liparis tanakae	Actinopteri	RYR	CM114427.1	1	0.7921	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_050084785.1	Liparis tanakae	Actinopteri	RYR	CM114433.1	1	0.7821	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_050084785.1	Liparis tanakae	Actinopteri	RYR	CM114430.1	1	0.6755	4967	1	0	0.2013	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_050084785.1	Liparis tanakae	Actinopteri	RYR	CM114435.1	0.9972	0.646	4968	1	1	0.4026	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_050084785.1	Liparis tanakae	Actinopteri	RYR	CM114432.1	1	0.5596	5168	1	0	0.1935	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_054084135.1	Copsychus sechellarum	Aves	ITPR1	CM133787.1	1	0.9773	2779	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_054084135.1	Copsychus sechellarum	Aves	ITPR2	CM133781.1	1	0.9804	2700	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_054084135.1	Copsychus sechellarum	Aves	ITPR3	CM133804.1	1	0.9959	2670	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_054084135.1	Copsychus sechellarum	Aves	RYR	CM133779.1	1	0.9777	4968	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_054084135.1	Copsychus sechellarum	Aves	RYR	CM133782.1	1	0.6744	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_054099775.1	Steatornis caripensis	Aves	ITPR1	CM133975.1	1	0.9899	2779	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_054099775.1	Steatornis caripensis	Aves	ITPR2	CM133965.1	1	0.987	2700	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_054099775.1	Steatornis caripensis	Aves	ITPR3	CM133992.1	1	0.9895	2664	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_054099775.1	Steatornis caripensis	Aves	RYR	CM133967.1	0.9974	0.9816	4955	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_054099775.1	Steatornis caripensis	Aves	RYR	CM133969.1	1	0.6724	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_054644205.1	Lestoros inca	Mammalia	ITPR1	CM138377.1	1	0.9705	2749	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_054644205.1	Lestoros inca	Mammalia	ITPR2	CM138381.1	1	0.95	2701	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_054644205.1	Lestoros inca	Mammalia	ITPR3	CM138380.1	1	0.9371	2671	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_054644205.1	Lestoros inca	Mammalia	RYR	CM138380.1	1	0.9628	4967	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_054644205.1	Lestoros inca	Mammalia	RYR	CM138379.1	1	0.7906	5037	0	0	0	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_054644205.1	Lestoros inca	Mammalia	RYR	CM138378.1	1	0.6766	5037	2	0	0.3971	intact	not_in_matrix	0	0	0	0	0	not a fossil under any reading
GCA_054883175.1	Datnioides polota	Actinopteri	ITPR1	CM142224.1	1	0.9659	2748	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_054883175.1	Datnioides polota	Actinopteri	ITPR1	CM142224.1	1	0.8675	2748	0	0	0	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
GCA_054883175.1	Datnioides polota	Actinopteri	ITPR2	CM142228.1	1	0.8773	2701	1	0	0.3702	intact	present_single_locus	0	0	0	1	0	not a fossil under any reading
