coding	character	evidence	use_r5	use_r6	branch_lengths	is_base	n_tips_scored	n_present	n_absent	n_undecided	dollo_losses_max	dollo_losses_min	gain_node	gain_rule	mk_fitted	mk_best_model	mk_loss_rate	mk_irrev_rate	mk_irrev_loglik	mk_refusal
paralog	ITPR3	gap_lo	0	0	ultrametric	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.0153762	0.0153762	-5.2702	
family	ITPR_family	calibrated	1	1	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	calibrated	1	1	ultrametric	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	calibrated	1	1	ultrametric	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR3	calibrated	1	1	ultrametric	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	calibrated	1	0	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	calibrated	1	0	ultrametric	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	calibrated	1	0	ultrametric	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR3	calibrated	1	0	ultrametric	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	calibrated	0	1	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	calibrated	0	1	ultrametric	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	calibrated	0	1	ultrametric	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.0153762	0.0153762	-5.2702	
paralog	ITPR3	calibrated	0	1	ultrametric	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.0153762	0.0153762	-5.2702	
family	ITPR_family	calibrated	0	0	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	calibrated	0	0	ultrametric	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	calibrated	0	0	ultrametric	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.0153762	0.0153762	-5.2702	
paralog	ITPR3	calibrated	0	0	ultrametric	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.0153762	0.0153762	-5.2702	
family	ITPR_family	gap_hi	1	1	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	gap_hi	1	1	ultrametric	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	gap_hi	1	1	ultrametric	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR3	gap_hi	1	1	ultrametric	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	gap_hi	1	0	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	gap_hi	1	0	ultrametric	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	gap_hi	1	0	ultrametric	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR3	gap_hi	1	0	ultrametric	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	gap_hi	0	1	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	gap_hi	0	1	ultrametric	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	gap_hi	0	1	ultrametric	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.0153762	0.0153762	-5.2702	
paralog	ITPR3	gap_hi	0	1	ultrametric	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.0153762	0.0153762	-5.2702	
family	ITPR_family	gap_hi	0	0	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	gap_hi	0	0	ultrametric	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	gap_hi	0	0	ultrametric	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.0153762	0.0153762	-5.2702	
paralog	ITPR3	gap_hi	0	0	ultrametric	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.0153762	0.0153762	-5.2702	
family	ITPR_family	recon_half	1	1	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	recon_half	1	1	ultrametric	0	309	303	0	6	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	recon_half	1	1	ultrametric	0	309	305	0	4	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR3	recon_half	1	1	ultrametric	0	309	305	0	4	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	recon_half	1	0	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	recon_half	1	0	ultrametric	0	309	303	1	5	1	1	Vertebrata	MRCA of present tips	1	irreversible	0.0153954	0.0153954	-7.5716	
paralog	ITPR2	recon_half	1	0	ultrametric	0	309	305	1	3	1	1	Gnathostomata	MRCA of present tips	1	irreversible	0.015625	0.015625	-7.5568	
paralog	ITPR3	recon_half	1	0	ultrametric	0	309	305	1	3	1	1	Gnathostomata	MRCA of present tips	1	irreversible	0.0155148	0.0155148	-7.5639	
family	ITPR_family	recon_half	0	1	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	recon_half	0	1	ultrametric	0	309	303	0	6	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	recon_half	0	1	ultrametric	0	309	305	2	2	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.0155282	0.0155282	-5.2604	
paralog	ITPR3	recon_half	0	1	ultrametric	0	309	305	2	2	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.0154193	0.0154193	-5.2675	
family	ITPR_family	recon_half	0	0	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	recon_half	0	0	ultrametric	0	309	303	6	0	6	5	Vertebrata	MRCA of present tips	1	ARD	0.148112	0.0918913	-33.1009	
paralog	ITPR2	recon_half	0	0	ultrametric	0	309	305	4	0	2	2	Gnathostomata	MRCA of present tips	1	irreversible	0.0463576	0.0463576	-15.3135	
paralog	ITPR3	recon_half	0	0	ultrametric	0	309	305	4	0	2	2	Gnathostomata	MRCA of present tips	1	irreversible	0.0461946	0.0461946	-17.1158	
family	ITPR_family	recon_strict	1	1	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	recon_strict	1	1	ultrametric	0	309	297	0	12	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	recon_strict	1	1	ultrametric	0	309	300	1	8	1	1	Gnathostomata	MRCA of present tips	1	irreversible	0.0157819	0.0157819	-7.5468	
paralog	ITPR3	recon_strict	1	1	ultrametric	0	309	298	0	11	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	recon_strict	1	0	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	recon_strict	1	0	ultrametric	0	309	297	7	5	7	7	Vertebrata	MRCA of present tips	1	ARD	0.440658	0.108414	-37.7284	
paralog	ITPR2	recon_strict	1	0	ultrametric	0	309	300	6	3	6	6	Gnathostomata	MRCA of present tips	1	ARD	0.677217	0.0942196	-33.2384	
paralog	ITPR3	recon_strict	1	0	ultrametric	0	309	298	7	4	7	7	Gnathostomata	MRCA of present tips	1	ARD	0.765502	0.109338	-38.3622	
family	ITPR_family	recon_strict	0	1	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	recon_strict	0	1	ultrametric	0	309	297	0	12	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	recon_strict	0	1	ultrametric	0	309	300	3	6	1	1	Gnathostomata	MRCA of present tips	1	irreversible	0.0313444	0.0313444	-11.4187	
paralog	ITPR3	recon_strict	0	1	ultrametric	0	309	298	2	9	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.0156053	0.0156053	-5.2555	
family	ITPR_family	recon_strict	0	0	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	recon_strict	0	0	ultrametric	0	309	297	12	0	12	8	Vertebrata	MRCA of present tips	1	ARD	0.166523	0.184884	-57.8125	
paralog	ITPR2	recon_strict	0	0	ultrametric	0	309	300	9	0	7	7	Gnathostomata	MRCA of present tips	1	irreversible	0.124246	0.124246	-38.4517	
paralog	ITPR3	recon_strict	0	0	ultrametric	0	309	298	11	0	9	8	Gnathostomata	MRCA of present tips	1	ARD	0.415595	0.154923	-49.4092	
family	ITPR_family	no_recon	1	1	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	no_recon	1	1	ultrametric	0	309	292	0	17	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	no_recon	1	1	ultrametric	0	309	291	1	17	1	1	Gnathostomata	MRCA of present tips	1	irreversible	0.0161054	0.0161054	-7.5265	
paralog	ITPR3	no_recon	1	1	ultrametric	0	309	297	0	12	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	no_recon	1	0	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	no_recon	1	0	ultrametric	0	309	292	12	5	12	11	Vertebrata	MRCA of present tips	1	ARD	0.125995	0.186647	-58.6149	
paralog	ITPR2	no_recon	1	0	ultrametric	0	309	291	14	4	14	14	Gnathostomata	MRCA of present tips	1	ARD	1.19376	0.222321	-64.2921	
paralog	ITPR3	no_recon	1	0	ultrametric	0	309	297	8	4	8	8	Gnathostomata	MRCA of present tips	1	ARD	0.844694	0.125091	-42.4912	
family	ITPR_family	no_recon	0	1	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	no_recon	0	1	ultrametric	0	309	292	0	17	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	no_recon	0	1	ultrametric	0	309	291	3	15	1	1	Gnathostomata	MRCA of present tips	1	irreversible	0.0319824	0.0319824	-11.3784	
paralog	ITPR3	no_recon	0	1	ultrametric	0	309	297	2	10	0	0	Gnathostomata	MRCA of present tips	1	irreversible	0.0156386	0.0156386	-5.2533	
family	ITPR_family	no_recon	0	0	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	no_recon	0	0	ultrametric	0	309	292	17	0	17	12	Vertebrata	MRCA of present tips	1	ARD	0.110692	0.263037	-76.5559	
paralog	ITPR2	no_recon	0	0	ultrametric	0	309	291	18	0	16	16	Gnathostomata	MRCA of present tips	1	ARD	0.501929	0.266733	-71.4041	
paralog	ITPR3	no_recon	0	0	ultrametric	0	309	297	12	0	10	9	Gnathostomata	MRCA of present tips	1	ARD	0.47828	0.170599	-53.2064	
family	ITPR_family	locus_only	1	1	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	locus_only	1	1	ultrametric	0	309	292	0	17	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	locus_only	1	1	ultrametric	0	309	285	1	23	1	1	Gnathostomata	MRCA of present tips	1	irreversible	0.0163326	0.0163326	-7.5125	
paralog	ITPR3	locus_only	1	1	ultrametric	0	309	296	0	13	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	locus_only	1	0	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	locus_only	1	0	ultrametric	0	309	292	12	5	12	11	Vertebrata	MRCA of present tips	1	ARD	0.125995	0.186647	-58.6149	
paralog	ITPR2	locus_only	1	0	ultrametric	0	309	285	19	5	19	18	Gnathostomata	MRCA of present tips	1	ARD	1.52391	0.30438	-81.5099	
paralog	ITPR3	locus_only	1	0	ultrametric	0	309	296	8	5	8	8	Gnathostomata	MRCA of present tips	1	ARD	0.847135	0.125448	-42.4684	
family	ITPR_family	locus_only	0	1	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	locus_only	0	1	ultrametric	0	309	292	0	17	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	locus_only	0	1	ultrametric	0	309	285	3	21	1	1	Gnathostomata	MRCA of present tips	1	irreversible	0.0324303	0.0324303	-11.3506	
paralog	ITPR3	locus_only	0	1	ultrametric	0	309	296	3	10	1	1	Gnathostomata	MRCA of present tips	1	irreversible	0.0313221	0.0313221	-10.7269	
family	ITPR_family	locus_only	0	0	ultrametric	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	locus_only	0	0	ultrametric	0	309	292	17	0	17	12	Vertebrata	MRCA of present tips	1	ARD	0.110692	0.263037	-76.5559	
paralog	ITPR2	locus_only	0	0	ultrametric	0	309	285	24	0	22	20	Gnathostomata	MRCA of present tips	1	ARD	0.76271	0.363422	-90.3723	
paralog	ITPR3	locus_only	0	0	ultrametric	0	309	296	13	0	11	10	Gnathostomata	MRCA of present tips	1	ARD	0.532447	0.186375	-56.6185	
family	ITPR_family	full_locus_only	1	1	ultrametric	0	309	308	0	1	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	full_locus_only	1	1	ultrametric	0	309	261	0	48	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	full_locus_only	1	1	ultrametric	0	309	253	1	55	1	1	Gnathostomata	MRCA of present tips	1	irreversible	0.0174673	0.0174673	-7.0399	
paralog	ITPR3	full_locus_only	1	1	ultrametric	0	309	269	0	40	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	full_locus_only	1	0	ultrametric	0	309	308	1	0	1	1	Vertebrata	pinned at root	1	irreversible	0.0152355	0.0152355	-7.582	
paralog	ITPR1	full_locus_only	1	0	ultrametric	0	309	261	20	28	20	16	Vertebrata	MRCA of present tips	1	ARD	0.229588	0.330374	-86.7086	
paralog	ITPR2	full_locus_only	1	0	ultrametric	0	309	253	28	28	25	23	Gnathostomata	MRCA of present tips	1	ARD	0.535542	0.429182	-101.186	
paralog	ITPR3	full_locus_only	1	0	ultrametric	0	309	269	13	27	13	13	Gnathostomata	MRCA of present tips	1	ARD	1.0721	0.215861	-61.9709	
family	ITPR_family	full_locus_only	0	1	ultrametric	0	309	308	0	1	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	full_locus_only	0	1	ultrametric	0	309	261	1	47	1	1	Vertebrata	MRCA of present tips	1	irreversible	0.0168196	0.0168196	-7.4831	
paralog	ITPR2	full_locus_only	0	1	ultrametric	0	309	253	4	52	2	2	Gnathostomata	MRCA of present tips	1	irreversible	0.0519591	0.0519591	-16.3576	
paralog	ITPR3	full_locus_only	0	1	ultrametric	0	309	269	4	36	2	2	Gnathostomata	MRCA of present tips	1	irreversible	0.0499345	0.0499345	-16.1892	
family	ITPR_family	full_locus_only	0	0	ultrametric	0	309	308	1	0	1	1	Vertebrata	pinned at root	1	irreversible	0.0152355	0.0152355	-7.582	
paralog	ITPR1	full_locus_only	0	0	ultrametric	0	309	261	48	0	41	29	Vertebrata	MRCA of present tips	1	ARD	0.590823	0.661304	-147.269	
paralog	ITPR2	full_locus_only	0	0	ultrametric	0	309	253	56	0	45	37	Gnathostomata	MRCA of present tips	1	ARD	0.685784	0.764094	-155.283	
paralog	ITPR3	full_locus_only	0	0	ultrametric	0	309	269	40	0	32	27	Gnathostomata	MRCA of present tips	1	ARD	0.981994	0.531456	-122.898	
family	ITPR_family	gap_lo	1	1	calibrated	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	gap_lo	1	1	calibrated	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	gap_lo	1	1	calibrated	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR3	gap_lo	1	1	calibrated	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	gap_lo	1	0	calibrated	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	gap_lo	1	0	calibrated	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	gap_lo	1	0	calibrated	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR3	gap_lo	1	0	calibrated	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	gap_lo	0	1	calibrated	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	gap_lo	0	1	calibrated	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	gap_lo	0	1	calibrated	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	3.321e-05	3.321e-05	-6.6651	
paralog	ITPR3	gap_lo	0	1	calibrated	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	3.321e-05	3.321e-05	-6.6651	
family	ITPR_family	gap_lo	0	0	calibrated	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	gap_lo	0	0	calibrated	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	gap_lo	0	0	calibrated	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	3.321e-05	3.321e-05	-6.6651	
paralog	ITPR3	gap_lo	0	0	calibrated	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	3.321e-05	3.321e-05	-6.6651	
family	ITPR_family	calibrated	1	1	calibrated	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	calibrated	1	1	calibrated	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	calibrated	1	1	calibrated	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR3	calibrated	1	1	calibrated	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	calibrated	1	0	calibrated	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	calibrated	1	0	calibrated	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	calibrated	1	0	calibrated	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR3	calibrated	1	0	calibrated	0	309	307	0	2	0	0	Gnathostomata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
family	ITPR_family	calibrated	0	1	calibrated	0	309	309	0	0	0	0	Vertebrata	pinned at root	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR1	calibrated	0	1	calibrated	0	309	309	0	0	0	0	Vertebrata	MRCA of present tips	0					the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)
paralog	ITPR2	calibrated	0	1	calibrated	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	3.321e-05	3.321e-05	-6.6651	
paralog	ITPR3	calibrated	0	1	calibrated	0	309	307	2	0	0	0	Gnathostomata	MRCA of present tips	1	irreversible	3.321e-05	3.321e-05	-6.6651	
