accession	call	confidence	reason	instruments	arch_call	profile_call	profile_confidence	itpr_score	ryr_score	rel_margin	searches	source	gene	protein_name	species	taxon_id	group	kingdom	phylum	class	order	family	length	in_band	fragment	reviewed	protein_existence	in_alphafold	seed_pfams	pfams	n_itpr_arch	ryr_pfams	source_detail	genome_accession	contig	start	end	strand	cell	cell_status	db_status	coverage	contig_spans_gene	s20_call	s20_confidence	s20_group	s20_itpr_score	s20_ryr_score	s20_rel_margin	s20_evidence	tax_domain	tax_kingdom	tax_phylum	tax_class	tax_order	tax_family	tax_genus	tax_group	plant_fungal_verdict	plant_fungal_rule
A0A2G8JD16	RYR	high	census v4 and the S20 sweep both call RYR	v4+s20	unassigned	RYR	medium	35.3	217.8	0.8379	interpro+calibration	InterPro	BSL78_29547	Putative ryanodine receptor 2	Apostichopus japonicus (Japanese spiky sea cucumber) (Stichopus japonicus)	307972	Metazoa (non-vertebrate)	Metazoa	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	218	0		0	Predicted	1	PF01365	PF01365;PF02815	2		InterPro											RYR	medium	metazoa_nonvert	35.3	217.8	0.8379	partial	Eukaryota	Metazoa	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	Apostichopus	Metazoa (non-vertebrate)		
A0A2G8JD17	unassigned	none	neither instrument called it	none	unassigned	unassigned	none	74.0	275.3	0.7312	interpro+calibration	InterPro	BSL78_29548	Ryanodine receptor	Apostichopus japonicus (Japanese spiky sea cucumber) (Stichopus japonicus)	307972	Metazoa (non-vertebrate)	Metazoa	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	213	0	fragment	0	Predicted	1	PF08709	PF02815;PF08709	2		InterPro											unassigned	none	metazoa_nonvert	74.0	275.3	0.7312	module	Eukaryota	Metazoa	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	Apostichopus	Metazoa (non-vertebrate)		
A0A2G8KPF5	ITPR	high	census v4 and the S20 sweep both call ITPR	v4+s20	unassigned	ITPR	high	2456.6	238.2	0.903	interpro+calibration	InterPro	BSL78_13211	Inositol 1,4,5-trisphosphate receptor	Apostichopus japonicus (Japanese spiky sea cucumber) (Stichopus japonicus)	307972	Metazoa (non-vertebrate)	Metazoa	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	1963	0		0	Inferred from homology	0	PF01365;PF08454	PF00520;PF01365;PF08454	3		InterPro											ITPR	high	metazoa_nonvert	2456.6	238.2	0.903	architecture	Eukaryota	Metazoa	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	Apostichopus	Metazoa (non-vertebrate)		
A0A2G8KPL1	ITPR	high	census v4 and the S20 sweep both call ITPR	v4+s20	unassigned	ITPR	medium	1100.4	136.9	0.8756	interpro+calibration	InterPro	BSL78_13210	Inositol 1,4,5-trisphosphate receptor	Apostichopus japonicus (Japanese spiky sea cucumber) (Stichopus japonicus)	307972	Metazoa (non-vertebrate)	Metazoa	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	722	0		0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		InterPro											ITPR	medium	metazoa_nonvert	1100.4	136.9	0.8756	partial	Eukaryota	Metazoa	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	Apostichopus	Metazoa (non-vertebrate)		
A0A2G8KUS3	ITPR	high	census v4 and the S20 sweep both call ITPR	v4+s20	unassigned	ITPR	high	1993.0	230.4	0.8844	interpro+calibration	InterPro	BSL78_11372	Inositol 1,4,5-trisphosphate receptor	Apostichopus japonicus (Japanese spiky sea cucumber) (Stichopus japonicus)	307972	Metazoa (non-vertebrate)	Metazoa	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	1666	0		0	Predicted	0	PF01365;PF08454	PF00520;PF01365;PF08454	3		InterPro											ITPR	high	metazoa_nonvert	1993.0	230.4	0.8844	architecture	Eukaryota	Metazoa	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	Apostichopus	Metazoa (non-vertebrate)		
A0A2G8L782	RYR	high	census v4 and the S20 sweep both call RYR	v4+s20	RYR	RYR	medium	136.4	2191.2	0.9378	interpro+calibration	InterPro	BSL78_07018	Putative ryanodine receptor 2	Apostichopus japonicus (Japanese spiky sea cucumber) (Stichopus japonicus)	307972	Metazoa (non-vertebrate)	Metazoa	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	1723	0		0	Predicted	0	PF01365;PF08454	PF01365;PF02026;PF08454	2	PF02026	InterPro											RYR	medium	metazoa_nonvert	136.4	2191.2	0.9378	partial	Eukaryota	Metazoa	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	Apostichopus	Metazoa (non-vertebrate)		
A0A2G8L788	RYR	high	census v4 and the S20 sweep both call RYR	v4+s20	RYR	RYR	medium	39.1	907.7	0.9569	interpro+calibration	InterPro	BSL78_07019	Ryanodine receptor	Apostichopus japonicus (Japanese spiky sea cucumber) (Stichopus japonicus)	307972	Metazoa (non-vertebrate)	Metazoa	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	988	0		0	Predicted	1	PF01365	PF00622;PF01365;PF21119	1	PF00622;PF21119	InterPro											RYR	medium	metazoa_nonvert	39.1	907.7	0.9569	partial	Eukaryota	Metazoa	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	Apostichopus	Metazoa (non-vertebrate)		
A0A2G8L7A0	RYR	high	census v4 and the S20 sweep both call RYR	v4+s20	RYR	RYR	medium	33.8	1042.4	0.9676	interpro+calibration	InterPro	BSL78_07020	Ryanodine receptor	Apostichopus japonicus (Japanese spiky sea cucumber) (Stichopus japonicus)	307972	Metazoa (non-vertebrate)	Metazoa	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	646	0		0	Predicted	1	PF01365	PF00622;PF01365;PF02026	1	PF00622;PF02026	InterPro											RYR	medium	metazoa_nonvert	33.8	1042.4	0.9676	partial	Eukaryota	Metazoa	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	Apostichopus	Metazoa (non-vertebrate)		
A0A2G8L7H1	RYR	high	census v4 and the S20 sweep both call RYR	v4+s20	unassigned	RYR	medium	131.7	580.0	0.7729	interpro+calibration	InterPro	BSL78_07021	Ryanodine receptor	Apostichopus japonicus (Japanese spiky sea cucumber) (Stichopus japonicus)	307972	Metazoa (non-vertebrate)	Metazoa	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	412	0	fragment	0	Predicted	1	PF08709	PF02815;PF08709	2		InterPro											RYR	medium	metazoa_nonvert	131.7	580.0	0.7729	partial	Eukaryota	Metazoa	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	Apostichopus	Metazoa (non-vertebrate)		
A0A2G9QCF4	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	387.9	30.2	0.9221	interpro+calibration+sweep	InterPro	AB205_0083890	Inositol 1,4,5-trisphosphate receptor	Aquarana catesbeiana (American bullfrog) (Rana catesbeiana)	8400	Vertebrata	Metazoa	Chordata	Amphibia	Anura	Ranidae	238	0		0	Inferred from homology	1	PF01365	PF01365	1		InterPro																		Eukaryota	Metazoa	Chordata	Amphibia	Anura	Ranidae	Aquarana	Vertebrata		
A0A2G9RE81	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	618.3	35.9	0.9419	interpro+calibration+sweep	InterPro	AB205_0129370	RIH domain-containing protein	Aquarana catesbeiana (American bullfrog) (Rana catesbeiana)	8400	Vertebrata	Metazoa	Chordata	Amphibia	Anura	Ranidae	399	0		0	Predicted	1	PF01365	PF01365	1		InterPro																		Eukaryota	Metazoa	Chordata	Amphibia	Anura	Ranidae	Aquarana	Vertebrata		
A0A2G9REB2	unassigned	none	neither instrument calls it	neither	unassigned	unassigned	none	154.7	30.2	0.8048	interpro+calibration+sweep	InterPro	AB205_0129380	MIR domain-containing protein	Aquarana catesbeiana (American bullfrog) (Rana catesbeiana)	8400	Vertebrata	Metazoa	Chordata	Amphibia	Anura	Ranidae	96	0	fragment	0	Predicted	1	PF08709	PF08709	1		InterPro																		Eukaryota	Metazoa	Chordata	Amphibia	Anura	Ranidae	Aquarana	Vertebrata		
A0A2G9RRI9	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	431.0	85.1	0.8026	interpro+calibration+sweep	InterPro	AB205_0059580	MIR domain-containing protein	Aquarana catesbeiana (American bullfrog) (Rana catesbeiana)	8400	Vertebrata	Metazoa	Chordata	Amphibia	Anura	Ranidae	259	0		0	Predicted	1	PF08709	PF02815;PF08709	2		InterPro																		Eukaryota	Metazoa	Chordata	Amphibia	Anura	Ranidae	Aquarana	Vertebrata		
A0A2G9SGL6	RYR	high	architecture and profile both call RYR	both	RYR	RYR	medium	461.2	2242.0	0.7943	interpro+calibration+sweep	InterPro	AB205_0030420	EF-hand domain-containing protein	Aquarana catesbeiana (American bullfrog) (Rana catesbeiana)	8400	Vertebrata	Metazoa	Chordata	Amphibia	Anura	Ranidae	1286	0	fragment	0	Predicted	0	PF08454	PF00520;PF06459;PF08454	2	PF06459	InterPro																		Eukaryota	Metazoa	Chordata	Amphibia	Anura	Ranidae	Aquarana	Vertebrata		
A0A2G9SHC2	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	629.6	0.0	1.0	interpro+calibration+sweep	InterPro	AB205_0049610	RIH domain-containing protein	Aquarana catesbeiana (American bullfrog) (Rana catesbeiana)	8400	Vertebrata	Metazoa	Chordata	Amphibia	Anura	Ranidae	446	0	fragment	0	Predicted	1	PF01365	PF01365	1		InterPro																		Eukaryota	Metazoa	Chordata	Amphibia	Anura	Ranidae	Aquarana	Vertebrata		
A0A2G9SIY0	unassigned	none	neither instrument calls it	neither	unassigned	unassigned	none	153.8	25.6	0.8336	interpro+calibration+sweep	InterPro	AB205_0049620	MIR domain-containing protein	Aquarana catesbeiana (American bullfrog) (Rana catesbeiana)	8400	Vertebrata	Metazoa	Chordata	Amphibia	Anura	Ranidae	85	0	fragment	0	Predicted	1	PF08709	PF08709	1		InterPro																		Eukaryota	Metazoa	Chordata	Amphibia	Anura	Ranidae	Aquarana	Vertebrata		
A0A2G9SJB8	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	732.6	81.7	0.8885	interpro+calibration+sweep	InterPro	AB205_0049600	RyR/IP3R Homology associated domain-containing protein	Aquarana catesbeiana (American bullfrog) (Rana catesbeiana)	8400	Vertebrata	Metazoa	Chordata	Amphibia	Anura	Ranidae	600	0	fragment	0	Predicted	1	PF08454	PF08454	1		InterPro																		Eukaryota	Metazoa	Chordata	Amphibia	Anura	Ranidae	Aquarana	Vertebrata		
A0A2G9T6P5	unassigned	none	neither instrument called it	none	unassigned	unassigned	none	57.9	22.2	0.6166	interpro+calibration	InterPro	TELCIR_25044	RIH domain-containing protein	Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta)	45464	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	79	0	fragment	0	Predicted	1	PF01365	PF01365	1		InterPro											unassigned	none	metazoa_nonvert	57.9	0.0	1.0	module	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	Teladorsagia	Metazoa (non-vertebrate)		
A0A2G9T7F7	unassigned	none	neither instrument called it	none	unassigned	unassigned	none	56.6	22.2	0.6078	interpro+calibration	InterPro	TELCIR_25182	RIH domain-containing protein	Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta)	45464	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	78	0	fragment	0	Predicted	1	PF01365	PF01365	1		InterPro											unassigned	none	metazoa_nonvert	56.6	0.0	1.0	module	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	Teladorsagia	Metazoa (non-vertebrate)		
A0A2G9TBZ2	unassigned	none	neither instrument called it	none	unassigned	unassigned	none	0.0	85.2	1.0	interpro+calibration	InterPro	TELCIR_23715	Inositol 1,4,5-trisphosphate/ryanodine receptor domain-containing protein	Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta)	45464	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	90	0	fragment	0	Predicted	1	PF08709	PF08709	1		InterPro											unassigned	none	metazoa_nonvert	0.0	85.2	1.0	module	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	Teladorsagia	Metazoa (non-vertebrate)		
A0A2G9TD11	unassigned	none	neither instrument called it	none	unassigned	unassigned	none	0.0	153.5	1.0	interpro+calibration	InterPro	TELCIR_23202	RIH domain-containing protein	Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta)	45464	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	142	0	fragment	0	Predicted	1	PF01365	PF01365	1		InterPro											unassigned	none	metazoa_nonvert	0.0	153.5	1.0	module	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	Teladorsagia	Metazoa (non-vertebrate)		
A0A2G9THF2	ITPR	high	census v4 and the S20 sweep both call ITPR	v4+s20	unassigned	ITPR	medium	260.0	0.0	1.0	interpro+calibration	InterPro	TELCIR_21187	RIH domain protein	Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta)	45464	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	294	0	fragment	0	Predicted	1	PF01365	PF01365	1		InterPro											ITPR	medium	metazoa_nonvert	260.0	0.0	1.0	partial	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	Teladorsagia	Metazoa (non-vertebrate)		
A0A2G9THP8	unassigned	none	neither instrument called it	none	unassigned	unassigned	none	81.9	0.0	1.0	interpro+calibration	InterPro	TELCIR_21125	RIH domain-containing protein	Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta)	45464	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	77	0	fragment	0	Predicted	1	PF01365	PF01365	1		InterPro											unassigned	none	metazoa_nonvert	81.9	0.0	1.0	module	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	Teladorsagia	Metazoa (non-vertebrate)		
A0A2G9TLI0	ITPR	high	census v4 and the S20 sweep both call ITPR	v4+s20	unassigned	ITPR	medium	193.8	0.0	1.0	interpro+calibration	InterPro	TELCIR_20235	RIH domain-containing protein	Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta)	45464	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	284	0	fragment	0	Predicted	1	PF01365	PF01365	1		InterPro											ITPR	medium	metazoa_nonvert	193.8	0.0	1.0	partial	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	Teladorsagia	Metazoa (non-vertebrate)		
A0A2G9TMH0	ITPR	high	census v4 and the S20 sweep both call ITPR	v4+s20	unassigned	ITPR	medium	303.4	44.0	0.855	interpro+calibration	InterPro	TELCIR_19369	Inositol 1,4,5-trisphosphate receptor	Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta)	45464	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	257	0	fragment	0	Inferred from homology	1	PF08709	PF08709	1		InterPro											ITPR	medium	metazoa_nonvert	303.4	44.0	0.855	partial	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	Teladorsagia	Metazoa (non-vertebrate)		
A0A2G9TNV7	ITPR	high	census v4 and the S20 sweep both call ITPR	v4+s20	unassigned	ITPR	medium	299.4	0.0	1.0	interpro+calibration	InterPro	TELCIR_18849	RIH domain protein	Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta)	45464	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	462	0	fragment	0	Predicted	1	PF01365	PF01365	1		InterPro											ITPR	medium	metazoa_nonvert	299.4	0.0	1.0	partial	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	Teladorsagia	Metazoa (non-vertebrate)		
A0A2G9TSN8	ITPR	high	census v4 and the S20 sweep both call ITPR	v4+s20	unassigned	ITPR	medium	569.6	84.6	0.8515	interpro+calibration	InterPro	TELCIR_17468	RyR/IP3R Homology associated domain-containing protein	Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta)	45464	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	499	0	fragment	0	Predicted	1	PF08454	PF00520;PF08454	2		InterPro											ITPR	medium	metazoa_nonvert	569.6	84.6	0.8515	partial	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	Teladorsagia	Metazoa (non-vertebrate)		
A0A2G9TYF0	ITPR	high	census v4 and the S20 sweep both call ITPR	v4+s20	unassigned	ITPR	medium	264.0	31.1	0.8822	interpro+calibration	InterPro	TELCIR_15373	Inositol 1,4,5-trisphosphate receptor	Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta)	45464	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	215	0	fragment	0	Inferred from homology	1	PF08709	PF08709	1		InterPro											ITPR	medium	metazoa_nonvert	264.0	31.1	0.8822	partial	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	Teladorsagia	Metazoa (non-vertebrate)		
A0A2G9TZK7	unassigned	none	neither instrument called it	none	unassigned	unassigned	none	218.1	46.7	0.7859	interpro+calibration	InterPro	TELCIR_14930	Inositol 1,4,5-trisphosphate receptor	Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta)	45464	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	207	0		0	Inferred from homology	1	PF08709	PF02815;PF08709	2		InterPro											unassigned	none	metazoa_nonvert	218.1	46.7	0.7859	module	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	Teladorsagia	Metazoa (non-vertebrate)		
A0A2G9TZZ6	ITPR	high	census v4 and the S20 sweep both call ITPR	v4+s20	unassigned	ITPR	medium	319.2	45.2	0.8584	interpro+calibration	InterPro	TELCIR_14911	RyR/IP3R Homology associated domain-containing protein	Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta)	45464	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	401	0	fragment	0	Predicted	1	PF08454	PF08454	1		InterPro											ITPR	medium	metazoa_nonvert	319.2	45.2	0.8584	partial	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	Teladorsagia	Metazoa (non-vertebrate)		
A0A2G9U2U5	RYR	high	census v4 and the S20 sweep both call RYR	v4+s20	RYR	RYR	medium	0.0	483.7	1.0	interpro+calibration	InterPro	TELCIR_13773	RyR domain protein	Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta)	45464	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	360	0		0	Predicted	1	PF01365	PF00622;PF01365;PF02026	1	PF00622;PF02026	InterPro											RYR	medium	metazoa_nonvert	0.0	483.7	1.0	partial	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	Teladorsagia	Metazoa (non-vertebrate)		
A0A2G9U3T6	RYR	high	census v4 and the S20 sweep both call RYR	v4+s20	RYR	RYR	medium	120.9	1127.0	0.8927	interpro+calibration	InterPro	TELCIR_13418	EF hand	Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta)	45464	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	962	0	fragment	0	Predicted	1	PF08454	PF06459;PF08454;PF13499	1	PF06459	InterPro											RYR	medium	metazoa_nonvert	120.9	1127.0	0.8927	partial	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	Teladorsagia	Metazoa (non-vertebrate)		
A0A2G9U3V0	RYR	high	census v4 and the S20 sweep both call RYR	v4+s20	RYR	RYR	medium	76.0	1019.5	0.9255	interpro+calibration	InterPro	TELCIR_13400	MIR domain protein	Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta)	45464	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	777	0		0	Predicted	1	PF01365	PF00622;PF01365;PF02026;PF02815	2	PF00622;PF02026	InterPro											RYR	medium	metazoa_nonvert	76.0	1019.5	0.9255	partial	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	Teladorsagia	Metazoa (non-vertebrate)		
A0A2G9U492	ITPR	high	census v4 and the S20 sweep both call ITPR	v4+s20	unassigned	ITPR	medium	682.0	22.5	0.967	interpro+calibration	InterPro	TELCIR_13280	RIH domain protein	Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta)	45464	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	1020	0	fragment	0	Predicted	1	PF01365	PF01365	1		InterPro											ITPR	medium	metazoa_nonvert	682.0	0.0	1.0	partial	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	Teladorsagia	Metazoa (non-vertebrate)		
A0A2G9U539	RYR	high	census v4 and the S20 sweep both call RYR	v4+s20	unassigned	RYR	medium	46.5	485.7	0.9043	interpro+calibration	InterPro	TELCIR_12971	RIH domain protein	Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta)	45464	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	327	0		0	Predicted	1	PF01365	PF01365	1		InterPro											RYR	medium	metazoa_nonvert	46.5	485.7	0.9043	partial	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	Teladorsagia	Metazoa (non-vertebrate)		
A0A2G9U7Y1	RYR	high	census v4 and the S20 sweep both call RYR	v4+s20	unassigned	RYR	medium	28.4	263.8	0.8923	interpro+calibration	InterPro	TELCIR_11993	Inositol 1,4,5-trisphosphate/ryanodine receptor	Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta)	45464	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	240	0		0	Predicted	1	PF08709	PF08709	1		InterPro											RYR	medium	metazoa_nonvert	0.0	263.8	1.0	partial	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	Teladorsagia	Metazoa (non-vertebrate)		
A0A2H4QG92	RYR	high	architecture and profile both call RYR	both	RYR	RYR	high	710.2	7051.6	0.8993	interpro+calibration	InterPro	RyR1	Ryanodine receptor 1	Adoxophyes orana (Summer fruit tortrix moth)	480707	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Lepidoptera	Tortricidae	5113	0		0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	InterPro																		Eukaryota	Metazoa	Arthropoda	Insecta	Lepidoptera	Tortricidae	Adoxophyes	Metazoa (non-vertebrate)		
A0A2H4QGA9	RYR	high	architecture and profile both call RYR	both	RYR	RYR	high	710.2	7052.5	0.8993	interpro+calibration	InterPro	RyR2	Ryanodine receptor 2	Adoxophyes orana (Summer fruit tortrix moth)	480707	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Lepidoptera	Tortricidae	5113	0		0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	InterPro																		Eukaryota	Metazoa	Arthropoda	Insecta	Lepidoptera	Tortricidae	Adoxophyes	Metazoa (non-vertebrate)		
A0A2I0LNL5	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4057.5	411.5	0.8986	interpro+calibration+sweep	InterPro	ITPR3	Inositol 1,4,5-trisphosphate receptor	Columba livia (Rock dove)	8932	Vertebrata	Metazoa	Chordata	Aves	Columbiformes	Columbidae	2664	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		InterPro																		Eukaryota	Metazoa	Chordata	Aves	Columbiformes	Columbidae	Columba	Vertebrata		
A0A2I0M9R2	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	3030.4	162.4	0.9464	interpro+calibration+sweep	InterPro	ITPR1	Inositol 1,4,5-trisphosphate receptor	Columba livia (Rock dove)	8932	Vertebrata	Metazoa	Chordata	Aves	Columbiformes	Columbidae	1897	0		0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		InterPro																		Eukaryota	Metazoa	Chordata	Aves	Columbiformes	Columbidae	Columba	Vertebrata		
A0A2I0MKC8	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4128.5	444.4	0.8924	interpro+calibration+sweep	InterPro	ITPR2	Inositol 1,4,5-trisphosphate receptor	Columba livia (Rock dove)	8932	Vertebrata	Metazoa	Chordata	Aves	Columbiformes	Columbidae	2638	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		InterPro																		Eukaryota	Metazoa	Chordata	Aves	Columbiformes	Columbidae	Columba	Vertebrata		
A0A2I0MP97	RYR	high	architecture and profile both call RYR	both	RYR	RYR	high	372.5	6651.6	0.944	interpro+calibration+sweep	InterPro	RYR3	Ryanodine receptor 3	Columba livia (Rock dove)	8932	Vertebrata	Metazoa	Chordata	Aves	Columbiformes	Columbidae	3949	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00622;PF01365;PF02026;PF02815;PF08454;PF08709;PF21119	4	PF00622;PF02026;PF21119	InterPro																		Eukaryota	Metazoa	Chordata	Aves	Columbiformes	Columbidae	Columba	Vertebrata		
A0A2I0MVC2	RYR	high	architecture and profile both call RYR	both	RYR	RYR	high	742.8	8477.5	0.9124	interpro+calibration+sweep	InterPro	RYR2	Ryanodine receptor 2 (Cardiac)	Columba livia (Rock dove)	8932	Vertebrata	Metazoa	Chordata	Aves	Columbiformes	Columbidae	4959	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF13499;PF21119	5	PF00622;PF02026;PF06459;PF21119	InterPro																		Eukaryota	Metazoa	Chordata	Aves	Columbiformes	Columbidae	Columba	Vertebrata		
A0A2I0T407	unassigned	none	neither instrument calls it	neither	unassigned	unassigned	none	261.2	0.0	1.0	interpro+calibration+sweep	InterPro	llap_21163	RyR/IP3R Homology associated domain-containing protein	Limosa lapponica baueri	1758121	Vertebrata	Metazoa	Chordata	Aves	Charadriiformes	Scolopacidae	190	0		0	Predicted	1	PF08454	PF08454	1		InterPro																		Eukaryota	Metazoa	Chordata	Aves	Charadriiformes	Scolopacidae	Limosa	Vertebrata		
