label	accession	organism	vclass	vorder	cell	locus_idx	status	contig	start	end	span_bp	identity	coverage	bait	bait_paralog	annot_gene	annot_paralog	has_gene_table
Cisticola_juncidis|GCA_013400215.1|ITPR2.0	GCA_013400215.1	Cisticola juncidis	Aves	Passeriformes	ITPR2	0	found_unannotated	VXBR01000324.1	451987	664734	212747	0.9798	0.9885	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2			1
Cisticola_juncidis|GCA_013400215.1|ITPR3.0	GCA_013400215.1	Cisticola juncidis	Aves	Passeriformes	ITPR3	0	found_annotated	VXBR01010904.1	32883	72262	39379	0.9853	0.9895	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	ITPR3	Itpr3	ITPR3	1
Cisticola_juncidis|GCA_013400215.1|RYR.0	GCA_013400215.1	Cisticola juncidis	Aves	Passeriformes	RYR	0	found_annotated	VXBR01009377.1	36364	405242	368878	0.9756	0.9974	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2	Ryr2	RYR2	1
Cisticola_juncidis|GCA_013400215.1|RYR.1	GCA_013400215.1	Cisticola juncidis	Aves	Passeriformes	RYR	1	found_annotated	VXBR01005532.1	2477378	2666572	189194	0.6763	1.0000	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1			1
Scytalopus_superciliaris|GCA_013400415.1|ITPR1.0	GCA_013400415.1	Scytalopus superciliaris	Aves	Passeriformes	ITPR1	0	found_annotated	VXBX01005888.1	25951	155460	129509	0.9867	0.9705	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	ITPR1	SCYSUP_R07630		1
Scytalopus_superciliaris|GCA_013400415.1|ITPR2.0	GCA_013400415.1	Scytalopus superciliaris	Aves	Passeriformes	ITPR2	0	found_unannotated	VXBX01000030.1	39	204989	204950	0.9765	0.9137	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2			1
Scytalopus_superciliaris|GCA_013400415.1|ITPR3.0	GCA_013400415.1	Scytalopus superciliaris	Aves	Passeriformes	ITPR3	0	found_annotated	VXBX01001803.1	124156	158478	34322	0.9854	1.0000	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	ITPR3	Itpr3	ITPR3	1
Scytalopus_superciliaris|GCA_013400415.1|RYR.0	GCA_013400415.1	Scytalopus superciliaris	Aves	Passeriformes	RYR	0	found_unannotated	VXBX01009827.1	154	174938	174784	0.9703	0.8831	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			1
Scytalopus_superciliaris|GCA_013400415.1|RYR.1	GCA_013400415.1	Scytalopus superciliaris	Aves	Passeriformes	RYR	1	found_unannotated	VXBX01004616.1	1983150	2199773	216623	0.6811	1.0000	Q92736|RYR2|Homo_sapiens|RYR2	RYR2			1
Leiothrix_lutea|GCA_013400445.1|ITPR2.0	GCA_013400445.1	Leiothrix lutea	Aves	Passeriformes	ITPR2	0	found_unannotated	VXBY01000177.1	219864	466848	246984	0.9819	1.0000	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2			1
Leiothrix_lutea|GCA_013400445.1|ITPR3.0	GCA_013400445.1	Leiothrix lutea	Aves	Passeriformes	ITPR3	0	found_annotated	VXBY01000669.1	42710	178492	135782	0.9914	1.0000	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	ITPR3	Itpr3	ITPR3	1
Leiothrix_lutea|GCA_013400445.1|RYR.0	GCA_013400445.1	Leiothrix lutea	Aves	Passeriformes	RYR	0	found_unannotated	VXBY01000496.1	123605	435872	312267	0.9774	0.7107	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			1
Leiothrix_lutea|GCA_013400445.1|RYR.1	GCA_013400445.1	Leiothrix lutea	Aves	Passeriformes	RYR	1	found_unannotated	VXBY01003370.1	3917	70232	66315	0.6541	0.5405	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal	vertebrate_basal			1
Leiothrix_lutea|GCA_013400445.1|RYR.2	GCA_013400445.1	Leiothrix lutea	Aves	Passeriformes	RYR	2	found_unannotated	VXBY01001508.1	798	71457	70659	0.6901	0.3073	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal	vertebrate_basal			1
Leiothrix_lutea|GCA_013400445.1|RYR.3	GCA_013400445.1	Leiothrix lutea	Aves	Passeriformes	RYR	3	found_unannotated	VXBY01000171.1	731473	765738	34265	0.6707	0.2805	H3BGR5|RYR|Latimeria_chalumnae	RYR			1
Erpornis_zantholeuca|GCA_013400515.1|ITPR1.0	GCA_013400515.1	Erpornis zantholeuca	Aves	Passeriformes	ITPR1	0	found_annotated	VZTN01006051.1	6019	214857	208838	0.9842	1.0000	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	ITPR1	ERPZAN_R11818		1
Erpornis_zantholeuca|GCA_013400515.1|ITPR2.0	GCA_013400515.1	Erpornis zantholeuca	Aves	Passeriformes	ITPR2	0	found_unannotated	VZTN01005749.1	81967	296151	214184	0.9805	0.9885	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2			1
Erpornis_zantholeuca|GCA_013400515.1|ITPR3.0	GCA_013400515.1	Erpornis zantholeuca	Aves	Passeriformes	ITPR3	0	found_annotated	VZTN01001861.1	496957	543264	46307	0.9954	1.0000	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	ITPR3	Itpr3	ITPR3	1
Erpornis_zantholeuca|GCA_013400515.1|RYR.0	GCA_013400515.1	Erpornis zantholeuca	Aves	Passeriformes	RYR	0	assembly_gap	VZTN01021505.1	391	32288	31897	0.8941	0.3158	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			1
Erpornis_zantholeuca|GCA_013400515.1|RYR.1	GCA_013400515.1	Erpornis zantholeuca	Aves	Passeriformes	RYR	1	assembly_gap	VZTN01020667.1	3134	52172	49038	0.6913	0.2856	H3BGR5|RYR|Latimeria_chalumnae	RYR			1
Erpornis_zantholeuca|GCA_013400515.1|RYR.2	GCA_013400515.1	Erpornis zantholeuca	Aves	Passeriformes	RYR	2	assembly_gap	VZTN01007637.1	596	7722	7126	0.6440	0.2355	H3BGR5|RYR|Latimeria_chalumnae	RYR			1
Erpornis_zantholeuca|GCA_013400515.1|RYR.3	GCA_013400515.1	Erpornis zantholeuca	Aves	Passeriformes	RYR	3	assembly_gap	VZTN01004341.1	877	40262	39385	0.9578	0.1330	A0A3Q0HBW9|RYR|Alligator_sinensis	RYR			1
Erpornis_zantholeuca|GCA_013400515.1|RYR.4	GCA_013400515.1	Erpornis zantholeuca	Aves	Passeriformes	RYR	4	assembly_gap	VZTN01004512.1	6359	17340	10981	0.9198	0.1252	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			1
Chloropsis_cyanopogon|GCA_013400585.1|ITPR1.0	GCA_013400585.1	Chloropsis cyanopogon	Aves	Passeriformes	ITPR1	0	found_unannotated	WEZZ01015506.1	399273	553190	153917	0.9845	1.0000	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	ITPR1			1
Chloropsis_cyanopogon|GCA_013400585.1|ITPR2.0	GCA_013400585.1	Chloropsis cyanopogon	Aves	Passeriformes	ITPR2	0	found_unannotated	WEZZ01021076.1	268745	484547	215802	0.9790	0.9885	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2			1
Chloropsis_cyanopogon|GCA_013400585.1|ITPR3.0	GCA_013400585.1	Chloropsis cyanopogon	Aves	Passeriformes	ITPR3	0	found_annotated	WEZZ01019221.1	51647	92346	40699	0.9899	1.0000	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	ITPR3	CHLCYA_R08772		1
Chloropsis_cyanopogon|GCA_013400585.1|RYR.0	GCA_013400585.1	Chloropsis cyanopogon	Aves	Passeriformes	RYR	0	assembly_gap	WEZZ01037339.1	1846	15504	13658	0.6839	0.1860	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1			1
Chloropsis_cyanopogon|GCA_013400585.1|RYR.1	GCA_013400585.1	Chloropsis cyanopogon	Aves	Passeriformes	RYR	1	assembly_gap	WEZZ01034000.1	1103	20261	19158	0.7386	0.1448	A0A3Q0HBW9|RYR|Alligator_sinensis	RYR			1
Chloropsis_cyanopogon|GCA_013400585.1|RYR.2	GCA_013400585.1	Chloropsis cyanopogon	Aves	Passeriformes	RYR	2	assembly_gap	WEZZ01001230.1	146	12233	12087	0.5460	0.2215	H3BGR5|RYR|Latimeria_chalumnae	RYR			1
Chloropsis_cyanopogon|GCA_013400585.1|RYR.3	GCA_013400585.1	Chloropsis cyanopogon	Aves	Passeriformes	RYR	3	assembly_gap	WEZZ01009356.1	60	14281	14221	0.9723	0.1017	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			1
Chloropsis_cyanopogon|GCA_013400585.1|RYR.4	GCA_013400585.1	Chloropsis cyanopogon	Aves	Passeriformes	RYR	4	assembly_gap	WEZZ01003677.1	324	10441	10117	0.6079	0.1318	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1			1
Hypocryptadius_cinnamomeus|GCA_013400635.1|ITPR3.0	GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	Passeriformes	ITPR3	0	found_annotated	VYZP01027902.1	2862	41482	38620	0.9973	1.0000	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	ITPR3	Itpr3	ITPR3	1
Hypocryptadius_cinnamomeus|GCA_013400635.1|RYR.0	GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	Passeriformes	RYR	0	assembly_gap	VYZP01073347.1	429	10270	9841	0.5834	0.1935	H3BGR5|RYR|Latimeria_chalumnae	RYR			1
Mystacornis_crossleyi|GCA_013400655.1|ITPR2.0	GCA_013400655.1	Mystacornis crossleyi	Aves	Passeriformes	ITPR2	0	found_annotated	VYZQ01028303.1	5218	157139	151921	0.9238	0.7374	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2	MYSCRO_R00249		1
Mystacornis_crossleyi|GCA_013400655.1|ITPR2.1	GCA_013400655.1	Mystacornis crossleyi	Aves	Passeriformes	ITPR2	1	found_annotated	VYZQ01003708.1	258	42532	42274	0.7883	0.2007	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	ITPR2			1
Mystacornis_crossleyi|GCA_013400655.1|RYR.0	GCA_013400655.1	Mystacornis crossleyi	Aves	Passeriformes	RYR	0	assembly_gap	VYZQ01013846.1	365	26448	26083	0.6264	0.1181	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1			1
Mystacornis_crossleyi|GCA_013400655.1|RYR.1	GCA_013400655.1	Mystacornis crossleyi	Aves	Passeriformes	RYR	1	assembly_gap	VYZQ01059422.1	292	11092	10800	0.4739	0.1606	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			1
Oxylabes_madagascariensis|GCA_013400675.1|ITPR2.0	GCA_013400675.1	Oxylabes madagascariensis	Aves	Passeriformes	ITPR2	0	assembly_gap	VYZR01059318.1	576	96478	95902	0.6387	0.3204	F1P1X4|ITPR2|Gallus_gallus|ITPR2	ITPR2			1
Oxylabes_madagascariensis|GCA_013400675.1|ITPR2.1	GCA_013400675.1	Oxylabes madagascariensis	Aves	Passeriformes	ITPR2	1	assembly_gap	VYZR01120155.1	11203	25176	13973	0.9725	0.1344	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2	Itpr2	ITPR2	1
Oxylabes_madagascariensis|GCA_013400675.1|ITPR2.2	GCA_013400675.1	Oxylabes madagascariensis	Aves	Passeriformes	ITPR2	2	assembly_gap	VYZR01028793.1	1171	15774	14603	0.7996	0.1267	F1P1X4|ITPR2|Gallus_gallus|ITPR2	ITPR2			1
Oxylabes_madagascariensis|GCA_013400675.1|ITPR3.0	GCA_013400675.1	Oxylabes madagascariensis	Aves	Passeriformes	ITPR3	0	assembly_gap	VYZR01384315.1	48	3294	3246	0.9914	0.1734	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	ITPR3			1
Oxylabes_madagascariensis|GCA_013400675.1|ITPR3.1	GCA_013400675.1	Oxylabes madagascariensis	Aves	Passeriformes	ITPR3	1	assembly_gap	VYZR01385930.1	3	3840	3837	1.0000	0.1479	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	ITPR3	Itpr3_1	ITPR3	1
Oxylabes_madagascariensis|GCA_013400675.1|ITPR3.2	GCA_013400675.1	Oxylabes madagascariensis	Aves	Passeriformes	ITPR3	2	assembly_gap	VYZR01373897.1	3	2075	2072	0.9895	0.1067	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	ITPR3			1
Oxylabes_madagascariensis|GCA_013400675.1|RYR.0	GCA_013400675.1	Oxylabes madagascariensis	Aves	Passeriformes	RYR	0	assembly_gap	VYZR01046489.1	6585	36193	29608	0.5216	0.2806	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal	vertebrate_basal			1
Oxylabes_madagascariensis|GCA_013400675.1|RYR.1	GCA_013400675.1	Oxylabes madagascariensis	Aves	Passeriformes	RYR	1	assembly_gap	VYZR01019161.1	263	36830	36567	0.7589	0.1111	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			1
Oxylabes_madagascariensis|GCA_013400675.1|RYR.2	GCA_013400675.1	Oxylabes madagascariensis	Aves	Passeriformes	RYR	2	assembly_gap	VYZR01021997.1	1834	11704	9870	0.6243	0.1109	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			1
Oxylabes_madagascariensis|GCA_013400675.1|RYR.3	GCA_013400675.1	Oxylabes madagascariensis	Aves	Passeriformes	RYR	3	assembly_gap	VYZR01032298.1	3	3353	3350	0.5184	0.1010	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal	vertebrate_basal			1
Neodrepanis_coruscans|GCA_013400695.1|ITPR2.0	GCA_013400695.1	Neodrepanis coruscans	Aves	Passeriformes	ITPR2	0	fragment	VYZS01089185.1	12126	33093	20967	0.9743	0.1870	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2	Itpr2	ITPR2	1
Neodrepanis_coruscans|GCA_013400695.1|ITPR2.1	GCA_013400695.1	Neodrepanis coruscans	Aves	Passeriformes	ITPR2	1	fragment	VYZS01106126.1	1228	55975	54747	0.9630	0.1700	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2			1
Neodrepanis_coruscans|GCA_013400695.1|ITPR3.0	GCA_013400695.1	Neodrepanis coruscans	Aves	Passeriformes	ITPR3	0	assembly_gap	VYZS01345020.1	186	2499	2313	0.9805	0.1345	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	ITPR3			1
Neodrepanis_coruscans|GCA_013400695.1|ITPR3.1	GCA_013400695.1	Neodrepanis coruscans	Aves	Passeriformes	ITPR3	1	assembly_gap	VYZS01345552.1	30	2531	2501	0.9722	0.1351	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	ITPR3			1
Neodrepanis_coruscans|GCA_013400695.1|ITPR3.2	GCA_013400695.1	Neodrepanis coruscans	Aves	Passeriformes	ITPR3	2	assembly_gap	VYZS01347926.1	27	2951	2924	0.9810	0.1182	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	ITPR3			1
Neodrepanis_coruscans|GCA_013400695.1|ITPR3.3	GCA_013400695.1	Neodrepanis coruscans	Aves	Passeriformes	ITPR3	3	assembly_gap	VYZS01335199.1	110	1757	1647	0.9333	0.1013	A0A6J0TV85|ITPR3|Pogona_vitticeps	ITPR3			1
Neodrepanis_coruscans|GCA_013400695.1|RYR.0	GCA_013400695.1	Neodrepanis coruscans	Aves	Passeriformes	RYR	0	assembly_gap	VYZS01026334.1	165	34809	34644	0.5349	0.2589	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal	vertebrate_basal			1
Neodrepanis_coruscans|GCA_013400695.1|RYR.1	GCA_013400695.1	Neodrepanis coruscans	Aves	Passeriformes	RYR	1	assembly_gap	VYZS01020745.1	596	21559	20963	0.6506	0.1152	H3BGR5|RYR|Latimeria_chalumnae	RYR			1
Pomatostomus_ruficeps|GCA_013400735.1|ITPR2.0	GCA_013400735.1	Pomatostomus ruficeps	Aves	Passeriformes	ITPR2	0	assembly_gap	VYZT01016493.1	3485	94271	90786	0.9808	0.5607	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2			1
Pomatostomus_ruficeps|GCA_013400735.1|ITPR3.0	GCA_013400735.1	Pomatostomus ruficeps	Aves	Passeriformes	ITPR3	0	found_annotated	VYZT01008480.1	5930	49793	43863	0.9668	1.0000	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	ITPR3	Itpr3	ITPR3	1
Pomatostomus_ruficeps|GCA_013400735.1|RYR.0	GCA_013400735.1	Pomatostomus ruficeps	Aves	Passeriformes	RYR	0	assembly_gap	VYZT01023010.1	472	34436	33964	0.9840	0.2017	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			1
Pomatostomus_ruficeps|GCA_013400735.1|RYR.1	GCA_013400735.1	Pomatostomus ruficeps	Aves	Passeriformes	RYR	1	assembly_gap	VYZT01017135.1	5530	83035	77505	0.9508	0.1915	A0A3Q0HBW9|RYR|Alligator_sinensis	RYR			1
Pomatostomus_ruficeps|GCA_013400735.1|RYR.2	GCA_013400735.1	Pomatostomus ruficeps	Aves	Passeriformes	RYR	2	assembly_gap	VYZT01044222.1	1038	20058	19020	0.7549	0.1109	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			1
Pomatostomus_ruficeps|GCA_013400735.1|RYR.3	GCA_013400735.1	Pomatostomus ruficeps	Aves	Passeriformes	RYR	3	assembly_gap	VYZT01004917.1	390	5672	5282	0.5483	0.1616	H3BGR5|RYR|Latimeria_chalumnae	RYR			1
Centropus_bengalensis|GCA_013400815.1|ITPR1.0	GCA_013400815.1	Centropus bengalensis	Aves	Cuculiformes	ITPR1	0	assembly_gap	WBNK01000178.1	3	77066	77063	0.9906	0.5002	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	ITPR1			1
Centropus_bengalensis|GCA_013400815.1|ITPR2.0	GCA_013400815.1	Centropus bengalensis	Aves	Cuculiformes	ITPR2	0	found_unannotated	WBNK01000445.1	319066	572691	253625	0.9848	1.0000	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2			1
Centropus_bengalensis|GCA_013400815.1|ITPR3.0	GCA_013400815.1	Centropus bengalensis	Aves	Cuculiformes	ITPR3	0	found_annotated	WBNK01000718.1	263841	293005	29164	0.9833	0.9655	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	ITPR3	CENBEN_R07917		1
Centropus_bengalensis|GCA_013400815.1|RYR.0	GCA_013400815.1	Centropus bengalensis	Aves	Cuculiformes	RYR	0	found_annotated	WBNK01000420.1	54288	381567	327279	0.9740	1.0000	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2	CENBEN_R03704		1
Centropus_bengalensis|GCA_013400815.1|RYR.1	GCA_013400815.1	Centropus bengalensis	Aves	Cuculiformes	RYR	1	found_annotated	WBNK01000174.1	122183	311755	189572	0.6681	1.0000	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1			1
Buphagus_erythrorhynchus|GCA_013400855.1|ITPR2.0	GCA_013400855.1	Buphagus erythrorhynchus	Aves	Passeriformes	ITPR2	0	assembly_gap	VZTT01023994.1	4807	131976	127169	0.8931	0.5981	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2			1
Buphagus_erythrorhynchus|GCA_013400855.1|ITPR2.1	GCA_013400855.1	Buphagus erythrorhynchus	Aves	Passeriformes	ITPR2	1	assembly_gap	VZTT01070297.1	2862	48907	46045	0.9724	0.2278	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2			1
Buphagus_erythrorhynchus|GCA_013400855.1|RYR.0	GCA_013400855.1	Buphagus erythrorhynchus	Aves	Passeriformes	RYR	0	assembly_gap	VZTT01031201.1	622	16392	15770	0.8965	0.1558	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			1
Buphagus_erythrorhynchus|GCA_013400855.1|RYR.1	GCA_013400855.1	Buphagus erythrorhynchus	Aves	Passeriformes	RYR	1	assembly_gap	VZTT01043608.1	1260	16580	15320	0.7974	0.1232	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			1
Thalassarche_chlororhynchos|GCA_013400895.1|ITPR1.0	GCA_013400895.1	Thalassarche chlororhynchos	Aves	Procellariiformes	ITPR1	0	found_annotated	VZTW01023184.1	708	95169	94461	0.9914	0.7629	A0ABM4F3U0|ITPR1|Apteryx_mantelli	ITPR1	THACHL_R04200		1
Thalassarche_chlororhynchos|GCA_013400895.1|ITPR3.0	GCA_013400895.1	Thalassarche chlororhynchos	Aves	Procellariiformes	ITPR3	0	found_annotated	VZTW01014806.1	156093	272263	116170	0.9906	1.0000	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	ITPR3	Itpr3	ITPR3	1
Thalassarche_chlororhynchos|GCA_013400895.1|RYR.0	GCA_013400895.1	Thalassarche chlororhynchos	Aves	Procellariiformes	RYR	0	assembly_gap	VZTW01007999.1	3321	17356	14035	0.9641	0.1457	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			1
Thalassarche_chlororhynchos|GCA_013400895.1|RYR.1	GCA_013400895.1	Thalassarche chlororhynchos	Aves	Procellariiformes	RYR	1	assembly_gap	VZTW01007723.1	6395	14556	8161	0.6307	0.1045	H3BGR5|RYR|Latimeria_chalumnae	RYR			1
Pardalotus_punctatus|GCA_013400915.1|ITPR1.0	GCA_013400915.1	Pardalotus punctatus	Aves	Passeriformes	ITPR1	0	assembly_gap	VZTX01001947.1	930	28543	27613	0.9857	0.4538	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	ITPR1			1
Pardalotus_punctatus|GCA_013400915.1|ITPR2.0	GCA_013400915.1	Pardalotus punctatus	Aves	Passeriformes	ITPR2	0	assembly_gap	VZTX01002558.1	2785	67914	65129	0.9804	0.4722	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2			1
Pardalotus_punctatus|GCA_013400915.1|ITPR2.1	GCA_013400915.1	Pardalotus punctatus	Aves	Passeriformes	ITPR2	1	assembly_gap	VZTX01024490.1	8220	84550	76330	0.9714	0.3752	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2			1
Pardalotus_punctatus|GCA_013400915.1|ITPR3.0	GCA_013400915.1	Pardalotus punctatus	Aves	Passeriformes	ITPR3	0	assembly_gap	VZTX01008829.1	251	25358	25107	0.9951	0.6157	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	ITPR3			1
Pardalotus_punctatus|GCA_013400915.1|ITPR3.1	GCA_013400915.1	Pardalotus punctatus	Aves	Passeriformes	ITPR3	1	assembly_gap	VZTX01013977.1	5407	17179	11772	0.9836	0.2708	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	ITPR3			1
Pardalotus_punctatus|GCA_013400915.1|RYR.0	GCA_013400915.1	Pardalotus punctatus	Aves	Passeriformes	RYR	0	found_annotated	VZTX01026248.1	120870	495416	374546	0.9778	0.9976	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2	Ryr2	RYR2	1
Pardalotus_punctatus|GCA_013400915.1|RYR.1	GCA_013400915.1	Pardalotus punctatus	Aves	Passeriformes	RYR	1	found_annotated	VZTX01001965.1	1190075	1382051	191976	0.6753	1.0000	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1			1
Drymodes_brunneopygia|GCA_013400955.1|ITPR1.0	GCA_013400955.1	Drymodes brunneopygia	Aves	Passeriformes	ITPR1	0	found_unannotated	VZTZ01014074.1	2	100987	100985	0.9806	0.7060	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	ITPR1			1
Drymodes_brunneopygia|GCA_013400955.1|ITPR2.0	GCA_013400955.1	Drymodes brunneopygia	Aves	Passeriformes	ITPR2	0	assembly_gap	VZTZ01029620.1	9881	112950	103069	0.9704	0.6263	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2			1
Drymodes_brunneopygia|GCA_013400955.1|ITPR3.0	GCA_013400955.1	Drymodes brunneopygia	Aves	Passeriformes	ITPR3	0	found_annotated	VZTZ01042630.1	3037	31471	28434	0.9965	0.9652	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	ITPR3	Itpr3	ITPR3	1
Drymodes_brunneopygia|GCA_013400955.1|RYR.0	GCA_013400955.1	Drymodes brunneopygia	Aves	Passeriformes	RYR	0	found_annotated	VZTZ01040289.1	383272	605496	222224	0.9771	0.9764	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2	Ryr2_1	RYR2	1
Oreotrochilus_melanogaster|GCA_013400995.1|ITPR1.0	GCA_013400995.1	Oreotrochilus melanogaster	Aves	Apodiformes	ITPR1	0	assembly_gap	VZUB01000656.1	4273	51471	47198	0.9915	0.5934	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	ITPR1			1
Oreotrochilus_melanogaster|GCA_013400995.1|ITPR1.1	GCA_013400995.1	Oreotrochilus melanogaster	Aves	Apodiformes	ITPR1	1	assembly_gap	VZUB01000361.1	42477	108903	66426	0.9829	0.3818	A0ABM4F3U0|ITPR1|Apteryx_mantelli	ITPR1			1
Oreotrochilus_melanogaster|GCA_013400995.1|ITPR2.0	GCA_013400995.1	Oreotrochilus melanogaster	Aves	Apodiformes	ITPR2	0	found_unannotated	VZUB01003832.1	11401	169164	157763	0.9818	0.7311	F1P1X4|ITPR2|Gallus_gallus|ITPR2	ITPR2			1
Oreotrochilus_melanogaster|GCA_013400995.1|ITPR2.1	GCA_013400995.1	Oreotrochilus melanogaster	Aves	Apodiformes	ITPR2	1	found_unannotated	VZUB01000008.1	30872	108048	77176	0.9823	0.2581	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2			1
Oreotrochilus_melanogaster|GCA_013400995.1|ITPR3.0	GCA_013400995.1	Oreotrochilus melanogaster	Aves	Apodiformes	ITPR3	0	found_annotated	VZUB01029421.1	9078	47058	37980	0.9567	0.9655	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	ITPR3	OREMEL_R05684		1
Oreotrochilus_melanogaster|GCA_013400995.1|RYR.0	GCA_013400995.1	Oreotrochilus melanogaster	Aves	Apodiformes	RYR	0	assembly_gap	VZUB01000771.1	345	167403	167058	0.9632	0.5525	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			1
Oreotrochilus_melanogaster|GCA_013400995.1|RYR.1	GCA_013400995.1	Oreotrochilus melanogaster	Aves	Apodiformes	RYR	1	assembly_gap	VZUB01001848.1	8598	102362	93764	0.9731	0.4410	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	RYR2			1
Oreotrochilus_melanogaster|GCA_013400995.1|RYR.2	GCA_013400995.1	Oreotrochilus melanogaster	Aves	Apodiformes	RYR	2	assembly_gap	VZUB01001871.1	2752	109975	107223	0.7012	0.5959	Q92736|RYR2|Homo_sapiens|RYR2	RYR2			1
Horornis_vulcanius|GCA_013401035.1|ITPR2.0	GCA_013401035.1	Horornis vulcanius	Aves	Passeriformes	ITPR2	0	assembly_gap	VZUA01077436.1	18557	52407	33850	0.8941	0.1804	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2			1
Horornis_vulcanius|GCA_013401035.1|ITPR2.1	GCA_013401035.1	Horornis vulcanius	Aves	Passeriformes	ITPR2	1	assembly_gap	VZUA01068396.1	7987	15394	7407	0.8854	0.1519	A0A672UP22|ITPR2|Strigops_habroptila	ITPR2	HORVUL_R09685		1
