label	accession	organism	vclass	vorder	cell	locus_idx	status	window	n_flanks	scanned_up	scanned_down	n_informative	n_root_keys	in_matrix	keys_relaxed
Cololabis_saira|GCF_033807715.1|RYR.1	GCF_033807715.1	Cololabis saira	Actinopteri	Beloniformes	RYR	1	found_annotated	fixed10	20	10	10	12	12	0	CXXC5A;DNAJC18;GNG8;NFRK;NRG2A;PPP3C;PURA;RB1;RNF121;SLC6A7;TAF1;TMEM45B
Cololabis_saira|GCF_033807715.1|RYR.2	GCF_033807715.1	Cololabis saira	Actinopteri	Beloniformes	RYR	2	found_annotated	fixed10	20	10	10	1	1	1	ATP6V0A1B
Cololabis_saira|GCF_033807715.1|RYR.3	GCF_033807715.1	Cololabis saira	Actinopteri	Beloniformes	RYR	3	found_annotated	fixed10	20	10	10	8	8	0	ACP7;ARHGAP11A;CHRM5A;CRIM1;EIF2AK4;FSIP1;GCHFR;GREM1B
Cololabis_saira|GCF_033807715.1|RYR.4	GCF_033807715.1	Cololabis saira	Actinopteri	Beloniformes	RYR	4	found_annotated	fixed10	20	10	10	18	18	0	ABRACL;ACOT20;ACTC1A;AVEN;CHRM5B;CLU;EMC7B;FMN1;GPR176;GREM1A;HECA;KATNBL1;REPS1;SCARA3;SLC10A1;SRSF5B;SUSD6;THBS1B
Cololabis_saira|GCF_033807715.1|RYR.5	GCF_033807715.1	Cololabis saira	Actinopteri	Beloniformes	RYR	5	found_annotated	fixed10	20	10	10	14	14	0	ACTN2B;CCDC6A;CCSER2A;CHRM3A;DNAJC9;ECD;FAM149B1;FMN2A;GREM2A;NDNFL;P4HA1B;PHYHIPL;RGS7A;SPARCL2
Entelurus_aequoreus|GCF_033978785.1|ITPR1.0	GCF_033978785.1	Entelurus aequoreus	Actinopteri	Syngnathiformes	ITPR1	0	found_annotated	fixed10	20	10	10	7	7	1	ESYT1B;FAIM2B;NR1D4B;SLC4A8;SUMF1;TMT1A;ZC3H10
Entelurus_aequoreus|GCF_033978785.1|ITPR1.1	GCF_033978785.1	Entelurus aequoreus	Actinopteri	Syngnathiformes	ITPR1	1	found_annotated	fixed10	20	10	10	16	16	0	ARL6IP5A;ARL8B;AVPR2B;BHLHE40;FOXP1B;FRMD4B;GRM6B;LRRN1;MITF;MON1A;MST1R;PROK2;SEMA3F;SETMAR;TRAIP;TRNT1
Entelurus_aequoreus|GCF_033978785.1|ITPR2.0	GCF_033978785.1	Entelurus aequoreus	Actinopteri	Syngnathiformes	ITPR2	0	found_annotated	fixed10	20	10	10	13	13	1	BANP;BHLHE41;BMAL2;C1QTNF13;EEA1;KRAS;NR1H4;NUDT4A;PLEKHG7;PPFIBP1B;SLC17A8;SSPN;UBE2N
Entelurus_aequoreus|GCF_033978785.1|ITPR3.0	GCF_033978785.1	Entelurus aequoreus	Actinopteri	Syngnathiformes	ITPR3	0	found_annotated	fixed10	20	10	10	10	10	1	ABCD1;CCDC120A;HCFC1B;HM13;IRAK1;MECP2;MRGBP;PLXNB3;RFC2;SRPK3
Entelurus_aequoreus|GCF_033978785.1|RYR.0	GCF_033978785.1	Entelurus aequoreus	Actinopteri	Syngnathiformes	RYR	0	found_annotated	fixed10	20	10	10	12	12	1	ADOA;BMS1;DCXR;EGR2B;IPMK;JMJD1C;MTR;NAGLU;NRBF2B;REEP3B;RFNG;TFAM
Entelurus_aequoreus|GCF_033978785.1|RYR.1	GCF_033978785.1	Entelurus aequoreus	Actinopteri	Syngnathiformes	RYR	1	found_annotated	fixed10	20	10	10	10	10	0	B3GNT2L;BCKDH;EXOSC5;FNDC3A;HNRNPUL1;OPA3;PPP1R13L;RASGRP4;RCBTB2;TMEM91
Entelurus_aequoreus|GCF_033978785.1|RYR.2	GCF_033978785.1	Entelurus aequoreus	Actinopteri	Syngnathiformes	RYR	2	found_annotated	fixed10	20	10	10	2	2	0	NRG2A;PURA
Entelurus_aequoreus|GCF_033978785.1|RYR.3	GCF_033978785.1	Entelurus aequoreus	Actinopteri	Syngnathiformes	RYR	3	found_annotated	fixed10	20	10	10	3	3	0	GABRR3A;PCYT1B;PHLDB2A
Entelurus_aequoreus|GCF_033978785.1|RYR.4	GCF_033978785.1	Entelurus aequoreus	Actinopteri	Syngnathiformes	RYR	4	found_annotated	fixed10	20	10	10	13	13	0	ARF6B;ASPG;HIF1A;KIF26A;KTN1;LG03H14ORF180;MNAT1;MSH4;PRKCH;SIX4A;SLC38A6;TRMT5;VCPKMT
Entelurus_aequoreus|GCF_033978785.1|RYR.5	GCF_033978785.1	Entelurus aequoreus	Actinopteri	Syngnathiformes	RYR	5	found_annotated	fixed10	20	10	10	12	12	0	ABRACL;ACTC1A;CHRM5B;CLU;EMC7B;GPR176;KATNBL1;REPS1;SCARA3;SRSF5B;SUSD6;THBS1B
Entelurus_aequoreus|GCF_033978785.1|RYR.6	GCF_033978785.1	Entelurus aequoreus	Actinopteri	Syngnathiformes	RYR	6	found_annotated	fixed10	20	10	10	9	9	0	ACTN2B;CFAP36;CHRM3A;FAM13C;FMN2A;PHYHIPL;PPP4R3B;RGS7A;SLC16A9B
Leptosomus_discolor|GCF_034619465.1|ITPR1.0	GCF_034619465.1	Leptosomus discolor	Aves	Leptosomiformes	ITPR1	0	found_annotated	fixed10	20	10	10	17	17	1	ARL8B;BHLHE40;CAV3;CHL1;CNTN6;CRBN;EDEM1;GRM7;IL5RA;LMCD1;LRRN1;OXTR;RAD18;SRGAP3;SSUH2;SUMF1;TRNT1
Leptosomus_discolor|GCF_034619465.1|ITPR2.0	GCF_034619465.1	Leptosomus discolor	Aves	Leptosomiformes	ITPR2	0	found_annotated	fixed10	20	10	10	19	19	1	BHLHE41;BMAL2;CYB5R3;DNAI7;ETFRF1;FGFR1OP2;GYS2;INTS13;IRAG2;KRAS;LMNTD1;MED21;PPFIBP1;RASSF8;REP15;SPX;SSPN;STK38L;TM7SF3
Leptosomus_discolor|GCF_034619465.1|ITPR3.0	GCF_034619465.1	Leptosomus discolor	Aves	Leptosomiformes	ITPR3	0	found_annotated	fixed10	20	10	10	17	17	1	APOBEC2;BAK1;FOXP4;GRM4;HMGA1;IP6K3;LEMD2;MDFI;MLN;NFYA;NUDT3;OARD1;PACSIN1;RPS10;SMIM29;TREML1;TSPO2
Leptosomus_discolor|GCF_034619465.1|RYR.0	GCF_034619465.1	Leptosomus discolor	Aves	Leptosomiformes	RYR	0	found_annotated	fixed10	20	10	10	18	18	1	ACTN2;CHRM3;EDARADD;ERO1B;EXO1;FMN2;GPR137B;GREM2;HEATR1;LGALS8;LYST;MAP1LC3C;MTR;NID1;OPN3;PIGM;RGS7;WDR64
Leptosomus_discolor|GCF_034619465.1|RYR.1	GCF_034619465.1	Leptosomus discolor	Aves	Leptosomiformes	RYR	1	found_annotated	fixed10	20	10	10	19	19	0	ARHGAP11A;AVEN;CDIN1;CHRM5;DPH6;EIF2AK4;EMC7;FMN1;FSIP1;GPR176;GREM1;KATNBL1;MEIS2;RASGRP1;SCG5;SPRED1;SRP14;THBS1;TSLIG3B
Ciconia_boyciana|GCF_034638445.1|ITPR1.0	GCF_034638445.1	Ciconia boyciana	Aves	Ciconiiformes	ITPR1	0	found_annotated	fixed10	20	10	10	17	17	1	ARL8B;BHLHE40;CAV3;CHL1;CNTN3;CRBN;EDEM1;GRM7;IL5RA;LMCD1;LRRN1;OXTR;RAD18;SRGAP3;SSUH2;SUMF1;TRNT1
Ciconia_boyciana|GCF_034638445.1|ITPR2.0	GCF_034638445.1	Ciconia boyciana	Aves	Ciconiiformes	ITPR2	0	found_annotated	fixed10	20	10	10	19	19	1	BHLHE41;BMAL2;CYB5R3;DNAI7;ETFRF1;FGFR1OP2;GYS2;INTS13;IRAG2;KRAS;LMNTD1;MED21;PPFIBP1;RASSF8;REP15;SPX;SSPN;STK38L;TM7SF3
Ciconia_boyciana|GCF_034638445.1|ITPR3.0	GCF_034638445.1	Ciconia boyciana	Aves	Ciconiiformes	ITPR3	0	found_annotated	fixed10	20	10	10	14	14	1	APOBEC2;BAK1;FOXP4;GRM4;HMGA1;IP6K3;LEMD2;MLN;NFYA;NUDT3;OARD1;RPS10;SMIM29;UQCC2
Ciconia_boyciana|GCF_034638445.1|RYR.0	GCF_034638445.1	Ciconia boyciana	Aves	Ciconiiformes	RYR	0	found_annotated	fixed10	20	10	10	20	20	1	ACTN2;CEP170;CHRM3;EDARADD;ERO1B;EXO1;FMN2;GNG4;GPR137B;GREM2;HEATR1;LGALS8;LYST;MAP1LC3C;MTR;NID1;OPN3;PIGM;PLD5;RGS7
Ciconia_boyciana|GCF_034638445.1|RYR.1	GCF_034638445.1	Ciconia boyciana	Aves	Ciconiiformes	RYR	1	found_annotated	fixed10	20	10	10	19	19	0	ACTN4;BICRA;ECH1;EHD2;EIF3K;HNRNPL;KPTN;MAP4K1;MRPS12;NAPA;NFKBIB;NOP53;PAK4;PSMD8;SARS2;SIRT2;SLC8A2;SPRED3;ZNF541
Ciconia_boyciana|GCF_034638445.1|RYR.2	GCF_034638445.1	Ciconia boyciana	Aves	Ciconiiformes	RYR	2	found_annotated	fixed10	20	10	10	17	17	0	ARHGAP11A;AVEN;CDIN1;CHRM5;EIF2AK4;EMC7;FAM98B;FSIP1;GPR176;GREM1;KATNBL1;MEIS2;RASGRP1;SCG5;SPRED1;SRP14;THBS1
Engraulis_encrasicolus|GCF_034702125.1|ITPR1.0	GCF_034702125.1	Engraulis encrasicolus	Actinopteri	Clupeiformes	ITPR1	0	found_annotated	fixed10	20	10	10	11	11	1	AGTRAP;ARFGAP1;DRAXIN;ELMO2;ITGA7;NCKAP1L;NPFFL;PANK4;PFKFB4B;RNF207A;SUMF1
Engraulis_encrasicolus|GCF_034702125.1|ITPR1.1	GCF_034702125.1	Engraulis encrasicolus	Actinopteri	Clupeiformes	ITPR1	1	found_annotated	fixed10	20	10	10	16	16	0	ARL6IP5A;AVPR2B;BHLHE40;EEVS;ERBB3A;FOXP1B;FRMD4B;HP1BP3;KIF17;LRRN1;MITF;PFKFB2B;SETMAR;SH2D5;TRNT1;YOD1
Engraulis_encrasicolus|GCF_034702125.1|ITPR2.0	GCF_034702125.1	Engraulis encrasicolus	Actinopteri	Clupeiformes	ITPR2	0	found_annotated	fixed10	19	9	10	13	13	1	BHLHE41;BMAL2;C1QTNF13;EEA1;EIF4G2B;LYVE1B;NR1H4;NUDT4A;PLEKHG7;SLC17A8;SMPD3;SSPN;UBE2N
Engraulis_encrasicolus|GCF_034702125.1|ITPR3.0	GCF_034702125.1	Engraulis encrasicolus	Actinopteri	Clupeiformes	ITPR3	0	found_annotated	fixed10	20	10	10	14	14	1	BRPF1;CTNNBL1;E2F1;GPR37L1B;KANSL2;KDM5C;MIB2;OLFML3A;RENBP;RPRD1B;SDF4;TAMALIN;TTI1;ZNF341
Engraulis_encrasicolus|GCF_034702125.1|RYR.0	GCF_034702125.1	Engraulis encrasicolus	Actinopteri	Clupeiformes	RYR	0	found_annotated	fixed10	20	10	10	12	12	1	CCDC57;CHRM3B;FASN;FH;FMN2B;GALK1;HHEX;LLGL2;MTR;MYCBP;MYO15B;TMEM94
Engraulis_encrasicolus|GCF_034702125.1|RYR.1	GCF_034702125.1	Engraulis encrasicolus	Actinopteri	Clupeiformes	RYR	1	found_annotated	fixed10	20	10	10	8	8	0	ALOX5AP;DDIAS;HMGB1A;KATNAL1;PITX1;SMYD4;TRPC5A;UBL3A
Engraulis_encrasicolus|GCF_034702125.1|RYR.2	GCF_034702125.1	Engraulis encrasicolus	Actinopteri	Clupeiformes	RYR	2	found_annotated	fixed10	20	10	10	11	11	0	BCKDH;CLTC;DHX40;EXOSC5;OPA3;PPP1R13L;RASGRP4;TMEM91;TUBD1;USP2A;VMP1
Engraulis_encrasicolus|GCF_034702125.1|RYR.3	GCF_034702125.1	Engraulis encrasicolus	Actinopteri	Clupeiformes	RYR	3	found_annotated	fixed10	20	10	10	8	8	0	ACP7;ARHGAP11A;CHRM5A;EIF2AK4;FSIP1;GREM1B;KDM1A;TMEM30B
Engraulis_encrasicolus|GCF_034702125.1|RYR.4	GCF_034702125.1	Engraulis encrasicolus	Actinopteri	Clupeiformes	RYR	4	found_annotated	fixed10	20	10	10	10	10	0	ACTC1A;AVEN;CHRM5B;EMC7B;GALC;GREM1A;KATNBL1;NT5E;RAD51;RMDN3
Engraulis_encrasicolus|GCF_034702125.1|RYR.5	GCF_034702125.1	Engraulis encrasicolus	Actinopteri	Clupeiformes	RYR	5	found_annotated	fixed10	20	10	10	15	15	0	ACTN2B;BAG3;CHRM3A;CSGALNACT2;ECD;FMN2A;GREM2A;INPP5F;KIF11;MCMBP;P4HA1B;REEP3A;RGS7A;SEC23IP;SLC22A15
Heptranchias_perlo|GCF_035084215.1|ITPR1.0	GCF_035084215.1	Heptranchias perlo	Chondrichthyes	Hexanchiformes	ITPR1	0	found_annotated	fixed10	20	10	10	11	11	1	ARL8B;BHLHE40;CAV3;EDEM1;LMCD1;OXTR;RAD18;SEMA3H;SETMAR;SUMF1;ZMYND10
Heptranchias_perlo|GCF_035084215.1|ITPR2.0	GCF_035084215.1	Heptranchias perlo	Chondrichthyes	Hexanchiformes	ITPR2	0	found_annotated	fixed10	20	10	10	12	12	1	BCAT1;BHLHE41;CRADD;DNAI7;EEA1;INTS13;LRMP;MRPL42;PLEKHG7;RASSF8B;SOCS2;SSPN
Heptranchias_perlo|GCF_035084215.1|ITPR3.0	GCF_035084215.1	Heptranchias perlo	Chondrichthyes	Hexanchiformes	ITPR3	0	found_annotated	fixed10	20	10	10	7	7	1	ARL8A;C27H6ORF89;HMGA1A;IGFN1;SMIM29;UBE2T;UQCC2
Heptranchias_perlo|GCF_035084215.1|RYR.0	GCF_035084215.1	Heptranchias perlo	Chondrichthyes	Hexanchiformes	RYR	0	found_annotated	fixed10	20	10	10	3	3	0	BLOC1S3;NKPD1;PSMD8
Heptranchias_perlo|GCF_035084215.1|RYR.1	GCF_035084215.1	Heptranchias perlo	Chondrichthyes	Hexanchiformes	RYR	1	found_annotated	fixed10	20	10	10	10	10	0	ADPGK2;FH;GREM2B;HEATR1;LGALS8A;MOCS3;MTR;NDUFAF7;OPN3;QPCT
Heptranchias_perlo|GCF_035084215.1|RYR.2	GCF_035084215.1	Heptranchias perlo	Chondrichthyes	Hexanchiformes	RYR	2	found_annotated	fixed10	20	10	10	17	17	1	AQR;ARG2;AVEN;CDIN1;CHRM5B;DPH6;EMC7B;FAM98B;FMN1;FSIP1;GPR176;GREM1A;KATNBL1;MEIS2A;SPRED1;THBS1B;VTI1B
Mycteria_americana|GCF_035582795.1|ITPR1.0	GCF_035582795.1	Mycteria americana	Aves	Ciconiiformes	ITPR1	0	found_annotated	fixed10	20	10	10	17	17	1	ARL8B;BHLHE40;CAV3;CHL1;CNTN3;CRBN;EDEM1;GRM7;IL5RA;LMCD1;LRRN1;OXTR;RAD18;SRGAP3;SSUH2;SUMF1;TRNT1
Mycteria_americana|GCF_035582795.1|ITPR2.0	GCF_035582795.1	Mycteria americana	Aves	Ciconiiformes	ITPR2	0	found_annotated	fixed10	20	10	10	19	19	1	BHLHE41;BMAL2;CYB5R3;DNAI7;ETFRF1;FGFR1OP2;GYS2;INTS13;IRAG2;KRAS;LMNTD1;MED21;PPFIBP1;RASSF8;REP15;SPX;SSPN;STK38L;TM7SF3
Mycteria_americana|GCF_035582795.1|ITPR3.0	GCF_035582795.1	Mycteria americana	Aves	Ciconiiformes	ITPR3	0	found_annotated	fixed10	20	10	10	17	17	1	APOBEC2;BAK1;FOXP4;GRM4;HMGA1;IP6K3;LEMD2;MDFI;NFYA;NUDT3;OARD1;PACSIN1;RPS10;SMIM29;SPDEF;TFEB;TREM1
Mycteria_americana|GCF_035582795.1|RYR.0	GCF_035582795.1	Mycteria americana	Aves	Ciconiiformes	RYR	0	found_annotated	fixed10	20	10	10	20	20	1	ACTN2;CHRM3;EDARADD;ERO1B;EXO1;FMN2;GNG4;GPR137B;GREM2;HEATR1;LGALS8;LYST;MAP1LC3C;MTR;NID1;OPN3;PIGM;PLD5;RGS7;WDR64
Mycteria_americana|GCF_035582795.1|RYR.1	GCF_035582795.1	Mycteria americana	Aves	Ciconiiformes	RYR	1	found_annotated	fixed10	20	10	10	17	17	0	ARHGAP11A;AVEN;CDIN1;CHRM5;EIF2AK4;EMC7;FAM98B;FSIP1;GPR176;GREM1;KATNBL1;MEIS2;RASGRP1;SCG5;SPRED1;SRP14;THBS1
Eleutherodactylus_coqui|GCF_035609145.1|ITPR1.0	GCF_035609145.1	Eleutherodactylus coqui	Amphibia	Anura	ITPR1	0	found_annotated	fixed10	20	10	10	10	10	1	ARL8B;BHLHE40;CRBN;EDEM1;GRM7;IL5RA;LMCD1;LRRN1;SUMF1;TRNT1
Eleutherodactylus_coqui|GCF_035609145.1|ITPR2.0	GCF_035609145.1	Eleutherodactylus coqui	Amphibia	Anura	ITPR2	0	found_annotated	fixed10	16	6	10	9	9	1	AKR1D1;BHLHE41;BMAL2;LMNTD1;MED21;PKP2;RASSF8;SSPN;STK38L
Eleutherodactylus_coqui|GCF_035609145.1|ITPR3.0	GCF_035609145.1	Eleutherodactylus coqui	Amphibia	Anura	ITPR3	0	found_annotated	fixed10	20	10	10	15	15	1	AATF;ACACA;ANKS1A;BAK1;BLTP3A;C1H3ORF52;DEF6;GRM4;HNF1B;LEMD2;LHX1;SYNRG;TADA2A;TAF11;UQCC2
Eleutherodactylus_coqui|GCF_035609145.1|RYR.0	GCF_035609145.1	Eleutherodactylus coqui	Amphibia	Anura	RYR	0	found_annotated	fixed10	20	10	10	11	11	1	ALKBH6;CLIP3;EIF3K;HNRNPL;KPTN;MAP4K1;MEIS3;NAPA;PSMD8;SLC8A2;TSPAN15
Eleutherodactylus_coqui|GCF_035609145.1|RYR.1	GCF_035609145.1	Eleutherodactylus coqui	Amphibia	Anura	RYR	1	found_annotated	fixed10	20	10	10	19	19	0	ANKRD63;ARHGAP11A;AVEN;BUB1B;CCDC177;CHRM5;ERH;FAM98B;FMN1;GALNT16;GPR176;GREM1;PAK6;PLCB2;PLEKHD1;RASGRP1;SCG5;SLC39A9;SUSD6
Caloenas_nicobarica|GCF_036013445.1|ITPR1.0	GCF_036013445.1	Caloenas nicobarica	Aves	Columbiformes	ITPR1	0	found_annotated	fixed10	20	10	10	16	16	1	ACTR8;ARL8B;BHLHE40;CACNA2D3;CHDH;CHL1;CRBN;EDEM1;ERC2;IL5RA;LRRN1;LRTM1;SELENOK;SUMF1;TRNT1;WNT5A
Caloenas_nicobarica|GCF_036013445.1|ITPR2.0	GCF_036013445.1	Caloenas nicobarica	Aves	Columbiformes	ITPR2	0	found_annotated	fixed10	20	10	10	17	17	1	BHLHE41;BMAL2;DNAI7;ETFRF1;FGFR1OP2;GYS2;INTS13;IRAG2;KRAS;MED21;PPFIBP1;RASSF8;REP15;SPX;SSPN;STK38L;TM7SF3
Caloenas_nicobarica|GCF_036013445.1|ITPR3.0	GCF_036013445.1	Caloenas nicobarica	Aves	Columbiformes	ITPR3	0	found_annotated	fixed10	20	10	10	17	17	1	APOBEC2;BAK1;BLTP3A;FOXP4;GRM4;HMGA1;ILRUN;MDFI;NFYA;NUDT3;OARD1;PACSIN1;RPS10;SMIM29;SNRPC;SPDEF;TSPO2
Caloenas_nicobarica|GCF_036013445.1|RYR.0	GCF_036013445.1	Caloenas nicobarica	Aves	Columbiformes	RYR	0	found_annotated	fixed10	20	10	10	20	20	1	ACTN2;CHRM3;EDARADD;ERO1B;EXO1;FMN2;GNG4;GPR137B;GREM2;HEATR1;LGALS8;LYST;MAP1LC3C;MTR;NID1;OPN3;PIGM;PLD5;RGS7;WDR64
Caloenas_nicobarica|GCF_036013445.1|RYR.1	GCF_036013445.1	Caloenas nicobarica	Aves	Columbiformes	RYR	1	found_annotated	fixed10	1	1	0	0	0	0	
Caloenas_nicobarica|GCF_036013445.1|RYR.2	GCF_036013445.1	Caloenas nicobarica	Aves	Columbiformes	RYR	2	found_annotated	fixed10	20	10	10	19	19	0	ARHGAP11A;AVEN;CDIN1;CHRM5;DPH6;EIF2AK4;EMC7;FAM98B;FMN1;FSIP1;GPR176;GREM1;KATNBL1;MEIS2;RASGRP1;SCG5;SPRED1;SRP14;THBS1
Heterodontus_francisci|GCF_036365525.1|ITPR1.0	GCF_036365525.1	Heterodontus francisci	Chondrichthyes	Heterodontiformes	ITPR1	0	found_annotated	fixed10	20	10	10	13	13	1	ARL8B;BHLHE40;CAV3;EDEM1;LMCD1;OXTR;RAD18;RASSF1;SEMA3H;SETMAR;SUMF1;TUSC2B;ZMYND10
Heterodontus_francisci|GCF_036365525.1|ITPR2.0	GCF_036365525.1	Heterodontus francisci	Chondrichthyes	Heterodontiformes	ITPR2	0	found_annotated	fixed10	20	10	10	12	12	1	BCAT1;BHLHE41;CRADD;DNAI7;EEA1;INTS13;LRMP;MRPL42;PLEKHG7;RASSF8B;SOCS2;SSPN
Heterodontus_francisci|GCF_036365525.1|ITPR3.0	GCF_036365525.1	Heterodontus francisci	Chondrichthyes	Heterodontiformes	ITPR3	0	found_annotated	fixed10	20	10	10	7	7	1	C25H6ORF89;HMGA1A;MLNL;NUDT3B;SMIM29;UBE2T;UQCC2
Heterodontus_francisci|GCF_036365525.1|RYR.0	GCF_036365525.1	Heterodontus francisci	Chondrichthyes	Heterodontiformes	RYR	0	found_annotated	fixed10	20	10	10	2	2	0	PAF1;PSMD8
Heterodontus_francisci|GCF_036365525.1|RYR.1	GCF_036365525.1	Heterodontus francisci	Chondrichthyes	Heterodontiformes	RYR	1	found_annotated	fixed10	20	10	10	10	10	0	ADPGK2;CEBPZ;FH;GREM2B;MOCS3;MTR;NDUFAF7;OPN3;PRKD3;SLC30A6
Heterodontus_francisci|GCF_036365525.1|RYR.2	GCF_036365525.1	Heterodontus francisci	Chondrichthyes	Heterodontiformes	RYR	2	found_annotated	fixed10	20	10	10	15	15	1	AQR;ARG2;AVEN;CDIN1;CHRM5B;DPH6;EMC7B;FSIP1;GPR176;GREM1A;KATNBL1;MEIS2A;SPRED1;THBS1B;VTI1B
Dromaius_novaehollandiae|GCF_036370855.1|ITPR1.0	GCF_036370855.1	Dromaius novaehollandiae	Aves	Casuariiformes	ITPR1	0	found_annotated	fixed10	20	10	10	14	14	1	ARL8B;BHLHE40;CAV3;CHL1;CNTN6;CRBN;EDEM1;GRM7;IL5RA;LMCD1;LRRN1;OXTR;SUMF1;TRNT1
Dromaius_novaehollandiae|GCF_036370855.1|ITPR2.0	GCF_036370855.1	Dromaius novaehollandiae	Aves	Casuariiformes	ITPR2	0	found_annotated	fixed10	20	10	10	18	18	1	BHLHE41;BMAL2;DNAI7;FGFR1OP2;GYS2;INTS13;IRAG2;KRAS;LDHB;LMNTD1;MED21;PPFIBP1;RASSF8;REP15;SPX;SSPN;STK38L;TM7SF3
Dromaius_novaehollandiae|GCF_036370855.1|ITPR3.0	GCF_036370855.1	Dromaius novaehollandiae	Aves	Casuariiformes	ITPR3	0	found_annotated	fixed10	20	10	10	14	14	1	APOBEC2;BAK1;FOXP4;GRM4;HMGA1;IP6K3;LEMD2;MLN;NFYA;OARD1;PACSIN1;RPS10;SMIM29;TSPO2
Dromaius_novaehollandiae|GCF_036370855.1|RYR.0	GCF_036370855.1	Dromaius novaehollandiae	Aves	Casuariiformes	RYR	0	found_annotated	fixed10	20	10	10	18	18	1	ACTN2;CHRM3;ERO1B;EXO1;FMN2;GPR137B;GREM2;HEATR1;LGALS8;MAP1LC3C;MTR;NID1;OPN3;PIGM;RGS7;TTLL2;UNC93A;WDR64
Dromaius_novaehollandiae|GCF_036370855.1|RYR.1	GCF_036370855.1	Dromaius novaehollandiae	Aves	Casuariiformes	RYR	1	found_annotated	fixed10	20	10	10	16	16	0	ACTN4;BLOC1S3;CATSPERG;CCDC61;ECH1;EIF3K;FAM98C;HNRNPL;KPTN;MAP4K1;NAPA;PSMD8;RASGRP4;SLC8A2;SPRED3;ZNF541
Dromaius_novaehollandiae|GCF_036370855.1|RYR.2	GCF_036370855.1	Dromaius novaehollandiae	Aves	Casuariiformes	RYR	2	found_annotated	fixed10	20	10	10	18	18	0	ARHGAP11A;AVEN;CDIN1;CHRM5;EIF2AK4;EMC7;FAM98B;FMN1;FSIP1;GPR176;GREM1;KATNBL1;MEIS2;RASGRP1;SCG5;SPRED1;SRP14;THBS1
Amia_ocellicauda|GCF_036373705.1|ITPR1.0	GCF_036373705.1	Amia ocellicauda	Actinopteri	Amiiformes	ITPR1	0	found_annotated	fixed10	20	10	10	15	15	1	ARL8B;AVPR2B;BHLHE40;CAMKV;CRBN;EDEM1;GNAT1;LRRN1;MON1A;MST1R;RBM6;SETMAR;SUMF1;TRAIP;TRNT1
Amia_ocellicauda|GCF_036373705.1|ITPR2.0	GCF_036373705.1	Amia ocellicauda	Actinopteri	Amiiformes	ITPR2	0	found_annotated	fixed10	20	10	10	14	14	1	BCAT1;BHLHE41;BTBD11B;C1QTNF13;EEA1;ETNK1;INTS13;MRPL42;PLEKHG7;PWP1;RASSF8B;SOX5;SSPN;STRAP
Amia_ocellicauda|GCF_036373705.1|ITPR3.0	GCF_036373705.1	Amia ocellicauda	Actinopteri	Amiiformes	ITPR3	0	found_annotated	fixed10	20	10	10	9	9	1	APOBEC2A;ARL8A;C5H6ORF89;CDKN1A;ELF3;FKBP5;OARD1;PTH4;SRSF3B
Amia_ocellicauda|GCF_036373705.1|RYR.0	GCF_036373705.1	Amia ocellicauda	Actinopteri	Amiiformes	RYR	0	found_annotated	fixed10	20	10	10	15	15	1	ARG1;CDC42EP3;CHRM3B;EDARADD;EXO1;FH;FMN2B;GREM2B;HEATR1;HYLS1;KMO;MRPL4;MTR;OPN3;YIPF4
Amia_ocellicauda|GCF_036373705.1|RYR.1	GCF_036373705.1	Amia ocellicauda	Actinopteri	Amiiformes	RYR	1	found_annotated	fixed10	20	10	10	13	13	0	BICR;DMAC2;EHD2B;HNRNPUL1;KPTN;MEIS3;OPA3;PPP1R13L;RASGRP4;RINL;SIRT2;ZBED4L2;ZNF541
Amia_ocellicauda|GCF_036373705.1|RYR.2	GCF_036373705.1	Amia ocellicauda	Actinopteri	Amiiformes	RYR	2	found_annotated	fixed10	20	10	10	9	9	0	ACOT20;ACP7;AVEN;EIF2AK4;EMC7B;FSIP1;GPR176;KATNBL1;THBS1B
Chlamydotis_macqueenii|GCF_036417535.1|ITPR1.0	GCF_036417535.1	Chlamydotis macqueenii	Aves	Otidiformes	ITPR1	0	found_annotated	fixed10	20	10	10	16	16	1	ARL8B;CAV3;CHL1;CRBN;EDEM1;GRM7;IL5RA;LMCD1;LRRN1;OXTR;RAD18;SRGAP3;SSUH2;SUMF1;THUMPD3;TRNT1
Chlamydotis_macqueenii|GCF_036417535.1|ITPR2.0	GCF_036417535.1	Chlamydotis macqueenii	Aves	Otidiformes	ITPR2	0	found_annotated	fixed10	20	10	10	18	18	1	BHLHE41;BMAL2;CYB5R3;DNAI7;ETFRF1;FGFR1OP2;INTS13;IRAG2;KRAS;LMNTD1;MED21;PPFIBP1;RASSF8;REP15;SPX;SSPN;STK38L;TM7SF3
Chlamydotis_macqueenii|GCF_036417535.1|ITPR3.0	GCF_036417535.1	Chlamydotis macqueenii	Aves	Otidiformes	ITPR3	0	found_annotated	fixed10	20	10	10	16	16	1	APOBEC2;BAK1;BLTP3A;FOXP4;GRM4;HMGA1;ILRUN;NFYA;NUDT3;OARD1;PACSIN1;RPS10;SMIM29;SNRPC;SPDEF;TSPO2
