cell	key_kind	window	symbol	n_species	n_species_total	fraction	background	enrichment
ITPR3	relaxed	informative10	SNX21	33	215	0.1535	0.0029	52.1860
ITPR3	relaxed	informative10	EDEM2	31	215	0.1442	0.0029	49.0233
ITPR3	relaxed	informative10	GPR37L1B	31	215	0.1442	0.0000	inf
ITPR3	relaxed	informative10	MRGBP	31	215	0.1442	0.0074	19.6093
ITPR3	relaxed	informative10	PHF1	29	215	0.1349	0.0000	inf
ITPR3	relaxed	informative10	CUTA	28	215	0.1302	0.0000	inf
ITPR3	relaxed	informative10	KIFC1	28	215	0.1302	0.0015	88.5581
ITPR3	relaxed	informative10	ZBTB9	28	215	0.1302	0.0000	inf
ITPR3	relaxed	informative10	SYNGAP1	27	215	0.1256	0.0000	inf
ITPR3	relaxed	informative10	BLTP3A	26	215	0.1209	0.0015	82.2326
ITPR3	relaxed	informative10	DAXX	26	215	0.1209	0.0000	inf
ITPR3	relaxed	informative10	ZBTB22	25	215	0.1163	0.0000	inf
ITPR3	relaxed	informative10	RFC2	24	215	0.1116	0.0029	37.9535
ITPR3	relaxed	informative10	TAPBP	23	215	0.1070	0.0000	inf
ITPR3	relaxed	informative10	TREM2	23	215	0.1070	0.0015	72.7442
ITPR3	relaxed	informative10	GRIPAP1	22	215	0.1023	0.0000	inf
ITPR3	relaxed	informative10	KCND1	22	215	0.1023	0.0015	69.5814
ITPR3	relaxed	informative10	PTPN18	22	215	0.1023	0.0015	69.5814
ITPR3	relaxed	informative10	TAF11	22	215	0.1023	0.0015	69.5814
ITPR3	relaxed	informative10	USP11	22	215	0.1023	0.0044	23.1938
RYR	relaxed	informative10	MTR	120	214	0.5607	0.0000	inf
RYR	relaxed	informative10	HEATR1	93	214	0.4346	0.0000	inf
RYR	relaxed	informative10	ACTN2	85	214	0.3972	0.0000	inf
RYR	relaxed	informative10	EDARADD	82	214	0.3832	0.0000	inf
RYR	relaxed	informative10	GPR137B	76	214	0.3551	0.0000	inf
RYR	relaxed	informative10	ERO1B	75	214	0.3505	0.0000	inf
RYR	relaxed	informative10	NID1	75	214	0.3505	0.0000	inf
RYR	relaxed	informative10	LGALS8	74	214	0.3458	0.0000	inf
RYR	relaxed	informative10	CHRM3	72	214	0.3364	0.0000	inf
RYR	relaxed	informative10	LYST	69	214	0.3224	0.0000	inf
RYR	relaxed	informative10	GNG4	67	214	0.3131	0.0015	212.8972
RYR	relaxed	informative10	GREM2	62	214	0.2897	0.0000	inf
RYR	relaxed	informative10	OPN3	61	214	0.2850	0.0000	inf
RYR	relaxed	informative10	FMN2	59	214	0.2757	0.0000	inf
RYR	relaxed	informative10	RGS7	59	214	0.2757	0.0000	inf
RYR	relaxed	informative10	EXO1	52	214	0.2430	0.0000	inf
RYR	relaxed	informative10	WDR64	49	214	0.2290	0.0000	inf
RYR	relaxed	informative10	AVEN	45	214	0.2103	0.0015	142.9907
RYR	relaxed	informative10	FMN2B	44	214	0.2056	0.0000	inf
RYR	relaxed	informative10	PIGM	44	214	0.2056	0.0000	inf
RYR	relaxed	informative10	MAP1LC3C	43	214	0.2009	0.0000	inf
RYR	relaxed	informative10	PLD5	41	214	0.1916	0.0000	inf
RYR	relaxed	informative10	FH	37	214	0.1729	0.0000	inf
RYR	relaxed	informative10	KATNBL1	35	214	0.1636	0.0015	111.2150
RYR	relaxed	informative10	HHEX	34	214	0.1589	0.0029	54.0187
RYR	relaxed	informative10	CHRM3B	33	214	0.1542	0.0000	inf
RYR	relaxed	informative10	GREM1	31	214	0.1449	0.0015	98.5047
RYR	relaxed	informative10	CHRM5	30	214	0.1402	0.0015	95.3271
RYR	relaxed	informative10	EMC7	30	214	0.1402	0.0015	95.3271
RYR	relaxed	informative10	EXOC6	30	214	0.1402	0.0044	31.7757
RYR	relaxed	informative10	SPRED1	30	214	0.1402	0.0015	95.3271
RYR	relaxed	informative10	EGR2B	27	214	0.1262	0.0000	inf
RYR	relaxed	informative10	FAM98B	27	214	0.1262	0.0000	inf
RYR	relaxed	informative10	JMJD1C	27	214	0.1262	0.0000	inf
RYR	relaxed	informative10	NRBF2B	26	214	0.1215	0.0000	inf
RYR	relaxed	informative10	SCG5	26	214	0.1215	0.0015	82.6168
RYR	relaxed	informative10	BMS1	25	214	0.1168	0.0029	39.7196
RYR	relaxed	informative10	FSIP1	25	214	0.1168	0.0000	inf
RYR	relaxed	informative10	GPR176	25	214	0.1168	0.0000	inf
RYR	relaxed	informative10	RASGRP1	25	214	0.1168	0.0015	79.4393
RYR	relaxed	informative10	REEP3B	25	214	0.1168	0.0000	inf
RYR	relaxed	informative10	ARHGAP11A	23	214	0.1075	0.0015	73.0841
ITPR1	root	informative10	SUMF	188	207	0.9082	0.0029	308.7923
ITPR1	root	informative10	EDEM	135	207	0.6522	0.0029	221.7391
ITPR1	root	informative10	LRRN	135	207	0.6522	0.0044	147.8261
ITPR1	root	informative10	BHLHE	129	207	0.6232	0.0088	70.6280
ITPR1	root	informative10	CRBN	125	207	0.6039	0.0000	inf
ITPR1	root	informative10	TRNT	120	207	0.5797	0.0000	inf
ITPR1	root	informative10	ARL8B	113	207	0.5459	0.0000	inf
ITPR1	root	informative10	IL5RA	104	207	0.5024	0.0000	inf
ITPR1	root	informative10	LMCD	100	207	0.4831	0.0000	inf
ITPR1	root	informative10	RAD	96	207	0.4638	0.0044	105.1208
ITPR1	root	informative10	CAV	91	207	0.4396	0.0000	inf
ITPR1	root	informative10	CNTN	91	207	0.4396	0.0044	99.6457
ITPR1	root	informative10	CHL	90	207	0.4348	0.0000	inf
ITPR1	root	informative10	GRM	86	207	0.4155	0.0044	94.1707
ITPR1	root	informative10	OXTR	85	207	0.4106	0.0000	inf
ITPR1	root	informative10	SRGAP	83	207	0.4010	0.0000	inf
ITPR1	root	informative10	PDZRN	76	207	0.3671	0.0000	inf
ITPR1	root	informative10	SETMAR	54	207	0.2609	0.0000	inf
ITPR1	root	informative10	SSUH	54	207	0.2609	0.0000	inf
ITPR1	root	informative10	PPP4R	52	207	0.2512	0.0029	85.4106
ITPR1	root	informative10	THUMPD	46	207	0.2222	0.0059	37.7778
ITPR1	root	informative10	SLC4A	44	207	0.2126	0.0147	14.4541
ITPR1	root	informative10	ESPL	42	207	0.2029	0.0015	137.9710
ITPR1	root	informative10	PFDN	42	207	0.2029	0.0074	27.5942
ITPR1	root	informative10	GXYLT	40	207	0.1932	0.0000	inf
ITPR1	root	informative10	ZC3H	40	207	0.1932	0.0015	131.4010
ITPR1	root	informative10	ATF	38	207	0.1836	0.0088	20.8052
ITPR1	root	informative10	TTLL	38	207	0.1836	0.0176	10.4026
ITPR1	root	informative10	ZNF740A	38	207	0.1836	0.0000	inf
ITPR1	root	informative10	DIP2B	37	207	0.1787	0.0029	60.7729
ITPR1	root	informative10	CDK	34	207	0.1643	0.0279	5.8785
ITPR1	root	informative10	FAIM2B	34	207	0.1643	0.0000	inf
ITPR1	root	informative10	ATF7B	33	207	0.1594	0.0015	108.4058
ITPR1	root	informative10	METTL	33	207	0.1594	0.0235	6.7754
ITPR1	root	informative10	LARP4A	31	207	0.1498	0.0015	101.8357
ITPR1	root	informative10	PFKM	31	207	0.1498	0.0000	inf
ITPR1	root	informative10	SCN8A	31	207	0.1498	0.0029	50.9179
ITPR1	root	informative10	ESYT1B	26	207	0.1256	0.0000	inf
ITPR1	root	informative10	MCRS	25	207	0.1208	0.0000	inf
ITPR1	root	informative10	CCDC	23	207	0.1111	0.0985	1.1277
ITPR1	root	informative10	CYP27B	23	207	0.1111	0.0000	inf
ITPR1	root	informative10	SUOX	22	207	0.1063	0.0000	inf
ITPR2	root	informative10	SSPN	198	216	0.9167	0.0000	inf
ITPR2	root	informative10	BHLHE	184	216	0.8519	0.0088	96.5432
ITPR2	root	informative10	INTS	139	216	0.6435	0.0176	36.4660
ITPR2	root	informative10	KRAS	139	216	0.6435	0.0015	437.5926
ITPR2	root	informative10	FGFR1OP	122	216	0.5648	0.0044	128.0247
ITPR2	root	informative10	TM7SF	115	216	0.5324	0.0015	362.0370
ITPR2	root	informative10	MED	110	216	0.5093	0.0279	18.2261
ITPR2	root	informative10	RASSF	109	216	0.5046	0.0088	57.1914
ITPR2	root	informative10	BMAL	100	216	0.4630	0.0015	314.8148
ITPR2	root	informative10	ETFRF	94	216	0.4352	0.0000	inf
ITPR2	root	informative10	STK38L	94	216	0.4352	0.0000	inf
ITPR2	root	informative10	DNAI	86	216	0.3981	0.0074	54.1481
ITPR2	root	informative10	PPFIBP	85	216	0.3935	0.0029	133.7963
ITPR2	root	informative10	REP	79	216	0.3657	0.0000	inf
ITPR2	root	informative10	IRAG	72	216	0.3333	0.0015	226.6667
ITPR2	root	informative10	LMNTD	63	216	0.2917	0.0000	inf
ITPR2	root	informative10	EEA	62	216	0.2870	0.0015	195.1852
ITPR2	root	informative10	PLEKHG	62	216	0.2870	0.0059	48.7963
ITPR2	root	informative10	GYS	58	216	0.2685	0.0000	inf
ITPR2	root	informative10	SPX	52	216	0.2407	0.0000	inf
ITPR2	root	informative10	UBE2N	52	216	0.2407	0.0029	81.8519
ITPR2	root	informative10	NUDT4A	48	216	0.2222	0.0000	inf
ITPR2	root	informative10	ARFGAP	47	216	0.2176	0.0029	73.9815
ITPR2	root	informative10	NR1H	47	216	0.2176	0.0044	49.3210
ITPR2	root	informative10	SLC17A	47	216	0.2176	0.0088	24.6605
ITPR2	root	informative10	BCAT	46	216	0.2130	0.0000	inf
ITPR2	root	informative10	C1QTNF	45	216	0.2083	0.0103	20.2381
ITPR2	root	informative10	SOX	44	216	0.2037	0.0176	11.5432
ITPR2	root	informative10	PPFIBP1B	43	216	0.1991	0.0015	135.3704
ITPR2	root	informative10	ENDOUC	40	216	0.1852	0.0015	125.9259
ITPR2	root	informative10	FBXO	37	216	0.1713	0.0426	4.0166
ITPR2	root	informative10	LDHB	37	216	0.1713	0.0000	inf
ITPR2	root	informative10	BANP	36	216	0.1667	0.0029	56.6667
ITPR2	root	informative10	CYB5R	35	216	0.1620	0.0000	inf
ITPR2	root	informative10	FANCI	32	216	0.1481	0.0015	100.7407
ITPR2	root	informative10	POLG	31	216	0.1435	0.0074	19.5185
ITPR2	root	informative10	ARNTL	28	216	0.1296	0.0000	inf
ITPR2	root	informative10	ZNF	28	216	0.1296	0.1221	1.0620
ITPR2	root	informative10	CES2B	26	216	0.1204	0.0015	81.8519
ITPR2	root	informative10	RASSF8A	25	216	0.1157	0.0015	78.7037
ITPR3	root	informative10	BAK	125	215	0.5814	0.0015	395.3488
ITPR3	root	informative10	GRM	115	215	0.5349	0.0044	121.2403
ITPR3	root	informative10	HMGA	104	215	0.4837	0.0000	inf
ITPR3	root	informative10	PACSIN	97	215	0.4512	0.0029	153.3953
ITPR3	root	informative10	RPS	97	215	0.4512	0.0353	12.7829
ITPR3	root	informative10	NUDT	96	215	0.4465	0.0132	33.7364
ITPR3	root	informative10	SMIM	93	215	0.4326	0.0309	14.0066
ITPR3	root	informative10	OARD	89	215	0.4140	0.0044	93.8295
ITPR3	root	informative10	LEMD	88	215	0.4093	0.0029	139.1628
ITPR3	root	informative10	APOBEC	82	215	0.3814	0.0015	259.3488
ITPR3	root	informative10	SPDEF	80	215	0.3721	0.0000	inf
ITPR3	root	informative10	MLN	79	215	0.3674	0.0000	inf
ITPR3	root	informative10	NFYA	79	215	0.3674	0.0015	249.8605
ITPR3	root	informative10	IP6K	75	215	0.3488	0.0015	237.2093
ITPR3	root	informative10	FOXP	61	215	0.2837	0.0015	192.9302
ITPR3	root	informative10	MDFI	60	215	0.2791	0.0015	189.7674
ITPR3	root	informative10	TFEB	60	215	0.2791	0.0015	189.7674
ITPR3	root	informative10	FRS	57	215	0.2651	0.0029	90.1395
ITPR3	root	informative10	ILRUN	54	215	0.2512	0.0000	inf
ITPR3	root	informative10	SNRPC	49	215	0.2279	0.0000	inf
ITPR3	root	informative10	TSPO	44	215	0.2047	0.0000	inf
ITPR3	root	informative10	UQCC	37	215	0.1721	0.0029	58.5116
ITPR3	root	informative10	HM13	34	215	0.1581	0.0015	107.5349
ITPR3	root	informative10	SNX	33	215	0.1535	0.0353	4.3488
ITPR3	root	informative10	TAF	32	215	0.1488	0.0191	7.7853
ITPR3	root	informative10	EDEM	31	215	0.1442	0.0029	49.0233
ITPR3	root	informative10	GPR37L1B	31	215	0.1442	0.0000	inf
ITPR3	root	informative10	MRGBP	31	215	0.1442	0.0074	19.6093
ITPR3	root	informative10	TREM	31	215	0.1442	0.0015	98.0465
ITPR3	root	informative10	ZBTB	31	215	0.1442	0.0382	3.7710
ITPR3	root	informative10	PHF	30	215	0.1395	0.0132	10.5426
ITPR3	root	informative10	USP	30	215	0.1395	0.0676	2.0627
ITPR3	root	informative10	CUTA	28	215	0.1302	0.0000	inf
ITPR3	root	informative10	KIFC	28	215	0.1302	0.0059	22.1395
ITPR3	root	informative10	PIM	27	215	0.1256	0.0059	21.3488
ITPR3	root	informative10	SYNGAP	27	215	0.1256	0.0000	inf
ITPR3	root	informative10	BLTP3A	26	215	0.1209	0.0015	82.2326
ITPR3	root	informative10	DAXX	26	215	0.1209	0.0000	inf
ITPR3	root	informative10	RFC	24	215	0.1116	0.0088	12.6512
ITPR3	root	informative10	PTPN	23	215	0.1070	0.0088	12.1240
ITPR3	root	informative10	TAPBP	23	215	0.1070	0.0000	inf
ITPR3	root	informative10	GRIPAP	22	215	0.1023	0.0000	inf
ITPR3	root	informative10	KCND	22	215	0.1023	0.0044	23.1938
RYR	root	informative10	MTR	120	214	0.5607	0.0000	inf
RYR	root	informative10	CHRM	102	214	0.4766	0.0059	81.0280
RYR	root	informative10	GREM	93	214	0.4346	0.0015	295.5140
RYR	root	informative10	HEATR	93	214	0.4346	0.0015	295.5140
RYR	root	informative10	ACTN	92	214	0.4299	0.0015	292.3364
RYR	root	informative10	EDARADD	82	214	0.3832	0.0000	inf
RYR	root	informative10	LGALS	81	214	0.3785	0.0088	42.8972
RYR	root	informative10	GPR137B	76	214	0.3551	0.0000	inf
RYR	root	informative10	ERO1B	75	214	0.3505	0.0000	inf
RYR	root	informative10	NID	75	214	0.3505	0.0000	inf
RYR	root	informative10	FMN	74	214	0.3458	0.0000	inf
RYR	root	informative10	LYST	69	214	0.3224	0.0000	inf
RYR	root	informative10	GNG	67	214	0.3131	0.0074	42.5794
RYR	root	informative10	OPN	61	214	0.2850	0.0015	193.8318
RYR	root	informative10	RGS	59	214	0.2757	0.0250	11.0280
RYR	root	informative10	EXO	52	214	0.2430	0.0000	inf
RYR	root	informative10	WDR	52	214	0.2430	0.0868	2.8006
RYR	root	informative10	AVEN	45	214	0.2103	0.0015	142.9907
RYR	root	informative10	FMN2B	44	214	0.2056	0.0000	inf
RYR	root	informative10	PIGM	44	214	0.2056	0.0000	inf
RYR	root	informative10	MAP1LC3C	43	214	0.2009	0.0000	inf
RYR	root	informative10	PLD	41	214	0.1916	0.0059	32.5701
RYR	root	informative10	RASGRP	39	214	0.1822	0.0044	41.3084
RYR	root	informative10	SPRED	38	214	0.1776	0.0044	40.2492
RYR	root	informative10	FH	37	214	0.1729	0.0000	inf
RYR	root	informative10	KATNBL	35	214	0.1636	0.0015	111.2150
RYR	root	informative10	HHEX	34	214	0.1589	0.0029	54.0187
RYR	root	informative10	CHRM3B	33	214	0.1542	0.0000	inf
RYR	root	informative10	EXOC	32	214	0.1495	0.0074	20.3364
RYR	root	informative10	EMC	30	214	0.1402	0.0103	13.6182
RYR	root	informative10	EGR2B	27	214	0.1262	0.0000	inf
RYR	root	informative10	FAM98B	27	214	0.1262	0.0000	inf
RYR	root	informative10	JMJD1C	27	214	0.1262	0.0000	inf
RYR	root	informative10	GPR	26	214	0.1215	0.0456	2.6651
RYR	root	informative10	NRBF2B	26	214	0.1215	0.0000	inf
RYR	root	informative10	SCG	26	214	0.1215	0.0074	16.5234
RYR	root	informative10	BMS	25	214	0.1168	0.0029	39.7196
RYR	root	informative10	FSIP	25	214	0.1168	0.0000	inf
RYR	root	informative10	REEP3B	25	214	0.1168	0.0000	inf
RYR	root	informative10	ARHGAP11A	23	214	0.1075	0.0015	73.0841
