accession	organism	taxid	group	kingdom	phylum	class	order	assembly_name	level	refseq_category	annotated	annotation_source	release_date	total_length_bp	scaffold_n50	contig_n50	spans_gene	contiguity_bar_bp	bar_source	fasta_gb	est_zip_gb	reasons	notes
GCF_002217175.1	Folsomia candida	158441	metazoa	Metazoa	Arthropoda	Collembola	Entomobryomorpha	ASM221717v1	Scaffold	reference genome	Y	RefSeq	2017-07-12	221702752	6519406	4885648	Y	83321	median span of 10 measured metazoa gene(s)	0.222	0.067	class_rep	Collembola
GCA_905338405.1	Notodromas monacha	399045	metazoa	Metazoa	Arthropoda	Ostracoda	Podocopida	Nmo_b1v02_max_arth_b2g_genome	Scaffold	reference genome	Y	GenBank	2021-05-18	376665953	42325	32600	N	83321	median span of 10 measured metazoa gene(s)	0.377	0.113	copy_number	Notodromas monacha
GCF_036898095.1	Palaemon carinicauda	392227	metazoa	Metazoa	Arthropoda	Malacostraca	Decapoda	ASM3689809v2	Chromosome	reference genome	Y	RefSeq	2024-02-28	5857136127	138242434	235923	Y	83321	median span of 10 measured metazoa gene(s)	5.857	1.757	class_rep	Malacostraca
GCA_034508575.1	Petrolisthes manimaculis	1843537	metazoa	Metazoa	Arthropoda	Malacostraca	Decapoda	Mani_v1.7	Contig	reference genome	Y	GenBank	2023-12-15	923246783	218942	218942	Y	83321	median span of 10 measured metazoa gene(s)	0.923	0.277	copy_number	Petrolisthes manimaculis
GCF_011947565.3	Pollicipes pollicipes	41117	metazoa	Metazoa	Arthropoda	Thecostraca	Pollicipedomorpha	Ppol_2.1	Scaffold	reference genome	Y	RefSeq	2020-10-27	769714693	47009503	109757	Y	83321	median span of 10 measured metazoa gene(s)	0.770	0.231	class_rep	Thecostraca
GCA_964442445.1	Pycnogonum litorale	261975	metazoa	Metazoa	Arthropoda	Pycnogonida	Pantopoda	plit_v1.0	Chromosome	reference genome	Y	GenBank	2025-08-03	471606450	7968359	531955	Y	83321	median span of 10 measured metazoa gene(s)	0.472	0.141	class_rep	Pycnogonida
GCA_036172245.1	Raillietiella orientalis	1382697	metazoa	Metazoa	Arthropoda	Ichthyostraca	Raillietiellida	UCF_Rori_1.0	Scaffold	reference genome	N	GenBank	2024-01-26	210487535	3450277	3222723	Y	83321	median span of 10 measured metazoa gene(s)	0.210	0.063	class_rep	Ichthyostraca
GCF_043290135.1	Rhipicephalus microplus	6941	metazoa	Metazoa	Arthropoda	Arachnida	Ixodida	USDA_Rmic	Chromosome	reference genome	Y	RefSeq	2024-10-17	3265175345	243251516	19958966	Y	83321	median span of 10 measured metazoa gene(s)	3.265	0.980	class_rep	Arachnida
GCA_982266715.1	Scolopendra cingulata	41365	metazoa	Metazoa	Arthropoda	Chilopoda	Scolopendromorpha	qcScoCing.2	Contig	reference genome	Y	GenBank	2026-03-22	1480853019	63664107	63664107	Y	83321	median span of 10 measured metazoa gene(s)	1.481	0.444	class_rep	Chilopoda
GCA_034698405.1	Symphylella vulgaris	1288507	metazoa	Metazoa	Arthropoda	Symphyla		ASM3469840v1	Contig	reference genome	N	GenBank	2023-12-27	454972726	2910	2910	N	83321	median span of 10 measured metazoa gene(s)	0.455	0.136	class_rep	Symphyla
GCF_004210375.1	Tachypleus tridentatus	6853	metazoa	Metazoa	Arthropoda	Merostomata	Xiphosura	ASM421037v1	Chromosome	reference genome	Y	RefSeq	2019-04-03	2167470406	169002194	1644156	Y	83321	median span of 10 measured metazoa gene(s)	2.167	0.650	class_rep	Merostomata
GCA_019973955.1	Trichonephila inaurata madagascariensis	2747483	metazoa	Metazoa	Arthropoda	Arachnida	Araneae	Tnin_1.0	Scaffold	reference genome	Y	GenBank	2021-07-22	2507041000	231352	37557	N	83321	median span of 10 measured metazoa gene(s)	2.507	0.752	copy_number	Trichonephila inaurata madagascariensis
GCF_051362555.1	Lingula anatina	7574	metazoa	Metazoa	Brachiopoda	Lingulata	Lingulida	LinAna3.0	Chromosome	reference genome	Y	RefSeq	2025-07-15	329283289	30086056	22282850	Y	83321	median span of 10 measured metazoa gene(s)	0.329	0.099	phylum_rep;copy_number	Brachiopoda | Lingula anatina (Brachiopod) (Lingula unguis)
GCA_964035545.1	Bugula neritina	10212	metazoa	Metazoa	Bryozoa	Gymnolaemata	Cheilostomatida	tzBugNeri2.1	Chromosome	reference genome	N	GenBank	2024-04-29	215994306	24795343	3968814	Y	83321	median span of 10 measured metazoa gene(s)	0.216	0.065	copy_number	Bugula neritina (Brown bryozoan) (Sertularia neritina)
GCF_963576615.1	Watersipora subatra	2589382	metazoa	Metazoa	Bryozoa	Gymnolaemata	Cheilostomatida	tzWatSuba1.1	Chromosome	reference genome	Y	RefSeq	2023-11-03	783738342	66545008	4547826	Y	83321	median span of 10 measured metazoa gene(s)	0.784	0.235	phylum_rep	Bryozoa
GCA_965153355.1	Flaccisagitta enflata	366393	metazoa	Metazoa	Chaetognatha	Sagittoidea	Aphragmophora	fea_ontR9_illumina_hic	Chromosome	reference genome	N	GenBank	2025-02-26	794207595	91246909	1023674	Y	83321	median span of 10 measured metazoa gene(s)	0.794	0.238	phylum_rep	Chaetognatha
GCF_965202585.1	Thalia democratica	34761	metazoa	Metazoa	Chordata	Thaliacea	Salpida	ktThaDemo2.hap1.1	Chromosome	reference genome	Y	RefSeq	2025-03-14	801799274	85725539	12003043	Y	83321	median span of 10 measured metazoa gene(s)	0.802	0.241	phylum_rep	Chordata
GCF_037890685.1	Hydra vulgaris	6087	metazoa	Metazoa	Cnidaria	Hydrozoa	Anthoathecata	HydraT2T_105	Complete Genome	reference genome	Y	RefSeq	2024-03-28	834212037	56075473	56075473	Y	83321	median span of 10 measured metazoa gene(s)	0.834	0.250	phylum_rep	Cnidaria
GCF_932526225.1	Nematostella vectensis	45351	metazoa	Metazoa	Cnidaria	Anthozoa	Actiniaria	jaNemVect1.1	Chromosome	reference genome	Y	RefSeq	2022-03-23	269418438	17865913	2927189	Y	83321	median span of 10 measured metazoa gene(s)	0.269	0.081	anchor	45351
GCA_902702795.2	Paramuricea clavata	317549	metazoa	Metazoa	Cnidaria	Anthozoa	Malacalcyonacea	PACLA8	Scaffold	reference genome	Y	GenBank	2022-11-08	606969498	23918	19152	N	83321	median span of 10 measured metazoa gene(s)	0.607	0.182	copy_number	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)
GCF_026151205.1	Bolinopsis microptera	2820187	metazoa	Metazoa	Ctenophora	Tentaculata	Lobata	MBARI_Bmic_1.0	Chromosome	reference genome	Y	RefSeq	2022-11-14	265435384	20825282	3068845	Y	83321	median span of 10 measured metazoa gene(s)	0.265	0.080	phylum_rep	Ctenophora
GCA_011109175.1	Dicyema japonicum	399803	metazoa	Metazoa	Dicyemida	Rhombozoa		ASM1110917v1	Scaffold	reference genome	N	GenBank	2020-03-10	67542437	1000208	192981	Y	83321	median span of 10 measured metazoa gene(s)	0.068	0.020	phylum_rep	Dicyemida
GCF_039555335.1	Amphiura filiformis	82378	metazoa	Metazoa	Echinodermata	Ophiuroidea	Amphilepidida	Afil_fr2py	Chromosome	reference genome	Y	RefSeq	2024-05-07	1570979288	68856880	2118894	Y	83321	median span of 10 measured metazoa gene(s)	1.571	0.471	phylum_rep	Echinodermata
GCF_000002235.5	Strongylocentrotus purpuratus	7668	metazoa	Metazoa	Echinodermata	Echinoidea	Camarodonta	Spur_5.0	Scaffold	reference genome	Y	RefSeq	2019-09-06	921840143	37282239	2052140	Y	83321	median span of 10 measured metazoa gene(s)	0.922	0.277	anchor	7668
GCA_047495785.1	Lepidodermella squamata	1194616	metazoa	Metazoa	Gastrotricha		Chaetonotida	ASM4749578v1	Contig	reference genome	N	GenBank	2025-02-06	121234032	3623880	3623880	Y	83321	median span of 10 measured metazoa gene(s)	0.121	0.036	phylum_rep	Gastrotricha
GCF_041260155.1	Ptychodera flava	63121	metazoa	Metazoa	Hemichordata	Enteropneusta		AS_Pfla_20210202	Chromosome	reference genome	Y	RefSeq	2024-08-16	1161750505	44014232	6516602	Y	83321	median span of 10 measured metazoa gene(s)	1.162	0.349	phylum_rep	Hemichordata
GCF_978046115.1	Saccoglossus kowalevskii	10224	metazoa	Metazoa	Hemichordata	Enteropneusta		keSacKowa6.1	Chromosome	reference genome	Y	RefSeq	2026-03-01	895420700	38410638	3829129	Y	83321	median span of 10 measured metazoa gene(s)	0.895	0.269	copy_number	Saccoglossus kowalevskii (Acorn worm)
GCF_020536995.1	Dreissena polymorpha	45954	metazoa	Metazoa	Mollusca	Bivalvia	Myida	UMN_Dpol_1.0	Chromosome	reference genome	Y	RefSeq	2021-10-21	1797942340	117515028	1111654	Y	83321	median span of 10 measured metazoa gene(s)	1.798	0.539	copy_number	Dreissena polymorpha (Zebra mussel) (Mytilus polymorpha)
GCA_019649035.1	Elysia marginata	1093978	metazoa	Metazoa	Mollusca	Gastropoda		Ema_v1	Scaffold	reference genome	Y	GenBank	2021-05-09	790322091	225654	6205	N	83321	median span of 10 measured metazoa gene(s)	0.790	0.237	copy_number	Elysia marginata
GCF_053919585.1	Euprymna scolopes	6613	metazoa	Metazoa	Mollusca	Cephalopoda	Sepiida	ASM5391958v1	Chromosome	reference genome	Y	RefSeq	2025-12-12	5899119343	146875326	5898897	Y	83321	median span of 10 measured metazoa gene(s)	5.899	1.770	phylum_rep	Mollusca
GCF_006345805.1	Octopus sinensis	2607531	metazoa	Metazoa	Mollusca	Cephalopoda	Octopoda	ASM634580v1	Chromosome	reference genome	Y	RefSeq	2019-06-17	2719136158	105892736	490217	Y	83321	median span of 10 measured metazoa gene(s)	2.719	0.816	copy_number	Octopus sinensis (East Asian common octopus)
GCF_000002985.6	Caenorhabditis elegans	6239	metazoa	Metazoa	Nematoda	Chromadorea	Rhabditida	WBcel235	Complete Genome	reference genome	Y	RefSeq	2013-02-07	100272607	17493829	17493829	Y	83321	median span of 10 measured metazoa gene(s)	0.100	0.030	phylum_rep;class_rep;anchor	Nematoda | Chromadorea | 6239
GCA_002796945.1	Plectus sambesii	2011161	metazoa	Metazoa	Nematoda	Chromadorea	Plectida	Psam_v1.0	Scaffold	reference genome	N	GenBank	2017-11-28	186672612	23450	22816	N	83321	median span of 10 measured metazoa gene(s)	0.187	0.056	copy_number	Plectus sambesii
GCA_900618415.1	Soboliphyme baturini	241478	metazoa	Metazoa	Nematoda	Enoplea	Dioctophymatida	S_baturini_Dall_Island_0011_upd	Scaffold	reference genome	Y	GenBank	2018-12-13	218332512	19774	3936	N	83321	median span of 10 measured metazoa gene(s)	0.218	0.065	copy_number	Soboliphyme baturini
GCA_056869335.1	Trichinella zimbabwensis	268475	metazoa	Metazoa	Nematoda	Enoplea	Trichinellida	ASM5686933v1	Chromosome	reference genome	Y	GenBank	2026-04-23	63918001	18651777	3040425	Y	83321	median span of 10 measured metazoa gene(s)	0.064	0.019	class_rep	Enoplea
GCA_976986565.1	Gordionus wolterstorffii	190562	metazoa	Metazoa	Nematomorpha	Gordioida	Chordodea	tfGorWolt8.1	Chromosome	reference genome	N	GenBank	2025-10-14	210545467	53486554	53486554	Y	83321	median span of 10 measured metazoa gene(s)	0.211	0.063	phylum_rep	Nematomorpha
GCF_964204645.1	Tubulanus polymorphus	672921	metazoa	Metazoa	Nemertea	Palaeonemertea	Tubulaniformes	tnTubPoly1.2	Chromosome	reference genome	Y	RefSeq	2024-12-06	267806677	24873478	9529141	Y	83321	median span of 10 measured metazoa gene(s)	0.268	0.080	phylum_rep	Nemertea
GCA_028023455.1	Epiperipatus broadwayi	2448278	metazoa	Metazoa	Onychophora	Udeonychophora	Euonychophora	ASM2802345v1	Scaffold	reference genome	N	GenBank	2023-01-26	5601407764	5322020	972830	Y	83321	median span of 10 measured metazoa gene(s)	5.601	1.680	phylum_rep	Onychophora
GCA_001642005.1	Intoshia linei	1819745	metazoa	Metazoa	Orthonectida			IntLin1.0	Scaffold	reference genome	Y	GenBank	2016-05-10	41603068	26268	25991	N	83321	median span of 10 measured metazoa gene(s)	0.042	0.012	phylum_rep;copy_number	Orthonectida | Intoshia linei
GCA_055505105.1	Phoronis australis	115415	metazoa	Metazoa	Phoronida			PhoAus2.0	Chromosome	reference genome	N	GenBank	2025-11-21	529053937	44188788	9691388	Y	83321	median span of 10 measured metazoa gene(s)	0.529	0.159	phylum_rep	Phoronida
GCF_000150275.1	Trichoplax adhaerens	10228	metazoa	Metazoa	Placozoa	Uniplacotomia	Trichoplacea	v1.0	Scaffold	reference genome	Y	RefSeq	2008-06-17	105631681	5978658	204191	Y	83321	median span of 10 measured metazoa gene(s)	0.106	0.032	phylum_rep	Placozoa
GCA_002269645.1	Macrostomum lignano	282301	metazoa	Metazoa	Platyhelminthes			Mlig_3_7	Scaffold	reference genome	Y	GenBank	2017-08-24	764410778	246204	215276	Y	83321	median span of 10 measured metazoa gene(s)	0.764	0.229	copy_number	Macrostomum lignano
GCF_000699445.3	Schistosoma haematobium	6185	metazoa	Metazoa	Platyhelminthes	Trematoda	Strigeidida	UoM_Shae.V3	Chromosome	reference genome	Y	RefSeq	2022-02-10	400271889	48328128	20231032	Y	83321	median span of 10 measured metazoa gene(s)	0.400	0.120	phylum_rep	Platyhelminthes
GCA_053814205.1	Sparganum proliferum	64606	metazoa	Metazoa	Platyhelminthes	Cestoda	Diphyllobothriidea	SprJ_4.0	Chromosome	reference genome	Y	GenBank	2025-10-11	680796419	85402002	732546	Y	83321	median span of 10 measured metazoa gene(s)	0.681	0.204	absence_clade	Cestoda
GCA_944472135.2	Trichobilharzia regenti	157069	metazoa	Metazoa	Platyhelminthes	Trematoda	Strigeidida	tdTriRege1.2	Chromosome	reference genome	Y	GenBank	2022-09-15	954242115	125840967	3882242	Y	83321	median span of 10 measured metazoa gene(s)	0.954	0.286	copy_number	Trichobilharzia regenti (Nasal bird schistosome)
GCF_000090795.2	Amphimedon queenslandica	400682	metazoa	Metazoa	Porifera	Demospongiae	Haplosclerida	v1.1	Scaffold	reference genome	Y	RefSeq	2010-05-28	164242647	123180	12197	N	83321	median span of 10 measured metazoa gene(s)	0.164	0.049	copy_number	Amphimedon queenslandica (Sponge)
GCF_963678975.1	Dysidea avara	196820	metazoa	Metazoa	Porifera	Demospongiae	Dictyoceratida	odDysAvar1.4	Chromosome	reference genome	Y	RefSeq	2024-02-11	550830897	40518090	1714350	Y	83321	median span of 10 measured metazoa gene(s)	0.551	0.165	phylum_rep	Porifera
GCA_030141605.1	Tubiluchus corallicola	121012	metazoa	Metazoa	Priapulida	Priapulimorpha	Priapulimorphida	ASM3014160v1	Scaffold	reference genome	N	GenBank	2023-05-31	345366841	363593	296101	Y	83321	median span of 10 measured metazoa gene(s)	0.345	0.104	phylum_rep	Priapulida
GCA_021613535.1	Adineta vaga	104782	metazoa	Metazoa	Rotifera	Eurotatoria	Adinetida	ASM2161353v1	Chromosome	reference genome	Y	GenBank	2022-01-26	100824805	16930519	14694427	Y	83321	median span of 10 measured metazoa gene(s)	0.101	0.030	phylum_rep	Rotifera
GCA_010279815.1	Brachionus plicatilis	10195	metazoa	Metazoa	Rotifera	Eurotatoria	Ploima	ASM1027981v1	Scaffold	reference genome	N	GenBank	2020-02-06	106939251	1156906	55822	N	83321	median span of 10 measured metazoa gene(s)	0.107	0.032	copy_number	Brachionus plicatilis (Marine rotifer) (Brachionus muelleri)
GCF_019649055.1	Paramacrobiotus metropolitanus	2943436	metazoa	Metazoa	Tardigrada	Eutardigrada	Parachela	Prichtersi_v1.0	Scaffold	reference genome	Y	RefSeq	2021-06-17	170509133	1033953	1033953	Y	83321	median span of 10 measured metazoa gene(s)	0.171	0.051	phylum_rep	Tardigrada
GCF_964194025.1	Convolutriloba macropyga	536237	metazoa	Metazoa	Xenacoelomorpha		Acoela	txConMacr16.3	Chromosome	reference genome	Y	RefSeq	2025-07-07	1175981408	68616625	185568	Y	83321	median span of 10 measured metazoa gene(s)	1.176	0.353	phylum_rep	Xenacoelomorpha
GCF_000186865.1	Aureococcus anophagefferens	44056	other			Pelagophyceae	Pelagomonadales	v 1.0	Scaffold	reference genome	Y	RefSeq	2011-02-15	56660572	1405779	34096	Y	19435	no other gene span was measured; the global median of 16 genes is used instead	0.057	0.017	copy_number	Aureococcus anophagefferens (Harmful bloom alga)
GCA_963970005.1	Durusdinium trenchii	1381693	other			Dinophyceae	Suessiales	Durusdinium_trenchii_CCMP2556	Scaffold	reference genome	Y	GenBank	2024-03-04	1711485134	774259	38374	Y	19435	no other gene span was measured; the global median of 16 genes is used instead	1.711	0.513	copy_number	Durusdinium trenchii
GCF_000315625.1	Guillardia theta CCMP2712	905079	other			Cryptophyceae	Pyrenomonadales	Guith1	Scaffold	reference genome	Y	RefSeq	2012-12-05	87145349	545808	40445	Y	19435	no other gene span was measured; the global median of 16 genes is used instead	0.087	0.026	copy_number	Guillardia theta (strain CCMP2712) (Cryptophyte)
GCF_000188695.1	Salpingoeca rosetta	946362	other			Choanoflagellata	Craspedida	Proterospongia_sp_ATCC50818	Scaffold	reference genome	Y	RefSeq	2011-02-10	55440309	1519553	34760	Y	19435	no other gene span was measured; the global median of 16 genes is used instead	0.055	0.017	copy_number	Salpingoeca rosetta (Choanoflagellate)
GCA_030267625.1	Triparma retinervis	2557542	other			Bolidophyceae	Parmales	TrRE_01	Scaffold	reference genome	Y	GenBank	2023-05-25	36536487	8214	3044	N	19435	no other gene span was measured; the global median of 16 genes is used instead	0.037	0.011	copy_number	Triparma retinervis
GCA_054601695.1	Amorphochlora amoebiformis	1561963	other		Cercozoa	Chlorarachniophyceae		ASM5460169v1	Contig	reference genome	Y	GenBank	2025-10-17	214195709	693001	693001	Y	19435	no other gene span was measured; the global median of 16 genes is used instead	0.214	0.064	phylum_rep	Cercozoa
GCA_036867785.1	Plasmodiophora brassicae	37360	other		Endomyxa	Phytomyxea	Plasmodiophorida	ULAVAL_Pb3A	Complete Genome	reference genome	Y	GenBank	2024-02-25	25283981	1371253	1371253	Y	19435	no other gene span was measured; the global median of 16 genes is used instead	0.025	0.008	phylum_rep	Endomyxa
GCA_000512085.1	Reticulomyxa filosa	46433	other		Foraminifera			Reti_assembly1.0	Contig	reference genome	Y	GenBank	2013-12-30	101867045	3609	3609	N	19435	no other gene span was measured; the global median of 16 genes is used instead	0.102	0.031	phylum_rep	Foraminifera
GCF_000002435.2	Giardia duodenalis	5741	other		Fornicata		Diplomonadida	UU_WB_2.1	Chromosome	reference genome	Y	RefSeq	2019-11-06	12078186	2761001	2761001	Y	19435	no other gene span was measured; the global median of 16 genes is used instead	0.012	0.004	phylum_rep	Fornicata
GCF_000372725.1	Emiliania huxleyi CCMP1516	280463	other		Haptophyta		Isochrysidales	Emiliana huxleyi CCMP1516 main genome assembly v1.0	Scaffold	reference genome	Y	RefSeq	2013-05-02	167675649	404808	29715	Y	19435	no other gene span was measured; the global median of 16 genes is used instead	0.168	0.050	phylum_rep	Haptophyta
GCA_040529105.1	Prymnesium parvum	97485	other		Haptophyta		Prymnesiales	pryPar1.h1	Chromosome	reference genome	N	GenBank	2024-07-06	236006698	8642580	1823914	Y	19435	no other gene span was measured; the global median of 16 genes is used instead	0.236	0.071	copy_number	Prymnesium parvum (Toxic golden alga)
GCF_026262505.1	Trichomonas vaginalis G3	412133	other		Parabasalia		Trichomonadida	NYU_TvagG3_2	Chromosome	reference genome	Y	RefSeq	2022-11-21	181466644	27737965	541230	Y	19435	no other gene span was measured; the global median of 16 genes is used instead	0.181	0.054	phylum_rep	Parabasalia
GCA_033064195.1	Blattamonas nauphoetae	2049346	other		Preaxostyla		Oxymonadida	ASM3306419v1	Contig	reference genome	Y	GenBank	2023-10-26	88537989	199589	199589	Y	19435	no other gene span was measured; the global median of 16 genes is used instead	0.089	0.027	copy_number	Blattamonas nauphoetae
GCF_001643675.1	Monocercomonoides exilis	2049356	other		Preaxostyla		Oxymonadida	ASM164367v2	Contig	reference genome	Y	RefSeq	2021-11-22	82301135	1379369	1379369	Y	19435	no other gene span was measured; the global median of 16 genes is used instead	0.082	0.025	phylum_rep	Preaxostyla
GCF_000091205.1	Cyanidioschyzon merolae strain 10D	280699	other		Rhodophyta	Bangiophyceae	Cyanidiales	ASM9120v1	Complete Genome	reference genome	Y	RefSeq	2007-07-11	16546747	859119	859119	Y	19435	no other gene span was measured; the global median of 16 genes is used instead	0.017	0.005	phylum_rep;absence_clade	Rhodophyta | Rhodophyta
GCF_000208865.1	Neospora caninum	29176	sar		Apicomplexa	Conoidasida	Eucoccidiorida	ASM20886v2	Chromosome	reference genome	Y	RefSeq	2011-03-02	57547420	5490906	405161	Y	7305	median span of 2 measured sar gene(s)	0.058	0.017	absence_clade	Conoidasida
GCF_900002385.2	Plasmodium yoelii	5861	sar		Apicomplexa	Aconoidasida	Haemosporida	GCA_900002385	Complete Genome	reference genome	Y	RefSeq	2019-06-04	23043114	2046250	2046250	Y	7305	median span of 2 measured sar gene(s)	0.023	0.007	phylum_rep;absence_clade;absence_clade	Apicomplexa | Apicomplexa | Aconoidasida
GCF_000006565.2	Toxoplasma gondii ME49	508771	sar		Apicomplexa	Conoidasida	Eucoccidiorida	TGA4	Chromosome	reference genome	Y	RefSeq	2013-08-02	65633124	4973582	1219553	Y	7305	median span of 2 measured sar gene(s)	0.066	0.020	anchor	5811
GCF_000149405.2	Thalassiosira pseudonana CCMP1335	296543	sar		Bacillariophyta	Thalassiosirophyceae	Thalassiosirales	ASM14940v2	Chromosome	reference genome	Y	RefSeq	2009-01-16	32437365	1992434	1267198	Y	7305	median span of 2 measured sar gene(s)	0.032	0.010	phylum_rep;absence_clade	Bacillariophyta | Bacillariophyta
GCF_000220395.1	Ichthyophthirius multifiliis	5932	sar		Ciliophora	Oligohymenophorea	Hymenostomatida	JCVI-IMG1-V.1	Scaffold	reference genome	Y	RefSeq	2011-07-18	48799969	64045	54990	Y	7305	median span of 2 measured sar gene(s)	0.049	0.015	copy_number	Ichthyophthirius multifiliis (White spot disease agent) (Ich)
GCA_946863485.1	Moneuplotes crassus	5936	sar		Ciliophora	Spirotrichea	Euplotida	Ecrassus_DP1_MAC_1.0	Contig	reference genome	Y	GenBank	2023-07-02	59699089	2273	2273	N	7305	median span of 2 measured sar gene(s)	0.060	0.018	copy_number	Euplotes crassus
GCA_001970955.1	Stentor coeruleus	5963	sar		Ciliophora	Heterotrichea	Heterotrichida	ASM197095v1	Contig	reference genome	Y	GenBank	2017-01-25	77789515	55114	55114	Y	7305	median span of 2 measured sar gene(s)	0.078	0.023	copy_number	Stentor coeruleus
GCF_000189635.1	Tetrahymena thermophila SB210	312017	sar		Ciliophora	Oligohymenophorea	Hymenostomatida	JCVI-TTA1-2.2	Scaffold	reference genome	Y	RefSeq	2009-03-23	103014375	520943	367094	Y	7305	median span of 2 measured sar gene(s)	0.103	0.031	phylum_rep	Ciliophora
GCF_000520075.1	Aphanomyces astaci	112090	sar		Oomycota	Saprolegniomycetes	Saprolegniales	Apha_asta_APO3_V1	Scaffold	reference genome	Y	RefSeq	2014-01-14	75844385	657536	36439	Y	7305	median span of 2 measured sar gene(s)	0.076	0.023	copy_number	Aphanomyces astaci (Crayfish plague agent)
GCF_004359215.1	Bremia lactucae	4779	sar		Oomycota	Peronosporomycetes	Peronosporales	BlacSF5v2	Chromosome	reference genome	Y	RefSeq	2021-08-20	115935664	5324134	28789	Y	7305	median span of 2 measured sar gene(s)	0.116	0.035	phylum_rep	Oomycota
GCF_000006405.1	Perkinsus marinus ATCC 50983	423536	sar		Perkinsozoa		Perkinsida	JCVI_PMG_1.0	Scaffold	reference genome	Y	RefSeq	2009-06-12	86605074	157560	9619	Y	7305	median span of 2 measured sar gene(s)	0.087	0.026	phylum_rep	Perkinsozoa
GCF_000002595.2	Chlamydomonas reinhardtii	3055	viridiplantae	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonas_reinhardtii_v5.5	Chromosome	reference genome	Y	RefSeq	2018-01-26	111098438	7783580	215409	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	0.111	0.033	anchor	3055
GCF_000147415.1	Chlorella variabilis	554065	viridiplantae	Viridiplantae	Chlorophyta	Trebouxiophyceae	Chlorellales	v 1.0	Scaffold	reference genome	Y	RefSeq	2010-09-16	46159512	1469606	27941	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	0.046	0.014	absence_clade	Trebouxiophyceae
GCA_001247695.2	Cymbomonas tetramitiformis	36881	viridiplantae	Viridiplantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	ASM124769v2	Scaffold	reference genome	Y	GenBank	2023-11-03	914255959	38745	33312	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	0.914	0.274	copy_number	Cymbomonas tetramitiformis
GCF_000090985.2	Micromonas commoda	296587	viridiplantae	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	ASM9098v2	Complete Genome	reference genome	Y	RefSeq	2009-04-10	20989326	1394110	1394110	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	0.021	0.006	phylum_rep	Chlorophyta
GCF_014529385.1	Adiantum capillus-veneris	13818	viridiplantae	Viridiplantae	Streptophyta	Polypodiopsida	Polypodiales	ASM1452938v2	Chromosome	reference genome	Y	RefSeq	2022-07-05	4822565590	159320382	16209944	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	4.823	1.447	class_rep	Polypodiopsida
GCA_965644345.1	Andreaea rothii	50745	viridiplantae	Viridiplantae	Streptophyta	Andreaeopsida	Andreaeales	caAndRoth3.1	Chromosome	reference genome	N	GenBank	2025-07-28	239642140	24400634	733327	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	0.240	0.072	class_rep	Andreaeopsida
GCA_049999365.1	Andreaeobryum macrosporum	108610	viridiplantae	Viridiplantae	Streptophyta	Andreaeobryopsida	Andreaeobryales	ASM4999936v1	Scaffold	reference genome	N	GenBank	2025-04-29	307926666	13052	9354	N	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	0.308	0.092	class_rep	Andreaeobryopsida
GCA_010909165.1	Anthoceros angustus	48387	viridiplantae	Viridiplantae	Streptophyta	Anthocerotopsida	Anthocerotales	ASM1090916v1	Scaffold	reference genome	N	GenBank	2020-02-20	119348994	1092075	796643	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	0.119	0.036	class_rep	Anthocerotopsida
GCF_000001735.4	Arabidopsis thaliana	3702	viridiplantae	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	TAIR10.1	Chromosome	reference genome	Y	RefSeq	2018-03-15	119146348	23459830	11194537	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	0.119	0.036	anchor	3702
GCA_965154635.1	Calypogeia fissa	362796	viridiplantae	Viridiplantae	Streptophyta	Jungermanniopsida	Jungermanniales	CALFIS	Contig	reference genome	Y	GenBank	2025-07-07	763616257	15851540	15851540	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	0.764	0.229	class_rep	Jungermanniopsida
GCA_003427395.1	Chara braunii	69332	viridiplantae	Viridiplantae	Streptophyta	Charophyceae	Charales	Cbr_1.0	Scaffold	reference genome	Y	GenBank	2018-07-13	1751211849	2261426	11762	N	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	1.751	0.525	class_rep	Charophyceae
GCA_009103225.1	Chlorokybus atmophyticus	3144	viridiplantae	Viridiplantae	Streptophyta	Chlorokybophyceae	Chlorokybales	ASM910322v1	Scaffold	reference genome	N	GenBank	2019-10-15	74330326	752385	43061	Y	19435	no viridiplantae gene span was measured; the global median of 16 genes is used instead	0.074	0.022	class_rep	Chlorokybophyceae
