accession	organism	group	phylum	contig	start	end	strand	bait	identity	coverage	score	cds_footprint_bp
GCF_008403515.1	Naegleria fowleri	discoba	Heterolobosea	NW_025407980.1	689378	696760	+	A0AB34IS99|AB1Y20_010572|Prymnesium_parvum|Haptophyta|ITPR	0.2001	0.9629	722.0	7032
GCF_008403515.1	Naegleria fowleri	discoba	Heterolobosea	NW_025407988.1	23132	33537	-	B3RXX7|TRIADDRAFT_56365|Trichoplax_adhaerens|Placozoa|ITPR	0.2282	0.9223	1278.0	6401
GCF_011947565.3	Pollicipes pollicipes	metazoa	Arthropoda	NW_023597054.1	48090566	48132897	+	A0A4Y2F2N2|ITPR1_3|Araneus_ventricosus|Arthropoda|ITPR	0.5803	0.9629	7306.0	7552
GCF_019649055.1	Paramacrobiotus metropolitanus	metazoa	Tardigrada	NW_026570248.1	399216	412972	-	A0A1W0X7L5|BV898_02971|Hypsibius_exemplaris|Tardigrada|ITPR	0.5185	0.9978	6958.0	8593
GCF_020536995.1	Dreissena polymorpha	metazoa	Mollusca	NC_068355.1	171753885	171921137	-	A0AAN8PFL6|SNE40_013589|Patella_caerulea|Mollusca|ITPR	0.6782	0.997	9063.0	7877
GCF_020536995.1	Dreissena polymorpha	metazoa	Mollusca	NC_068359.1	80541126	80701408	-	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.4932	0.9825	6652.0	8050
GCF_020536995.1	Dreissena polymorpha	metazoa	Mollusca	NC_068359.1	81144561	81344112	+	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.4898	0.985	6594.0	8107
GCF_020536995.1	Dreissena polymorpha	metazoa	Mollusca	NC_068360.1	56884553	57061864	-	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.4723	0.9838	5872.0	7366
GCF_020536995.1	Dreissena polymorpha	metazoa	Mollusca	NC_068363.1	12913154	13018453	+	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.5056	0.9847	6995.0	8220
GCF_021134715.1	Daphnia pulex	metazoa	Arthropoda	NC_060023.1	12194005	12203814	+	A0A4Y2F2N2|ITPR1_3|Araneus_ventricosus|Arthropoda|ITPR	0.6331	0.9942	8997.0	8538
GCF_026151205.1	Bolinopsis microptera	metazoa	Ctenophora	NC_087076.1	6126372	6250554	-	A0ACF8YJ40|ACHWQZ_G010582|Mnemiopsis_leidyi|Ctenophora|ITPR	0.9273	1.0	12942.0	8079
GCF_032362555.1	Amyelois transitella	metazoa	Arthropoda	NC_083528.1	5803363	5879028	+	P29993|Itpr|Drosophila_melanogaster|Arthropoda|ITPR	0.6296	0.9996	8686.0	8097
GCF_032884065.1	Artemia franciscana	metazoa	Arthropoda	NC_088867.1	23857020	24063022	+	A0ABM1SEU6|LOC106459878|Limulus_polyphemus|Arthropoda|ITPR	0.5265	0.9943	7225.0	8172
GCF_036898095.1	Palaemon carinicauda	metazoa	Arthropoda	NC_090756.1	16189658	16405771	-	A0A4Y2F2N2|ITPR1_3|Araneus_ventricosus|Arthropoda|ITPR	0.6104	1.0	8423.0	8342
GCF_037890685.1	Hydra vulgaris	metazoa	Cnidaria	NC_088975.1	32897872	33024091	+	A0ABN8N199|PLOB_00042910|Porites_lobata|Cnidaria|ITPR	0.5971	0.9948	8116.0	7938
GCF_039555335.1	Amphiura filiformis	metazoa	Echinodermata	NC_092642.1	7798770	7951568	-	A0A7M7MY00|unnamed|Strongylocentrotus_purpuratus|Echinodermata|ITPR	0.7148	1.0	10046.0	8289
GCF_041260155.1	Ptychodera flava	metazoa	Hemichordata	NC_091933.1	35371041	35497631	-	A0A8K0A0Y4|ITPR1|Branchiostoma_lanceolatum|Chordata|ITPR	0.7286	0.9925	10408.0	8325
GCF_041260155.1	Ptychodera flava	metazoa	Hemichordata	NC_091946.1	15490640	15617327	-	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.7179	0.9981	9846.0	7777
GCF_041260155.1	Ptychodera flava	metazoa	Hemichordata	NC_091946.1	15638926	15713712	+	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.6849	0.9981	9285.0	7794
GCF_043290135.1	Rhipicephalus microplus	metazoa	Arthropoda	NC_134704.1	13392981	13483424	-	A0A4Y2F2N2|ITPR1_3|Araneus_ventricosus|Arthropoda|ITPR	0.7255	0.9939	10166.0	8148
GCF_051362555.1	Lingula anatina	metazoa	Brachiopoda	NC_141767.1	62916014	62961893	+	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.9996	1.0	14588.0	8427
GCF_051362555.1	Lingula anatina	metazoa	Brachiopoda	NC_141772.1	24676389	24744443	+	R7TPX0|unnamed|Capitella_teleta|Annelida|ITPR	0.7445	0.9952	10308.0	8163
GCF_051362555.1	Lingula anatina	metazoa	Brachiopoda	NC_141776.1	13309485	13356808	+	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.4612	0.9857	5800.0	7653
GCF_053477335.1	Acartia tonsa	metazoa	Arthropoda	NC_137273.1	40020742	40167675	+	A0A4Y2F2N2|ITPR1_3|Araneus_ventricosus|Arthropoda|ITPR	0.6042	0.9921	8229.0	7989
GCF_053919585.1	Euprymna scolopes	metazoa	Mollusca	NC_136487.1	141438749	142113333	-	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.4875	1.0	6655.0	8172
GCF_053919585.1	Euprymna scolopes	metazoa	Mollusca	NC_136509.1	53036595	53418289	+	A0AAN8PFL6|SNE40_013589|Patella_caerulea|Mollusca|ITPR	0.7254	0.9981	9914.0	7932
GCF_053919585.1	Euprymna scolopes	metazoa	Mollusca	NC_136511.1	10725919	11413358	-	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.5118	0.943	6797.0	7884
GCF_932526225.1	Nematostella vectensis	metazoa	Cnidaria	NC_064043.1	14436060	14485577	-	A0A6P8IUM8|LOC116304295|Actinia_tenebrosa|Cnidaria|ITPR	0.8456	1.0	11982.0	8166
GCF_963576615.1	Watersipora subatra	metazoa	Bryozoa	NC_088708.1	70976257	71064422	-	R7TPX0|unnamed|Capitella_teleta|Annelida|ITPR	0.663	0.9982	8933.0	8106
GCF_963576615.1	Watersipora subatra	metazoa	Bryozoa	NC_088717.1	36615214	36749381	-	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.4725	0.9935	6073.0	7692
GCF_963678975.1	Dysidea avara	metazoa	Porifera	NC_089273.1	13836631	14196065	-	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.3078	0.9954	2826.0	7834
GCF_963678975.1	Dysidea avara	metazoa	Porifera	NC_089275.1	8082122	8334781	+	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.3356	0.985	3454.0	7597
GCF_963678975.1	Dysidea avara	metazoa	Porifera	NC_089278.1	718229	735753	+	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.3446	0.9322	3305.0	7144
GCF_963678975.1	Dysidea avara	metazoa	Porifera	NC_089278.1	5305343	5331583	+	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.319	0.9488	3003.0	7303
GCF_963678975.1	Dysidea avara	metazoa	Porifera	NC_089278.1	9231511	9250545	+	A0A8K0A0Y4|ITPR1|Branchiostoma_lanceolatum|Chordata|ITPR	0.4411	0.986	5437.0	8190
GCF_963678975.1	Dysidea avara	metazoa	Porifera	NC_089278.1	10217063	10265556	+	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.3328	1.0	3430.0	7631
GCF_963678975.1	Dysidea avara	metazoa	Porifera	NC_089278.1	10271094	10284076	+	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.3352	0.985	3361.0	7883
GCF_963678975.1	Dysidea avara	metazoa	Porifera	NC_089281.1	27746234	27791181	-	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.3327	0.9303	3082.0	6816
GCF_964194025.1	Convolutriloba macropyga	metazoa	Xenacoelomorpha	NC_134474.1	11915126	12088704	+	A0A8K0A0Y4|ITPR1|Branchiostoma_lanceolatum|Chordata|ITPR	0.5241	0.986	7171.0	8496
GCF_964194025.1	Convolutriloba macropyga	metazoa	Xenacoelomorpha	NC_134474.1	12872445	13226126	+	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.4233	1.0	5245.0	7575
GCF_964204645.1	Tubulanus polymorphus	metazoa	Nemertea	NC_134025.1	7918633	7954918	+	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.5253	1.0	7426.0	8168
GCF_964204645.1	Tubulanus polymorphus	metazoa	Nemertea	NC_134027.1	4502698	4529309	-	R7TPX0|unnamed|Capitella_teleta|Annelida|ITPR	0.7522	0.9945	10462.0	8122
GCF_964204645.1	Tubulanus polymorphus	metazoa	Nemertea	NC_134029.1	1050702	1213307	+	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.467	0.985	6451.0	8302
GCF_965202585.1	Thalia democratica	metazoa	Chordata	NC_139170.1	49021015	49078858	-	A0A8K0A0Y4|ITPR1|Branchiostoma_lanceolatum|Chordata|ITPR	0.5243	0.9899	7020.0	8001
GCF_978046115.1	Saccoglossus kowalevskii	metazoa	Hemichordata	NC_140641.1	11276941	11370215	+	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	0.9973	1.0	13359.0	7806
GCF_978046115.1	Saccoglossus kowalevskii	metazoa	Hemichordata	NC_140641.1	11378478	11415912	-	A0A1S3H6V5|LOC106152615|Lingula_anatina|Brachiopoda|ITPR	0.3866	0.9345	4391.0	7322
GCF_978046115.1	Saccoglossus kowalevskii	metazoa	Hemichordata	NC_140643.1	41667453	41825787	-	A0A8K0A0Y4|ITPR1|Branchiostoma_lanceolatum|Chordata|ITPR	0.7185	0.9907	10177.0	8178
