accession	call	source	length	excluded_by
A0A553MP63	ITPR	InterPro	639	P3 639 aa < 2000 (not full length)
A0A553MRY3	RYR	InterPro	450	P3 450 aa < 2000 (not full length)
A0A553NWX6	ITPR	InterPro	809	P3 809 aa < 2000 (not full length)
A0A553NWX9	ITPR	InterPro	1045	P3 1045 aa < 2000 (not full length)
A0A553NWY6	ITPR	InterPro	1510	P3 1510 aa < 2000 (not full length)
A0A553NYK3	unassigned	InterPro	90	P1 not a family call in census v6
A0A553QSI6	RYR	InterPro	1053	P3 1053 aa < 2000 (not full length)
A0A553RPF2	RYR	InterPro	1377	P3 1377 aa < 2000 (not full length)
A0A556TQX9	ITPR	InterPro	863	P3 863 aa < 2000 (not full length)
A0A556TR06	ITPR	InterPro	1797	P3 1797 aa < 2000 (not full length)
A0A556V2Y2	RYR	InterPro	1021	P3 1021 aa < 2000 (not full length)
A0A556V9T6	ITPR	InterPro	1565	P3 1565 aa < 2000 (not full length)
A0A556VU10	ITPR	InterPro	1342	P3 1342 aa < 2000 (not full length)
A0A564YT21	RYR	InterPro	784	P3 784 aa < 2000 (not full length)
A0A5A9P1E4	RYR	InterPro	1259	P3 1259 aa < 2000 (not full length)
A0A5A9PRK6	RYR	InterPro	1437	P3 1437 aa < 2000 (not full length)
A0A5A9PT66	RYR	InterPro	1943	P3 1943 aa < 2000 (not full length)
A0A5B7CCZ6	ITPR	InterPro	170	P3 170 aa < 2000 (not full length)
A0A5B7CE02	ITPR	InterPro	235	P3 235 aa < 2000 (not full length)
A0A5B7CFD3	ITPR	InterPro	209	P3 209 aa < 2000 (not full length)
A0A5B7CR75	RYR	InterPro	918	P3 918 aa < 2000 (not full length)
A0A5B7CRX6	RYR	InterPro	693	P3 693 aa < 2000 (not full length)
A0A5B7CV44	RYR	InterPro	460	P3 460 aa < 2000 (not full length)
A0A5B7JZL1	ITPR	InterPro	75	P3 75 aa < 2000 (not full length)
A0A5C6PB87	ITPR	InterPro	655	P3 655 aa < 2000 (not full length)
A0A5C6PFF2	RYR	InterPro	1103	P3 1103 aa < 2000 (not full length)
A0A5C6PHB6	RYR	InterPro	1970	P3 1970 aa < 2000 (not full length)
A0A5C6PPT4	RYR	InterPro	1685	P3 1685 aa < 2000 (not full length)
A0A5C6PQU6	RYR	InterPro	221	P3 221 aa < 2000 (not full length)
A0A5C6PSV6	RYR	InterPro	1364	P3 1364 aa < 2000 (not full length)
A0A5E4AFT8	RYR	InterPro	1860	P3 1860 aa < 2000 (not full length)
A0A5E4B1I9	RYR	InterPro	1950	P3 1950 aa < 2000 (not full length)
A0A5E4B1P6	RYR	InterPro	1921	P3 1921 aa < 2000 (not full length)
A0A5E4B3H0	unassigned	InterPro	171	P1 not a family call in census v6
A0A5E4B4J2	unassigned	InterPro	140	P1 not a family call in census v6
A0A5E4BFW0	ITPR	InterPro	1784	P3 1784 aa < 2000 (not full length)
A0A5E4BSK9	RYR	InterPro	572	P3 572 aa < 2000 (not full length)
A0A5E4BSL4	RYR	InterPro	1088	P3 1088 aa < 2000 (not full length)
A0A5E4BVC4	unassigned	InterPro	90	P1 not a family call in census v6
A0A5E4CW35	RYR	InterPro	1762	P3 1762 aa < 2000 (not full length)
A0A5E4CWI9	ITPR	InterPro	917	P3 917 aa < 2000 (not full length)
A0A5E4LYU0	RYR	InterPro	1446	P3 1446 aa < 2000 (not full length)
A0A5E4QID8	RYR	InterPro	1233	P3 1233 aa < 2000 (not full length)
A0A5E4R6N7	ITPR	InterPro	1256	P3 1256 aa < 2000 (not full length)
A0A5E4R7R6	ITPR	InterPro	948	P3 948 aa < 2000 (not full length)
A0A5F5PNS4	ITPR	InterPro	721	P3 721 aa < 2000 (not full length)
A0A5G2RA50	ITPR	InterPro	386	P3 386 aa < 2000 (not full length)
A0A5J4P0A9	ITPR	InterPro	1026	P3 1026 aa < 2000 (not full length)
A0A5J4P0D6	ITPR	InterPro	1473	P3 1473 aa < 2000 (not full length)
A0A5J5CQB5	RYR	InterPro	415	P3 415 aa < 2000 (not full length)
A0A5J5D6C7	ITPR	InterPro	1086	P3 1086 aa < 2000 (not full length)
A0A5J5DBE5	ITPR	InterPro	1067	P3 1067 aa < 2000 (not full length)
A0A5J5MZK8	ITPR	InterPro	1960	P3 1960 aa < 2000 (not full length)
A0A5N3VKN4	ITPR	InterPro	1965	P3 1965 aa < 2000 (not full length)
A0A5N4C620	ITPR	InterPro	576	P3 576 aa < 2000 (not full length)
A0A5N4C653	unassigned	InterPro	177	P1 not a family call in census v6
A0A5N4CT44	RYR	InterPro	576	P3 576 aa < 2000 (not full length)
A0A5N4CT85	unassigned	InterPro	86	P1 not a family call in census v6
A0A5N4CW90	RYR	InterPro	476	P3 476 aa < 2000 (not full length)
A0A5N4CYA4	ITPR	InterPro	1682	P3 1682 aa < 2000 (not full length)
A0A5N4DIZ4	RYR	InterPro	1249	P3 1249 aa < 2000 (not full length)
A0A5N4DJ48	RYR	InterPro	1867	P3 1867 aa < 2000 (not full length)
A0A5N4DJ68	RYR	InterPro	545	P3 545 aa < 2000 (not full length)
A0A5N4DJ86	RYR	InterPro	281	P3 281 aa < 2000 (not full length)
A0A5N4E0X3	RYR	InterPro	382	P3 382 aa < 2000 (not full length)
A0A5N5T554	ITPR	InterPro	582	P3 582 aa < 2000 (not full length)
A0A5S6Q0N4	RYR	InterPro	623	P3 623 aa < 2000 (not full length)
A0A643CGW5	ITPR	InterPro	1861	P3 1861 aa < 2000 (not full length)
A0A653BQS5	RYR	InterPro	1638	P3 1638 aa < 2000 (not full length)
A0A653BQW0	RYR	InterPro	1638	P3 1638 aa < 2000 (not full length)
A0A653BQZ9	RYR	InterPro	1618	P3 1618 aa < 2000 (not full length)
A0A653BRL5	RYR	InterPro	1132	P3 1132 aa < 2000 (not full length)
A0A653C289	ITPR	InterPro	966	P3 966 aa < 2000 (not full length)
A0A653D8B2	RYR	InterPro	1842	P3 1842 aa < 2000 (not full length)
A0A653D8R7	RYR	InterPro	1135	P3 1135 aa < 2000 (not full length)
A0A653DHA5	RYR	InterPro	1037	P3 1037 aa < 2000 (not full length)
A0A653DJ48	RYR	InterPro	1118	P3 1118 aa < 2000 (not full length)
A0A653DNQ9	ITPR	InterPro	1091	P3 1091 aa < 2000 (not full length)
A0A662YM70	ITPR	InterPro	1653	P3 1653 aa < 2000 (not full length)
A0A662YW35	RYR	InterPro	1707	P3 1707 aa < 2000 (not full length)
A0A663MJ66	ITPR	InterPro	938	P3 938 aa < 2000 (not full length)
A0A667GYB3	ITPR	InterPro	721	P3 721 aa < 2000 (not full length)
A0A667HU25	ITPR	InterPro	181	P3 181 aa < 2000 (not full length)
A0A667X3N7	ITPR	InterPro	1591	P3 1591 aa < 2000 (not full length)
A0A667X7S2	ITPR	InterPro	208	P3 208 aa < 2000 (not full length)
A0A667Y9Y6	ITPR	InterPro	673	P3 673 aa < 2000 (not full length)
A0A668AY01	ITPR	InterPro	1945	P3 1945 aa < 2000 (not full length)
A0A668ST59	ITPR	InterPro	714	P3 714 aa < 2000 (not full length)
A0A668TGP9	RYR	InterPro	1017	P3 1017 aa < 2000 (not full length)
A0A668TZ90	unassigned	InterPro	148	P1 not a family call in census v6
A0A668VMQ4	ITPR	InterPro	711	P3 711 aa < 2000 (not full length)
A0A671DXF9	ITPR	InterPro	181	P3 181 aa < 2000 (not full length)
A0A671FD49	ITPR	InterPro	721	P3 721 aa < 2000 (not full length)
A0A671M8S4	ITPR	InterPro	706	P3 706 aa < 2000 (not full length)
A0A671N5Q7	RYR	InterPro	1043	P3 1043 aa < 2000 (not full length)
A0A671T7X9	ITPR	InterPro	708	P3 708 aa < 2000 (not full length)
A0A671YV22	RYR	InterPro	1013	P3 1013 aa < 2000 (not full length)
A0A672FC04	RYR	InterPro	958	P3 958 aa < 2000 (not full length)
A0A672H608	RYR	InterPro	1035	P3 1035 aa < 2000 (not full length)
A0A672IWY8	RYR	InterPro	1134	P3 1134 aa < 2000 (not full length)
A0A672JX95	unassigned	InterPro	162	P1 not a family call in census v6
A0A672MBU5	unassigned	InterPro	143	P1 not a family call in census v6
A0A672PJ60	ITPR	InterPro	1949	P3 1949 aa < 2000 (not full length)
A0A672PJA4	ITPR	InterPro	1944	P3 1944 aa < 2000 (not full length)
A0A672PJE6	ITPR	InterPro	1897	P3 1897 aa < 2000 (not full length)
A0A672PKM5	ITPR	InterPro	1933	P3 1933 aa < 2000 (not full length)
A0A672PLI6	ITPR	InterPro	1865	P3 1865 aa < 2000 (not full length)
A0A672PMH9	ITPR	InterPro	1845	P3 1845 aa < 2000 (not full length)
A0A672PMQ8	ITPR	InterPro	1846	P3 1846 aa < 2000 (not full length)
A0A672PN19	ITPR	InterPro	1885	P3 1885 aa < 2000 (not full length)
A0A672PNW0	ITPR	InterPro	1859	P3 1859 aa < 2000 (not full length)
A0A672PV23	ITPR	InterPro	1934	P3 1934 aa < 2000 (not full length)
A0A672QFR5	ITPR	InterPro	457	P3 457 aa < 2000 (not full length)
A0A672QJU6	RYR	InterPro	950	P3 950 aa < 2000 (not full length)
A0A673AGK1	RYR	InterPro	1020	P3 1020 aa < 2000 (not full length)
A0A673BXR0	ITPR	InterPro	714	P3 714 aa < 2000 (not full length)
A0A673C873	ITPR	InterPro	1610	P3 1610 aa < 2000 (not full length)
A0A673FIF2	ITPR	InterPro	708	P3 708 aa < 2000 (not full length)
A0A673H2U4	unassigned	InterPro	145	P1 not a family call in census v6
A0A673IT68	ITPR	InterPro	1515	P3 1515 aa < 2000 (not full length)
A0A673IWR2	ITPR	InterPro	708	P3 708 aa < 2000 (not full length)
A0A673LBU5	RYR	InterPro	978	P3 978 aa < 2000 (not full length)
A0A673MNS5	unassigned	InterPro	214	P1 not a family call in census v6
A0A673TT10	ITPR	InterPro	721	P3 721 aa < 2000 (not full length)
A0A673UY52	ITPR	InterPro	181	P3 181 aa < 2000 (not full length)
A0A673YQJ8	ITPR	InterPro	1977	P3 1977 aa < 2000 (not full length)
A0A673YQN2	ITPR	InterPro	1577	P3 1577 aa < 2000 (not full length)
A0A673YRZ3	ITPR	InterPro	714	P3 714 aa < 2000 (not full length)
A0A674B258	ITPR	InterPro	286	P3 286 aa < 2000 (not full length)
A0A674C6K8	RYR	InterPro	1013	P3 1013 aa < 2000 (not full length)
A0A6A3MJ00	ITPR	InterPro	408	P3 408 aa < 2000 (not full length)
A0A6A3XZ48	ITPR	InterPro	408	P3 408 aa < 2000 (not full length)
A0A6A4F7U6	unassigned	InterPro	333	P1 not a family call in census v6
A0A6A4VAY1	ITPR	InterPro	1076	P3 1076 aa < 2000 (not full length)
A0A6A4VLS6	ITPR	InterPro	1697	P3 1697 aa < 2000 (not full length)
A0A6A4WBV4	ITPR	InterPro	962	P3 962 aa < 2000 (not full length)
A0A6A5B5Q0	ITPR	InterPro	1517	P3 1517 aa < 2000 (not full length)
A0A6A5BJM4	ITPR	InterPro	364	P3 364 aa < 2000 (not full length)
A0A6A5BJU9	ITPR	InterPro	1238	P3 1238 aa < 2000 (not full length)
A0A6A5BK41	ITPR	InterPro	1767	P3 1767 aa < 2000 (not full length)
A0A6A5BN11	ITPR	InterPro	807	P3 807 aa < 2000 (not full length)
A0A6A5FGI9	ITPR	InterPro	1683	P3 1683 aa < 2000 (not full length)
A0A6A7G3V9	unassigned	InterPro	145	P1 not a family call in census v6
A0A6B0RER0	RYR	InterPro	1867	P3 1867 aa < 2000 (not full length)
A0A6B0RFB3	RYR	InterPro	1690	P3 1690 aa < 2000 (not full length)
A0A6B0RIX7	RYR	InterPro	480	P3 480 aa < 2000 (not full length)
A0A6B0RR61	unassigned	InterPro	77	P1 not a family call in census v6
A0A6G0IN31	ITPR	InterPro	1837	P3 1837 aa < 2000 (not full length)
A0A6G0IN55	ITPR	InterPro	682	P3 682 aa < 2000 (not full length)
A0A6G0IUI8	RYR	InterPro	1321	P3 1321 aa < 2000 (not full length)
A0A6G0J4I5	ITPR	InterPro	320	P3 320 aa < 2000 (not full length)
A0A6G0J4L1	ITPR	InterPro	1426	P3 1426 aa < 2000 (not full length)
A0A6G0J4P9	ITPR	InterPro	1046	P3 1046 aa < 2000 (not full length)
A0A6G0XB17	ITPR	InterPro	1048	P3 1048 aa < 2000 (not full length)
A0A6G0YER7	RYR	InterPro	1376	P3 1376 aa < 2000 (not full length)
A0A6H5HHL1	RYR	InterPro	886	P3 886 aa < 2000 (not full length)
A0A6H5HUU5	ITPR	InterPro	452	P3 452 aa < 2000 (not full length)
A0A6I9MXC0	ITPR	InterPro	638	P3 638 aa < 2000 (not full length)
A0A6I9MYA9	unassigned	InterPro	142	P1 not a family call in census v6
A0A6I9N479	RYR	InterPro	1252	P3 1252 aa < 2000 (not full length)
A0A6I9NCW9	ITPR	InterPro	392	P3 392 aa < 2000 (not full length)
A0A6I9ND42	RYR	InterPro	863	P3 863 aa < 2000 (not full length)
A0A6I9NFB3	RYR	InterPro	281	P3 281 aa < 2000 (not full length)
A0A6I9NFX7	RYR	InterPro	1622	P3 1622 aa < 2000 (not full length)
A0A6I9NGF5	RYR	InterPro	511	P3 511 aa < 2000 (not full length)
A0A6I9NJY5	RYR	InterPro	780	P3 780 aa < 2000 (not full length)
A0A6I9NLG9	RYR	InterPro	630	P3 630 aa < 2000 (not full length)
A0A6I9NLQ7	RYR	InterPro	1268	P3 1268 aa < 2000 (not full length)
A0A6I9NUP6	ITPR	InterPro	1709	P3 1709 aa < 2000 (not full length)
A0A6I9NVC8	ITPR	InterPro	417	P3 417 aa < 2000 (not full length)
A0A6I9NYN9	RYR	InterPro	829	P3 829 aa < 2000 (not full length)
A0A6I9P4D0	RYR	InterPro	1726	P3 1726 aa < 2000 (not full length)
A0A6I9P639	RYR	InterPro	1458	P3 1458 aa < 2000 (not full length)
A0A6I9P821	unassigned	InterPro	187	P1 not a family call in census v6
A0A6I9PAF0	unassigned	InterPro	146	P1 not a family call in census v6
A0A6I9PJI0	RYR	InterPro	888	P3 888 aa < 2000 (not full length)
A0A6I9PP13	RYR	InterPro	306	P3 306 aa < 2000 (not full length)
A0A6I9PTP5	RYR	InterPro	1717	P3 1717 aa < 2000 (not full length)
A0A6I9PXV3	RYR	InterPro	481	P3 481 aa < 2000 (not full length)
A0A6I9X1J1	RYR	InterPro	1647	P3 1647 aa < 2000 (not full length)
A0A6I9X5W6	RYR	InterPro	1680	P3 1680 aa < 2000 (not full length)
A0A6I9XP66	ITPR	InterPro	1505	P3 1505 aa < 2000 (not full length)
A0A6I9XR45	ITPR	InterPro	756	P3 756 aa < 2000 (not full length)
A0A6I9XVF3	ITPR	InterPro	236	P3 236 aa < 2000 (not full length)
A0A6I9XZQ9	RYR	InterPro	691	P3 691 aa < 2000 (not full length)
A0A6I9Y3D4	ITPR	InterPro	1532	P3 1532 aa < 2000 (not full length)
A0A6I9YKS9	RYR	InterPro	252	P3 252 aa < 2000 (not full length)
A0A6I9Z130	ITPR	InterPro	394	P3 394 aa < 2000 (not full length)
A0A6I9Z258	RYR	InterPro	1125	P3 1125 aa < 2000 (not full length)
A0A6I9ZE85	RYR	InterPro	1319	P3 1319 aa < 2000 (not full length)
A0A6J0JBV2	unassigned	InterPro	139	P1 not a family call in census v6
A0A6J1VS94	RYR	InterPro	1414	P3 1414 aa < 2000 (not full length)
A0A6J1VSD9	RYR	InterPro	1420	P3 1420 aa < 2000 (not full length)
A0A6J1VW80	RYR	InterPro	1666	P3 1666 aa < 2000 (not full length)
A0A6J1W094	RYR	InterPro	340	P3 340 aa < 2000 (not full length)
A0A6J1W0Z5	RYR	InterPro	1412	P3 1412 aa < 2000 (not full length)
A0A6J1W3S5	unassigned	InterPro	288	P1 not a family call in census v6
A0A6J1WBS5	unassigned	InterPro	148	P1 not a family call in census v6
A0A6J2J978	ITPR	InterPro	1997	P3 1997 aa < 2000 (not full length)
A0A6J2J983	ITPR	InterPro	960	P3 960 aa < 2000 (not full length)
A0A6J8AQR8	ITPR	InterPro	783	P3 783 aa < 2000 (not full length)
A0A6J8ATV4	ITPR	InterPro	791	P3 791 aa < 2000 (not full length)
A0A6P3RME5	RYR	InterPro	1218	P3 1218 aa < 2000 (not full length)
A0A6P5ABM7	ITPR	InterPro	1367	P3 1367 aa < 2000 (not full length)
A0A6P5ALE4	ITPR	InterPro	967	P3 967 aa < 2000 (not full length)
A0A6P6NDZ2	RYR	InterPro	282	P3 282 aa < 2000 (not full length)
A0A6P6NL89	RYR	InterPro	762	P3 762 aa < 2000 (not full length)
A0A6P6NS93	RYR	InterPro	1527	P3 1527 aa < 2000 (not full length)
A0A6P7U7S7	ITPR	InterPro	870	P3 870 aa < 2000 (not full length)
A0A6P7U8I7	ITPR	InterPro	500	P3 500 aa < 2000 (not full length)
A0A6P8UW51	ITPR	InterPro	1853	P3 1853 aa < 2000 (not full length)
A0A6P8W0K6	RYR	InterPro	739	P3 739 aa < 2000 (not full length)
A0A6P8WD64	RYR	InterPro	734	P3 734 aa < 2000 (not full length)
A0A6Q2Z1S6	RYR	InterPro	989	P3 989 aa < 2000 (not full length)
A0A6S7H4S0	ITPR	InterPro	1295	P3 1295 aa < 2000 (not full length)
A0A6S7HTL5	ITPR	InterPro	1426	P3 1426 aa < 2000 (not full length)
A0A6S7JVE1	ITPR	InterPro	881	P3 881 aa < 2000 (not full length)
A0A7D9DNX6	ITPR	InterPro	351	P3 351 aa < 2000 (not full length)
A0A7D9DSD2	ITPR	InterPro	239	P3 239 aa < 2000 (not full length)
A0A7E4VXK5	RYR	InterPro	1283	P3 1283 aa < 2000 (not full length)
A0A7E6EH83	ITPR	InterPro	589	P3 589 aa < 2000 (not full length)
A0A7E6EIE7	ITPR	InterPro	556	P3 556 aa < 2000 (not full length)
A0A7E6EIJ3	ITPR	InterPro	997	P3 997 aa < 2000 (not full length)
A0A7E6F585	RYR	InterPro	1194	P3 1194 aa < 2000 (not full length)
A0A7F8Q512	ITPR	InterPro	570	P3 570 aa < 2000 (not full length)
A0A7F8RJB1	ITPR	InterPro	256	P3 256 aa < 2000 (not full length)
A0A7G2CLF3	ITPR	InterPro	1315	P3 1315 aa < 2000 (not full length)
A0A7I8VN50	ITPR	InterPro	1242	P3 1242 aa < 2000 (not full length)
A0A7I8VNA3	ITPR	InterPro	1211	P3 1211 aa < 2000 (not full length)
A0A7I8VNW3	ITPR	InterPro	976	P3 976 aa < 2000 (not full length)
A0A7I8VR16	ITPR	InterPro	1418	P3 1418 aa < 2000 (not full length)
A0A7I8W5Y9	RYR	InterPro	1982	P3 1982 aa < 2000 (not full length)
A0A7I8W737	RYR	InterPro	1344	P3 1344 aa < 2000 (not full length)
A0A7I8W7Y7	RYR	InterPro	1666	P3 1666 aa < 2000 (not full length)
A0A7I8W9L7	ITPR	InterPro	1991	P3 1991 aa < 2000 (not full length)
A0A7J0E5D7	unassigned	InterPro	1301	P1 not a family call in census v6
A0A7J5X6T9	RYR	InterPro	1214	P3 1214 aa < 2000 (not full length)
A0A7J5XUU2	RYR	InterPro	892	P3 892 aa < 2000 (not full length)
A0A7J5XUW2	unassigned	InterPro	162	P1 not a family call in census v6
A0A7J5Y5P8	RYR	InterPro	1223	P3 1223 aa < 2000 (not full length)
A0A7J5YKX8	RYR	InterPro	1859	P3 1859 aa < 2000 (not full length)
A0A7J5YWZ8	RYR	InterPro	1770	P3 1770 aa < 2000 (not full length)
A0A7J5Z421	ITPR	InterPro	1961	P3 1961 aa < 2000 (not full length)
A0A7J5ZGL3	unassigned	InterPro	266	P1 not a family call in census v6
A0A7J6AQI2	RYR	InterPro	1142	P3 1142 aa < 2000 (not full length)
A0A7J6ART9	RYR	InterPro	1565	P3 1565 aa < 2000 (not full length)
A0A7J6ATH9	RYR	InterPro	1678	P3 1678 aa < 2000 (not full length)
A0A7J6C360	RYR	InterPro	1944	P3 1944 aa < 2000 (not full length)
A0A7J6MH59	ITPR	InterPro	724	P3 724 aa < 2000 (not full length)
A0A7J7EJ93	ITPR	InterPro	1753	P3 1753 aa < 2000 (not full length)
A0A7J7EZC3	ITPR	InterPro	1810	P3 1810 aa < 2000 (not full length)
A0A7J7F2V3	RYR	InterPro	1890	P3 1890 aa < 2000 (not full length)
A0A7J7FEF3	RYR	InterPro	938	P3 938 aa < 2000 (not full length)
A0A7J7IU56	unassigned	InterPro	124	P1 not a family call in census v6
A0A7J7J3T9	ITPR	InterPro	783	P3 783 aa < 2000 (not full length)
A0A7J7J401	ITPR	InterPro	1724	P3 1724 aa < 2000 (not full length)
A0A7J7JC37	ITPR	InterPro	299	P3 299 aa < 2000 (not full length)
A0A7J7JJZ9	ITPR	InterPro	482	P3 482 aa < 2000 (not full length)
A0A7J7JQ18	unassigned	InterPro	173	P1 not a family call in census v6
A0A7J7JRK3	ITPR	InterPro	361	P3 361 aa < 2000 (not full length)
A0A7J7JRK8	ITPR	InterPro	1529	P3 1529 aa < 2000 (not full length)
A0A7J7KG12	RYR	InterPro	629	P3 629 aa < 2000 (not full length)
A0A7J7KIA4	ITPR	InterPro	400	P3 400 aa < 2000 (not full length)
A0A7J7KJC9	ITPR	InterPro	421	P3 421 aa < 2000 (not full length)
A0A7J7KKU0	ITPR	InterPro	420	P3 420 aa < 2000 (not full length)
A0A7J7UCJ2	ITPR	InterPro	1893	P3 1893 aa < 2000 (not full length)
A0A7J7UCJ9	ITPR	InterPro	931	P3 931 aa < 2000 (not full length)
A0A7J7UCK1	unassigned	InterPro	208	P1 not a family call in census v6
A0A7J7UCN7	ITPR	InterPro	892	P3 892 aa < 2000 (not full length)
A0A7J7WCY0	ITPR	InterPro	1025	P3 1025 aa < 2000 (not full length)
A0A7J7WCY1	ITPR	InterPro	413	P3 413 aa < 2000 (not full length)
A0A7J7ZI75	unassigned	InterPro	181	P1 not a family call in census v6
A0A7J8B1J6	RYR	InterPro	235	P3 235 aa < 2000 (not full length)
A0A7J8B1X6	unassigned	InterPro	98	P1 not a family call in census v6
A0A7J8BAB7	RYR	InterPro	1408	P3 1408 aa < 2000 (not full length)
A0A7J8BAG3	RYR	InterPro	439	P3 439 aa < 2000 (not full length)
A0A7J8BLV2	RYR	InterPro	1025	P3 1025 aa < 2000 (not full length)
A0A7J8CLB4	RYR	InterPro	846	P3 846 aa < 2000 (not full length)
A0A7J8CLJ5	RYR	InterPro	523	P3 523 aa < 2000 (not full length)
A0A7J8DBC8	ITPR	InterPro	404	P3 404 aa < 2000 (not full length)
A0A7J8DBI9	ITPR	InterPro	311	P3 311 aa < 2000 (not full length)
A0A7J8FY90	ITPR	InterPro	1335	P3 1335 aa < 2000 (not full length)
A0A7J8HQB6	ITPR	InterPro	1236	P3 1236 aa < 2000 (not full length)
A0A7J8HQB8	ITPR	InterPro	887	P3 887 aa < 2000 (not full length)
A0A7J8HR82	ITPR	InterPro	939	P3 939 aa < 2000 (not full length)
A0A7J8HRL6	ITPR	InterPro	728	P3 728 aa < 2000 (not full length)
A0A7J8IMK2	RYR	InterPro	1154	P3 1154 aa < 2000 (not full length)
A0A7J8JET2	ITPR	InterPro	1218	P3 1218 aa < 2000 (not full length)
A0A7J8JVT8	RYR	InterPro	1869	P3 1869 aa < 2000 (not full length)
A0A7J8K9S9	ITPR	InterPro	896	P3 896 aa < 2000 (not full length)
A0A7J8K9Z5	ITPR	InterPro	1261	P3 1261 aa < 2000 (not full length)
A0A7K4IVT0	ITPR	InterPro	288	P3 288 aa < 2000 (not full length)
A0A7K4IX01	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A7K4J197	RYR	InterPro	75	P3 75 aa < 2000 (not full length)
A0A7K4JTQ1	ITPR	InterPro	270	P3 270 aa < 2000 (not full length)
A0A7K4JZ78	RYR	InterPro	76	P3 76 aa < 2000 (not full length)
A0A7K4K1X3	ITPR	InterPro	288	P3 288 aa < 2000 (not full length)
A0A7K4KN91	RYR	InterPro	254	P3 254 aa < 2000 (not full length)
A0A7K4KNK8	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A7K4KT36	ITPR	InterPro	268	P3 268 aa < 2000 (not full length)
A0A7K4LGJ6	RYR	InterPro	291	P3 291 aa < 2000 (not full length)
A0A7K4LJ84	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A7K4LQX9	RYR	InterPro	76	P3 76 aa < 2000 (not full length)
A0A7K4LVZ3	ITPR	InterPro	288	P3 288 aa < 2000 (not full length)
A0A7K4PA67	RYR	InterPro	76	P3 76 aa < 2000 (not full length)
A0A7K4PH25	ITPR	InterPro	288	P3 288 aa < 2000 (not full length)
A0A7K4Q0C2	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A7K4QF85	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A7K4QGS9	ITPR	InterPro	288	P3 288 aa < 2000 (not full length)
A0A7K4R5M5	RYR	InterPro	76	P3 76 aa < 2000 (not full length)
A0A7K4R7F7	RYR	InterPro	75	P3 75 aa < 2000 (not full length)
A0A7K4RM49	RYR	InterPro	76	P3 76 aa < 2000 (not full length)
A0A7K4RUN7	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A7K4SFN0	RYR	InterPro	266	P3 266 aa < 2000 (not full length)
A0A7K4SG44	RYR	InterPro	279	P3 279 aa < 2000 (not full length)
A0A7K4T0R3	RYR	InterPro	76	P3 76 aa < 2000 (not full length)
A0A7K4T8P2	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A7K4TCX9	ITPR	InterPro	288	P3 288 aa < 2000 (not full length)
A0A7K4TEZ6	RYR	InterPro	75	P3 75 aa < 2000 (not full length)
A0A7K4UDH0	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A7K4UKX0	RYR	InterPro	76	P3 76 aa < 2000 (not full length)
A0A7K4UMX0	RYR	InterPro	247	P3 247 aa < 2000 (not full length)
A0A7K4V468	RYR	InterPro	76	P3 76 aa < 2000 (not full length)
A0A7K4VEW0	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A7K4VIS6	ITPR	InterPro	288	P3 288 aa < 2000 (not full length)
A0A7K4WHB5	ITPR	InterPro	288	P3 288 aa < 2000 (not full length)
A0A7K4WHN3	RYR	InterPro	76	P3 76 aa < 2000 (not full length)
A0A7K4WSF6	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A7K4X145	RYR	InterPro	65	P3 65 aa < 2000 (not full length)
A0A7K4X3B5	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A7K4XPD0	ITPR	InterPro	288	P3 288 aa < 2000 (not full length)
A0A7K4XSV7	RYR	InterPro	76	P3 76 aa < 2000 (not full length)
A0A7K4YSV6	RYR	InterPro	252	P3 252 aa < 2000 (not full length)
A0A7K4YVI7	RYR	InterPro	76	P3 76 aa < 2000 (not full length)
A0A7K4Z1P4	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A7K4ZEI6	ITPR	InterPro	287	P3 287 aa < 2000 (not full length)
A0A7K4ZHP9	RYR	InterPro	76	P3 76 aa < 2000 (not full length)
A0A7K4ZMI8	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A7K5B1J7	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A7K5B8U3	RYR	InterPro	73	P3 73 aa < 2000 (not full length)
A0A7K5BCZ3	RYR	InterPro	76	P3 76 aa < 2000 (not full length)
A0A7K5BHF6	RYR	InterPro	278	P3 278 aa < 2000 (not full length)
A0A7K5BMR8	RYR	InterPro	76	P3 76 aa < 2000 (not full length)
A0A7K5BW64	ITPR	InterPro	288	P3 288 aa < 2000 (not full length)
A0A7K5C4S5	RYR	InterPro	284	P3 284 aa < 2000 (not full length)
A0A7K5CCR2	ITPR	InterPro	285	P3 285 aa < 2000 (not full length)
A0A7K5CGH9	RYR	InterPro	76	P3 76 aa < 2000 (not full length)
