accession	species	group	tax_class	length	reviewed	census_call	census_confidence	gene	protein_name	seq_family	family_rel_margin	family_runner_up	itpr_bits	ryr_bits	paralog_askable	seq_paralog	paralog_rel_margin	paralog_runner_up	symbol_verdict	symbol_claim	name_verdict	name_claim	n_bait_hits	panel_reaches_claim	has_naming_pfam	n_family_pfam	arch_call	profile_call	instruments	sequence_resolved
A0A6P4ZVN0	Branchiostoma belcheri (Amphioxus)	Metazoa (non-vertebrate)	Leptocardii	2843	0	ITPR	high	LOC109477077	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9515	RYR	3628	176	0	not_asked	0		placeholder		correct_paralog	ITPR	38	1	1	4	ITPR	ITPR	v4+s20	1
A0A6P5DT17	Bos indicus (Zebu)	Vertebrata	Mammalia	2709	0	ITPR	high	ITPR1	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9687	RYR	5557	174	1	ITPR1	0.3151	ITPR2	correct_paralog	ITPR1	paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P5IFA7	Phascolarctos cinereus (Koala)	Vertebrata	Mammalia	2698	0	ITPR	high	ITPR2	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9661	RYR	5287	179	1	ITPR2	0.2797	ITPR1	correct_paralog	ITPR2	paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P5IPT2	Phascolarctos cinereus (Koala)	Vertebrata	Mammalia	2748	0	ITPR	high	ITPR1	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9687	RYR	5563	174	1	ITPR1	0.3173	ITPR2	correct_paralog	ITPR1	paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P5IPT6	Phascolarctos cinereus (Koala)	Vertebrata	Mammalia	2695	0	ITPR	high	ITPR1	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9683	RYR	5456	173	1	ITPR1	0.3021	ITPR2	correct_paralog	ITPR1	paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P5IPX0	Phascolarctos cinereus (Koala)	Vertebrata	Mammalia	2735	0	ITPR	high	ITPR1	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9687	RYR	5533	173	1	ITPR1	0.3154	ITPR2	correct_paralog	ITPR1	paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P5IST1	Phascolarctos cinereus (Koala)	Vertebrata	Mammalia	2750	0	ITPR	high	ITPR1	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9689	RYR	5570	173	1	ITPR1	0.3181	ITPR2	correct_paralog	ITPR1	paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P5IST8	Phascolarctos cinereus (Koala)	Vertebrata	Mammalia	2710	0	ITPR	high	ITPR1	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9685	RYR	5492	173	1	ITPR1	0.3043	ITPR2	correct_paralog	ITPR1	paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P5IYU9	Phascolarctos cinereus (Koala)	Vertebrata	Mammalia	2747	0	ITPR	high	ITPR1	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9687	RYR	5560	174	1	ITPR1	0.3167	ITPR2	correct_paralog	ITPR1	paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P5IZV1	Phascolarctos cinereus (Koala)	Vertebrata	Mammalia	2749	0	ITPR	high	ITPR1	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9689	RYR	5564	173	1	ITPR1	0.3174	ITPR2	correct_paralog	ITPR1	paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P5IZV7	Phascolarctos cinereus (Koala)	Vertebrata	Mammalia	2734	0	ITPR	high	ITPR1	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9685	RYR	5527	174	1	ITPR1	0.3145	ITPR2	correct_paralog	ITPR1	paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P5JJ00	Phascolarctos cinereus (Koala)	Vertebrata	Mammalia	5051	0	RYR	high	RYR1	Ryanodine receptor 1 (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-typ	RYR	0.9777	ITPR	181	8121	1	RYR1	0.1723	RYR2	correct_paralog	RYR1	paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P5L4P8	Phascolarctos cinereus (Koala)	Vertebrata	Mammalia	4878	0	RYR	high	RYR3	Ryanodine receptor 3 (Brain ryanodine receptor-calcium release channel) (Brain-type ryanodine receptor) (Type 3 ryanodin	RYR	0.9647	ITPR	176	4982	1	no_call	0.0118	RYR1	correct_paralog	RYR3	correct_paralog	RYR3	38	0	1	4	RYR	RYR	both	1
A0A6P5LDU6	Phascolarctos cinereus (Koala)	Vertebrata	Mammalia	4975	0	RYR	high	RYR2	Ryanodine receptor 2 (Cardiac muscle ryanodine receptor) (Cardiac muscle ryanodine receptor-calcium release channel) (Ty	RYR	0.9824	ITPR	177	10051	1	RYR2	0.3046	RYR1	correct_paralog	RYR2	paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P5LEC9	Phascolarctos cinereus (Koala)	Vertebrata	Mammalia	2668	0	ITPR	high	ITPR3	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9651	RYR	5125	179	1	ITPR3	0.3085	ITPR2	correct_paralog	ITPR3	paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P5PHL9	Mus caroli (Ryukyu mouse) (Ricefield mouse)	Vertebrata	Mammalia	4868	0	RYR	high	Ryr3	Ryanodine receptor 3 (Brain ryanodine receptor-calcium release channel) (Brain-type ryanodine receptor) (Type 3 ryanodin	RYR	0.9646	ITPR	177	4999	1	no_call	0.017	RYR1	correct_paralog	RYR3	correct_paralog	RYR3	38	0	1	4	RYR	RYR	both	1
A0A6P5Q664	Mus caroli (Ryukyu mouse) (Ricefield mouse)	Vertebrata	Mammalia	5030	0	RYR	high	Ryr1	Ryanodine receptor 1 (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-typ	RYR	0.9776	ITPR	180	8053	1	RYR1	0.1644	RYR2	correct_paralog	RYR1	paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P5R8Y7	Mus caroli (Ryukyu mouse) (Ricefield mouse)	Vertebrata	Mammalia	2670	0	ITPR	high	Itpr3	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9683	RYR	5549	176	1	ITPR3	0.3703	ITPR2	correct_paralog	ITPR3	paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6BT56	Pteropus vampyrus (Large flying fox)	Vertebrata	Mammalia	3116	0	RYR	high	LOC105304450	Ryanodine receptor 2	RYR	0.9536	ITPR	177	3812	1	RYR1	0.1813	RYR2	placeholder		paralog_unspecified	RYR	38	1	0	2	RYR	RYR	both	1
A0A6P6C8Q1	Pteropus vampyrus (Large flying fox)	Vertebrata	Mammalia	4789	0	RYR	high	RYR3	Ryanodine receptor 3 (Brain ryanodine receptor-calcium release channel) (Brain-type ryanodine receptor) (Type 3 ryanodin	RYR	0.9585	ITPR	177	4264	1	no_call	0.0148	RYR1	correct_paralog	RYR3	correct_paralog	RYR3	38	0	1	4	RYR	RYR	both	1
A0A6P6CP30	Pteropus vampyrus (Large flying fox)	Vertebrata	Mammalia	2801	0	ITPR	high	ITPR1	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9286	RYR	2437	174	1	ITPR1	0.2561	ITPR2	correct_paralog	ITPR1	paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6D3Z6	Pteropus vampyrus (Large flying fox)	Vertebrata	Mammalia	2600	0	ITPR	high	ITPR3	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9545	RYR	3822	174	1	ITPR3	0.1494	ITPR1	correct_paralog	ITPR3	paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6D913	Octodon degus (Degu) (Sciurus degus)	Vertebrata	Mammalia	4976	0	RYR	high	Ryr2	Ryanodine receptor 2 (Cardiac muscle ryanodine receptor) (Cardiac muscle ryanodine receptor-calcium release channel) (Ty	RYR	0.9826	ITPR	178	10201	1	RYR2	0.3144	RYR1	correct_paralog	RYR2	paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6D932	Octodon degus (Degu) (Sciurus degus)	Vertebrata	Mammalia	4968	0	RYR	high	Ryr2	Ryanodine receptor 2 (Cardiac muscle ryanodine receptor) (Cardiac muscle ryanodine receptor-calcium release channel) (Ty	RYR	0.9826	ITPR	178	10204	1	RYR2	0.3147	RYR1	correct_paralog	RYR2	paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6D954	Octodon degus (Degu) (Sciurus degus)	Vertebrata	Mammalia	4964	0	RYR	high	Ryr2	Ryanodine receptor 2 (Cardiac muscle ryanodine receptor) (Cardiac muscle ryanodine receptor-calcium release channel) (Ty	RYR	0.9825	ITPR	178	10178	1	RYR2	0.3121	RYR1	correct_paralog	RYR2	paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6D9N5	Octodon degus (Degu) (Sciurus degus)	Vertebrata	Mammalia	4974	0	RYR	high	Ryr2	Ryanodine receptor 2 (Cardiac muscle ryanodine receptor) (Cardiac muscle ryanodine receptor-calcium release channel) (Ty	RYR	0.9825	ITPR	178	10190	1	RYR2	0.314	RYR1	correct_paralog	RYR2	paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6DAA9	Octodon degus (Degu) (Sciurus degus)	Vertebrata	Mammalia	4976	0	RYR	high	Ryr2	Ryanodine receptor 2 (Cardiac muscle ryanodine receptor) (Cardiac muscle ryanodine receptor-calcium release channel) (Ty	RYR	0.9825	ITPR	178	10196	1	RYR2	0.3141	RYR1	correct_paralog	RYR2	paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6DAB6	Octodon degus (Degu) (Sciurus degus)	Vertebrata	Mammalia	4956	0	RYR	high	Ryr2	Ryanodine receptor 2 (Cardiac muscle ryanodine receptor) (Cardiac muscle ryanodine receptor-calcium release channel) (Ty	RYR	0.9825	ITPR	178	10185	1	RYR2	0.3125	RYR1	correct_paralog	RYR2	paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6DG70	Octodon degus (Degu) (Sciurus degus)	Vertebrata	Mammalia	4854	0	RYR	high	Ryr3	Ryanodine receptor 3 (Brain ryanodine receptor-calcium release channel) (Brain-type ryanodine receptor) (Type 3 ryanodin	RYR	0.9627	ITPR	177	4749	1	no_call	0.0103	RYR1	correct_paralog	RYR3	correct_paralog	RYR3	38	0	1	4	RYR	RYR	both	1
A0A6P6EA21	Octodon degus (Degu) (Sciurus degus)	Vertebrata	Mammalia	2740	0	ITPR	high	Itpr1	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9686	RYR	5602	176	1	ITPR1	0.3252	ITPR2	correct_paralog	ITPR1	paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6ERH2	Octodon degus (Degu) (Sciurus degus)	Vertebrata	Mammalia	2610	0	ITPR	high	Itpr2	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9787	RYR	4970	106	1	ITPR2	0.3119	ITPR1	correct_paralog	ITPR2	paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6EYM8	Octodon degus (Degu) (Sciurus degus)	Vertebrata	Mammalia	5059	0	RYR	high	Ryr1	Ryanodine receptor 1 (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-typ	RYR	0.9777	ITPR	180	8076	1	RYR1	0.1686	RYR2	correct_paralog	RYR1	paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6EZ64	Octodon degus (Degu) (Sciurus degus)	Vertebrata	Mammalia	5054	0	RYR	high	Ryr1	Ryanodine receptor 1 (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-typ	RYR	0.9777	ITPR	180	8063	1	RYR1	0.1663	RYR2	correct_paralog	RYR1	paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6F7I6	Bombus impatiens (Bumblebee)	Metazoa (non-vertebrate)	Insecta	5148	0	RYR	high	LOC100749661	Ryanodine receptor isoform X2	RYR	0.9453	ITPR	174	3183	0	not_asked	0		placeholder		correct_paralog	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6F7T0	Bombus impatiens (Bumblebee)	Metazoa (non-vertebrate)	Insecta	5140	0	RYR	high	LOC100749661	Ryanodine receptor isoform X4	RYR	0.9458	ITPR	173	3192	0	not_asked	0		placeholder		correct_paralog	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6FIX9	Bombus impatiens (Bumblebee)	Metazoa (non-vertebrate)	Insecta	2736	0	ITPR	high	LOC100747875	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9501	RYR	3365	168	0	not_asked	0		placeholder		correct_paralog	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6FIY7	Bombus impatiens (Bumblebee)	Metazoa (non-vertebrate)	Insecta	2800	0	ITPR	high	LOC100747875	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9501	RYR	3370	168	0	not_asked	0		placeholder		correct_paralog	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6FK89	Bombus impatiens (Bumblebee)	Metazoa (non-vertebrate)	Insecta	2805	0	ITPR	high	LOC100747875	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9501	RYR	3368	168	0	not_asked	0		placeholder		correct_paralog	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6FK94	Bombus impatiens (Bumblebee)	Metazoa (non-vertebrate)	Insecta	2727	0	ITPR	high	LOC100747875	Inositol 1,4,5-trisphosphate receptor	ITPR	0.95	RYR	3362	168	0	not_asked	0		placeholder		correct_paralog	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6FKL4	Bombus impatiens (Bumblebee)	Metazoa (non-vertebrate)	Insecta	2774	0	ITPR	high	LOC100747875	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9504	RYR	3384	168	0	not_asked	0		placeholder		correct_paralog	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6FKW8	Bombus impatiens (Bumblebee)	Metazoa (non-vertebrate)	Insecta	2753	0	ITPR	high	LOC100747875	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9501	RYR	3364	168	0	not_asked	0		placeholder		correct_paralog	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6H4F0	Puma concolor (Mountain lion) (Felis concolor)	Vertebrata	Mammalia	3942	0	RYR	high	RYR1	Ryanodine receptor 1 (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-typ	RYR	0.9604	ITPR	139	3511	1	RYR1	0.1581	RYR2	correct_paralog	RYR1	paralog_unspecified	RYR	38	1	0	3	RYR	RYR	both	1
A0A6P6H575	Puma concolor (Mountain lion) (Felis concolor)	Vertebrata	Mammalia	4982	0	RYR	high	RYR2	Ryanodine receptor 2 (Cardiac muscle ryanodine receptor) (Cardiac muscle ryanodine receptor-calcium release channel) (Ty	RYR	0.9825	ITPR	177	10100	1	RYR2	0.3134	RYR1	correct_paralog	RYR2	paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6HGZ2	Puma concolor (Mountain lion) (Felis concolor)	Vertebrata	Mammalia	4788	0	RYR	high	RYR3	Ryanodine receptor 3 (Brain ryanodine receptor-calcium release channel) (Brain-type ryanodine receptor) (Type 3 ryanodin	RYR	0.9297	ITPR	177	2517	1	no_call	0.0163	RYR1	correct_paralog	RYR3	correct_paralog	RYR3	38	0	1	4	RYR	RYR	both	1
A0A6P6HNL4	Puma concolor (Mountain lion) (Felis concolor)	Vertebrata	Mammalia	2694	0	ITPR	high	ITPR1	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9684	RYR	5505	174	1	ITPR1	0.3108	ITPR2	correct_paralog	ITPR1	paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6HNN0	Puma concolor (Mountain lion) (Felis concolor)	Vertebrata	Mammalia	2709	0	ITPR	high	ITPR1	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9688	RYR	5545	173	1	ITPR1	0.3143	ITPR2	correct_paralog	ITPR1	paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6HQ07	Puma concolor (Mountain lion) (Felis concolor)	Vertebrata	Mammalia	2742	0	ITPR	high	ITPR1	Inositol 1,4,5-trisphosphate receptor	ITPR	0.969	RYR	5607	174	1	ITPR1	0.3278	ITPR2	correct_paralog	ITPR1	paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6I1Y8	Puma concolor (Mountain lion) (Felis concolor)	Vertebrata	Mammalia	2556	0	ITPR	high	ITPR3	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9684	RYR	4558	144	1	ITPR3	0.5546	ITPR2	correct_paralog	ITPR3	paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6ID65	Puma concolor (Mountain lion) (Felis concolor)	Vertebrata	Mammalia	2701	0	ITPR	high	ITPR2	Inositol 1,4,5-trisphosphate receptor	ITPR	0.968	RYR	5527	177	1	ITPR2	0.3123	ITPR1	correct_paralog	ITPR2	paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6K9M6	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	2667	0	ITPR	high	LOC113050374	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9656	RYR	5294	182	1	ITPR1	0.3147	ITPR2	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6KAX5	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	2710	0	ITPR	high	LOC113050374	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9663	RYR	5399	182	1	ITPR1	0.3289	ITPR2	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6KD78	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	2682	0	ITPR	high	LOC113050374	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9659	RYR	5334	182	1	ITPR1	0.3178	ITPR2	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6KTV9	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	5078	0	RYR	high	LOC113054428	Ryanodine receptor 1-like isoform X3	RYR	0.9779	ITPR	177	8009	1	RYR1	0.1756	RYR2	placeholder		paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6KTW5	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	5071	0	RYR	high	LOC113054428	Ryanodine receptor 1-like isoform X8	RYR	0.9777	ITPR	178	7994	1	RYR1	0.1752	RYR2	placeholder		paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6KTX4	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	5083	0	RYR	high	LOC113054428	Ryanodine receptor 1-like isoform X1	RYR	0.9778	ITPR	178	8004	1	RYR1	0.1789	RYR2	placeholder		paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6KTY2	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	5075	0	RYR	high	LOC113054428	Ryanodine receptor 1-like isoform X6	RYR	0.9779	ITPR	177	7993	1	RYR1	0.1754	RYR2	placeholder		paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6KTY8	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	5064	0	RYR	high	LOC113054428	Ryanodine receptor 1-like isoform X11	RYR	0.9777	ITPR	178	7999	1	RYR1	0.1714	RYR2	placeholder		paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6KU22	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	5081	0	RYR	high	LOC113054428	Ryanodine receptor 1-like isoform X2	RYR	0.9778	ITPR	178	8001	1	RYR1	0.1779	RYR2	placeholder		paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6KU29	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	5072	0	RYR	high	LOC113054428	Ryanodine receptor 1-like isoform X7	RYR	0.9779	ITPR	177	8012	1	RYR1	0.1751	RYR2	placeholder		paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6KWJ2	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	5077	0	RYR	high	LOC113054428	Ryanodine receptor 1-like isoform X4	RYR	0.9778	ITPR	178	8006	1	RYR1	0.1779	RYR2	placeholder		paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6KWK1	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	5070	0	RYR	high	LOC113054428	Ryanodine receptor 1-like isoform X9	RYR	0.9779	ITPR	177	8010	1	RYR1	0.1739	RYR2	placeholder		paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6KWV5	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	5077	0	RYR	high	LOC113054428	Ryanodine receptor 1-like isoform X5	RYR	0.9777	ITPR	178	7992	1	RYR1	0.1762	RYR2	placeholder		paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6KWW1	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	5069	0	RYR	high	LOC113054428	Ryanodine receptor 1-like isoform X10	RYR	0.9777	ITPR	178	7992	1	RYR1	0.1745	RYR2	placeholder		paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6KYQ1	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	2772	0	ITPR	high	LOC113055353	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9656	RYR	5002	172	1	ITPR1	0.2351	ITPR2	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6KYQ4	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	2769	0	ITPR	high	LOC113055353	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9656	RYR	5007	172	1	ITPR1	0.2345	ITPR2	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6KYQ8	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	2732	0	ITPR	high	LOC113055353	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9652	RYR	4944	172	1	ITPR1	0.2283	ITPR2	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6KYQ9	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	2719	0	ITPR	high	LOC113055353	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9653	RYR	4954	172	1	ITPR1	0.2277	ITPR2	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6KYT5	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	2748	0	ITPR	high	LOC113055353	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9654	RYR	4977	172	1	ITPR1	0.2345	ITPR2	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6KYU0	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	2716	0	ITPR	high	LOC113055353	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9653	RYR	4960	172	1	ITPR1	0.2274	ITPR2	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6L0I5	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	4961	0	RYR	high	ryr2a	Ryanodine receptor 2 isoform X1	RYR	0.9824	ITPR	176	9982	1	RYR2	0.307	RYR1	correct_paralog	RYR2	paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6L0J5	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	4099	0	RYR	high	ryr2a	Ryanodine receptor 2 isoform X2	RYR	0.9784	ITPR	176	8134	1	RYR2	0.3204	RYR1	correct_paralog	RYR2	paralog_unspecified	RYR	38	1	0	2	RYR	RYR	both	1
A0A6P6L1B8	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	2759	0	ITPR	high	LOC113055353	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9657	RYR	5011	172	1	ITPR1	0.2353	ITPR2	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6L1C3	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	2756	0	ITPR	high	LOC113055353	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9657	RYR	5017	172	1	ITPR1	0.2345	ITPR2	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6L1G1	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	2760	0	ITPR	high	LOC113055353	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9655	RYR	4982	172	1	ITPR1	0.235	ITPR2	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6L3F5	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	4614	0	RYR	high	LOC113055893	LOW QUALITY PROTEIN: ryanodine receptor 2-like	RYR	0.981	ITPR	176	9271	1	RYR2	0.3086	RYR1	placeholder		paralog_unspecified	RYR	38	1	0	3	RYR	RYR	both	1
A0A6P6LPK0	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	2648	0	ITPR	high	LOC113061517	Inositol 1,4,5-trisphosphate receptor	ITPR	0.9613	RYR	4734	183	1	ITPR2	0.2913	ITPR1	placeholder		paralog_unspecified	ITPR	38	1	1	4	ITPR	ITPR	both	1
A0A6P6LQJ1	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	5085	0	RYR	high	LOC113061686	Ryanodine receptor 1 (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-typ	RYR	0.978	ITPR	181	8224	1	RYR1	0.1684	RYR2	placeholder		paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6LQJ6	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	5074	0	RYR	high	LOC113061686	Ryanodine receptor 1 (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-typ	RYR	0.9779	ITPR	181	8205	1	RYR1	0.1649	RYR2	placeholder		paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6LQK5	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	5086	0	RYR	high	LOC113061686	Ryanodine receptor 1 (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-typ	RYR	0.978	ITPR	181	8212	1	RYR1	0.1673	RYR2	placeholder		paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
A0A6P6LQN2	Carassius auratus (Goldfish)	Vertebrata	Actinopteri	5085	0	RYR	high	LOC113061686	Ryanodine receptor 1 (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-typ	RYR	0.978	ITPR	181	8218	1	RYR1	0.1679	RYR2	placeholder		paralog_unspecified	RYR	38	1	1	4	RYR	RYR	both	1
