accession	call	confidence	reason	arch_call	symbol_class	conflict	gene	protein_name	species	taxon_id	group	kingdom	phylum	class	order	family	length	in_band	fragment	reviewed	protein_existence	in_alphafold	seed_pfams	pfams	n_itpr_arch	ryr_pfams	source
A0A3P8QSH9	ITPR	high	itpr_arch_complete	ITPR		0		Inositol 1,4,5-trisphosphate receptor	Astatotilapia calliptera (Eastern river bream) (Chromis callipterus)	8154	Vertebrata	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	2711	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A3P8RF68	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RYR3	Ryanodine receptor 3	Astatotilapia calliptera (Eastern river bream) (Chromis callipterus)	8154	Vertebrata	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	4778	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A3P8RGV7	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR2	Inositol 1,4,5-trisphosphate receptor	Astatotilapia calliptera (Eastern river bream) (Chromis callipterus)	8154	Vertebrata	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	2683	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A3P8RRC6	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0		Ryanodine receptor 3 (Brain ryanodine receptor-calcium release channel) (Brain-type ryanodine receptor) (Type 3 ryanodin	Amphiprion percula (Orange clownfish) (Lutjanus percula)	161767	Vertebrata	Metazoa	Chordata	Actinopteri		Pomacentridae	4757	0		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A3P8S6G8	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0		Ryanodine receptor 2	Amphiprion percula (Orange clownfish) (Lutjanus percula)	161767	Vertebrata	Metazoa	Chordata	Actinopteri		Pomacentridae	4593	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A3P8SE98	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0		Ryanodine receptor 3	Amphiprion percula (Orange clownfish) (Lutjanus percula)	161767	Vertebrata	Metazoa	Chordata	Actinopteri		Pomacentridae	4723	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A3P8SFI0	ITPR	high	itpr_arch_complete	ITPR		0		Inositol 1,4,5-trisphosphate receptor	Amphiprion percula (Orange clownfish) (Lutjanus percula)	161767	Vertebrata	Metazoa	Chordata	Actinopteri		Pomacentridae	2625	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A3P8SU81	ITPR	high	itpr_arch_complete	ITPR		0		Inositol 1,4,5-trisphosphate receptor	Amphiprion percula (Orange clownfish) (Lutjanus percula)	161767	Vertebrata	Metazoa	Chordata	Actinopteri		Pomacentridae	2701	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A3P8T7I5	RYR	high	ryr_pfam=PF00622+PF02026	RYR		0		Ryanodine receptor 2b (cardiac)	Amphiprion percula (Orange clownfish) (Lutjanus percula)	161767	Vertebrata	Metazoa	Chordata	Actinopteri		Pomacentridae	977	0		0	Predicted	1	PF01365;PF08709	PF00622;PF01365;PF02026;PF02815;PF08709	3	PF00622;PF02026	both
A0A3P8T829	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0		Ryanodine receptor 1 (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-typ	Amphiprion percula (Orange clownfish) (Lutjanus percula)	161767	Vertebrata	Metazoa	Chordata	Actinopteri		Pomacentridae	5072	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A3P8U0Q1	ITPR	high	itpr_arch_complete	ITPR		0		Inositol 1,4,5-trisphosphate receptor	Amphiprion percula (Orange clownfish) (Lutjanus percula)	161767	Vertebrata	Metazoa	Chordata	Actinopteri		Pomacentridae	2699	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A3P8U700	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0		Ryanodine receptor 1	Amphiprion percula (Orange clownfish) (Lutjanus percula)	161767	Vertebrata	Metazoa	Chordata	Actinopteri		Pomacentridae	5048	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A3P8U7E8	unassigned	none	itpr_arch_partial=3/5	unassigned		0		Inositol 1,4,5-trisphosphate receptor	Amphiprion percula (Orange clownfish) (Lutjanus percula)	161767	Vertebrata	Metazoa	Chordata	Actinopteri		Pomacentridae	690	0		0	Inferred from homology	1	PF08709	PF00520;PF02815;PF08709	3		both
A0A3P8U7F7	unassigned	none	itpr_arch_weak=1/5	unassigned		0		Inositol 1,4,5-trisphosphate/ryanodine receptor domain-containing protein	Amphiprion percula (Orange clownfish) (Lutjanus percula)	161767	Vertebrata	Metazoa	Chordata	Actinopteri		Pomacentridae	178	0		0	Predicted	1	PF08709	PF08709	1		both
A0A3P8ULT3	RYR	high	ryr_pfam=PF00622+PF02026	RYR		0		MIR domain-containing protein	Cynoglossus semilaevis (Tongue sole)	244447	Vertebrata	Metazoa	Chordata	Actinopteri	Pleuronectiformes	Cynoglossidae	1015	0		0	Predicted	1	PF01365;PF08709	PF00622;PF01365;PF02026;PF02815;PF08709	3	PF00622;PF02026	both
A0A3P8UZE3	unassigned	none	itpr_arch_weak=1/5	unassigned		0		Inositol 1,4,5-trisphosphate/ryanodine receptor domain-containing protein	Cynoglossus semilaevis (Tongue sole)	244447	Vertebrata	Metazoa	Chordata	Actinopteri	Pleuronectiformes	Cynoglossidae	110	0		0	Predicted	1	PF08709	PF08709	1		both
A0A3P8UZJ9	ITPR	high	itpr_arch_complete	ITPR		0		Inositol 1,4,5-trisphosphate receptor	Cynoglossus semilaevis (Tongue sole)	244447	Vertebrata	Metazoa	Chordata	Actinopteri	Pleuronectiformes	Cynoglossidae	2721	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A3P8V8N2	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0		Ryanodine receptor 1 (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-typ	Cynoglossus semilaevis (Tongue sole)	244447	Vertebrata	Metazoa	Chordata	Actinopteri	Pleuronectiformes	Cynoglossidae	5023	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A3P8V9B8	ITPR	high	itpr_arch_complete	ITPR		0		Inositol 1,4,5-trisphosphate receptor	Cynoglossus semilaevis (Tongue sole)	244447	Vertebrata	Metazoa	Chordata	Actinopteri	Pleuronectiformes	Cynoglossidae	2652	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A3P8VLF2	unassigned	none	itpr_arch_weak=1/5	unassigned		0		Inositol 1,4,5-trisphosphate/ryanodine receptor domain-containing protein	Cynoglossus semilaevis (Tongue sole)	244447	Vertebrata	Metazoa	Chordata	Actinopteri	Pleuronectiformes	Cynoglossidae	138	0		0	Predicted	1	PF08709	PF08709	1		both
A0A3P8WKF1	ITPR	high	itpr_arch_complete	ITPR		0		Inositol 1,4,5-trisphosphate receptor	Cynoglossus semilaevis (Tongue sole)	244447	Vertebrata	Metazoa	Chordata	Actinopteri	Pleuronectiformes	Cynoglossidae	2532	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A3P8WQM1	unassigned	none	itpr_arch_weak=1/5	unassigned		0		Inositol 1,4,5-trisphosphate/ryanodine receptor domain-containing protein	Cynoglossus semilaevis (Tongue sole)	244447	Vertebrata	Metazoa	Chordata	Actinopteri	Pleuronectiformes	Cynoglossidae	228	0		0	Predicted	1	PF08709	PF08709	1		both
A0A3P8WR32	ITPR	high	itpr_arch_complete	ITPR		0		Inositol 1,4,5-trisphosphate receptor	Cynoglossus semilaevis (Tongue sole)	244447	Vertebrata	Metazoa	Chordata	Actinopteri	Pleuronectiformes	Cynoglossidae	2535	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A3P8XA65	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR2	Inositol 1,4,5-trisphosphate receptor	Esox lucius (Northern pike)	8010	Vertebrata	Metazoa	Chordata	Actinopteri	Esociformes	Esocidae	2632	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A3P8XD04	ITPR	high	itpr_arch_complete	ITPR		0		Inositol 1,4,5-trisphosphate receptor	Esox lucius (Northern pike)	8010	Vertebrata	Metazoa	Chordata	Actinopteri	Esociformes	Esocidae	2732	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A3P8XMG4	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RYR3	Ryanodine receptor 3 (Brain ryanodine receptor-calcium release channel) (Brain-type ryanodine receptor) (Type 3 ryanodin	Esox lucius (Northern pike)	8010	Vertebrata	Metazoa	Chordata	Actinopteri	Esociformes	Esocidae	4792	0		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A3P8Y0R2	ITPR	high	itpr_arch_complete	ITPR		0	PDE6A	Inositol 1,4,5-trisphosphate receptor	Esox lucius (Northern pike)	8010	Vertebrata	Metazoa	Chordata	Actinopteri	Esociformes	Esocidae	2654	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A3P8YLF1	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0		Ryanodine receptor 2	Esox lucius (Northern pike)	8010	Vertebrata	Metazoa	Chordata	Actinopteri	Esociformes	Esocidae	4916	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF13499;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A3P8YVM5	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RYR3	Ryanodine receptor 3	Esox lucius (Northern pike)	8010	Vertebrata	Metazoa	Chordata	Actinopteri	Esociformes	Esocidae	4792	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A3P9AEN0	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	ITPR1	Inositol 1,4,5-trisphosphate receptor	Esox lucius (Northern pike)	8010	Vertebrata	Metazoa	Chordata	Actinopteri	Esociformes	Esocidae	2736	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A3P9AI44	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0		Ryanodine receptor 1 (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-typ	Esox lucius (Northern pike)	8010	Vertebrata	Metazoa	Chordata	Actinopteri	Esociformes	Esocidae	5006	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A3P9B5N6	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0		Ryanodine receptor 3	Maylandia zebra (zebra mbuna)	106582	Vertebrata	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	4734	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A3P9BDB2	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0		Ryanodine receptor 2	Maylandia zebra (zebra mbuna)	106582	Vertebrata	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	4735	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A3P9BIP7	ITPR	high	itpr_arch_complete	ITPR		0		Inositol 1,4,5-trisphosphate receptor	Maylandia zebra (zebra mbuna)	106582	Vertebrata	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	2668	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A3P9BR01	ITPR	high	itpr_arch_complete	ITPR		0		Inositol 1,4,5-trisphosphate receptor	Maylandia zebra (zebra mbuna)	106582	Vertebrata	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	2691	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A3P9BTB0	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0		Ryanodine receptor 3	Maylandia zebra (zebra mbuna)	106582	Vertebrata	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	4782	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A3P9CNS9	unassigned	none	itpr_arch_partial=3/5	unassigned		0		Inositol 1,4,5-trisphosphate receptor type 2	Maylandia zebra (zebra mbuna)	106582	Vertebrata	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	1640	0		0	Predicted	0	PF01365;PF08454	PF00520;PF01365;PF08454	3		both
A0A3P9CNT3	unassigned	none	itpr_arch_weak=1/5	unassigned		0		Inositol 1,4,5-trisphosphate receptor	Maylandia zebra (zebra mbuna)	106582	Vertebrata	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	187	0		0	Inferred from homology	1	PF08709	PF08709	1		both
A0A3P9CR45	unassigned	none	itpr_arch_weak=1/5	unassigned		0		Inositol 1,4,5-trisphosphate/ryanodine receptor domain-containing protein	Maylandia zebra (zebra mbuna)	106582	Vertebrata	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	128	0		0	Predicted	1	PF08709	PF08709	1		both
A0A3P9DCU7	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0		Ryanodine receptor 1 (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-typ	Maylandia zebra (zebra mbuna)	106582	Vertebrata	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	4943	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A3P9DMC1	ITPR	high	itpr_arch_complete	ITPR		0		Inositol 1,4,5-trisphosphate receptor	Maylandia zebra (zebra mbuna)	106582	Vertebrata	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	2601	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A3P9DPV5	unassigned	none	itpr_arch_weak=1/5	unassigned		0		Inositol 1,4,5-trisphosphate/ryanodine receptor domain-containing protein	Maylandia zebra (zebra mbuna)	106582	Vertebrata	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	123	0		0	Predicted	1	PF08709	PF08709	1		both
A0A3P9N1K3	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0		Ryanodine receptor 2	Poecilia reticulata (Guppy) (Acanthophacelus reticulatus)	8081	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	4860	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A3P9NCT1	unassigned	none	itpr_arch_weak=1/5	unassigned		0		Inositol 1,4,5-trisphosphate receptor	Poecilia reticulata (Guppy) (Acanthophacelus reticulatus)	8081	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	185	0		0	Inferred from homology	1	PF08709	PF08709	1		both
A0A3P9P1D0	unassigned	none	itpr_arch_weak=1/5	unassigned		0		Inositol 1,4,5-trisphosphate/ryanodine receptor domain-containing protein	Poecilia reticulata (Guppy) (Acanthophacelus reticulatus)	8081	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	168	0		0	Predicted	0	PF08709	PF08709	1		both
A0A3P9P1N7	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0		Ryanodine receptor 2	Poecilia reticulata (Guppy) (Acanthophacelus reticulatus)	8081	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	4813	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A3P9P1U2	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0		Ryanodine receptor 2	Poecilia reticulata (Guppy) (Acanthophacelus reticulatus)	8081	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	4826	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A3P9PMB4	ITPR	high	itpr_arch_complete	ITPR		0		Inositol 1,4,5-trisphosphate receptor	Poecilia reticulata (Guppy) (Acanthophacelus reticulatus)	8081	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	2685	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A3P9PYB5	ITPR	high	itpr_arch_complete	ITPR		0		Inositol 1,4,5-trisphosphate receptor	Poecilia reticulata (Guppy) (Acanthophacelus reticulatus)	8081	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	2667	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A3P9PYD1	RYR	high	ryr_pfam=PF00622+PF02026+PF21119	RYR		0		Ryanodine receptor 1 (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-typ	Poecilia reticulata (Guppy) (Acanthophacelus reticulatus)	8081	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	3657	0		0	Predicted	0	PF01365;PF08709	PF00622;PF01365;PF02026;PF02815;PF08709;PF21119	3	PF00622;PF02026;PF21119	both
A0A3P9PZ06	ITPR	high	itpr_arch_complete	ITPR		0		Inositol 1,4,5-trisphosphate receptor	Poecilia reticulata (Guppy) (Acanthophacelus reticulatus)	8081	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	2699	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A3P9PZD6	ITPR	high	itpr_arch_complete	ITPR		0		Inositol 1,4,5-trisphosphate receptor	Poecilia reticulata (Guppy) (Acanthophacelus reticulatus)	8081	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	2633	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A3P9Q408	unassigned	none	itpr_arch_weak=1/5	unassigned		0		Inositol 1,4,5-trisphosphate/ryanodine receptor domain-containing protein	Poecilia reticulata (Guppy) (Acanthophacelus reticulatus)	8081	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	126	0		0	Predicted	1	PF08709	PF08709	1		both
A0A3P9Q453	RYR	high	ryr_pfam=PF02026+PF06459+PF21119	RYR		0		Ryanodine receptor 1	Poecilia reticulata (Guppy) (Acanthophacelus reticulatus)	8081	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	3508	1		0	Predicted	0	PF01365;PF08454	PF00520;PF01365;PF02026;PF06459;PF08454;PF21119	3	PF02026;PF06459;PF21119	both
A0A3P9Q456	RYR	high	ryr_pfam=PF02026+PF06459+PF21119	RYR		0		Ryanodine receptor 1	Poecilia reticulata (Guppy) (Acanthophacelus reticulatus)	8081	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	3513	1		0	Predicted	0	PF01365;PF08454	PF00520;PF01365;PF02026;PF06459;PF08454;PF21119	3	PF02026;PF06459;PF21119	both
A0A3P9Q4N9	RYR	high	ryr_pfam=PF02026+PF06459+PF21119	RYR		0		Ryanodine receptor 1	Poecilia reticulata (Guppy) (Acanthophacelus reticulatus)	8081	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	3507	1		0	Predicted	0	PF01365;PF08454	PF00520;PF01365;PF02026;PF06459;PF08454;PF21119	3	PF02026;PF06459;PF21119	both
A0A3P9Q7C0	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119	RYR		0		Ryanodine receptor 3	Poecilia reticulata (Guppy) (Acanthophacelus reticulatus)	8081	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	4810	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A3P9QC67	ITPR	high	itpr_arch_complete	ITPR		0		Inositol 1,4,5-trisphosphate receptor	Poecilia reticulata (Guppy) (Acanthophacelus reticulatus)	8081	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	2726	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A3Q0CIG7	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	Itpr1	Inositol 1,4,5-trisphosphate receptor	Mesocricetus auratus (Golden hamster)	10036	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	Cricetidae	2727	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A3Q0CJ40	ITPR	high	itpr_arch_complete;symbol=ITPR	ITPR	ITPR	0	Itpr1	Inositol 1,4,5-trisphosphate receptor	Mesocricetus auratus (Golden hamster)	10036	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	Cricetidae	2749	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		both
A0A3Q0DKR3	RYR	medium	ryr_pfam=PF06459	RYR		0	LOC103250145	Ryanodine receptor 2-like isoform X1	Carlito syrichta (Philippine tarsier) (Tarsius syrichta)	1868482	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Tarsiidae	1379	0		0	Predicted	0	PF08454	PF00520;PF06459;PF08454;PF13499	2	PF06459	both
A0A3Q0DMA3	RYR	medium	ryr_pfam=PF06459	RYR		0	LOC103250145	Ryanodine receptor 2-like isoform X2	Carlito syrichta (Philippine tarsier) (Tarsius syrichta)	1868482	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Tarsiidae	1191	0		0	Predicted	1	PF08454	PF00520;PF06459;PF08454;PF13499	2	PF06459	both
A0A3Q0DPM5	RYR	medium	ryr_pfam=PF02026	RYR		0	LOC103250526	Ryanodine receptor 1-like	Carlito syrichta (Philippine tarsier) (Tarsius syrichta)	1868482	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Tarsiidae	1556	0		0	Predicted	0	PF08454	PF02026;PF08454	1	PF02026	both
A0A3Q0DUR6	RYR	high	ryr_pfam=PF00622+PF02026+PF21119	RYR		0	LOC103260368	Ryanodine receptor 3-like	Carlito syrichta (Philippine tarsier) (Tarsius syrichta)	1868482	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Tarsiidae	1981	0		0	Predicted	0	PF01365;PF08709	PF00622;PF01365;PF02026;PF02815;PF08709;PF21119	3	PF00622;PF02026;PF21119	both
A0A3Q0DWL7	ITPR	medium	itpr_arch_partial=3/5;length_in_band	ITPR		0	LOC103256992	Inositol 1,4,5-trisphosphate receptor	Carlito syrichta (Philippine tarsier) (Tarsius syrichta)	1868482	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Tarsiidae	2112	1		0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		both
A0A3Q0F1Z9	unassigned	none	itpr_arch_weak=1/5	unassigned		0	LOC106762918	Armadillo repeat-containing protein 8 isoform X2	Vigna radiata var. radiata (Mung bean) (Phaseolus aureus)	3916	Viridiplantae	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	632	0		0	Predicted	1	PF01365	PF00514;PF01365;PF12755	1		both
A0A3Q0G165	RYR	high	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	RYR	RYR	0	RYR3	Ryanodine receptor 3 (Brain ryanodine receptor-calcium release channel) (Brain-type ryanodine receptor) (Type 3 ryanodin	Alligator sinensis (Chinese alligator)	38654	Vertebrata	Metazoa	Chordata		Crocodylia	Alligatoridae	4871	0		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709;PF21119	5	PF00622;PF02026;PF06459;PF21119	both
A0A3Q0G515	RYR	high	ryr_pfam=PF00622+PF02026+PF21119;symbol=RYR	RYR	RYR	0	RYR3	Ryanodine receptor 3 isoform X1	Alligator sinensis (Chinese alligator)	38654	Vertebrata	Metazoa	Chordata		Crocodylia	Alligatoridae	3912	0		0	Predicted	0	PF01365;PF08454;PF08709	PF00622;PF01365;PF02026;PF02815;PF08454;PF08709;PF21119	4	PF00622;PF02026;PF21119	both
