accession	verdict	gene	species	length	pfams	origin	source
NP_064307.2	outside UniProt namespace	ITPR2		2701		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
NP_542120.2	outside UniProt namespace	ITPR3		2670		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
O00555	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
P11881-1	isoform of censused P11881	ITPR1	Mus musculus			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
P11881-2	isoform of censused P11881	ITPR1	Mus musculus			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
P11881-3	isoform of censused P11881	ITPR1	Mus musculus			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
P11881-4	isoform of censused P11881	ITPR1	Mus musculus			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
P11881-5	isoform of censused P11881	ITPR1	Mus musculus			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
P11881-6	isoform of censused P11881	ITPR1	Mus musculus			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
P11881-7	isoform of censused P11881	ITPR1	Mus musculus			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
P11881-8	isoform of censused P11881	ITPR1	Mus musculus			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
P21333	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
P26039	s1_decoy (correctly absent)		Mus musculus			panel:panel_decoys	S1
P29994-1	isoform of censused P29994	ITPR1	Rattus norvegicus			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
P29994-2	isoform of censused P29994	ITPR1	Rattus norvegicus			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
P29994-3	isoform of censused P29994	ITPR1	Rattus norvegicus			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
P29994-4	isoform of censused P29994	ITPR1	Rattus norvegicus			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
P29994-5	isoform of censused P29994	ITPR1	Rattus norvegicus			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
P29994-6	isoform of censused P29994	ITPR1	Rattus norvegicus			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
P29994-7	isoform of censused P29994	ITPR1	Rattus norvegicus			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
P29994-8	isoform of censused P29994	ITPR1	Rattus norvegicus			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
P35498	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
P46939	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
P70227.3	outside UniProt namespace	ITPR3		2670		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
P98161	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
Q01082	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
Q13315	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
Q13402	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
Q13936	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
Q14204	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
Q14524	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
Q14571-1	isoform of censused Q14571	ITPR2	Homo sapiens			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
Q14571-2	isoform of censused Q14571	ITPR2	Homo sapiens			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
Q14571.2	outside UniProt namespace	ITPR2		2701		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
Q14573.2	outside UniProt namespace	ITPR3		2671		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
Q14643-1	isoform of censused Q14643	ITPR1	Homo sapiens			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
Q14643-2	isoform of censused Q14643	ITPR1	Homo sapiens			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
Q14643-3	isoform of censused Q14643	ITPR1	Homo sapiens			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
Q14643-4	isoform of censused Q14643	ITPR1	Homo sapiens			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
Q14643-5	isoform of censused Q14643	ITPR1	Homo sapiens			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
Q14643-6	isoform of censused Q14643	ITPR1	Homo sapiens			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
Q14643-7	isoform of censused Q14643	ITPR1	Homo sapiens			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
Q14643-8	isoform of censused Q14643	ITPR1	Homo sapiens			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
Q14643.3	outside UniProt namespace	ITPR1		2758		bundle:2026-08-18_123618_s0_smoke_human	NCBI
Q15858	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
Q15878	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
Q5S007	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
Q63269.1	outside UniProt namespace	ITPR3		2670		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
Q7Z442	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
Q8NFP9	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
Q8TDX9	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
Q8WN96.1	outside UniProt namespace	ITPR2		2701		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
Q96QT4	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
Q96RL7	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
Q9BX84	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
Q9BZ29	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
Q9UKY4	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
Q9Y490	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
Q9Y6A1	s1_decoy (correctly absent)		Homo sapiens			panel:panel_decoys	S1
Q9Z329-1	isoform of censused Q9Z329	ITPR2	Mus musculus			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
Q9Z329-2	isoform of censused Q9Z329	ITPR2	Mus musculus			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
Q9Z329-3	isoform of censused Q9Z329	ITPR2	Mus musculus			bundle:2026-08-18_091322_itpr1_itpr2_itpr3	UniProt
Q9Z329.4	outside UniProt namespace	ITPR2		2701		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_001363102.1	outside UniProt namespace	ITPR2		2698		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_003128393.1	outside UniProt namespace	ITPR3		2671		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_005166152.1	outside UniProt namespace	itpr1a		2711		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_006140375.2	outside UniProt namespace	ITPR2		2767		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_009293048.2	outside UniProt namespace	ryr3		4863		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_009293049.2	outside UniProt namespace	ryr3		4857		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_009293050.2	outside UniProt namespace	ryr3		4856		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_009300860.1	outside UniProt namespace	itpr1a		2710		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_009300862.1	outside UniProt namespace	itpr1a		2696		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_009300863.1	outside UniProt namespace	itpr1a		2683		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_009982439.2	outside UniProt namespace	ITPR1		2712		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_009982440.2	outside UniProt namespace	ITPR1		2709		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_009982441.2	outside UniProt namespace	ITPR1		2694		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_011512879.1	outside UniProt namespace	ITPR3		2610		bundle:2026-08-18_123618_s0_smoke_human	NCBI
XP_013833248.1	outside UniProt namespace	ITPR3		2670		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_014441251.1	outside UniProt namespace	ITPR1		2760		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_014441252.1	outside UniProt namespace	ITPR1		2751		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_014441253.1	outside UniProt namespace	ITPR1		2745		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_014441254.1	outside UniProt namespace	ITPR1		2737		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_014441255.1	outside UniProt namespace	ITPR1		2736		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_014441256.1	outside UniProt namespace	ITPR1		2720		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_014441257.1	outside UniProt namespace	ITPR1		2711		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_014441258.1	outside UniProt namespace	ITPR1		2696		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_014441661.1	outside UniProt namespace	ITPR3		2661		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_015740819.2	outside UniProt namespace	ITPR3		2691		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_015740820.2	outside UniProt namespace	ITPR3		2664		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_016810751.3	outside UniProt namespace	ITPR3		2687		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_016810752.3	outside UniProt namespace	ITPR3		2671		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_016866321.1	outside UniProt namespace	ITPR3		1312		bundle:2026-08-18_123618_s0_smoke_human	NCBI
XP_016874755.1	outside UniProt namespace	ITPR2		2721		bundle:2026-08-18_123618_s0_smoke_human	NCBI
XP_016874758.1	outside UniProt namespace	ITPR2		1733		bundle:2026-08-18_123618_s0_smoke_human	NCBI
XP_017207446.1	outside UniProt namespace	ryr1b		5109		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_017212153.1	outside UniProt namespace	itpr1a		2695		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_017212154.1	outside UniProt namespace	itpr1a		2682		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_017212155.1	outside UniProt namespace	itpr1a		2667		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_017212869.1	outside UniProt namespace	itpr3		2635		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_017709133.1	outside UniProt namespace	ITPR3		2671		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_019516379.1	outside UniProt namespace	ITPR3		2643		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_020924936.2	outside UniProt namespace	ITPR1		2749		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_020924938.2	outside UniProt namespace	ITPR1		2748		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_020924941.2	outside UniProt namespace	ITPR1		2709		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_020924942.2	outside UniProt namespace	ITPR1		2694		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_020924943.2	outside UniProt namespace	ITPR1		2733		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_020948578.2	outside UniProt namespace	ITPR2		2702		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_021041402.2	outside UniProt namespace	ITPR3		2771		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_021323455.1	outside UniProt namespace	itpr2		2665		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_021394344.2	outside UniProt namespace	ITPR2		2700		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_021394346.2	outside UniProt namespace	ITPR2		2685		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_021398322.1	outside UniProt namespace	ITPR3		2664		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_024212919.2	outside UniProt namespace	ITPR3		2658		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_024622064.1	outside UniProt namespace	ITPR3		2670		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_025238513.1	outside UniProt namespace	ITPR3		2671		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_025257851.1	outside UniProt namespace	ITPR2		2700		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_025786146.2	outside UniProt namespace	ITPR2		2701		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_027625575.1	outside UniProt namespace	ITPR1		2759		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_027625576.1	outside UniProt namespace	ITPR1		2736		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_027625577.1	outside UniProt namespace	ITPR1		2744		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_031791519.1	outside UniProt namespace	ITPR3		2671		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_032302128.2	outside UniProt namespace	ITPR2		2700		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_034516455.1	outside UniProt namespace	ITPR3		2671		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_040472778.1	outside UniProt namespace	ITPR3		2664		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_047274687.1	outside UniProt namespace	ITPR3		2671		bundle:2026-08-18_123618_s0_smoke_human	NCBI
XP_047274688.1	outside UniProt namespace	ITPR3		2610		bundle:2026-08-18_123618_s0_smoke_human	NCBI
XP_047274689.1	outside UniProt namespace	ITPR3		2610		bundle:2026-08-18_123618_s0_smoke_human	NCBI
XP_047274690.1	outside UniProt namespace	ITPR3		2610		bundle:2026-08-18_123618_s0_smoke_human	NCBI
XP_047284757.1	outside UniProt namespace	ITPR2		2699		bundle:2026-08-18_123618_s0_smoke_human	NCBI
XP_054211326.1	outside UniProt namespace	ITPR3		2698		bundle:2026-08-18_123618_s0_smoke_human	NCBI
XP_054211327.1	outside UniProt namespace	ITPR3		2610		bundle:2026-08-18_123618_s0_smoke_human	NCBI
XP_054211328.1	outside UniProt namespace	ITPR3		2610		bundle:2026-08-18_123618_s0_smoke_human	NCBI
XP_054211329.1	outside UniProt namespace	ITPR3		2610		bundle:2026-08-18_123618_s0_smoke_human	NCBI
XP_054211330.1	outside UniProt namespace	ITPR3		1339		bundle:2026-08-18_123618_s0_smoke_human	NCBI
XP_054227945.1	outside UniProt namespace	ITPR2		2721		bundle:2026-08-18_123618_s0_smoke_human	NCBI
XP_054227946.1	outside UniProt namespace	ITPR2		2699		bundle:2026-08-18_123618_s0_smoke_human	NCBI
XP_054227947.1	outside UniProt namespace	ITPR2		1733		bundle:2026-08-18_123618_s0_smoke_human	NCBI
XP_056674026.1	outside UniProt namespace	ITPR3		2668		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_068071751.2	outside UniProt namespace	ryr3		4861		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_068080493.2	outside UniProt namespace	itpr1b		2819		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_068080496.2	outside UniProt namespace	itpr1b		2807		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_068080497.2	outside UniProt namespace	itpr1b		2807		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_068080498.2	outside UniProt namespace	itpr1b		2806		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_068080499.2	outside UniProt namespace	itpr1b		2804		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_068080501.2	outside UniProt namespace	itpr1b		2795		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_068080505.2	outside UniProt namespace	itpr1b		2780		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_068080506.2	outside UniProt namespace	itpr1b		2779		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_068080507.2	outside UniProt namespace	itpr1b		2764		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_068080510.2	outside UniProt namespace	itpr1b		2756		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_068080511.2	outside UniProt namespace	itpr1b		2716		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773056.1	outside UniProt namespace	itpr1b		2794		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773057.1	outside UniProt namespace	itpr1b		2792		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773058.1	outside UniProt namespace	itpr1b		2792		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773059.1	outside UniProt namespace	itpr1b		2791		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773060.1	outside UniProt namespace	itpr1b		2782		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773061.1	outside UniProt namespace	itpr1b		2781		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773062.1	outside UniProt namespace	itpr1b		2779		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773063.1	outside UniProt namespace	itpr1b		2767		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773064.1	outside UniProt namespace	itpr1b		2767		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773065.1	outside UniProt namespace	itpr1b		2766		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773066.1	outside UniProt namespace	itpr1b		2760		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773067.1	outside UniProt namespace	itpr1b		2758		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773068.1	outside UniProt namespace	itpr1b		2757		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773069.1	outside UniProt namespace	itpr1b		2756		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773070.1	outside UniProt namespace	itpr1b		2755		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773071.1	outside UniProt namespace	itpr1b		2751		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773072.1	outside UniProt namespace	itpr1b		2749		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773074.1	outside UniProt namespace	itpr1b		2748		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773075.1	outside UniProt namespace	itpr1b		2747		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773076.1	outside UniProt namespace	itpr1b		2746		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773077.1	outside UniProt namespace	itpr1b		2745		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773078.1	outside UniProt namespace	itpr1b		2744		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773079.1	outside UniProt namespace	itpr1b		2742		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773080.1	outside UniProt namespace	itpr1b		2739		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773081.1	outside UniProt namespace	itpr1b		2732		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773082.1	outside UniProt namespace	itpr1b		2730		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773083.1	outside UniProt namespace	itpr1b		2729		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073773085.1	outside UniProt namespace	itpr1b		2726		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785568.1	outside UniProt namespace	ryr1b		5104		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785570.1	outside UniProt namespace	ryr1b		5103		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785571.1	outside UniProt namespace	ryr1b		5103		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785572.1	outside UniProt namespace	ryr1b		5102		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785573.1	outside UniProt namespace	ryr1b		5099		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785574.1	outside UniProt namespace	ryr1b		5098		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785575.1	outside UniProt namespace	ryr1b		5098		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785576.1	outside UniProt namespace	ryr1b		5097		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785577.1	outside UniProt namespace	ryr1b		5093		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785578.1	outside UniProt namespace	ryr1b		5093		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785579.1	outside UniProt namespace	ryr1b		5092		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785581.1	outside UniProt namespace	ryr1b		5089		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785582.1	outside UniProt namespace	ryr1b		5088		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785583.1	outside UniProt namespace	ryr1b		5087		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785584.1	outside UniProt namespace	ryr1b		5084		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785585.1	outside UniProt namespace	ryr1b		5083		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785586.1	outside UniProt namespace	ryr1b		5083		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785587.1	outside UniProt namespace	ryr1b		5082		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785588.1	outside UniProt namespace	ryr1b		5078		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785589.1	outside UniProt namespace	ryr1b		5078		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785590.1	outside UniProt namespace	ryr1b		5077		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785591.1	outside UniProt namespace	ryr1b		5072		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785592.1	outside UniProt namespace	ryr1b		5076		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073785593.1	outside UniProt namespace	ryr1b		5071		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073810471.1	outside UniProt namespace	itpr1a		2698		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073810472.1	outside UniProt namespace	itpr1a		2695		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073810473.1	outside UniProt namespace	itpr1a		2694		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073810474.1	outside UniProt namespace	itpr1a		2684		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073810475.1	outside UniProt namespace	itpr1a		2683		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073810476.1	outside UniProt namespace	itpr1a		2668		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_073810477.1	outside UniProt namespace	itpr1a		2165		bundle:2026-08-18_092259_itpr1a_itpr1b_itpr2	NCBI
XP_077645204.1	outside UniProt namespace	ITPR3		2663		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083216559.1	outside UniProt namespace	ITPR3		2665		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083216560.1	outside UniProt namespace	ITPR3		2252		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083255332.1	outside UniProt namespace	ITPR2		2700		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083255333.1	outside UniProt namespace	ITPR2		2699		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083255334.1	outside UniProt namespace	ITPR2		2684		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083255335.1	outside UniProt namespace	ITPR2		2660		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083255336.1	outside UniProt namespace	ITPR2		2596		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083255337.1	outside UniProt namespace	ITPR2		2516		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083255338.1	outside UniProt namespace	ITPR2		2514		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083255339.1	outside UniProt namespace	ITPR2		2304		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083301735.1	outside UniProt namespace	ITPR3		2665		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083320254.1	outside UniProt namespace	ITPR2		2698		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083320255.1	outside UniProt namespace	ITPR2		2697		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083320256.1	outside UniProt namespace	ITPR2		2682		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083320257.1	outside UniProt namespace	ITPR2		2658		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083320258.1	outside UniProt namespace	ITPR2		2594		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083320259.1	outside UniProt namespace	ITPR2		2514		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083320260.1	outside UniProt namespace	ITPR2		2512		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083365276.1	outside UniProt namespace	ITPR3		2665		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083409836.1	outside UniProt namespace	ITPR3		2698		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_083409837.1	outside UniProt namespace	ITPR3		2697		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
