accession	call	confidence	rule	core	gene	species	taxon_id	group	phylum	class	order	length
A0A0L0CKU0	ITPR	high	longest per species	0	FF38_03739	Lucilia cuprina (Green bottle fly) (Australian sheep blowfly)	7375	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	2810
A0AAV2IEK8	ITPR	high	longest per species	0	GSLYS_00017757001	Lymnaea stagnalis (Great pond snail) (Helix stagnalis)	6523	Metazoa (non-vertebrate)	Mollusca	Gastropoda		2753
A0AAV0WNE1	ITPR	high	longest per species	0	MEUPH1_LOCUS12973	Macrosiphum euphorbiae (potato aphid)	13131	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hemiptera	3832
A0A267FZQ8	ITPR	high	longest per species	0	BOX15_Mlig001931g5	Macrostomum lignano	282301	Metazoa (non-vertebrate)	Platyhelminthes			2918
A0ACF7KHB0	ITPR	high	longest per species	0	ACF0H5_005634	Mactra antiquata	2302425	Metazoa (non-vertebrate)	Mollusca	Bivalvia	Venerida	2872
A0A8W8K1L7	ITPR	high	longest per species	0		Magallana gigas (Pacific oyster) (Crassostrea gigas)	29159	Metazoa (non-vertebrate)	Mollusca	Bivalvia	Ostreida	2905
A0A921Z0H7	ITPR	high	longest per species	0	O3G_MSEX005940	Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm)	7130	Metazoa (non-vertebrate)	Arthropoda	Insecta	Lepidoptera	2721
A0A7R9PTU4	ITPR	medium	longest per species	0	OSB1V03_LOCUS865	Medioppia subpectinata	1979941	Metazoa (non-vertebrate)	Arthropoda	Arachnida	Sarcoptiformes	2685
A0AAV7XRM6	ITPR	high	longest per species	0	ONE63_009288	Megalurothrips usitatus (bean blossom thrips)	439358	Metazoa (non-vertebrate)	Arthropoda	Insecta	Thysanoptera	2737
A0ACF8ZNZ8	ITPR	high	longest per species	0	ACFFRR_000912	Megaselia abdita (Humpbacked fly)	88686	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	2772
A0AA40G5S4	ITPR	high	longest per species	0	K0M31_017920	Melipona bicolor	60889	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2663
A0A0N0BFT7	ITPR	high	longest per species	0	WN51_13890	Melipona quadrifasciata	166423	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2689
A0ACB0ZYK3	ITPR	high	longest per species	0	MENTE1834_LOCUS31451	Meloidogyne enterolobii (Root-knot nematode worm) (Meloidogyne mayaguensis)	390850	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	3101
A0A8T0A4H6	ITPR	medium	longest per species	0	Mgra_00000106	Meloidogyne graminicola	189291	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2592
A0A914LTT6	ITPR	high	longest per species	0		Meloidogyne incognita (Southern root-knot nematode worm) (Oxyuris incognita)	6306	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	3169
A0A915LDK8	ITPR	medium	longest per species	0		Meloidogyne javanica (Root-knot nematode worm)	6303	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2103
A0AAF3EE84	ITPR	high	longest per species	0		Mesorhabditis belari	2138241	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2874
A0AA36D5Z0	ITPR	medium	longest per species	0	MSPICULIGERA_LOCUS18647	Mesorhabditis spiculigera	96644	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2058
A0AA39FR95	ITPR	high	longest per species	0	PV328_007337	Microctonus aethiopoides	144406	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2785
A0AA39FGH5	ITPR	high	longest per species	0	PV327_002902	Microctonus hyperodae (Parasitoid wasp)	165561	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2785
A0A210PH43	ITPR	high	longest per species	0	KP79_PYT13685	Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis)	6573	Metazoa (non-vertebrate)	Mollusca	Bivalvia	Pectinida	2888
A0ACF8YJV4	ITPR	high	longest per species	1	ACHWQZ_G010582	Mnemiopsis leidyi (Sea walnut) (Warty comb jellyfish)	27923	Metazoa (non-vertebrate)	Ctenophora	Tentaculata	Lobata	2773
A0ABQ9K8B6	ITPR	high	longest per species	0	NQ317_006242	Molorchus minor	1323400	Metazoa (non-vertebrate)	Arthropoda	Insecta	Coleoptera	2571
A0ABM3VFJ9	ITPR	high	longest per species	0	LOC101897637	Musca domestica (House fly)	7370	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	2852
A0ABY7EXB8	ITPR	high	longest per species	0	MAR_027536	Mya arenaria (Soft-shell clam)	6604	Metazoa (non-vertebrate)	Mollusca	Bivalvia	Myida	2647
A0A151WNH1	ITPR	high	longest per species	0	ALC60_11475	Mycetomoellerius zeteki	64791	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	3266
A0ACC2Q698	ITPR	high	longest per species	0	PYW08_010609	Mythimna loreyi	667449	Metazoa (non-vertebrate)	Arthropoda	Insecta	Lepidoptera	2704
A0AAD7Y757	ITPR	high	longest per species	0	PYW07_011044	Mythimna separata (Oriental armyworm) (Pseudaletia separata)	271217	Metazoa (non-vertebrate)	Arthropoda	Insecta	Lepidoptera	3571
A0A6J7ZXT9	ITPR	high	longest per species	0	MCOR_1136	Mytilus coruscus (Sea mussel)	42192	Metazoa (non-vertebrate)	Mollusca	Bivalvia	Mytilida	2794
A0A8S3SVZ1	ITPR	high	longest per species	0	MEDL_35951	Mytilus edulis (Blue mussel)	6550	Metazoa (non-vertebrate)	Mollusca	Bivalvia	Mytilida	2750
A0A8B6H069	ITPR	high	longest per species	0	MGAL_10B065373	Mytilus galloprovincialis (Mediterranean mussel)	29158	Metazoa (non-vertebrate)	Mollusca	Bivalvia	Mytilida	2827
A0A7M7Q941	ITPR	high	longest per species	0		Nasonia vitripennis (Parasitic wasp)	7425	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2888
A0ABR1DII6	ITPR	high	longest per species	0	Necator_chrIV.g15627	Necator americanus (Human hookworm)	51031	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2915
A7SEK1	ITPR	high	longest per species	0	NEMVEDRAFT_v1g244707	Nematostella vectensis (Starlet sea anemone)	45351	Metazoa (non-vertebrate)	Cnidaria	Anthozoa	Actiniaria	2623
A0ABM3G555	ITPR	high	longest per species	0	LOC107228096	Neodiprion lecontei (Redheaded pine sawfly)	441921	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2808
A0A8X6UF11	ITPR	high	longest per species	0	Itpr1	Nephila pilipes (Giant wood spider) (Nephila maculata)	299642	Metazoa (non-vertebrate)	Arthropoda	Arachnida	Araneae	2806
A0A9P0H4A7	ITPR	high	longest per species	0	NEZAVI_LOCUS3906	Nezara viridula (Southern green stink bug) (Cimex viridulus)	85310	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hemiptera	2712
A0ABM1N051	ITPR	high	longest per species	0	LOC108565321	Nicrophorus vespilloides (Boreal carrion beetle)	110193	Metazoa (non-vertebrate)	Arthropoda	Insecta	Coleoptera	2780
A0A7E6ELE5	ITPR	high	longest per species	0	LOC115222534	Octopus sinensis (East Asian common octopus)	2607531	Metazoa (non-vertebrate)	Mollusca	Cephalopoda	Octopoda	2732
A0AA36EXV5	ITPR	high	longest per species	0	OCTVUL_1B011408	Octopus vulgaris (Common octopus)	6645	Metazoa (non-vertebrate)	Mollusca	Cephalopoda	Octopoda	2723
A0AAD9VX40	ITPR	high	longest per species	0	KPH14_001879	Odynerus spinipes	1348599	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2773
A0AAV6VY60	ITPR	high	longest per species	0	JTE90_011244	Oedothorax gibbosus	931172	Metazoa (non-vertebrate)	Arthropoda	Arachnida	Araneae	2813
A0ABN7SZC1	ITPR	high	longest per species	0	OKIOD_LOCUS14004	Oikopleura dioica (Tunicate)	34765	Metazoa (non-vertebrate)	Chordata	Appendicularia	Copelata	3013
A0A238BHZ9	ITPR	high	longest per species	0	X798_08037	Onchocerca flexuosa	387005	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2846
A0A8R1TU45	ITPR	high	longest per species	0		Onchocerca volvulus	6282	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2870
A0A026VT77	ITPR	high	longest per species	0	X777_00544	Ooceraea biroi (Clonal raider ant) (Cerapachys biroi)	2015173	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2719
A0AAV7JUR8	ITPR	high	longest per species	0	LOD99_4139	Oopsacas minuta	111878	Metazoa (non-vertebrate)	Porifera	Hexactinellida	Lyssacinosida	2698
A0A4S2MCV9	ITPR	medium	longest per species	0	CRM22_000929	Opisthorchis felineus	147828	Metazoa (non-vertebrate)	Platyhelminthes	Trematoda	Opisthorchiida	2848
A0A074Z731	ITPR	medium	longest per species	0	T265_14735	Opisthorchis viverrini (Southeast Asian liver fluke)	6198	Metazoa (non-vertebrate)	Platyhelminthes	Trematoda	Opisthorchiida	2826
A0A7R9QHI5	ITPR	medium	longest per species	0	ONB1V03_LOCUS5484	Oppiella nova	334625	Metazoa (non-vertebrate)	Arthropoda	Arachnida	Sarcoptiformes	2445
A0A1D2MPJ9	ITPR	high	longest per species	0	Ocin01_11690	Orchesella cincta (Springtail) (Podura cincta)	48709	Metazoa (non-vertebrate)	Arthropoda	Collembola	Entomobryomorpha	2428
A0ABP1R053	ITPR	high	longest per species	0	ODALV1_LOCUS16698	Orchesella dallaii	48710	Metazoa (non-vertebrate)	Arthropoda	Collembola	Entomobryomorpha	2683
A0A0T6ATW9	ITPR	medium	longest per species	0	AMK59_7474	Oryctes borbonicus	1629725	Metazoa (non-vertebrate)	Arthropoda	Insecta	Coleoptera	2034
A0A8S4Q492	ITPR	high	longest per species	1	OFUS_LOCUS22813	Owenia fusiformis (Polychaete worm)	6347	Metazoa (non-vertebrate)	Annelida	Polychaeta	Sabellida	3071
A0A7E4V1T4	ITPR	high	longest per species	0		Panagrellus redivivus (Microworm)	6233	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2937
A0A914YSR1	ITPR	high	longest per species	0		Panagrolaimus superbus	310955	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2775
O77089	ITPR	high	longest per species	0	IP3R	Panulirus argus (Caribbean spiny lobster) (Palinurus argus)	6737	Metazoa (non-vertebrate)	Arthropoda	Malacostraca	Decapoda	2783
A0A0N1IGP3	ITPR	high	longest per species	0	RR48_05931	Papilio machaon (Old World swallowtail butterfly)	76193	Metazoa (non-vertebrate)	Arthropoda	Insecta	Lepidoptera	2911
A0A0N1PF50	ITPR	medium	longest per species	0	RR46_01024	Papilio xuthus (Asian swallowtail butterfly)	66420	Metazoa (non-vertebrate)	Arthropoda	Insecta	Lepidoptera	2362
A0AAD9J7D1	ITPR	high	longest per species	0	LSH36_550g03045	Paralvinella palmiformis	53620	Metazoa (non-vertebrate)	Annelida	Polychaeta	Terebellida	2757
A0A915CCB2	ITPR	high	longest per species	0		Parascaris univalens (Nematode worm)	6257	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2957
A0A0N4ZIS5	ITPR	high	longest per species	0		Parastrongyloides trichosuri (Possum-specific nematode worm)	131310	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2933
A0AAD5MUV5	ITPR	high	longest per species	0	ITR1_2	Parelaphostrongylus tenuis (Meningeal worm)	148309	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2206
A0AAV1LM52	ITPR	high	longest per species	1	PARMNEM_LOCUS14880	Parnassius mnemosyne (clouded apollo)	213953	Metazoa (non-vertebrate)	Arthropoda	Insecta	Lepidoptera	4718
A0AAN9TX74	ITPR	high	longest per species	0	V9T40_002529	Parthenolecanium corni	536013	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hemiptera	2743
A0AAN8PQX2	ITPR	high	longest per species	0	SNE40_013589	Patella caerulea (Rayed Mediterranean limpet)	87958	Metazoa (non-vertebrate)	Mollusca	Gastropoda		2701
A0A913ZRM3	ITPR	high	longest per species	0		Patiria miniata (Bat star) (Asterina miniata)	46514	Metazoa (non-vertebrate)	Echinodermata	Asteroidea	Valvatida	2765
Q8WSR4	ITPR	high	longest per species	0	IP3R	Patiria pectinifera (Starfish) (Asterina pectinifera)	7594	Metazoa (non-vertebrate)	Echinodermata	Asteroidea	Valvatida	2698
E0VHU9	ITPR	high	longest per species	0	8237499	Pediculus humanus subsp. corporis (Body louse)	121224	Metazoa (non-vertebrate)	Arthropoda	Insecta	Psocodea	2680
A0AAE1K5Z4	ITPR	high	longest per species	0	Pcinc_029236	Petrolisthes cinctipes (Flat porcelain crab)	88211	Metazoa (non-vertebrate)	Arthropoda	Malacostraca	Decapoda	3048
A0AAE1Q838	ITPR	medium	longest per species	0	Pmani_007659	Petrolisthes manimaculis	1843537	Metazoa (non-vertebrate)	Arthropoda	Malacostraca	Decapoda	2191
A0A9P0GR02	ITPR	high	longest per species	0	PHAECO_LOCUS4234	Phaedon cochleariae (Mustard beetle)	80249	Metazoa (non-vertebrate)	Arthropoda	Insecta	Coleoptera	2740
A0A6F9DES0	ITPR	high	longest per species	0	Itpr2	Phallusia mammillata	59560	Metazoa (non-vertebrate)	Chordata	Ascidiacea	Phlebobranchia	2802
A0A1Y1NA90	ITPR	high	longest per species	0	PPYR_05817	Photinus pyralis (Common eastern firefly) (Lampyris pyralis)	7054	Metazoa (non-vertebrate)	Arthropoda	Insecta	Coleoptera	2719
A0A9N9TF60	ITPR	high	longest per species	0	PHYEVI_LOCUS1538	Phyllotreta striolata (Striped flea beetle) (Crioceris striolata)	444603	Metazoa (non-vertebrate)	Arthropoda	Insecta	Coleoptera	2746
A0A9P0TPV2	ITPR	high	longest per species	0	PIBRA_LOCUS9122	Pieris brassicae (White butterfly) (Large white butterfly)	7116	Metazoa (non-vertebrate)	Arthropoda	Insecta	Lepidoptera	2712
A0A821WKI6	ITPR	high	longest per species	0	PMACD_LOCUS13303	Pieris macdunnoughi	345717	Metazoa (non-vertebrate)	Arthropoda	Insecta	Lepidoptera	2692
A0AA89BNM5	ITPR	medium	longest per species	0	FSP39_005468	Pinctada imbricata (Atlantic pearl-oyster) (Pinctada martensii)	66713	Metazoa (non-vertebrate)	Mollusca	Bivalvia	Pterioida	2706
A0ABQ7PVY8	ITPR	medium	longest per species	0	JYU34_020113	Plutella xylostella (Diamondback moth) (Plutella maculipennis)	51655	Metazoa (non-vertebrate)	Arthropoda	Insecta	Lepidoptera	2509
A0A3M6TGS7	ITPR	high	longest per species	0	pdam_00007499	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	46731	Metazoa (non-vertebrate)	Cnidaria	Anthozoa	Scleractinia	2667
A0A8N1S4P7	ITPR	high	longest per species	0	LOC105425708	Pogonomyrmex barbatus (red harvester ant)	144034	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2743
A0ABM1J5S6	ITPR	high	longest per species	0	LOC107072419	Polistes dominula (European paper wasp) (Vespa dominula)	743375	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2820
A0A9J6C9M0	ITPR	high	longest per species	0	PVAND_008274	Polypedilum vanderplanki (Sleeping chironomid midge)	319348	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	1880
A0ABR1B9V7	ITPR	high	longest per species	0	RUM44_008351	Polyplax serrata (Common mouse louse)	468196	Metazoa (non-vertebrate)	Arthropoda	Insecta	Psocodea	2701
A0A2T7NJX4	ITPR	medium	longest per species	0	C0Q70_19629	Pomacea canaliculata (Golden apple snail)	400727	Metazoa (non-vertebrate)	Mollusca	Gastropoda	Architaenioglossa	2819
A0AAW1N9J3	ITPR	high	longest per species	0	QE152_g503	Popillia japonica (Japanese beetle)	7064	Metazoa (non-vertebrate)	Arthropoda	Insecta	Coleoptera	2726
A0ABN8M8W6	ITPR	high	longest per species	0	PEVE_00025478	Porites evermanni	104178	Metazoa (non-vertebrate)	Cnidaria	Anthozoa	Scleractinia	2697
A0ABN8N199	ITPR	high	longest per species	0	PLOB_00042910	Porites lobata	104759	Metazoa (non-vertebrate)	Cnidaria	Anthozoa	Scleractinia	2717
A0A5B7CE02	ITPR	low	longest per species	0	Itp-r83A_0	Portunus trituberculatus (Swimming crab) (Neptunus trituberculatus)	210409	Metazoa (non-vertebrate)	Arthropoda	Malacostraca	Decapoda	235
A0AAE0W7B9	ITPR	high	longest per species	0	CHS0354_042780	Potamilus streckersoni	2493646	Metazoa (non-vertebrate)	Mollusca	Bivalvia	Unionida	2780
A0AAV5TRG8	ITPR	high	longest per species	0	PENTCL1PPCAC_18754	Pristionchus entomophagus	358040	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2885
A0AAN5CS19	ITPR	high	longest per species	0	PMAYCL1PPCAC_19729	Pristionchus mayeri	1317129	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2895
A0A2A6BHW5	ITPR	high	longest per species	0	WBGene00115426	Pristionchus pacificus (Parasitic nematode worm)	54126	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	3136
A0A836EAI2	ITPR	high	longest per species	0	Itpr83a	Pseudoatta argentina	621737	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2790
A0A9P0CRU2	ITPR	high	longest per species	0	PSYICH_LOCUS4456	Psylliodes chrysocephalus	3402493	Metazoa (non-vertebrate)	Arthropoda	Insecta	Coleoptera	2729
A0AAN7ZFY7	ITPR	high	longest per species	0	RI129_011498	Pyrocoelia pectoralis	417401	Metazoa (non-vertebrate)	Arthropoda	Insecta	Coleoptera	2719
A0A1D1V0T1	ITPR	high	longest per species	0	RvY_05495-1	Ramazzottius varieornatus (Water bear) (Tardigrade)	947166	Metazoa (non-vertebrate)	Tardigrada	Eutardigrada	Parachela	2692
T1HK15	ITPR	high	longest per species	0		Rhodnius prolixus (Triatomid bug)	13249	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hemiptera	2715
A0A834IY04	ITPR	high	longest per species	0	GWI33_001409	Rhynchophorus ferrugineus (Red palm weevil) (Curculio ferrugineus)	354439	Metazoa (non-vertebrate)	Arthropoda	Insecta	Coleoptera	2746
A0AAD9KQF7	ITPR	high	longest per species	0	NP493_708g03050	Ridgeia piscesae (Tubeworm)	27915	Metazoa (non-vertebrate)	Annelida	Polychaeta	Sabellida	2931
A0A819CKF8	ITPR	high	longest per species	0	OVN521_LOCUS4954	Rotaria magnacalcarata	392030	Metazoa (non-vertebrate)	Rotifera	Eurotatoria	Philodinida	2827
A0A819Y5W7	ITPR	high	longest per species	0	UJA718_LOCUS3122	Rotaria socialis	392032	Metazoa (non-vertebrate)	Rotifera	Eurotatoria	Philodinida	2863
A0A815CSR2	ITPR	medium	longest per species	0	JXQ802_LOCUS29035	Rotaria sordida	392033	Metazoa (non-vertebrate)	Rotifera	Eurotatoria	Philodinida	2440
A0ACM8C709	ITPR	high	longest per species	1	LOC100375107	Saccoglossus kowalevskii (Acorn worm)	10224	Metazoa (non-vertebrate)	Hemichordata	Enteropneusta		2596
A0A834RG89	ITPR	high	longest per species	0		Sarcoptes scabiei (Itch mite) (Acarus scabiei)	52283	Metazoa (non-vertebrate)	Arthropoda	Arachnida	Sarcoptiformes	3237
A0A8E5JSV7	ITPR	high	longest per species	0		Schistocerca gregaria (Desert locust) (Gryllus gregarius)	7010	Metazoa (non-vertebrate)	Arthropoda	Insecta	Orthoptera	2667
A0A922ILK8	ITPR	high	longest per species	1	ITPR2	Schistosoma haematobium (Blood fluke)	6185	Metazoa (non-vertebrate)	Platyhelminthes	Trematoda	Strigeidida	3083
A0A4Z2DCZ4	ITPR	high	longest per species	0	EWB00_002260	Schistosoma japonicum (Blood fluke)	6182	Metazoa (non-vertebrate)	Platyhelminthes	Trematoda	Strigeidida	2922
A0A5K4FB58	ITPR	medium	longest per species	0		Schistosoma mansoni (Blood fluke)	6183	Metazoa (non-vertebrate)	Platyhelminthes	Trematoda	Strigeidida	2890
A0AAE2D5K1	ITPR	medium	longest per species	0	MN116_006470	Schistosoma mekongi (Parasitic worm)	38744	Metazoa (non-vertebrate)	Platyhelminthes	Trematoda	Strigeidida	2892
A0AA85FYS4	ITPR	high	longest per species	0		Schistosoma rodhaini	6188	Metazoa (non-vertebrate)	Platyhelminthes	Trematoda	Strigeidida	2938
A0AAW0TKI5	ITPR	high	longest per species	0	O3P69_020115	Scylla paramamosain (Mud crab)	85552	Metazoa (non-vertebrate)	Arthropoda	Malacostraca	Decapoda	2817
A0ACF8WMC7	ITPR	high	longest per species	0	ACI65C_004244	Semiaphis heraclei	796293	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hemiptera	3830
A0ACE7EH65	ITPR	high	longest per species	0	DMENIID0001_028900	Sergentomyia squamirostris	2283857	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	2738
A0A915PLW3	ITPR	high	longest per species	0		Setaria digitata	48799	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2714
A0ABD3VGB7	ITPR	high	longest per species	0	ACJMK2_009798	Sinanodonta woodiana (Chinese pond mussel) (Anodonta woodiana)	1069815	Metazoa (non-vertebrate)	Mollusca	Bivalvia	Unionida	2808
A0A8B8GE66	ITPR	high	longest per species	0	LOC112691291	Sipha flava (yellow sugarcane aphid)	143950	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hemiptera	3813
A0A6J2XBG4	ITPR	high	longest per species	0	LOC115876815	Sitophilus oryzae (Rice weevil) (Curculio oryzae)	7048	Metazoa (non-vertebrate)	Arthropoda	Insecta	Coleoptera	2756
A0ACF8S931	ITPR	medium	longest per species	0	ScPMuIL_002056	Solemya velum (Atlantic awningclam)	13268	Metazoa (non-vertebrate)	Mollusca	Bivalvia	Solemyida	2818
A0A9R0DYJ4	ITPR	high	longest per species	0	LOC118280811	Spodoptera frugiperda (Fall armyworm)	7108	Metazoa (non-vertebrate)	Arthropoda	Insecta	Lepidoptera	2740
A0A9P0I9F3	ITPR	high	longest per species	0	SPLIT_LOCUS9221	Spodoptera littoralis (Egyptian cotton leafworm)	7109	Metazoa (non-vertebrate)	Arthropoda	Insecta	Lepidoptera	2725
A0A9J7J438	ITPR	high	longest per species	0	LOC111364442	Spodoptera litura (Asian cotton leafworm)	69820	Metazoa (non-vertebrate)	Arthropoda	Insecta	Lepidoptera	2750
A0A1I7YYR9	ITPR	high	longest per species	0		Steinernema glaseri	37863	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2887
A0AA39LKA4	ITPR	high	longest per species	0	QR680_003453	Steinernema hermaphroditum	289476	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2871
A0A1I8P727	ITPR	high	longest per species	0	106090477	Stomoxys calcitrans (Stable fly) (Conops calcitrans)	35570	Metazoa (non-vertebrate)	Arthropoda	Insecta	Diptera	2911
T1IW96	ITPR	high	longest per species	0		Strigamia maritima (European centipede) (Geophilus maritimus)	126957	Metazoa (non-vertebrate)	Arthropoda	Chilopoda	Geophilomorpha	2752
A0A7M7MY00	ITPR	high	longest per species	1		Strongylocentrotus purpuratus (Purple sea urchin)	7668	Metazoa (non-vertebrate)	Echinodermata	Echinoidea	Camarodonta	2820
A0A0N5C5P1	ITPR	high	longest per species	0		Strongyloides papillosus (Intestinal threadworm)	174720	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2898
A0A090KQI1	ITPR	high	longest per species	0	SRAE_X000152300	Strongyloides ratti (Parasitic roundworm)	34506	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2979
A0A913HZP3	ITPR	high	longest per species	0		Strongyloides stercoralis (Threadworm)	6248	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2976
A0A0K0EWY3	ITPR	high	longest per species	0		Strongyloides venezuelensis (Threadworm)	75913	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2987
A0A2B4T0S0	ITPR	high	longest per species	0	ITPR1	Stylophora pistillata (Smooth cauliflower coral)	50429	Metazoa (non-vertebrate)	Cnidaria	Anthozoa	Scleractinia	2000
A0A158R5B0	ITPR	high	longest per species	0		Syphacia muris	451379	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	2880
A0ABQ9EDD3	ITPR	high	longest per species	0	KUTeg_018990	Tegillarca granosa (Malaysian cockle) (Anadara granosa)	220873	Metazoa (non-vertebrate)	Mollusca	Bivalvia	Arcoida	2757
A0A6J1PYU8	ITPR	high	longest per species	0	LOC112456326	Temnothorax curvispinosus	300111	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2749
A0A4S2JP25	ITPR	high	longest per species	0	DBV15_08353	Temnothorax longispinosus	300112	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2740
A0AAW0ZST9	ITPR	high	longest per species	0	QLX08_007324	Tetragonisca angustula	166442	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2812
T1KF94	ITPR	high	longest per species	0	107363591	Tetranychus urticae (Two-spotted spider mite)	32264	Metazoa (non-vertebrate)	Arthropoda	Arachnida	Trombidiformes	2754
A0A6P8YZV9	ITPR	high	longest per species	0	LOC117644439	Thrips palmi (Melon thrips)	161013	Metazoa (non-vertebrate)	Arthropoda	Insecta	Thysanoptera	2733
A0ABN7NJD3	ITPR	medium	longest per species	0	TPAB3V08_LOCUS93	Timema podura (Walking stick)	61482	Metazoa (non-vertebrate)	Arthropoda	Insecta	Phasmatodea	2459
A0A0B2VE71	ITPR	high	longest per species	0	ITPR1	Toxocara canis (Canine roundworm)	6265	Metazoa (non-vertebrate)	Nematoda	Chromadorea	Rhabditida	3051
A0A195EIV8	ITPR	high	longest per species	0	ALC57_02537	Trachymyrmex cornetzi	471704	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2860
A0A195F4X6	ITPR	high	longest per species	0	ALC56_10281	Trachymyrmex septentrionalis	34720	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hymenoptera	2892
A0A023F2G4	ITPR	high	longest per species	0		Triatoma infestans (Assassin bug)	30076	Metazoa (non-vertebrate)	Arthropoda	Insecta	Hemiptera	2724
D6W7E2	ITPR	high	longest per species	0	GLEAN_05176	Tribolium castaneum (Red flour beetle)	7070	Metazoa (non-vertebrate)	Arthropoda	Insecta	Coleoptera	2733
A0A0V1CWN1	ITPR	high	longest per species	0	itr-1	Trichinella britovi (Parasitic roundworm)	45882	Metazoa (non-vertebrate)	Nematoda	Enoplea	Trichinellida	2701
A0A0V0U3U1	ITPR	high	longest per species	0	itr-1	Trichinella murrelli	144512	Metazoa (non-vertebrate)	Nematoda	Enoplea	Trichinellida	2695
A0A0V1LAA3	ITPR	high	longest per species	0	itr-1	Trichinella nativa	6335	Metazoa (non-vertebrate)	Nematoda	Enoplea	Trichinellida	2706
A0A0V0SN43	ITPR	high	longest per species	0	itr-1	Trichinella nelsoni	6336	Metazoa (non-vertebrate)	Nematoda	Enoplea	Trichinellida	2735
A0A0V1MT52	ITPR	high	longest per species	0	itr-1	Trichinella papuae	268474	Metazoa (non-vertebrate)	Nematoda	Enoplea	Trichinellida	2721
A0A0V1A3Q0	ITPR	high	longest per species	0	itr-1	Trichinella patagoniensis	990121	Metazoa (non-vertebrate)	Nematoda	Enoplea	Trichinellida	2706
A0A0V1IZL4	ITPR	high	longest per species	0	itr-1	Trichinella pseudospiralis (Parasitic roundworm)	6337	Metazoa (non-vertebrate)	Nematoda	Enoplea	Trichinellida	2748
