group	window_n	locus_note	contig	start	end	strand	symbol	ensembl_gene	map_status	index_in_window
RYR1	20	RYR1	NC_000019.10	39125786	39182816	+	PAK4	ENSG00000130669	mapped	38
RYR1	20	RYR1	NC_000019.10	39196964	39201884	+	NCCRP1	ENSG00000188505	mapped	39
RYR2	20	RYR2	NC_000001.11	234373456	234385080	+	COA6	ENSG00000168275	mapped	0
RYR2	20	RYR2	NC_000001.11	234391313	234479179	-	TARBP1	ENSG00000059588	mapped	1
RYR2	20	RYR2	NC_000001.11	234604269	234610178	-	IRF2BP2	ENSG00000168264	mapped	2
RYR2	20	RYR2	NC_000001.11	235109341	235128837	-	TOMM20	ENSG00000173726	mapped	3
RYR2	20	RYR2	NC_000001.11	235131183	235161250	-	RBM34	ENSG00000188739	mapped	4
RYR2	20	RYR2	NC_000001.11	235166902	235328179	-	ARID4B	ENSG00000054267	mapped	5
RYR2	20	RYR2	NC_000001.11	235327216	235344532	+	GGPS1	ENSG00000152904	mapped	6
RYR2	20	RYR2	NC_000001.11	235367427	235452443	+	TBCE	ENSG00000284770	mapped	7
RYR2	20	RYR2	NC_000001.11	235439796	235504452	-	B3GALNT2	ENSG00000162885	mapped	8
RYR2	20	RYR2	NC_000001.11	235547685	235650608	-	GNG4	ENSG00000168243	mapped	9
RYR2	20	RYR2	NC_000001.11	235661031	235883713	-	LYST	ENSG00000143669	mapped	10
RYR2	20	RYR2	NC_000001.11	235975830	236065090	-	NID1	ENSG00000116962	mapped	11
RYR2	20	RYR2	NC_000001.11	236142539	236208907	+	GPR137B	ENSG00000077585	mapped	12
RYR2	20	RYR2	NC_000001.11	236215101	236281958	-	ERO1B	ENSG00000086619	mapped	13
RYR2	20	RYR2	NC_000001.11	236348259	236484930	+	EDARADD	ENSG00000186197	mapped	14
RYR2	20	RYR2	NC_000001.11	236518214	236552981	+	LGALS8	ENSG00000116977	mapped	15
RYR2	20	RYR2	NC_000001.11	236549005	236604516	-	HEATR1	ENSG00000119285	mapped	16
RYR2	20	RYR2	NC_000001.11	236686499	236764631	+	ACTN2	ENSG00000077522	mapped	17
RYR2	20	RYR2	NC_000001.11	236795281	236903981	+	MTR	ENSG00000116984	mapped	18
RYR2	20	RYR2	NC_000001.11	237004103	237004441	-	MT1HL1	ENSG00000244020	mapped	19
RYR2	20	RYR2	NC_000001.11	237882404	237890922	-	ZP4	ENSG00000116996	mapped	20
RYR2	20	RYR2	NC_000001.11	239386568	239915450	+	CHRM3	ENSG00000133019	mapped	21
RYR2	20	RYR2	NC_000001.11	240091883	240475187	+	FMN2	ENSG00000155816	mapped	22
RYR2	20	RYR2	NC_000001.11	240489573	240612155	-	GREM2	ENSG00000180875	mapped	23
RYR2	20	RYR2	NC_000001.11	240774742	241357230	-	RGS7	ENSG00000182901	mapped	24
RYR2	20	RYR2	NC_000001.11	241497603	241519755	-	FH	ENSG00000091483	mapped	25
RYR2	20	RYR2	NC_000001.11	241532378	241595642	+	KMO	ENSG00000117009	mapped	26
RYR2	20	RYR2	NC_000001.11	241593124	241640369	-	OPN3	ENSG00000054277	mapped	27
RYR2	20	RYR2	NC_000001.11	241628851	241640369	-	CHML	ENSG00000203668	mapped	28
RYR2	20	RYR2	NC_000001.11	241652281	241802777	+	WDR64	ENSG00000162843	mapped	29
RYR2	20	RYR2	NC_000001.11	241847986	241889939	+	EXO1	ENSG00000174371	mapped	30
RYR2	20	RYR2	NC_000001.11	241957767	241959062	+	BECN2	ENSG00000196289	mapped	31
RYR2	20	RYR2	NC_000001.11	241995490	242001393	-	MAP1LC3C	ENSG00000197769	mapped	32
RYR2	20	RYR2	NC_000001.11	242082986	242530546	-	PLD5	ENSG00000180287	mapped	33
RYR2	20	RYR2	NC_000001.11	243124428	243255785	-	CEP170	ENSG00000143702	mapped	34
RYR2	20	RYR2	NC_000001.11	243256041	243500091	+	SDCCAG8	ENSG00000054282	mapped	35
RYR2	20	RYR2	NC_000001.11	243488233	243851079	-	AKT3	ENSG00000117020	mapped	36
RYR2	20	RYR2	NC_000001.11	244048491	244057476	+	ZBTB18	ENSG00000179456	mapped	37
RYR2	20	RYR2	NC_000001.11	244352635	244389663	+	SPMIP3	ENSG00000173728	mapped	38
RYR2	20	RYR2	NC_000001.11	244408494	244452060	-	ADSS2	ENSG00000035687	mapped	39
RYR3	20	RYR3	NC_000015.10	30552050	30565684	+	GOLGA8Q	ENSG00000178115	mapped	0
RYR3	20	RYR3	NC_000015.10	30604028	30617752	+	GOLGA8H	ENSG00000261794	mapped	1
RYR3	20	RYR3	NC_000015.10	30626128	30649229	+	ARHGAP11B	ENSG00000285077	mapped	2
RYR3	20	RYR3	NC_000015.10	30798436	30802763	+	LOC101930434		unmapped	3
RYR3	20	RYR3	NC_000015.10	30903852	30943108	+	FAN1	ENSG00000198690	mapped	4
RYR3	20	RYR3	NC_000015.10	30918716	30991628	-	MTMR10	ENSG00000166912	mapped	5
RYR3	20	RYR3	NC_000015.10	31001065	31161160	-	TRPM1	ENSG00000134160	mapped	6
RYR3	20	RYR3	NC_000015.10	31326835	31435665	+	KLF13	ENSG00000169926	mapped	7
RYR3	20	RYR3	NC_000015.10	31475398	31870673	-	OTUD7A	ENSG00000169918	mapped	8
RYR3	20	RYR3	NC_000015.10	32028534	32030596	-	LOC124903441		unmapped	9
RYR3	20	RYR3	NC_000015.10	32030483	32173018	+	CHRNA7	ENSG00000175344	mapped	10
RYR3	20	RYR3	NC_000015.10	32389599	32403292	-	GOLGA8K	ENSG00000249931	mapped	11
RYR3	20	RYR3	NC_000015.10	32441914	32461984	-	GOLGA8O	ENSG00000206127	mapped	12
RYR3	20	RYR3	NC_000015.10	32489200	32494945	-	LOC100653133		unmapped	13
RYR3	20	RYR3	NC_000015.10	32593456	32607237	+	GOLGA8N	ENSG00000232653	mapped	14
RYR3	20	RYR3	NC_000015.10	32615144	32639941	+	ARHGAP11A	ENSG00000198826	mapped	15
RYR3	20	RYR3	NC_000015.10	32615476	32697098	+	ARHGAP11A-SCG5	ENSG00000288864	mapped	16
RYR3	20	RYR3	NC_000015.10	32641710	32697092	+	SCG5	ENSG00000166922	mapped	17
RYR3	20	RYR3	NC_000015.10	32718004	32745106	+	GREM1	ENSG00000166923	mapped	18
RYR3	20	RYR3	NC_000015.10	32765544	33194714	-	FMN1	ENSG00000248905	mapped	19
RYR3	20	RYR3	NC_000015.10	33851781	34075325	-	AVEN	ENSG00000169857	mapped	20
RYR3	20	RYR3	NC_000015.10	33968497	34067458	+	CHRM5	ENSG00000184984	mapped	21
RYR3	20	RYR3	NC_000015.10	34084017	34101862	-	EMC7	ENSG00000134153	mapped	22
RYR3	20	RYR3	NC_000015.10	34102083	34108686	+	PGBD4	ENSG00000182405	mapped	23
RYR3	20	RYR3	NC_000015.10	34140674	34210096	-	KATNBL1	ENSG00000134152	mapped	24
RYR3	20	RYR3	NC_000015.10	34225016	34230156	+	EMC4	ENSG00000128463	mapped	25
RYR3	20	RYR3	NC_000015.10	34229784	34338057	-	SLC12A6	ENSG00000140199	mapped	26
RYR3	20	RYR3	NC_000015.10	34341719	34343136	-	NOP10	ENSG00000182117	mapped	27
RYR3	20	RYR3	NC_000015.10	34343315	34357735	+	NUTM1	ENSG00000184507	mapped	28
RYR3	20	RYR3	NC_000015.10	34358633	34367196	-	LPCAT4	ENSG00000176454	mapped	29
RYR3	20	RYR3	NC_000015.10	34379068	34437808	-	GOLGA8A	ENSG00000175265	mapped	30
RYR3	20	RYR3	NC_000015.10	34525095	34583651	-	GOLGA8B	ENSG00000215252	mapped	31
RYR3	20	RYR3	NC_000015.10	34751032	34754998	-	GJD2	ENSG00000159248	mapped	32
RYR3	20	RYR3	NC_000015.10	34790230	34795549	-	ACTC1	ENSG00000159251	mapped	33
RYR3	20	RYR3	NC_000015.10	34851782	34969742	-	AQR	ENSG00000021776	mapped	34
RYR3	20	RYR3	NC_000015.10	34978341	34988287	-	ZNF770	ENSG00000198146	mapped	35
RYR3	20	RYR3	NC_000015.10	35083410	35085295	-	NANOGP8	ENSG00000255192	mapped	36
RYR3	20	RYR3	NC_000015.10	35144977	35546165	-	DPH6	ENSG00000134146	mapped	37
RYR3	20	RYR3	NC_000015.10	36579626	36810244	+	CDIN1	ENSG00000186073	mapped	38
RYR3	20	RYR3	NC_000015.10	36889204	37101311	-	MEIS2	ENSG00000134138	mapped	39
RYR3	20	RYR3	NC_000015.10	37934640	38040865	+	TMCO5A	ENSG00000166069	mapped	40
ITPR1	30	ITPR1	NC_000003.12	196763	409417	+	CHL1	ENSG00000134121	mapped	0
ITPR1	30	ITPR1	NC_000003.12	1093024	1404217	+	CNTN6	ENSG00000134115	mapped	1
ITPR1	30	ITPR1	NC_000003.12	2098866	3057959	+	CNTN4	ENSG00000144619	mapped	2
ITPR1	30	ITPR1	NC_000003.12	3066324	3110374	-	IL5RA	ENSG00000091181	mapped	3
ITPR1	30	ITPR1	NC_000003.12	3126940	3153435	+	TRNT1	ENSG00000072756	mapped	4
ITPR1	30	ITPR1	NC_000003.12	3149633	3179717	-	CRBN	ENSG00000113851	mapped	5
ITPR1	30	ITPR1	NC_000003.12	3799431	3849834	+	LRRN1	ENSG00000175928	mapped	6
ITPR1	30	ITPR1	NC_000003.12	4034486	4467269	-	SUMF1	ENSG00000144455	mapped	7
ITPR1	30	ITPR1	NC_000003.12	4303369	4317265	+	SETMAR	ENSG00000170364	mapped	8
ITPR1	30	ITPR1	NC_000003.12	4979437	4985323	+	BHLHE40	ENSG00000134107	mapped	9
ITPR1	30	ITPR1	NC_000003.12	5122292	5180911	+	ARL8B	ENSG00000134108	mapped	10
ITPR1	30	ITPR1	NC_000003.12	5187707	5219958	+	EDEM1	ENSG00000134109	mapped	11
ITPR1	30	ITPR1	NC_000003.12	6861115	7741533	+	GRM7	ENSG00000196277	mapped	12
ITPR1	30	ITPR1	NC_000003.12	8501823	8574668	+	LMCD1	ENSG00000071282	mapped	13
ITPR1	30	ITPR1	NC_000003.12	8619386	8681927	-	SSUH2	ENSG00000125046	mapped	14
ITPR1	30	ITPR1	NC_000003.12	8733802	8746758	+	CAV3	ENSG00000182533	mapped	15
ITPR1	30	ITPR1	NC_000003.12	8741269	8769613	-	OXTR	ENSG00000180914	mapped	16
ITPR1	30	ITPR1	NC_000003.12	8877075	8963472	-	RAD18	ENSG00000070950	mapped	17
ITPR1	30	ITPR1	NC_000003.12	8980591	9363027	-	SRGAP3	ENSG00000196220	mapped	18
ITPR1	30	ITPR1	NC_000003.12	9363054	9386791	+	THUMPD3	ENSG00000134077	mapped	19
ITPR1	30	ITPR1	NC_000003.12	9397615	9478154	+	SETD5	ENSG00000168137	mapped	20
ITPR1	30	ITPR1	NC_000003.12	9498361	9553822	-	LHFPL4	ENSG00000156959	mapped	21
ITPR1	30	ITPR1	NC_000003.12	9649505	9702393	+	MTMR14	ENSG00000163719	mapped	22
ITPR1	30	ITPR1	NC_000003.12	9703833	9729908	+	CPNE9	ENSG00000144550	mapped	23
ITPR1	30	ITPR1	NC_000003.12	9731735	9748015	+	BRPF1	ENSG00000156983	mapped	24
ITPR1	30	ITPR1	NC_000003.12	9749952	9791070	+	OGG1	ENSG00000114026	mapped	25
ITPR1	30	ITPR1	NC_000003.12	9757347	9769947	-	CAMK1	ENSG00000134072	mapped	26
ITPR1	30	ITPR1	NC_000003.12	9779967	9793011	-	TADA3	ENSG00000171148	mapped	27
ITPR1	30	ITPR1	NC_000003.12	9792518	9807101	+	ARPC4	ENSG00000241553	mapped	28
ITPR1	30	ITPR1	NC_000003.12	9792548	9836356	+	ARPC4-TTLL3	ENSG00000250151	mapped	29
ITPR1	30	ITPR1	NC_000003.12	9809727	9836365	+	TTLL3	ENSG00000214021	mapped	30
ITPR1	30	ITPR1	NC_000003.12	9837849	9844008	-	RPUSD3	ENSG00000156990	mapped	31
ITPR1	30	ITPR1	NC_000003.12	9866710	9880253	-	CIDEC	ENSG00000187288	mapped	32
ITPR1	30	ITPR1	NC_000003.12	9890610	9894349	+	JAGN1	ENSG00000171135	mapped	33
ITPR1	30	ITPR1	NC_000003.12	9902093	9916402	+	IL17RE	ENSG00000163701	mapped	34
ITPR1	30	ITPR1	NC_000003.12	9917098	9933621	+	IL17RC	ENSG00000163702	mapped	35
ITPR1	30	ITPR1	NC_000003.12	9933834	9945406	+	CRELD1	ENSG00000163703	mapped	36
ITPR1	30	ITPR1	NC_000003.12	9945542	9952408	-	PRRT3	ENSG00000163704	mapped	37
ITPR1	30	ITPR1	NC_000003.12	9962682	10011118	-	EMC3	ENSG00000125037	mapped	38
ITPR2	30	ITPR2	NC_000012.12	20810705	20916911	+	SLCO1B3	ENSG00000111700	mapped	0
ITPR2	30	ITPR2	NC_000012.12	20815674	21091222	+	SLCO1B3-SLCO1B7	ENSG00000257046	mapped	1
ITPR2	30	ITPR2	NC_000012.12	20901405	21052255	+	LOC124902894		unmapped	2
ITPR2	30	ITPR2	NC_000012.12	21131194	21239796	+	SLCO1B1	ENSG00000134538	mapped	3
ITPR2	30	ITPR2	NC_000012.12	21264600	21419634	-	SLCO1A2	ENSG00000084453	mapped	4
ITPR2	30	ITPR2	NC_000012.12	21354959	21379980	+	IAPP	ENSG00000121351	mapped	5
ITPR2	30	ITPR2	NC_000012.12	21437655	21471250	+	PYROXD1	ENSG00000121350	mapped	6
ITPR2	30	ITPR2	NC_000012.12	21468910	21501635	-	RECQL	ENSG00000004700	mapped	7
ITPR2	30	ITPR2	NC_000012.12	21501789	21518408	+	GOLT1B	ENSG00000111711	mapped	8
ITPR2	30	ITPR2	NC_000012.12	21526296	21532947	+	SPX	ENSG00000134548	mapped	9
ITPR2	30	ITPR2	NC_000012.12	21532577	21604847	-	GYS2	ENSG00000111713	mapped	10
ITPR2	30	ITPR2	NC_000012.12	21635342	21657842	-	LDHB	ENSG00000111716	mapped	11
ITPR2	30	ITPR2	NC_000012.12	21764955	21774706	-	KCNJ8	ENSG00000121361	mapped	12
ITPR2	30	ITPR2	NC_000012.12	21797389	21941426	-	ABCC9	ENSG00000069431	mapped	13
ITPR2	30	ITPR2	NC_000012.12	22046218	22065668	+	CMAS	ENSG00000111726	mapped	14
ITPR2	30	ITPR2	NC_000012.12	22193391	22334707	-	ST8SIA1	ENSG00000111728	mapped	15
ITPR2	30	ITPR2	NC_000012.12	22448583	22544542	-	C2CD5	ENSG00000111731	mapped	16
ITPR2	30	ITPR2	NC_000012.12	22625171	22690665	+	ETNK1	ENSG00000139163	mapped	17
ITPR2	30	ITPR2	NC_000012.12	23529504	24562650	-	SOX5	ENSG00000134532	mapped	18
ITPR2	30	ITPR2	NC_000012.12	24704469	24775552	+	LOC124902897		unmapped	19
ITPR2	30	ITPR2	NC_000012.12	24810024	24949340	-	BCAT1	ENSG00000060982	mapped	20
ITPR2	30	ITPR2	NC_000012.12	24901970	24907905	+	LOC124902898		unmapped	21
ITPR2	30	ITPR2	NC_000012.12	24997575	25108335	+	IRAG2	ENSG00000118308	mapped	22
ITPR2	30	ITPR2	NC_000012.12	25107047	25195160	-	DNAI7	ENSG00000118307	mapped	23
ITPR2	30	ITPR2	NC_000012.12	25195237	25205143	+	ETFRF1	ENSG00000205707	mapped	24
ITPR2	30	ITPR2	NC_000012.12	25205246	25250929	-	KRAS	ENSG00000133703	mapped	25
ITPR2	30	ITPR2	NC_000012.12	25476082	25648578	-	LMNTD1	ENSG00000152936	mapped	26
ITPR2	30	ITPR2	NC_000012.12	25958232	26079889	+	RASSF8	ENSG00000123094	mapped	27
ITPR2	30	ITPR2	NC_000012.12	26120030	26125037	-	BHLHE41	ENSG00000123095	mapped	28
ITPR2	30	ITPR2	NC_000012.12	26121991	26234777	+	SSPN	ENSG00000123096	mapped	29
ITPR2	30	ITPR2	NC_000012.12	26905181	26938332	-	INTS13	ENSG00000064102	mapped	30
ITPR2	30	ITPR2	NC_000012.12	26938470	26966648	+	FGFR1OP2	ENSG00000111790	mapped	31
ITPR2	30	ITPR2	NC_000012.12	26971579	27014384	-	TM7SF3	ENSG00000064115	mapped	32
ITPR2	30	ITPR2	NC_000012.12	27022558	27038951	+	MED21	ENSG00000152944	mapped	33
ITPR2	30	ITPR2	NC_000012.12	27081057	27084127	-	C12orf71	ENSG00000214700	mapped	34
ITPR2	30	ITPR2	NC_000012.12	27244286	27325959	+	STK38L	ENSG00000211455	mapped	35
ITPR2	30	ITPR2	NC_000012.12	27332836	27425286	+	BMAL2	ENSG00000029153	mapped	36
ITPR2	30	ITPR2	NC_000012.12	27423316	27502185	+	SMCO2	ENSG00000165935	mapped	37
ITPR2	30	ITPR2	NC_000012.12	27524206	27695564	+	PPFIBP1	ENSG00000110841	mapped	38
ITPR2	30	ITPR2	NC_000012.12	27696447	27697596	+	REP15	ENSG00000174236	mapped	39
ITPR2	30	ITPR2	NC_000012.12	27710832	27756295	+	MRPS35	ENSG00000061794	mapped	40
ITPR2	30	ITPR2	NC_000012.12	27762427	27780236	-	MANSC4	ENSG00000205693	mapped	41
ITPR2	30	ITPR2	NC_000012.12	27780233	27803040	+	KLHL42	ENSG00000087448	mapped	42
ITPR2	30	ITPR2	NC_000012.12	27958084	27972733	-	PTHLH	ENSG00000087494	mapped	43
ITPR2	30	ITPR2	NC_000012.12	28190456	28550166	+	CCDC91	ENSG00000123106	mapped	44
ITPR2	30	ITPR2	NC_000012.12	29149278	29335616	+	FAR2	ENSG00000064763	mapped	45
ITPR2	30	ITPR2	NC_000012.12	29337352	29381172	-	ERGIC2	ENSG00000087502	mapped	46
ITPR2	30	ITPR2	NC_000012.12	29402168	29497686	-	OVCH1	ENSG00000187950	mapped	47
ITPR2	30	ITPR2	NC_000012.12	29500813	29784759	-	TMTC1	ENSG00000133687	mapped	48
ITPR2	30	ITPR2	NC_000012.12	30628988	30695869	-	IPO8	ENSG00000133704	mapped	49
ITPR2	30	ITPR2	NC_000012.12	30709553	30754951	-	CAPRIN2	ENSG00000110888	mapped	50
ITPR2	30	ITPR2	NC_000012.12	30926748	31016502	+	TSPAN11	ENSG00000110900	mapped	51
ITPR2	30	ITPR2	NC_000012.12	31073860	31104799	+	DDX11	ENSG00000013573	mapped	52
ITPR2	30	ITPR2	NC_000012.12	31280584	31326150	-	SINHCAF	ENSG00000139146	mapped	53
ITPR2	30	ITPR2	NC_000012.12	31382226	31591136	-	DENND5B	ENSG00000170456	mapped	54
ITPR2	30	ITPR2	NC_000012.12	31647160	31673114	+	ETFBKMT	ENSG00000139160	mapped	55
ITPR2	30	ITPR2	NC_000012.12	31671137	31729174	-	AMN1	ENSG00000151743	mapped	56
ITPR2	30	ITPR2	NC_000012.12	31791185	31792298	-	H3-5	ENSG00000188375	mapped	57
ITPR2	30	ITPR2	NC_000012.12	31959415	31993107	+	RESF1	ENSG00000174718	mapped	58
ITPR2	30	ITPR2	NC_000012.12	32106847	32383633	+	BICD1	ENSG00000151746	mapped	59
ITPR3	30	ITPR3	NC_000006.12	32840717	32844679	-	PSMB8	ENSG00000204264	mapped	0
ITPR3	30	ITPR3	NC_000006.12	32845209	32853704	-	TAP1	ENSG00000168394	mapped	1
ITPR3	30	ITPR3	NC_000006.12	32854192	32859851	+	PSMB9	ENSG00000240065	mapped	2
ITPR3	30	ITPR3	NC_000006.12	32934636	32941028	-	HLA-DMB	ENSG00000242574	mapped	3
ITPR3	30	ITPR3	NC_000006.12	32948618	32953097	-	HLA-DMA	ENSG00000204257	mapped	4
ITPR3	30	ITPR3	NC_000006.12	32968594	32981505	+	BRD2	ENSG00000204256	mapped	5
ITPR3	30	ITPR3	NC_000006.12	33004182	33009591	-	HLA-DOA	ENSG00000204252	mapped	6
ITPR3	30	ITPR3	NC_000006.12	33064569	33080748	-	HLA-DPA1	ENSG00000231389	mapped	7
ITPR3	30	ITPR3	NC_000006.12	33075990	33089696	+	HLA-DPB1	ENSG00000223865	mapped	8
ITPR3	30	ITPR3	NC_000006.12	33162694	33193519	-	COL11A2	ENSG00000204248	mapped	9
ITPR3	30	ITPR3	NC_000006.12	33193588	33200853	-	RXRB	ENSG00000204231	mapped	10
ITPR3	30	ITPR3	NC_000006.12	33200867	33204437	+	SLC39A7	ENSG00000112473	mapped	11
ITPR3	30	ITPR3	NC_000006.12	33204655	33206831	+	HSD17B8	ENSG00000204228	mapped	12
ITPR3	30	ITPR3	NC_000006.12	33208500	33212716	+	RING1	ENSG00000204227	mapped	13
ITPR3	30	ITPR3	NC_000006.12	33250272	33271965	-	VPS52	ENSG00000223501	mapped	14
ITPR3	30	ITPR3	NC_000006.12	33272075	33276511	+	RPS18	ENSG00000231500	mapped	15
ITPR3	30	ITPR3	NC_000006.12	33277123	33278825	+	B3GALT4	ENSG00000235863	mapped	16
ITPR3	30	ITPR3	NC_000006.12	33279108	33289239	-	WDR46	ENSG00000227057	mapped	17
ITPR3	30	ITPR3	NC_000006.12	33289197	33290934	+	PFDN6	ENSG00000204220	mapped	18
ITPR3	30	ITPR3	NC_000006.12	33291654	33301612	-	RGL2	ENSG00000237441	mapped	19
ITPR3	30	ITPR3	NC_000006.12	33299694	33314078	-	TAPBP	ENSG00000231925	mapped	20
ITPR3	30	ITPR3	NC_000006.12	33314418	33317942	-	ZBTB22	ENSG00000236104	mapped	21
ITPR3	30	ITPR3	NC_000006.12	33318558	33322959	-	DAXX	ENSG00000204209	mapped	22
ITPR3	30	ITPR3	NC_000006.12	33323628	33329279	-	SMIM40	ENSG00000286920	mapped	23
ITPR3	30	ITPR3	NC_000006.12	33391461	33409896	+	KIFC1	ENSG00000237649	mapped	24
ITPR3	30	ITPR3	NC_000006.12	33410412	33416439	+	PHF1	ENSG00000112511	mapped	25
ITPR3	30	ITPR3	NC_000006.12	33416442	33418107	-	CUTA	ENSG00000112514	mapped	26
ITPR3	30	ITPR3	NC_000006.12	33418167	33453689	+	SYNGAP1	ENSG00000197283	mapped	27
ITPR3	30	ITPR3	NC_000006.12	33453083	33457544	+	ZBTB9	ENSG00000213588	mapped	28
ITPR3	30	ITPR3	NC_000006.12	33572552	33580276	-	BAK1	ENSG00000030110	mapped	29
ITPR3	30	ITPR3	NC_000006.12	33696764	33711700	-	UQCC2	ENSG00000137288	mapped	30
ITPR3	30	ITPR3	NC_000006.12	33721662	33762145	-	IP6K3	ENSG00000161896	mapped	31
ITPR3	30	ITPR3	NC_000006.12	33771213	33789130	-	LEMD2	ENSG00000161904	mapped	32
ITPR3	30	ITPR3	NC_000006.12	33794673	33804003	-	MLN	ENSG00000096395	mapped	33
ITPR3	30	ITPR3	NC_000006.12	34018643	34155622	-	GRM4	ENSG00000124493	mapped	34
ITPR3	30	ITPR3	NC_000006.12	34236246	34238380	+	LOC124901225		unmapped	35
ITPR3	30	ITPR3	NC_000006.12	34236873	34246231	+	HMGA1	ENSG00000137309	mapped	36
ITPR3	30	ITPR3	NC_000006.12	34246395	34249006	-	SMIM29	ENSG00000186577	mapped	37
ITPR3	30	ITPR3	NC_000006.12	34279679	34392669	-	NUDT3	ENSG00000272325	mapped	38
ITPR3	30	ITPR3	NC_000006.12	34287194	34426069	-	RPS10-NUDT3	ENSG00000270800	mapped	39
ITPR3	30	ITPR3	NC_000006.12	34417454	34426069	-	RPS10	ENSG00000124614	mapped	40
ITPR3	30	ITPR3	NC_000006.12	34466076	34535223	+	PACSIN1	ENSG00000124507	mapped	41
ITPR3	30	ITPR3	NC_000006.12	34537802	34556329	-	SPDEF	ENSG00000124664	mapped	42
ITPR3	30	ITPR3	NC_000006.12	34587288	34696767	-	ILRUN	ENSG00000196821	mapped	43
ITPR3	30	ITPR3	NC_000006.12	34757505	34773857	+	SNRPC	ENSG00000124562	mapped	44
ITPR3	30	ITPR3	NC_000006.12	34792083	34877514	+	BLTP3A	ENSG00000065060	mapped	45
ITPR3	30	ITPR3	NC_000006.12	34877462	34888071	-	TAF11	ENSG00000064995	mapped	46
ITPR3	30	ITPR3	NC_000006.12	34889255	35097990	+	ANKS1A	ENSG00000064999	mapped	47
ITPR3	30	ITPR3	NC_000006.12	35118075	35141339	-	TCP11	ENSG00000124678	mapped	48
ITPR3	30	ITPR3	NC_000006.12	35213956	35253079	+	SCUBE3	ENSG00000146197	mapped	49
ITPR3	30	ITPR3	NC_000006.12	35259533	35295985	+	ZNF76	ENSG00000065029	mapped	50
ITPR3	30	ITPR3	NC_000006.12	35297818	35321771	+	DEF6	ENSG00000023892	mapped	51
ITPR3	30	ITPR3	NC_000006.12	35342558	35428178	+	PPARD	ENSG00000112033	mapped	52
ITPR3	30	ITPR3	NC_000006.12	35452338	35467102	+	FANCE	ENSG00000112039	mapped	53
ITPR3	30	ITPR3	NC_000006.12	35468401	35470780	+	RPL10A	ENSG00000198755	mapped	54
ITPR3	30	ITPR3	NC_000006.12	35473597	35497079	-	TEAD3	ENSG00000007866	mapped	55
ITPR3	30	ITPR3	NC_000006.12	35497874	35512896	-	TULP1	ENSG00000112041	mapped	56
ITPR3	30	ITPR3	NC_000006.12	35573590	35728583	-	FKBP5	ENSG00000096060	mapped	57
ITPR3	30	ITPR3	NC_000006.12	35731524	35749079	+	ARMC12	ENSG00000157343	mapped	58
ITPR3	30	ITPR3	NC_000006.12	35776598	35779552	+	CLPSL2	ENSG00000196748	mapped	59
RYR1	30	RYR1	NC_000019.10	36916332	36997932	+	ZNF568	ENSG00000198453	mapped	0
RYR1	30	RYR1	NC_000019.10	37007902	37130368	+	ZNF420	ENSG00000197050	mapped	1
RYR1	30	RYR1	NC_000019.10	37145540	37172695	-	ZNF585A	ENSG00000196967	mapped	2
RYR1	30	RYR1	NC_000019.10	37181579	37210536	-	ZNF585B	ENSG00000245680	mapped	3
RYR1	30	RYR1	NC_000019.10	37218214	37248740	+	ZNF383	ENSG00000188283	mapped	4
RYR1	30	RYR1	NC_000019.10	37312837	37364455	+	ZNF875	ENSG00000181666	mapped	5
RYR1	30	RYR1	NC_000019.10	37371099	37393066	+	ZNF527	ENSG00000189164	mapped	6
RYR1	30	RYR1	NC_000019.10	37411157	37469265	-	ZNF569	ENSG00000196437	mapped	7
RYR1	30	RYR1	NC_000019.10	37467772	37488652	+	ZNF570	ENSG00000171827	mapped	8
RYR1	30	RYR1	NC_000019.10	37506428	37543333	+	ZNF793	ENSG00000188227	mapped	9
RYR1	30	RYR1	NC_000019.10	37532851	37551339	-	LOC124904708		unmapped	10
RYR1	30	RYR1	NC_000019.10	37551374	37614179	+	ZNF540	ENSG00000171817	mapped	11
RYR1	30	RYR1	NC_000019.10	37564260	37594792	-	ZNF571	ENSG00000180479	mapped	12
RYR1	30	RYR1	NC_000019.10	37631006	37656261	-	ZFP30	ENSG00000120784	mapped	13
RYR1	30	RYR1	NC_000019.10	37696363	37719761	-	ZNF607	ENSG00000198182	mapped	14
RYR1	30	RYR1	NC_000019.10	37738302	37779586	-	ZNF573	ENSG00000189144	mapped	15
RYR1	30	RYR1	NC_000019.10	37884823	37906697	-	WDR87	ENSG00000171804	mapped	16
RYR1	30	RYR1	NC_000019.10	37907208	38208369	+	SIPA1L3	ENSG00000105738	mapped	17
RYR1	30	RYR1	NC_000019.10	38211006	38229695	-	DPF1	ENSG00000011332	mapped	18
RYR1	30	RYR1	NC_000019.10	38251237	38256374	-	PPP1R14A	ENSG00000167641	mapped	19
RYR1	30	RYR1	NC_000019.10	38264573	38292615	+	SPINT2	ENSG00000167642	mapped	20
RYR1	30	RYR1	NC_000019.10	38303558	38321887	-	YIF1B	ENSG00000167645	mapped	21
RYR1	30	RYR1	NC_000019.10	38304251	38305006	+	C19orf33	ENSG00000167644	mapped	22
RYR1	30	RYR1	NC_000019.10	38319845	38332076	+	KCNK6	ENSG00000099337	mapped	23
RYR1	30	RYR1	NC_000019.10	38335830	38370943	+	CATSPERG	ENSG00000099338	mapped	24
