accession	organism	vclass	window_a	window_b	n_mapped_a	n_mapped_b	n_links
GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	ctrl0	ctrl2	20	18	0
GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	ctrl0	ctrl3	20	12	0
GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	ctrl1	ctrl2	17	18	0
GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	ctrl1	ctrl3	17	12	0
GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	ctrl2	ctrl3	18	12	0
GCF_009764475.1	Pristis pectinata	Chondrichthyes	ctrl0	ctrl2	5	6	0
GCF_009769465.1	Tauraco erythrolophus	Aves	ctrl0	ctrl1	18	16	1
GCF_009769465.1	Tauraco erythrolophus	Aves	ctrl0	ctrl2	18	14	0
GCF_009769465.1	Tauraco erythrolophus	Aves	ctrl0	ctrl3	18	13	0
GCF_009769465.1	Tauraco erythrolophus	Aves	ctrl1	ctrl2	16	14	0
GCF_009769465.1	Tauraco erythrolophus	Aves	ctrl1	ctrl3	16	13	0
GCF_009769465.1	Tauraco erythrolophus	Aves	ctrl2	ctrl3	14	13	0
GCF_011004845.1	Esox lucius	Actinopteri	ctrl0	ctrl1	15	5	0
GCF_011004845.1	Esox lucius	Actinopteri	ctrl0	ctrl2	15	11	0
GCF_011004845.1	Esox lucius	Actinopteri	ctrl0	ctrl3	15	7	1
GCF_011004845.1	Esox lucius	Actinopteri	ctrl1	ctrl2	5	11	0
GCF_011004845.1	Esox lucius	Actinopteri	ctrl1	ctrl3	5	7	0
GCF_011004845.1	Esox lucius	Actinopteri	ctrl2	ctrl3	11	7	0
GCF_011004875.1	Balearica regulorum gibbericeps	Aves	ctrl0	ctrl1	16	20	0
GCF_011004875.1	Balearica regulorum gibbericeps	Aves	ctrl0	ctrl2	16	18	0
GCF_011004875.1	Balearica regulorum gibbericeps	Aves	ctrl0	ctrl3	16	18	0
GCF_011004875.1	Balearica regulorum gibbericeps	Aves	ctrl1	ctrl2	20	18	0
GCF_011004875.1	Balearica regulorum gibbericeps	Aves	ctrl1	ctrl3	20	18	0
GCF_011004875.1	Balearica regulorum gibbericeps	Aves	ctrl2	ctrl3	18	18	0
GCF_013368585.1	Megalops cyprinoides	Actinopteri	ctrl0	ctrl1	7	12	0
GCF_013368585.1	Megalops cyprinoides	Actinopteri	ctrl0	ctrl2	7	8	0
GCF_013368585.1	Megalops cyprinoides	Actinopteri	ctrl1	ctrl2	12	8	0
GCF_013368605.1	Nyctibius grandis	Aves	ctrl0	ctrl1	16	16	0
GCF_013368605.1	Nyctibius grandis	Aves	ctrl0	ctrl2	16	17	1
GCF_013368605.1	Nyctibius grandis	Aves	ctrl0	ctrl3	16	18	0
GCF_013368605.1	Nyctibius grandis	Aves	ctrl1	ctrl2	16	17	0
GCF_013368605.1	Nyctibius grandis	Aves	ctrl1	ctrl3	16	18	0
GCF_013368605.1	Nyctibius grandis	Aves	ctrl2	ctrl3	17	18	0
GCF_014839835.1	Dryobates pubescens	Aves	ctrl0	ctrl2	18	16	1
GCF_014839835.1	Dryobates pubescens	Aves	ctrl0	ctrl3	18	19	0
GCF_014839835.1	Dryobates pubescens	Aves	ctrl2	ctrl3	16	19	0
GCF_016433145.1	Gracilinanus agilis	Mammalia	ctrl0	ctrl2	16	13	0
GCF_016433145.1	Gracilinanus agilis	Mammalia	ctrl0	ctrl3	16	19	0
GCF_016433145.1	Gracilinanus agilis	Mammalia	ctrl2	ctrl3	13	19	0
GCF_016699485.2	Gallus gallus	Aves	ctrl0	ctrl1	14	16	0
GCF_016699485.2	Gallus gallus	Aves	ctrl0	ctrl2	14	15	0
GCF_016699485.2	Gallus gallus	Aves	ctrl0	ctrl3	14	19	0
GCF_016699485.2	Gallus gallus	Aves	ctrl1	ctrl2	16	15	0
GCF_016699485.2	Gallus gallus	Aves	ctrl1	ctrl3	16	19	0
GCF_016699485.2	Gallus gallus	Aves	ctrl2	ctrl3	15	19	0
GCF_016859285.1	Xiphias gladius	Actinopteri	ctrl0	ctrl1	7	8	0
GCF_016859285.1	Xiphias gladius	Actinopteri	ctrl0	ctrl2	7	13	0
GCF_016859285.1	Xiphias gladius	Actinopteri	ctrl0	ctrl3	7	16	0
GCF_016859285.1	Xiphias gladius	Actinopteri	ctrl1	ctrl2	8	13	0
GCF_016859285.1	Xiphias gladius	Actinopteri	ctrl1	ctrl3	8	16	0
GCF_016859285.1	Xiphias gladius	Actinopteri	ctrl2	ctrl3	13	16	0
GCF_017639515.1	Carcharodon carcharias	Chondrichthyes	ctrl0	ctrl1	8	5	0
GCF_017639515.1	Carcharodon carcharias	Chondrichthyes	ctrl0	ctrl2	8	7	0
GCF_017639515.1	Carcharodon carcharias	Chondrichthyes	ctrl1	ctrl2	5	7	0
GCF_017976375.1	Cuculus canorus	Aves	ctrl0	ctrl1	17	17	0
GCF_017976375.1	Cuculus canorus	Aves	ctrl0	ctrl2	17	18	0
GCF_017976375.1	Cuculus canorus	Aves	ctrl0	ctrl3	17	18	0
GCF_017976375.1	Cuculus canorus	Aves	ctrl1	ctrl2	17	18	0
GCF_017976375.1	Cuculus canorus	Aves	ctrl1	ctrl3	17	18	1
GCF_017976375.1	Cuculus canorus	Aves	ctrl2	ctrl3	18	18	0
GCF_018139145.2	Gymnogyps californianus	Aves	ctrl0	ctrl1	17	18	0
GCF_018139145.2	Gymnogyps californianus	Aves	ctrl0	ctrl2	17	18	0
GCF_018139145.2	Gymnogyps californianus	Aves	ctrl0	ctrl3	17	15	0
GCF_018139145.2	Gymnogyps californianus	Aves	ctrl1	ctrl2	18	18	0
GCF_018139145.2	Gymnogyps californianus	Aves	ctrl1	ctrl3	18	15	0
GCF_018139145.2	Gymnogyps californianus	Aves	ctrl2	ctrl3	18	15	0
GCF_018320785.1	Cheilinus undulatus	Actinopteri	ctrl1	ctrl2	11	12	0
GCF_018320785.1	Cheilinus undulatus	Actinopteri	ctrl1	ctrl3	11	13	0
GCF_018320785.1	Cheilinus undulatus	Actinopteri	ctrl2	ctrl3	12	13	0
GCF_018691265.1	Tyto alba	Aves	ctrl0	ctrl1	17	16	0
GCF_018691265.1	Tyto alba	Aves	ctrl0	ctrl2	17	11	1
GCF_018691265.1	Tyto alba	Aves	ctrl0	ctrl3	17	8	0
GCF_018691265.1	Tyto alba	Aves	ctrl1	ctrl2	16	11	0
GCF_018691265.1	Tyto alba	Aves	ctrl1	ctrl3	16	8	0
GCF_018691265.1	Tyto alba	Aves	ctrl2	ctrl3	11	8	0
GCF_018977255.1	Callorhinchus milii	Chondrichthyes	ctrl0	ctrl2	15	8	0
GCF_018977255.1	Callorhinchus milii	Chondrichthyes	ctrl0	ctrl3	15	8	0
GCF_018977255.1	Callorhinchus milii	Chondrichthyes	ctrl2	ctrl3	8	8	0
GCF_019279795.1	Protopterus annectens	Dipnoi	ctrl0	ctrl1	13	15	0
GCF_019279795.1	Protopterus annectens	Dipnoi	ctrl0	ctrl2	13	13	0
GCF_019279795.1	Protopterus annectens	Dipnoi	ctrl1	ctrl2	15	13	0
GCF_019393635.1	Dromiciops gliroides	Mammalia	ctrl0	ctrl1	16	16	0
GCF_019393635.1	Dromiciops gliroides	Mammalia	ctrl0	ctrl2	16	13	0
GCF_019393635.1	Dromiciops gliroides	Mammalia	ctrl0	ctrl3	16	13	0
GCF_019393635.1	Dromiciops gliroides	Mammalia	ctrl1	ctrl2	16	13	0
GCF_019393635.1	Dromiciops gliroides	Mammalia	ctrl1	ctrl3	16	13	0
GCF_019393635.1	Dromiciops gliroides	Mammalia	ctrl2	ctrl3	13	13	0
GCF_020171115.1	Neogale vison	Mammalia	ctrl0	ctrl1	11	17	0
GCF_020171115.1	Neogale vison	Mammalia	ctrl0	ctrl2	11	17	0
GCF_020171115.1	Neogale vison	Mammalia	ctrl0	ctrl3	11	15	0
GCF_020171115.1	Neogale vison	Mammalia	ctrl1	ctrl2	17	17	0
GCF_020171115.1	Neogale vison	Mammalia	ctrl1	ctrl3	17	15	0
GCF_020171115.1	Neogale vison	Mammalia	ctrl2	ctrl3	17	15	0
GCF_020740795.1	Apus apus	Aves	ctrl0	ctrl1	18	17	0
GCF_020740795.1	Apus apus	Aves	ctrl0	ctrl3	18	15	0
GCF_020740795.1	Apus apus	Aves	ctrl1	ctrl3	17	15	0
GCF_020826845.1	Diceros bicornis minor	Mammalia	ctrl0	ctrl1	20	19	0
GCF_020826845.1	Diceros bicornis minor	Mammalia	ctrl0	ctrl2	20	17	0
GCF_020826845.1	Diceros bicornis minor	Mammalia	ctrl0	ctrl3	20	11	0
GCF_020826845.1	Diceros bicornis minor	Mammalia	ctrl1	ctrl2	19	17	0
GCF_020826845.1	Diceros bicornis minor	Mammalia	ctrl1	ctrl3	19	11	0
GCF_020826845.1	Diceros bicornis minor	Mammalia	ctrl2	ctrl3	17	11	0
GCF_021028975.2	Sphaerodactylus townsendi	Lepidosauria	ctrl0	ctrl1	20	17	0
GCF_021028975.2	Sphaerodactylus townsendi	Lepidosauria	ctrl0	ctrl2	20	14	0
GCF_021028975.2	Sphaerodactylus townsendi	Lepidosauria	ctrl0	ctrl3	20	19	0
GCF_021028975.2	Sphaerodactylus townsendi	Lepidosauria	ctrl1	ctrl2	17	14	0
GCF_021028975.2	Sphaerodactylus townsendi	Lepidosauria	ctrl1	ctrl3	17	19	0
GCF_021028975.2	Sphaerodactylus townsendi	Lepidosauria	ctrl2	ctrl3	14	19	0
GCF_021292245.1	Micropterus dolomieu	Actinopteri	ctrl1	ctrl2	5	10	0
GCF_021292245.1	Micropterus dolomieu	Actinopteri	ctrl1	ctrl3	5	11	0
GCF_021292245.1	Micropterus dolomieu	Actinopteri	ctrl2	ctrl3	10	11	1
GCF_021613505.1	Equus quagga	Mammalia	ctrl0	ctrl1	16	14	0
GCF_021613505.1	Equus quagga	Mammalia	ctrl0	ctrl2	16	18	0
GCF_021613505.1	Equus quagga	Mammalia	ctrl0	ctrl3	16	17	0
GCF_021613505.1	Equus quagga	Mammalia	ctrl1	ctrl2	14	18	0
GCF_021613505.1	Equus quagga	Mammalia	ctrl1	ctrl3	14	17	0
GCF_021613505.1	Equus quagga	Mammalia	ctrl2	ctrl3	18	17	0
GCF_023634155.1	Falco peregrinus	Aves	ctrl0	ctrl1	17	14	0
GCF_023634155.1	Falco peregrinus	Aves	ctrl0	ctrl2	17	20	0
GCF_023634155.1	Falco peregrinus	Aves	ctrl0	ctrl3	17	17	0
GCF_023634155.1	Falco peregrinus	Aves	ctrl1	ctrl2	14	20	0
GCF_023634155.1	Falco peregrinus	Aves	ctrl1	ctrl3	14	17	0
GCF_023634155.1	Falco peregrinus	Aves	ctrl2	ctrl3	20	17	0
GCF_023851605.1	Tamandua tetradactyla	Mammalia	ctrl0	ctrl1	18	19	0
GCF_023851605.1	Tamandua tetradactyla	Mammalia	ctrl0	ctrl2	18	11	0
GCF_023851605.1	Tamandua tetradactyla	Mammalia	ctrl0	ctrl3	18	19	0
GCF_023851605.1	Tamandua tetradactyla	Mammalia	ctrl1	ctrl2	19	11	1
GCF_023851605.1	Tamandua tetradactyla	Mammalia	ctrl1	ctrl3	19	19	0
GCF_023851605.1	Tamandua tetradactyla	Mammalia	ctrl2	ctrl3	11	19	0
GCF_024166365.1	Elephas maximus indicus	Mammalia	ctrl0	ctrl1	14	14	0
GCF_024166365.1	Elephas maximus indicus	Mammalia	ctrl0	ctrl2	14	17	0
GCF_024166365.1	Elephas maximus indicus	Mammalia	ctrl0	ctrl3	14	17	0
GCF_024166365.1	Elephas maximus indicus	Mammalia	ctrl1	ctrl2	14	17	0
GCF_024166365.1	Elephas maximus indicus	Mammalia	ctrl1	ctrl3	14	17	0
GCF_024166365.1	Elephas maximus indicus	Mammalia	ctrl2	ctrl3	17	17	0
GCF_025201925.1	Gopherus flavomarginatus	Testudines	ctrl0	ctrl1	17	17	0
GCF_025201925.1	Gopherus flavomarginatus	Testudines	ctrl0	ctrl2	17	15	0
GCF_025201925.1	Gopherus flavomarginatus	Testudines	ctrl0	ctrl3	17	17	0
GCF_025201925.1	Gopherus flavomarginatus	Testudines	ctrl1	ctrl2	17	15	0
GCF_025201925.1	Gopherus flavomarginatus	Testudines	ctrl1	ctrl3	17	17	0
GCF_025201925.1	Gopherus flavomarginatus	Testudines	ctrl2	ctrl3	15	17	0
GCF_027244095.1	Hemicordylus capensis	Lepidosauria	ctrl0	ctrl1	16	19	2
GCF_027244095.1	Hemicordylus capensis	Lepidosauria	ctrl0	ctrl2	16	17	0
GCF_027244095.1	Hemicordylus capensis	Lepidosauria	ctrl0	ctrl3	16	18	0
GCF_027244095.1	Hemicordylus capensis	Lepidosauria	ctrl1	ctrl2	19	17	0
GCF_027244095.1	Hemicordylus capensis	Lepidosauria	ctrl1	ctrl3	19	18	0
GCF_027244095.1	Hemicordylus capensis	Lepidosauria	ctrl2	ctrl3	17	18	0
GCF_027409185.1	Cynocephalus volans	Mammalia	ctrl0	ctrl1	17	19	0
GCF_027409185.1	Cynocephalus volans	Mammalia	ctrl0	ctrl2	17	15	0
GCF_027409185.1	Cynocephalus volans	Mammalia	ctrl1	ctrl2	19	15	0
GCF_027409825.1	Scomber japonicus	Actinopteri	ctrl0	ctrl1	5	11	0
GCF_027409825.1	Scomber japonicus	Actinopteri	ctrl0	ctrl2	5	5	0
GCF_027409825.1	Scomber japonicus	Actinopteri	ctrl0	ctrl3	5	9	0
GCF_027409825.1	Scomber japonicus	Actinopteri	ctrl1	ctrl2	11	5	0
GCF_027409825.1	Scomber japonicus	Actinopteri	ctrl1	ctrl3	11	9	0
GCF_027409825.1	Scomber japonicus	Actinopteri	ctrl2	ctrl3	5	9	0
GCF_027579695.1	Neoarius graeffei	Actinopteri	ctrl0	ctrl2	8	6	0
GCF_027579735.1	Bombina bombina	Amphibia	ctrl0	ctrl1	8	10	0
GCF_027579735.1	Bombina bombina	Amphibia	ctrl0	ctrl2	8	9	0
GCF_027579735.1	Bombina bombina	Amphibia	ctrl0	ctrl3	8	8	0
GCF_027579735.1	Bombina bombina	Amphibia	ctrl1	ctrl2	10	9	0
GCF_027579735.1	Bombina bombina	Amphibia	ctrl1	ctrl3	10	8	0
GCF_027579735.1	Bombina bombina	Amphibia	ctrl2	ctrl3	9	8	0
GCF_027595985.1	Sorex araneus	Mammalia	ctrl0	ctrl1	19	7	0
GCF_027595985.1	Sorex araneus	Mammalia	ctrl0	ctrl2	19	18	0
GCF_027595985.1	Sorex araneus	Mammalia	ctrl0	ctrl3	19	16	0
GCF_027595985.1	Sorex araneus	Mammalia	ctrl1	ctrl2	7	18	0
GCF_027595985.1	Sorex araneus	Mammalia	ctrl1	ctrl3	7	16	0
GCF_027595985.1	Sorex araneus	Mammalia	ctrl2	ctrl3	18	16	0
GCF_028372415.1	Notamacropus eugenii	Mammalia	ctrl0	ctrl1	15	20	0
GCF_028372415.1	Notamacropus eugenii	Mammalia	ctrl0	ctrl2	15	16	0
GCF_028372415.1	Notamacropus eugenii	Mammalia	ctrl1	ctrl2	20	16	0
GCF_028389875.1	Rhea pennata	Aves	ctrl0	ctrl1	20	18	0
GCF_028389875.1	Rhea pennata	Aves	ctrl0	ctrl2	20	17	0
GCF_028389875.1	Rhea pennata	Aves	ctrl0	ctrl3	20	16	0
GCF_028389875.1	Rhea pennata	Aves	ctrl1	ctrl2	18	17	0
GCF_028389875.1	Rhea pennata	Aves	ctrl1	ctrl3	18	16	0
GCF_028389875.1	Rhea pennata	Aves	ctrl2	ctrl3	17	16	0
GCF_028858725.1	Colius striatus	Aves	ctrl0	ctrl1	17	18	0
GCF_028858725.1	Colius striatus	Aves	ctrl0	ctrl2	17	14	0
GCF_028858725.1	Colius striatus	Aves	ctrl0	ctrl3	17	18	0
GCF_028858725.1	Colius striatus	Aves	ctrl1	ctrl2	18	14	0
GCF_028858725.1	Colius striatus	Aves	ctrl1	ctrl3	18	18	0
GCF_028858725.1	Colius striatus	Aves	ctrl2	ctrl3	14	18	0
GCF_029633855.1	Hoplias malabaricus	Actinopteri	ctrl1	ctrl2	6	11	0
GCF_029633865.1	Lampris incognitus	Actinopteri	ctrl0	ctrl1	6	9	0
GCF_029633865.1	Lampris incognitus	Actinopteri	ctrl0	ctrl2	6	6	0
GCF_029633865.1	Lampris incognitus	Actinopteri	ctrl0	ctrl3	6	9	0
GCF_029633865.1	Lampris incognitus	Actinopteri	ctrl1	ctrl2	9	6	0
GCF_029633865.1	Lampris incognitus	Actinopteri	ctrl1	ctrl3	9	9	0
GCF_029633865.1	Lampris incognitus	Actinopteri	ctrl2	ctrl3	6	9	0
GCF_030020395.1	Manis pentadactyla	Mammalia	ctrl0	ctrl2	19	20	0
GCF_030020395.1	Manis pentadactyla	Mammalia	ctrl0	ctrl3	19	11	0
GCF_030020395.1	Manis pentadactyla	Mammalia	ctrl2	ctrl3	20	11	0
GCF_030445035.2	Dasypus novemcinctus	Mammalia	ctrl1	ctrl2	15	20	0
GCF_030463565.1	Pelecanus crispus	Aves	ctrl0	ctrl1	15	19	0
GCF_030463565.1	Pelecanus crispus	Aves	ctrl0	ctrl2	15	15	0
GCF_030463565.1	Pelecanus crispus	Aves	ctrl0	ctrl3	15	18	0
GCF_030463565.1	Pelecanus crispus	Aves	ctrl1	ctrl2	19	15	0
GCF_030463565.1	Pelecanus crispus	Aves	ctrl1	ctrl3	19	18	0
GCF_030463565.1	Pelecanus crispus	Aves	ctrl2	ctrl3	15	18	0
GCF_030490865.1	Poecile atricapillus	Aves	ctrl0	ctrl1	14	18	0
GCF_030490865.1	Poecile atricapillus	Aves	ctrl0	ctrl2	14	20	0
GCF_030490865.1	Poecile atricapillus	Aves	ctrl0	ctrl3	14	17	0
GCF_030490865.1	Poecile atricapillus	Aves	ctrl1	ctrl2	18	20	0
GCF_030490865.1	Poecile atricapillus	Aves	ctrl1	ctrl3	18	17	0
GCF_030490865.1	Poecile atricapillus	Aves	ctrl2	ctrl3	20	17	0
GCF_030867095.1	Alligator mississippiensis	Crocodylia	ctrl0	ctrl1	12	18	0
GCF_030867095.1	Alligator mississippiensis	Crocodylia	ctrl0	ctrl2	12	18	0
GCF_030867095.1	Alligator mississippiensis	Crocodylia	ctrl0	ctrl3	12	9	0
GCF_030867095.1	Alligator mississippiensis	Crocodylia	ctrl1	ctrl2	18	18	0
GCF_030867095.1	Alligator mississippiensis	Crocodylia	ctrl1	ctrl3	18	9	0
GCF_030867095.1	Alligator mississippiensis	Crocodylia	ctrl2	ctrl3	18	9	0
GCF_030867145.1	Opisthocomus hoazin	Aves	ctrl0	ctrl1	15	18	0
GCF_030867145.1	Opisthocomus hoazin	Aves	ctrl0	ctrl2	15	20	0
GCF_030867145.1	Opisthocomus hoazin	Aves	ctrl1	ctrl2	18	20	0
GCF_030936135.1	Gavia stellata	Aves	ctrl0	ctrl1	20	17	0
GCF_030936135.1	Gavia stellata	Aves	ctrl0	ctrl2	20	18	0
GCF_030936135.1	Gavia stellata	Aves	ctrl0	ctrl3	20	17	0
GCF_030936135.1	Gavia stellata	Aves	ctrl1	ctrl2	17	18	0
GCF_030936135.1	Gavia stellata	Aves	ctrl1	ctrl3	17	17	0
GCF_030936135.1	Gavia stellata	Aves	ctrl2	ctrl3	18	17	0
GCF_033026475.1	Channa argus	Actinopteri	ctrl0	ctrl3	14	9	0
GCF_033807715.1	Cololabis saira	Actinopteri	ctrl0	ctrl2	7	8	0
GCF_033807715.1	Cololabis saira	Actinopteri	ctrl0	ctrl3	7	12	0
GCF_033807715.1	Cololabis saira	Actinopteri	ctrl2	ctrl3	8	12	0
GCF_033978785.1	Entelurus aequoreus	Actinopteri	ctrl0	ctrl1	11	12	0
GCF_033978785.1	Entelurus aequoreus	Actinopteri	ctrl0	ctrl3	11	6	0
GCF_033978785.1	Entelurus aequoreus	Actinopteri	ctrl1	ctrl3	12	6	0
GCF_034619465.1	Leptosomus discolor	Aves	ctrl0	ctrl1	18	20	0
GCF_034619465.1	Leptosomus discolor	Aves	ctrl0	ctrl2	18	13	0
GCF_034619465.1	Leptosomus discolor	Aves	ctrl0	ctrl3	18	15	0
GCF_034619465.1	Leptosomus discolor	Aves	ctrl1	ctrl2	20	13	1
GCF_034619465.1	Leptosomus discolor	Aves	ctrl1	ctrl3	20	15	0
GCF_034619465.1	Leptosomus discolor	Aves	ctrl2	ctrl3	13	15	0
GCF_034638445.1	Ciconia boyciana	Aves	ctrl0	ctrl1	19	17	0
GCF_034638445.1	Ciconia boyciana	Aves	ctrl0	ctrl2	19	17	0
GCF_034638445.1	Ciconia boyciana	Aves	ctrl0	ctrl3	19	18	0
GCF_034638445.1	Ciconia boyciana	Aves	ctrl1	ctrl2	17	17	0
GCF_034638445.1	Ciconia boyciana	Aves	ctrl1	ctrl3	17	18	0
GCF_034638445.1	Ciconia boyciana	Aves	ctrl2	ctrl3	17	18	0
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	ctrl0	ctrl1	10	6	0
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	ctrl0	ctrl2	10	11	0
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	ctrl0	ctrl3	10	8	0
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	ctrl1	ctrl2	6	11	0
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	ctrl1	ctrl3	6	8	0
GCF_034702125.1	Engraulis encrasicolus	Actinopteri	ctrl2	ctrl3	11	8	0
GCF_035084215.1	Heptranchias perlo	Chondrichthyes	ctrl0	ctrl1	8	12	0
GCF_035084215.1	Heptranchias perlo	Chondrichthyes	ctrl0	ctrl2	8	11	0
GCF_035084215.1	Heptranchias perlo	Chondrichthyes	ctrl1	ctrl2	12	11	0
GCF_035582795.1	Mycteria americana	Aves	ctrl0	ctrl1	17	16	0
GCF_035582795.1	Mycteria americana	Aves	ctrl0	ctrl2	17	17	0
GCF_035582795.1	Mycteria americana	Aves	ctrl0	ctrl3	17	15	0
GCF_035582795.1	Mycteria americana	Aves	ctrl1	ctrl2	16	17	0
GCF_035582795.1	Mycteria americana	Aves	ctrl1	ctrl3	16	15	0
GCF_035582795.1	Mycteria americana	Aves	ctrl2	ctrl3	17	15	0
GCF_035609145.1	Eleutherodactylus coqui	Amphibia	ctrl0	ctrl1	18	14	0
GCF_035609145.1	Eleutherodactylus coqui	Amphibia	ctrl0	ctrl2	18	5	0
GCF_035609145.1	Eleutherodactylus coqui	Amphibia	ctrl0	ctrl3	18	15	0
GCF_035609145.1	Eleutherodactylus coqui	Amphibia	ctrl1	ctrl2	14	5	0
GCF_035609145.1	Eleutherodactylus coqui	Amphibia	ctrl1	ctrl3	14	15	0
GCF_035609145.1	Eleutherodactylus coqui	Amphibia	ctrl2	ctrl3	5	15	0
GCF_036013445.1	Caloenas nicobarica	Aves	ctrl0	ctrl1	20	17	0
GCF_036013445.1	Caloenas nicobarica	Aves	ctrl0	ctrl2	20	15	0
GCF_036013445.1	Caloenas nicobarica	Aves	ctrl0	ctrl3	20	19	0
GCF_036013445.1	Caloenas nicobarica	Aves	ctrl1	ctrl2	17	15	0
GCF_036013445.1	Caloenas nicobarica	Aves	ctrl1	ctrl3	17	19	0
GCF_036013445.1	Caloenas nicobarica	Aves	ctrl2	ctrl3	15	19	0
GCF_036365525.1	Heterodontus francisci	Chondrichthyes	ctrl0	ctrl1	13	13	0
GCF_036365525.1	Heterodontus francisci	Chondrichthyes	ctrl0	ctrl2	13	7	0
GCF_036365525.1	Heterodontus francisci	Chondrichthyes	ctrl1	ctrl2	13	7	0
GCF_036370855.1	Dromaius novaehollandiae	Aves	ctrl0	ctrl1	20	13	0
GCF_036370855.1	Dromaius novaehollandiae	Aves	ctrl0	ctrl2	20	15	0
GCF_036370855.1	Dromaius novaehollandiae	Aves	ctrl0	ctrl3	20	16	0
GCF_036370855.1	Dromaius novaehollandiae	Aves	ctrl1	ctrl2	13	15	0
GCF_036370855.1	Dromaius novaehollandiae	Aves	ctrl1	ctrl3	13	16	0
GCF_036370855.1	Dromaius novaehollandiae	Aves	ctrl2	ctrl3	15	16	0
GCF_036373705.1	Amia ocellicauda	Actinopteri	ctrl1	ctrl2	9	7	0
GCF_036373705.1	Amia ocellicauda	Actinopteri	ctrl1	ctrl3	9	13	0
GCF_036373705.1	Amia ocellicauda	Actinopteri	ctrl2	ctrl3	7	13	0
GCF_036417535.1	Chlamydotis macqueenii	Aves	ctrl0	ctrl1	16	19	0
GCF_036417535.1	Chlamydotis macqueenii	Aves	ctrl0	ctrl2	16	15	0
GCF_036417535.1	Chlamydotis macqueenii	Aves	ctrl0	ctrl3	16	20	0
GCF_036417535.1	Chlamydotis macqueenii	Aves	ctrl1	ctrl2	19	15	0
GCF_036417535.1	Chlamydotis macqueenii	Aves	ctrl1	ctrl3	19	20	0
GCF_036417535.1	Chlamydotis macqueenii	Aves	ctrl2	ctrl3	15	20	0
GCF_036417845.1	Apteryx mantelli	Aves	ctrl0	ctrl1	18	18	0
GCF_036417845.1	Apteryx mantelli	Aves	ctrl0	ctrl2	18	10	0
GCF_036417845.1	Apteryx mantelli	Aves	ctrl0	ctrl3	18	20	0
GCF_036417845.1	Apteryx mantelli	Aves	ctrl1	ctrl2	18	10	0
GCF_036417845.1	Apteryx mantelli	Aves	ctrl1	ctrl3	18	20	0
GCF_036417845.1	Apteryx mantelli	Aves	ctrl2	ctrl3	10	20	0
GCF_036850765.1	Saccopteryx bilineata	Mammalia	ctrl0	ctrl1	14	16	0
GCF_036850765.1	Saccopteryx bilineata	Mammalia	ctrl0	ctrl2	14	18	0
GCF_036850765.1	Saccopteryx bilineata	Mammalia	ctrl0	ctrl3	14	19	0
GCF_036850765.1	Saccopteryx bilineata	Mammalia	ctrl1	ctrl2	16	18	0
GCF_036850765.1	Saccopteryx bilineata	Mammalia	ctrl1	ctrl3	16	19	0
GCF_036850765.1	Saccopteryx bilineata	Mammalia	ctrl2	ctrl3	18	19	0
GCF_036971445.1	Narcine bancroftii	Chondrichthyes	ctrl0	ctrl1	5	13	0
GCF_036971445.1	Narcine bancroftii	Chondrichthyes	ctrl0	ctrl2	5	8	0
GCF_036971445.1	Narcine bancroftii	Chondrichthyes	ctrl0	ctrl3	5	14	0
GCF_036971445.1	Narcine bancroftii	Chondrichthyes	ctrl1	ctrl2	13	8	0
GCF_036971445.1	Narcine bancroftii	Chondrichthyes	ctrl1	ctrl3	13	14	0
GCF_036971445.1	Narcine bancroftii	Chondrichthyes	ctrl2	ctrl3	8	14	0
GCF_037157495.1	Lathamus discolor	Aves	ctrl0	ctrl1	18	18	0
GCF_037157495.1	Lathamus discolor	Aves	ctrl0	ctrl2	18	18	0
GCF_037157495.1	Lathamus discolor	Aves	ctrl0	ctrl3	18	8	0
GCF_037157495.1	Lathamus discolor	Aves	ctrl1	ctrl2	18	18	0
GCF_037157495.1	Lathamus discolor	Aves	ctrl1	ctrl3	18	8	0
GCF_037157495.1	Lathamus discolor	Aves	ctrl2	ctrl3	18	8	0
GCF_037176945.1	Latimeria chalumnae	Coelacanthimorpha	ctrl0	ctrl2	6	9	0
GCF_037176945.1	Latimeria chalumnae	Coelacanthimorpha	ctrl0	ctrl3	6	13	0
GCF_037176945.1	Latimeria chalumnae	Coelacanthimorpha	ctrl2	ctrl3	9	13	0
GCF_037893015.1	Macrotis lagotis	Mammalia	ctrl0	ctrl1	18	19	0
GCF_037893015.1	Macrotis lagotis	Mammalia	ctrl0	ctrl2	18	16	0
GCF_037893015.1	Macrotis lagotis	Mammalia	ctrl0	ctrl3	18	18	0
GCF_037893015.1	Macrotis lagotis	Mammalia	ctrl1	ctrl2	19	16	1
GCF_037893015.1	Macrotis lagotis	Mammalia	ctrl1	ctrl3	19	18	0
GCF_037893015.1	Macrotis lagotis	Mammalia	ctrl2	ctrl3	16	18	0
