accession	organism	vclass	vorder	contig_spans_gene	cell	n_copies	n_contigs	same_contig	copy_id	contig	start	end	strand	coverage	identity	integrity	bait	annot_gene
GCA_054883175.1	Datnioides polota	Actinopteri	Lobotiformes	1	ITPR1	2	1	1	GCA_054883175.1#ITPR1#copy2	CM142224.1	15032217	15096538	+	1.0	0.9659	intact	A0A672IUQ7|ITPR1|Salarias_fasciatus	
GCA_054883175.1	Datnioides polota	Actinopteri	Lobotiformes	1	RYR	6	6	0	GCA_054883175.1#RYR#copy1	CM142227.1	7793152	7835753	-	1.0	0.8048	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_054883175.1	Datnioides polota	Actinopteri	Lobotiformes	1	RYR	6	6	0	GCA_054883175.1#RYR#copy2	CM142232.1	23210880	23269053	+	1.0	0.8123	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_054883175.1	Datnioides polota	Actinopteri	Lobotiformes	1	RYR	6	6	0	GCA_054883175.1#RYR#copy3	CM142233.1	16562241	16619976	-	1.0	0.5719	intact	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal	
GCA_054883175.1	Datnioides polota	Actinopteri	Lobotiformes	1	RYR	6	6	0	GCA_054883175.1#RYR#copy4	CM142237.1	4430954	4527772	+	1.0	0.6731	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_054883175.1	Datnioides polota	Actinopteri	Lobotiformes	1	RYR	6	6	0	GCA_054883175.1#RYR#copy5	CM142238.1	5578359	5671605	+	1.0	0.6665	intact	Q92736|RYR2|Homo_sapiens|RYR2	
GCA_054883175.1	Datnioides polota	Actinopteri	Lobotiformes	1	RYR	6	6	0	GCA_054883175.1#RYR#copy6	CM142244.1	18781164	18886307	+	1.0	0.8798	intact	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	
GCA_054883375.1	Arapaima gigas	Actinopteri	Osteoglossiformes	1	ITPR1	2	1	1	GCA_054883375.1#ITPR1#copy1	CM142465.1	765235	860826	-	1.0	0.909	intact	A0A672IUQ7|ITPR1|Salarias_fasciatus	
GCA_054883375.1	Arapaima gigas	Actinopteri	Osteoglossiformes	1	ITPR1	2	1	1	GCA_054883375.1#ITPR1#copy2	CM142465.1	21852238	22001487	-	1.0	0.8891	intact	A0A672IUQ7|ITPR1|Salarias_fasciatus	
GCA_054883375.1	Arapaima gigas	Actinopteri	Osteoglossiformes	1	RYR	4	4	0	GCA_054883375.1#RYR#copy1	CM142463.1	23116229	23210689	+	1.0	0.8124	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_054883375.1	Arapaima gigas	Actinopteri	Osteoglossiformes	1	RYR	4	4	0	GCA_054883375.1#RYR#copy2	CM142465.1	34997549	35129114	-	1.0	0.6851	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_054883375.1	Arapaima gigas	Actinopteri	Osteoglossiformes	1	RYR	4	4	0	GCA_054883375.1#RYR#copy3	CM142467.1	18084142	18148814	-	1.0	0.8109	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_054883375.1	Arapaima gigas	Actinopteri	Osteoglossiformes	1	RYR	4	4	0	GCA_054883375.1#RYR#copy4	CM142468.1	9753883	9897024	-	1.0	0.9082	intact	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	
GCA_056506795.1	Pristigenys meyeri	Actinopteri	Priacanthiformes	1	ITPR1	2	1	1	GCA_056506795.1#ITPR1#copy1	CM151773.1	7528028	7646280	-	1.0	0.8699	intact	A0A672IUQ7|ITPR1|Salarias_fasciatus	
GCA_056506795.1	Pristigenys meyeri	Actinopteri	Priacanthiformes	1	ITPR1	2	1	1	GCA_056506795.1#ITPR1#copy2	CM151773.1	17713753	17789314	+	1.0	0.9584	intact	A0A672IUQ7|ITPR1|Salarias_fasciatus	
GCA_056506795.1	Pristigenys meyeri	Actinopteri	Priacanthiformes	1	RYR	6	6	0	GCA_056506795.1#RYR#copy1	CM151777.1	5800766	5872959	-	1.0	0.8128	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_056506795.1	Pristigenys meyeri	Actinopteri	Priacanthiformes	1	RYR	6	6	0	GCA_056506795.1#RYR#copy2	CM151782.1	21958980	22022920	-	1.0	0.5704	intact	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal	
GCA_056506795.1	Pristigenys meyeri	Actinopteri	Priacanthiformes	1	RYR	6	6	0	GCA_056506795.1#RYR#copy3	CM151783.1	18642054	18756987	-	1.0	0.6778	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_056506795.1	Pristigenys meyeri	Actinopteri	Priacanthiformes	1	RYR	6	6	0	GCA_056506795.1#RYR#copy4	CM151784.1	25982355	26032692	+	1.0	0.7969	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_056506795.1	Pristigenys meyeri	Actinopteri	Priacanthiformes	1	RYR	6	6	0	GCA_056506795.1#RYR#copy5	CM151786.1	23117703	23250051	-	1.0	0.6665	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_056506795.1	Pristigenys meyeri	Actinopteri	Priacanthiformes	1	RYR	6	6	0	GCA_056506795.1#RYR#copy6	CM151789.1	26983743	27210480	-	1.0	0.875	intact	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	
GCA_056776345.1	Spizella passerina	Aves	Passeriformes	1	RYR	3	3	0	GCA_056776345.1#RYR#copy1	CM165300.1	42387911	42775747	-	1.0	0.9779	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_056776345.1	Spizella passerina	Aves	Passeriformes	1	RYR	3	3	0	GCA_056776345.1#RYR#copy2	CM165304.1	9560495	9754788	+	1.0	0.6738	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_056776345.1	Spizella passerina	Aves	Passeriformes	1	RYR	3	3	0	GCA_056776345.1#RYR#copy3	CM165337.1	1310570	1425566	+	1.0	0.7529	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_056783565.1	Hiodon alosoides	Actinopteri	Hiodontiformes	1	ITPR1	2	2	0	GCA_056783565.1#ITPR1#copy1	CM165611.1	6599474	6687256	+	1.0	0.9129	intact	A0A672IUQ7|ITPR1|Salarias_fasciatus	ACZ0WT_033650
GCA_056783565.1	Hiodon alosoides	Actinopteri	Hiodontiformes	1	ITPR1	2	2	0	GCA_056783565.1#ITPR1#copy2	CM165617.1	30644946	30721720	-	1.0	0.8815	intact	A0A672IUQ7|ITPR1|Salarias_fasciatus	itpr1b
GCA_056783565.1	Hiodon alosoides	Actinopteri	Hiodontiformes	1	ITPR2	2	2	0	GCA_056783565.1#ITPR2#copy1	CM165630.1	2313772	2370644	-	1.0	0.7708	intact	Q14571|ITPR2|Homo_sapiens|ITPR2	itpr2
GCA_056783565.1	Hiodon alosoides	Actinopteri	Hiodontiformes	1	ITPR2	2	2	0	GCA_056783565.1#ITPR2#copy2	CM165631.1	9061326	9129114	-	1.0	0.792	intact	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	ACZ0WT_019218
GCA_056783565.1	Hiodon alosoides	Actinopteri	Hiodontiformes	1	RYR	4	4	0	GCA_056783565.1#RYR#copy1	CM165607.1	15546263	15606233	-	1.0	0.8228	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	ACZ0WT_047760
GCA_056783565.1	Hiodon alosoides	Actinopteri	Hiodontiformes	1	RYR	4	4	0	GCA_056783565.1#RYR#copy2	CM165608.1	45106306	45224891	-	1.0	0.91	intact	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	ryr2a
GCA_056783565.1	Hiodon alosoides	Actinopteri	Hiodontiformes	1	RYR	4	4	0	GCA_056783565.1#RYR#copy3	CM165610.1	39327554	39408210	+	1.0	0.8135	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	ACZ0WT_032520
GCA_056783565.1	Hiodon alosoides	Actinopteri	Hiodontiformes	1	RYR	4	4	0	GCA_056783565.1#RYR#copy4	CM165622.1	1063264	1177341	+	1.0	0.6813	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	ACZ0WT_007167
GCA_056783665.1	Albula glossodonta	Actinopteri	Albuliformes	1	ITPR1	2	2	0	GCA_056783665.1#ITPR1#copy1	CM165712.1	23018632	23137252	+	1.0	0.892	intact	A0A672IUQ7|ITPR1|Salarias_fasciatus	
GCA_056783665.1	Albula glossodonta	Actinopteri	Albuliformes	1	ITPR1	2	2	0	GCA_056783665.1#ITPR1#copy2	CM165714.1	15922669	16042057	+	1.0	0.9103	intact	A0A672IUQ7|ITPR1|Salarias_fasciatus	
GCA_056783665.1	Albula glossodonta	Actinopteri	Albuliformes	1	RYR	5	5	0	GCA_056783665.1#RYR#copy1	CM165702.1	15074351	15169072	-	1.0	0.8241	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_056783665.1	Albula glossodonta	Actinopteri	Albuliformes	1	RYR	5	5	0	GCA_056783665.1#RYR#copy2	CM165707.1	9655061	9737521	-	1.0	0.6623	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_056783665.1	Albula glossodonta	Actinopteri	Albuliformes	1	RYR	5	5	0	GCA_056783665.1#RYR#copy3	CM165710.1	20434967	20561644	+	1.0	0.6843	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_056783665.1	Albula glossodonta	Actinopteri	Albuliformes	1	RYR	5	5	0	GCA_056783665.1#RYR#copy4	CM165711.1	25887648	25982097	+	1.0	0.8273	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_056783665.1	Albula glossodonta	Actinopteri	Albuliformes	1	RYR	5	5	0	GCA_056783665.1#RYR#copy5	CM165716.1	14603931	14761160	+	1.0	0.9215	intact	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	
GCA_056824565.1	Stylephorus chordatus	Actinopteri	Stylephoriformes	1	ITPR1	2	2	0	GCA_056824565.1#ITPR1#copy1	CM166136.1	39889510	39963978	-	1.0	0.9414	intact	A0A672IUQ7|ITPR1|Salarias_fasciatus	
GCA_056824565.1	Stylephorus chordatus	Actinopteri	Stylephoriformes	1	ITPR1	2	2	0	GCA_056824565.1#ITPR1#copy2	CM166138.1	35964501	36118594	+	1.0	0.8532	intact	A0A672IUQ7|ITPR1|Salarias_fasciatus	
GCA_056824565.1	Stylephorus chordatus	Actinopteri	Stylephoriformes	1	RYR	6	6	0	GCA_056824565.1#RYR#copy1	CM166131.1	78705395	78804616	+	1.0	0.8063	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_056824565.1	Stylephorus chordatus	Actinopteri	Stylephoriformes	1	RYR	6	6	0	GCA_056824565.1#RYR#copy2	CM166133.1	12487023	12648406	+	1.0	0.8768	intact	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	
GCA_056824565.1	Stylephorus chordatus	Actinopteri	Stylephoriformes	1	RYR	6	6	0	GCA_056824565.1#RYR#copy3	CM166135.1	37789648	38048474	+	1.0	0.6748	intact	Q92736|RYR2|Homo_sapiens|RYR2	
GCA_056824565.1	Stylephorus chordatus	Actinopteri	Stylephoriformes	1	RYR	6	6	0	GCA_056824565.1#RYR#copy4	CM166141.1	32751417	32871095	-	1.0	0.791	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_056824565.1	Stylephorus chordatus	Actinopteri	Stylephoriformes	1	RYR	6	6	0	GCA_056824565.1#RYR#copy5	CM166142.1	25721839	25877006	-	1.0	0.6561	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_056824565.1	Stylephorus chordatus	Actinopteri	Stylephoriformes	1	RYR	6	6	0	GCA_056824565.1#RYR#copy6	CM166145.1	12926013	13015058	+	1.0	0.5431	intact	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal	
GCA_056824585.1	Alepocephalus tenebrosus	Actinopteri	Alepocephaliformes	1	ITPR1	2	1	1	GCA_056824585.1#ITPR1#copy1	CM166150.1	93547823	93710481	-	1.0	0.8798	intact	A0A672IUQ7|ITPR1|Salarias_fasciatus	
GCA_056824585.1	Alepocephalus tenebrosus	Actinopteri	Alepocephaliformes	1	ITPR1	2	1	1	GCA_056824585.1#ITPR1#copy2	CM166150.1	147739711	147854081	-	1.0	0.8932	intact	A0A8M2BDG0|itpr1a|Danio_rerio|ITPR1	
GCA_056824585.1	Alepocephalus tenebrosus	Actinopteri	Alepocephaliformes	1	RYR	6	5	1	GCA_056824585.1#RYR#copy1	CM166148.1	143350111	143516579	+	1.0	0.7964	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_056824585.1	Alepocephalus tenebrosus	Actinopteri	Alepocephaliformes	1	RYR	6	5	1	GCA_056824585.1#RYR#copy2	CM166149.1	90506257	90678997	+	1.0	0.8052	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_056824585.1	Alepocephalus tenebrosus	Actinopteri	Alepocephaliformes	1	RYR	6	5	1	GCA_056824585.1#RYR#copy3	CM166154.1	139913505	140050212	-	1.0	0.5424	intact	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal	
GCA_056824585.1	Alepocephalus tenebrosus	Actinopteri	Alepocephaliformes	1	RYR	6	5	1	GCA_056824585.1#RYR#copy4	CM166157.1	29235942	29429652	+	0.9976	0.921	intact	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	
GCA_056824585.1	Alepocephalus tenebrosus	Actinopteri	Alepocephaliformes	1	RYR	6	5	1	GCA_056824585.1#RYR#copy5	CM166157.1	89789667	90089310	+	1.0	0.6712	intact	A0A3Q0HBW9|RYR|Alligator_sinensis	
GCA_056824585.1	Alepocephalus tenebrosus	Actinopteri	Alepocephaliformes	1	RYR	6	5	1	GCA_056824585.1#RYR#copy6	CM166159.1	20698555	20909979	+	0.9972	0.654	intact	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal	
GCA_057876775.1	Echinorhinus cookei	Chondrichthyes	Echinorhiniformes	1	RYR	3	3	0	GCA_057876775.1#RYR#copy1	CM174625.1	143509390	144013017	+	1.0	0.6662	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_057876775.1	Echinorhinus cookei	Chondrichthyes	Echinorhiniformes	1	RYR	3	3	0	GCA_057876775.1#RYR#copy2	CM174631.1	61156354	62165981	+	0.9962	0.8767	intact	A0A3Q0HBW9|RYR|Alligator_sinensis	
GCA_057876775.1	Echinorhinus cookei	Chondrichthyes	Echinorhiniformes	1	RYR	3	3	0	GCA_057876775.1#RYR#copy3	CM174666.1	13903892	14396965	+	1.0	0.8899	intact	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal	
GCA_058224745.1	Acrocephalus arundinaceus	Aves	Passeriformes	1	RYR	3	3	0	GCA_058224745.1#RYR#copy1	JAWJJZ010000001.1	30713728	30908403	+	1.0	0.6777	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_058224745.1	Acrocephalus arundinaceus	Aves	Passeriformes	1	RYR	3	3	0	GCA_058224745.1#RYR#copy2	JAWJJZ010000003.1	19565677	19952171	+	1.0	0.9783	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_058224745.1	Acrocephalus arundinaceus	Aves	Passeriformes	1	RYR	3	3	0	GCA_058224745.1#RYR#copy3	JAWJJZ010000179.1	127	216889	-	0.9115	0.7461	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_058707665.1	Platax teira	Actinopteri	Ephippiformes	1	ITPR1	2	1	1	GCA_058707665.1#ITPR1#copy1	CM178913.1	20118134	20188697	-	1.0	0.9612	intact	A0A672IUQ7|ITPR1|Salarias_fasciatus	
GCA_058707665.1	Platax teira	Actinopteri	Ephippiformes	1	ITPR1	2	1	1	GCA_058707665.1#ITPR1#copy2	CM178913.1	27540502	27625783	-	1.0	0.8697	intact	A0A672IUQ7|ITPR1|Salarias_fasciatus	
GCA_058707665.1	Platax teira	Actinopteri	Ephippiformes	1	RYR	6	6	0	GCA_058707665.1#RYR#copy1	CM178916.1	4997647	5065564	-	1.0	0.8073	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_058707665.1	Platax teira	Actinopteri	Ephippiformes	1	RYR	6	6	0	GCA_058707665.1#RYR#copy2	CM178923.1	17364450	17413701	+	1.0	0.7991	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_058707665.1	Platax teira	Actinopteri	Ephippiformes	1	RYR	6	6	0	GCA_058707665.1#RYR#copy3	CM178924.1	18524910	18587196	-	1.0	0.5728	intact	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal	
GCA_058707665.1	Platax teira	Actinopteri	Ephippiformes	1	RYR	6	6	0	GCA_058707665.1#RYR#copy4	CM178926.1	17118154	17221874	-	1.0	0.6771	intact	Q92736|RYR2|Homo_sapiens|RYR2	
GCA_058707665.1	Platax teira	Actinopteri	Ephippiformes	1	RYR	6	6	0	GCA_058707665.1#RYR#copy5	CM178928.1	7103477	7216601	+	1.0	0.6664	intact	Q92736|RYR2|Homo_sapiens|RYR2	
GCA_058707665.1	Platax teira	Actinopteri	Ephippiformes	1	RYR	6	6	0	GCA_058707665.1#RYR#copy6	CM178931.1	1981698	2156348	+	1.0	0.8834	intact	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	
GCA_965364685.1	Capros aper	Actinopteri	Caproiformes	1	ITPR1	2	1	1	GCA_965364685.1#ITPR1#copy1	OZ263291.1	9395629	9474482	+	1.0	0.8547	intact	A0A672IUQ7|ITPR1|Salarias_fasciatus	
GCA_965364685.1	Capros aper	Actinopteri	Caproiformes	1	ITPR1	2	1	1	GCA_965364685.1#ITPR1#copy2	OZ263291.1	16334443	16404305	+	1.0	0.9556	intact	A0A672IUQ7|ITPR1|Salarias_fasciatus	
GCA_965364685.1	Capros aper	Actinopteri	Caproiformes	1	RYR	6	6	0	GCA_965364685.1#RYR#copy1	OZ263286.1	9376764	9423007	+	1.0	0.7951	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_965364685.1	Capros aper	Actinopteri	Caproiformes	1	RYR	6	6	0	GCA_965364685.1#RYR#copy2	OZ263287.1	38164448	38224325	-	1.0	0.8077	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_965364685.1	Capros aper	Actinopteri	Caproiformes	1	RYR	6	6	0	GCA_965364685.1#RYR#copy3	OZ263288.1	13820862	13921240	-	1.0	0.6752	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_965364685.1	Capros aper	Actinopteri	Caproiformes	1	RYR	6	6	0	GCA_965364685.1#RYR#copy4	OZ263289.1	18878194	19040025	-	1.0	0.8782	intact	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	
GCA_965364685.1	Capros aper	Actinopteri	Caproiformes	1	RYR	6	6	0	GCA_965364685.1#RYR#copy5	OZ263290.1	26453444	26511829	+	1.0	0.5611	intact	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal	
GCA_965364685.1	Capros aper	Actinopteri	Caproiformes	1	RYR	6	6	0	GCA_965364685.1#RYR#copy6	OZ263302.1	6602252	6717431	+	1.0	0.6462	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_980438365.1	Acanthurus tractus	Actinopteri	Acanthuriformes	1	ITPR1	2	1	1	GCA_980438365.1#ITPR1#copy1	OZ413072.1	36864154	36945999	-	1.0	0.8694	intact	A0A672IUQ7|ITPR1|Salarias_fasciatus	
GCA_980438365.1	Acanthurus tractus	Actinopteri	Acanthuriformes	1	ITPR1	2	1	1	GCA_980438365.1#ITPR1#copy2	OZ413072.1	45109048	45185631	+	1.0	0.9618	intact	A0A672IUQ7|ITPR1|Salarias_fasciatus	
GCA_980438365.1	Acanthurus tractus	Actinopteri	Acanthuriformes	1	RYR	6	6	0	GCA_980438365.1#RYR#copy1	OZ413076.1	36972380	37018717	-	1.0	0.8035	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_980438365.1	Acanthurus tractus	Actinopteri	Acanthuriformes	1	RYR	6	6	0	GCA_980438365.1#RYR#copy2	OZ413077.1	21886791	22196624	+	1.0	0.8672	intact	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	
GCA_980438365.1	Acanthurus tractus	Actinopteri	Acanthuriformes	1	RYR	6	6	0	GCA_980438365.1#RYR#copy3	OZ413078.1	7440340	7541879	-	1.0	0.6685	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_980438365.1	Acanthurus tractus	Actinopteri	Acanthuriformes	1	RYR	6	6	0	GCA_980438365.1#RYR#copy4	OZ413079.1	15278888	15382968	-	1.0	0.6794	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	
GCA_980438365.1	Acanthurus tractus	Actinopteri	Acanthuriformes	1	RYR	6	6	0	GCA_980438365.1#RYR#copy5	OZ413081.1	25753539	25826939	+	1.0	0.8164	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_980438365.1	Acanthurus tractus	Actinopteri	Acanthuriformes	1	RYR	6	6	0	GCA_980438365.1#RYR#copy6	OZ413085.1	8499679	8556759	+	1.0	0.5626	intact	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal	
GCA_984656905.1	Parequula melbournensis	Actinopteri	Gerreiformes	1	ITPR1	2	1	1	GCA_984656905.1#ITPR1#copy1	OZ479485.1	15934113	15995040	-	1.0	0.9601	intact	A0A672IUQ7|ITPR1|Salarias_fasciatus	
GCA_984656905.1	Parequula melbournensis	Actinopteri	Gerreiformes	1	ITPR1	2	1	1	GCA_984656905.1#ITPR1#copy2	OZ479485.1	23075062	23148497	-	1.0	0.8576	intact	A0A672IUQ7|ITPR1|Salarias_fasciatus	
GCA_984656905.1	Parequula melbournensis	Actinopteri	Gerreiformes	1	RYR	6	6	0	GCA_984656905.1#RYR#copy1	OZ479481.1	11826399	11870480	-	1.0	0.7959	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_984656905.1	Parequula melbournensis	Actinopteri	Gerreiformes	1	RYR	6	6	0	GCA_984656905.1#RYR#copy2	OZ479489.1	2765140	2816808	-	1.0	0.8089	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_984656905.1	Parequula melbournensis	Actinopteri	Gerreiformes	1	RYR	6	6	0	GCA_984656905.1#RYR#copy3	OZ479492.1	7299752	7355312	+	1.0	0.5697	intact	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal	
GCA_984656905.1	Parequula melbournensis	Actinopteri	Gerreiformes	1	RYR	6	6	0	GCA_984656905.1#RYR#copy4	OZ479495.1	9670979	9768470	+	1.0	0.6705	intact	Q92736|RYR2|Homo_sapiens|RYR2	
GCA_984656905.1	Parequula melbournensis	Actinopteri	Gerreiformes	1	RYR	6	6	0	GCA_984656905.1#RYR#copy5	OZ479500.1	1609185	1711963	+	1.0	0.6608	intact	Q92736|RYR2|Homo_sapiens|RYR2	
GCA_984656905.1	Parequula melbournensis	Actinopteri	Gerreiformes	1	RYR	6	6	0	GCA_984656905.1#RYR#copy6	OZ479502.1	17708267	17781384	-	1.0	0.8728	intact	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	
GCA_987193245.1	Pontoporia blainvillei	Mammalia	Artiodactyla	1	RYR	3	3	0	GCA_987193245.1#RYR#copy1	OZ497758.1	86808742	87397352	-	0.9968	0.6697	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCA_987193245.1	Pontoporia blainvillei	Mammalia	Artiodactyla	1	RYR	3	3	0	GCA_987193245.1#RYR#copy2	OZ497768.1	9106222	9836785	-	1.0	0.973	intact	Q92736|RYR2|Homo_sapiens|RYR2	
GCA_987193245.1	Pontoporia blainvillei	Mammalia	Artiodactyla	1	RYR	3	3	0	GCA_987193245.1#RYR#copy3	OZ497775.1	49484002	49599710	+	1.0	0.7877	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	
GCF_000001405.40	Homo sapiens	Mammalia	Primates	1	RYR	3	3	0	GCF_000001405.40#RYR#copy1	NC_000001.11	237042522	237832647	+	1.0	0.9994	intact	Q92736|RYR2|Homo_sapiens|RYR2	RYR2
GCF_000001405.40	Homo sapiens	Mammalia	Primates	1	RYR	3	3	0	GCF_000001405.40#RYR#copy2	NC_000015.10	33311046	33865226	+	1.0	0.6738	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR3
GCF_000001405.40	Homo sapiens	Mammalia	Primates	1	RYR	3	3	0	GCF_000001405.40#RYR#copy3	NC_000019.10	38433827	38587420	+	1.0	0.7873	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1
GCF_000001635.27	Mus musculus	Mammalia	Rodentia	1	RYR	3	3	0	GCF_000001635.27#RYR#copy1	NC_000068.8	112462468	113047335	-	0.9976	0.6715	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	Ryr3
GCF_000001635.27	Mus musculus	Mammalia	Rodentia	1	RYR	3	3	0	GCF_000001635.27#RYR#copy2	NC_000073.7	28702883	28825926	-	0.9994	0.792	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	Ryr1
GCF_000001635.27	Mus musculus	Mammalia	Rodentia	1	RYR	3	3	0	GCF_000001635.27#RYR#copy3	NC_000079.7	11569402	12121332	-	1.0	0.9726	intact	Q92736|RYR2|Homo_sapiens|RYR2	Ryr2
GCF_000004195.4	Xenopus tropicalis	Amphibia	Anura	1	RYR	2	1	1	GCF_000004195.4#RYR#copy1	NC_030684.2	80282968	80394579	+	1.0	0.999	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	ryr1
GCF_000004195.4	Xenopus tropicalis	Amphibia	Anura	1	RYR	2	1	1	GCF_000004195.4#RYR#copy2	NC_030684.2	110182588	110425389	-	1.0	0.6917	intact	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	ryr3
GCF_000243295.1	Trichechus manatus latirostris	Mammalia	Sirenia	0	RYR	3	3	0	GCF_000243295.1#RYR#copy1	NW_004443957.1	937027	1682636	-	1.0	0.9674	intact	Q92736|RYR2|Homo_sapiens|RYR2	RYR2
GCF_000243295.1	Trichechus manatus latirostris	Mammalia	Sirenia	0	RYR	3	3	0	GCF_000243295.1#RYR#copy2	NW_004444012.1	768827	1406582	-	0.9972	0.6769	intact	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal	RYR3
GCF_000243295.1	Trichechus manatus latirostris	Mammalia	Sirenia	0	RYR	3	3	0	GCF_000243295.1#RYR#copy3	NW_004444143.1	2928420	3060175	+	1.0	0.7756	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR1
GCF_000298275.1	Orycteropus afer afer	Mammalia	Tubulidentata	0	RYR	3	3	0	GCF_000298275.1#RYR#copy1	NW_006921655.1	10958714	11770331	+	1.0	0.6735	intact	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	RYR3
