gene_a	gene_b	symbol_a	symbol_b	duplication_level
ENSG00000115474	ENSG00000187486	KCNJ13	KCNJ11	Bilateria
ENSG00000115474	ENSG00000120457	KCNJ13	KCNJ5	Bilateria
ENSG00000115474	ENSG00000157542	KCNJ13	KCNJ6	Bilateria
ENSG00000115474	ENSG00000157551	KCNJ13	KCNJ15	Vertebrata
ENSG00000115474	ENSG00000151704	KCNJ13	KCNJ1	Vertebrata
ENSG00000115488	ENSG00000162139	NEU2	NEU3	Vertebrata
ENSG00000168918	ENSG00000198825	INPP5D	INPP5F	Opisthokonta
ENSG00000085978	ENSG00000168010	ATG16L1	ATG16L2	Vertebrata
ENSG00000130561	ENSG00000137486	SAG	ARRB1	Vertebrata
ENSG00000065357	ENSG00000077044	DGKA	DGKD	Bilateria
ENSG00000085982	ENSG00000184979	USP40	USP18	Opisthokonta
ENSG00000085982	ENSG00000114316	USP40	USP4	Opisthokonta
ENSG00000085982	ENSG00000156256	USP40	USP16	Opisthokonta
ENSG00000085982	ENSG00000170832	USP40	USP32	Opisthokonta
ENSG00000085982	ENSG00000102226	USP40	USP11	Opisthokonta
ENSG00000085982	ENSG00000172046	USP40	USP19	Opisthokonta
ENSG00000085982	ENSG00000164663	USP40	USP49	Opisthokonta
ENSG00000085982	ENSG00000155313	USP40	USP25	Opisthokonta
ENSG00000174607	ENSG00000242366	UGT8	UGT1A8	Bilateria
ENSG00000174607	ENSG00000242515	UGT8	UGT1A10	Bilateria
ENSG00000174607	ENSG00000241119	UGT8	UGT1A9	Bilateria
ENSG00000174607	ENSG00000244122	UGT8	UGT1A7	Bilateria
ENSG00000167165	ENSG00000174607	UGT1A6	UGT8	Bilateria
ENSG00000174607	ENSG00000288705	UGT8	UGT1A5	Bilateria
ENSG00000174607	ENSG00000244474	UGT8	UGT1A4	Bilateria
ENSG00000174607	ENSG00000288702	UGT8	UGT1A3	Bilateria
ENSG00000174607	ENSG00000241635	UGT8	UGT1A1	Bilateria
ENSG00000134160	ENSG00000144481	TRPM1	TRPM8	Bilateria
ENSG00000101246	ENSG00000188042	ARFRP1	ARL4C	Opisthokonta
ENSG00000079332	ENSG00000188042	SAR1A	ARL4C	Opisthokonta
ENSG00000168374	ENSG00000188042	ARF4	ARL4C	Opisthokonta
ENSG00000165527	ENSG00000188042	ARF6	ARL4C	Opisthokonta
ENSG00000134108	ENSG00000188042	ARL8B	ARL4C	Opisthokonta
ENSG00000101199	ENSG00000157985	ARFGAP1	AGAP1	Opisthokonta
ENSG00000157985	ENSG00000186635	AGAP1	ARAP1	Opisthokonta
ENSG00000157985	ENSG00000242247	AGAP1	ARFGAP3	Opisthokonta
ENSG00000157500	ENSG00000157985	APPL1	AGAP1	Opisthokonta
ENSG00000112305	ENSG00000157985	SMAP1	AGAP1	Opisthokonta
ENSG00000182177	ENSG00000239388	ASB18	ASB14	Opisthokonta
ENSG00000144476	ENSG00000184451	ACKR3	CCR10	Bilateria
ENSG00000075785	ENSG00000124839	RAB7A	RAB17	Opisthokonta
ENSG00000124839	ENSG00000167964	RAB17	RAB26	Opisthokonta
ENSG00000124839	ENSG00000139998	RAB17	RAB15	Opisthokonta
ENSG00000100228	ENSG00000124839	RAB36	RAB17	Opisthokonta
ENSG00000124209	ENSG00000124839	RAB22A	RAB17	Opisthokonta
ENSG00000124839	ENSG00000172780	RAB17	RAB43	Opisthokonta
ENSG00000124839	ENSG00000167578	RAB17	RAB4B	Opisthokonta
ENSG00000124839	ENSG00000206418	RAB17	RAB12	Opisthokonta
ENSG00000184182	ENSG00000186591	UBE2F	UBE2H	Opisthokonta
ENSG00000177889	ENSG00000184182	UBE2N	UBE2F	Opisthokonta
ENSG00000184182	ENSG00000240849	UBE2F	PEDS1	Opisthokonta
ENSG00000163376	ENSG00000168427	KBTBD8	KLHL30	Bilateria
ENSG00000168427	ENSG00000185909	KLHL30	KLHDC8B	Bilateria
ENSG00000003096	ENSG00000168427	KLHL13	KLHL30	Bilateria
ENSG00000087448	ENSG00000168427	KLHL42	KLHL30	Bilateria
ENSG00000168427	ENSG00000179454	KLHL30	KLHL28	Bilateria
ENSG00000100614	ENSG00000132323	PPM1A	ILKAP	Opisthokonta
ENSG00000132323	ENSG00000175175	ILKAP	PPM1E	Opisthokonta
ENSG00000132323	ENSG00000172840	ILKAP	PDP2	Opisthokonta
ENSG00000132323	ENSG00000170836	ILKAP	PPM1D	Opisthokonta
ENSG00000123095	ENSG00000144485	BHLHE41	HES6	Opisthokonta
ENSG00000135547	ENSG00000144485	HEY2	HES6	Opisthokonta
ENSG00000134107	ENSG00000144485	BHLHE40	HES6	Opisthokonta
ENSG00000125878	ENSG00000233608	TCF15	TWIST2	Bilateria
ENSG00000205899	ENSG00000233608	BHLHA9	TWIST2	Bilateria
ENSG00000068024	ENSG00000094631	HDAC4	HDAC6	Opisthokonta
ENSG00000068024	ENSG00000163517	HDAC4	HDAC11	Opisthokonta
ENSG00000188542	ENSG00000198252	DUSP28	STYX	Opisthokonta
ENSG00000188542	ENSG00000276023	DUSP28	DUSP14	Opisthokonta
ENSG00000127952	ENSG00000188542	STYXL1	DUSP28	Opisthokonta
ENSG00000164086	ENSG00000188542	DUSP7	DUSP28	Opisthokonta
ENSG00000142327	ENSG00000166825	RNPEPL1	ANPEP	Opisthokonta
ENSG00000138792	ENSG00000142327	ENPEP	RNPEPL1	Opisthokonta
ENSG00000142327	ENSG00000148120	RNPEPL1	AOPEP	Opisthokonta
ENSG00000142327	ENSG00000172901	RNPEPL1	LVRN	Opisthokonta
ENSG00000142327	ENSG00000164307	RNPEPL1	ERAP1	Opisthokonta
ENSG00000141279	ENSG00000142327	NPEPPS	RNPEPL1	Opisthokonta
ENSG00000142327	ENSG00000164308	RNPEPL1	ERAP2	Opisthokonta
ENSG00000111144	ENSG00000142327	LTA4H	RNPEPL1	Opisthokonta
ENSG00000072657	ENSG00000142327	TRHDE	RNPEPL1	Opisthokonta
ENSG00000113441	ENSG00000142327	LNPEP	RNPEPL1	Opisthokonta
ENSG00000142330	ENSG00000249915	CAPN10	PDCD6	Bilateria
ENSG00000126247	ENSG00000142330	CAPNS1	CAPN10	Bilateria
ENSG00000092529	ENSG00000142330	CAPN3	CAPN10	Bilateria
ENSG00000142330	ENSG00000182472	CAPN10	CAPN12	Bilateria
ENSG00000137225	ENSG00000142330	CAPN11	CAPN10	Bilateria
ENSG00000177464	ENSG00000178623	GPR4	GPR35	Bilateria
ENSG00000178301	ENSG00000185176	AQP11	AQP12B	Vertebrata
ENSG00000178301	ENSG00000184945	AQP11	AQP12A	Vertebrata
ENSG00000130294	ENSG00000237649	KIF1A	KIFC1	Opisthokonta
ENSG00000125337	ENSG00000130294	KIF25	KIF1A	Opisthokonta
ENSG00000066735	ENSG00000130294	KIF26A	KIF1A	Opisthokonta
ENSG00000130294	ENSG00000138160	KIF1A	KIF11	Opisthokonta
ENSG00000101350	ENSG00000130294	KIF3B	KIF1A	Opisthokonta
ENSG00000130294	ENSG00000164627	KIF1A	KIF6	Opisthokonta
ENSG00000112984	ENSG00000130294	KIF20A	KIF1A	Opisthokonta
ENSG00000172478	ENSG00000180660	MAB21L4	MAB21L1	Bilateria
ENSG00000115685	ENSG00000134343	PPP1R7	ANO3	Bilateria
ENSG00000115685	ENSG00000177119	PPP1R7	ANO6	Bilateria
ENSG00000134343	ENSG00000146205	ANO3	ANO7	Bilateria
ENSG00000146205	ENSG00000177119	ANO7	ANO6	Bilateria
ENSG00000115677	ENSG00000122870	HDLBP	BICC1	Opisthokonta
ENSG00000006607	ENSG00000102302	FARP2	FGD1	Opisthokonta
ENSG00000006607	ENSG00000180263	FARP2	FGD6	Opisthokonta
ENSG00000115694	ENSG00000137843	STK25	PAK6	Opisthokonta
ENSG00000115694	ENSG00000130669	STK25	PAK4	Opisthokonta
ENSG00000012983	ENSG00000115694	MAP4K5	STK25	Opisthokonta
ENSG00000115694	ENSG00000141503	STK25	MINK1	Opisthokonta
ENSG00000104814	ENSG00000115694	MAP4K1	STK25	Opisthokonta
ENSG00000107968	ENSG00000115694	MAP3K8	STK25	Opisthokonta
ENSG00000115694	ENSG00000149269	STK25	PAK1	Opisthokonta
ENSG00000108984	ENSG00000115694	MAP2K6	STK25	Opisthokonta
ENSG00000030110	ENSG00000176720	BAK1	BOK	Chordata
ENSG00000171552	ENSG00000176720	BCL2L1	BOK	Bilateria
ENSG00000162139	ENSG00000204099	NEU3	NEU4	Vertebrata
ENSG00000134121	ENSG00000198910	CHL1	L1CAM	Bilateria
ENSG00000134121	ENSG00000139304	CHL1	PTPRQ	Bilateria
ENSG00000134121	ENSG00000144857	CHL1	BOC	Bilateria
ENSG00000103742	ENSG00000134121	IGDCC4	CHL1	Bilateria
ENSG00000134121	ENSG00000152580	CHL1	IGSF10	Bilateria
ENSG00000134121	ENSG00000146555	CHL1	SDK1	Bilateria
ENSG00000134121	ENSG00000177103	CHL1	DSCAML1	Bilateria
ENSG00000101825	ENSG00000134121	MXRA5	CHL1	Bilateria
ENSG00000113805	ENSG00000134121	CNTN3	CHL1	Bilateria
ENSG00000134121	ENSG00000171587	CHL1	DSCAM	Bilateria
ENSG00000134121	ENSG00000166450	CHL1	PRTG	Bilateria
ENSG00000134121	ENSG00000148357	CHL1	HMCN2	Bilateria
ENSG00000134121	ENSG00000154654	CHL1	NCAM2	Bilateria
ENSG00000134121	ENSG00000149972	CHL1	CNTN5	Bilateria
ENSG00000134121	ENSG00000186806	CHL1	VSIG10L	Bilateria
ENSG00000134121	ENSG00000176834	CHL1	VSIG10	Bilateria
ENSG00000091129	ENSG00000134121	NRCAM	CHL1	Bilateria
ENSG00000134121	ENSG00000187323	CHL1	DCC	Bilateria
ENSG00000069188	ENSG00000134121	SDK2	CHL1	Bilateria
ENSG00000134121	ENSG00000169855	CHL1	ROBO1	Bilateria
ENSG00000067141	ENSG00000134121	NEO1	CHL1	Bilateria
ENSG00000134115	ENSG00000134121	CNTN6	CHL1	Bilateria
ENSG00000134121	ENSG00000149294	CHL1	NCAM1	Bilateria
ENSG00000134121	ENSG00000144619	CHL1	CNTN4	Bilateria
ENSG00000134121	ENSG00000154134	CHL1	ROBO3	Bilateria
ENSG00000080854	ENSG00000134121	IGSF9B	CHL1	Bilateria
ENSG00000064309	ENSG00000134121	CDON	CHL1	Bilateria
ENSG00000134121	ENSG00000154133	CHL1	ROBO4	Bilateria
ENSG00000018236	ENSG00000134121	CNTN1	CHL1	Bilateria
ENSG00000134121	ENSG00000185008	CHL1	ROBO2	Bilateria
ENSG00000134121	ENSG00000174498	CHL1	IGDCC3	Bilateria
ENSG00000134115	ENSG00000198910	CNTN6	L1CAM	Bilateria
ENSG00000134115	ENSG00000139304	CNTN6	PTPRQ	Bilateria
ENSG00000134115	ENSG00000144857	CNTN6	BOC	Bilateria
ENSG00000103742	ENSG00000134115	IGDCC4	CNTN6	Bilateria
ENSG00000134115	ENSG00000152580	CNTN6	IGSF10	Bilateria
ENSG00000134115	ENSG00000146555	CNTN6	SDK1	Bilateria
ENSG00000134115	ENSG00000177103	CNTN6	DSCAML1	Bilateria
ENSG00000101825	ENSG00000134115	MXRA5	CNTN6	Bilateria
ENSG00000113805	ENSG00000134115	CNTN3	CNTN6	Bilateria
ENSG00000134115	ENSG00000171587	CNTN6	DSCAM	Bilateria
ENSG00000134115	ENSG00000166450	CNTN6	PRTG	Bilateria
ENSG00000134115	ENSG00000148357	CNTN6	HMCN2	Bilateria
ENSG00000134115	ENSG00000154654	CNTN6	NCAM2	Bilateria
ENSG00000134115	ENSG00000149972	CNTN6	CNTN5	Bilateria
ENSG00000134115	ENSG00000186806	CNTN6	VSIG10L	Bilateria
ENSG00000134115	ENSG00000176834	CNTN6	VSIG10	Bilateria
ENSG00000091129	ENSG00000134115	NRCAM	CNTN6	Bilateria
ENSG00000134115	ENSG00000187323	CNTN6	DCC	Bilateria
ENSG00000069188	ENSG00000134115	SDK2	CNTN6	Bilateria
ENSG00000134115	ENSG00000169855	CNTN6	ROBO1	Bilateria
ENSG00000067141	ENSG00000134115	NEO1	CNTN6	Bilateria
ENSG00000134115	ENSG00000149294	CNTN6	NCAM1	Bilateria
ENSG00000134115	ENSG00000144619	CNTN6	CNTN4	Bilateria
ENSG00000134115	ENSG00000154134	CNTN6	ROBO3	Bilateria
ENSG00000080854	ENSG00000134115	IGSF9B	CNTN6	Bilateria
ENSG00000064309	ENSG00000134115	CDON	CNTN6	Bilateria
ENSG00000134115	ENSG00000154133	CNTN6	ROBO4	Bilateria
ENSG00000018236	ENSG00000134115	CNTN1	CNTN6	Bilateria
ENSG00000134115	ENSG00000185008	CNTN6	ROBO2	Bilateria
ENSG00000134115	ENSG00000174498	CNTN6	IGDCC3	Bilateria
ENSG00000144619	ENSG00000198910	CNTN4	L1CAM	Bilateria
ENSG00000139304	ENSG00000144619	PTPRQ	CNTN4	Bilateria
ENSG00000144619	ENSG00000144857	CNTN4	BOC	Bilateria
ENSG00000103742	ENSG00000144619	IGDCC4	CNTN4	Bilateria
ENSG00000144619	ENSG00000152580	CNTN4	IGSF10	Bilateria
ENSG00000144619	ENSG00000146555	CNTN4	SDK1	Bilateria
ENSG00000144619	ENSG00000177103	CNTN4	DSCAML1	Bilateria
ENSG00000101825	ENSG00000144619	MXRA5	CNTN4	Bilateria
ENSG00000113805	ENSG00000144619	CNTN3	CNTN4	Bilateria
ENSG00000144619	ENSG00000171587	CNTN4	DSCAM	Bilateria
ENSG00000144619	ENSG00000166450	CNTN4	PRTG	Bilateria
ENSG00000144619	ENSG00000148357	CNTN4	HMCN2	Bilateria
ENSG00000144619	ENSG00000154654	CNTN4	NCAM2	Bilateria
ENSG00000144619	ENSG00000149972	CNTN4	CNTN5	Bilateria
ENSG00000144619	ENSG00000186806	CNTN4	VSIG10L	Bilateria
ENSG00000144619	ENSG00000176834	CNTN4	VSIG10	Bilateria
ENSG00000091129	ENSG00000144619	NRCAM	CNTN4	Bilateria
ENSG00000144619	ENSG00000187323	CNTN4	DCC	Bilateria
ENSG00000069188	ENSG00000144619	SDK2	CNTN4	Bilateria
ENSG00000144619	ENSG00000169855	CNTN4	ROBO1	Bilateria
ENSG00000067141	ENSG00000144619	NEO1	CNTN4	Bilateria
ENSG00000144619	ENSG00000149294	CNTN4	NCAM1	Bilateria
ENSG00000144619	ENSG00000154134	CNTN4	ROBO3	Bilateria
ENSG00000080854	ENSG00000144619	IGSF9B	CNTN4	Bilateria
ENSG00000064309	ENSG00000144619	CDON	CNTN4	Bilateria
ENSG00000144619	ENSG00000154133	CNTN4	ROBO4	Bilateria
ENSG00000018236	ENSG00000144619	CNTN1	CNTN4	Bilateria
ENSG00000144619	ENSG00000185008	CNTN4	ROBO2	Bilateria
ENSG00000144619	ENSG00000174498	CNTN4	IGDCC3	Bilateria
ENSG00000091181	ENSG00000113594	IL5RA	LIFR	Vertebrata
ENSG00000091181	ENSG00000123496	IL5RA	IL13RA2	Vertebrata
ENSG00000091181	ENSG00000096996	IL5RA	IL12RB1	Vertebrata
ENSG00000006016	ENSG00000091181	CRLF1	IL5RA	Vertebrata
ENSG00000091181	ENSG00000185291	IL5RA	IL3RA	Vertebrata
ENSG00000091181	ENSG00000198223	IL5RA	CSF2RA	Vertebrata
ENSG00000091181	ENSG00000131724	IL5RA	IL13RA1	Vertebrata
ENSG00000091181	ENSG00000164509	IL5RA	IL31RA	Vertebrata
ENSG00000091181	ENSG00000137070	IL5RA	IL11RA	Vertebrata
ENSG00000091181	ENSG00000113494	IL5RA	PRLR	Vertebrata
ENSG00000091181	ENSG00000112964	IL5RA	GHR	Vertebrata
ENSG00000091181	ENSG00000145623	IL5RA	OSMR	Vertebrata
ENSG00000091181	ENSG00000147168	IL5RA	IL2RG	Vertebrata
ENSG00000091181	ENSG00000104998	IL5RA	IL27RA	Vertebrata
ENSG00000091181	ENSG00000122756	IL5RA	CNTFR	Vertebrata
ENSG00000091181	ENSG00000205755	IL5RA	CRLF2	Vertebrata
ENSG00000091181	ENSG00000134352	IL5RA	IL6ST	Vertebrata
ENSG00000091181	ENSG00000105246	IL5RA	EBI3	Vertebrata
ENSG00000129103	ENSG00000144455	SUMF2	SUMF1	Bilateria
ENSG00000126243	ENSG00000175928	LRFN3	LRRN1	Bilateria
ENSG00000175928	ENSG00000185985	LRRN1	SLITRK2	Bilateria
ENSG00000175928	ENSG00000187122	LRRN1	SLIT1	Bilateria
ENSG00000173114	ENSG00000175928	LRRN3	LRRN1	Bilateria
ENSG00000175928	ENSG00000184564	LRRN1	SLITRK6	Bilateria
ENSG00000165379	ENSG00000175928	LRFN5	LRRN1	Bilateria
ENSG00000173621	ENSG00000175928	LRFN4	LRRN1	Bilateria
ENSG00000156564	ENSG00000175928	LRFN2	LRRN1	Bilateria
ENSG00000175928	ENSG00000239732	LRRN1	TLR9	Bilateria
ENSG00000166159	ENSG00000175928	LRTM2	LRRN1	Bilateria
ENSG00000175928	ENSG00000178732	LRRN1	GP5	Bilateria
ENSG00000175928	ENSG00000179542	LRRN1	SLITRK4	Bilateria
ENSG00000165300	ENSG00000175928	SLITRK5	LRRN1	Bilateria
ENSG00000175928	ENSG00000261594	LRRN1	TPBGL	Bilateria
ENSG00000175928	ENSG00000184347	LRRN1	SLIT3	Bilateria
ENSG00000175928	ENSG00000178235	LRRN1	SLITRK1	Bilateria
ENSG00000174482	ENSG00000175928	LINGO2	LRRN1	Bilateria
ENSG00000145147	ENSG00000175928	SLIT2	LRRN1	Bilateria
ENSG00000169783	ENSG00000175928	LINGO1	LRRN1	Bilateria
ENSG00000175928	ENSG00000183908	LRRN1	LRRC55	Bilateria
ENSG00000175928	ENSG00000186105	LRRN1	LRRC70	Bilateria
ENSG00000128011	ENSG00000175928	LRFN1	LRRN1	Bilateria
ENSG00000121871	ENSG00000175928	SLITRK3	LRRN1	Bilateria
ENSG00000170364	ENSG00000179240	SETMAR	GVQW3	Theria
ENSG00000123095	ENSG00000134107	BHLHE41	BHLHE40	Opisthokonta
ENSG00000114315	ENSG00000134107	HES1	BHLHE40	Opisthokonta
ENSG00000134107	ENSG00000135547	BHLHE40	HEY2	Opisthokonta
ENSG00000134107	ENSG00000187821	BHLHE40	HELT	Opisthokonta
ENSG00000134107	ENSG00000179111	BHLHE40	HES7	Opisthokonta
ENSG00000134107	ENSG00000164683	BHLHE40	HEY1	Opisthokonta
ENSG00000134108	ENSG00000196503	ARL8B	ARL9	Opisthokonta
ENSG00000134108	ENSG00000152700	ARL8B	SAR1B	Opisthokonta
ENSG00000004059	ENSG00000134108	ARF5	ARL8B	Opisthokonta
ENSG00000134108	ENSG00000213465	ARL8B	ARL2	Opisthokonta
ENSG00000113966	ENSG00000134108	ARL6	ARL8B	Opisthokonta
ENSG00000134108	ENSG00000228696	ARL8B	ARL17B	Opisthokonta
ENSG00000134108	ENSG00000185829	ARL8B	ARL17A	Opisthokonta
ENSG00000134108	ENSG00000134287	ARL8B	ARF3	Opisthokonta
ENSG00000134108	ENSG00000165997	ARL8B	ARL5B	Opisthokonta
ENSG00000134108	ENSG00000179674	ARL8B	ARL14	Opisthokonta
ENSG00000134108	ENSG00000214087	ARL8B	ARL16	Opisthokonta
ENSG00000122644	ENSG00000134108	ARL4A	ARL8B	Opisthokonta
ENSG00000134108	ENSG00000185305	ARL8B	ARL15	Opisthokonta
ENSG00000134108	ENSG00000169379	ARL8B	ARL13B	Opisthokonta
ENSG00000134108	ENSG00000152213	ARL8B	ARL11	Opisthokonta
ENSG00000134108	ENSG00000174225	ARL8B	ARL13A	Opisthokonta
ENSG00000101246	ENSG00000134108	ARFRP1	ARL8B	Opisthokonta
ENSG00000079332	ENSG00000134108	SAR1A	ARL8B	Opisthokonta
ENSG00000134108	ENSG00000168374	ARL8B	ARF4	Opisthokonta
ENSG00000134108	ENSG00000165527	ARL8B	ARF6	Opisthokonta
ENSG00000134108	ENSG00000175414	ARL8B	ARL10	Opisthokonta
ENSG00000113595	ENSG00000134108	TRIM23	ARL8B	Opisthokonta
ENSG00000134108	ENSG00000175906	ARL8B	ARL4D	Opisthokonta
ENSG00000134108	ENSG00000138175	ARL8B	ARL3	Opisthokonta
ENSG00000120805	ENSG00000134108	ARL1	ARL8B	Opisthokonta
ENSG00000134108	ENSG00000141748	ARL8B	ARL5C	Opisthokonta
ENSG00000111885	ENSG00000134109	MAN1A1	EDEM1	Opisthokonta
ENSG00000088298	ENSG00000134109	EDEM2	EDEM1	Opisthokonta
ENSG00000134109	ENSG00000177239	EDEM1	MAN1B1	Opisthokonta
ENSG00000168959	ENSG00000196277	GRM5	GRM7	Bilateria
ENSG00000196277	ENSG00000198822	GRM7	GRM3	Bilateria
ENSG00000152822	ENSG00000196277	GRM1	GRM7	Bilateria
ENSG00000164082	ENSG00000196277	GRM2	GRM7	Bilateria
ENSG00000113262	ENSG00000196277	GRM6	GRM7	Vertebrata
ENSG00000124493	ENSG00000196277	GRM4	GRM7	Vertebrata
ENSG00000179603	ENSG00000196277	GRM8	GRM7	Vertebrata
ENSG00000071282	ENSG00000135269	LMCD1	TES	Bilateria
ENSG00000071282	ENSG00000136490	LMCD1	LIMD2	Bilateria
ENSG00000071282	ENSG00000139174	LMCD1	PRICKLE1	Bilateria
ENSG00000105974	ENSG00000182533	CAV1	CAV3	Vertebrata
ENSG00000105971	ENSG00000182533	CAV2	CAV3	Chordata
ENSG00000180914	ENSG00000186188	OXTR	FFAR4	Bilateria
ENSG00000110148	ENSG00000180914	CCKBR	OXTR	Bilateria
ENSG00000163394	ENSG00000180914	CCKAR	OXTR	Bilateria
ENSG00000056291	ENSG00000180914	NPFFR2	OXTR	Bilateria
ENSG00000128310	ENSG00000180914	GALR3	OXTR	Bilateria
ENSG00000137252	ENSG00000180914	HCRTR2	OXTR	Bilateria
ENSG00000148734	ENSG00000180914	NPFFR1	OXTR	Bilateria
ENSG00000166573	ENSG00000180914	GALR1	OXTR	Bilateria
ENSG00000172209	ENSG00000180914	GPR22	OXTR	Bilateria
ENSG00000109163	ENSG00000180914	GNRHR	OXTR	Bilateria
ENSG00000178015	ENSG00000180914	GPR150	OXTR	Bilateria
ENSG00000180914	ENSG00000186867	OXTR	QRFPR	Bilateria
ENSG00000166148	ENSG00000180914	AVPR1A	OXTR	Vertebrata
ENSG00000126895	ENSG00000180914	AVPR2	OXTR	Vertebrata
ENSG00000196220	ENSG00000196935	SRGAP3	SRGAP1	Vertebrata
ENSG00000089820	ENSG00000196220	ARHGAP4	SRGAP3	Chordata
ENSG00000005483	ENSG00000168137	KMT2E	SETD5	Opisthokonta
ENSG00000156959	ENSG00000187416	LHFPL4	LHFPL3	Vertebrata
ENSG00000156959	ENSG00000197753	LHFPL4	LHFPL5	Vertebrata
ENSG00000156959	ENSG00000206069	LHFPL4	LHFPL7	Bilateria
ENSG00000156959	ENSG00000182508	LHFPL4	LHFPL1	Bilateria
ENSG00000145685	ENSG00000156959	LHFPL2	LHFPL4	Bilateria
ENSG00000156959	ENSG00000183722	LHFPL4	LHFPL6	Bilateria
ENSG00000139117	ENSG00000144550	CPNE8	CPNE9	Bilateria
ENSG00000124772	ENSG00000144550	CPNE5	CPNE9	Bilateria
ENSG00000144550	ENSG00000196353	CPNE9	CPNE4	Bilateria
ENSG00000085719	ENSG00000144550	CPNE3	CPNE9	Bilateria
ENSG00000140848	ENSG00000144550	CPNE2	CPNE9	Bilateria
ENSG00000100884	ENSG00000144550	CPNE6	CPNE9	Bilateria
ENSG00000144550	ENSG00000214078	CPNE9	CPNE1	Bilateria
ENSG00000144550	ENSG00000178773	CPNE9	CPNE7	Bilateria
ENSG00000156983	ENSG00000275023	BRPF1	MLLT6	Opisthokonta
ENSG00000096070	ENSG00000156983	BRPF3	BRPF1	Opisthokonta
ENSG00000043143	ENSG00000156983	JADE2	BRPF1	Opisthokonta
ENSG00000106443	ENSG00000156983	PHF14	BRPF1	Opisthokonta
ENSG00000102221	ENSG00000156983	JADE3	BRPF1	Opisthokonta
ENSG00000078403	ENSG00000156983	MLLT10	BRPF1	Opisthokonta
ENSG00000100425	ENSG00000156983	BRD1	BRPF1	Opisthokonta
ENSG00000077684	ENSG00000156983	JADE1	BRPF1	Opisthokonta
ENSG00000134072	ENSG00000163673	CAMK1	DCLK3	Opisthokonta
ENSG00000134072	ENSG00000140795	CAMK1	MYLK3	Opisthokonta
ENSG00000134072	ENSG00000145949	CAMK1	MYLK4	Opisthokonta
ENSG00000134072	ENSG00000183049	CAMK1	CAMK1D	Opisthokonta
ENSG00000134072	ENSG00000156873	CAMK1	PHKG2	Opisthokonta
ENSG00000130413	ENSG00000134072	STK33	CAMK1	Opisthokonta
ENSG00000004660	ENSG00000134072	CAMKK1	CAMK1	Opisthokonta
ENSG00000130822	ENSG00000134072	PNCK	CAMK1	Opisthokonta
ENSG00000110931	ENSG00000134072	CAMKK2	CAMK1	Opisthokonta
ENSG00000134072	ENSG00000148660	CAMK1	CAMK2G	Opisthokonta
ENSG00000133083	ENSG00000134072	DCLK1	CAMK1	Opisthokonta
ENSG00000134072	ENSG00000147613	CAMK1	PSKH2	Opisthokonta
ENSG00000058404	ENSG00000134072	CAMK2B	CAMK1	Opisthokonta
ENSG00000134072	ENSG00000159792	CAMK1	PSKH1	Opisthokonta
ENSG00000118046	ENSG00000134072	STK11	CAMK1	Opisthokonta
ENSG00000134072	ENSG00000164776	CAMK1	PHKG1	Opisthokonta
ENSG00000101306	ENSG00000134072	MYLK2	CAMK1	Opisthokonta
ENSG00000134072	ENSG00000145349	CAMK1	CAMK2D	Opisthokonta
ENSG00000070808	ENSG00000134072	CAMK2A	CAMK1	Opisthokonta
ENSG00000134072	ENSG00000164076	CAMK1	CAMKV	Opisthokonta
ENSG00000134072	ENSG00000170390	CAMK1	DCLK2	Opisthokonta
ENSG00000100304	ENSG00000214021	TTLL12	TTLL3	Opisthokonta
ENSG00000213471	ENSG00000214021	TTLL13	TTLL3	Opisthokonta
ENSG00000100271	ENSG00000214021	TTLL1	TTLL3	Opisthokonta
ENSG00000131044	ENSG00000214021	TTLL9	TTLL3	Opisthokonta
ENSG00000175764	ENSG00000214021	TTLL11	TTLL3	Opisthokonta
ENSG00000120440	ENSG00000214021	TTLL2	TTLL3	Opisthokonta
ENSG00000170703	ENSG00000214021	TTLL6	TTLL3	Opisthokonta
ENSG00000138892	ENSG00000214021	TTLL8	TTLL3	Opisthokonta
ENSG00000007376	ENSG00000156990	RPUSD1	RPUSD3	Opisthokonta
ENSG00000156990	ENSG00000165526	RPUSD3	RPUSD4	Opisthokonta
ENSG00000156990	ENSG00000166133	RPUSD3	RPUSD2	Opisthokonta
ENSG00000176194	ENSG00000187288	CIDEA	CIDEC	Euteleostomi
ENSG00000136305	ENSG00000187288	CIDEB	CIDEC	Vertebrata
ENSG00000163701	ENSG00000163702	IL17RE	IL17RC	Bilateria
ENSG00000163701	ENSG00000177663	IL17RE	IL17RA	Bilateria
ENSG00000144730	ENSG00000163701	IL17RD	IL17RE	Bilateria
ENSG00000056736	ENSG00000163701	IL17RB	IL17RE	Bilateria
ENSG00000163702	ENSG00000177663	IL17RC	IL17RA	Bilateria
ENSG00000144730	ENSG00000163702	IL17RD	IL17RC	Bilateria
ENSG00000056736	ENSG00000163702	IL17RB	IL17RC	Bilateria
ENSG00000125810	ENSG00000163703	CD93	CRELD1	Bilateria
ENSG00000163703	ENSG00000184164	CRELD1	CRELD2	Bilateria
ENSG00000163703	ENSG00000171462	CRELD1	DLK2	Bilateria
ENSG00000163703	ENSG00000174807	CRELD1	CD248	Bilateria
ENSG00000163703	ENSG00000176435	CRELD1	CLEC14A	Bilateria
ENSG00000090932	ENSG00000163703	DLL3	CRELD1	Bilateria
ENSG00000156076	ENSG00000163703	WIF1	CRELD1	Bilateria
