accession	organism	vclass	vorder	group	cell	copy_id	label	contig	start	end	n_informative	keys
GCA_056783565.1	Hiodon alosoides	Actinopteri	Hiodontiformes	teleost	RYR	Hiodon_alosoides|GCA_056783565.1|RYR.3	Hiodon_alosoides|GCA_056783565.1|RYR.3	CM165622.1	1063264	1177341	11	ACP7;ARHGAP11A;AVEN;CHRM5A;DEGS2;EIF2AK4;FSIP1;GPR176;SCG5;TPP1;YY1A
GCA_951230385.1	Staurois parvus	Amphibia	Anura	non_actinopterygian	ITPR1	Staurois_parvus|GCA_951230385.1|ITPR1.0	Staurois_parvus|GCA_951230385.1|ITPR1.0	CATNWA010014760.1	3	152790	10	SPARVUS_LOCUS8217507;SPARVUS_LOCUS8217508;SPARVUS_LOCUS8217509;SPARVUS_LOCUS8217515;SPARVUS_LOCUS8217516;SPARVUS_LOCUS8217517;SPARVUS_LOCUS8217518;SPARVUS_LOCUS8217519;SPARVUS_LOCUS8217520;SPARVUS_LOCUS8217521
GCA_951230385.1	Staurois parvus	Amphibia	Anura	non_actinopterygian	ITPR3	Staurois_parvus|GCA_951230385.1|ITPR3.0	Staurois_parvus|GCA_951230385.1|ITPR3.0	CATNWA010014490.1	708	288860	6	SPARVUS_LOCUS7433256;SPARVUS_LOCUS7433257;SPARVUS_LOCUS7433258;SPARVUS_LOCUS7433265;SPARVUS_LOCUS7433266;SPARVUS_LOCUS7433267
GCA_951230385.1	Staurois parvus	Amphibia	Anura	non_actinopterygian	RYR	Staurois_parvus|GCA_951230385.1|RYR.0	Staurois_parvus|GCA_951230385.1|RYR.0	CATNWA010007479.1	409228	663351	12	SPARVUS_LOCUS4166513;SPARVUS_LOCUS4166514;SPARVUS_LOCUS4166515;SPARVUS_LOCUS4166516;SPARVUS_LOCUS4166517;SPARVUS_LOCUS4166518;SPARVUS_LOCUS4166519;SPARVUS_LOCUS4166522;SPARVUS_LOCUS4166523;SPARVUS_LOCUS4166524;SPARVUS_LOCUS4166525;SPARVUS_LOCUS4166529
GCF_000001405.40	Homo sapiens	Mammalia	Primates	non_actinopterygian	ITPR1	Homo_sapiens|GCF_000001405.40|ITPR1.0	Homo_sapiens|GCF_000001405.40|ITPR1.0	NC_000003.12	4516483	4846225	19	ARL8B;BHLHE40;CAV3;CHL1;CNTN4;CNTN6;CRBN;EDEM1;GRM7;IL5RA;LMCD1;LRRN1;OXTR;RAD18;SETMAR;SRGAP3;SSUH2;SUMF1;TRNT1
GCF_000001405.40	Homo sapiens	Mammalia	Primates	non_actinopterygian	ITPR2	Homo_sapiens|GCF_000001405.40|ITPR2.0	Homo_sapiens|GCF_000001405.40|ITPR2.0	NC_000012.12	26339397	26832781	19	BCAT1;BHLHE41;BMAL2;C12ORF71;DNAI7;ETFRF1;FGFR1OP2;INTS13;IRAG2;KRAS;LMNTD1;MED21;PPFIBP1;RASSF8;REP15;SMCO2;SSPN;STK38L;TM7SF3
GCF_000001405.40	Homo sapiens	Mammalia	Primates	non_actinopterygian	ITPR3	Homo_sapiens|GCF_000001405.40|ITPR3.0	Homo_sapiens|GCF_000001405.40|ITPR3.0	NC_000006.12	33621603	33695780	19	BAK1;CUTA;DAXX;GRM4;HMGA1;IP6K3;KIFC1;LEMD2;MLN;NUDT3;PHF1;RPS10-NUDT3;SMIM29;SMIM40;SYNGAP1;TAPBP;UQCC2;ZBTB22;ZBTB9
GCF_000001405.40	Homo sapiens	Mammalia	Primates	non_actinopterygian	RYR	Homo_sapiens|GCF_000001405.40|RYR.0	Homo_sapiens|GCF_000001405.40|RYR.0	NC_000001.11	237042522	237832647	20	ACTN2;CHML;CHRM3;EDARADD;ERO1B;FH;FMN2;GPR137B;GREM2;HEATR1;KMO;LGALS8;LYST;MT1HL1;MTR;NID1;OPN3;RGS7;WDR64;ZP4
GCF_000001405.40	Homo sapiens	Mammalia	Primates	non_actinopterygian	RYR	Homo_sapiens|GCF_000001405.40|RYR.2	Homo_sapiens|GCF_000001405.40|RYR.2	NC_000015.10	33311046	33865226	19	ARHGAP11A;ARHGAP11A-SCG5;CHRM5;CHRNA7;EMC4;EMC7;FMN1;GOLGA8A;GOLGA8K;GOLGA8N;GOLGA8O;GREM1;KATNBL1;LPCAT4;NOP10;NUTM1;PGBD4;SCG5;SLC12A6
GCF_000001405.40	Homo sapiens	Mammalia	Primates	non_actinopterygian	RYR	Homo_sapiens|GCF_000001405.40|RYR.1	Homo_sapiens|GCF_000001405.40|RYR.1	NC_000019.10	38433827	38587420	20	ACTN4;C19ORF33;CAPN12;CATSPERG;ECH1;EIF3K;FAM98C;GGN;HNRNPL;KCNK6;LGALS4;LGALS7;LGALS7B;MAP4K1;PSMD8;RASGRP4;RINL;SPINT2;SPRED3;YIF1B
GCF_000001635.27	Mus musculus	Mammalia	Rodentia	non_actinopterygian	ITPR1	Mus_musculus|GCF_000001635.27|ITPR1.0	Mus_musculus|GCF_000001635.27|ITPR1.0	NC_000072.7	108213937	108526800	20	ARL8B;BHLHE40;CAV3;CHL1;CNTN3;CNTN4;CNTN6;CRBN;EDEM1;GM6749;GRM7;IL5RA;LMCD1;LRRN1;OXTR;RAD18;SETMAR;SSU2;SUMF1;TRNT1
GCF_000001635.27	Mus musculus	Mammalia	Rodentia	non_actinopterygian	ITPR2	Mus_musculus|GCF_000001635.27|ITPR2.0	Mus_musculus|GCF_000001635.27|ITPR2.0	NC_000072.7	146013169	146403376	20	1700034J05RIK;BCAT1;BHLHE41;BMAL2;DNAI7;ETFRF1;FGFR1OP2;INTS13;IRAG2;KRAS;LMNTD1;MED21;PPFIBP1;RASSF8;REP15;SMCO2;SSPN;STK38L;TM7SF3;TUBA3B
GCF_000001635.27	Mus musculus	Mammalia	Rodentia	non_actinopterygian	ITPR3	Mus_musculus|GCF_000001635.27|ITPR3.0	Mus_musculus|GCF_000001635.27|ITPR3.0	NC_000083.7	27276557	27464987	20	BAK1;BLTP3A;BNIP1;CREBRF;CUTA;GGNBP1;GRM4;HMGA1;ILRUN;KIFC5B;NKX2-5;NUDT3;PACSIN1;PHF1;RPS10;SMIM29;SNRPC;SPDEF;SYNGAP1;ZBTB9
GCF_000001635.27	Mus musculus	Mammalia	Rodentia	non_actinopterygian	RYR	Mus_musculus|GCF_000001635.27|RYR.2	Mus_musculus|GCF_000001635.27|RYR.2	NC_000068.8	112462468	113047335	20	ACTC1;AQR;ARHGAP11A;AVEN;CHRM5;DPH6;EMC4;EMC7;FMN1;GJD2;GM52523;GREM1;KATNBL1;LPCAT4;NOP10;NUTM1;SCG5;SLC12A6;TMCO5B;ZFP770
GCF_000001635.27	Mus musculus	Mammalia	Rodentia	non_actinopterygian	RYR	Mus_musculus|GCF_000001635.27|RYR.1	Mus_musculus|GCF_000001635.27|RYR.1	NC_000073.7	28702883	28825926	20	2200002D01RIK;ACTN4;CAPN12;CATSPERG1;ECH1;EIF3K;FAM98C;GGN;HNRNPL;KCNK6;LGALS4;LGALS7;MAP4K1;PSMD8;RASGRP4;RINL;SIRT2;SPINT2;SPRED3;YIF1B
GCF_000001635.27	Mus musculus	Mammalia	Rodentia	non_actinopterygian	RYR	Mus_musculus|GCF_000001635.27|RYR.0	Mus_musculus|GCF_000001635.27|RYR.0	NC_000079.7	11569402	12121332	20	ACTN2;ADARB2;CHRM3;DIP2C;EDARADD;ERO1B;GM10029;GM53256;GM5445;GM5928;GTPBP4;HEATR1;IDI1;IDI2;LARP4B;LGALS8;MTR;PRL2C3;WDR37;ZMYND11
GCF_000004195.4	Xenopus tropicalis	Amphibia	Anura	non_actinopterygian	ITPR1	Xenopus_tropicalis|GCF_000004195.4|ITPR1.0	Xenopus_tropicalis|GCF_000004195.4|ITPR1.0	NC_030680.2	130063610	130128628	15	ARL8B;BHLHE40;CAV3;CNTN4;CRBN;EDEM1;GRM7;IL5R;LMCD1;LRRN1;OXTR;SETMAR;SSUH2;SUMF1;TRNT1
GCF_000004195.4	Xenopus tropicalis	Amphibia	Anura	non_actinopterygian	ITPR2	Xenopus_tropicalis|GCF_000004195.4|ITPR2.0	Xenopus_tropicalis|GCF_000004195.4|ITPR2.0	NC_030679.2	2434161	2554608	17	BHLHE41;CECR5;CYB5R3;ENDOUL;ETFRF1;FGFR1OP2;INTS13;KRASL;LMNTD1;NRIP3;PPFIBP1;RAB43;RASSF8;REP15;SSPN;STK38L;SYT10
GCF_000004195.4	Xenopus tropicalis	Amphibia	Anura	non_actinopterygian	ITPR3	Xenopus_tropicalis|GCF_000004195.4|ITPR3.0	Xenopus_tropicalis|GCF_000004195.4|ITPR3.0	NC_030678.2	65519880	65957309	18	ANKS1A;BAK1;BRPF3;CEPT1;CNTN2;DENND2D;GRM4;KISS1;MAPK13;MDM4;MYBPH;NFASC;PIK3C2B;PLEKHA6;REN;SOX13;TAF11;TBC1D22B
GCF_000004195.4	Xenopus tropicalis	Amphibia	Anura	non_actinopterygian	RYR	Xenopus_tropicalis|GCF_000004195.4|RYR.0	Xenopus_tropicalis|GCF_000004195.4|RYR.0	NC_030684.2	80282968	80394579	19	ALKBH6;ARHGAP11A;BICR;CLIP3;ECH1;EIF3K;FAM98A;HNRNPL;KPTN;LGALS4;MAP4K1;MEIS3;NAPA;PSMD8;RASGRP4;SLC8A2;SPRED3;SYNE4;TSPAN15
GCF_000004195.4	Xenopus tropicalis	Amphibia	Anura	non_actinopterygian	RYR	Xenopus_tropicalis|GCF_000004195.4|RYR.1	Xenopus_tropicalis|GCF_000004195.4|RYR.1	NC_030684.2	110182588	110425389	19	ARHGAP11A;AVEN;C15ORF41;CCDC177;CHRM5;ERH;EXD2;FAM98B;FMN1;GALNT16;GPR176;GREM1;MEIS2;PLEKHD1;RASGRP1;SCG5;SLC39A9;SPRED1;SUSD6
GCF_000243295.1	Trichechus manatus latirostris	Mammalia	Sirenia	non_actinopterygian	ITPR1	Trichechus_manatus_latirostris|GCF_000243295.1|ITPR1.0	Trichechus_manatus_latirostris|GCF_000243295.1|ITPR1.0	NW_004443937.1	3729845	4097254	15	ARL8B;BHLHE40;CAV3;CRBN;EDEM1;GRM7;IL5RA;LMCD1;LRRN1;OXTR;RAD18;SRGAP3;SSUH2;SUMF1;TRNT1
GCF_000243295.1	Trichechus manatus latirostris	Mammalia	Sirenia	non_actinopterygian	ITPR2	Trichechus_manatus_latirostris|GCF_000243295.1|ITPR2.0	Trichechus_manatus_latirostris|GCF_000243295.1|ITPR2.0	NW_004444048.1	4349025	4936181	19	BCAT1;BHLHE41;BMAL2;CUNH12ORF71;DNAI7;ETFRF1;FGFR1OP2;INTS13;IRAG2;KRAS;LMNTD1;MED21;PPFIBP1;RASSF8;REP15;SMCO2;SSPN;STK38L;TM7SF3
GCF_000243295.1	Trichechus manatus latirostris	Mammalia	Sirenia	non_actinopterygian	ITPR3	Trichechus_manatus_latirostris|GCF_000243295.1|ITPR3.0	Trichechus_manatus_latirostris|GCF_000243295.1|ITPR3.0	NW_004444197.1	479476	766495	19	BAK1;BLTP3A;CUTA;DAXX;GRM4;HMGA1;ILRUN;KIFC1;NUDT3;PACSIN1;PHF1;RPS10;SMIM29;SNRPC;SPDEF;SYNGAP1;TAPBP;ZBTB22;ZBTB9
GCF_000243295.1	Trichechus manatus latirostris	Mammalia	Sirenia	non_actinopterygian	RYR	Trichechus_manatus_latirostris|GCF_000243295.1|RYR.0	Trichechus_manatus_latirostris|GCF_000243295.1|RYR.0	NW_004443957.1	937027	1682636	11	ACTN2;EDARADD;ERO1B;GNG4;GPR137B;HEATR1;LGALS8;LYST;MTR;NID1;ZP4
GCF_000243295.1	Trichechus manatus latirostris	Mammalia	Sirenia	non_actinopterygian	RYR	Trichechus_manatus_latirostris|GCF_000243295.1|RYR.2	Trichechus_manatus_latirostris|GCF_000243295.1|RYR.2	NW_004444012.1	768827	1406582	18	ACTC1;AQR;ARHGAP11A;AVEN;CHRM5;DPH6;EMC4;EMC7;FMN1;GJD2;GREM1;KATNBL1;LPCAT4;NOP10;NUTM1;SCG5;SLC12A6;ZNF770
GCF_000243295.1	Trichechus manatus latirostris	Mammalia	Sirenia	non_actinopterygian	RYR	Trichechus_manatus_latirostris|GCF_000243295.1|RYR.1	Trichechus_manatus_latirostris|GCF_000243295.1|RYR.1	NW_004444143.1	2928420	3060175	16	ACTN4;CAPN12;CATSPERG;CUNH19ORF33;EIF3K;FAM98C;GGN;KCNK6;LGALS4;LGALS7;MAP4K1;PSMD8;RASGRP4;SPINT2;SPRED3;YIF1B
GCF_000298275.1	Orycteropus afer afer	Mammalia	Tubulidentata	non_actinopterygian	ITPR2	Orycteropus_afer_afer|GCF_000298275.1|ITPR2.0	Orycteropus_afer_afer|GCF_000298275.1|ITPR2.0	NW_006921841.1	1916557	2641139	18	ARNTL2;BHLHE41;CUNH12ORF71;DNAI7;ETFRF1;FGFR1OP2;INTS13;IRAG2;KRAS;LMNTD1;MED21;MRPS35;PPFIBP1;RASSF8;REP15;SSPN;STK38L;TM7SF3
GCF_000298275.1	Orycteropus afer afer	Mammalia	Tubulidentata	non_actinopterygian	ITPR3	Orycteropus_afer_afer|GCF_000298275.1|ITPR3.0	Orycteropus_afer_afer|GCF_000298275.1|ITPR3.0	NW_006921646.1	1076671	1222591	17	BAK1;CUTA;DAXX;GRM4;HMGA1;ILRUN;KIFC1;LEMD2;MLN;PACSIN1;PHF1;SMIM29;SNRPC;SPDEF;SYNGAP1;ZBTB22;ZBTB9
GCF_000298275.1	Orycteropus afer afer	Mammalia	Tubulidentata	non_actinopterygian	RYR	Orycteropus_afer_afer|GCF_000298275.1|RYR.2	Orycteropus_afer_afer|GCF_000298275.1|RYR.2	NW_006921655.1	10958714	11770331	16	ACTC1;AQR;AVEN;CDIN1;CHRM5;DPH6;EMC4;EMC7;FMN1;GJD2;GREM1;KATNBL1;LPCAT4;NUTM1;SLC12A6;ZNF770
GCF_000298275.1	Orycteropus afer afer	Mammalia	Tubulidentata	non_actinopterygian	RYR	Orycteropus_afer_afer|GCF_000298275.1|RYR.0	Orycteropus_afer_afer|GCF_000298275.1|RYR.0	NW_006921683.1	86563	1518076	10	CHML;CHRM3;FH;FMN2;GREM2;KMO;OPN3;RGS7;WDR64;ZP4
GCF_000298275.1	Orycteropus afer afer	Mammalia	Tubulidentata	non_actinopterygian	RYR	Orycteropus_afer_afer|GCF_000298275.1|RYR.1	Orycteropus_afer_afer|GCF_000298275.1|RYR.1	NW_006922094.1	839800	1003547	20	ACTN4;CAPN12;CATSPERG;CUNH19ORF33;ECH1;EIF3K;FAM98C;GGN;HNRNPL;KCNK6;LGALS4;MAP4K1;NFKBIB;PSMD8;RASGRP4;RINL;SIRT2;SPINT2;SPRED3;YIF1B
GCF_000299155.1	Elephantulus edwardii	Mammalia	Macroscelidea	non_actinopterygian	ITPR1	Elephantulus_edwardii|GCF_000299155.1|ITPR1.0	Elephantulus_edwardii|GCF_000299155.1|ITPR1.0	NW_006399950.1	2287804	2608413	12	ARL8B;BHLHE40;CNTN4;CNTN6;CRBN;EDEM1;GRM7;IL5RA;LRRN1;SETMAR;SUMF1;TRNT1
GCF_000299155.1	Elephantulus edwardii	Mammalia	Macroscelidea	non_actinopterygian	ITPR2	Elephantulus_edwardii|GCF_000299155.1|ITPR2.0	Elephantulus_edwardii|GCF_000299155.1|ITPR2.0	NW_006399907.1	1203623	1935585	10	ARNTL2;ASUN;BHLHE41;FGFR1OP2;MED21;PPFIBP1;RASSF8;SSPN;STK38L;TM7SF3
GCF_000299155.1	Elephantulus edwardii	Mammalia	Macroscelidea	non_actinopterygian	ITPR3	Elephantulus_edwardii|GCF_000299155.1|ITPR3.0	Elephantulus_edwardii|GCF_000299155.1|ITPR3.0	NW_006399767.1	28437360	28531519	14	BAK1;CUTA;DAXX;GRM4;IP6K3;KIFC1;LEMD2;MLN;NUDT3;PHF1;SYNGAP1;TAPBP;ZBTB22;ZBTB9
GCF_000299155.1	Elephantulus edwardii	Mammalia	Macroscelidea	non_actinopterygian	RYR	Elephantulus_edwardii|GCF_000299155.1|RYR.2	Elephantulus_edwardii|GCF_000299155.1|RYR.2	NW_006399776.1	16239615	16991778	18	ACTC1;AQR;ARHGAP11A;AVEN;CHRM5;DPH6;EMC4;EMC7;FMN1;GJD2;GREM1;KATNBL1;LPCAT4;NOP10;NUTM1;SCG5;SLC12A6;ZNF770
GCF_000299155.1	Elephantulus edwardii	Mammalia	Macroscelidea	non_actinopterygian	RYR	Elephantulus_edwardii|GCF_000299155.1|RYR.0	Elephantulus_edwardii|GCF_000299155.1|RYR.0	NW_006399916.1	2508484	3582440	11	ACTN2;EDARADD;ERO1LB;GPR137B;HEATR1;LGALS8;LYST;MTR;NID1;SYN2;TIMP4
GCF_000299155.1	Elephantulus edwardii	Mammalia	Macroscelidea	non_actinopterygian	RYR	Elephantulus_edwardii|GCF_000299155.1|RYR.1	Elephantulus_edwardii|GCF_000299155.1|RYR.1	NW_006400016.1	3104779	3304164	14	ACTN4;CAPN12;CATSPERG;DPF1;EIF3K;GGN;KCNK6;MAP4K1;PPP1R14A;PSMD8;RASGRP4;SPINT2;SPRED3;YIF1B
GCF_000334495.1	Tupaia belangeri chinensis	Mammalia	Scandentia	non_actinopterygian	ITPR2	Tupaia_belangeri_chinensis|GCF_000334495.1|ITPR2.0	Tupaia_belangeri_chinensis|GCF_000334495.1|ITPR2.0	NW_006159458.1	4235530	4801213	17	BHLHE41;BMAL2;CUNH12ORF71;DNAI7;ETFRF1;FGFR1OP2;INTS13;IRAG2;KRAS;LMNTD1;MED21;PPFIBP1;RASSF8;SMCO2;SSPN;STK38L;TM7SF3
GCF_000334495.1	Tupaia belangeri chinensis	Mammalia	Scandentia	non_actinopterygian	ITPR3	Tupaia_belangeri_chinensis|GCF_000334495.1|ITPR3.0	Tupaia_belangeri_chinensis|GCF_000334495.1|ITPR3.0	NW_006159580.1	2610419	2728783	19	BAK1;CUTA;DAXX;GRM4;HMGA1;IP6K3;KIFC1;LEMD2;MLN;NUDT3;PACSIN1;PHF1;RPS10;SMIM29;SPDEF;SYNGAP1;TAPBP;ZBTB22;ZBTB9
GCF_000334495.1	Tupaia belangeri chinensis	Mammalia	Scandentia	non_actinopterygian	RYR	Tupaia_belangeri_chinensis|GCF_000334495.1|RYR.0	Tupaia_belangeri_chinensis|GCF_000334495.1|RYR.0	NW_006159632.1	764808	1083943	11	ACTN2;CHRM3;EDARADD;ERO1B;GNG4;GPR137B;HEATR1;LGALS8;LYST;MTR;NID1
GCF_000334495.1	Tupaia belangeri chinensis	Mammalia	Scandentia	non_actinopterygian	RYR	Tupaia_belangeri_chinensis|GCF_000334495.1|RYR.1	Tupaia_belangeri_chinensis|GCF_000334495.1|RYR.1	NW_006198801.1	1277978	1458094	16	ACTN4;CAPN12;CATSPERG;CUNH19ORF33;ECH1;EIF3K;GGN;HNRNPL;KCNK6;LGALS4;MAP4K1;PSMD8;RASGRP4;SPRED3;TSLIG3C;YIF1B
GCF_000687185.1	Egretta garzetta	Aves	Pelecaniformes	non_actinopterygian	ITPR1	Egretta_garzetta|GCF_000687185.1|ITPR1.0	Egretta_garzetta|GCF_000687185.1|ITPR1.0	NW_009260758.1	465546	641507	12	ARL8B;BHLHE40;CHL1;CNTN3;CNTN4;CNTN6;CRBN;EDEM1;IL5RA;LRRN1;SUMF1;TRNT1
GCF_000687185.1	Egretta garzetta	Aves	Pelecaniformes	non_actinopterygian	ITPR2	Egretta_garzetta|GCF_000687185.1|ITPR2.0	Egretta_garzetta|GCF_000687185.1|ITPR2.0	NW_009258671.1	5501948	5742304	18	ARNTL2;CFAP94;ETFRF1;FGFR1OP2;GYS2;INTS13;IRAG2;KCNJ8;KRAS;LDHB;MED21;PPFIBP1;RASSF8;REP15;SPX;SSPN;STK38L;TM7SF3
GCF_000687185.1	Egretta garzetta	Aves	Pelecaniformes	non_actinopterygian	ITPR3	Egretta_garzetta|GCF_000687185.1|ITPR3.0	Egretta_garzetta|GCF_000687185.1|ITPR3.0	NW_009259598.1	1127925	1268775	17	ANKS1A;APOBEC2;BAK1;FOXP4;GRM4;ILRUN;MDFI;NFYA;NUDT3;OARD1;PACSIN1;SNRPC;SPDEF;TAF11;TFEB;TREM2;UHRF1BP1
GCF_000687185.1	Egretta garzetta	Aves	Pelecaniformes	non_actinopterygian	RYR	Egretta_garzetta|GCF_000687185.1|RYR.0	Egretta_garzetta|GCF_000687185.1|RYR.0	NW_009258894.1	1562456	1822290	17	ARHGAP11A;AVEN;CDIN1;CHRM5;EIF2AK4;EMC7;FAM98B;FMN1;FSIP1;GPR176;GREM1;KATNBL1;MEIS2;RASGRP1;SPRED1;SRP14;THBS1
GCF_000691975.1	Corvus brachyrhynchos	Aves	Passeriformes	non_actinopterygian	ITPR1	Corvus_brachyrhynchos|GCF_000691975.1|ITPR1.0	Corvus_brachyrhynchos|GCF_000691975.1|ITPR1.0	NW_008238347.1	529510	687093	16	ARL8B;BHLHE40;CAV3;CNTN4;CRBN;EDEM1;GRM7;IL5RA;LMCD1;LRRN1;OXTR;RAD18;SRGAP3;SUMF1;THUMPD3;TRNT1
GCF_000691975.1	Corvus brachyrhynchos	Aves	Passeriformes	non_actinopterygian	ITPR2	Corvus_brachyrhynchos|GCF_000691975.1|ITPR2.0	Corvus_brachyrhynchos|GCF_000691975.1|ITPR2.0	NW_008246056.1	1641155	1876425	13	ARFGAP3;ARNTL2;ASUN;FGFR1OP2;KRAS;LYRM5;MED21;PPFIBP1;RASSF8;REP15;SSPN;STK38L;TM7SF3
GCF_000691975.1	Corvus brachyrhynchos	Aves	Passeriformes	non_actinopterygian	ITPR3	Corvus_brachyrhynchos|GCF_000691975.1|ITPR3.0	Corvus_brachyrhynchos|GCF_000691975.1|ITPR3.0	NW_008236763.1	1288859	1326649	15	APOBEC2;BAK1;FOXP4;GRM4;HMGA1;IP6K3;LEMD2;MDFI;NFYA;NUDT3;OARD1;PACSIN1;TFEB;TREM2;TSPO2
GCF_000691975.1	Corvus brachyrhynchos	Aves	Passeriformes	non_actinopterygian	RYR	Corvus_brachyrhynchos|GCF_000691975.1|RYR.1	Corvus_brachyrhynchos|GCF_000691975.1|RYR.1	NW_008236217.1	577	278652	10	ACTN2;EDARADD;ERO1B;GNG4;GPR137B;HEATR1;LGALS8;LYST;MTR;NID1
GCF_000691975.1	Corvus brachyrhynchos	Aves	Passeriformes	non_actinopterygian	RYR	Corvus_brachyrhynchos|GCF_000691975.1|RYR.0	Corvus_brachyrhynchos|GCF_000691975.1|RYR.0	NW_008239553.1	14520289	14723787	18	ARHGAP11A;AVEN;CHRM5;CUNH15ORF41;EIF2AK4;EMC7;FAM98B;FMN1;FSIP1;GPR176;GREM1;KATNBL1;MEIS2;RASGRP1;SCG5;SPRED1;SRP14;THBS1
GCF_000698965.1	Struthio camelus australis	Aves	Struthioniformes	non_actinopterygian	ITPR1	Struthio_camelus_australis|GCF_000698965.1|ITPR1.0	Struthio_camelus_australis|GCF_000698965.1|ITPR1.0	NW_009276910.1	3858	133776	8	CHL1;CNTN4;CNTN6;CRBN;IL5RA;LRRN1;SUMF1;TRNT1
GCF_000698965.1	Struthio camelus australis	Aves	Struthioniformes	non_actinopterygian	ITPR2	Struthio_camelus_australis|GCF_000698965.1|ITPR2.0	Struthio_camelus_australis|GCF_000698965.1|ITPR2.0	NW_009270423.1	2339724	2570126	10	CASC1;CCDC155;GYS2;KRAS;LMNTD1;LRMP;LYRM5;RASSF8;SPX;SSPN
GCF_000698965.1	Struthio camelus australis	Aves	Struthioniformes	non_actinopterygian	ITPR3	Struthio_camelus_australis|GCF_000698965.1|ITPR3.0	Struthio_camelus_australis|GCF_000698965.1|ITPR3.0	NW_009270925.1	286269	376024	11	APOBEC2;BAK1;NFYA;NUDT3;OARD1;PACSIN1;RPS10;SNRPC;TAF11;TSPO2;UHRF1BP1
GCF_000698965.1	Struthio camelus australis	Aves	Struthioniformes	non_actinopterygian	RYR	Struthio_camelus_australis|GCF_000698965.1|RYR.0	Struthio_camelus_australis|GCF_000698965.1|RYR.0	NW_009270414.1	460600	917882	8	ACTN2;EDARADD;ERO1LB;GPR137B;HEATR1;LGALS8;MTR;NID1
GCF_000698965.1	Struthio camelus australis	Aves	Struthioniformes	non_actinopterygian	RYR	Struthio_camelus_australis|GCF_000698965.1|RYR.1	Struthio_camelus_australis|GCF_000698965.1|RYR.1	NW_009270711.1	4408	201816	9	AVEN;CHRM5;EIF2AK4;EMC7;FSIP1;GPR176;KATNBL1;SRP14;THBS1
GCF_000699105.1	Pygoscelis adeliae	Aves	Sphenisciformes	non_actinopterygian	ITPR1	Pygoscelis_adeliae|GCF_000699105.1|ITPR1.0	Pygoscelis_adeliae|GCF_000699105.1|ITPR1.0	NW_008825411.1	146519	320345	11	ARL8B;BHLHE40;CHL1;CNTN4;CNTN6;CRBN;EDEM1;IL5RA;LRRN1;SUMF1;TRNT1
GCF_000699105.1	Pygoscelis adeliae	Aves	Sphenisciformes	non_actinopterygian	ITPR2	Pygoscelis_adeliae|GCF_000699105.1|ITPR2.0	Pygoscelis_adeliae|GCF_000699105.1|ITPR2.0	NW_008825614.1	2308560	2542672	17	ARNTL2;ASUN;CASC1;FGFR1OP2;GYS2;KCNJ8;KRAS;LDHB;LMNTD1;LRMP;LYRM5;MED21;RASSF8;REP15;SSPN;STK38L;TM7SF3
GCF_000699105.1	Pygoscelis adeliae	Aves	Sphenisciformes	non_actinopterygian	ITPR3	Pygoscelis_adeliae|GCF_000699105.1|ITPR3.0	Pygoscelis_adeliae|GCF_000699105.1|ITPR3.0	NW_008825105.1	2159564	2193900	15	APOBEC2;BAK1;FOXP4;GRM4;IP6K3;LEMD2;MDFI;MLN;NFYA;NUDT3;OARD1;PACSIN1;RPS10;TFEB;TSPO2
GCF_000699105.1	Pygoscelis adeliae	Aves	Sphenisciformes	non_actinopterygian	RYR	Pygoscelis_adeliae|GCF_000699105.1|RYR.1	Pygoscelis_adeliae|GCF_000699105.1|RYR.1	NW_008824446.1	1744397	2012602	18	ARHGAP11A;AVEN;CHRM5;DPH6;EIF2AK4;EMC7;FAM98B;FMN1;FSIP1;GPR176;GREM1;KATNBL1;MEIS2;RASGRP1;SCG5;SPRED1;SRP14;THBS1
GCF_000699105.1	Pygoscelis adeliae	Aves	Sphenisciformes	non_actinopterygian	RYR	Pygoscelis_adeliae|GCF_000699105.1|RYR.0	Pygoscelis_adeliae|GCF_000699105.1|RYR.0	NW_008825216.1	1724863	2164588	17	ACTN2;CHRM3;EDARADD;ERO1LB;FMN2;GNG4;GPR137B;GREM2;HEATR1;LGALS8;LYST;MTR;NID1;OPN3;PIGM;RGS7;WDR64
GCF_000699145.1	Aptenodytes forsteri	Aves	Sphenisciformes	non_actinopterygian	ITPR1	Aptenodytes_forsteri|GCF_000699145.1|ITPR1.0	Aptenodytes_forsteri|GCF_000699145.1|ITPR1.0	NW_008794173.1	1523808	1699190	16	ARL8B;BHLHE40;CAV3;CNTN4;CNTN6;CRBN;EDEM1;GRM7;IL5RA;LMCD1;LRRN1;OXTR;RAD18;SSUH2;SUMF1;TRNT1
GCF_000699145.1	Aptenodytes forsteri	Aves	Sphenisciformes	non_actinopterygian	ITPR2	Aptenodytes_forsteri|GCF_000699145.1|ITPR2.0	Aptenodytes_forsteri|GCF_000699145.1|ITPR2.0	NW_008795252.1	8918860	9157845	18	ARNTL2;ASUN;BHLHE41;CASC1;ETFRF1;FGFR1OP2;GYS2;KRAS;LDHB;LRMP;MED21;PPFIBP1;RASSF8;REP15;SPX;SSPN;STK38L;TM7SF3
