accession	organism	vorder	anchor	anchor_organism	orientation	margin
GCF_963457635.1	Microchirus variegatus	Pleuronectiformes	GCA_014281875.1	Nibea albiflora	1	0.1737
GCF_963457635.1	Microchirus variegatus	Pleuronectiformes	GCF_029633855.1	Hoplias malabaricus	0	0.1929
GCF_963457635.1	Microchirus variegatus	Pleuronectiformes	GCF_041902795.1	Electrophorus electricus	0	0.1875
GCF_963457635.1	Microchirus variegatus	Pleuronectiformes	GCF_052040795.1	Danio rerio	0	0.1445
GCF_963457635.1	Microchirus variegatus	Pleuronectiformes	GCF_902362185.1	Chanos chanos	1	0.4659
GCF_963457635.1	Microchirus variegatus	Pleuronectiformes	GCF_902167405.1	Gadus morhua	0	0.3222
GCF_963514085.1	Chelon labrosus	Mugiliformes	GCA_014281875.1	Nibea albiflora	0	0.1991
GCF_963514085.1	Chelon labrosus	Mugiliformes	GCF_029633855.1	Hoplias malabaricus	1	0.205
GCF_963514085.1	Chelon labrosus	Mugiliformes	GCF_041902795.1	Electrophorus electricus	1	0.2
GCF_963514085.1	Chelon labrosus	Mugiliformes	GCF_052040795.1	Danio rerio	1	0.1603
GCF_963514085.1	Chelon labrosus	Mugiliformes	GCF_902362185.1	Chanos chanos	0	0.6164
GCF_963514085.1	Chelon labrosus	Mugiliformes	GCF_902167405.1	Gadus morhua	1	0.8997
GCF_963921795.1	Nannobrachium achirus	Myctophiformes	GCA_014281875.1	Nibea albiflora	1	0.1786
GCF_963921795.1	Nannobrachium achirus	Myctophiformes	GCF_029633855.1	Hoplias malabaricus	0	0.32
GCF_963921795.1	Nannobrachium achirus	Myctophiformes	GCF_041902795.1	Electrophorus electricus	0	0.32
GCF_963921795.1	Nannobrachium achirus	Myctophiformes	GCF_052040795.1	Danio rerio	0	0.3333
GCF_963921795.1	Nannobrachium achirus	Myctophiformes	GCF_902362185.1	Chanos chanos	1	0.6842
GCF_963921795.1	Nannobrachium achirus	Myctophiformes	GCF_902167405.1	Gadus morhua	0	0.3913
GCF_963989245.1	Nansenia antarctica	Argentiniformes	GCA_014281875.1	Nibea albiflora	0	0.205
GCF_963989245.1	Nansenia antarctica	Argentiniformes	GCF_029633855.1	Hoplias malabaricus	1	0.508
GCF_963989245.1	Nansenia antarctica	Argentiniformes	GCF_041902795.1	Electrophorus electricus	1	0.5044
GCF_963989245.1	Nansenia antarctica	Argentiniformes	GCF_052040795.1	Danio rerio	1	0.4844
GCF_963989245.1	Nansenia antarctica	Argentiniformes	GCF_902362185.1	Chanos chanos	0	0.4139
GCF_963989245.1	Nansenia antarctica	Argentiniformes	GCF_902167405.1	Gadus morhua	1	0.9444
GCF_964638095.1	Poromitra crassiceps	Beryciformes	GCA_014281875.1	Nibea albiflora	0	0.212
GCF_964638095.1	Poromitra crassiceps	Beryciformes	GCF_029633855.1	Hoplias malabaricus	1	0.4939
GCF_964638095.1	Poromitra crassiceps	Beryciformes	GCF_041902795.1	Electrophorus electricus	1	0.4867
GCF_964638095.1	Poromitra crassiceps	Beryciformes	GCF_052040795.1	Danio rerio	1	0.4533
GCF_964638095.1	Poromitra crassiceps	Beryciformes	GCF_902362185.1	Chanos chanos	0	0.4783
GCF_964638095.1	Poromitra crassiceps	Beryciformes	GCF_902167405.1	Gadus morhua	1	0.9879
