accession	organism	vclass	vorder	assembly_level	contig_n50	contig_spans_gene	cell	cell_status	slot	locus_idx	locus_clade	assigned_via	contig	start	end	strand	bait	identity	coverage	aligned_aa	q_start	q_end	bait_len	frameshifts	stop_codons	lesions	lesion_density	integrity	family_margin	paralog_margin	contig_edge	longest_n_run	annot_gene	annot_frac_cds	annot_paralog_matches	merged_models	merged_from	is_copy	excluded_reason
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	Galaxiiformes	Chromosome	956540	True	RYR	found_annotated	cell	3	RYR	primary	CM030181.1	4641422	4763407	+	Q92736|RYR2|Homo_sapiens|RYR2	0.6699	1.0	4967	1	4967	4967	0	0	0	0.0	intact	1.0	1.0	False	0	FYW47_009868	1.0	False	1		True	
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	Galaxiiformes	Chromosome	956540	True	RYR	found_annotated	cell	5	RYR	primary	CM030184.1	14573839	14652808	-	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal	0.5483	1.0	5168	1	5168	5168	3	2	5	0.9675	intact	1.0	1.0	False	0	FYW47_012540	1.0	False	1		True	
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	Galaxiiformes	Chromosome	956540	True	RYR	found_annotated	cell	0	RYR	primary	CM030187.1	17498765	17605772	-	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	0.8665	1.0	4961	1	4961	4961	0	0	0	0.0	intact	1.0	1.0	False	0	ryr2a	1.0	True	1		True	
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	Galaxiiformes	Chromosome	956540	True	RYR	found_annotated	cell	2	RYR	primary	CM030190.1	14433793	14551334	+	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.7956	1.0	5037	1	5037	5037	0	0	0	0.0	intact	1.0	1.0	False	0	FYW47_017510	1.0	False	1		True	
GCA_018340635.1	Bothrops jararaca	Lepidosauria	Squamata	Scaffold	162550	True	ITPR1	found_no_annotation	cell	0	ITPR1	primary	JAGTXL010001321.1	22586	206370	-	A0A670JBK6|ITPR1|Podarcis_muralis	0.9678	0.9701	2665	1	2665	2747	1	1	2	0.7505	intact	1.0	0.3055	False	0		0.0	False	1		True	
GCA_018340635.1	Bothrops jararaca	Lepidosauria	Squamata	Scaffold	162550	True	ITPR3	found_no_annotation	cell	0	ITPR3	primary	JAGTXL010020449.1	70587	183394	+	A0A6J0TV85|ITPR3|Pogona_vitticeps	0.9468	1.0	2666	1	2666	2666	0	0	0	0.0	intact	1.0	0.3197	False	0		0.0	False	1		True	
GCA_018340635.1	Bothrops jararaca	Lepidosauria	Squamata	Scaffold	162550	True	RYR	found_no_annotation	cell	0	RYR	primary	JAGTXL010020916.1	38758	324368	-	Q92736|RYR2|Homo_sapiens|RYR2	0.6804	1.0	4967	1	4967	4967	0	0	0	0.0	intact	1.0	1.0	False	0		0.0	False	1		True	
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	Anura	Chromosome	783846	True	ITPR1	found_annotated	cell	0	ITPR1	primary	CM033472.1	236347501	236467085	+	A0A8J0T3U5|itpr1|Xenopus_tropicalis|ITPR1	0.7451	1.0	2743	1	2743	2743	5	2	7	2.552	lesion_rich	1.0	0.2742	False	74	GDO86_007249	1.0	False	1		True	
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	Anura	Chromosome	783846	True	ITPR2	found_annotated	cell	0	ITPR2	primary	CM033471.1	7877787	8086667	-	A0A6I8RGU0|itpr2|Xenopus_tropicalis|ITPR2	0.6135	1.0	2705	1	2705	2705	6	1	7	2.5878	lesion_rich	1.0	1.0	False	184	GDO86_004943	0.978	False	1		True	
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	Anura	Chromosome	783846	True	ITPR3	found_unannotated	cell	0	ITPR3	primary	CM033470.1	126480658	127318646	+	A0A8J0SYK9|itpr3|Xenopus_tropicalis|ITPR3	0.8874	1.0	2673	1	2673	2673	2	0	2	0.7482	intact	1.0	0.2894	False	136		0.0	False	1		True	
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	Anura	Chromosome	783846	True	RYR	found_annotated	cell	0	RYR	primary	CM033476.1	224511129	224663025	+	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.9321	1.0	5037	1	5037	5037	24	1	25	4.9633	lesion_rich	1.0	1.0	False	0	GDO86_015793	0.993	False	1		True	
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	Anura	Chromosome	783846	True	RYR	found_annotated	cell	1	RYR	primary	CM033476.1	280306931	280760220	-	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0.6802	1.0	4968	1	4968	4968	13	0	13	2.6167	lesion_rich	1.0	1.0	False	0	GDO86_016282	0.98	False	1		True	
GCA_020745705.1	Hemiprocne comata	Aves	Apodiformes	Chromosome	20531774	True	ITPR1	found_no_annotation	cell	0	ITPR1	primary	CM036595.1	1594094	1761091	-	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	0.9899	1.0	2779	1	2779	2779	0	0	0	0.0	intact	1.0	0.3319	False	0		0.0	False	1		True	
GCA_020745705.1	Hemiprocne comata	Aves	Apodiformes	Chromosome	20531774	True	ITPR2	found_no_annotation	cell	0	ITPR2	primary	CM036586.1	74637542	74907438	-	A0A672UP22|ITPR2|Strigops_habroptila	0.9793	1.0	2700	1	2700	2700	1	0	1	0.3704	intact	1.0	0.3149	False	0		0.0	False	1		True	
GCA_020745705.1	Hemiprocne comata	Aves	Apodiformes	Chromosome	20531774	True	ITPR3	found_no_annotation	cell	0	ITPR3	primary	CM036610.1	3733306	3778594	+	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	0.9865	1.0	2664	1	2664	2664	3	0	3	1.1261	intact	1.0	0.3938	False	0		0.0	False	1		True	
GCA_020745705.1	Hemiprocne comata	Aves	Apodiformes	Chromosome	20531774	True	RYR	found_no_annotation	cell	0	RYR	primary	CM036588.1	34893152	35292351	+	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0.9837	1.0	4968	1	4968	4968	0	0	0	0.0	intact	1.0	1.0	False	0		0.0	False	1		True	
GCA_020745705.1	Hemiprocne comata	Aves	Apodiformes	Chromosome	20531774	True	RYR	found_no_annotation	cell	1	RYR	primary	CM036590.1	34422341	34654005	-	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.6729	1.0	5037	1	5037	5037	0	0	0	0.0	intact	1.0	1.0	False	0		0.0	False	1		True	
GCA_022829145.1	Albula goreensis	Actinopteri	Albuliformes	Chromosome	17514905	True	ITPR1	found_annotated	cell	0	vertebrate_basal	unresolved:vertebrate_basal	CM040752.1	21878282	21997885	-	A0A672IUQ7|ITPR1|Salarias_fasciatus	0.9123	1.0	2748	1	2748	2748	2	0	2	0.7278	intact	1.0	0.2606	False	0	AGOR_G00136570	1.0	False	1		True	
GCA_022829145.1	Albula goreensis	Actinopteri	Albuliformes	Chromosome	17514905	True	ITPR1	found_annotated	cell	1	vertebrate_basal	unresolved:vertebrate_basal	CM040754.1	22707866	22825293	+	A0A672IUQ7|ITPR1|Salarias_fasciatus	0.8959	1.0	2748	1	2748	2748	0	0	0	0.0	intact	1.0	0.2485	False	0	AGOR_G00158330	1.0	False	1		True	
GCA_022829145.1	Albula goreensis	Actinopteri	Albuliformes	Chromosome	17514905	True	ITPR2	found_annotated	cell	0	ITPR2	primary	CM040765.1	12442000	12537184	+	A0A672UP22|ITPR2|Strigops_habroptila	0.8055	1.0	2700	1	2700	2700	1	0	1	0.3704	intact	1.0	0.219	False	0	AGOR_G00248680	1.0	False	1		True	
GCA_022829145.1	Albula goreensis	Actinopteri	Albuliformes	Chromosome	17514905	True	ITPR3	found_annotated	cell	0	ITPR3	primary	CM040752.1	36425621	36484235	-	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	0.8328	1.0	2670	1	2670	2670	3	0	3	1.1236	intact	1.0	0.2523	False	0	AGOR_G00140750	0.655	False	1		True	
GCA_022829145.1	Albula goreensis	Actinopteri	Albuliformes	Chromosome	17514905	True	RYR	found_annotated	cell	2	RYR	primary	CM040742.1	34919547	35013503	+	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.8244	1.0	5037	1	5037	5037	0	0	0	0.0	intact	1.0	1.0	False	0	AGOR_G00027850	1.0	False	1		True	
GCA_022829145.1	Albula goreensis	Actinopteri	Albuliformes	Chromosome	17514905	True	RYR	found_annotated	cell	4	RYR	primary	CM040747.1	9691543	9773327	-	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.6607	1.0	5037	1	5037	5037	4	0	4	0.7941	intact	1.0	1.0	False	0	AGOR_G00081990	0.917	False	1		True	
GCA_022829145.1	Albula goreensis	Actinopteri	Albuliformes	Chromosome	17514905	True	RYR	found_annotated	cell	3	RYR	primary	CM040749.1	20095895	20222069	+	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0.6843	1.0	4968	1	4968	4968	0	0	0	0.0	intact	1.0	1.0	False	0	AGOR_G00106540	1.0	False	1		True	
GCA_022829145.1	Albula goreensis	Actinopteri	Albuliformes	Chromosome	17514905	True	RYR	found_annotated	cell	1	RYR	primary	CM040751.1	24611709	24704829	+	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.8273	1.0	5037	1	5037	5037	0	0	0	0.0	intact	1.0	1.0	False	0	AGOR_G00126200	1.0	False	1		True	
GCA_022829145.1	Albula goreensis	Actinopteri	Albuliformes	Chromosome	17514905	True	RYR	found_annotated	cell	0	RYR	primary	CM040759.1	16437064	16594011	-	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	0.9211	1.0	4961	1	4961	4961	1	0	1	0.2016	intact	1.0	1.0	False	0	AGOR_G00200940	1.0	False	1		True	
GCA_023764695.1	Pygathrix nigripes	Mammalia	Primates	Contig	14260291	True	ITPR1	found_no_annotation	cell	0	ITPR1	primary	JAKFHG010001683.1	27382676	27716057	+	Q14643|ITPR1|Homo_sapiens|ITPR1	0.9956	1.0	2758	1	2758	2758	1	0	1	0.3626	intact	1.0	0.3327	False	0		0.0	False	1		True	
GCA_023764695.1	Pygathrix nigripes	Mammalia	Primates	Contig	14260291	True	ITPR2	found_no_annotation	cell	0	ITPR2	primary	JAKFHG010002414.1	4762166	5264209	-	Q14571|ITPR2|Homo_sapiens|ITPR2	0.9907	1.0	2701	1	2701	2701	0	0	0	0.0	intact	1.0	0.3184	False	0		0.0	False	1		True	
GCA_023764695.1	Pygathrix nigripes	Mammalia	Primates	Contig	14260291	True	ITPR3	found_no_annotation	cell	0	ITPR3	primary	JAKFHG010000745.1	6393425	6667410	-	Q14573|ITPR3|Homo_sapiens|ITPR3	0.9731	1.0	2671	1	2671	2671	3	0	3	1.1232	intact	1.0	0.3938	False	0		0.0	False	1		True	
GCA_023764695.1	Pygathrix nigripes	Mammalia	Primates	Contig	14260291	True	RYR	found_no_annotation	cell	0	RYR	primary	JAKFHG010000439.1	10241512	11035618	-	Q92736|RYR2|Homo_sapiens|RYR2	0.9973	1.0	4967	1	4967	4967	2	0	2	0.4027	intact	1.0	1.0	False	0		0.0	False	1		True	
GCA_023764695.1	Pygathrix nigripes	Mammalia	Primates	Contig	14260291	True	RYR	found_no_annotation	cell	2	RYR	primary	JAKFHG010000719.1	752703	1324570	+	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	0.6679	1.0	4961	1	4961	4961	1	0	1	0.2016	intact	1.0	1.0	False	0		0.0	False	1		True	
GCA_023764695.1	Pygathrix nigripes	Mammalia	Primates	Contig	14260291	True	RYR	found_no_annotation	cell	1	RYR	primary	JAKFHG010003308.1	1255185	1421623	-	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.741	1.0	5037	1	5037	5037	27	1	28	5.5589	lesion_rich	1.0	1.0	False	0		0.0	False	1		True	
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	Perciformes	Chromosome	1500626	True	ITPR1	found_annotated	cell	0	ITPR1	primary	CM043789.1	23300234	23365372	+	A0A672IUQ7|ITPR1|Salarias_fasciatus	0.9363	1.0	2748	1	2748	2748	9	0	9	3.2751	lesion_rich	1.0	0.2909	False	0	KUCAC02_030453	0.513	False	1		True	
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	Perciformes	Chromosome	1500626	True	ITPR1	found_annotated	cell	1	vertebrate_basal	unresolved:vertebrate_basal	CM043789.1	39026518	39154347	-	A0A672IUQ7|ITPR1|Salarias_fasciatus	0.8566	1.0	2748	1	2748	2748	0	0	0	0.0	intact	1.0	0.225	False	0	KUCAC02_030490	0.645	False	1		True	
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	Perciformes	Chromosome	1500626	True	ITPR2	found_annotated	cell	0	ITPR2	primary	CM043790.1	21534207	21592699	-	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	0.8615	1.0	2701	1	2701	2701	3	0	3	1.1107	intact	1.0	0.288	False	0	KUCAC02_021225	0.74	False	1		True	
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	Perciformes	Chromosome	1500626	True	ITPR3	fragment	cell	0	ITPR3	primary	JAMFTG010000131.1	71109	106667	+	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	0.8689	0.6933	1851	820	2670	2670	0	0	0	0.0	intact	1.0	1.0	False	0	KUCAC02_020530	1.0	False	1		True	
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	Perciformes	Chromosome	1500626	True	RYR	found_unannotated	cell	2	RYR	primary	CM043797.1	4456321	4585881	+	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.7945	1.0	5037	1	5037	5037	9	0	9	1.7868	lesion_rich	1.0	1.0	False	0	KUCAC02_005149	0.556	False	1		True	
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	Perciformes	Chromosome	1500626	True	RYR	found_unannotated	cell	1	RYR	primary	CM043798.1	27895918	27949157	+	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.7886	1.0	5037	1	5037	5037	0	0	0	0.0	intact	1.0	1.0	False	0	KUCAC02_003163	0.989	False	1		True	
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	Perciformes	Chromosome	1500626	True	RYR	found_unannotated	cell	3	RYR	primary	CM043799.1	17635115	17771875	+	Q92736|RYR2|Homo_sapiens|RYR2	0.6687	1.0	4967	1	4967	4967	10	0	10	2.0133	lesion_rich	1.0	1.0	False	0	KUCAC02_025721	0.604	False	1		True	
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	Perciformes	Chromosome	1500626	True	RYR	found_unannotated	cell	5	RYR	primary	CM043806.1	27459891	27545295	-	Q92736|RYR2|Homo_sapiens|RYR2	0.6388	1.0	4967	1	4967	4967	17	0	17	3.4226	lesion_rich	1.0	1.0	False	0	KUCAC02_023889	0.925	False	1		True	
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	Perciformes	Chromosome	1500626	True	RYR	found_unannotated	cell	4	RYR	primary	CM043808.1	28620203	28748116	-	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal	0.6363	0.9972	4968	15	4982	4982	16	1	17	3.4219	lesion_rich	1.0	1.0	False	0	KUCAC02_019985	0.985	False	1		True	
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	Perciformes	Chromosome	1500626	True	RYR	found_unannotated	cell	0	RYR	primary	JAMFTG010000034.1	5122522	5429460	+	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	0.8541	1.0	4961	1	4961	4961	25	0	25	5.0393	lesion_rich	1.0	1.0	False	0		0.0	False	1		True	
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	Gadiformes	Chromosome	636888	True	ITPR1	found_annotated	cell	0	ITPR1	primary	CM051002.1	10936378	11012142	+	A0A672IUQ7|ITPR1|Salarias_fasciatus	0.9279	1.0	2748	1	2748	2748	1	0	1	0.3639	intact	1.0	0.2908	False	0	NHX12_030004	0.636	False	1		True	
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	Gadiformes	Chromosome	636888	True	ITPR1	found_annotated	cell	1	vertebrate_basal	unresolved:vertebrate_basal	CM051002.1	17934113	18076709	+	A0A672IUQ7|ITPR1|Salarias_fasciatus	0.842	1.0	2748	1	2748	2748	0	0	0	0.0	intact	1.0	0.2133	False	0		0.0	False	1		True	
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	Gadiformes	Chromosome	636888	True	ITPR2	found_annotated	cell	0	ITPR2	primary	CM051010.1	6378630	6472399	+	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	0.8234	1.0	2701	1	2701	2701	0	0	0	0.0	intact	1.0	0.2606	False	1000	NHX12_002558	0.523	False	1		True	
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	Gadiformes	Chromosome	636888	True	ITPR3	found_annotated	cell	0	ITPR3	primary	CM051007.1	4725229	4810564	+	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	0.8403	1.0	2670	1	2670	2670	0	0	0	0.0	intact	1.0	0.2715	False	0	NHX12_023974	0.553	False	1		True	
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	Gadiformes	Chromosome	636888	True	RYR	found_annotated	cell	2	RYR	primary	CM050999.1	9470430	9575121	+	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.8023	1.0	5037	1	5037	5037	0	0	0	0.0	intact	1.0	1.0	False	0	NHX12_008210	0.746	False	1		True	
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	Gadiformes	Chromosome	636888	True	RYR	found_annotated	cell	1	RYR	primary	CM050999.1	39319098	39389884	-	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.7978	1.0	5037	1	5037	5037	0	0	0	0.0	intact	1.0	1.0	False	0	NHX12_009262	0.792	False	1		True	
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	Gadiformes	Chromosome	636888	True	RYR	found_annotated	cell	0	RYR	primary	CM051014.1	21631775	21768678	-	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	0.8583	1.0	4961	1	4961	4961	1	0	1	0.2016	intact	1.0	1.0	False	0	NHX12_024470	0.546	False	1		True	
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	Gadiformes	Chromosome	636888	True	RYR	found_annotated	cell	3	RYR	primary	CM051016.1	22949944	23080470	+	Q92736|RYR2|Homo_sapiens|RYR2	0.6713	1.0	4967	1	4967	4967	0	1	1	0.2013	intact	1.0	1.0	False	0		0.0	False	1		True	
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	Gadiformes	Chromosome	636888	True	RYR	found_annotated	cell	5	RYR	primary	CM051018.1	1005149	1080332	-	A0AAJ7XD62|LOC116953891|Petromyzon_marinus|vertebrate_basal	0.5454	1.0	5168	1	5168	5168	3	0	3	0.5805	intact	1.0	1.0	False	0	NHX12_022681	1.0	False	1		True	
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	Gadiformes	Chromosome	636888	True	RYR	found_annotated	cell	4	RYR	primary	CM051019.1	1170263	1296383	+	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal	0.6443	1.0	4982	1	4982	4982	0	0	0	0.0	intact	1.0	1.0	False	0	NHX12_025855	0.636	False	1		True	
GCA_028571685.1	Heterohyrax brucei	Mammalia	Hyracoidea	Chromosome	78495281	True	ITPR1	found_annotated	cell	0	ITPR1	primary	CM053158.1	40657535	41036590	-	Q14643|ITPR1|Homo_sapiens|ITPR1	0.9837	1.0	2758	1	2758	2758	0	0	0	0.0	intact	1.0	0.3221	False	0	ITPR1	1.0	True	1		True	
GCA_028571685.1	Heterohyrax brucei	Mammalia	Hyracoidea	Chromosome	78495281	True	ITPR2	found_annotated	cell	0	ITPR2	primary	CM053142.1	90019631	90563786	-	Q14571|ITPR2|Homo_sapiens|ITPR2	0.9722	1.0	2701	1	2701	2701	0	0	0	0.0	intact	1.0	0.3597	False	0	ITPR2	1.0	True	1		True	
GCA_028571685.1	Heterohyrax brucei	Mammalia	Hyracoidea	Chromosome	78495281	True	ITPR3	found_annotated	cell	0	ITPR3	primary	CM053144.1	52688271	52927405	+	Q14573|ITPR3|Homo_sapiens|ITPR3	0.9708	1.0	2671	1	2671	2671	0	0	0	0.0	intact	1.0	0.3805	False	0	ITPR3	1.0	True	1		True	
GCA_028571685.1	Heterohyrax brucei	Mammalia	Hyracoidea	Chromosome	78495281	True	RYR	found_annotated	cell	2	RYR	primary	CM053151.1	31701161	32421882	+	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.671	1.0	5037	1	5037	5037	2	0	2	0.3971	intact	1.0	1.0	False	0	RYR3	0.997	True	1		True	
GCA_028571685.1	Heterohyrax brucei	Mammalia	Hyracoidea	Chromosome	78495281	True	RYR	found_annotated	cell	1	RYR	primary	CM053152.1	115304135	115443234	-	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.7865	1.0	5037	1	5037	5037	0	0	0	0.0	intact	1.0	1.0	False	0	RYR1	1.0	True	1		True	
GCA_028571685.1	Heterohyrax brucei	Mammalia	Hyracoidea	Chromosome	78495281	True	RYR	found_annotated	cell	0	RYR	primary	CM053155.1	72769510	73529839	+	Q92736|RYR2|Homo_sapiens|RYR2	0.9797	1.0	4967	1	4967	4967	0	0	0	0.0	intact	1.0	1.0	False	0	RYR2	0.997	True	1		True	
GCA_029706075.1	Aldrovandia affinis	Actinopteri	Notacanthiformes	Scaffold	2000165	True	ITPR1	found_annotated	cell	0	vertebrate_basal	unresolved:vertebrate_basal	JAINUG010000031.1	6749355	6889501	-	A0A672IUQ7|ITPR1|Salarias_fasciatus	0.892	1.0	2748	1	2748	2748	0	1	1	0.3639	intact	1.0	0.2533	False	0	AAFF_G00235840	1.0	False	1		True	
GCA_029706075.1	Aldrovandia affinis	Actinopteri	Notacanthiformes	Scaffold	2000165	True	ITPR1	found_annotated	cell	1	vertebrate_basal	unresolved:vertebrate_basal	JAINUG010000036.1	4880415	5041120	+	A0A672IUQ7|ITPR1|Salarias_fasciatus	0.8942	1.0	2748	1	2748	2748	1	0	1	0.3639	intact	1.0	0.2585	False	0	AAFF_G00263920	1.0	False	1		True	
GCA_029706075.1	Aldrovandia affinis	Actinopteri	Notacanthiformes	Scaffold	2000165	True	ITPR2	found_annotated	cell	0	ITPR2	primary	JAINUG010000023.1	4888108	5028123	+	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	0.7976	1.0	2701	1	2701	2701	1	0	1	0.3702	intact	1.0	0.2167	False	0	AAFF_G00173100	0.97	False	1		True	
GCA_029706075.1	Aldrovandia affinis	Actinopteri	Notacanthiformes	Scaffold	2000165	True	ITPR3	found_annotated	cell	0	ITPR3	primary	JAINUG010000229.1	195116	275382	+	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	0.8241	1.0	2670	1	2670	2670	4	0	4	1.4981	intact	1.0	0.2498	False	0	AAFF_G00170730	1.0	False	1		True	
GCA_029706075.1	Aldrovandia affinis	Actinopteri	Notacanthiformes	Scaffold	2000165	True	RYR	found_unannotated	cell	0	RYR	primary	JAINUG010000051.1	14896	203401	-	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	0.9115	1.0	4961	1	4961	4961	7	0	7	1.411	intact	1.0	1.0	False	0		0.0	False	1		True	
GCA_029706075.1	Aldrovandia affinis	Actinopteri	Notacanthiformes	Scaffold	2000165	True	RYR	found_unannotated	cell	1	RYR	primary	JAINUG010000065.1	804474	911707	+	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.8107	1.0	5037	1	5037	5037	2	0	2	0.3971	intact	1.0	1.0	False	0	AAFF_G00370470	1.0	False	1		True	
GCA_029706075.1	Aldrovandia affinis	Actinopteri	Notacanthiformes	Scaffold	2000165	True	RYR	found_unannotated	cell	3	RYR	primary	JAINUG010000085.1	1307572	1461305	-	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0.6776	1.0	4968	1	4968	4968	3	0	3	0.6039	intact	1.0	1.0	False	0	AAFF_G00414720	1.0	False	1		True	
GCA_029706075.1	Aldrovandia affinis	Actinopteri	Notacanthiformes	Scaffold	2000165	True	RYR	found_unannotated	cell	4	RYR	primary	JAINUG010000136.1	1480661	1583084	+	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.6571	1.0	5037	1	5037	5037	1	0	1	0.1985	intact	1.0	1.0	False	0	AAFF_G00059960	0.955	False	1		True	
GCA_029706075.1	Aldrovandia affinis	Actinopteri	Notacanthiformes	Scaffold	2000165	True	RYR	found_unannotated	cell	2	RYR	primary	JAINUG010000546.1	2052	162640	-	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.8064	1.0	5037	1	5037	5037	10	0	10	1.9853	lesion_rich	1.0	1.0	True	0		0.0	False	1		True	
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	Perciformes	Chromosome	4228958	True	ITPR1	found_unannotated	cell	1	vertebrate_basal	unresolved:vertebrate_basal	CM062265.1	10215838	10320589	+	A0A672IUQ7|ITPR1|Salarias_fasciatus	0.8538	1.0	2748	1	2748	2748	6	0	6	2.1834	lesion_rich	1.0	0.2288	False	0		0.0	False	1		True	
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	Perciformes	Chromosome	4228958	True	ITPR1	found_unannotated	cell	0	ITPR1	primary	CM062265.1	23122254	23184229	-	A0A672IUQ7|ITPR1|Salarias_fasciatus	0.9535	1.0	2748	1	2748	2748	4	0	4	1.4556	intact	1.0	0.2959	False	0		0.0	False	1		True	
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	Perciformes	Chromosome	4228958	True	ITPR2	found_unannotated	cell	0	ITPR2	primary	CM062273.1	21940942	21999811	+	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	0.863	1.0	2701	1	2701	2701	1	0	1	0.3702	intact	1.0	0.289	False	0		0.0	False	1		True	
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	Perciformes	Chromosome	4228958	True	ITPR3	found_unannotated	cell	0	ITPR3	primary	CM062267.1	8174094	8242096	-	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	0.8884	1.0	2670	1	2670	2670	2	0	2	0.7491	intact	1.0	0.2982	False	0		0.0	False	1		True	
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	Perciformes	Chromosome	4228958	True	RYR	found_annotated	cell	1	RYR	primary	CM062268.1	4334554	4461285	+	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.7984	1.0	5037	1	5037	5037	2	0	2	0.3971	intact	1.0	1.0	False	0		0.0	False	1		True	
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	Perciformes	Chromosome	4228958	True	RYR	found_annotated	cell	3	RYR	primary	CM062275.1	16223837	16338903	+	Q92736|RYR2|Homo_sapiens|RYR2	0.6726	1.0	4967	1	4967	4967	3	0	3	0.604	intact	1.0	1.0	False	0		0.0	False	1		True	
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	Perciformes	Chromosome	4228958	True	RYR	found_annotated	cell	5	RYR	primary	CM062278.1	21247394	21337828	-	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	0.6439	1.0	4968	1	4968	4968	2	0	2	0.4026	intact	1.0	1.0	False	0	KUDE01_013069	1.0	False	1		True	
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	Perciformes	Chromosome	4228958	True	RYR	found_annotated	cell	2	RYR	primary	CM062279.1	21300722	21355620	+	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	0.7884	1.0	5037	1	5037	5037	7	0	7	1.3897	intact	1.0	1.0	False	0	KUDE01_023636	0.779	False	1		True	
