accession	organism	vclass	vorder	pair	pair_class	n_mapped_a	n_mapped_b	n_links	n_links_2R	n_families	link_symbols
GCA_013397465.1	Furnarius figulus	Aves	Passeriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	12	8	1	0	1	BHLHE40-BHLHE41
GCA_013397465.1	Furnarius figulus	Aves	Passeriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	12	18	0	0	0	
GCA_013397465.1	Furnarius figulus	Aves	Passeriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	8	18	0	0	0	
GCF_902167405.1	Gadus morhua	Actinopteri	Gadiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	22	9	1	0	1	BHLHE40-BHLHE41
GCF_902167405.1	Gadus morhua	Actinopteri	Gadiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	22	11	0	0	0	
GCF_902167405.1	Gadus morhua	Actinopteri	Gadiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	9	11	0	0	0	
GCF_964237585.1	Gallinula chloropus	Aves	Gruiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	19	1	0	1	BHLHE40-BHLHE41
GCF_964237585.1	Gallinula chloropus	Aves	Gruiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	17	1	1	1	GRM7-GRM4
GCF_964237585.1	Gallinula chloropus	Aves	Gruiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	17	0	0	0	
GCF_016699485.2	Gallus gallus	Aves	Galliformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	19	15	1	0	1	BHLHE40-BHLHE41
GCF_016699485.2	Gallus gallus	Aves	Galliformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	19	15	1	1	1	GRM7-GRM4
GCF_016699485.2	Gallus gallus	Aves	Galliformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	15	15	0	0	0	
GCF_019740435.1	Gambusia affinis	Actinopteri	Cyprinodontiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	12	11	0	0	0	
GCF_030936135.1	Gavia stellata	Aves	Gaviiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	18	0	0	0	
GCF_030936135.1	Gavia stellata	Aves	Gaviiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	19	1	1	1	GRM7-GRM4
GCF_030936135.1	Gavia stellata	Aves	Gaviiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	18	19	0	0	0	
GCF_046128005.1	Genypterus blacodes	Actinopteri	Ophidiiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	19	14	1	0	1	BHLHE40-BHLHE41
GCF_054371585.1	Giraffa tippelskirchi	Mammalia	Artiodactyla	ITPR1_vs_ITPR2	ITPR_vs_ITPR	14	17	1	0	1	BHLHE40-BHLHE41
GCF_054371585.1	Giraffa tippelskirchi	Mammalia	Artiodactyla	ITPR1_vs_ITPR3	ITPR_vs_ITPR	14	18	1	1	1	GRM7-GRM4
GCF_054371585.1	Giraffa tippelskirchi	Mammalia	Artiodactyla	ITPR2_vs_ITPR3	ITPR_vs_ITPR	17	18	0	0	0	
GCF_951799975.1	Gobius niger	Actinopteri	Gobiiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	20	14	1	0	1	BHLHE40-BHLHE41
GCF_951799975.1	Gobius niger	Actinopteri	Gobiiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	20	8	0	0	0	
GCF_951799975.1	Gobius niger	Actinopteri	Gobiiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	14	8	0	0	0	
GCF_025201925.1	Gopherus flavomarginatus	Testudines	Testudines	ITPR1_vs_ITPR2	ITPR_vs_ITPR	13	18	0	0	0	
GCF_025201925.1	Gopherus flavomarginatus	Testudines	Testudines	ITPR1_vs_ITPR3	ITPR_vs_ITPR	13	14	1	1	1	GRM7-GRM4
GCF_025201925.1	Gopherus flavomarginatus	Testudines	Testudines	ITPR2_vs_ITPR3	ITPR_vs_ITPR	18	14	0	0	0	
GCF_900634775.2	Gouania willdenowi	Actinopteri	Blenniiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	18	11	0	0	0	
GCF_900634775.2	Gouania willdenowi	Actinopteri	Blenniiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	18	10	0	0	0	
GCF_900634775.2	Gouania willdenowi	Actinopteri	Blenniiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	11	10	0	0	0	
GCF_016433145.1	Gracilinanus agilis	Mammalia	Didelphimorphia	ITPR1_vs_ITPR2	ITPR_vs_ITPR	15	18	0	0	0	
GCF_016433145.1	Gracilinanus agilis	Mammalia	Didelphimorphia	ITPR1_vs_ITPR3	ITPR_vs_ITPR	15	17	1	1	1	GRM7-GRM4
GCF_016433145.1	Gracilinanus agilis	Mammalia	Didelphimorphia	ITPR2_vs_ITPR3	ITPR_vs_ITPR	18	17	0	0	0	
GCA_013397955.1	Grantiella picta	Aves	Passeriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	9	11	1	0	1	BHLHE40-BHLHE41
GCF_018139145.2	Gymnogyps californianus	Aves	Accipitriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	17	18	1	0	1	BHLHE40-BHLHE41
GCF_018139145.2	Gymnogyps californianus	Aves	Accipitriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	16	1	1	1	GRM7-GRM4
GCF_018139145.2	Gymnogyps californianus	Aves	Accipitriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	18	16	0	0	0	
GCF_947461875.1	Haliaeetus albicilla	Aves	Accipitriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	17	20	1	0	1	BHLHE40-BHLHE41
GCF_947461875.1	Haliaeetus albicilla	Aves	Accipitriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	17	1	1	1	GRM7-GRM4
GCF_947461875.1	Haliaeetus albicilla	Aves	Accipitriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	20	17	0	0	0	
GCF_027244095.1	Hemicordylus capensis	Lepidosauria	Squamata	ITPR1_vs_ITPR2	ITPR_vs_ITPR	12	17	1	0	1	BHLHE40-BHLHE41
GCF_027244095.1	Hemicordylus capensis	Lepidosauria	Squamata	ITPR1_vs_ITPR3	ITPR_vs_ITPR	12	16	1	1	1	GRM7-GRM4
GCF_027244095.1	Hemicordylus capensis	Lepidosauria	Squamata	ITPR2_vs_ITPR3	ITPR_vs_ITPR	17	16	1	1	1	STK38L-STK38
GCF_048418815.1	Hemitrygon akajei	Chondrichthyes	Myliobatiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	13	10	1	0	1	BHLHE40-BHLHE41
GCF_035084215.1	Heptranchias perlo	Chondrichthyes	Hexanchiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	10	10	1	0	1	BHLHE40-BHLHE41
GCF_035084215.1	Heptranchias perlo	Chondrichthyes	Hexanchiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	10	5	1	0	1	ARL8B-ARL8A
GCF_035084215.1	Heptranchias perlo	Chondrichthyes	Hexanchiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	10	5	0	0	0	
GCF_036365525.1	Heterodontus francisci	Chondrichthyes	Heterodontiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	11	10	1	0	1	BHLHE40-BHLHE41
GCA_028571685.1	Heterohyrax brucei	Mammalia	Hyracoidea	ITPR1_vs_ITPR2	ITPR_vs_ITPR	19	19	1	0	1	BHLHE40-BHLHE41
GCA_028571685.1	Heterohyrax brucei	Mammalia	Hyracoidea	ITPR1_vs_ITPR3	ITPR_vs_ITPR	19	18	1	1	1	GRM7-GRM4
GCA_028571685.1	Heterohyrax brucei	Mammalia	Hyracoidea	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	18	0	0	0	
GCA_056783565.1	Hiodon alosoides	Actinopteri	Hiodontiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	19	12	0	0	0	
GCA_056783565.1	Hiodon alosoides	Actinopteri	Hiodontiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	19	7	0	0	0	
GCA_056783565.1	Hiodon alosoides	Actinopteri	Hiodontiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	12	7	0	0	0	
GCF_000001405.40	Homo sapiens	Mammalia	Primates	ITPR1_vs_ITPR2	ITPR_vs_ITPR	19	19	1	0	1	BHLHE40-BHLHE41
GCF_000001405.40	Homo sapiens	Mammalia	Primates	ITPR1_vs_ITPR3	ITPR_vs_ITPR	19	19	1	1	1	GRM7-GRM4
GCF_000001405.40	Homo sapiens	Mammalia	Primates	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	19	0	0	0	
GCF_029633855.1	Hoplias malabaricus	Actinopteri	Characiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	23	15	1	0	1	BHLHE40-BHLHE41
GCF_029633855.1	Hoplias malabaricus	Actinopteri	Characiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	23	7	0	0	0	
GCF_029633855.1	Hoplias malabaricus	Actinopteri	Characiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	15	7	0	0	0	
GCF_054491055.1	Hypomesus nipponensis	Actinopteri	Osmeriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	21	13	1	0	1	BHLHE40-BHLHE41
GCF_054491055.1	Hypomesus nipponensis	Actinopteri	Osmeriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	21	5	0	0	0	
GCF_054491055.1	Hypomesus nipponensis	Actinopteri	Osmeriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	13	5	0	0	0	
GCF_029633865.1	Lampris incognitus	Actinopteri	Lampriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	17	11	1	0	1	BHLHE40-BHLHE41
GCF_029633865.1	Lampris incognitus	Actinopteri	Lampriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	6	0	0	0	
GCF_029633865.1	Lampris incognitus	Actinopteri	Lampriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	11	6	0	0	0	
GCF_964417175.1	Larus argentatus	Aves	Charadriiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	15	18	1	0	1	BHLHE40-BHLHE41
GCF_964417175.1	Larus argentatus	Aves	Charadriiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	15	16	1	1	1	GRM7-GRM4
GCF_964417175.1	Larus argentatus	Aves	Charadriiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	18	16	0	0	0	
GCF_037157495.1	Lathamus discolor	Aves	Psittaciformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	17	18	1	0	1	BHLHE40-BHLHE41
GCF_037157495.1	Lathamus discolor	Aves	Psittaciformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	16	1	1	1	GRM7-GRM4
GCF_037157495.1	Lathamus discolor	Aves	Psittaciformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	18	16	0	0	0	
GCF_037176945.1	Latimeria chalumnae	Coelacanthimorpha	Coelacanthiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	9	11	1	0	1	BHLHE40-BHLHE41
GCF_037176945.1	Latimeria chalumnae	Coelacanthimorpha	Coelacanthiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	9	5	0	0	0	
GCF_037176945.1	Latimeria chalumnae	Coelacanthimorpha	Coelacanthiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	11	5	0	0	0	
GCA_013400445.1	Leiothrix lutea	Aves	Passeriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	7	6	0	0	0	
GCF_040954835.1	Lepisosteus oculatus	Actinopteri	Semionotiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	14	10	1	0	1	BHLHE40-BHLHE41
GCF_040954835.1	Lepisosteus oculatus	Actinopteri	Semionotiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	14	5	1	0	1	ARL8B-ARL8A
GCF_040954835.1	Lepisosteus oculatus	Actinopteri	Semionotiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	10	5	0	0	0	
GCF_034619465.1	Leptosomus discolor	Aves	Leptosomiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	17	19	1	0	1	BHLHE40-BHLHE41
GCF_034619465.1	Leptosomus discolor	Aves	Leptosomiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	17	1	1	1	GRM7-GRM4
GCF_034619465.1	Leptosomus discolor	Aves	Leptosomiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	17	0	0	0	
GCF_964261635.1	Lissotriton helveticus	Amphibia	Caudata	ITPR1_vs_ITPR2	ITPR_vs_ITPR	9	17	1	0	1	BHLHE40-BHLHE41
GCF_964261635.1	Lissotriton helveticus	Amphibia	Caudata	ITPR1_vs_ITPR3	ITPR_vs_ITPR	9	14	1	1	1	GRM7-GRM4
GCF_964261635.1	Lissotriton helveticus	Amphibia	Caudata	ITPR2_vs_ITPR3	ITPR_vs_ITPR	17	14	0	0	0	
GCA_013398455.1	Loxia curvirostra	Aves	Passeriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	12	10	1	0	1	BHLHE40-BHLHE41
GCA_013398455.1	Loxia curvirostra	Aves	Passeriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	12	18	0	0	0	
GCA_013398455.1	Loxia curvirostra	Aves	Passeriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	10	18	0	0	0	
GCF_056507025.1	Lutjanus erythropterus	Actinopteri	Lutjaniformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	18	13	1	0	1	BHLHE40-BHLHE41
GCF_056507025.1	Lutjanus erythropterus	Actinopteri	Lutjaniformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	18	7	0	0	0	
GCF_056507025.1	Lutjanus erythropterus	Actinopteri	Lutjaniformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	13	7	0	0	0	
GCF_049350105.2	Macaca mulatta	Mammalia	Primates	ITPR1_vs_ITPR2	ITPR_vs_ITPR	19	17	1	0	1	BHLHE40-BHLHE41
GCF_049350105.2	Macaca mulatta	Mammalia	Primates	ITPR1_vs_ITPR3	ITPR_vs_ITPR	19	17	1	1	1	GRM7-GRM4
GCF_049350105.2	Macaca mulatta	Mammalia	Primates	ITPR2_vs_ITPR3	ITPR_vs_ITPR	17	17	0	0	0	
GCF_037893015.1	Macrotis lagotis	Mammalia	Peramelemorphia	ITPR1_vs_ITPR2	ITPR_vs_ITPR	14	19	0	0	0	
GCF_037893015.1	Macrotis lagotis	Mammalia	Peramelemorphia	ITPR1_vs_ITPR3	ITPR_vs_ITPR	14	18	1	1	1	GRM7-GRM4
GCF_037893015.1	Macrotis lagotis	Mammalia	Peramelemorphia	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	18	0	0	0	
GCF_001715985.3	Manacus vitellinus	Aves	Passeriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	16	0	0	0	
GCF_001715985.3	Manacus vitellinus	Aves	Passeriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	14	0	0	0	
GCF_001715985.3	Manacus vitellinus	Aves	Passeriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	16	14	0	0	0	
GCF_030020395.1	Manis pentadactyla	Mammalia	Pholidota	ITPR1_vs_ITPR2	ITPR_vs_ITPR	18	18	1	0	1	BHLHE40-BHLHE41
GCF_030020395.1	Manis pentadactyla	Mammalia	Pholidota	ITPR1_vs_ITPR3	ITPR_vs_ITPR	18	18	1	1	1	GRM7-GRM4
GCF_030020395.1	Manis pentadactyla	Mammalia	Pholidota	ITPR2_vs_ITPR3	ITPR_vs_ITPR	18	18	0	0	0	
GCF_900324485.3	Mastacembelus armatus	Actinopteri	Synbranchiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	19	14	1	0	1	BHLHE40-BHLHE41
GCF_900324485.3	Mastacembelus armatus	Actinopteri	Synbranchiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	19	5	0	0	0	
GCF_900324485.3	Mastacembelus armatus	Actinopteri	Synbranchiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	14	5	0	0	0	
GCF_013368585.1	Megalops cyprinoides	Actinopteri	Elopiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	15	6	1	0	1	BHLHE40-BHLHE41
GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	14	12	1	0	1	BHLHE40-BHLHE41
GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	14	16	0	0	0	
GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	12	16	0	0	0	
GCF_963457635.1	Microchirus variegatus	Actinopteri	Pleuronectiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	20	13	1	0	1	BHLHE40-BHLHE41
GCF_963457635.1	Microchirus variegatus	Actinopteri	Pleuronectiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	20	7	0	0	0	
GCF_963457635.1	Microchirus variegatus	Actinopteri	Pleuronectiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	13	7	0	0	0	
GCF_021292245.1	Micropterus dolomieu	Actinopteri	Centrarchiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	11	1	0	1	BHLHE40-BHLHE41
GCF_000001635.27	Mus musculus	Mammalia	Rodentia	ITPR1_vs_ITPR2	ITPR_vs_ITPR	18	18	1	0	1	BHLHE40-BHLHE41
GCF_000001635.27	Mus musculus	Mammalia	Rodentia	ITPR1_vs_ITPR3	ITPR_vs_ITPR	18	19	1	1	1	GRM7-GRM4
GCF_000001635.27	Mus musculus	Mammalia	Rodentia	ITPR2_vs_ITPR3	ITPR_vs_ITPR	18	19	0	0	0	
GCF_035582795.1	Mycteria americana	Aves	Ciconiiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	17	19	1	0	1	BHLHE40-BHLHE41
GCF_035582795.1	Mycteria americana	Aves	Ciconiiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	17	1	1	1	GRM7-GRM4
GCF_035582795.1	Mycteria americana	Aves	Ciconiiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	17	0	0	0	
GCA_013397015.1	Myiagra hebetior	Aves	Passeriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	9	8	1	0	1	BHLHE40-BHLHE41
GCA_013397015.1	Myiagra hebetior	Aves	Passeriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	9	11	0	0	0	
GCA_013397015.1	Myiagra hebetior	Aves	Passeriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	8	11	0	0	0	
GCF_902150065.1	Myripristis murdjan	Actinopteri	Holocentriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	19	14	1	0	1	BHLHE40-BHLHE41
GCF_963921795.1	Nannobrachium achirus	Actinopteri	Myctophiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	22	15	1	0	1	BHLHE40-BHLHE41
GCF_963921795.1	Nannobrachium achirus	Actinopteri	Myctophiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	22	7	0	0	0	
GCF_963921795.1	Nannobrachium achirus	Actinopteri	Myctophiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	15	7	0	0	0	
GCF_963989245.1	Nansenia antarctica	Actinopteri	Argentiniformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	14	1	0	1	BHLHE40-BHLHE41
GCF_963989245.1	Nansenia antarctica	Actinopteri	Argentiniformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	6	0	0	0	
GCF_963989245.1	Nansenia antarctica	Actinopteri	Argentiniformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	14	6	0	0	0	
GCF_036971445.1	Narcine bancroftii	Chondrichthyes	Torpediniformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	10	10	1	1	1	PLXND1-PLXNC1
GCF_027579695.1	Neoarius graeffei	Actinopteri	Siluriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	15	0	0	0	
GCF_027579695.1	Neoarius graeffei	Actinopteri	Siluriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	11	0	0	0	
GCF_027579695.1	Neoarius graeffei	Actinopteri	Siluriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	15	11	0	0	0	
GCF_020171115.1	Neogale vison	Mammalia	Carnivora	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	18	0	0	0	
GCF_020171115.1	Neogale vison	Mammalia	Carnivora	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	17	1	1	1	GRM7-GRM4
GCF_020171115.1	Neogale vison	Mammalia	Carnivora	ITPR2_vs_ITPR3	ITPR_vs_ITPR	18	17	0	0	0	
GCA_014281875.1	Nibea albiflora	Actinopteri		ITPR1_vs_ITPR2	ITPR_vs_ITPR	18	9	1	0	1	RARB-NR1H4
GCA_014281875.1	Nibea albiflora	Actinopteri		ITPR1_vs_ITPR3	ITPR_vs_ITPR	18	7	0	0	0	
GCA_014281875.1	Nibea albiflora	Actinopteri		ITPR2_vs_ITPR3	ITPR_vs_ITPR	9	7	0	0	0	
GCF_047370975.1	Nipponia nippon	Aves	Pelecaniformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	19	1	0	1	BHLHE40-BHLHE41
GCF_047370975.1	Nipponia nippon	Aves	Pelecaniformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	14	1	1	1	GRM7-GRM4
GCF_047370975.1	Nipponia nippon	Aves	Pelecaniformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	14	0	0	0	
GCF_028372415.1	Notamacropus eugenii	Mammalia	Diprotodontia	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	19	1	0	1	BHLHE40-BHLHE41
GCF_028372415.1	Notamacropus eugenii	Mammalia	Diprotodontia	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	19	1	1	1	GRM7-GRM4
GCF_028372415.1	Notamacropus eugenii	Mammalia	Diprotodontia	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	19	0	0	0	
GCF_043380555.1	Nothobranchius furzeri	Actinopteri	Cyprinodontiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	14	1	0	1	BHLHE40-BHLHE41
GCF_043380555.1	Nothobranchius furzeri	Actinopteri	Cyprinodontiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	5	0	0	0	
GCF_043380555.1	Nothobranchius furzeri	Actinopteri	Cyprinodontiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	14	5	0	0	0	
GCF_003342845.1	Nothoprocta perdicaria	Aves	Tinamiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	18	6	1	0	1	BHLHE40-BHLHE41
GCF_003342845.1	Nothoprocta perdicaria	Aves	Tinamiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	18	15	1	1	1	GRM7-GRM4
GCF_003342845.1	Nothoprocta perdicaria	Aves	Tinamiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	6	15	0	0	0	
GCF_949606895.1	Notothenia rossii	Actinopteri	Perciformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	6	13	0	0	0	
GCF_013368605.1	Nyctibius grandis	Aves	Nyctibiiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	18	19	0	0	0	
GCF_013368605.1	Nyctibius grandis	Aves	Nyctibiiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	18	16	1	1	1	GRM7-GRM4
GCF_013368605.1	Nyctibius grandis	Aves	Nyctibiiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	16	0	0	0	
GCA_013399395.1	Nyctiprogne leucopyga	Aves	Caprimulgiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	5	7	0	0	0	
GCF_030867145.1	Opisthocomus hoazin	Aves	Opisthocomiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	16	19	1	0	1	BHLHE40-BHLHE41
GCF_030867145.1	Opisthocomus hoazin	Aves	Opisthocomiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	16	19	1	1	1	GRM7-GRM4
GCF_030867145.1	Opisthocomus hoazin	Aves	Opisthocomiformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	19	0	0	0	
GCA_013397895.1	Origma solitaria	Aves	Passeriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	8	8	0	0	0	
GCA_013397895.1	Origma solitaria	Aves	Passeriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	8	15	0	0	0	
GCA_013397895.1	Origma solitaria	Aves	Passeriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	8	15	0	0	0	
GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	Monotremata	ITPR1_vs_ITPR2	ITPR_vs_ITPR	17	19	1	0	1	BHLHE40-BHLHE41
GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	Monotremata	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	19	1	1	1	GRM7-GRM4
GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	Monotremata	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	19	0	0	0	
GCF_000298275.1	Orycteropus afer afer	Mammalia	Tubulidentata	ITPR2_vs_ITPR3	ITPR_vs_ITPR	16	17	0	0	0	
GCF_964237555.1	Oryctolagus cuniculus	Mammalia	Lagomorpha	ITPR1_vs_ITPR2	ITPR_vs_ITPR	17	17	1	0	1	BHLHE40-BHLHE41
GCF_964237555.1	Oryctolagus cuniculus	Mammalia	Lagomorpha	ITPR1_vs_ITPR3	ITPR_vs_ITPR	17	19	1	1	1	GRM7-GRM4
GCF_964237555.1	Oryctolagus cuniculus	Mammalia	Lagomorpha	ITPR2_vs_ITPR3	ITPR_vs_ITPR	17	19	0	0	0	
GCA_013399855.1	Oxyruncus cristatus	Aves	Passeriformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	14	11	1	0	1	BHLHE40-BHLHE41
GCA_013399855.1	Oxyruncus cristatus	Aves	Passeriformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	14	18	0	0	0	
GCA_013399855.1	Oxyruncus cristatus	Aves	Passeriformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	11	18	0	0	0	
GCF_048594095.1	Paramormyrops kingsleyae	Actinopteri	Osteoglossiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	19	7	1	0	1	BHLHE40-BHLHE41
GCF_030463565.1	Pelecanus crispus	Aves	Pelecaniformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	19	19	1	0	1	BHLHE40-BHLHE41
GCF_030463565.1	Pelecanus crispus	Aves	Pelecaniformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	19	16	1	1	1	GRM7-GRM4
GCF_030463565.1	Pelecanus crispus	Aves	Pelecaniformes	ITPR2_vs_ITPR3	ITPR_vs_ITPR	19	16	0	0	0	
GCF_042242105.1	Pempheris klunzingeri	Actinopteri	Acropomatiformes	ITPR1_vs_ITPR2	ITPR_vs_ITPR	12	14	0	0	0	
GCF_042242105.1	Pempheris klunzingeri	Actinopteri	Acropomatiformes	ITPR1_vs_ITPR3	ITPR_vs_ITPR	12	9	0	0	0	
