accession	organism	vclass	vorder	contig_spans_gene	ITPR1_copies	ITPR2_copies	ITPR3_copies	ITPR_copies	RYR_copies	ITPR_intact	RYR_intact
GCF_902362185.1	Chanos chanos	Actinopteri	Gonorynchiformes	1	2	1	1	4	6	4	6
GCF_902500255.1	Thalassophryne amazonica	Actinopteri	Batrachoidiformes	1	2	1	1	4	6	4	5
GCF_907165065.1	Caprimulgus europaeus	Aves	Caprimulgiformes	1	1	1	1	3	2	3	2
GCF_933228915.1	Telmatherina bonti	Actinopteri	Atheriniformes	1	2	1	1	4	6	4	6
GCF_947461875.1	Haliaeetus albicilla	Aves	Accipitriformes	1	1	1	1	3	3	3	3
GCF_949152265.1	Phoxinus phoxinus	Actinopteri	Cypriniformes	1	2	1	1	4	6	4	6
GCF_949606895.1	Notothenia rossii	Actinopteri	Perciformes	1	1	1	1	3	6	3	6
GCF_949987555.1	Borostomias antarcticus	Actinopteri	Stomiiformes	1	2	1	1	4	6	4	6
GCF_949987685.1	Ammodytes marinus	Actinopteri	Uranoscopiformes	1	2	1	1	4	6	4	6
GCF_951640355.1	Cnephaeus nilssonii	Mammalia	Chiroptera	1	1	1	1	3	3	3	3
GCF_951799975.1	Gobius niger	Actinopteri	Gobiiformes	1	2	1	1	4	5	4	5
GCF_960531495.1	Zeus faber	Actinopteri	Zeiformes	1	2	1	1	4	6	4	6
GCF_963457635.1	Microchirus variegatus	Actinopteri	Pleuronectiformes	1	2	1	1	4	6	4	6
GCF_963514005.1	Raja brachyura	Chondrichthyes	Rajiformes	1	1	1	1	3	3	3	3
GCF_963514075.1	Conger conger	Actinopteri	Anguilliformes	1	2	1	1	4	5	4	5
GCF_963514085.1	Chelon labrosus	Actinopteri	Mugiliformes	1	2	1	1	4	6	4	6
GCF_963921795.1	Nannobrachium achirus	Actinopteri	Myctophiformes	1	2	2	1	5	6	5	6
GCF_963921805.1	Phalacrocorax carbo	Aves	Suliformes	1	1	1	1	3	2	3	2
GCF_963971535.1	Notolepis coatsorum	Actinopteri	Aulopiformes	1	2	1	1	4	5	4	4
GCF_963989245.1	Nansenia antarctica	Actinopteri	Argentiniformes	1	2	1	1	4	6	4	6
GCF_964187855.1	Myxine glutinosa	Myxini	Myxiniformes	1	3	0	0	3	2	3	2
GCF_964195595.1	Calonectris borealis	Aves	Procellariiformes	1	1	1	1	3	3	3	3
GCF_964237555.1	Oryctolagus cuniculus	Mammalia	Lagomorpha	1	1	1	1	3	3	3	3
GCF_964237585.1	Gallinula chloropus	Aves	Gruiformes	1	1	1	1	3	2	3	2
GCF_964261635.1	Lissotriton helveticus	Amphibia	Caudata	1	1	1	1	3	3	3	3
GCF_964289735.1	Phaethon aethereus	Aves	Phaethontiformes	1	1	1	1	3	2	3	2
GCF_964417175.1	Larus argentatus	Aves	Charadriiformes	1	1	1	1	3	2	3	2
GCF_964638095.1	Poromitra crassiceps	Actinopteri	Beryciformes	1	2	1	1	4	6	4	6
GCF_965183815.1	Platalea leucorodia	Aves	Pelecaniformes	1	1	1	1	3	3	3	3
GCF_965601325.1	Salmo salar	Actinopteri	Salmoniformes	1	4	2	2	8	10	8	10
GCF_965638725.1	Aptenodytes patagonicus	Aves	Sphenisciformes	1	1	1	1	3	2	3	2
