accession	organism	vclass	vorder	assembly_level	contig_n50	contig_spans_gene	cell	n_loci	n_copies	n_intact_copies	n_contigs	same_contig_copies	max_coverage	annot_named	copy_contigs
GCA_013398795.1	Elachura formosa	Aves	Passeriformes	Scaffold	43159	0	ITPR2	1	1	1	1	0	1.0	0	WBNG01000249.1
GCA_013398795.1	Elachura formosa	Aves	Passeriformes	Scaffold	43159	0	ITPR3	0	0	0	0	0	0.0	0	
GCA_013398795.1	Elachura formosa	Aves	Passeriformes	Scaffold	43159	0	RYR	2	2	2	2	0	1.0	1	WBNG01000058.1;WBNG01000069.1
GCA_013398835.1	Emberiza fucata	Aves	Passeriformes	Scaffold	19687	0	ITPR1	1	1	1	1	0	0.6222	0	VYZJ01000868.1
GCA_013398835.1	Emberiza fucata	Aves	Passeriformes	Scaffold	19687	0	ITPR2	1	1	1	1	0	1.0	0	VYZJ01000507.1
GCA_013398835.1	Emberiza fucata	Aves	Passeriformes	Scaffold	19687	0	ITPR3	1	1	1	1	0	1.0	1	VYZJ01001343.1
GCA_013398835.1	Emberiza fucata	Aves	Passeriformes	Scaffold	19687	0	RYR	2	2	2	2	0	1.0	1	VYZJ01000130.1;VYZJ01000340.1
GCA_013398935.1	Ceuthmochares aereus	Aves	Cuculiformes	Scaffold	29269	0	ITPR1	1	1	1	1	0	1.0	0	VWPQ01001063.1
GCA_013398935.1	Ceuthmochares aereus	Aves	Cuculiformes	Scaffold	29269	0	ITPR2	1	1	1	1	0	0.9963	0	VWPQ01000308.1
GCA_013398935.1	Ceuthmochares aereus	Aves	Cuculiformes	Scaffold	29269	0	ITPR3	1	0	0	0	0	0.4749	0	
GCA_013398935.1	Ceuthmochares aereus	Aves	Cuculiformes	Scaffold	29269	0	RYR	2	2	2	2	0	1.0	1	VWPQ01000040.1;VWPQ01001982.1
GCA_013398955.1	Callaeas wilsoni	Aves	Passeriformes	Scaffold	118426	0	ITPR1	1	1	1	1	0	0.6715	0	VWPU01015536.1
GCA_013398955.1	Callaeas wilsoni	Aves	Passeriformes	Scaffold	118426	0	ITPR2	1	1	1	1	0	1.0	0	VWPU01018490.1
GCA_013398955.1	Callaeas wilsoni	Aves	Passeriformes	Scaffold	118426	0	ITPR3	2	1	1	1	0	0.7457	2	VWPU01009981.1
GCA_013398955.1	Callaeas wilsoni	Aves	Passeriformes	Scaffold	118426	0	RYR	2	2	2	2	0	1.0	1	VWPU01007266.1;VWPU01018445.1
GCA_013398975.1	Catharus fuscescens	Aves	Passeriformes	Scaffold	56061	0	ITPR1	2	1	1	1	0	0.6956	0	VWYD01006567.1
GCA_013398975.1	Catharus fuscescens	Aves	Passeriformes	Scaffold	56061	0	ITPR2	1	1	1	1	0	1.0	0	VWYD01008180.1
GCA_013398975.1	Catharus fuscescens	Aves	Passeriformes	Scaffold	56061	0	ITPR3	1	1	1	1	0	1.0	1	VWYD01019667.1
GCA_013398975.1	Catharus fuscescens	Aves	Passeriformes	Scaffold	56061	0	RYR	2	2	2	2	0	1.0	1	VWYD01013793.1;VWYD01065695.1
GCA_013399035.1	Quiscalus mexicanus	Aves	Passeriformes	Scaffold	60532	0	ITPR1	2	1	1	1	0	0.6887	1	VWYF01032520.1
GCA_013399035.1	Quiscalus mexicanus	Aves	Passeriformes	Scaffold	60532	0	ITPR2	1	1	1	1	0	0.5615	0	VWYF01003474.1
GCA_013399035.1	Quiscalus mexicanus	Aves	Passeriformes	Scaffold	60532	0	ITPR3	1	1	1	1	0	1.0	1	VWYF01000032.1
GCA_013399035.1	Quiscalus mexicanus	Aves	Passeriformes	Scaffold	60532	0	RYR	2	2	2	2	0	0.8878	0	VWYF01012987.1;VWYF01015411.1
GCA_013399075.1	Chloroceryle aenea	Aves	Coraciiformes	Scaffold	34835	0	ITPR1	1	1	1	1	0	0.991	1	VWZY01001946.1
GCA_013399075.1	Chloroceryle aenea	Aves	Coraciiformes	Scaffold	34835	0	ITPR2	1	1	1	1	0	0.7715	0	VWZY01002652.1
GCA_013399075.1	Chloroceryle aenea	Aves	Coraciiformes	Scaffold	34835	0	ITPR3	1	1	1	1	0	0.991	1	VWZY01000040.1
GCA_013399075.1	Chloroceryle aenea	Aves	Coraciiformes	Scaffold	34835	0	RYR	1	1	1	1	0	0.9386	1	VWZY01006903.1
GCA_013399305.1	Rostratula benghalensis	Aves	Charadriiformes	Scaffold	78725	0	ITPR1	1	1	1	1	0	1.0	1	VXAI01000036.1
GCA_013399305.1	Rostratula benghalensis	Aves	Charadriiformes	Scaffold	78725	0	ITPR2	1	1	1	1	0	0.9885	0	VXAI01000006.1
GCA_013399305.1	Rostratula benghalensis	Aves	Charadriiformes	Scaffold	78725	0	ITPR3	1	1	1	1	0	1.0	1	VXAI01000357.1
GCA_013399305.1	Rostratula benghalensis	Aves	Charadriiformes	Scaffold	78725	0	RYR	2	2	2	2	0	1.0	1	VXAI01000004.1;VXAI01000009.1
GCA_013399395.1	Nyctiprogne leucopyga	Aves	Caprimulgiformes	Scaffold	28894	0	ITPR1	1	1	1	1	0	1.0	1	VZZU01000042.1
GCA_013399395.1	Nyctiprogne leucopyga	Aves	Caprimulgiformes	Scaffold	28894	0	ITPR2	2	1	1	1	0	0.7678	0	VZZU01000124.1
GCA_013399395.1	Nyctiprogne leucopyga	Aves	Caprimulgiformes	Scaffold	28894	0	ITPR3	1	1	1	1	0	1.0	1	VZZU01001619.1
GCA_013399395.1	Nyctiprogne leucopyga	Aves	Caprimulgiformes	Scaffold	28894	0	RYR	4	0	0	0	0	0.2343	0	
GCA_013399455.1	Anthoscopus minutus	Aves	Passeriformes	Scaffold	49651	0	ITPR1	1	1	1	1	0	1.0	0	VWYI01047507.1
GCA_013399455.1	Anthoscopus minutus	Aves	Passeriformes	Scaffold	49651	0	ITPR2	1	1	1	1	0	0.5941	0	VWYI01032194.1
GCA_013399455.1	Anthoscopus minutus	Aves	Passeriformes	Scaffold	49651	0	ITPR3	2	1	1	1	0	0.5045	0	VWYI01048517.1
GCA_013399455.1	Anthoscopus minutus	Aves	Passeriformes	Scaffold	49651	0	RYR	2	1	1	1	0	0.5712	1	VWYI01043680.1
GCA_013399495.1	Corythaixoides concolor	Aves	Musophagiformes	Scaffold	52683	0	ITPR1	1	1	1	1	0	0.9712	0	VXAM01000844.1
GCA_013399495.1	Corythaixoides concolor	Aves	Musophagiformes	Scaffold	52683	0	ITPR2	1	1	1	1	0	0.9885	0	VXAM01000304.1
GCA_013399495.1	Corythaixoides concolor	Aves	Musophagiformes	Scaffold	52683	0	ITPR3	1	1	1	1	0	1.0	1	VXAM01000033.1
GCA_013399495.1	Corythaixoides concolor	Aves	Musophagiformes	Scaffold	52683	0	RYR	1	1	1	1	0	1.0	1	VXAM01000550.1
GCA_013399565.1	Podilymbus podiceps	Aves	Podicipediformes	Scaffold	35810	0	ITPR1	1	1	1	1	0	1.0	0	VXAO01000176.1
GCA_013399565.1	Podilymbus podiceps	Aves	Podicipediformes	Scaffold	35810	0	ITPR2	1	1	1	1	0	0.6622	0	VXAO01001455.1
GCA_013399565.1	Podilymbus podiceps	Aves	Podicipediformes	Scaffold	35810	0	ITPR3	1	1	1	1	0	1.0	1	VXAO01000163.1
GCA_013399565.1	Podilymbus podiceps	Aves	Podicipediformes	Scaffold	35810	0	RYR	2	2	2	2	0	1.0	1	VXAO01000097.1;VXAO01000161.1
GCA_013399735.1	Tyrannus savana	Aves	Passeriformes	Scaffold	72317	0	ITPR1	1	1	1	1	0	1.0	0	VXAW01003770.1
GCA_013399735.1	Tyrannus savana	Aves	Passeriformes	Scaffold	72317	0	ITPR2	1	1	1	1	0	0.5733	0	VXAW01003906.1
GCA_013399735.1	Tyrannus savana	Aves	Passeriformes	Scaffold	72317	0	ITPR3	1	1	1	1	0	1.0	1	VXAW01010101.1
GCA_013399735.1	Tyrannus savana	Aves	Passeriformes	Scaffold	72317	0	RYR	2	2	2	2	0	1.0	0	VXAW01002520.1;VXAW01003324.1
GCA_013399775.1	Semnornis frantzii	Aves	Piciformes	Scaffold	8608	0	ITPR1	0	0	0	0	0	0.0	0	
GCA_013399775.1	Semnornis frantzii	Aves	Piciformes	Scaffold	8608	0	ITPR2	0	0	0	0	0	0.0	0	
GCA_013399775.1	Semnornis frantzii	Aves	Piciformes	Scaffold	8608	0	ITPR3	1	1	1	1	0	1.0	1	VWYK01019522.1
GCA_013399775.1	Semnornis frantzii	Aves	Piciformes	Scaffold	8608	0	RYR	4	0	0	0	0	0.3406	0	
GCA_013399795.1	Zosterops hypoxanthus	Aves	Passeriformes	Scaffold	48044	0	ITPR1	2	1	1	1	0	0.6956	0	VWYL01013425.1
GCA_013399795.1	Zosterops hypoxanthus	Aves	Passeriformes	Scaffold	48044	0	ITPR2	1	1	1	1	0	1.0	0	VWYL01018137.1
GCA_013399795.1	Zosterops hypoxanthus	Aves	Passeriformes	Scaffold	48044	0	ITPR3	1	1	1	1	0	0.9809	1	VWYL01030448.1
GCA_013399795.1	Zosterops hypoxanthus	Aves	Passeriformes	Scaffold	48044	0	RYR	3	3	3	3	0	0.7558	0	VWYL01017432.1;VWYL01030747.1;VWYL01031540.1
GCA_013399855.1	Oxyruncus cristatus	Aves	Passeriformes	Scaffold	75750	0	ITPR1	1	1	1	1	0	1.0	0	VXAY01004762.1
GCA_013399855.1	Oxyruncus cristatus	Aves	Passeriformes	Scaffold	75750	0	ITPR2	1	1	1	1	0	1.0	0	VXAY01004465.1
GCA_013399855.1	Oxyruncus cristatus	Aves	Passeriformes	Scaffold	75750	0	ITPR3	1	1	1	1	0	1.0	1	VXAY01006930.1
GCA_013399855.1	Oxyruncus cristatus	Aves	Passeriformes	Scaffold	75750	0	RYR	2	2	2	2	0	1.0	0	VXAY01001352.1;VXAY01002711.1
GCA_013399895.1	Serilophus lunatus	Aves	Passeriformes	Scaffold	89885	0	ITPR1	1	1	1	1	0	1.0	0	VXBA01004282.1
GCA_013399895.1	Serilophus lunatus	Aves	Passeriformes	Scaffold	89885	0	ITPR2	1	1	1	1	0	1.0	0	VXBA01005702.1
GCA_013399895.1	Serilophus lunatus	Aves	Passeriformes	Scaffold	89885	0	ITPR3	1	1	1	1	0	1.0	1	VXBA01002447.1
GCA_013399895.1	Serilophus lunatus	Aves	Passeriformes	Scaffold	89885	0	RYR	2	2	2	2	0	1.0	1	VXBA01001840.1;VXBA01005560.1
GCA_013400075.1	Hippolais icterina	Aves	Passeriformes	Scaffold	64762	0	ITPR1	1	1	1	1	0	0.5185	0	VWYN01021473.1
GCA_013400075.1	Hippolais icterina	Aves	Passeriformes	Scaffold	64762	0	ITPR2	1	1	1	1	0	0.9885	0	VWYN01013987.1
GCA_013400075.1	Hippolais icterina	Aves	Passeriformes	Scaffold	64762	0	ITPR3	1	1	1	1	0	1.0	1	VWYN01026794.1
GCA_013400075.1	Hippolais icterina	Aves	Passeriformes	Scaffold	64762	0	RYR	2	2	2	2	0	0.93	0	VWYN01009831.1;VWYN01024224.1
GCA_013400195.1	Aramus guarauna	Aves	Gruiformes	Scaffold	62981	0	ITPR1	1	1	1	1	0	1.0	1	VXBL01002157.1
GCA_013400195.1	Aramus guarauna	Aves	Gruiformes	Scaffold	62981	0	ITPR2	1	1	1	1	0	1.0	0	VXBL01000728.1
GCA_013400195.1	Aramus guarauna	Aves	Gruiformes	Scaffold	62981	0	ITPR3	1	1	1	1	0	1.0	1	VXBL01003098.1
GCA_013400195.1	Aramus guarauna	Aves	Gruiformes	Scaffold	62981	0	RYR	2	2	2	2	0	1.0	1	VXBL01009441.1;VXBL01009547.1
GCA_013400215.1	Cisticola juncidis	Aves	Passeriformes	Scaffold	74140	0	ITPR1	1	1	1	1	0	1.0	0	VXBR01003613.1
GCA_013400215.1	Cisticola juncidis	Aves	Passeriformes	Scaffold	74140	0	ITPR2	1	1	1	1	0	0.9885	0	VXBR01000324.1
GCA_013400215.1	Cisticola juncidis	Aves	Passeriformes	Scaffold	74140	0	ITPR3	1	1	1	1	0	0.9895	1	VXBR01010904.1
GCA_013400215.1	Cisticola juncidis	Aves	Passeriformes	Scaffold	74140	0	RYR	2	2	2	2	0	1.0	1	VXBR01005532.1;VXBR01009377.1
GCA_013400415.1	Scytalopus superciliaris	Aves	Passeriformes	Scaffold	60031	0	ITPR1	1	1	1	1	0	0.9705	1	VXBX01005888.1
GCA_013400415.1	Scytalopus superciliaris	Aves	Passeriformes	Scaffold	60031	0	ITPR2	1	1	1	1	0	0.9137	0	VXBX01000030.1
GCA_013400415.1	Scytalopus superciliaris	Aves	Passeriformes	Scaffold	60031	0	ITPR3	1	1	1	1	0	1.0	1	VXBX01001803.1
GCA_013400415.1	Scytalopus superciliaris	Aves	Passeriformes	Scaffold	60031	0	RYR	2	2	2	2	0	1.0	0	VXBX01004616.1;VXBX01009827.1
GCA_013400445.1	Leiothrix lutea	Aves	Passeriformes	Scaffold	27764	0	ITPR1	0	0	0	0	0	0.0	0	
GCA_013400445.1	Leiothrix lutea	Aves	Passeriformes	Scaffold	27764	0	ITPR2	1	1	1	1	0	1.0	0	VXBY01000177.1
GCA_013400445.1	Leiothrix lutea	Aves	Passeriformes	Scaffold	27764	0	ITPR3	1	1	1	1	0	1.0	1	VXBY01000669.1
GCA_013400445.1	Leiothrix lutea	Aves	Passeriformes	Scaffold	27764	0	RYR	4	2	2	2	0	0.7107	0	VXBY01000496.1;VXBY01003370.1
GCA_013400515.1	Erpornis zantholeuca	Aves	Passeriformes	Scaffold	45331	0	ITPR1	1	1	1	1	0	1.0	1	VZTN01006051.1
GCA_013400515.1	Erpornis zantholeuca	Aves	Passeriformes	Scaffold	45331	0	ITPR2	1	1	1	1	0	0.9885	0	VZTN01005749.1
GCA_013400515.1	Erpornis zantholeuca	Aves	Passeriformes	Scaffold	45331	0	ITPR3	1	1	1	1	0	1.0	1	VZTN01001861.1
GCA_013400515.1	Erpornis zantholeuca	Aves	Passeriformes	Scaffold	45331	0	RYR	5	0	0	0	0	0.3158	0	
GCA_013400585.1	Chloropsis cyanopogon	Aves	Passeriformes	Scaffold	24720	0	ITPR1	1	1	1	1	0	1.0	0	WEZZ01015506.1
GCA_013400585.1	Chloropsis cyanopogon	Aves	Passeriformes	Scaffold	24720	0	ITPR2	1	1	1	1	0	0.9885	0	WEZZ01021076.1
GCA_013400585.1	Chloropsis cyanopogon	Aves	Passeriformes	Scaffold	24720	0	ITPR3	1	1	1	1	0	1.0	1	WEZZ01019221.1
GCA_013400585.1	Chloropsis cyanopogon	Aves	Passeriformes	Scaffold	24720	0	RYR	5	0	0	0	0	0.2215	0	
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	Passeriformes	Scaffold	23460	0	ITPR1	0	0	0	0	0	0.0	0	
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	Passeriformes	Scaffold	23460	0	ITPR2	0	0	0	0	0	0.0	0	
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	Passeriformes	Scaffold	23460	0	ITPR3	1	1	1	1	0	1.0	1	VYZP01027902.1
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	Passeriformes	Scaffold	23460	0	RYR	1	0	0	0	0	0.1935	0	
GCA_013400655.1	Mystacornis crossleyi	Aves	Passeriformes	Scaffold	10653	0	ITPR1	0	0	0	0	0	0.0	0	
GCA_013400655.1	Mystacornis crossleyi	Aves	Passeriformes	Scaffold	10653	0	ITPR2	2	1	1	1	0	0.7374	1	VYZQ01028303.1
GCA_013400655.1	Mystacornis crossleyi	Aves	Passeriformes	Scaffold	10653	0	ITPR3	0	0	0	0	0	0.0	0	
GCA_013400655.1	Mystacornis crossleyi	Aves	Passeriformes	Scaffold	10653	0	RYR	2	0	0	0	0	0.1606	0	
GCA_013400675.1	Oxylabes madagascariensis	Aves	Passeriformes	Scaffold	3531	0	ITPR1	0	0	0	0	0	0.0	0	
GCA_013400675.1	Oxylabes madagascariensis	Aves	Passeriformes	Scaffold	3531	0	ITPR2	3	0	0	0	0	0.3204	1	
GCA_013400675.1	Oxylabes madagascariensis	Aves	Passeriformes	Scaffold	3531	0	ITPR3	3	0	0	0	0	0.1734	1	
GCA_013400675.1	Oxylabes madagascariensis	Aves	Passeriformes	Scaffold	3531	0	RYR	4	0	0	0	0	0.2806	0	
GCA_013400695.1	Neodrepanis coruscans	Aves	Passeriformes	Scaffold	7054	0	ITPR1	0	0	0	0	0	0.0	0	
GCA_013400695.1	Neodrepanis coruscans	Aves	Passeriformes	Scaffold	7054	0	ITPR2	2	0	0	0	0	0.187	1	
GCA_013400695.1	Neodrepanis coruscans	Aves	Passeriformes	Scaffold	7054	0	ITPR3	4	0	0	0	0	0.1351	0	
GCA_013400695.1	Neodrepanis coruscans	Aves	Passeriformes	Scaffold	7054	0	RYR	2	0	0	0	0	0.2589	0	
GCA_013400735.1	Pomatostomus ruficeps	Aves	Passeriformes	Scaffold	34780	0	ITPR1	0	0	0	0	0	0.0	0	
GCA_013400735.1	Pomatostomus ruficeps	Aves	Passeriformes	Scaffold	34780	0	ITPR2	1	1	1	1	0	0.5607	0	VYZT01016493.1
GCA_013400735.1	Pomatostomus ruficeps	Aves	Passeriformes	Scaffold	34780	0	ITPR3	1	1	1	1	0	1.0	1	VYZT01008480.1
GCA_013400735.1	Pomatostomus ruficeps	Aves	Passeriformes	Scaffold	34780	0	RYR	4	0	0	0	0	0.2017	0	
GCA_013400815.1	Centropus bengalensis	Aves	Cuculiformes	Scaffold	34951	0	ITPR1	1	1	1	1	0	0.5002	0	WBNK01000178.1
GCA_013400815.1	Centropus bengalensis	Aves	Cuculiformes	Scaffold	34951	0	ITPR2	1	1	1	1	0	1.0	0	WBNK01000445.1
GCA_013400815.1	Centropus bengalensis	Aves	Cuculiformes	Scaffold	34951	0	ITPR3	1	1	1	1	0	0.9655	1	WBNK01000718.1
GCA_013400815.1	Centropus bengalensis	Aves	Cuculiformes	Scaffold	34951	0	RYR	2	2	2	2	0	1.0	1	WBNK01000174.1;WBNK01000420.1
GCA_013400855.1	Buphagus erythrorhynchus	Aves	Passeriformes	Scaffold	13219	0	ITPR1	0	0	0	0	0	0.0	0	
GCA_013400855.1	Buphagus erythrorhynchus	Aves	Passeriformes	Scaffold	13219	0	ITPR2	2	1	1	1	0	0.5981	0	VZTT01023994.1
GCA_013400855.1	Buphagus erythrorhynchus	Aves	Passeriformes	Scaffold	13219	0	ITPR3	0	0	0	0	0	0.0	0	
GCA_013400855.1	Buphagus erythrorhynchus	Aves	Passeriformes	Scaffold	13219	0	RYR	2	0	0	0	0	0.1558	0	
GCA_013400895.1	Thalassarche chlororhynchos	Aves	Procellariiformes	Scaffold	23404	0	ITPR1	1	1	1	1	0	0.7629	1	VZTW01023184.1
GCA_013400895.1	Thalassarche chlororhynchos	Aves	Procellariiformes	Scaffold	23404	0	ITPR2	0	0	0	0	0	0.0	0	
GCA_013400895.1	Thalassarche chlororhynchos	Aves	Procellariiformes	Scaffold	23404	0	ITPR3	1	1	1	1	0	1.0	1	VZTW01014806.1
GCA_013400895.1	Thalassarche chlororhynchos	Aves	Procellariiformes	Scaffold	23404	0	RYR	2	0	0	0	0	0.1457	0	
GCA_013400915.1	Pardalotus punctatus	Aves	Passeriformes	Scaffold	83169	0	ITPR1	1	0	0	0	0	0.4538	0	
GCA_013400915.1	Pardalotus punctatus	Aves	Passeriformes	Scaffold	83169	0	ITPR2	2	0	0	0	0	0.4722	0	
GCA_013400915.1	Pardalotus punctatus	Aves	Passeriformes	Scaffold	83169	0	ITPR3	2	1	1	1	0	0.6157	0	VZTX01008829.1
GCA_013400915.1	Pardalotus punctatus	Aves	Passeriformes	Scaffold	83169	0	RYR	2	2	2	2	0	1.0	1	VZTX01001965.1;VZTX01026248.1
GCA_013400955.1	Drymodes brunneopygia	Aves	Passeriformes	Scaffold	79910	0	ITPR1	1	1	1	1	0	0.706	0	VZTZ01014074.1
GCA_013400955.1	Drymodes brunneopygia	Aves	Passeriformes	Scaffold	79910	0	ITPR2	1	1	1	1	0	0.6263	0	VZTZ01029620.1
GCA_013400955.1	Drymodes brunneopygia	Aves	Passeriformes	Scaffold	79910	0	ITPR3	1	1	1	1	0	0.9652	1	VZTZ01042630.1
GCA_013400955.1	Drymodes brunneopygia	Aves	Passeriformes	Scaffold	79910	0	RYR	1	1	1	1	0	0.9764	1	VZTZ01040289.1
GCA_013400995.1	Oreotrochilus melanogaster	Aves	Apodiformes	Scaffold	7679	0	ITPR1	2	1	1	1	0	0.5934	0	VZUB01000656.1
GCA_013400995.1	Oreotrochilus melanogaster	Aves	Apodiformes	Scaffold	7679	0	ITPR2	2	1	1	1	0	0.7311	0	VZUB01003832.1
GCA_013400995.1	Oreotrochilus melanogaster	Aves	Apodiformes	Scaffold	7679	0	ITPR3	1	1	1	1	0	0.9655	1	VZUB01029421.1
GCA_013400995.1	Oreotrochilus melanogaster	Aves	Apodiformes	Scaffold	7679	0	RYR	3	2	2	2	0	0.5959	0	VZUB01000771.1;VZUB01001871.1
GCA_013401035.1	Horornis vulcanius	Aves	Passeriformes	Scaffold	3129	0	ITPR1	0	0	0	0	0	0.0	0	
GCA_013401035.1	Horornis vulcanius	Aves	Passeriformes	Scaffold	3129	0	ITPR2	4	0	0	0	0	0.1804	2	
GCA_013401035.1	Horornis vulcanius	Aves	Passeriformes	Scaffold	3129	0	ITPR3	2	0	0	0	0	0.2019	0	
GCA_013401035.1	Horornis vulcanius	Aves	Passeriformes	Scaffold	3129	0	RYR	2	0	0	0	0	0.1761	0	
GCA_013401195.1	Pomatorhinus ruficollis	Aves	Passeriformes	Scaffold	60017	0	ITPR1	0	0	0	0	0	0.0	0	
GCA_013401195.1	Pomatorhinus ruficollis	Aves	Passeriformes	Scaffold	60017	0	ITPR2	1	1	1	1	0	1.0	0	VZSW01000361.1
GCA_013401195.1	Pomatorhinus ruficollis	Aves	Passeriformes	Scaffold	60017	0	ITPR3	0	0	0	0	0	0.0	0	
GCA_013401195.1	Pomatorhinus ruficollis	Aves	Passeriformes	Scaffold	60017	0	RYR	2	2	2	2	0	1.0	1	VZSW01000030.1;VZSW01000052.1
GCA_013401215.1	Atlantisia rogersi	Aves	Gruiformes	Scaffold	36139	0	ITPR1	2	1	1	1	0	0.636	0	VZUJ01128627.1
GCA_013401215.1	Atlantisia rogersi	Aves	Gruiformes	Scaffold	36139	0	ITPR2	1	0	0	0	0	0.2878	0	
GCA_013401215.1	Atlantisia rogersi	Aves	Gruiformes	Scaffold	36139	0	ITPR3	3	1	1	1	0	0.5315	1	VZUJ01056847.1
GCA_013401215.1	Atlantisia rogersi	Aves	Gruiformes	Scaffold	36139	0	RYR	4	0	0	0	0	0.4193	0	
GCA_013401255.1	Urocolius indicus	Aves	Coliiformes	Scaffold	94415	0	ITPR1	1	1	1	1	0	1.0	0	WBNH01003138.1
GCA_013401255.1	Urocolius indicus	Aves	Coliiformes	Scaffold	94415	0	ITPR2	1	1	1	1	0	0.6622	0	WBNH01008822.1
GCA_013401255.1	Urocolius indicus	Aves	Coliiformes	Scaffold	94415	0	ITPR3	1	1	1	1	0	0.5757	0	WBNH01011779.1
GCA_013401255.1	Urocolius indicus	Aves	Coliiformes	Scaffold	94415	0	RYR	2	2	2	2	0	1.0	1	WBNH01001939.1;WBNH01005367.1
GCA_013401295.1	Glareola pratincola	Aves	Charadriiformes	Scaffold	39898	0	ITPR1	1	1	1	1	0	1.0	0	VWPO01000826.1
GCA_013401295.1	Glareola pratincola	Aves	Charadriiformes	Scaffold	39898	0	ITPR2	2	1	1	1	0	0.7444	0	VWPO01001832.1
GCA_013401295.1	Glareola pratincola	Aves	Charadriiformes	Scaffold	39898	0	ITPR3	2	1	1	1	0	0.6107	1	VWPO01003156.1
GCA_013401295.1	Glareola pratincola	Aves	Charadriiformes	Scaffold	39898	0	RYR	2	2	2	2	0	1.0	1	VWPO01000031.1;VWPO01000327.1
GCA_013401315.1	Balaeniceps rex	Aves	Pelecaniformes	Scaffold	24547	0	ITPR1	1	1	1	1	0	0.8793	0	VYZW01040117.1
GCA_013401315.1	Balaeniceps rex	Aves	Pelecaniformes	Scaffold	24547	0	ITPR2	1	0	0	0	0	0.4748	0	
GCA_013401315.1	Balaeniceps rex	Aves	Pelecaniformes	Scaffold	24547	0	ITPR3	1	1	1	1	0	0.9125	1	VYZW01003126.1
GCA_013401315.1	Balaeniceps rex	Aves	Pelecaniformes	Scaffold	24547	0	RYR	2	0	0	0	0	0.1394	0	
GCA_013401355.1	Ceyx cyanopectus	Aves	Coraciiformes	Scaffold	14890	0	ITPR1	1	0	0	0	0	0.1979	1	
GCA_013401355.1	Ceyx cyanopectus	Aves	Coraciiformes	Scaffold	14890	0	ITPR2	1	1	1	1	0	0.783	0	VYZU01018639.1
GCA_013401355.1	Ceyx cyanopectus	Aves	Coraciiformes	Scaffold	14890	0	ITPR3	0	0	0	0	0	0.0	0	
GCA_013401355.1	Ceyx cyanopectus	Aves	Coraciiformes	Scaffold	14890	0	RYR	2	0	0	0	0	0.2424	0	
GCA_014281875.1	Nibea albiflora	Actinopteri		Chromosome	4420150	1	ITPR1	2	2	2	1	1	1.0	1	CM024790.1
GCA_014281875.1	Nibea albiflora	Actinopteri		Chromosome	4420150	1	ITPR2	1	1	1	1	0	1.0	0	CM024800.1
GCA_014281875.1	Nibea albiflora	Actinopteri		Chromosome	4420150	1	ITPR3	2	2	1	2	0	1.0	1	CM024793.1;JABGLX010000148.1
GCA_014281875.1	Nibea albiflora	Actinopteri		Chromosome	4420150	1	RYR	6	6	6	6	0	1.0	5	CM024794.1;CM024797.1;CM024799.1;CM024802.1;CM024806.1;CM024807.1
GCA_014363365.1	Leucopsar rothschildi	Aves	Passeriformes	Scaffold	104200	0	ITPR1	3	0	0	0	0	0.4959	0	
GCA_014363365.1	Leucopsar rothschildi	Aves	Passeriformes	Scaffold	104200	0	ITPR2	3	1	1	1	0	0.5363	0	BMBG01010180.1
GCA_014363365.1	Leucopsar rothschildi	Aves	Passeriformes	Scaffold	104200	0	ITPR3	3	0	0	0	0	0.4052	0	
GCA_014363365.1	Leucopsar rothschildi	Aves	Passeriformes	Scaffold	104200	0	RYR	4	2	2	2	0	0.5938	0	BMBG01011160.1;BMBG01011865.1
GCA_014839755.1	Sylvia borin	Aves	Passeriformes	Chromosome	31914676	1	ITPR1	1	1	1	1	0	1.0	1	CM025968.1
GCA_014839755.1	Sylvia borin	Aves	Passeriformes	Chromosome	31914676	1	ITPR2	1	1	1	1	0	1.0	1	CM025960.1
GCA_014839755.1	Sylvia borin	Aves	Passeriformes	Chromosome	31914676	1	ITPR3	1	1	1	1	0	1.0	1	CM025980.1
GCA_014839755.1	Sylvia borin	Aves	Passeriformes	Chromosome	31914676	1	RYR	3	3	3	3	0	1.0	3	CM025959.1;CM025962.1;JACEWE010000088.1
GCA_015883425.2	Lamprotornis superbus	Aves	Passeriformes	Chromosome	150307	1	ITPR1	1	1	1	1	0	1.0	1	CM040317.1
GCA_015883425.2	Lamprotornis superbus	Aves	Passeriformes	Chromosome	150307	1	ITPR2	1	1	1	1	0	1.0	1	CM040303.1
GCA_015883425.2	Lamprotornis superbus	Aves	Passeriformes	Chromosome	150307	1	ITPR3	1	1	1	1	0	1.0	1	CM040330.1
GCA_015883425.2	Lamprotornis superbus	Aves	Passeriformes	Chromosome	150307	1	RYR	2	2	2	2	0	1.0	2	CM040305.1;CM040308.1
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	Galaxiiformes	Chromosome	956540	1	ITPR1	1	1	1	1	0	1.0	1	CM030173.1
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	Galaxiiformes	Chromosome	956540	1	ITPR2	1	1	1	1	0	1.0	1	CM030181.1
