accession	organism	taxid	vclass	vorder	assembly_name	level	refseq_category	annotated	annotation_source	release_date	total_length_bp	scaffold_n50	contig_n50	fasta_gb	est_zip_gb	reasons	notes
GCA_020745705.1	Hemiprocne comata	243314	Aves	Apodiformes	bHemCom1.pri.cur	Chromosome	reference genome	N	GenBank	2021-11-05	1164793941	91346199	20531774	1.16	0.35	missing_paralog	2 of 3 expected paralogs (13,784 proteins in the reference proteome)
GCA_013400995.1	Oreotrochilus melanogaster	689266	Aves	Apodiformes	ASM1340099v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1107792040	167855	7679	1.11	0.33	missing_paralog;fragment_only	2 of 3 expected paralogs (12,132 proteins in the reference proteome) | longest ITPR record 285 aa, below the family floor of 2,000 aa (2 records)
GCF_036417845.1	Apteryx mantelli	2696672	Aves	Apterygiformes	bAptMan1.hap1	Chromosome	reference genome	Y	RefSeq	2024-02-06	1504396159	88095958	19797665	1.50	0.45	order_rep:Apterygiformes	best of 4 reference assemblies in Apterygiformes
GCF_000710305.1	Buceros rhinoceros silvestris	175836	Aves	Bucerotiformes	ASM71030v1	Scaffold	reference genome	Y	RefSeq	2014-06-25	1065782791	53203	14587	1.07	0.32	order_rep:Bucerotiformes;missing_paralog;fragment_only	best of 30 reference assemblies in Bucerotiformes | 2 of 3 expected paralogs (10,603 proteins in the reference proteome) | longest ITPR record 285 aa, below the family floor of 2,000 aa (2 records)
GCA_009769605.1	Bucorvus abyssinicus	153643	Aves	Bucerotiformes	bBucAby1.pri	Chromosome	reference genome	Y	GenBank	2019-12-23	1132597561	40274051	12039478	1.13	0.34	missing_paralog	2 of 3 expected paralogs (14,386 proteins in the reference proteome)
GCA_013398125.1	Aegotheles bennettii	48278	Aves	Caprimulgiformes	ASM1339812v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1089119258	324808	65833	1.09	0.33	fragment_only	longest ITPR record 1887 aa, below the family floor of 2,000 aa (4 records)
GCF_000700745.2	Antrostomus carolinensis	279965	Aves	Caprimulgiformes	ASM70074v2	Scaffold	reference genome	Y	RefSeq	2014-06-10	1118829799	46377	22170	1.12	0.34	missing_paralog;fragment_only	1 of 3 expected paralogs (8,957 proteins in the reference proteome) | longest ITPR record 285 aa, below the family floor of 2,000 aa (1 records)
GCF_907165065.1	Caprimulgus europaeus	111811	Aves	Caprimulgiformes	bCapEur3.1	Chromosome	reference genome	Y	RefSeq	2021-05-17	1177791212	82614289	30622946	1.18	0.35	order_rep:Caprimulgiformes	best of 11 reference assemblies in Caprimulgiformes
GCA_013399395.1	Nyctiprogne leucopyga	382315	Aves	Caprimulgiformes	ASM1339939v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1115538861	190423	28894	1.12	0.33	missing_paralog	1 of 3 expected paralogs (13,366 proteins in the reference proteome)
GCA_054099775.1	Steatornis caripensis	48435	Aves	Caprimulgiformes	bSteCar1.hap1	Chromosome	reference genome	Y	GenBank	2025-12-18	1367945121	84204331	44324291	1.37	0.41	fragment_only	longest ITPR record 1897 aa, below the family floor of 2,000 aa (4 records)
GCF_000690535.1	Cariama cristata	54380	Aves	Cariamiformes	ASM69053v1	Scaffold	reference genome	Y	RefSeq	2014-05-12	1132245425	55197	24645	1.13	0.34	order_rep:Cariamiformes;missing_paralog;fragment_only	best of 2 reference assemblies in Cariamiformes | 1 of 3 expected paralogs (8,694 proteins in the reference proteome) | longest ITPR record 285 aa, below the family floor of 2,000 aa (1 records)
GCF_036370855.1	Dromaius novaehollandiae	8790	Aves	Casuariiformes	bDroNov1.hap1	Chromosome	reference genome	Y	RefSeq	2024-02-26	1468706110	77929039	24239989	1.47	0.44	order_rep:Casuariiformes	best of 3 reference assemblies in Casuariiformes
GCA_008658365.1	Alca torda	28689	Aves	Charadriiformes	bAlcTor1 primary	Chromosome	reference genome	Y	GenBank	2019-10-10	1178473458	84526827	18221265	1.18	0.35	fragment_only	longest ITPR record 285 aa, below the family floor of 2,000 aa (3 records)
GCF_000708025.1	Charadrius vociferus	50402	Aves	Charadriiformes	ASM70802v2	Scaffold	reference genome	Y	RefSeq	2014-08-05	1219859583	3657050	39278	1.22	0.37	zero_hit_proteome	0 ITPR records in UP000053858 (14,257 proteins); absence in a proteome is not gene loss
GCA_013401295.1	Glareola pratincola	43316	Aves	Charadriiformes	ASM1340129v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1172993239	411631	39898	1.17	0.35	fragment_only	longest ITPR record 1653 aa, below the family floor of 2,000 aa (4 records)
GCF_964417175.1	Larus argentatus	35669	Aves	Charadriiformes	bLarArg3.hap1.1	Chromosome	reference genome	Y	RefSeq	2024-12-05	1417836755	88668981	3525167	1.42	0.43	order_rep:Charadriiformes	best of 151 reference assemblies in Charadriiformes
GCA_002844005.1	Limosa lapponica baueri	1758121	Aves	Charadriiformes	Godwit_v1	Scaffold	reference genome	Y	GenBank	2017-12-15	1034771378	283007	21257	1.03	0.31	fragment_only	longest ITPR record 1615 aa, below the family floor of 2,000 aa (7 records)
GCA_013398155.1	Pedionomus torquatus	227192	Aves	Charadriiformes	ASM1339815v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1134620722	254645	36855	1.13	0.34	missing_paralog	2 of 3 expected paralogs (13,302 proteins in the reference proteome)
GCA_013399305.1	Rostratula benghalensis	118793	Aves	Charadriiformes	ASM1339930v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1103097556	3398382	78725	1.10	0.33	missing_paralog	2 of 3 expected paralogs (14,195 proteins in the reference proteome)
GCF_034638445.1	Ciconia boyciana	52775	Aves	Ciconiiformes	ASM3463844v1	Chromosome	reference genome	Y	RefSeq	2023-12-27	1240615254	102765642	35788150	1.24	0.37	order_rep:Ciconiiformes	best of 13 reference assemblies in Ciconiiformes
GCF_035582795.1	Mycteria americana	33587	Aves	Ciconiiformes	USCA_MyAme_1.0	Chromosome	reference genome	Y	RefSeq	2024-01-12	1348542611	80020930	36845572	1.35	0.40	missing_paralog	2 of 3 expected paralogs (27,343 proteins in the reference proteome)
GCF_028858725.1	Colius striatus	57412	Aves	Coliiformes	bColStr4.1.hap1	Chromosome	reference genome	Y	RefSeq	2023-02-24	1212464869	89023854	21931325	1.21	0.36	order_rep:Coliiformes;missing_paralog;fragment_only	best of 2 reference assemblies in Coliiformes | 2 of 3 expected paralogs (7,080 proteins in the reference proteome) | longest ITPR record 285 aa, below the family floor of 2,000 aa (2 records)
GCA_013401255.1	Urocolius indicus	458196	Aves	Coliiformes	ASM1340125v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1109599764	261726	94415	1.11	0.33	fragment_only	longest ITPR record 342 aa, below the family floor of 2,000 aa (4 records)
GCF_036013445.1	Caloenas nicobarica	187106	Aves	Columbiformes	bCalNic1.hap1	Chromosome	reference genome	Y	RefSeq	2024-01-26	1285834579	79699707	25101800	1.29	0.39	order_rep:Columbiformes	best of 39 reference assemblies in Columbiformes
GCA_013397635.1	Columbina picui	115618	Aves	Columbiformes	ASM1339763v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1097919941	616882	24994	1.10	0.33	missing_paralog	2 of 3 expected paralogs (12,280 proteins in the reference proteome)
GCA_013396935.1	Baryphthengus martii	176943	Aves	Coraciiformes	ASM1339693v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1100876976	225352	70136	1.10	0.33	missing_paralog;fragment_only	2 of 3 expected paralogs (13,377 proteins in the reference proteome) | longest ITPR record 288 aa, below the family floor of 2,000 aa (2 records)
GCA_013401355.1	Ceyx cyanopectus	390723	Aves	Coraciiformes	ASM1340135v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1119293467	25847	14890	1.12	0.34	fragment_only	longest ITPR record 302 aa, below the family floor of 2,000 aa (3 records)
GCA_013399075.1	Chloroceryle aenea	176938	Aves	Coraciiformes	ASM1339907v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1062127307	324840	34835	1.06	0.32	missing_paralog;fragment_only	1 of 3 expected paralogs (12,192 proteins in the reference proteome) | longest ITPR record 285 aa, below the family floor of 2,000 aa (1 records)
GCF_000691845.1	Merops nubicus	57421	Aves	Coraciiformes	ASM69184v1	Scaffold	reference genome	Y	RefSeq	2014-05-16	1062961556	48089	24675	1.06	0.32	order_rep:Coraciiformes;missing_paralog;fragment_only	best of 52 reference assemblies in Coraciiformes | 2 of 3 expected paralogs (7,657 proteins in the reference proteome) | longest ITPR record 285 aa, below the family floor of 2,000 aa (2 records)
GCA_013389965.1	Todus mexicanus	135184	Aves	Coraciiformes	ASM1338996v1	Scaffold	reference genome	Y	GenBank	2020-07-06	853262227	12670	8743	0.85	0.26	zero_hit_proteome	0 ITPR records in UP000660247 (10,042 proteins); absence in a proteome is not gene loss
GCA_013400815.1	Centropus bengalensis	1463675	Aves	Cuculiformes	ASM1340081v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1015638883	1149962	34951	1.02	0.30	fragment_only	longest ITPR record 357 aa, below the family floor of 2,000 aa (3 records)
GCA_013398935.1	Ceuthmochares aereus	1961834	Aves	Cuculiformes	ASM1339893v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1120248821	163031	29269	1.12	0.34	fragment_only	longest ITPR record 358 aa, below the family floor of 2,000 aa (4 records)
GCF_017976375.1	Cuculus canorus	55661	Aves	Cuculiformes	bCucCan1.pri	Chromosome	reference genome	Y	RefSeq	2021-04-15	1180136575	78325852	20797936	1.18	0.35	order_rep:Cuculiformes;zero_hit_proteome	best of 19 reference assemblies in Cuculiformes | 0 ITPR records in UP000053760 (13,582 proteins); absence in a proteome is not gene loss
GCA_013389885.1	Geococcyx californianus	8947	Aves	Cuculiformes	ASM1338988v1	Scaffold	reference genome	Y	GenBank	2020-07-06	1134037073	59473	47040	1.13	0.34	fragment_only	longest ITPR record 350 aa, below the family floor of 2,000 aa (4 records)
GCA_006937325.1	Anomalopteryx didiformis	8811	Aves	Dinornithiformes	anoDid_nucDNA_orig	Scaffold	reference genome	N	GenBank	2019-07-12	1190759065	3350051	824	1.19	0.36	order_rep:Dinornithiformes	best of 1 reference assemblies in Dinornithiformes
GCF_000690775.1	Eurypyga helias	54383	Aves	Eurypygiformes	ASM69077v1	Scaffold	reference genome	Y	RefSeq	2014-05-13	1088019637	47243	24402	1.09	0.33	order_rep:Eurypygiformes;zero_hit_proteome	best of 2 reference assemblies in Eurypygiformes | 0 ITPR records in UP000054232 (7,979 proteins); absence in a proteome is not gene loss
GCF_023634155.1	Falco peregrinus	8954	Aves	Falconiformes	bFalPer1.pri	Chromosome	reference genome	Y	RefSeq	2022-06-02	1311580791	93682670	15744644	1.31	0.39	order_rep:Falconiformes	best of 38 reference assemblies in Falconiformes
GCA_002909625.1	Bambusicola thoracicus	9083	Aves	Galliformes	Bthov1.0	Scaffold	reference genome	Y	GenBank	2018-01-31	1032295167	13160	10597	1.03	0.31	fragment_only	longest ITPR record 1702 aa, below the family floor of 2,000 aa (6 records)
GCF_016699485.2	Gallus gallus	9031	Aves	Galliformes	bGalGal1.mat.broiler.GRCg7b	Chromosome	reference genome	Y	RefSeq	2021-01-19	1053315467	90861225	18834961	1.05	0.32	order_rep:Galliformes;anchor	best of 50 reference assemblies in Galliformes | chicken — the bird reference, and Aves is where the margin sits
GCF_030936135.1	Gavia stellata	37040	Aves	Gaviiformes	bGavSte3.hap2	Chromosome	reference genome	Y	RefSeq	2023-08-30	1321270170	50637386	13765203	1.32	0.40	order_rep:Gaviiformes;missing_paralog;fragment_only	best of 4 reference assemblies in Gaviiformes | 1 of 3 expected paralogs (7,730 proteins in the reference proteome) | longest ITPR record 1637 aa, below the family floor of 2,000 aa (1 records)
GCA_013400195.1	Aramus guarauna	54356	Aves	Gruiformes	ASM1340019v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1170510309	810609	62981	1.17	0.35	missing_paralog	2 of 3 expected paralogs (14,274 proteins in the reference proteome)
GCA_013401215.1	Atlantisia rogersi	2478892	Aves	Gruiformes	ASM1340121v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1168394043	36904	36139	1.17	0.35	fragment_only	longest ITPR record 357 aa, below the family floor of 2,000 aa (4 records)
GCF_011004875.1	Balearica regulorum gibbericeps	100784	Aves	Gruiformes	bBalReg1.pri	Chromosome	reference genome	Y	RefSeq	2020-03-05	1221032548	82577926	23326060	1.22	0.37	missing_paralog;fragment_only	1 of 3 expected paralogs (8,821 proteins in the reference proteome) | longest ITPR record 1637 aa, below the family floor of 2,000 aa (1 records)
GCF_964237585.1	Gallinula chloropus	9123	Aves	Gruiformes	bGalChl1.hap1.1	Chromosome	reference genome	Y	RefSeq	2024-08-31	1282394494	90336355	3673000	1.28	0.38	order_rep:Gruiformes	best of 34 reference assemblies in Gruiformes
GCF_034619465.1	Leptosomus discolor	188344	Aves	Leptosomiformes	bLepDis1.hap2	Chromosome	reference genome	Y	RefSeq	2023-12-27	1332028070	82124922	8826436	1.33	0.40	order_rep:Leptosomiformes;missing_paralog;fragment_only	best of 1 reference assemblies in Leptosomiformes | 1 of 3 expected paralogs (9,574 proteins in the reference proteome) | longest ITPR record 285 aa, below the family floor of 2,000 aa (1 records)
GCF_000695765.1	Mesitornis unicolor	54374	Aves	Mesitornithiformes	ASM69576v1	Scaffold	reference genome	Y	RefSeq	2014-06-02	1087290853	47102	22740	1.09	0.33	order_rep:Mesitornithiformes;missing_paralog;fragment_only	best of 1 reference assemblies in Mesitornithiformes | 1 of 3 expected paralogs (9,395 proteins in the reference proteome) | longest ITPR record 1637 aa, below the family floor of 2,000 aa (1 records)
GCA_013399495.1	Corythaixoides concolor	103956	Aves	Musophagiformes	ASM1339949v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1187728577	1108645	52683	1.19	0.36	missing_paralog;fragment_only	2 of 3 expected paralogs (14,210 proteins in the reference proteome) | longest ITPR record 288 aa, below the family floor of 2,000 aa (2 records)
GCF_009769465.1	Tauraco erythrolophus	121530	Aves	Musophagiformes	bTauEry1.pri	Chromosome	reference genome	Y	RefSeq	2019-12-19	1252271553	85562082	11927027	1.25	0.38	order_rep:Musophagiformes;missing_paralog;fragment_only	best of 5 reference assemblies in Musophagiformes | 1 of 3 expected paralogs (10,099 proteins in the reference proteome) | longest ITPR record 1639 aa, below the family floor of 2,000 aa (1 records)
GCF_013368605.1	Nyctibius grandis	48427	Aves	Nyctibiiformes	bNycGra1.pri	Chromosome	reference genome	Y	RefSeq	2020-06-23	1256393467	92359233	23231768	1.26	0.38	order_rep:Nyctibiiformes	best of 2 reference assemblies in Nyctibiiformes
GCF_030867145.1	Opisthocomus hoazin	30419	Aves	Opisthocomiformes	bOpiHoa1.hap1	Chromosome	reference genome	Y	RefSeq	2023-08-24	1482459898	80946297	14274197	1.48	0.44	order_rep:Opisthocomiformes;missing_paralog	best of 1 reference assemblies in Opisthocomiformes | 1 of 3 expected paralogs (12,773 proteins in the reference proteome)
GCF_036417535.1	Chlamydotis macqueenii	187382	Aves	Otidiformes	bChlMac1.mat	Chromosome	reference genome	Y	RefSeq	2024-02-07	1273916401	84623986	25335467	1.27	0.38	order_rep:Otidiformes;missing_paralog	best of 7 reference assemblies in Otidiformes | 2 of 3 expected paralogs (8,277 proteins in the reference proteome)
GCF_000695815.1	Acanthisitta chloris	57068	Aves	Passeriformes	ASM69581v1	Scaffold	reference genome	Y	RefSeq	2014-05-27	1035876403	64469	20602	1.04	0.31	zero_hit_proteome	0 ITPR records in UP000053537 (9,650 proteins); absence in a proteome is not gene loss
GCA_058224745.1	Acrocephalus arundinaceus	39621	Aves	Passeriformes	A.arundinaceus_nicke_mat1.0	Scaffold	reference genome	N	GenBank	2026-06-16	1165107529	16963899	14738253	1.17	0.35	missing_paralog	2 of 3 expected paralogs (13,628 proteins in the reference proteome)
GCA_013397815.1	Aleadryas rufinucha	461220	Aves	Passeriformes	ASM1339781v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1050107613	367770	90297	1.05	0.32	missing_paralog;fragment_only	2 of 3 expected paralogs (13,884 proteins in the reference proteome) | longest ITPR record 288 aa, below the family floor of 2,000 aa (2 records)
GCA_013399455.1	Anthoscopus minutus	156561	Aves	Passeriformes	ASM1339945v1	Scaffold	reference genome	Y	GenBank	2020-07-10	978848727	108848	49651	0.98	0.29	fragment_only	longest ITPR record 285 aa, below the family floor of 2,000 aa (3 records)
GCF_041296385.2	Aphelocoma coerulescens	39617	Aves	Passeriformes	UR_Acoe_1.0	Chromosome	reference genome	Y	RefSeq	2024-10-21	1330898477	68049500	17285536	1.33	0.40	missing_paralog;fragment_only	2 of 3 expected paralogs (14,551 proteins in the reference proteome) | longest ITPR record 288 aa, below the family floor of 2,000 aa (2 records)
GCA_013398615.1	Brachypodius melanocephalos	3235156	Aves	Passeriformes	ASM1339861v1	Scaffold	reference genome	Y	GenBank	2020-07-10	906727256	17537833	85408	0.91	0.27	missing_paralog;fragment_only	2 of 3 expected paralogs (12,859 proteins in the reference proteome) | longest ITPR record 288 aa, below the family floor of 2,000 aa (2 records)
GCA_013400855.1	Buphagus erythrorhynchus	245048	Aves	Passeriformes	ASM1340085v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1040192226	37415	13219	1.04	0.31	missing_paralog;fragment_only	2 of 3 expected paralogs (11,060 proteins in the reference proteome) | longest ITPR record 292 aa, below the family floor of 2,000 aa (2 records)
GCA_013398955.1	Callaeas wilsoni	1347786	Aves	Passeriformes	ASM1339895v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1047533504	133026	118426	1.05	0.31	fragment_only	longest ITPR record 1990 aa, below the family floor of 2,000 aa (5 records)
GCA_013398975.1	Catharus fuscescens	159581	Aves	Passeriformes	ASM1339897v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1041802491	276328	56061	1.04	0.31	missing_paralog	2 of 3 expected paralogs (13,906 proteins in the reference proteome)
GCA_013398575.1	Certhia familiaris	73333	Aves	Passeriformes	ASM1339857v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1066430070	857734	48850	1.07	0.32	missing_paralog	2 of 3 expected paralogs (13,143 proteins in the reference proteome)
GCA_013400585.1	Chloropsis cyanopogon	1218682	Aves	Passeriformes	ASM1340058v1	Scaffold	reference genome	Y	GenBank	2020-07-10	985401841	106723	24720	0.99	0.30	missing_paralog;fragment_only	2 of 3 expected paralogs (12,540 proteins in the reference proteome) | longest ITPR record 288 aa, below the family floor of 2,000 aa (2 records)
GCA_013390065.1	Chloropsis hardwickii	667144	Aves	Passeriformes	ASM1339006v1	Scaffold	reference genome	Y	GenBank	2020-07-06	1054347212	572698	39381	1.05	0.32	missing_paralog;fragment_only	2 of 3 expected paralogs (13,502 proteins in the reference proteome) | longest ITPR record 288 aa, below the family floor of 2,000 aa (2 records)
GCA_013400215.1	Cisticola juncidis	52622	Aves	Passeriformes	ASM1340021v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1016620075	873777	74140	1.02	0.30	missing_paralog	2 of 3 expected paralogs (13,372 proteins in the reference proteome)
GCA_013398175.1	Climacteris rufus	47695	Aves	Passeriformes	ASM1339817v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1058972301	863000	72434	1.06	0.32	missing_paralog	2 of 3 expected paralogs (14,074 proteins in the reference proteome)
GCA_054084135.1	Copsychus sechellarum	797021	Aves	Passeriformes	bCopSec1.hap2	Chromosome	reference genome	N	GenBank	2025-12-18	1040605357	71944673	12529446	1.04	0.31	fragment_only	longest ITPR record 350 aa, below the family floor of 2,000 aa (4 records)
GCF_000691975.1	Corvus brachyrhynchos	85066	Aves	Passeriformes	ASM69197v1	Scaffold	reference genome	Y	RefSeq	2014-06-02	1091312783	6953989	29093	1.09	0.33	missing_paralog	1 of 3 expected paralogs (13,621 proteins in the reference proteome)
GCA_013400955.1	Drymodes brunneopygia	626378	Aves	Passeriformes	ASM1340095v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1058966521	443364	79910	1.06	0.32	missing_paralog	2 of 3 expected paralogs (13,533 proteins in the reference proteome)
GCA_013389985.1	Dryoscopus gambensis	85069	Aves	Passeriformes	ASM1338998v1	Scaffold	reference genome	Y	GenBank	2020-07-06	992742094	113106	29388	0.99	0.30	missing_paralog;fragment_only	1 of 3 expected paralogs (12,293 proteins in the reference proteome) | longest ITPR record 272 aa, below the family floor of 2,000 aa (1 records)
GCA_013398795.1	Elachura formosa	1463973	Aves	Passeriformes	ASM1339879v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1013707244	1152566	43159	1.01	0.30	fragment_only	longest ITPR record 351 aa, below the family floor of 2,000 aa (4 records)
GCA_013398835.1	Emberiza fucata	337179	Aves	Passeriformes	ASM1339883v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1032579516	892245	19687	1.03	0.31	missing_paralog;fragment_only	2 of 3 expected paralogs (13,193 proteins in the reference proteome) | longest ITPR record 288 aa, below the family floor of 2,000 aa (2 records)
GCA_013400515.1	Erpornis zantholeuca	1112836	Aves	Passeriformes	ASM1340051v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1013967273	176063	45331	1.01	0.30	missing_paralog	2 of 3 expected paralogs (13,291 proteins in the reference proteome)
GCA_013397465.1	Furnarius figulus	463165	Aves	Passeriformes	ASM1339746v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1020012445	650940	55547	1.02	0.31	missing_paralog	2 of 3 expected paralogs (13,848 proteins in the reference proteome)
GCA_013397955.1	Grantiella picta	266360	Aves	Passeriformes	ASM1339795v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1014521746	1131194	100624	1.01	0.30	missing_paralog;fragment_only	2 of 3 expected paralogs (14,054 proteins in the reference proteome) | longest ITPR record 288 aa, below the family floor of 2,000 aa (2 records)
GCA_013400075.1	Hippolais icterina	68497	Aves	Passeriformes	ASM1340007v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1048398027	494139	64762	1.05	0.31	missing_paralog	2 of 3 expected paralogs (13,629 proteins in the reference proteome)
GCA_013401035.1	Horornis vulcanius	2585811	Aves	Passeriformes	ASM1340103v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1223573813	15429	3129	1.22	0.37	missing_paralog;fragment_only	2 of 3 expected paralogs (9,840 proteins in the reference proteome) | longest ITPR record 294 aa, below the family floor of 2,000 aa (2 records)
GCA_013400635.1	Hypocryptadius cinnamomeus	589841	Aves	Passeriformes	ASM1340063v1	Scaffold	reference genome	Y	GenBank	2020-07-10	854293167	39504	23460	0.85	0.26	missing_paralog	2 of 3 expected paralogs (12,372 proteins in the reference proteome)
GCA_015883425.2	Lamprotornis superbus	245042	Aves	Passeriformes	CU_Lasu_v2	Chromosome	reference genome	Y	GenBank	2022-03-24	1068005652	72276715	150307	1.07	0.32	missing_paralog	1 of 3 expected paralogs (14,245 proteins in the reference proteome)
GCA_013400445.1	Leiothrix lutea	36275	Aves	Passeriformes	ASM1340044v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1058758629	297511	27764	1.06	0.32	missing_paralog	2 of 3 expected paralogs (13,253 proteins in the reference proteome)
GCA_014363365.1	Leucopsar rothschildi	127929	Aves	Passeriformes	L_rothschildi_scaffold_01	Scaffold	reference genome	N	GenBank	2020-08-22	999682512	220241	104200	1.00	0.30	missing_paralog;fragment_only	2 of 3 expected paralogs (13,433 proteins in the reference proteome) | longest ITPR record 285 aa, below the family floor of 2,000 aa (2 records)
GCA_013398455.1	Loxia curvirostra	64802	Aves	Passeriformes	ASM1339845v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1028271095	3116274	211346	1.03	0.31	missing_paralog;fragment_only	1 of 3 expected paralogs (14,544 proteins in the reference proteome) | longest ITPR record 285 aa, below the family floor of 2,000 aa (1 records)
GCF_001715985.3	Manacus vitellinus	328815	Aves	Passeriformes	ASM171598v3	Scaffold	reference genome	Y	RefSeq	2019-07-03	1072328541	17883582	290580	1.07	0.32	missing_paralog	2 of 3 expected paralogs (12,707 proteins in the reference proteome)
GCA_013396355.1	Menura novaehollandiae	47692	Aves	Passeriformes	ASM1339635v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1060480557	2360993	85461	1.06	0.32	missing_paralog;fragment_only	2 of 3 expected paralogs (14,416 proteins in the reference proteome) | longest ITPR record 288 aa, below the family floor of 2,000 aa (2 records)
GCA_013397495.1	Mionectes macconnelli	254557	Aves	Passeriformes	ASM1339749v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1042002978	1646422	72805	1.04	0.31	fragment_only	longest ITPR record 360 aa, below the family floor of 2,000 aa (4 records)
GCA_013397015.1	Myiagra hebetior	381031	Aves	Passeriformes	ASM1339701v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1049898355	831089	66181	1.05	0.31	missing_paralog	2 of 3 expected paralogs (13,880 proteins in the reference proteome)
GCA_013400655.1	Mystacornis crossleyi	98133	Aves	Passeriformes	ASM1340065v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1116797458	36392	10653	1.12	0.34	zero_hit_proteome	0 ITPR records in UP000537747 (10,563 proteins); absence in a proteome is not gene loss
GCA_013400695.1	Neodrepanis coruscans	254563	Aves	Passeriformes	ASM1340069v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1024462016	18836	7054	1.02	0.31	fragment_only	longest ITPR record 301 aa, below the family floor of 2,000 aa (3 records)
GCA_013397895.1	Origma solitaria	720586	Aves	Passeriformes	ASM1339789v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1033410747	1255867	99117	1.03	0.31	fragment_only	longest ITPR record 1887 aa, below the family floor of 2,000 aa (4 records)
GCA_013400675.1	Oxylabes madagascariensis	98144	Aves	Passeriformes	ASM1340067v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1199250113	17018	3531	1.20	0.36	missing_paralog;fragment_only	2 of 3 expected paralogs (8,969 proteins in the reference proteome) | longest ITPR record 294 aa, below the family floor of 2,000 aa (2 records)
GCA_013399855.1	Oxyruncus cristatus	114331	Aves	Passeriformes	ASM1339985v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1062467484	1139285	75750	1.06	0.32	missing_paralog;fragment_only	2 of 3 expected paralogs (14,018 proteins in the reference proteome) | longest ITPR record 285 aa, below the family floor of 2,000 aa (2 records)
GCA_013400915.1	Pardalotus punctatus	254575	Aves	Passeriformes	ASM1340091v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1032444361	306807	83169	1.03	0.31	fragment_only	longest ITPR record 346 aa, below the family floor of 2,000 aa (4 records)
GCF_030490865.1	Poecile atricapillus	48891	Aves	Passeriformes	bPoeAtr1.hap1	Chromosome	reference genome	Y	RefSeq	2023-07-18	1251116877	107919339	8462732	1.25	0.38	order_rep:Passeriformes;missing_paralog	best of 771 reference assemblies in Passeriformes | 2 of 3 expected paralogs (14,163 proteins in the reference proteome)
GCA_013397295.1	Polioptila caerulea	66707	Aves	Passeriformes	ASM1339729v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1038028908	602916	50944	1.04	0.31	missing_paralog	2 of 3 expected paralogs (13,534 proteins in the reference proteome)
GCA_013401195.1	Pomatorhinus ruficollis	932028	Aves	Passeriformes	ASM1340119v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1065047492	1256354	60017	1.07	0.32	fragment_only	longest ITPR record 379 aa, below the family floor of 2,000 aa (3 records)
GCA_013400735.1	Pomatostomus ruficeps	9176	Aves	Passeriformes	ASM1340073v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1020560999	71937	34780	1.02	0.31	missing_paralog	2 of 3 expected paralogs (13,287 proteins in the reference proteome)
GCA_013396485.1	Ptilorrhoa leucosticta	449384	Aves	Passeriformes	ASM1339648v1	Scaffold	reference genome	Y	GenBank	2020-07-10	1110559233	1205068	77643	1.11	0.33	fragment_only	longest ITPR record 349 aa, below the family floor of 2,000 aa (3 records)
