accession	label	kind	call	group	paralog	species	kingdom	phylum	length	source	in_alphafold	afdb_status	model_accession	afdb_entry	model_length	model_coverage	is_canonical	afdb_version	seq_version_date	error
A0A7K5QWZ6	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Prunella himalayana	Metazoa	Chordata	285	InterPro	1	full	A0A7K5QWZ6	AF-A0A7K5QWZ6-F1	285	1.0	1	6	2021-04-07	
A0A7K5R282	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Prunella himalayana	Metazoa	Chordata	2676	InterPro	0	absent			0	0.0				404
A0A7K5RNL7	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Lanius ludovicianus (Loggerhead shrike)	Metazoa	Chordata	285	InterPro	1	full	A0A7K5RNL7	AF-A0A7K5RNL7-F1	285	1.0	1	6	2021-04-07	
A0A7K5RWD5	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Lanius ludovicianus (Loggerhead shrike)	Metazoa	Chordata	2675	InterPro	0	absent			0	0.0				404
A0A7K5S3C8	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Lanius ludovicianus (Loggerhead shrike)	Metazoa	Chordata	272	InterPro	1	full	A0A7K5S3C8	AF-A0A7K5S3C8-F1	272	1.0	1	6	2021-04-07	
A0A7K5T7M2	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Urocynchramus pylzowi	Metazoa	Chordata	2675	InterPro	0	absent			0	0.0				404
A0A7K5T8N2	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Urocynchramus pylzowi	Metazoa	Chordata	272	InterPro	1	full	A0A7K5T8N2	AF-A0A7K5T8N2-F1	272	1.0	1	6	2021-04-07	
A0A7K5TFK7	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Urocynchramus pylzowi	Metazoa	Chordata	285	InterPro	1	full	A0A7K5TFK7	AF-A0A7K5TFK7-F1	285	1.0	1	6	2021-04-07	
A0A7K5UA07	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Cephalopterus ornatus (Amazonian umbrellabird)	Metazoa	Chordata	2677	InterPro	0	absent			0	0.0				404
A0A7K5UJG0	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Cephalopterus ornatus (Amazonian umbrellabird)	Metazoa	Chordata	272	InterPro	1	full	A0A7K5UJG0	AF-A0A7K5UJG0-F1	272	1.0	1	6	2021-04-07	
A0A7K5ULQ2	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Cephalopterus ornatus (Amazonian umbrellabird)	Metazoa	Chordata	285	InterPro	1	full	A0A7K5ULQ2	AF-A0A7K5ULQ2-F1	285	1.0	1	6	2021-04-07	
A0A7K5V503	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Platysteira castanea	Metazoa	Chordata	285	InterPro	1	full	A0A7K5V503	AF-A0A7K5V503-F1	285	1.0	1	6	2021-04-07	
A0A7K5VIV8	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Platysteira castanea	Metazoa	Chordata	2675	InterPro	0	absent			0	0.0				404
A0A7K5VTU8	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Platysteira castanea	Metazoa	Chordata	272	InterPro	1	full	A0A7K5VTU8	AF-A0A7K5VTU8-F1	272	1.0	1	6	2021-04-07	
A0A7K5W3A7	Itpr2_0	uniprot	ITPR	Vertebrata	Itpr2_0	Hylia prasina (green hylia)	Metazoa	Chordata	285	InterPro	1	full	A0A7K5W3A7	AF-A0A7K5W3A7-F1	285	1.0	1	6	2021-04-07	
A0A7K5WIM7	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Hylia prasina (green hylia)	Metazoa	Chordata	272	InterPro	1	full	A0A7K5WIM7	AF-A0A7K5WIM7-F1	272	1.0	1	6	2021-04-07	
A0A7K5WWC4	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Hylia prasina (green hylia)	Metazoa	Chordata	2675	InterPro	0	absent			0	0.0				404
A0A7K5XKD9	Itpr2_0	uniprot	ITPR	Vertebrata	Itpr2_0	Dromas ardeola	Metazoa	Chordata	285	InterPro	1	full	A0A7K5XKD9	AF-A0A7K5XKD9-F1	285	1.0	1	6	2021-04-07	
A0A7K5XTT8	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Dromas ardeola	Metazoa	Chordata	287	InterPro	1	full	A0A7K5XTT8	AF-A0A7K5XTT8-F1	287	1.0	1	6	2021-04-07	
A0A7K5XVI3	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Dromas ardeola	Metazoa	Chordata	2663	InterPro	0	absent			0	0.0				404
A0A7K5YAL3	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Pterocles burchelli	Metazoa	Chordata	285	InterPro	1	full	A0A7K5YAL3	AF-A0A7K5YAL3-F1	285	1.0	1	6	2021-04-07	
A0A7K5YD89	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Pterocles burchelli	Metazoa	Chordata	288	InterPro	1	full	A0A7K5YD89	AF-A0A7K5YD89-F1	288	1.0	1	6	2021-04-07	
A0A7K5ZVG4	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Onychorhynchus coronatus (Royal flycatcher)	Metazoa	Chordata	285	InterPro	1	full	A0A7K5ZVG4	AF-A0A7K5ZVG4-F1	285	1.0	1	6	2021-04-07	
A0A7K6A0K3	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Onychorhynchus coronatus (Royal flycatcher)	Metazoa	Chordata	288	InterPro	1	full	A0A7K6A0K3	AF-A0A7K6A0K3-F1	288	1.0	1	6	2021-04-07	
A0A7K6A2Q3	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Onychorhynchus coronatus (Royal flycatcher)	Metazoa	Chordata	2703	InterPro	0	absent			0	0.0				404
A0A7K6AQH4	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Upupa epops (Eurasian hoopoe)	Metazoa	Chordata	285	InterPro	1	full	A0A7K6AQH4	AF-A0A7K6AQH4-F1	285	1.0	1	6	2021-04-07	
A0A7K6AXX7	Itpr1_0	uniprot	ITPR	Vertebrata	Itpr1_0	Upupa epops (Eurasian hoopoe)	Metazoa	Chordata	272	InterPro	1	full	A0A7K6AXX7	AF-A0A7K6AXX7-F1	272	1.0	1	6	2021-04-07	
A0A7K6BG36	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Upupa epops (Eurasian hoopoe)	Metazoa	Chordata	2662	InterPro	0	absent			0	0.0				404
A0A7K6BKF7	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Ptilonorhynchus violaceus (Satin bowerbird) (Pyrrhocorax violaceus)	Metazoa	Chordata	272	InterPro	1	full	A0A7K6BKF7	AF-A0A7K6BKF7-F1	272	1.0	1	6	2021-04-07	
A0A7K6C2L8	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Ptilonorhynchus violaceus (Satin bowerbird) (Pyrrhocorax violaceus)	Metazoa	Chordata	285	InterPro	1	full	A0A7K6C2L8	AF-A0A7K6C2L8-F1	285	1.0	1	6	2021-04-07	
A0A7K6CA78	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Ptilonorhynchus violaceus (Satin bowerbird) (Pyrrhocorax violaceus)	Metazoa	Chordata	2663	InterPro	0	absent			0	0.0				404
A0A7K6CUH2	Itpr3_0	uniprot	ITPR	Vertebrata	Itpr3_0	Origma solitaria	Metazoa	Chordata	1887	InterPro	0	absent			0	0.0				404
A0A7K6D2S2	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Origma solitaria	Metazoa	Chordata	285	InterPro	1	full	A0A7K6D2S2	AF-A0A7K6D2S2-F1	285	1.0	1	6	2021-04-07	
A0A7K6DI36	Itpr3_1	uniprot	ITPR	Vertebrata	Itpr3_1	Origma solitaria	Metazoa	Chordata	351	HMM		full	A0A7K6DI36	AF-A0A7K6DI36-F1	351	1.0	1	6	2021-04-07	
A0A7K6DLQ0	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Origma solitaria	Metazoa	Chordata	288	InterPro	1	full	A0A7K6DLQ0	AF-A0A7K6DLQ0-F1	288	1.0	1	6	2021-04-07	
A0A7K6E6F7	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Grantiella picta	Metazoa	Chordata	288	InterPro	1	full	A0A7K6E6F7	AF-A0A7K6E6F7-F1	288	1.0	1	6	2021-04-07	
A0A7K6EB66	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Grantiella picta	Metazoa	Chordata	285	InterPro	1	full	A0A7K6EB66	AF-A0A7K6EB66-F1	285	1.0	1	6	2021-04-07	
A0A7K6FDG0	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Daphoenositta chrysoptera (varied sittella)	Metazoa	Chordata	272	InterPro	1	full	A0A7K6FDG0	AF-A0A7K6FDG0-F1	272	1.0	1	6	2021-04-07	
A0A7K6FUI5	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Daphoenositta chrysoptera (varied sittella)	Metazoa	Chordata	285	InterPro	1	full	A0A7K6FUI5	AF-A0A7K6FUI5-F1	285	1.0	1	6	2021-04-07	
A0A7K6FVM1	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Daphoenositta chrysoptera (varied sittella)	Metazoa	Chordata	2676	InterPro	0	absent			0	0.0				404
A0A7K6GH97	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Malurus elegans (Red-winged fairywren)	Metazoa	Chordata	285	InterPro	1	full	A0A7K6GH97	AF-A0A7K6GH97-F1	285	1.0	1	6	2021-04-07	
A0A7K6GQ50	Itpr3_0	uniprot	ITPR	Vertebrata	Itpr3_0	Malurus elegans	Metazoa	Chordata	341	HMM		full	A0A7K6GQ50	AF-A0A7K6GQ50-F1	341	1.0	1	6	2021-04-07	
A0A7K6GU25	Itpr3_1	uniprot	ITPR	Vertebrata	Itpr3_1	Malurus elegans (Red-winged fairywren)	Metazoa	Chordata	2002	InterPro	0	absent			0	0.0				404
A0A7K6HBY9	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Dasyornis broadbenti (rufous bristle-bird)	Metazoa	Chordata	272	InterPro	1	full	A0A7K6HBY9	AF-A0A7K6HBY9-F1	272	1.0	1	6	2021-04-07	
A0A7K6HYA4	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Dasyornis broadbenti (rufous bristle-bird)	Metazoa	Chordata	2680	InterPro	0	absent			0	0.0				404
A0A7K6HZQ7	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Dasyornis broadbenti (rufous bristle-bird)	Metazoa	Chordata	285	InterPro	1	full	A0A7K6HZQ7	AF-A0A7K6HZQ7-F1	285	1.0	1	6	2021-04-07	
A0A7K6J2W3	Itpr2_0	uniprot	ITPR	Vertebrata	Itpr2_0	Machaerirhynchus nigripectus	Metazoa	Chordata	285	InterPro	1	full	A0A7K6J2W3	AF-A0A7K6J2W3-F1	285	1.0	1	6	2021-04-07	
A0A7K6J308	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Machaerirhynchus nigripectus	Metazoa	Chordata	272	InterPro	1	full	A0A7K6J308	AF-A0A7K6J308-F1	272	1.0	1	6	2021-04-07	
A0A7K6JLJ0	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Machaerirhynchus nigripectus	Metazoa	Chordata	2677	InterPro	0	absent			0	0.0				404
A0A7K6JU00	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Oreocharis arfaki (tit berrypecker)	Metazoa	Chordata	285	InterPro	1	full	A0A7K6JU00	AF-A0A7K6JU00-F1	285	1.0	1	6	2021-04-07	
A0A7K6KEA6	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Oreocharis arfaki (tit berrypecker)	Metazoa	Chordata	2587	InterPro	0	absent			0	0.0				404
A0A7K6KIV3	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Oreocharis arfaki (tit berrypecker)	Metazoa	Chordata	288	InterPro	1	full	A0A7K6KIV3	AF-A0A7K6KIV3-F1	288	1.0	1	6	2021-04-07	
A0A7K6L1V1	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Falcunculus frontatus (Eastern shriketit)	Metazoa	Chordata	285	InterPro	1	full	A0A7K6L1V1	AF-A0A7K6L1V1-F1	285	1.0	1	6	2021-04-07	
A0A7K6L9B6	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Falcunculus frontatus (Eastern shriketit)	Metazoa	Chordata	288	InterPro	1	full	A0A7K6L9B6	AF-A0A7K6L9B6-F1	288	1.0	1	6	2021-04-07	
A0A7K6LHC3	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Falcunculus frontatus (Eastern shriketit)	Metazoa	Chordata	2670	InterPro	0	absent			0	0.0				404
A0A7K6M944	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Panurus biarmicus (Bearded tit)	Metazoa	Chordata	2675	InterPro	0	absent			0	0.0				404
A0A7K6MBH3	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Panurus biarmicus (Bearded tit)	Metazoa	Chordata	285	InterPro	1	full	A0A7K6MBH3	AF-A0A7K6MBH3-F1	285	1.0	1	6	2021-04-07	
A0A7K6MLF1	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Panurus biarmicus	Metazoa	Chordata	225	HMM		full	A0A7K6MLF1	AF-A0A7K6MLF1-F1	225	1.0	1	6	2021-04-07	
A0A7K6NXH3	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Pedionomus torquatus (Plains-wanderer)	Metazoa	Chordata	2662	InterPro	0	absent			0	0.0				404
A0A7K6NZ06	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Pedionomus torquatus (Plains-wanderer)	Metazoa	Chordata	285	InterPro	1	full	A0A7K6NZ06	AF-A0A7K6NZ06-F1	285	1.0	1	6	2021-04-07	
A0A7K6PCD8	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Ifrita kowaldi (blue-capped ifrita)	Metazoa	Chordata	288	InterPro	1	full	A0A7K6PCD8	AF-A0A7K6PCD8-F1	288	1.0	1	6	2021-04-07	
A0A7K6PPX1	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Ifrita kowaldi (blue-capped ifrita)	Metazoa	Chordata	285	InterPro	1	full	A0A7K6PPX1	AF-A0A7K6PPX1-F1	285	1.0	1	6	2021-04-07	
A0A7K6PTU9	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Ifrita kowaldi (blue-capped ifrita)	Metazoa	Chordata	2676	InterPro	0	absent			0	0.0				404
A0A7K6QSH9	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Climacteris rufus (rufous treecreeper)	Metazoa	Chordata	285	InterPro	1	full	A0A7K6QSH9	AF-A0A7K6QSH9-F1	285	1.0	1	6	2021-04-07	
A0A7K6QWB4	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Climacteris rufus (rufous treecreeper)	Metazoa	Chordata	2676	InterPro	0	absent			0	0.0				404
A0A7K6RWC0	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Rhynochetos jubatus (kagu)	Metazoa	Chordata	2643	InterPro	0	absent			0	0.0				404
A0A7K6S4Q0	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Rhynochetos jubatus (kagu)	Metazoa	Chordata	285	InterPro	1	full	A0A7K6S4Q0	AF-A0A7K6S4Q0-F1	285	1.0	1	6	2021-04-07	
A0A7K6SAM0	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Rhynochetos jubatus (kagu)	Metazoa	Chordata	288	InterPro	1	full	A0A7K6SAM0	AF-A0A7K6SAM0-F1	288	1.0	1	6	2021-04-07	
A0A7K6T1X4	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Caloenas nicobarica (Nicobar pigeon)	Metazoa	Chordata	2669	InterPro	0	absent			0	0.0				404
A0A7K6TA92	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Caloenas nicobarica (Nicobar pigeon)	Metazoa	Chordata	285	InterPro	1	full	A0A7K6TA92	AF-A0A7K6TA92-F1	285	1.0	1	6	2021-04-07	
A0A7K6THW9	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Caloenas nicobarica (Nicobar pigeon)	Metazoa	Chordata	272	InterPro	1	full	A0A7K6THW9	AF-A0A7K6THW9-F1	272	1.0	1	6	2021-04-07	
A0A7K6U101	Itpr2_0	uniprot	ITPR	Vertebrata	Itpr2_0	Aegotheles bennettii	Metazoa	Chordata	285	InterPro	1	full	A0A7K6U101	AF-A0A7K6U101-F1	285	1.0	1	6	2021-04-07	
A0A7K6U3A3	Itpr3_0	uniprot	ITPR	Vertebrata	Itpr3_0	Aegotheles bennettii	Metazoa	Chordata	359	HMM		full	A0A7K6U3A3	AF-A0A7K6U3A3-F1	359	1.0	1	6	2021-04-07	
A0A7K6UHU5	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Aegotheles bennettii	Metazoa	Chordata	288	InterPro	1	full	A0A7K6UHU5	AF-A0A7K6UHU5-F1	288	1.0	1	6	2021-04-07	
A0A7K6UHV4	Itpr3_1	uniprot	ITPR	Vertebrata	Itpr3_1	Aegotheles bennettii	Metazoa	Chordata	1887	InterPro	0	absent			0	0.0				404
A0A7K6UZZ4	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Notiomystis cincta	Metazoa	Chordata	288	InterPro	1	full	A0A7K6UZZ4	AF-A0A7K6UZZ4-F1	288	1.0	1	6	2021-04-07	
A0A7K6V4B2	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Notiomystis cincta	Metazoa	Chordata	2587	InterPro	0	absent			0	0.0				404
A0A7K6VM32	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Notiomystis cincta	Metazoa	Chordata	285	InterPro	1	full	A0A7K6VM32	AF-A0A7K6VM32-F1	285	1.0	1	6	2021-04-07	
A0A7K6VYW5	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Steatornis caripensis (Oilbird)	Metazoa	Chordata	285	InterPro	1	full	A0A7K6VYW5	AF-A0A7K6VYW5-F1	285	1.0	1	6	2021-04-07	
A0A7K6VZG3	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Steatornis caripensis (Oilbird)	Metazoa	Chordata	288	InterPro	1	full	A0A7K6VZG3	AF-A0A7K6VZG3-F1	288	1.0	1	6	2021-04-07	
A0A7K6W2W9	Itpr3_0	uniprot	ITPR	Vertebrata	Itpr3_0	Steatornis caripensis	Metazoa	Chordata	362	HMM		full	A0A7K6W2W9	AF-A0A7K6W2W9-F1	362	1.0	1	6	2021-04-07	
A0A7K6WMI8	Itpr3_1	uniprot	ITPR	Vertebrata	Itpr3_1	Steatornis caripensis (Oilbird)	Metazoa	Chordata	1897	InterPro	0	absent			0	0.0				404
A0A7K6XF15	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Promerops cafer (Cape sugarbird)	Metazoa	Chordata	2704	InterPro	0	absent			0	0.0				404
A0A7K6XFY6	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Promerops cafer (Cape sugarbird)	Metazoa	Chordata	288	InterPro	1	full	A0A7K6XFY6	AF-A0A7K6XFY6-F1	288	1.0	1	6	2021-04-07	
A0A7K6XWG3	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Promerops cafer (Cape sugarbird)	Metazoa	Chordata	285	InterPro	1	full	A0A7K6XWG3	AF-A0A7K6XWG3-F1	285	1.0	1	6	2021-04-07	
A0A7K6Y8Z9	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Alca torda (Razorbill)	Metazoa	Chordata	272	InterPro	1	full	A0A7K6Y8Z9	AF-A0A7K6Y8Z9-F1	272	1.0	1	6	2021-04-07	
A0A7K6YUK0	Itpr2_0	uniprot	ITPR	Vertebrata	Itpr2_0	Alca torda (Razorbill)	Metazoa	Chordata	285	InterPro	1	full	A0A7K6YUK0	AF-A0A7K6YUK0-F1	285	1.0	1	6	2021-04-07	
A0A7K6ZD74	Itpr3_1	uniprot	ITPR	Vertebrata	Itpr3_1	Alca torda (Razorbill)	Metazoa	Chordata	270	InterPro	1	full	A0A7K6ZD74	AF-A0A7K6ZD74-F1	270	1.0	1	6	2021-04-07	
A0A7K6ZHU3	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Nothoprocta pentlandii	Metazoa	Chordata	287	InterPro	1	full	A0A7K6ZHU3	AF-A0A7K6ZHU3-F1	287	1.0	1	6	2021-04-07	
A0A7K7A1A7	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Nothoprocta pentlandii	Metazoa	Chordata	2667	InterPro	0	absent			0	0.0				404
A0A7K7A1Z6	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Nothoprocta pentlandii	Metazoa	Chordata	285	InterPro	1	full	A0A7K7A1Z6	AF-A0A7K7A1Z6-F1	285	1.0	1	6	2021-04-07	
A0A7K7AQJ0	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Nothoprocta ornata	Metazoa	Chordata	287	InterPro	1	full	A0A7K7AQJ0	AF-A0A7K7AQJ0-F1	287	1.0	1	6	2021-04-07	
A0A7K7BC97	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Nothoprocta ornata	Metazoa	Chordata	285	InterPro	1	full	A0A7K7BC97	AF-A0A7K7BC97-F1	285	1.0	1	6	2021-04-07	
A0A7K7BDB1	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Nothoprocta ornata	Metazoa	Chordata	2667	InterPro	0	absent			0	0.0				404
A0A7K7BT64	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Aphelocoma coerulescens (Florida scrub-jay) (Corvus coerulescens)	Metazoa	Chordata	288	InterPro	1	full	A0A7K7BT64	AF-A0A7K7BT64-F1	288	1.0	1	6	2021-04-07	
A0A7K7BZH7	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Aphelocoma coerulescens (Florida scrub-jay) (Corvus coerulescens)	Metazoa	Chordata	285	InterPro	1	full	A0A7K7BZH7	AF-A0A7K7BZH7-F1	285	1.0	1	6	2021-04-07	
A0A7K7CY14	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Pheucticus melanocephalus (Black-headed grosbeak) (Guiraca melanocephala)	Metazoa	Chordata	285	InterPro	1	full	A0A7K7CY14	AF-A0A7K7CY14-F1	285	1.0	1	6	2021-04-07	
A0A7K7DKH8	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Pheucticus melanocephalus (Black-headed grosbeak) (Guiraca melanocephala)	Metazoa	Chordata	2587	InterPro	0	absent			0	0.0				404
A0A7K7DMQ4	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Pheucticus melanocephalus (Black-headed grosbeak) (Guiraca melanocephala)	Metazoa	Chordata	288	InterPro	1	full	A0A7K7DMQ4	AF-A0A7K7DMQ4-F1	288	1.0	1	6	2021-04-07	
A0A7K7DUH0	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Sylvia atricapilla (blackcap)	Metazoa	Chordata	2676	InterPro	0	absent			0	0.0				404
A0A7K7ED83	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Sylvia atricapilla (blackcap)	Metazoa	Chordata	285	InterPro	1	full	A0A7K7ED83	AF-A0A7K7ED83-F1	285	1.0	1	6	2021-04-07	
A0A7K7EQ91	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Sylvia atricapilla (blackcap)	Metazoa	Chordata	288	InterPro	1	full	A0A7K7EQ91	AF-A0A7K7EQ91-F1	288	1.0	1	6	2021-04-07	
A0A7K7F5V9	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Chionis minor (Black-faced sheathbill)	Metazoa	Chordata	285	InterPro	1	full	A0A7K7F5V9	AF-A0A7K7F5V9-F1	285	1.0	1	6	2021-04-07	
A0A7K7F847	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Chionis minor (Black-faced sheathbill)	Metazoa	Chordata	288	InterPro	1	full	A0A7K7F847	AF-A0A7K7F847-F1	288	1.0	1	6	2021-04-07	
A0A7K7FXI1	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Chionis minor (Black-faced sheathbill)	Metazoa	Chordata	2667	InterPro	0	absent			0	0.0				404
A0A7K7GGH3	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Erithacus rubecula (European robin)	Metazoa	Chordata	2690	InterPro	0	absent			0	0.0				404
A0A7K7GM91	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Erithacus rubecula (European robin)	Metazoa	Chordata	288	InterPro	1	full	A0A7K7GM91	AF-A0A7K7GM91-F1	288	1.0	1	6	2021-04-07	
A0A7K7GPI7	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Erithacus rubecula (European robin)	Metazoa	Chordata	285	InterPro	1	full	A0A7K7GPI7	AF-A0A7K7GPI7-F1	285	1.0	1	6	2021-04-07	
A0A7K7IWJ3	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Loxia curvirostra (Red crossbill)	Metazoa	Chordata	285	InterPro	1	full	A0A7K7IWJ3	AF-A0A7K7IWJ3-F1	285	1.0	1	6	2021-04-07	
A0A7K7JLC0	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Agelaius phoeniceus (Red-winged blackbird) (Oriolus phoeniceus)	Metazoa	Chordata	285	InterPro	1	full	A0A7K7JLC0	AF-A0A7K7JLC0-F1	285	1.0	1	6	2021-04-07	
A0A7K7K7H6	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Agelaius phoeniceus (Red-winged blackbird) (Oriolus phoeniceus)	Metazoa	Chordata	288	InterPro	1	full	A0A7K7K7H6	AF-A0A7K7K7H6-F1	288	1.0	1	6	2021-04-07	
A0A7K7K8X3	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Agelaius phoeniceus (Red-winged blackbird) (Oriolus phoeniceus)	Metazoa	Chordata	2694	InterPro	0	absent			0	0.0				404
A0A7K7L320	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Asarcornis scutulata	Metazoa	Chordata	287	InterPro	1	full	A0A7K7L320	AF-A0A7K7L320-F1	287	1.0	1	6	2021-04-07	
A0A7K7LB82	Itpr3	uniprot	ITPR	Vertebrata	Itpr3	Asarcornis scutulata	Metazoa	Chordata	2668	InterPro	0	absent			0	0.0				404
A0A7K7LMX5	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Asarcornis scutulata	Metazoa	Chordata	285	InterPro	1	full	A0A7K7LMX5	AF-A0A7K7LMX5-F1	285	1.0	1	6	2021-04-07	
A0A7K7M5Q8	Itpr1_1	uniprot	ITPR	Vertebrata	Itpr1_1	Brachypodius melanocephalos (black-headed bulbul)	Metazoa	Chordata	288	InterPro	1	full	A0A7K7M5Q8	AF-A0A7K7M5Q8-F1	288	1.0	1	6	2021-04-07	
A0A7K7MBB4	Itpr2_1	uniprot	ITPR	Vertebrata	Itpr2_1	Brachypodius melanocephalos (black-headed bulbul)	Metazoa	Chordata	285	InterPro	1	full	A0A7K7MBB4	AF-A0A7K7MBB4-F1	285	1.0	1	6	2021-04-07	
