accession	label	kind	call	group	paralog	species	kingdom	phylum	length	source	in_alphafold	afdb_status	model_accession	afdb_entry	model_length	model_coverage	is_canonical	afdb_version	seq_version_date	error
GCF_964204645.1|copy2|NC_134025.1:7918633-7954918	invert_metazoa_Tubulanus_polymorphus_GCF_964204645.1_copy2_7918633	other	ITPR	invert_metazoa		Tubulanus polymorphus	Metazoa	Nemertea	2610	S23 genome sweep		not_applicable			0	0.0				accession is not a UniProt accession
H3A1P5	ITPR1_Latimeria_chalumnae_Coelacanth_H3A1P5	uniprot	ITPR	ITPR1	ITPR1	Latimeria chalumnae (Coelacanth)	Metazoa	Chordata	2725	InterPro		absent			0	0.0				404
H3B932	ITPR3_Latimeria_chalumnae_Coelacanth_H3B932	uniprot	ITPR	ITPR3	ITPR3	Latimeria chalumnae (Coelacanth)	Metazoa	Chordata	2675	InterPro		absent			0	0.0				404
L8GF85	protist_Acanthamoeba_castellanii_strain_ATCC_3_L8GF85	uniprot	ITPR	protist	ITPR2	Acanthamoeba castellanii (strain ATCC 30010 / Neff)		Discosea	3344	InterPro		absent			0	0.0				404
P11881	ITPR1_Mus_musculus_Mouse_P11881	uniprot	ITPR	ITPR1	ITPR1	Mus musculus (Mouse)	Metazoa	Chordata	2749	InterPro		isoform	P11881-8	AF-P11881-8-F1	2694	0.98	0	6	2010-11-30	
P21817	RYR_Homo_sapiens_Human_P21817	uniprot	RYR	RYR	RYR1	Homo sapiens (Human)	Metazoa	Chordata	5038	InterPro		absent			0	0.0				404
P29993	invert_metazoa_Drosophila_melanogaster_Fruit_fly_P29993	uniprot	ITPR	invert_metazoa		Drosophila melanogaster (Fruit fly)	Metazoa	Arthropoda	2837	InterPro		absent			0	0.0				404
P29995	ITPR2_Rattus_norvegicus_Rat_P29995	uniprot	ITPR	ITPR2	ITPR2	Rattus norvegicus (Rat)	Metazoa	Chordata	2701	InterPro		absent			0	0.0				404
P70227	ITPR3_Mus_musculus_Mouse_P70227	uniprot	ITPR	ITPR3	ITPR3	Mus musculus (Mouse)	Metazoa	Chordata	2670	InterPro		full	P70227	AF-P70227-F1	2670	1.0	1	6	2005-10-25	
Q14571	ITPR2_Homo_sapiens_Human_Q14571	uniprot	ITPR	ITPR2	ITPR2	Homo sapiens (Human)	Metazoa	Chordata	2701	InterPro		isoform	Q14571-2	AF-Q14571-2-F1	181	0.067	0	6	2009-09-22	
Q14573	ITPR3_Homo_sapiens_Human_Q14573	uniprot	ITPR	ITPR3	ITPR3	Homo sapiens (Human)	Metazoa	Chordata	2671	InterPro		full	Q14573	AF-Q14573-F1	2671	1.0	1	6	2008-10-14	
Q14643	ITPR1_Homo_sapiens_Human_Q14643	uniprot	ITPR	ITPR1	ITPR1	Homo sapiens (Human)	Metazoa	Chordata	2758	InterPro		isoform	Q14643-4	AF-Q14643-4-F1	2695	0.9772	0	6	2013-06-26	
Q15413	RYR_Homo_sapiens_Human_Q15413	uniprot	RYR	RYR	RYR3	Homo sapiens (Human)	Metazoa	Chordata	4870	InterPro		absent			0	0.0				404
Q24498	RYR_Drosophila_melanogaster_Fruit_fly_Q24498	uniprot	RYR	RYR		Drosophila melanogaster (Fruit fly)	Metazoa	Arthropoda	5127	InterPro		absent			0	0.0				404
Q63269	ITPR3_Rattus_norvegicus_Rat_Q63269	uniprot	ITPR	ITPR3	ITPR3	Rattus norvegicus (Rat)	Metazoa	Chordata	2670	InterPro		full	Q63269	AF-Q63269-F1	2670	1.0	1	6	1996-11-01	
Q8TA74	RYR_Hemicentrotus_pulcherrimus_Sea_urchin__Q8TA74	uniprot	RYR	RYR		Hemicentrotus pulcherrimus (Sea urchin) (Strongylocentrotus pulcherrimus)	Metazoa	Echinodermata	5317	InterPro		absent			0	0.0				404
Q8WSR4	invert_metazoa_Patiria_pectinifera_Starfish_Asterina__Q8WSR4	uniprot	ITPR	invert_metazoa		Patiria pectinifera (Starfish) (Asterina pectinifera)	Metazoa	Echinodermata	2698	InterPro		full	Q8WSR4	AF-Q8WSR4-F1	2698	1.0	1	6	2002-03-01	
Q92736	RYR_Homo_sapiens_Human_Q92736	uniprot	RYR	RYR	RYR2	Homo sapiens (Human)	Metazoa	Chordata	4967	InterPro		absent			0	0.0				404
Q94279	RYR_Caenorhabditis_elegans_Q94279	uniprot	RYR	RYR		Caenorhabditis elegans	Metazoa	Nematoda	5201	InterPro		absent			0	0.0				404
Q9NA13	protist_Dictyostelium_discoideum_Social_amoeba_Q9NA13	uniprot	ITPR	protist		Dictyostelium discoideum (Social amoeba)		Evosea	3177	InterPro		absent			0	0.0				404
Q9TU34	ITPR1_Bos_taurus_Bovine_Q9TU34	uniprot	ITPR	ITPR1	ITPR1	Bos taurus (Bovine)	Metazoa	Chordata	2709	InterPro		absent			0	0.0				404
Q9Y0A1	invert_metazoa_Caenorhabditis_elegans_Q9Y0A1	uniprot	ITPR	invert_metazoa		Caenorhabditis elegans	Metazoa	Nematoda	2892	InterPro		isoform	Q9Y0A1-5	AF-Q9Y0A1-5-F1	1713	0.5923	0	6	1999-11-01	
Q9Z329	ITPR2_Mus_musculus_Mouse_Q9Z329	uniprot	ITPR	ITPR2	ITPR2	Mus musculus (Mouse)	Metazoa	Chordata	2701	InterPro		isoform	Q9Z329-3	AF-Q9Z329-3-F1	2668	0.9878	0	6	2011-07-27	
R7TPX0	invert_metazoa_Capitella_teleta_Polychaete_worm_R7TPX0	uniprot	ITPR	invert_metazoa		Capitella teleta (Polychaete worm)	Metazoa	Annelida	2718	InterPro		absent			0	0.0				404
R9S1J3	invert_metazoa_Dugesia_japonica_Planarian_R9S1J3	uniprot	ITPR	invert_metazoa		Dugesia japonica (Planarian)	Metazoa	Platyhelminthes	2666	InterPro		absent			0	0.0				404
T0QLN2	protist_Saprolegnia_diclina_strain_VS20_T0QLN2	uniprot	ITPR	protist		Saprolegnia diclina (strain VS20)		Oomycota	2786	InterPro		absent			0	0.0				404
