upid	organism	taxid	group	kingdom	phylum	class	order	n_itpr	accession	protein_count	seq_length	n_pi_plc	n_plc_x	n_plc_y	plc_status	core_n_ref	core_n_covered	core_coverage	core_identity	pore_n_ref	pore_n_covered	pore_coverage	pore_identity	delta_core_minus_pore	in_test	drop_reason
UP000075902	Anopheles melas	34690	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A182TMK2	15232	1331	2	4	5	present	304	0	0.0		238	238	1.0	0.6092		False	core coverage below 0.5
UP000075903	Anopheles merus (Mosquito)	30066	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A182UY18	13295	3107	4	4	4	present	304	291	0.9572	0.5739	238	238	1.0	0.6092	-0.0353	True	
UP000075920	Anopheles minimus	112268	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A182WC14	12975	3165	4	4	4	present	304	291	0.9572	0.5739	238	238	1.0	0.6092	-0.0353	True	
UP000076407	Anopheles quadriannulatus (Mosquito)	34691	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A903ZG16	13801	3103	3	5	4	present	304	291	0.9572	0.5739	238	238	1.0	0.6092	-0.0353	True	
UP000076408	Anopheles stephensi (Indo-Pakistan malaria mosquito)	30069	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A182YFI7	11768	3112	4	4	4	present	304	291	0.9572	0.5739	238	238	1.0	0.605	-0.0311	True	
UP000076502	Dufourea novaeangliae (Sweat bee)	178035	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hymenoptera	1	A0A154P6Q2	11355	2712	4	4	5	present	304	291	0.9572	0.6014	238	238	1.0	0.6092	-0.0078	True	
UP000076858	Daphnia magna	35525	metazoa_nonvert	Metazoa	Arthropoda	Branchiopoda	Diplostraca	1	A0A0P5ZUN0	26600	2851	9	10	9	present	304	293	0.9638	0.6041	238	238	1.0	0.6092	-0.0051	True	
UP000078046	Intoshia linei	1819745	metazoa_nonvert	Metazoa	Orthonectida			6	A0A177AYP9	8720	1190	2	3	3	present	304	245	0.8059	0.249	238	0	0.0			False	pore coverage below 0.5
UP000078200	Glossina austeni (Savannah tsetse fly)	7395	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	2	A0A1A9VB51	19647	2856	3	3	3	present	304	298	0.9803	0.5839	238	228	0.958	0.6447	-0.0608	True	
UP000078492	Trachymyrmex cornetzi	471704	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hymenoptera	1	A0A195EIV8	18657	2860	5	5	5	present	304	291	0.9572	0.6048	238	238	1.0	0.6345	-0.0297	True	
UP000078540	Atta colombica	520822	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hymenoptera	1	A0A195BFQ8	14143	2815	5	5	5	present	304	291	0.9572	0.6048	238	238	1.0	0.6303	-0.0255	True	
UP000078541	Trachymyrmex septentrionalis	34720	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hymenoptera	1	A0A195F4X6	15167	2892	5	5	5	present	304	291	0.9572	0.6048	238	238	1.0	0.6345	-0.0297	True	
UP000078542	Cyphomyrmex costatus	456900	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hymenoptera	1	A0A195CBD1	15716	2912	4	4	4	present	304	291	0.9572	0.6048	238	238	1.0	0.6261	-0.0213	True	
UP000079169	Diaphorina citri (Asian citrus psyllid)	121845	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hemiptera	1	A0A3Q0IVR9	21517	2570	4	4	5	present	304	293	0.9638	0.6246	238	202	0.8487	0.5891	0.0355	True	
UP000085678	Lingula anatina (Brachiopod) (Lingula unguis)	7574	metazoa_nonvert	Metazoa	Brachiopoda	Lingulata	Lingulida	7	A0A1S3JYY5	34415	2595	6	9	7	present	304	292	0.9605	0.6233	238	112	0.4706	0.6786		False	pore coverage below 0.5
UP000091820	Glossina brevipalpis	37001	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A1A9X1V5	14631	2756	2	2	2	present	304	304	1.0	0.5724	238	238	1.0	0.6303	-0.0579	True	
UP000092443	Glossina fuscipes	7396	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A9C5ZFN5	17759	2760	3	3	3	present	304	304	1.0	0.5625	238	238	1.0	0.6345	-0.072	True	
UP000092444	Glossina morsitans morsitans (Savannah tsetse fly)	37546	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A1B0FD97	12910	2775	3	3	3	present	304	304	1.0	0.5658	238	218	0.916	0.6284	-0.0626	True	
UP000092445	Glossina pallidipes (Tsetse fly)	7398	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A1A9Z8G3	19235	2764	2	2	2	present	304	304	1.0	0.5658	238	183	0.7689	0.7104	-0.1446	True	
UP000092460	Glossina palpalis gambiensis	67801	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	2	A0A1B0AXI4	19957	2820	3	3	3	present	304	298	0.9803	0.5772	238	228	0.958	0.6404	-0.0632	True	
UP000092461	Lutzomyia longipalpis (Sand fly)	7200	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	2	A0A1B0CVJ7	10419	1655	3	3	3	present	304	286	0.9408	0.5944	238	0	0.0			False	pore coverage below 0.5
UP000092462	Phlebotomus papatasi (Sandfly)	29031	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	3	A0A1B0DF68	11386	943	1	3	1	present	304	0	0.0		238	238	1.0	0.6134		False	core coverage below 0.5
UP000094527	Orchesella cincta (Springtail) (Podura cincta)	48709	metazoa_nonvert	Metazoa	Arthropoda	Collembola	Entomobryomorpha	1	A0A1D2MPJ9	20218	2428	9	9	9	present	304	291	0.9572	0.4021	238	192	0.8067	0.5365	-0.1344	True	
UP000095280	Macrostomum lignano	282301	metazoa_nonvert	Metazoa	Platyhelminthes			62	A0A1I8HQ72	52448	2598	14	28	22	present	304	241	0.7928	0.5353	238	238	1.0	0.6092	-0.0739	True	
UP000095281	Meloidogyne hapla (Root-knot nematode worm)	6305	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	2	A0A1I8AZG3	14379	1766	4	5	7	present	304	299	0.9836	0.4114	238	0	0.0			False	pore coverage below 0.5
UP000095282	Caenorhabditis tropicalis	1561998	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	2	A0A1I7UCK7	27198	1472	7	8	8	present	304	299	0.9836	0.4214	238	0	0.0			False	pore coverage below 0.5
UP000095285	Loa loa (Eye worm) (Filaria loa)	7209	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A1I7VYX4	12226	2959	5	7	6	present	304	294	0.9671	0.4286	238	232	0.9748	0.4784	-0.0498	True	
UP000095300	Stomoxys calcitrans (Stable fly) (Conops calcitrans)	35570	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A1I8P727	18841	2911	3	3	3	present	304	304	1.0	0.5592	238	238	1.0	0.6345	-0.0753	True	
UP000183832	Clunio marinus	568069	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A1J1I8G9	22544	2689	4	4	4	present	304	281	0.9243	0.5836	238	238	1.0	0.605	-0.0214	True	
UP000186922	Ramazzottius varieornatus (Water bear) (Tardigrade)	947166	metazoa_nonvert	Metazoa	Tardigrada	Eutardigrada	Parachela	1	A0A1D1V0T1	22940	2692	7	9	8	present	304	291	0.9572	0.4536	238	237	0.9958	0.5316	-0.078	True	
UP000192223	Agrilus planipennis (Emerald ash borer) (Agrilus marcopoli)	224129	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Coleoptera	1	A0A1W4WKP9	18772	2752	4	4	5	present	304	295	0.9704	0.5864	238	237	0.9958	0.6329	-0.0465	True	
UP000192247	Tropilaelaps mercedesae	418985	metazoa_nonvert	Metazoa	Arthropoda	Arachnida	Mesostigmata	2	A0A1V9XEK6	14292	1963	2	6	5	present	304	0	0.0		238	235	0.9874	0.5021		False	core coverage below 0.5
UP000192578	Hypsibius exemplaris (Freshwater tardigrade)	2072580	metazoa_nonvert	Metazoa	Tardigrada	Eutardigrada	Parachela	1	A0A1W0X7F9	20832	2727	9	9	9	present	304	287	0.9441	0.4599	238	235	0.9874	0.566	-0.1061	True	
UP000194236	Euroglyphus maynei (Mayne's house dust mite)	6958	metazoa_nonvert	Metazoa	Arthropoda	Arachnida	Sarcoptiformes	4	A0A1Y3B4M9	15246	1241	3	7	6	present	304	291	0.9572	0.5808	238	9	0.0378	0.4444		False	pore coverage below 0.5
UP000198287	Folsomia candida (Springtail)	158441	metazoa_nonvert	Metazoa	Arthropoda	Collembola	Entomobryomorpha	1	A0A226F1K6	28565	2636	4	7	4	present	304	281	0.9243	0.452	238	238	1.0	0.5294	-0.0774	True	
UP000215335	Trichomalopsis sarcophagae	543379	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hymenoptera	1	A0A232FML4	16064	2848	3	3	3	present	304	287	0.9441	0.6167	238	238	1.0	0.605	0.0117	True	
UP000215902	Macrostomum lignano	282301	metazoa_nonvert	Metazoa	Platyhelminthes			23	A0A267FK94	43466	2914	21	22	22	present	304	293	0.9638	0.5222	238	238	1.0	0.6092	-0.087	True	
UP000216463	Caenorhabditis latens	1503980	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A261BQG3	25394	2864	5	6	5	present	304	302	0.9934	0.4338	238	237	0.9958	0.5021	-0.0683	True	
UP000216624	Caenorhabditis remanei (Caenorhabditis vulgaris)	31234	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A261AIN3	25466	2799	6	6	6	present	304	301	0.9901	0.4352	238	237	0.9958	0.4937	-0.0585	True	
UP000218231	Diploscapter pachys	2018661	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	2	A0A2A2LN25	33981	2637	10	12	11	present	304	299	0.9836	0.4147	238	238	1.0	0.4916	-0.0769	True	
UP000225706	Stylophora pistillata (Smooth cauliflower coral)	50429	metazoa_nonvert	Metazoa	Cnidaria	Anthozoa	Scleractinia	1	A0A2B4T0S0	23873	2000	6	8	6	present	304	0	0.0		238	238	1.0	0.6134		False	core coverage below 0.5
UP000230066	Fasciola hepatica (Liver fluke)	6192	metazoa_nonvert	Metazoa	Platyhelminthes	Trematoda	Plagiorchiida	1	A0A4E0RYC0	11190	2838	1	2	1	present	304	294	0.9671	0.3776	238	235	0.9874	0.4851	-0.1075	True	
UP000230423	Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta)	45464	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	10	A0A2G9U492	25373	1020	1	7	5	present	304	10	0.0329	0.4	238	0	0.0			False	core coverage below 0.5
UP000230750	Apostichopus japonicus (Japanese spiky sea cucumber) (Stichopus japonicus)	307972	metazoa_nonvert	Metazoa	Echinodermata	Holothuroidea	Aspidochirotida	3	A0A2G8KPF5	30032	1963	3	7	10	present	304	0	0.0		238	238	1.0	0.5336		False	core coverage below 0.5
UP000235965	Cryptotermes secundus	105785	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Blattodea	1	A0A2J7QR08	27252	2547	4	5	6	present	304	293	0.9638	0.6177	238	201	0.8445	0.5572	0.0605	True	
UP000242188	Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis)	6573	metazoa_nonvert	Metazoa	Mollusca	Bivalvia	Pectinida	7	A0A210Q2I6	22409	1979	6	6	6	present	304	0	0.0		238	238	1.0	0.6261		False	core coverage below 0.5
UP000242457	Apis cerana cerana (Oriental honeybee)	94128	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hymenoptera	1	A0A2A3ES56	9931	2797	5	5	5	present	304	291	0.9572	0.6117	238	238	1.0	0.6134	-0.0017	True	
UP000242913	Onchocerca flexuosa	387005	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A238BHZ9	8122	2846	5	6	5	present	304	268	0.8816	0.4216	238	238	1.0	0.4874	-0.0658	True	
UP000243686	Opisthorchis viverrini (Southeast Asian liver fluke)	6198	metazoa_nonvert	Metazoa	Platyhelminthes	Trematoda	Opisthorchiida	2	A0A1S8X8A6	10745	1816	2	2	2	present	304	0	0.0		238	237	0.9958	0.4304		False	core coverage below 0.5
UP000250275	Eufriesea mexicana	516756	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hymenoptera	1	A0A310SI82	7068	2772	4	5	4	present	304	291	0.9572	0.6151	238	238	1.0	0.6134	0.0017	True	
UP000252519	Ancylostoma caninum (Dog hookworm)	29170	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	3	A0A368GNZ1	29972	1190	2	8	7	present	304	301	0.9901	0.4419	238	0	0.0			False	pore coverage below 0.5
UP000267027	Angiostrongylus costaricensis (Nematode worm)	334426	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	2	A0A158PK86	13350	1554	2	5	4	present	304	274	0.9013	0.4489	238	8	0.0336	0.5		False	pore coverage below 0.5
UP000267096	Anisakis simplex (Herring worm)	6269	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A158PMT1	20779	2921	5	9	9	present	304	299	0.9836	0.4181	238	238	1.0	0.4916	-0.0735	True	
UP000267606	Onchocerca flexuosa	387005	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	3	A0A183GZN8	16057	503	3	5	7	present	304	0	0.0		238	205	0.8613	0.5024		False	core coverage below 0.5
UP000268014	Haemonchus placei (Barber's pole worm)	6290	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	3	A0A3P7XVX9	21409	1243	2	5	3	present	304	215	0.7072	0.4047	238	0	0.0			False	pore coverage below 0.5
UP000268350	Drosophila guanche (Fruit fly)	7266	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A3B0KF80	17569	2860	3	3	3	present	304	302	0.9934	0.5497	238	238	1.0	0.6261	-0.0764	True	
UP000270094	Strongylus vulgaris (Blood worm)	40348	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	4	A0A3P7J5Y5	20844	857	1	5	3	present	304	22	0.0724	0.3636	238	199	0.8361	0.5276		False	core coverage below 0.5
UP000270296	Soboliphyme baturini	241478	metazoa_nonvert	Metazoa	Nematoda	Enoplea	Dioctophymatida	4	A0A183IC91	13153	580	2	6	4	present	304	0	0.0		238	214	0.8992	0.5187		False	core coverage below 0.5
UP000270924	Wuchereria bancrofti	6293	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A3P7G9M1	13000	2843	4	7	5	present	304	284	0.9342	0.4225	238	238	1.0	0.5042	-0.0817	True	
UP000271087	Onchocerca ochengi (Filarial nematode worm)	42157	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A3P6SAQ4	13353	1718	5	9	7	present	304	0	0.0		238	236	0.9916	0.4915		False	core coverage below 0.5
UP000271098	Gongylonema pulchrum	637853	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	3	A0A3P6QHA2	26895	286	2	13	6	present	304	64	0.2105	0.5	238	0	0.0			False	core coverage below 0.5
UP000271162	Nippostrongylus brasiliensis (Rat hookworm)	27835	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	4	A0A0N4Y873	22636	1212	4	8	5	present	304	299	0.9836	0.4147	238	35	0.1471	0.4857		False	pore coverage below 0.5
UP000271974	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	188477	metazoa_nonvert	Metazoa	Mollusca	Gastropoda		6	A0A3S1BJY0	23836	2788	5	6	5	present	304	293	0.9638	0.5666	238	238	1.0	0.6261	-0.0595	True	
UP000272942	Echinostoma caproni	27848	metazoa_nonvert	Metazoa	Platyhelminthes	Trematoda	Plagiorchiida	2	A0A183AW48	18535	287	1	2	2	present	304	0	0.0		238	4	0.0168	0.5		False	core coverage below 0.5
UP000274131	Enterobius vermicularis (Human pinworm)	51028	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A0N4V2Y0	12840	2709	6	7	7	present	304	297	0.977	0.4242	238	209	0.8782	0.5502	-0.126	True	
UP000274756	Dracunculus medinensis (Guinea worm)	318479	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A158Q3L2	10868	2564	6	8	7	present	304	239	0.7862	0.4226	238	217	0.9118	0.5253	-0.1027	True	
UP000275408	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	46731	metazoa_nonvert	Metazoa	Cnidaria	Anthozoa	Scleractinia	1	A0A3M6TGS7	25411	2667	5	7	5	present	304	238	0.7829	0.6597	238	238	1.0	0.6134	0.0463	True	
UP000276776	Thelazia callipaeda (Oriental eyeworm) (Parasitic nematode)	103827	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	2	A0A158RB35	10885	1995	6	7	7	present	304	0	0.0		238	198	0.8319	0.5202		False	core coverage below 0.5
UP000276991	Acanthocheilonema viteae (Filarial nematode worm) (Dipetalonema viteae)	6277	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	2	A0A498S7B5	10007	2507	4	6	5	present	304	220	0.7237	0.4364	238	238	1.0	0.4958	-0.0594	True	
UP000277928	Litomosoides sigmodontis (Filarial nematode worm)	42156	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A3P6SQ38	9894	2711	5	6	5	present	304	300	0.9868	0.4033	238	219	0.9202	0.5434	-0.1401	True	
UP000278627	Brugia pahangi (Filarial nematode worm)	6280	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A158PS69	14545	2801	7	8	7	present	304	284	0.9342	0.4472	238	237	0.9958	0.5063	-0.0591	True	
UP000280834	Brugia timori	42155	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	3	A0A0R3QMQ1	15861	1473	3	7	5	present	304	284	0.9342	0.4472	238	0	0.0			False	pore coverage below 0.5
UP000283509	Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei)	6689	metazoa_nonvert	Metazoa	Arthropoda	Malacostraca	Decapoda	3	A0A3R7M9L5	25399	1407	4	7	7	present	304	0	0.0		238	238	1.0	0.5882		False	core coverage below 0.5
UP000285301	Dinothrombium tinctorium	1965070	metazoa_nonvert	Metazoa	Arthropoda	Arachnida	Trombidiformes	2	A0A3S3NU49	13518	2889	8	10	9	present	304	292	0.9605	0.5753	238	238	1.0	0.6134	-0.0381	True	
UP000288716	Leptotrombidium deliense	299467	metazoa_nonvert	Metazoa	Arthropoda	Arachnida	Trombidiformes	2	A0A443SIG1	14651	2233	5	7	7	present	304	0	0.0		238	238	1.0	0.605		False	core coverage below 0.5
UP000290809	Schistosoma bovis (Blood fluke)	6184	metazoa_nonvert	Metazoa	Platyhelminthes	Trematoda	Strigeidida	1	A0A430Q426	11348	749	0	1	1	absent	304	0	0.0		238	161	0.6765	0.3292		False	core coverage below 0.5
UP000291343	Laodelphax striatellus (Small brown planthopper) (Delphax striatella)	195883	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hemiptera	1	A0A482XLK3	17309	2748	4	5	4	present	304	294	0.9671	0.602	238	238	1.0	0.6176	-0.0156	True	
UP000292052	Asbolus verrucosus (Blue death-feigning beetle)	1661398	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Coleoptera	2	A0A482WBQ6	15225	1371	2	4	3	present	304	247	0.8125	0.5709	238	0	0.0			False	pore coverage below 0.5
UP000295192	Drosophila navojoa (Fruit fly)	7232	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A484BH43	15505	2845	2	3	3	present	304	302	0.9934	0.5563	238	238	1.0	0.6261	-0.0698	True	
UP000301870	Spodoptera litura (Asian cotton leafworm)	69820	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Lepidoptera	1	A0A9J7J438	20624	2750	4	4	4	present	304	284	0.9342	0.5669	238	238	1.0	0.5588	0.0081	True	
UP000308267	Opisthorchis felineus	147828	metazoa_nonvert	Metazoa	Platyhelminthes	Trematoda	Opisthorchiida	1	A0A4S2MCV9	18330	2848	2	2	2	present	304	279	0.9178	0.4444	238	237	0.9958	0.4388	0.0056	True	
UP000310200	Temnothorax longispinosus	300112	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hymenoptera	1	A0A4S2JP25	13035	2740	6	6	6	present	304	291	0.9572	0.6048	238	238	1.0	0.6176	-0.0128	True	
UP000311919	Schistosoma japonicum (Blood fluke)	6182	metazoa_nonvert	Metazoa	Platyhelminthes	Trematoda	Strigeidida	1	A0A4Z2DCZ4	14733	2922	2	2	2	present	304	291	0.9572	0.3643	238	232	0.9748	0.4353	-0.071	True	
UP000316759	Fasciola gigantica (Giant liver fluke)	46835	metazoa_nonvert	Metazoa	Platyhelminthes	Trematoda	Plagiorchiida	1	A0A504YK77	12643	2366	1	2	2	present	304	92	0.3026	0.3478	238	235	0.9874	0.4851		False	core coverage below 0.5
UP000322000	Trichoplusia ni (Cabbage looper)	7111	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Lepidoptera	1	A0A7E5W0L4	20891	2726	4	4	4	present	304	284	0.9342	0.5704	238	237	0.9958	0.557	0.0134	True	
UP000324629	Paragonimus westermani	34504	metazoa_nonvert	Metazoa	Platyhelminthes	Trematoda	Plagiorchiida	2	A0A5J4P0A9	12535	1026	1	2	2	present	304	290	0.9539	0.4552	238	0	0.0			False	pore coverage below 0.5
UP000324832	Leptidea sinapis	189913	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Lepidoptera	1	A0A5E4R6N7	19862	1256	3	4	4	present	304	174	0.5724	0.5575	238	0	0.0			False	pore coverage below 0.5
UP000325440	Cinara cedri	506608	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hemiptera	1	A0A5E4MZD1	22140	3828	4	4	4	present	304	293	0.9638	0.6007	238	238	1.0	0.6303	-0.0296	True	
UP000326759	Armadillidium nasatum	96803	metazoa_nonvert	Metazoa	Arthropoda	Malacostraca	Isopoda	1	A0A5N5T554	14427	582	3	3	4	present	304	293	0.9638	0.5563	238	4	0.0168	0.5		False	pore coverage below 0.5
UP000327044	Photinus pyralis (Common eastern firefly) (Lampyris pyralis)	7054	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Coleoptera	1	A0A1Y1NA90	14952	2719	4	4	4	present	304	295	0.9704	0.5864	238	238	1.0	0.6218	-0.0354	True	
UP000410492	Callosobruchus maculatus (Southern cowpea weevil) (Pulse bruchid)	64391	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Coleoptera	2	A0A653DNQ9	30448	1091	3	3	4	present	304	293	0.9638	0.5631	238	0	0.0			False	pore coverage below 0.5
UP000440578	Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite)	1232801	metazoa_nonvert	Metazoa	Arthropoda	Thecostraca	Balanomorpha	3	A0A6A4VLS6	26159	1697	6	6	6	present	304	3	0.0099	0.6667	238	237	0.9958	0.5907		False	core coverage below 0.5
UP000466442	Apolygus lucorum (Small green plant bug) (Lygocoris lucorum)	248454	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hemiptera	1	A0A8S9YAD8	19942	2717	3	4	4	present	304	293	0.9638	0.6075	238	237	0.9958	0.6118	-0.0043	True	
UP000471633	Schistosoma haematobium (Blood fluke)	6185	metazoa_nonvert	Metazoa	Platyhelminthes	Trematoda	Strigeidida	2	A0A922ILK8	14543	3083	2	2	2	present	304	286	0.9408	0.3986	238	227	0.9538	0.4846	-0.086	True	
UP000475862	Aphis glycines (Soybean aphid)	307491	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hemiptera	1	A0A6G0T1B7	18358	3835	3	4	4	present	304	293	0.9638	0.6041	238	237	0.9958	0.6414	-0.0373	True	
UP000479190	Trichogramma brassicae	86971	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hymenoptera	1	A0A6H5IAA8	16797	2752	4	4	5	present	304	287	0.9441	0.6063	238	238	1.0	0.5966	0.0097	True	
UP000492821	Panagrellus redivivus (Microworm)	6233	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	3	A0A7E4V258	26334	2921	8	8	8	present	304	302	0.9934	0.404	238	238	1.0	0.5	-0.096	True	
UP000494040	Cimex lectularius (Bed bug) (Acanthia lectularia)	79782	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hemiptera	1	A0A8I6REX6	20637	2735	4	4	4	present	304	293	0.9638	0.6041	238	238	1.0	0.6261	-0.022	True	
UP000494106	Arctia plantaginis (Wood tiger moth) (Phalaena plantaginis)	874455	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Lepidoptera	1	A0A8S1ACF0	19669	2728	4	5	4	present	304	287	0.9441	0.5645	238	238	1.0	0.5546	0.0099	True	
UP000494163	Drosophila busckii (Fruit fly)	30019	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A0M4EUA4	11911	2843	4	4	4	present	304	302	0.9934	0.5695	238	238	1.0	0.6303	-0.0608	True	
UP000494165	Cloeon dipterum	197152	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Ephemeroptera	1	A0A8S1DS22	29886	2745	7	7	7	present	304	291	0.9572	0.6117	238	238	1.0	0.6134	-0.0017	True	
UP000494206	Caenorhabditis bovis	2654633	metazoa_nonvert	Metazoa	Nematoda	Chromadorea	Rhabditida	1	A0A8S1FA22	15096	2860	5	6	6	present	304	299	0.9836	0.4281	238	238	1.0	0.4748	-0.0467	True	
UP000502823	Coptotermes formosanus (Formosan subterranean termite)	36987	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Blattodea	1	A0A6L2Q503	12806	2742	5	5	5	present	304	289	0.9507	0.6332	238	238	1.0	0.6303	0.0029	True	
UP000504606	Frankliniella occidentalis (Western flower thrips) (Euthrips occidentalis)	133901	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Thysanoptera	1	A0A6J1ST83	23245	2737	7	7	7	present	304	291	0.9572	0.6014	238	238	1.0	0.563	0.0384	True	
UP000504615	Pogonomyrmex barbatus (red harvester ant)	144034	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hymenoptera	1	A0A8N1S4P7	16171	2743	5	5	5	present	304	291	0.9572	0.5911	238	238	1.0	0.6134	-0.0223	True	
UP000504618	Temnothorax curvispinosus	300111	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hymenoptera	1	A0A6J1PYU8	21925	2749	5	5	5	present	304	291	0.9572	0.6048	238	238	1.0	0.6176	-0.0128	True	
UP000504629	Bombyx mandarina (Wild silk moth) (Wild silkworm)	7092	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Lepidoptera	2	A0A6J2J978	17282	1997	4	4	4	present	304	2	0.0066	1.0	238	238	1.0	0.5714		False	core coverage below 0.5
UP000504631	Bombus vosnesenskii	207650	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Hymenoptera	1	A0A6J3KGZ0	19375	2817	5	5	5	present	304	291	0.9572	0.6117	238	238	1.0	0.6134	-0.0017	True	
UP000504633	Drosophila hydei (Fruit fly)	7224	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A6J2SX58	18596	2845	3	3	3	present	304	302	0.9934	0.5563	238	238	1.0	0.6261	-0.0698	True	
UP000504634	Drosophila lebanonensis (Fruit fly) (Scaptodrosophila lebanonensis)	7225	metazoa_nonvert	Metazoa	Arthropoda	Insecta	Diptera	1	A0A6J2TKC6	17832	2846	3	3	4	present	304	304	1.0	0.5658	238	238	1.0	0.6218	-0.056	True	
