group	upid	organism	taxid	protein_count	n_plc_x_only_domain	n_plc_y_only_domain	n_pi_plc	plc_status
vertebrata	UP000694559	Naja naja (Indian cobra)	35670	29718	16	15	15	present
vertebrata	UP000694560	Malurus cyaneus samueli	2593467	23024	16	15	15	present
vertebrata	UP000694562	Falco tinnunculus (Common kestrel)	100819	25297	16	16	16	present
vertebrata	UP000694563	Catharus ustulatus (Russet-backed thrush) (Hylocichla ustulatus)	91951	28921	17	17	17	present
vertebrata	UP000694565	Cyclopterus lumpus (Lumpsucker)	8103	50861	24	23	22	present
vertebrata	UP000694567	Bubo bubo (Eurasian eagle-owl) (Strix bubo)	30461	25032	15	14	14	present
vertebrata	UP000694568	Sander lucioperca (Pike-perch) (Perca lucioperca)	283035	61000	31	26	26	present
vertebrata	UP000694569	Leptobrachium leishanense (Leishan spiny toad)	445787	48917	17	16	16	present
vertebrata	UP000694580	Denticeps clupeoides (denticle herring)	299321	61792	27	24	24	present
vertebrata	UP000694620	Erpetoichthys calabaricus (Rope fish) (Calamoichthys calabaricus)	27687	33804	16	14	14	present
vertebrata	UP000694680	Gouania willdenowi (Blunt-snouted clingfish) (Lepadogaster willdenowi)	441366	56004	23	21	21	present
vertebrata	UP000694850	Orycteropus afer afer	1230840	18921	14	15	14	present
vertebrata	UP000694851	Hipposideros armiger (Great Himalayan leaf-nosed bat)	186990	36412	15	15	15	present
vertebrata	UP000694856	Camelus ferus (Wild bactrian camel) (Camelus bactrianus ferus)	419612	43046	15	15	15	present
vertebrata	UP000694857	Balaenoptera musculus (Blue whale)	9771	42275	14	15	14	present
vertebrata	UP000694863	Echinops telfairi (Lesser hedgehog tenrec)	9371	28957	15	15	15	present
vertebrata	UP000694871	Gekko japonicus (Schlegel's Japanese gecko)	146911	22751	18	18	17	present
vertebrata	UP000694891	Stegastes partitus (bicolor damselfish)	144197	28784	25	23	23	present
vertebrata	UP000694906	Heterocephalus glaber (Naked mole rat)	10181	48019	16	15	15	present
vertebrata	UP000694910	Ceratotherium simum simum (Southern white rhinoceros)	73337	30463	15	15	15	present
vertebrata	UP000694915	Microtus ochrogaster (Prairie vole)	79684	32284	15	15	15	present
vertebrata	UP000694923	Galeopterus variegatus (Malayan flying lemur) (Cynocephalus variegatus)	482537	29842	17	17	15	present
vertebrata	UP000695023	Pundamilia nyererei	303518	33589	23	22	22	present
vertebrata	UP000695026	Python bivittatus (Burmese python) (Python molurus bivittatus)	176946	27875	19	18	17	present
vertebrata	UP000700334	Galemys pyrenaicus (Iberian desman) (Pyrenean desman)	202257	20755	15	15	14	present
vertebrata	UP000716595	Eudyptes chrysocome (Western rockhopper penguin) (Aptenodytes chrysocome)	79626	12771	14	12	12	present
vertebrata	UP000725257	Eudyptes sclateri (Erect-crested penguin)	92688	12730	15	14	14	present
vertebrata	UP000727407	Clarias magur (Asian catfish) (Macropteronotus magur)	1594786	23377	22	21	20	present
vertebrata	UP000736164	Atractosteus spatula (Alligator gar) (Lepisosteus spatula)	7917	14758	16	15	15	present
vertebrata	UP000751161	Aptenodytes patagonicus (King penguin)	9234	13684	13	12	12	present
vertebrata	UP000765507	Chelydra serpentina (Snapping turtle) (Testudo serpentina)	8475	20878	13	12	11	present
vertebrata	UP000770717	Eleutherodactylus coqui (Puerto Rican coqui)	57060	32432	15	15	15	present
vertebrata	UP000782854	Eudyptula minor (Little blue penguin) (Aptenodytes minor)	37083	14871	13	12	12	present
vertebrata	UP000785099	Spheniscus mendiculus (Galapagos penguin)	156760	14344	13	12	12	present
vertebrata	UP000793456	Larimichthys crocea (Large yellow croaker) (Pseudosciaena crocea)	215358	22140	22	15	13	present
vertebrata	UP000796761	Zosterops borbonicus	364589	22327	17	17	16	present
vertebrata	UP000799811	Eudyptes filholi (Southern rockhopper penguin)	1419345	12878	13	12	12	present
vertebrata	UP000805704	Nibea albiflora (Yellow drum) (Corvina albiflora)	240163	15319	8	6	6	present
vertebrata	UP000808372	Salvelinus namaycush (Lake trout) (Salmo namaycush)	8040	52131	40	39	37	present
vertebrata	UP000809102	Ovis aries (Sheep)	9940	44722	15	15	15	present
vertebrata	UP000812440	Hymenochirus boettgeri (Congo dwarf clawed frog)	247094	25860	16	16	16	present
vertebrata	UP000823561	Alosa alosa (allis shad)	278164	26341	27	23	23	present
vertebrata	UP000823872	Felis catus (Cat) (Felis silvestris catus)	9685	58973	15	15	15	present
vertebrata	UP000824219	Hemibagrus wyckioides	337641	22691	20	20	20	present
vertebrata	UP000824540	Albula glossodonta (roundjaw bonefish)	121402	27914	17	13	9	present
vertebrata	UP000824782	Engystomops pustulosus (Tungara frog) (Physalaemus pustulosus)	76066	55186	17	15	15	present
vertebrata	UP000826234	Phrynosoma platyrhinos (Desert horned lizard)	52577	16743	16	13	12	present
vertebrata	UP000827872	Sphaerodactylus townsendi	933632	28225	15	13	11	present
vertebrata	UP000827986	Mauremys mutica (yellowpond turtle)	74926	23328	16	13	13	present
vertebrata	UP000829447	Pangasianodon gigas (Mekong giant catfish) (Pangasius gigas)	30993	21988	22	20	20	present
vertebrata	UP000829720	Albula goreensis	1534307	23548	23	21	19	present
vertebrata	UP000830375	Labeo rohita (Indian major carp) (Cyprinus rohita)	84645	25337	15	12	11	present
vertebrata	UP000830395	Pangasius djambal	1691987	22046	21	20	20	present
vertebrata	UP000831701	Scortum barcoo (barcoo grunter)	214431	26905	23	22	21	present
vertebrata	UP000886611	Polypterus senegalus (Senegal bichir)	55291	16186	13	9	7	present
vertebrata	UP000886700	Mesocricetus auratus (Golden hamster)	10036	43274	15	15	15	present
vertebrata	UP001044222	Anguilla anguilla (European freshwater eel) (Muraena anguilla)	7936	28122	27	24	22	present
vertebrata	UP001046870	Megalops atlanticus (Tarpon) (Clupea gigantea)	7932	23830	26	24	24	present
vertebrata	UP001057279	Ovis ammon polii x Ovis aries	2918886	21252	15	14	14	present
vertebrata	UP001057452	Chaenocephalus aceratus (Blackfin icefish) (Chaenichthys aceratus)	36190	28945	20	19	17	present
vertebrata	UP001059041	Triplophysa rosa (Cave loach)	992332	25644	24	21	21	present
vertebrata	UP001108240	Cyprinus carpio carpio	630221	140941	46	41	41	present
vertebrata	UP001108280	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	10029	38999	15	15	15	present
vertebrata	UP001142489	Phrynocephalus forsythii	171643	20168	18	15	15	present
vertebrata	UP001145742	Willisornis vidua (Xingu scale-backed antbird)	1566151	16481	12	13	12	present
vertebrata	UP001148018	Muraenolepis orangiensis (Patagonian moray cod)	630683	33976	20	18	18	present
vertebrata	UP001152803	Conger conger (Conger eel) (Muraena conger)	82655	23596	24	21	18	present
vertebrata	UP001152836	Phodopus roborovskii (Roborovski's desert hamster) (Cricetulus roborovskii)	109678	21818	10	10	10	present
vertebrata	UP001153269	Pleuronectes platessa (European plaice)	8262	47956	22	19	16	present
vertebrata	UP001157502	Dallia pectoralis (Alaska blackfish)	75939	34041	25	22	22	present
vertebrata	UP001159641	Eschrichtius robustus (California gray whale) (Eschrichtius gibbosus)	9764	22991	15	14	14	present
vertebrata	UP001165780	Panthera pardus (Leopard) (Felis pardus)	9691	45253	15	15	15	present
vertebrata	UP001165941	Pontoporia blainvillei (Franciscana) (Delphinus blainvillei)	48723	4277	4	2	1	present
vertebrata	UP001166052	Polypterus senegalus (Senegal bichir)	55291	5765	2	2	2	present
vertebrata	UP001166093	Polyodon spathula (North American paddlefish) (Squalus spathula)	7913	18302	14	13	12	present
vertebrata	UP001166674	Sciurus carolinensis (Eastern gray squirrel)	30640	22862	12	12	10	present
vertebrata	UP001174136	Merluccius polli (Benguela hake) (Merluccius cadenati)	89951	25543	19	19	18	present
vertebrata	UP001176940	Ranitomeya imitator (mimic poison frog)	111125	25526	12	13	10	present
vertebrata	UP001176941	Rangifer tarandus platyrhynchus (Svalbard reindeer)	3082113	31565	15	15	15	present
vertebrata	UP001177209	Pygoscelis papua (Gentoo penguin)	30457	13880	12	11	11	present
vertebrata	UP001177744	Cnephaeus nilssonii (Northern bat) (Eptesicus nilssonii)	3371016	19772	14	13	12	present
vertebrata	UP001178461	Podarcis lilfordi (Lilford's wall lizard)	74358	38311	18	18	18	present
vertebrata	UP001178508	Xyrichtys novacula (Pearly razorfish) (Hemipteronotus novacula)	13765	39134	25	23	23	present
vertebrata	UP001181693	Pyxicephalus adspersus (African bullfrog)	30357	20788	16	17	16	present
vertebrata	UP001187315	Tachysurus vachellii (Darkbarbel catfish) (Pelteobagrus vachellii)	175792	23495	21	20	20	present
vertebrata	UP001187343	Cirrhinus molitorella (mud carp)	172907	25689	24	21	21	present
vertebrata	UP001187415	Channa striata (Snakehead murrel) (Ophicephalus striatus)	64152	26451	24	22	22	present
vertebrata	UP001190640	Eublepharis macularius (Leopard gecko) (Cyrtodactylus macularius)	481883	29440	19	18	18	present
vertebrata	UP001205998	Silurus asotus (Amur catfish) (Parasilurus asotus)	30991	24039	20	19	18	present
vertebrata	UP001214576	Ovis ammon polii	230172	20730	15	14	14	present
vertebrata	UP001219934	Pogonophryne albipinna	1090488	30547	26	22	21	present
vertebrata	UP001221898	Aldrovandia affinis	143900	44049	27	24	23	present
vertebrata	UP001228049	Dissostichus eleginoides (Patagonian toothfish) (Dissostichus amissus)	100907	31920	22	19	17	present
vertebrata	UP001230051	Acipenser oxyrinchus oxyrinchus	40147	26589	22	18	18	present
vertebrata	UP001239994	Electrophorus voltai	2609070	23099	21	20	20	present
vertebrata	UP001266305	Saguinus oedipus (Cotton-top tamarin) (Oedipomidas oedipus)	9490	40187	9	8	4	present
vertebrata	UP001274896	Hemibagrus guttatus	175788	35222	21	20	20	present
vertebrata	UP001279410	Lates japonicus (Japanese lates)	270547	29183	22	20	17	present
vertebrata	UP001295444	Pelobates cultripes (Western spadefoot toad)	61616	49580	17	16	13	present
vertebrata	UP001311232	Crenichthys baileyi (White River springfish)	28760	25884	22	22	18	present
vertebrata	UP001314169	Pipistrellus nathusii (Nathusius' pipistrelle)	59473	18936	12	12	12	present
vertebrata	UP001314229	Scomber scombrus (Atlantic mackerel) (Scomber vernalis)	13677	35480	26	23	23	present
vertebrata	UP001331515	Champsocephalus gunnari (Mackerel icefish)	52237	30382	22	22	21	present
vertebrata	UP001333110	Mycteria americana (Wood stork)	33587	27343	14	14	14	present
vertebrata	UP001335648	Champsocephalus esox (pike icefish)	159716	30821	23	24	22	present
vertebrata	UP001345963	Ataeniobius toweri	208326	31592	23	22	12	present
vertebrata	UP001346869	Eleginops maclovinus (Patagonian blennie) (Eleginus maclovinus)	56733	27212	23	20	19	present
vertebrata	UP001352852	Characodon lateralis	208331	32603	23	21	16	present
vertebrata	UP001356427	Coregonus suidteri	861788	39316	34	32	30	present
vertebrata	UP001364617	Phoxinus phoxinus (Eurasian minnow)	58324	29140	19	17	17	present
vertebrata	UP001369086	Huso huso (Beluga) (Acipenser huso)	61971	28089	16	13	13	present
vertebrata	UP001434883	Xenoophorus captivus	1517983	29565	15	11	6	present
vertebrata	UP001444071	Xenotaenia resolanae	208358	20666	11	9	5	present
vertebrata	UP001460270	Mugilogobius chulae (yellowstripe goby)	88201	34369	28	26	24	present
vertebrata	UP001469553	Ameca splendens	208324	38588	24	20	12	present
vertebrata	UP001474421	Crotalus adamanteus (Eastern diamondback rattlesnake)	8729	21667	20	16	16	present
vertebrata	UP001476798	Goodea atripinnis	208336	33005	16	14	8	present
vertebrata	UP001479290	Culter alburnus (Topmouth culter)	194366	29015	25	22	22	present
vertebrata	UP001482620	Ilyodon furcidens (goldbreast splitfin)	33524	37929	25	17	11	present
vertebrata	UP001488805	Zoarces viviparus (Viviparous eelpout) (Blennius viviparus)	48416	28155	24	23	22	present
vertebrata	UP001488838	Myodes glareolus (Bank vole) (Clethrionomys glareolus)	447135	26641	13	14	13	present
vertebrata	UP001497482	Knipowitschia caucasica (Caucasian dwarf goby) (Pomatoschistus caucasicus)	637954	48583	21	22	18	present
vertebrata	UP001501920	Pygocentrus nattereri (Red-bellied piranha)	42514	72717	23	21	21	present
vertebrata	UP001529510	Cirrhinus mrigala (Mrigala)	683832	57290	17	7	3	present
vertebrata	UP001557470	Umbra pygmaea (Eastern mudminnow)	75934	24484	22	22	20	present
vertebrata	UP001558613	Cirrhinus molitorella (mud carp)	172907	36179	25	22	22	present
vertebrata	UP001591681	Coilia grayii (Gray's grenadier anchovy)	363190	27792	30	24	23	present
vertebrata	UP001610411	Daubentonia madagascariensis (Aye-aye) (Sciurus madagascariensis)	31869	22162	7	7	7	present
vertebrata	UP001619887	Pagothenia borchgrevinki (Bald rockcod) (Trematomus borchgrevinki)	8213	27042	17	15	13	present
vertebrata	UP001623348	Grus japonensis (Japanese crane) (Red-crowned crane)	30415	34534	17	16	16	present
vertebrata	UP001623349	Apodemus speciosus (Large Japanese field mouse)	105296	18652	15	13	13	present
vertebrata	UP001652580	Balaenoptera acutorostrata (Common minke whale) (Balaena rostrata)	9767	42806	15	15	15	present
vertebrata	UP001652581	Vicugna pacos (Alpaca) (Lama pacos)	30538	42363	15	15	15	present
vertebrata	UP001652583	Acinonyx jubatus (Cheetah)	32536	49690	15	15	15	present
vertebrata	UP001652622	Pantherophis guttatus (Corn snake) (Elaphe guttata)	94885	35276	21	20	20	present
vertebrata	UP001652624	Erinaceus europaeus (Western European hedgehog)	9365	43155	15	15	15	present
vertebrata	UP001652627	Apteryx mantelli (North Island brown kiwi)	2696672	28723	16	16	16	present
vertebrata	UP001652640	Odocoileus virginianus (White-tailed deer)	9874	43449	15	15	15	present
vertebrata	UP001652641	Vulpes vulpes (Red fox)	9627	49968	15	15	15	present
vertebrata	UP001652642	Pogona vitticeps (central bearded dragon)	103695	37261	19	18	18	present
vertebrata	UP001652662	Equus przewalskii (Przewalski's horse) (Equus caballus przewalskii)	9798	60947	15	15	15	present
vertebrata	UP001652663	Bos indicus (Zebu)	9915	46689	15	15	15	present
vertebrata	UP001652741	Salmo salar (Atlantic salmon)	8030	80784	41	40	39	present
vertebrata	UP001667331	Leuciscus waleckii (Amur ide)	155063	42211	24	21	21	present
vertebrata	UP001669759	Sigmodon hispidus (Hispid cotton rat)	42415	24600	15	15	15	present
vertebrata	UP001673243	Mimus melanotis (San Cristobal mockingbird)	245851	17811	16	16	16	present
vertebrata	UP001684356	Sarotherodon galilaeus (mango tilapia)	8144	29698	24	23	23	present
vertebrata	UP001705113	Arapaima gigas (Giant arapaima) (Sudis gigas)	113544	24438	22	19	18	present
vertebrata	UP001710656	Pygathrix nigripes (Black-shanked douc langur)	310352	22758	16	15	14	present
vertebrata	UP001710657	Semnopithecus entellus (Northern plains gray langur) (Presbytis entellus)	88029	17646	13	13	13	present
vertebrata	UP001715597	Nasalis larvatus (Proboscis monkey)	43780	22641	15	15	15	present
vertebrata	UP001730802	Lota lota (Burbot) (Gadus lota)	69944	23785	24	23	23	present
vertebrata	UP001730803	Arctogadus glacialis (Arctic cod) (Gadus glacialis)	185735	39354	23	23	22	present
vertebrata	UP001730804	Merluccius merluccius (European hake)	8063	21772	17	17	16	present
vertebrata	UP001730820	Boreogadus saida (Polar cod) (Gadus saida)	44932	39732	20	21	19	present
vertebrata	UP001730821	Gadus morhua 'NCC'	328277	34302	21	21	20	present
vertebrata	UP001732271	Caretta caretta (Loggerhead sea turtle)	8467	25785	17	17	15	present
vertebrata	UP001732273	Lepidochelys olivacea (Olive Ridley Sea turtle) (Chelonia olivacea)	27788	21318	17	17	16	present
vertebrata	UP001732657	Leuciscus chuanchicus	3231064	33581	26	23	23	present
vertebrata	UP001732660	Lepidochelys kempii (Kemp's ridley sea turtle) (Thalassochelys kempii)	8472	25689	17	17	17	present
vertebrata	UP001732720	Castor canadensis (American beaver)	51338	48533	15	15	15	present
vertebrata	UP001732780	Camelus bactrianus (Bactrian camel)	9837	45470	15	15	15	present
vertebrata	UP001735300	Petromyzon marinus (Sea lamprey)	7757	37132	16	16	16	present
vertebrata	UP000295264	Sousa chinensis (Indo-pacific humpbacked dolphin) (Steno chinensis)	103600	8382	2	2	2	present
vertebrata	UP000314294	Liparis tanakae (Tanaka's snailfish)	230148	68164	21	18	13	present
vertebrata	UP000324091	Takifugu flavidus (sansaifugu)	433684	29076	22	22	21	present
vertebrata	UP000631465	Cervus hanglu yarkandensis (Yarkand deer)	84702	713	0	0	0	absent
vertebrata	UP001066276	Pleurodeles waltl (Iberian ribbed newt)	8319	137737	8	8	8	present
vertebrata	UP001152622	Synaphobranchus kaupii (Kaup's arrowtooth eel)	118154	42723	28	25	22	present
vertebrata	UP001162483	Staurois parvus	386267	91370	10	7	5	present
vertebrata	UP001642463	Bufotes viridis (European green toad) (Pseudepidalea viridis)	30338	65624	16	16	16	present
metazoa_nonvert	UP000000803	Drosophila melanogaster (Fruit fly)	7227	21947	3	3	3	present
metazoa_nonvert	UP000001940	Caenorhabditis elegans	6239	26629	6	6	6	present
metazoa_nonvert	UP000008549	Caenorhabditis briggsae	6238	21744	6	6	6	present
metazoa_nonvert	UP000069940	Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)	7160	26331	4	4	4	present
metazoa_nonvert	UP000000304	Drosophila simulans (Fruit fly)	7240	15361	2	2	1	present
metazoa_nonvert	UP000000305	Daphnia pulex (Water flea)	6669	30137	12	12	10	present
metazoa_nonvert	UP000000311	Camponotus floridanus (Florida carpenter ant)	104421	14787	5	5	5	present
metazoa_nonvert	UP000000673	Anopheles darlingi (Mosquito)	43151	10595	4	4	4	present
metazoa_nonvert	UP000001070	Drosophila grimshawi (Hawaiian fruit fly) (Idiomyia grimshawi)	7222	14754	3	3	3	present
metazoa_nonvert	UP000001292	Drosophila sechellia (Fruit fly)	7238	16129	2	3	2	present
metazoa_nonvert	UP000001307	Oikopleura dioica (Tunicate)	34765	17050	5	5	5	present
metazoa_nonvert	UP000001554	Branchiostoma floridae (Florida lancelet) (Amphioxus)	7739	38650	9	9	7	present
metazoa_nonvert	UP000001593	Nematostella vectensis (Starlet sea anemone)	45351	24435	9	8	6	present
metazoa_nonvert	UP000001819	Drosophila pseudoobscura pseudoobscura (Fruit fly)	46245	23331	3	3	3	present
metazoa_nonvert	UP000002282	Drosophila yakuba (Fruit fly)	7245	20727	3	3	3	present
metazoa_nonvert	UP000002320	Culex quinquefasciatus (Southern house mosquito) (Culex pungens)	7176	18868	4	4	4	present
metazoa_nonvert	UP000002358	Nasonia vitripennis (Parasitic wasp)	7425	24858	5	5	5	present
metazoa_nonvert	UP000005203	Apis mellifera (Honeybee)	7460	19057	5	5	5	present
metazoa_nonvert	UP000005204	Bombyx mori (Silk moth)	7091	23640	4	4	4	present
metazoa_nonvert	UP000005205	Atta cephalotes (Leafcutter ant)	12957	10634	5	5	5	present
metazoa_nonvert	UP000005237	Caenorhabditis japonica	281687	35024	8	7	4	present
metazoa_nonvert	UP000005239	Pristionchus pacificus (Parasitic nematode worm)	54126	26122	8	8	8	present
metazoa_nonvert	UP000005408	Magallana gigas (Pacific oyster) (Crassostrea gigas)	29159	57874	5	5	5	present
metazoa_nonvert	UP000006672	Brugia malayi (Filarial nematode worm)	6279	15168	9	9	8	present
metazoa_nonvert	UP000007062	Anopheles gambiae (African malaria mosquito)	7165	14559	4	4	4	present
metazoa_nonvert	UP000007110	Strongylocentrotus purpuratus (Purple sea urchin)	7668	34417	7	7	7	present
metazoa_nonvert	UP000007151	Danaus plexippus plexippus	278856	15140	2	2	2	present
metazoa_nonvert	UP000007266	Tribolium castaneum (Red flour beetle)	7070	18505	4	4	4	present
metazoa_nonvert	UP000007755	Acromyrmex echinatior (Panamanian leafcutter ant) (Acromyrmex octospinosus echinatior)	103372	13962	5	5	5	present
metazoa_nonvert	UP000007798	Drosophila willistoni (Fruit fly)	7260	14806	4	3	3	present
metazoa_nonvert	UP000007801	Drosophila ananassae (Fruit fly)	7217	19362	3	3	3	present
metazoa_nonvert	UP000007819	Acyrthosiphon pisum (Pea aphid)	7029	23442	4	4	3	present
metazoa_nonvert	UP000007875	Ciona savignyi (Pacific transparent sea squirt)	51511	20004	5	4	3	present
metazoa_nonvert	UP000007879	Amphimedon queenslandica (Sponge)	400682	22831	4	4	4	present
metazoa_nonvert	UP000008068	Caenorhabditis brenneri (Nematode worm)	135651	29982	8	9	8	present
metazoa_nonvert	UP000008144	Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis)	7719	17311	7	5	5	present
metazoa_nonvert	UP000008237	Harpegnathos saltator (Jerdon's jumping ant)	610380	15029	5	5	4	present
metazoa_nonvert	UP000008281	Caenorhabditis remanei (Caenorhabditis vulgaris)	31234	31252	6	6	5	present
metazoa_nonvert	UP000008711	Drosophila erecta (Fruit fly)	7220	17348	3	3	3	present
metazoa_nonvert	UP000008744	Drosophila persimilis (Fruit fly)	7234	16754	3	2	2	present
metazoa_nonvert	UP000008792	Drosophila virilis (Fruit fly)	7244	18316	3	3	3	present
metazoa_nonvert	UP000008820	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	7159	20643	4	4	4	present
metazoa_nonvert	UP000008854	Schistosoma mansoni (Blood fluke)	6183	10771	2	2	2	present
metazoa_nonvert	UP000008909	Clonorchis sinensis (Chinese liver fluke)	79923	13606	1	2	1	present
metazoa_nonvert	UP000009022	Trichoplax adhaerens (Trichoplax reptans)	10228	11520	3	2	2	present
metazoa_nonvert	UP000009046	Pediculus humanus subsp. corporis (Body louse)	121224	10776	4	3	3	present
metazoa_nonvert	UP000009192	Drosophila mojavensis (Fruit fly)	7230	18165	3	3	3	present
metazoa_nonvert	UP000014500	Strigamia maritima (European centipede) (Geophilus maritimus)	126957	14972	6	6	6	present
metazoa_nonvert	UP000014760	Capitella teleta (Polychaete worm)	283909	31857	13	12	9	present
metazoa_nonvert	UP000015101	Helobdella robusta (Californian leech)	6412	23328	9	8	8	present
metazoa_nonvert	UP000015102	Megaselia scalaris (Humpbacked fly) (Phora scalaris)	36166	11463	1	1	0	absent
metazoa_nonvert	UP000015103	Rhodnius prolixus (Triatomid bug)	13249	14974	4	4	3	present
metazoa_nonvert	UP000015104	Tetranychus urticae (Two-spotted spider mite)	32264	17526	6	6	6	present
metazoa_nonvert	UP000017246	Echinococcus multilocularis (Fox tapeworm)	6211	10472	1	1	1	present
metazoa_nonvert	UP000019118	Dendroctonus ponderosae (Mountain pine beetle)	77166	17726	7	8	7	present
metazoa_nonvert	UP000019149	Echinococcus granulosus (Hydatid tapeworm)	6210	11279	1	1	1	present
metazoa_nonvert	UP000024404	Onchocerca volvulus	6282	12223	8	7	7	present
metazoa_nonvert	UP000024635	Ancylostoma ceylanicum	53326	65375	6	6	4	present
metazoa_nonvert	UP000025227	Haemonchus contortus (Barber pole worm)	6289	20964	5	5	5	present
metazoa_nonvert	UP000027135	Zootermopsis nevadensis (Dampwood termite)	136037	14539	6	6	6	present
metazoa_nonvert	UP000030665	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	36087	9624	3	3	3	present
metazoa_nonvert	UP000030746	Lottia gigantea (Giant owl limpet)	225164	23675	6	6	5	present
metazoa_nonvert	UP000030764	Trichuris suis (pig whipworm)	68888	14189	2	2	2	present
metazoa_nonvert	UP000030765	Anopheles sinensis (Mosquito)	74873	19343	4	4	4	present
metazoa_nonvert	UP000031036	Toxocara canis (Canine roundworm)	6265	18499	10	9	8	present
metazoa_nonvert	UP000035642	Angiostrongylus cantonensis (Rat lungworm)	6313	14504	5	3	1	present
metazoa_nonvert	UP000035680	Strongyloides venezuelensis (Threadworm)	75913	16624	7	7	7	present
metazoa_nonvert	UP000035681	Strongyloides stercoralis (Threadworm)	6248	15552	9	9	9	present
metazoa_nonvert	UP000035682	Strongyloides ratti (Parasitic roundworm)	34506	12456	7	7	7	present
metazoa_nonvert	UP000036403	Lasius niger (Black garden ant)	67767	18044	4	4	3	present
metazoa_nonvert	UP000037069	Lucilia cuprina (Green bottle fly) (Australian sheep blowfly)	7375	14353	3	2	2	present
metazoa_nonvert	UP000037510	Operophtera brumata (Winter moth) (Phalaena brumata)	104452	16814	5	4	2	present
metazoa_nonvert	UP000038045	Parastrongyloides trichosuri (Possum-specific nematode worm)	131310	14892	7	7	7	present
metazoa_nonvert	UP000046392	Strongyloides papillosus (Intestinal threadworm)	174720	18232	7	7	7	present
metazoa_nonvert	UP000046393	Syphacia muris	451379	11114	8	7	6	present
metazoa_nonvert	UP000046395	Trichuris muris (Mouse whipworm)	70415	13960	3	3	3	present
metazoa_nonvert	UP000050640	Elaeophora elaphi	1147741	10407	7	7	7	present
metazoa_nonvert	UP000050741	Globodera pallida (Potato cyst nematode worm) (Heterodera pallida)	36090	16295	5	6	5	present
metazoa_nonvert	UP000050792	Schistosoma rodhaini	6188	19435	2	2	2	present
metazoa_nonvert	UP000050794	Toxocara canis (Canine roundworm)	6265	20249	9	9	7	present
metazoa_nonvert	UP000050795	Trichobilharzia regenti (Nasal bird schistosome)	157069	20231	2	1	1	present
metazoa_nonvert	UP000051574	Oryctes borbonicus	1629725	8820	4	4	3	present
metazoa_nonvert	UP000053097	Ooceraea biroi (Clonal raider ant) (Cerapachys biroi)	2015173	16497	5	5	5	present
metazoa_nonvert	UP000053105	Melipona quadrifasciata	166423	14253	4	4	4	present
metazoa_nonvert	UP000053240	Papilio machaon (Old World swallowtail butterfly)	76193	15461	4	4	4	present
metazoa_nonvert	UP000053268	Papilio xuthus (Asian swallowtail butterfly)	66420	15265	4	5	3	present
metazoa_nonvert	UP000053660	Oesophagostomum dentatum (Nodular worm)	61180	25133	7	5	2	present
metazoa_nonvert	UP000053676	Necator americanus (Human hookworm)	51031	19125	5	2	2	present
metazoa_nonvert	UP000053766	Dictyocaulus viviparus (Bovine lungworm)	29172	14161	5	5	2	present
metazoa_nonvert	UP000053825	Habropoda laboriosa	597456	12781	5	5	5	present
metazoa_nonvert	UP000054047	Ancylostoma duodenale	51022	27403	5	5	1	present
metazoa_nonvert	UP000054324	Opisthorchis viverrini (Southeast Asian liver fluke)	6198	16307	2	2	2	present
metazoa_nonvert	UP000054359	Stegodyphus mimosarum (African social velvet spider)	407821	27009	8	10	4	present
metazoa_nonvert	UP000054495	Ancylostoma ceylanicum	53326	15861	5	5	4	present
metazoa_nonvert	UP000054630	Trichinella nelsoni	6336	16597	5	5	5	present
metazoa_nonvert	UP000054653	Trichinella britovi (Parasitic roundworm)	45882	19931	4	4	4	present
metazoa_nonvert	UP000054721	Trichinella nativa	6335	16771	5	5	5	present
metazoa_nonvert	UP000054776	Trichinella spiralis (Trichina worm)	6334	18572	5	5	5	present
metazoa_nonvert	UP000054783	Trichinella patagoniensis	990121	18337	5	5	5	present
metazoa_nonvert	UP000054805	Trichinella pseudospiralis (Parasitic roundworm)	6337	16171	5	5	5	present
metazoa_nonvert	UP000054843	Trichinella papuae	268474	15285	5	5	5	present
metazoa_nonvert	UP000054995	Trichinella pseudospiralis (Parasitic roundworm)	6337	14319	5	5	5	present
metazoa_nonvert	UP000055024	Trichinella zimbabwensis	268475	18195	4	4	4	present
metazoa_nonvert	UP000055048	Trichinella murrelli	144512	17983	4	4	4	present
metazoa_nonvert	UP000069272	Anopheles albimanus (New world malaria mosquito)	7167	12489	3	3	3	present
metazoa_nonvert	UP000070412	Sarcoptes scabiei (Itch mite) (Acarus scabiei)	52283	9161	6	5	5	present
metazoa_nonvert	UP000075809	Mycetomoellerius zeteki	64791	14302	5	4	4	present
metazoa_nonvert	UP000075840	Anopheles arabiensis (Mosquito)	7173	13818	4	4	4	present
metazoa_nonvert	UP000075880	Anopheles atroparvus (European mosquito)	41427	15529	4	4	4	present
metazoa_nonvert	UP000075881	Anopheles christyi	43041	10929	3	4	3	present
metazoa_nonvert	UP000075883	Anopheles culicifacies	139723	14342	5	4	3	present
metazoa_nonvert	UP000075884	Anopheles dirus	7168	13101	4	4	4	present
