tip	group	paralog	species	taxid	kingdom	phylum	core_n_ref	core_n_covered	core_coverage	core_identity	pore_n_ref	pore_n_covered	pore_coverage	pore_identity	delta_core_minus_pore	in_test	drop_reason	plc_upid	n_pi_plc	plc_status	stratum
invert_metazoa_Tubiluchus_corallicola_GCA_030141605.1_copy1_290621	invert_metazoa		Tubiluchus corallicola		Metazoa	Priapulida	304	1	0.0033	1.0	238	141	0.5924	0.5674		False	module coverage below 0.50			no_reference_proteome	nonvert_itpr_plc_no_reference_proteome
invert_metazoa_Tubulanus_polymorphus_GCF_964204645.1_copy2_7918633	invert_metazoa		Tubulanus polymorphus		Metazoa	Nemertea	304	243	0.7993	0.1934	238	204	0.8571	0.3088	-0.1154	True				no_reference_proteome	nonvert_itpr_plc_no_reference_proteome
plant_Chlamydomonas_reinhardtii_Chlamydomona_A0A2K3CTW4	plant		Chlamydomonas reinhardtii (Chlamydomonas smithii)	3055	Viridiplantae	Chlorophyta	304	279	0.9178	0.1864	238	207	0.8697	0.2174	-0.031	True		UP000006906	1	present	nonvert_itpr_plc_present
plant_Cymbomonas_tetramitiformis_A0AAE0G204	plant		Cymbomonas tetramitiformis	36881	Viridiplantae	Chlorophyta	304	268	0.8816	0.2351	238	229	0.9622	0.2926	-0.0575	True		UP001190700	0	absent	nonvert_itpr_plc_absent
plant_Volvox_carteri_f._nagariensis_D8UKJ4	plant		Volvox carteri f. nagariensis	3068	Viridiplantae	Chlorophyta	304	279	0.9178	0.2151	238	207	0.8697	0.2222	-0.0071	True		UP000001058	1	present	nonvert_itpr_plc_present
protist_Acanthamoeba_castellanii_strain_ATCC_3_L8GF85	protist	ITPR2	Acanthamoeba castellanii (strain ATCC 30010 / Neff)	1257118		Discosea	304	283	0.9309	0.2686	238	210	0.8824	0.3857	-0.1171	True		UP000011083	1	present	nonvert_itpr_plc_present
protist_Aphanomyces_stellatus_A0A485LKV7	protist		Aphanomyces stellatus	120398		Oomycota	304	250	0.8224	0.224	238	204	0.8571	0.3088	-0.0848	True		UP000332933	1	present	nonvert_itpr_plc_present
protist_Aureococcus_anophagefferens_GCF_000186865.1_copy2_139898	protist		Aureococcus anophagefferens				304	254	0.8355	0.1969	238	202	0.8487	0.3416	-0.1447	True		UP000002729	2	present	nonvert_itpr_plc_present
protist_Dictyostelium_discoideum_Social_amoeba_Q9NA13	protist		Dictyostelium discoideum (Social amoeba)	44689		Evosea	304	230	0.7566	0.2087	238	209	0.8782	0.2392	-0.0305	True		UP000002195	1	present	nonvert_itpr_plc_present
protist_Fonticula_alba_Slime_mold_A0A058ZDJ2	protist		Fonticula alba (Slime mold)	691883			304	291	0.9572	0.354	238	204	0.8571	0.5245	-0.1705	True		UP000030693	2	present	nonvert_itpr_plc_present
protist_Leishmania_martiniquensis_A0A836HD65	protist		Leishmania martiniquensis	1580590		Euglenozoa	304	274	0.9013	0.2226	238	201	0.8445	0.2388	-0.0162	True		UP000673552	2	present	nonvert_itpr_plc_present
protist_Naegleria_fowleri_Brain_eating_amoeba_A0A6A5C2J4	protist		Naegleria fowleri (Brain eating amoeba)	5763		Heterolobosea	304	254	0.8355	0.1929	238	201	0.8445	0.2935	-0.1006	True		UP000444721	4	present	nonvert_itpr_plc_present
protist_Naegleria_lovaniensis_Amoeba_A0AA88KEU5	protist		Naegleria lovaniensis (Amoeba)	51637		Heterolobosea	304	297	0.977	0.2424	238	213	0.895	0.2864	-0.044	True		UP000816034	4	present	nonvert_itpr_plc_present
protist_Paratrimastix_pyriformis_A0ABQ8UZM6	protist		Paratrimastix pyriformis	342808		Preaxostyla	304	272	0.8947	0.2169	238	198	0.8319	0.2778	-0.0609	True		UP001141327	1	present	nonvert_itpr_plc_present
protist_Prymnesium_parvum_Toxic_golden_alga_A0AB34K5R9	protist		Prymnesium parvum (Toxic golden alga)	97485		Haptophyta	304	269	0.8849	0.223	238	208	0.8739	0.3125	-0.0895	True		UP001515480	20	present	nonvert_itpr_plc_present
protist_Saprolegnia_diclina_strain_VS20_T0QLN2	protist		Saprolegnia diclina (strain VS20)	1156394		Oomycota	304	244	0.8026	0.2008	238	204	0.8571	0.3186	-0.1178	True		UP000030762	1	present	nonvert_itpr_plc_present
protist_Stentor_coeruleus_GCA_001970955.1_copy5_35430	protist		Stentor coeruleus			Ciliophora	304	241	0.7928	0.2033	238	201	0.8445	0.3284	-0.1251	True		UP000187209	2	present	nonvert_itpr_plc_present
protist_Stentor_coeruleus_GCA_001970955.1_copy3_5764	protist		Stentor coeruleus			Ciliophora	304	241	0.7928	0.1743	238	198	0.8319	0.3232	-0.1489	True		UP000187209	2	present	nonvert_itpr_plc_present
protist_Stentor_coeruleus_GCA_001970955.1_copy2_370	protist		Stentor coeruleus			Ciliophora	304	265	0.8717	0.1962	238	207	0.8697	0.3333	-0.1371	True		UP000187209	2	present	nonvert_itpr_plc_present
protist_Stentor_coeruleus_GCA_001970955.1_copy1_8516	protist		Stentor coeruleus			Ciliophora	304	260	0.8553	0.1923	238	205	0.8613	0.3561	-0.1638	True		UP000187209	2	present	nonvert_itpr_plc_present
protist_Stylonychia_lemnae_Ciliate_A0A078ASZ8	protist		Stylonychia lemnae (Ciliate)	5949		Ciliophora	304	273	0.898	0.2198	238	201	0.8445	0.3582	-0.1384	True		UP000039865	1	present	nonvert_itpr_plc_present
protist_Triparma_laevis_f._longispina_A0A9W7DWA0	protist		Triparma laevis f. longispina	1714387			304	269	0.8849	0.2082	238	225	0.9454	0.2356	-0.0274	True		UP001165122	1	present	nonvert_itpr_plc_present
protist_Triparma_retinervis_A0A9W7AFH6	protist		Triparma retinervis	2557542			304	269	0.8849	0.2082	238	209	0.8782	0.2344	-0.0262	True		UP001165082	1	present	nonvert_itpr_plc_present
protist_Vermamoeba_vermiformis_GCA_020696425.1_copy1_85472	protist		Vermamoeba vermiformis			Tubulinea	304	286	0.9408	0.2727	238	214	0.8992	0.4019	-0.1292	True				no_reference_proteome	nonvert_itpr_plc_no_reference_proteome
fungi_Entomophthora_muscae_A0ACC2TPX2	fungi		Entomophthora muscae	34485	Fungi	Entomophthoromycota	304	271	0.8914	0.1993	238	197	0.8277	0.3655	-0.1662	True		UP001165960	4	present	nonvert_itpr_plc_present
fungi_Jimgerdemannia_flammicorona_A0A433QY11	fungi		Jimgerdemannia flammicorona	994334	Fungi	Mucoromycota	304	279	0.9178	0.2222	238	186	0.7815	0.3763	-0.1541	True		UP000268093	0	absent	nonvert_itpr_plc_absent
RYR_Caenorhabditis_elegans_Q94279	RYR		Caenorhabditis elegans	6239	Metazoa	Nematoda	304	236	0.7763	0.1737	238	203	0.8529	0.335	-0.1613	True		UP000001940	6	present	ryr_control
RYR_Drosophila_melanogaster_Fruit_fly_Q24498	RYR		Drosophila melanogaster (Fruit fly)	7227	Metazoa	Arthropoda	304	234	0.7697	0.1838	238	199	0.8361	0.3116	-0.1278	True		UP000000803	3	present	ryr_control
RYR_Hemicentrotus_pulcherrimus_Sea_urchin__Q8TA74	RYR		Hemicentrotus pulcherrimus (Sea urchin) (Strongylocentrotus pulcherrimus)	7650	Metazoa	Echinodermata	304	236	0.7763	0.2034	238	199	0.8361	0.3116	-0.1082	True				no_reference_proteome	ryr_control
RYR_Homo_sapiens_Human_P21817	RYR	RYR1	Homo sapiens (Human)	9606	Metazoa	Chordata	304	233	0.7664	0.206	238	200	0.8403	0.315	-0.109	True		UP000005640	15	present	ryr_control
RYR_Homo_sapiens_Human_Q92736	RYR	RYR2	Homo sapiens (Human)	9606	Metazoa	Chordata	304	233	0.7664	0.1588	238	199	0.8361	0.3367	-0.1779	True		UP000005640	15	present	ryr_control
RYR_Homo_sapiens_Human_Q15413	RYR	RYR3	Homo sapiens (Human)	9606	Metazoa	Chordata	304	228	0.75	0.193	238	199	0.8361	0.3367	-0.1437	True		UP000005640	15	present	ryr_control
