label	accession	rule	cell	group	paralog	paralog_raw	paralog_source	family_call	species	taxon_id	band	census_group	kingdom	phylum	class	order	length	n_itpr_arch	fragment	reviewed	protein_existence	profile_confidence	itpr_score	ryr_score	rel_margin	source	db_status	genome_accession	copy_index	copy_number	shape_note	decided_by	runner_up	n_candidates	seq_store	seq_length	x_count
invert_metazoa_Branchiostoma_lanceolatum_Common_lance_A0A8K0A0Y4	A0A8K0A0Y4	R4	phylum:Chordata	invert_metazoa	ITPR1	ITPR1	gene_symbol	ITPR	Branchiostoma lanceolatum (Common lancelet) (Amphioxus lanceolatum)	7740		Metazoa (non-vertebrate)	Metazoa	Chordata	Leptocardii	Amphioxiformes	2783	5		0	Inferred from homology	high	4041.9	464.3	0.8851	InterPro						is_bait	A0A6F9DES0	9	s2_seeded	2783	0
invert_metazoa_Bugula_neritina_Brown_bryozoan_Sertula_A0A7J7J401	A0A7J7J401	R4	phylum:Bryozoa	invert_metazoa			none	ITPR	Bugula neritina (Brown bryozoan) (Sertularia neritina)	10212		Metazoa (non-vertebrate)	Metazoa	Bryozoa	Gymnolaemata	Cheilostomatida	1724	3		0	Predicted	high	849.8	217.3	0.7443	InterPro					short_exception	protein_existence	GCF_963576615.1|copy1|NC_088708.1:70974462-71064440	2	s2_seeded	1724	0
invert_metazoa_Caenorhabditis_elegans_Q9Y0A1	Q9Y0A1	R4	phylum:Nematoda	invert_metazoa			none	ITPR	Caenorhabditis elegans	6239		Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	2892	5		1	Evidence at protein level	high	3040.4	376.9	0.876	InterPro						reviewed	A0A0V1CUW8	86	s2_seeded	2892	0
invert_metazoa_Capitella_teleta_Polychaete_worm_R7TPX0	R7TPX0	R4	phylum:Annelida	invert_metazoa			none	ITPR	Capitella teleta (Polychaete worm)	283909		Metazoa (non-vertebrate)	Metazoa	Annelida	Polychaeta		2718	5		0	Inferred from homology	high	3920.6	454.4	0.8841	InterPro						is_bait	A0A8J1XIA6	6	s2_seeded	2718	0
invert_metazoa_Convolutriloba_macropyga_GCF_964194025.1_copy1_11915090	GCF_964194025.1|copy1|NC_134474.1:11915090-12088704	R4	phylum:Xenacoelomorpha	invert_metazoa			none	ITPR	Convolutriloba macropyga			Metazoa (non-vertebrate)	Metazoa	Xenacoelomorpha		Acoela	2960					high	3103.5	399.3	0.8713	S23 genome sweep	annotated_unnamed	GCF_964194025.1	copy1			sole_candidate		1	s23_models	2960	1
invert_metazoa_Dicyema_japonicum_GCA_011109175.1_copy1_1388155	GCA_011109175.1|copy1|RDEW01000002.1:1388155-1683411	R4	phylum:Dicyemida	invert_metazoa			none	ITPR	Dicyema japonicum			Metazoa (non-vertebrate)	Metazoa	Dicyemida	Rhombozoa		2660					high	2221.8	373.1	0.8321	S23 genome sweep	genome_only	GCA_011109175.1	copy1			sole_candidate		1	s23_models	2660	3
invert_metazoa_Dimorphilus_gyrociliatus_GCA_904063045.1_copy4_2597059	GCA_904063045.1|copy4|CAJFCJ010000003.1:2597059-2851898	R6	copies:GCA_904063045.1	invert_metazoa			none	ITPR	Dimorphilus gyrociliatus			Metazoa (non-vertebrate)	Metazoa	Annelida	Polychaeta		2759					high	1299.9	273.8	0.7894	S23 genome sweep	annotated_unnamed	GCA_904063045.1	copy4	5		length_fit	GCA_904063045.1|copy1|CAJFCJ010000020.1:1267705-1610699	5	s23_models	2759	1
invert_metazoa_Dimorphilus_gyrociliatus_GCA_904063045.1_copy1_1267705	GCA_904063045.1|copy1|CAJFCJ010000020.1:1267705-1610699	R6	copies:GCA_904063045.1	invert_metazoa			none	ITPR	Dimorphilus gyrociliatus			Metazoa (non-vertebrate)	Metazoa	Annelida	Polychaeta		2609					high	3514.3	450.7	0.8718	S23 genome sweep	annotated_unnamed	GCA_904063045.1	copy1	5		length_fit	GCA_904063045.1|copy5|CAJFCJ010000007.1:3583648-3595592	5	s23_models	2609	0
invert_metazoa_Dimorphilus_gyrociliatus_GCA_904063045.1_copy5_3583648	GCA_904063045.1|copy5|CAJFCJ010000007.1:3583648-3595592	R6	copies:GCA_904063045.1	invert_metazoa			none	ITPR	Dimorphilus gyrociliatus			Metazoa (non-vertebrate)	Metazoa	Annelida	Polychaeta		2579					high	1318.7	242.5	0.8161	S23 genome sweep	annotated_unnamed	GCA_904063045.1	copy5	5		length_fit	GCA_904063045.1|copy2|CAJFCJ010000001.1:131952-609201	5	s23_models	2579	2
invert_metazoa_Dimorphilus_gyrociliatus_GCA_904063045.1_copy2_131952	GCA_904063045.1|copy2|CAJFCJ010000001.1:131952-609201	R6	copies:GCA_904063045.1	invert_metazoa			none	ITPR	Dimorphilus gyrociliatus			Metazoa (non-vertebrate)	Metazoa	Annelida	Polychaeta		2499					high	1324.0	292.5	0.7791	S23 genome sweep	annotated_unnamed	GCA_904063045.1	copy2	5		profile_high	GCA_904063045.1|copy3|CAJFCJ010000006.1:3469016-3710899	5	s23_models	2499	0
invert_metazoa_Drosophila_melanogaster_Fruit_fly_P29993	P29993	R4	phylum:Arthropoda	invert_metazoa			none	ITPR	Drosophila melanogaster (Fruit fly)	7227		Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Diptera	2837	5		1	Evidence at transcript level	high	3754.0	429.6	0.8856	InterPro						reviewed	A0A4Y2F2N2	270	s2_seeded	2837	0
invert_metazoa_Dugesia_japonica_Planarian_R9S1J3	R9S1J3	R4	phylum:Platyhelminthes	invert_metazoa			none	ITPR	Dugesia japonica (Planarian)	6161		Metazoa (non-vertebrate)	Metazoa	Platyhelminthes		Tricladida	2666	5		0	Evidence at transcript level	high	3207.0	420.1	0.869	InterPro						protein_existence	A0A4E0RYC0	16	s2_seeded	2666	0
invert_metazoa_Dysidea_avara_GCF_963678975.1_copy7_13836631	GCF_963678975.1|copy7|NC_089273.1:13836631-14196065	R6	copies:GCF_963678975.1	invert_metazoa			none	ITPR	Dysidea avara			Metazoa (non-vertebrate)	Metazoa	Porifera	Demospongiae	Dictyoceratida	2608					high	931.2	252.6	0.7287	S23 genome sweep	annotated_unnamed	GCF_963678975.1	copy7	8		length_fit	GCF_963678975.1|copy5|NC_089281.1:27474136-27791181	6	s23_models	2608	2
invert_metazoa_Dysidea_avara_GCF_963678975.1_copy5_27474136	GCF_963678975.1|copy5|NC_089281.1:27474136-27791181	R6	copies:GCF_963678975.1	invert_metazoa			none	ITPR	Dysidea avara			Metazoa (non-vertebrate)	Metazoa	Porifera	Demospongiae	Dictyoceratida	2584					high	1044.6	296.8	0.7159	S23 genome sweep	annotated_unnamed	GCF_963678975.1	copy5	8		length_fit	GCF_963678975.1|copy2|NC_089275.1:7972063-8334879	6	s23_models	2584	3
invert_metazoa_Dysidea_avara_GCF_963678975.1_copy2_7972063	GCF_963678975.1|copy2|NC_089275.1:7972063-8334879	R6	copies:GCF_963678975.1	invert_metazoa			none	ITPR	Dysidea avara			Metazoa (non-vertebrate)	Metazoa	Porifera	Demospongiae	Dictyoceratida	2471					high	1069.5	290.9	0.728	S23 genome sweep	genome_only	GCF_963678975.1	copy2	8		length_fit	GCF_963678975.1|copy6|NC_089278.1:5305343-5331583	6	s23_models	2471	1
invert_metazoa_Dysidea_avara_GCF_963678975.1_copy6_5305343	GCF_963678975.1|copy6|NC_089278.1:5305343-5331583	R6	copies:GCF_963678975.1	invert_metazoa			none	ITPR	Dysidea avara			Metazoa (non-vertebrate)	Metazoa	Porifera	Demospongiae	Dictyoceratida	2434					high	989.4	265.3	0.7319	S23 genome sweep	annotated_unnamed	GCF_963678975.1	copy6	8		length_fit	GCF_963678975.1|copy4|NC_089278.1:718229-735988	6	s23_models	2434	3
invert_metazoa_Epiperipatus_broadwayi_GCA_028023455.1_copy1_8600421	GCA_028023455.1|copy1|JAQFVV010000038.1:8600421-9493919	R4	phylum:Onychophora	invert_metazoa			none	ITPR	Epiperipatus broadwayi			Metazoa (non-vertebrate)	Metazoa	Onychophora	Udeonychophora	Euonychophora	2571					high	3703.7	432.4	0.8833	S23 genome sweep	genome_only	GCA_028023455.1	copy1			sole_candidate		1	s23_models	2571	0
invert_metazoa_Fasciola_hepatica_Liver_fluke_A0A4E0RYC0	A0A4E0RYC0	R4	phylum:Platyhelminthes	invert_metazoa			none	ITPR	Fasciola hepatica (Liver fluke)	6192		Metazoa (non-vertebrate)	Metazoa	Platyhelminthes	Trematoda	Plagiorchiida	2838	5		0	Inferred from homology	high	1679.8	317.1	0.8112	InterPro						length_fit	A0A4Z2DCQ2	16	s2_seeded	2838	0
invert_metazoa_Flaccisagitta_enflata_GCA_965153355.1_copy1_35611522	GCA_965153355.1|copy1|OZ231133.1:35611522-36440834	R4	phylum:Chaetognatha	invert_metazoa			none	ITPR	Flaccisagitta enflata			Metazoa (non-vertebrate)	Metazoa	Chaetognatha	Sagittoidea	Aphragmophora	2591					high	3076.4	302.7	0.9016	S23 genome sweep	genome_only	GCA_965153355.1	copy1			sole_candidate		1	s23_models	2591	1
invert_metazoa_Gordionus_wolterstorffii_GCA_976986565.1_copy1_11909076	GCA_976986565.1|copy1|OZ335996.1:11909076-12015791	R4	phylum:Nematomorpha	invert_metazoa			none	ITPR	Gordionus wolterstorffii			Metazoa (non-vertebrate)	Metazoa	Nematomorpha	Gordioida	Chordodea	2634					high	2991.4	422.0	0.8589	S23 genome sweep	genome_only	GCA_976986565.1	copy1			sole_candidate		1	s23_models	2634	1
invert_metazoa_Hirondellea_gigas_A0A6A7G5P7	A0A6A7G5P7	R4	phylum:Arthropoda	invert_metazoa			none	ITPR	Hirondellea gigas	1518452		Metazoa (non-vertebrate)	Metazoa	Arthropoda	Malacostraca	Amphipoda	2775	5		0	Evidence at transcript level	high	3376.8	445.2	0.8682	InterPro						length_fit	V9I8A8	270	s2_seeded	2775	0
invert_metazoa_Hypsibius_exemplaris_Freshwater_tardig_A0A1W0X7L5	A0A1W0X7L5	R4	phylum:Tardigrada	invert_metazoa			none	ITPR	Hypsibius exemplaris (Freshwater tardigrade)	2072580		Metazoa (non-vertebrate)	Metazoa	Tardigrada	Eutardigrada	Parachela	2720	5		0	Inferred from homology	high	2889.2	379.6	0.8686	InterPro						is_bait	A0A1D1V0T1	3	s2_seeded	2720	0
invert_metazoa_Intoshia_linei_GCA_001642005.1_copy1_548	GCA_001642005.1|copy1|LWCA01000495.1:548-21435	R4	phylum:Orthonectida	invert_metazoa			none	ITPR	Intoshia linei			Metazoa (non-vertebrate)	Metazoa	Orthonectida			1571					high	654.8	105.4	0.839	S23 genome sweep	annotated_unnamed	GCA_001642005.1	copy1		short_exception	sole_candidate		1	s23_models	1571	0
invert_metazoa_Lepidodermella_squamata_GCA_047495785.1_copy1_1478289	GCA_047495785.1|copy1|JBLDXI010000002.1:1478289-1681700	R4	phylum:Gastrotricha	invert_metazoa			none	ITPR	Lepidodermella squamata			Metazoa (non-vertebrate)	Metazoa	Gastrotricha		Chaetonotida	2750					high	1457.4	321.5	0.7794	S23 genome sweep	genome_only	GCA_047495785.1	copy1			sole_candidate		1	s23_models	2750	1
invert_metazoa_Limulus_polyphemus_Atlantic_horseshoe__A0ABM1SEU6	A0ABM1SEU6	R4	phylum:Arthropoda	invert_metazoa			none	ITPR	Limulus polyphemus (Atlantic horseshoe crab)	6850		Metazoa (non-vertebrate)	Metazoa	Arthropoda	Merostomata	Xiphosura	2790	5		0	Inferred from homology	high	3914.1	458.8	0.8828	InterPro						is_bait	A0A6A7G5P7	270	s2_seeded	2790	0
invert_metazoa_Lingula_anatina_Brachiopod_Lingula_ung_A0A1S3JYY5	A0A1S3JYY5	R4	phylum:Brachiopoda	invert_metazoa			none	ITPR	Lingula anatina (Brachiopod) (Lingula unguis)	7574		Metazoa (non-vertebrate)	Metazoa	Brachiopoda	Lingulata	Lingulida	2595	5		0	Inferred from homology	high	3505.2	401.9	0.8853	InterPro						sole_candidate		1	s2_seeded	2595	0
invert_metazoa_Littorina_saxatilis_A0AAN9BAK1	A0AAN9BAK1	R4	phylum:Mollusca	invert_metazoa			none	ITPR	Littorina saxatilis	31220		Metazoa (non-vertebrate)	Metazoa	Mollusca	Gastropoda	Littorinimorpha	2744	5		0	Inferred from homology	high	3821.4	463.7	0.8787	InterPro						length_fit	A0AAN8PFL6	32	s2_seeded	2744	0
invert_metazoa_Macrostomum_lignano_GCA_002269645.1_copy10_370736	GCA_002269645.1|copy10|NIVC01000024.1:370736-419134	R6	copies:GCA_002269645.1	invert_metazoa			none	ITPR	Macrostomum lignano			Metazoa (non-vertebrate)	Metazoa	Platyhelminthes			2796					high	1462.6	233.5	0.8404	S23 genome sweep	annotated_unnamed	GCA_002269645.1	copy10	18		length_fit	GCA_002269645.1|copy8|NIVC01002299.1:50053-107851	19	s23_models	2796	1
invert_metazoa_Macrostomum_lignano_GCA_002269645.1_copy8_50053	GCA_002269645.1|copy8|NIVC01002299.1:50053-107851	R6	copies:GCA_002269645.1	invert_metazoa			none	ITPR	Macrostomum lignano			Metazoa (non-vertebrate)	Metazoa	Platyhelminthes			2740					high	1525.4	271.8	0.8218	S23 genome sweep	annotated_unnamed	GCA_002269645.1	copy8	18		profile_score	GCA_002269645.1|copy5|NIVC01000023.1:191213-317060	19	s23_models	2740	0
invert_metazoa_Macrostomum_lignano_GCA_002269645.1_copy5_191213	GCA_002269645.1|copy5|NIVC01000023.1:191213-317060	R6	copies:GCA_002269645.1	invert_metazoa			none	ITPR	Macrostomum lignano			Metazoa (non-vertebrate)	Metazoa	Platyhelminthes			2740					high	1509.7	271.7	0.82	S23 genome sweep	annotated_unnamed	GCA_002269645.1	copy5	18		length_fit	GCA_002269645.1|copy2|NIVC01003713.1:9986-44829	19	s23_models	2740	0
invert_metazoa_Macrostomum_lignano_GCA_002269645.1_copy2_9986	GCA_002269645.1|copy2|NIVC01003713.1:9986-44829	R6	copies:GCA_002269645.1	invert_metazoa			none	ITPR	Macrostomum lignano			Metazoa (non-vertebrate)	Metazoa	Platyhelminthes			2808					high	3388.8	407.0	0.8799	S23 genome sweep	genome_only	GCA_002269645.1	copy2	18		length_fit	GCA_002269645.1|copy7|NIVC01002364.1:7202-101656	19	s23_models	2808	0
invert_metazoa_Mnemiopsis_leidyi_Sea_walnut_Warty_com_A0ACF8YJ40	A0ACF8YJ40	R4	phylum:Ctenophora	invert_metazoa			none	ITPR	Mnemiopsis leidyi (Sea walnut) (Warty comb jellyfish)	27923		Metazoa (non-vertebrate)	Metazoa	Ctenophora	Tentaculata	Lobata	2716	5		0	Inferred from homology	high	3298.0	421.5	0.8722	InterPro						complete_architecture	GCF_026151205.1|copy1|NC_087076.1:6039972-6279570	2	s2_seeded	2716	0
invert_metazoa_Mytilus_coruscus_Sea_mussel_A0A6J7ZY28	A0A6J7ZY28	R4	phylum:Mollusca	invert_metazoa			none	ITPR	Mytilus coruscus (Sea mussel)	42192		Metazoa (non-vertebrate)	Metazoa	Mollusca	Bivalvia	Mytilida	2778	5		0	Inferred from homology	high	1528.0	282.5	0.8151	InterPro						length_fit	A0AAE0W7B9	32	s2_seeded	2778	0
invert_metazoa_Neoechinorhynchus_agilis_GCA_051530055.1_copy1_5945861	GCA_051530055.1|copy1|CM121342.1:5945861-6356314	R4	phylum:Acanthocephala	invert_metazoa			none	ITPR	Neoechinorhynchus agilis			Metazoa (non-vertebrate)	Metazoa	Acanthocephala	Eoacanthocephala	Neoechinorhynchida	1562					medium	815.4	220.2	0.7299	S23 genome sweep	annotated_unnamed	GCA_051530055.1	copy1		short_exception	sole_candidate		1	s23_models	1562	3
invert_metazoa_Patiria_pectinifera_Starfish_Asterina__Q8WSR4	Q8WSR4	R4	phylum:Echinodermata	invert_metazoa			none	ITPR	Patiria pectinifera (Starfish) (Asterina pectinifera)	7594		Metazoa (non-vertebrate)	Metazoa	Echinodermata	Asteroidea	Valvatida	2698	5		1	Evidence at protein level	high	3991.2	401.7	0.8994	InterPro						reviewed	A0A9Q1HIR2	7	s2_seeded	2698	0
invert_metazoa_Phallusia_mammillata_A0A6F9DES0	A0A6F9DES0	R4	phylum:Chordata	invert_metazoa	ITPR2	ITPR2	gene_symbol	ITPR	Phallusia mammillata	59560		Metazoa (non-vertebrate)	Metazoa	Chordata	Ascidiacea	Phlebobranchia	2802	5		0	Evidence at transcript level	high	3455.0	388.1	0.8877	InterPro						protein_existence	H2YYU4	9	s2_seeded	2802	0
invert_metazoa_Phoronis_australis_GCA_055505105.1_copy2_18943062	GCA_055505105.1|copy2|CM145307.1:18943062-19100975	R4	phylum:Phoronida	invert_metazoa			none	ITPR	Phoronis australis			Metazoa (non-vertebrate)	Metazoa	Phoronida			2769					high	1569.2	298.3	0.8099	S23 genome sweep	genome_only	GCA_055505105.1	copy2			sole_candidate		1	s23_models	2769	1
invert_metazoa_Raillietiella_orientalis_GCA_036172245.1_copy1_155838	GCA_036172245.1|copy1|JAYWIR010000015.1:155838-467760	R7	novel:nonvertebrate	invert_metazoa			none	ITPR	Raillietiella orientalis			Metazoa (non-vertebrate)	Metazoa	Arthropoda	Ichthyostraca	Raillietiellida	2754					high	2693.7	433.0	0.8393	S23 genome sweep	genome_only	GCA_036172245.1	copy1			length_fit	GCA_019649035.1|copy2|BMAT01010738.1:133749-466898	13	s23_models	2754	1
invert_metazoa_Saccoglossus_kowalevskii_Acorn_worm_A0ACM8C709	A0ACM8C709	R4	phylum:Hemichordata	invert_metazoa			none	ITPR	Saccoglossus kowalevskii (Acorn worm)	10224		Metazoa (non-vertebrate)	Metazoa	Hemichordata	Enteropneusta		2596	5		0	Inferred from homology	high	1508.9	323.1	0.7859	InterPro						complete_architecture	GCF_041260155.1|copy1|NC_091933.1:35371038-35593932	2	s2_seeded	2596	0
invert_metazoa_Trichinella_britovi_Parasitic_roundwor_A0A0V1CUW8	A0A0V1CUW8	R4	phylum:Nematoda	invert_metazoa			none	ITPR	Trichinella britovi (Parasitic roundworm)	45882		Metazoa (non-vertebrate)	Metazoa	Nematoda	Enoplea	Trichinellida	2676	5		0	Inferred from homology	high	2682.3	401.1	0.8505	InterPro						is_bait	Q9GS15	86	s2_seeded	2676	0
invert_metazoa_Trichoplax_adhaerens_Trichoplax_reptan_B3RUD1	B3RUD1	R4	phylum:Placozoa	invert_metazoa			none	ITPR	Trichoplax adhaerens (Trichoplax reptans)	10228		Metazoa (non-vertebrate)	Metazoa	Placozoa	Uniplacotomia	Trichoplacea	2486	5		0	Inferred from homology	high	1305.2	309.1	0.7632	InterPro						sole_candidate		1	s2_seeded	2486	0
invert_metazoa_Tubiluchus_corallicola_GCA_030141605.1_copy1_290621	GCA_030141605.1|copy1|JAQGDQ010000251.1:290621-325953	R4	phylum:Priapulida	invert_metazoa			none	ITPR	Tubiluchus corallicola			Metazoa (non-vertebrate)	Metazoa	Priapulida	Priapulimorpha	Priapulimorphida	1924					high	2120.7	114.6	0.946	S23 genome sweep	genome_only	GCA_030141605.1	copy1		short_exception	sole_candidate		1	s23_models	1924	0
invert_metazoa_Tubulanus_polymorphus_GCF_964204645.1_copy2_7918633	GCF_964204645.1|copy2|NC_134025.1:7918633-7954918	R4	phylum:Nemertea	invert_metazoa			none	ITPR	Tubulanus polymorphus			Metazoa (non-vertebrate)	Metazoa	Nemertea	Palaeonemertea	Tubulaniformes	2610					high	1511.7	297.2	0.8034	S23 genome sweep	annotated_unnamed	GCF_964204645.1	copy2			sole_candidate		1	s23_models	2610	1
plant_Chlamydomonas_reinhardtii_Chlamydomona_A0A2K3CTW4	A0A2K3CTW4	R5	group:Viridiplantae	plant			none	ITPR	Chlamydomonas reinhardtii (Chlamydomonas smithii)	3055		Viridiplantae	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	3210	5		0	Predicted	high	705.3	124.0	0.8242	InterPro						is_bait	A0AAE0G204	11	s2_seeded	3210	0
plant_Cymbomonas_tetramitiformis_A0AAE0G204	A0AAE0G204	R5	group:Viridiplantae	plant			none	ITPR	Cymbomonas tetramitiformis	36881		Viridiplantae	Viridiplantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	2900	5		0	Predicted	high	932.1	252.6	0.729	InterPro						complete_architecture	A0A835TB45	11	s2_seeded	2900	0
plant_Volvox_carteri_f._nagariensis_D8UKJ4	D8UKJ4	R5	group:Viridiplantae	plant			none	ITPR	Volvox carteri f. nagariensis	3068		Viridiplantae	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	3167	4		0	Predicted	high	575.6	129.3	0.7754	InterPro						length_fit	A0A836B9Y3	11	s2_seeded	3167	0
protist_Acanthamoeba_castellanii_strain_ATCC_3_L8GF85	L8GF85	R5	group:Amoebozoa	protist	ITPR2	ITPR2	protein_name	ITPR	Acanthamoeba castellanii (strain ATCC 30010 / Neff)	1257118		Amoebozoa		Discosea		Longamoebia	3344	5		0	Inferred from homology	high	2247.7	524.5	0.7667	InterPro						complete_architecture	Q9NA13	10	s2_seeded	3344	0
protist_Aphanomyces_stellatus_A0A485LKV7	A0A485LKV7	R5	group:SAR	protist			none	ITPR	Aphanomyces stellatus	120398		SAR		Oomycota	Saprolegniomycetes	Saprolegniales	2815	5		0	Inferred from homology	high	872.3	260.6	0.7012	InterPro						length_fit	T0QLN2	43	s2_seeded	2815	0
protist_Aureococcus_anophagefferens_GCF_000186865.1_copy2_139898	GCF_000186865.1|copy2|NW_008705608.1:139898-148273	R7	novel:nonvertebrate	protist			none	ITPR	Aureococcus anophagefferens			Eukaryota (other)			Pelagophyceae	Pelagomonadales	2494					high	807.8	175.3	0.783	S23 genome sweep	genome_only	GCF_000186865.1	copy2			length_fit	GCF_000326865.2|copy3|NW_008704902.1:7243410-7450277	13	s23_models	2494	1
protist_Dictyostelium_discoideum_Social_amoeba_Q9NA13	Q9NA13	R5	group:Amoebozoa	protist			none	ITPR	Dictyostelium discoideum (Social amoeba)	44689		Amoebozoa		Evosea	Eumycetozoa	Dictyosteliales	3177	2		1	Evidence at transcript level	high	1717.2	164.7	0.9041	InterPro						reviewed	F4Q324	10	s2_seeded	3177	0
protist_Fonticula_alba_Slime_mold_A0A058ZDJ2	A0A058ZDJ2	R5	group:Eukaryota (other)	protist			none	ITPR	Fonticula alba (Slime mold)	691883		Eukaryota (other)				Rotosphaerida	3443	5		0	Inferred from homology	high	2273.6	387.3	0.8297	InterPro						is_bait	A9V4T6	12	s2_seeded	3443	0
protist_Leishmania_martiniquensis_A0A836HD65	A0A836HD65	R5	group:Discoba	protist			none	ITPR	Leishmania martiniquensis	1580590		Discoba		Euglenozoa	Kinetoplastea	Trypanosomatida	2853	4		0	Predicted	high	469.2	190.6	0.5938	InterPro						length_fit	Q4QEZ2	21	s2_seeded	2853	0
protist_Naegleria_fowleri_Brain_eating_amoeba_A0A6A5C2J4	A0A6A5C2J4	R5	group:Discoba	protist			none	ITPR	Naegleria fowleri (Brain eating amoeba)	5763		Discoba		Heterolobosea	Eutetramitea	Acrasida	2801	5		0	Predicted	high	1172.5	350.2	0.7013	InterPro						length_fit	D2VTL3	21	s2_seeded	2801	0
protist_Naegleria_lovaniensis_Amoeba_A0AA88KEU5	A0AA88KEU5	R5	group:Discoba	protist			none	ITPR	Naegleria lovaniensis (Amoeba)	51637		Discoba		Heterolobosea	Eutetramitea	Acrasida	3074	5		0	Predicted	high	2121.8	367.0	0.827	InterPro						is_bait	A0A6A5C2J4	21	s2_seeded	3074	0
protist_Paratrimastix_pyriformis_A0ABQ8UZM6	A0ABQ8UZM6	R5	group:Eukaryota (other)	protist			none	ITPR	Paratrimastix pyriformis	342808		Eukaryota (other)		Preaxostyla			2857	4		0	Predicted	high	571.9	216.6	0.6213	InterPro						length_fit	A0A0L0D838	12	s2_seeded	2857	0
protist_Prymnesium_parvum_Toxic_golden_alga_A0AB34K5R9	A0AB34K5R9	R5	group:Eukaryota (other)	protist			none	ITPR	Prymnesium parvum (Toxic golden alga)	97485		Eukaryota (other)		Haptophyta		Prymnesiales	2629	5		0	Predicted	high	1095.4	396.6	0.6379	InterPro						complete_architecture	A0A0D3J326	12	s2_seeded	2629	0
protist_Saprolegnia_diclina_strain_VS20_T0QLN2	T0QLN2	R5	group:SAR	protist			none	ITPR	Saprolegnia diclina (strain VS20)	1156394		SAR		Oomycota	Saprolegniomycetes	Saprolegniales	2786	5		0	Inferred from homology	high	917.0	286.6	0.6875	InterPro						length_fit	A0A6G0XG54	43	s2_seeded	2786	0
protist_Stentor_coeruleus_GCA_001970955.1_copy5_35430	GCA_001970955.1|copy5|MPUH01000387.1:35430-43250	R6	copies:GCA_001970955.1	protist			none	ITPR	Stentor coeruleus			SAR		Ciliophora	Heterotrichea	Heterotrichida	2606					high	968.5	288.4	0.7022	S23 genome sweep	annotated_unnamed	GCA_001970955.1	copy5	13		length_fit	GCA_001970955.1|copy3|MPUH01000014.1:5764-73754	9	s23_models	2606	1
protist_Stentor_coeruleus_GCA_001970955.1_copy3_5764	GCA_001970955.1|copy3|MPUH01000014.1:5764-73754	R6	copies:GCA_001970955.1	protist			none	ITPR	Stentor coeruleus			SAR		Ciliophora	Heterotrichea	Heterotrichida	2578					high	814.0	213.4	0.7378	S23 genome sweep	annotated_unnamed	GCA_001970955.1	copy3	13		length_fit	GCA_001970955.1|copy2|MPUH01000256.1:370-61003	9	s23_models	2578	1
protist_Stentor_coeruleus_GCA_001970955.1_copy2_370	GCA_001970955.1|copy2|MPUH01000256.1:370-61003	R6	copies:GCA_001970955.1	protist			none	ITPR	Stentor coeruleus			SAR		Ciliophora	Heterotrichea	Heterotrichida	2574					high	943.7	253.9	0.731	S23 genome sweep	annotated_unnamed	GCA_001970955.1	copy2	13		length_fit	GCA_001970955.1|copy1|MPUH01000666.1:8516-32703	9	s23_models	2574	1
protist_Stentor_coeruleus_GCA_001970955.1_copy1_8516	GCA_001970955.1|copy1|MPUH01000666.1:8516-32703	R6	copies:GCA_001970955.1	protist			none	ITPR	Stentor coeruleus			SAR		Ciliophora	Heterotrichea	Heterotrichida	2518					high	1008.3	292.6	0.7098	S23 genome sweep	annotated_unnamed	GCA_001970955.1	copy1	13		length_fit	GCA_001970955.1|copy4|MPUH01001053.1:13953-21766	9	s23_models	2518	1
protist_Stylonychia_lemnae_Ciliate_A0A078ASZ8	A0A078ASZ8	R5	group:SAR	protist			none	ITPR	Stylonychia lemnae (Ciliate)	5949		SAR		Ciliophora	Spirotrichea	Sporadotrichida	2773	5		0	Inferred from homology	high	1326.9	377.4	0.7156	InterPro						is_bait	A0A9W7DWA0	43	s2_seeded	2773	0
protist_Triparma_laevis_f._longispina_A0A9W7DWA0	A0A9W7DWA0	R5	group:SAR	protist			none	ITPR	Triparma laevis f. longispina	1714387		SAR			Bolidophyceae	Parmales	3056	5		0	Inferred from homology	high	770.3	184.3	0.7607	InterPro						length_fit	A0A9W7AFH6	43	s2_seeded	3056	0
protist_Triparma_retinervis_A0A9W7AFH6	A0A9W7AFH6	R5	group:SAR	protist			none	ITPR	Triparma retinervis	2557542		SAR			Bolidophyceae	Parmales	2897	5		0	Inferred from homology	high	729.0	171.2	0.7652	InterPro						length_fit	A0A9W7BA16	43	s2_seeded	2897	0
protist_Vermamoeba_vermiformis_GCA_020696425.1_copy1_85472	GCA_020696425.1|copy1|JAGUQM010000094.1:85472-94980	R7	novel:nonvertebrate	protist			none	ITPR	Vermamoeba vermiformis			Amoebozoa		Tubulinea	Echinamoebida		2530					high	1663.3	545.7	0.6719	S23 genome sweep	genome_only	GCA_020696425.1	copy1			length_fit	GCA_019973955.1|copy1|BMAV01012344.1:158960-224285	13	s23_models	2530	0
