accession	organism	vclass	cell	locus_idx	state	in_architecture_scope	architecture_excluded_by	n_models	n_internal_termini	n_at_exon_boundary	n_mid_exon	n_in_intron	n_splice_ok	n_both_agree	frac_at_exon_boundary	frac_splice_ok	verdict	verdict_reason
GCA_013398975.1	Catharus fuscescens	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	1	3	0	1	1	0.25	0.25	annotation_failure	3 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398975.1	Catharus fuscescens	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013398975.1	Catharus fuscescens	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	5	1	2	3	3	0.625	0.375	annotation_failure	1 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399035.1	Quiscalus mexicanus	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	2	0	0	0	0	1	0	mixed	2 of 2 internal termini are exon boundaries and 0 of 2 read as splice sites
GCA_013399035.1	Quiscalus mexicanus	Aves	RYR	0	fragmentary	0	A2_contig_cannot_span_the_gene	3	6	2	1	3	1	1	0.3333	0.1667	annotation_failure	1 of 6 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399035.1	Quiscalus mexicanus	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	2	2	0.75	0.5	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399075.1	Chloroceryle aenea	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	2	0	0	0	0	1	0	mixed	2 of 2 internal termini are exon boundaries and 0 of 2 read as splice sites
GCA_013399305.1	Rostratula benghalensis	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399305.1	Rostratula benghalensis	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	5	10	5	1	4	5	3	0.5	0.5	annotation_failure	1 of 10 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399395.1	Nyctiprogne leucopyga	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	3	2	1	0	1	1	0.6667	0.3333	annotation_failure	1 of 3 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399395.1	Nyctiprogne leucopyga	Aves	RYR	1	fragmentary	0	A1_not_a_gene_copy	2	4	2	0	2	1	1	0.5	0.25	structure_disagreement	2 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013399455.1	Anthoscopus minutus	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	3	6	2	4	0	1	1	0.3333	0.1667	annotation_failure	4 of 6 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399455.1	Anthoscopus minutus	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	1	1	0	1	1	0.5	0.5	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399455.1	Anthoscopus minutus	Aves	ITPR3	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	0	2	0	0	0	0	0	annotation_failure	2 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399455.1	Anthoscopus minutus	Aves	ITPR3	1	fragmentary	0	A1_not_a_gene_copy	1	2	1	1	0	0	0	0.5	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399455.1	Anthoscopus minutus	Aves	RYR	1	fragmentary	0	A1_not_a_gene_copy	2	4	2	0	2	1	1	0.5	0.25	structure_disagreement	2 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013399495.1	Corythaixoides concolor	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	2	0	1	1	0.5	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399495.1	Corythaixoides concolor	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399565.1	Podilymbus podiceps	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	2	0	1	1	0.5	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399565.1	Podilymbus podiceps	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	1	1	0	1	1	0.5	0.5	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399565.1	Podilymbus podiceps	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	5	10	5	1	4	5	3	0.5	0.5	annotation_failure	1 of 10 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399735.1	Tyrannus savana	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	1	1	1	1	0.5	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399735.1	Tyrannus savana	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	1	1	0	1	1	0.5	0.5	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399735.1	Tyrannus savana	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	3	1	4	4	2	0.375	0.5	annotation_failure	1 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399775.1	Semnornis frantzii	Aves	RYR	0	fragmentary	0	A1_not_a_gene_copy	1	2	0	0	2	0	0	0	0	structure_disagreement	2 of 2 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013399775.1	Semnornis frantzii	Aves	RYR	1	fragmentary	0	A1_not_a_gene_copy	2	4	2	0	2	1	1	0.5	0.25	structure_disagreement	2 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013399775.1	Semnornis frantzii	Aves	RYR	3	fragmentary	0	A1_not_a_gene_copy	1	2	0	1	1	1	0	0	0.5	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399795.1	Zosterops hypoxanthus	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	1	1	0	1	1	0.5	0.5	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399795.1	Zosterops hypoxanthus	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399795.1	Zosterops hypoxanthus	Aves	RYR	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	0	2	1	1	0.5	0.25	structure_disagreement	2 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013399795.1	Zosterops hypoxanthus	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	3	5	0	4	1	1	0	0	0.2	annotation_failure	4 of 5 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399795.1	Zosterops hypoxanthus	Aves	RYR	2	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	2	0	0	2	2	1	1	broken_at_real_junctions	all 2 internal termini are exon boundaries the genome reads as splice sites — the annotation broke the gene between real junctions, not at invented ones
GCA_013399855.1	Oxyruncus cristatus	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	3	6	2	4	0	1	1	0.3333	0.1667	annotation_failure	4 of 6 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399855.1	Oxyruncus cristatus	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399855.1	Oxyruncus cristatus	Aves	RYR	0	fragmentary	0	A2_contig_cannot_span_the_gene	3	6	3	1	2	1	1	0.5	0.1667	annotation_failure	1 of 6 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399855.1	Oxyruncus cristatus	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	4	1	3	3	2	0.5	0.375	annotation_failure	1 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399895.1	Serilophus lunatus	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	3	6	2	3	1	1	1	0.3333	0.1667	annotation_failure	3 of 6 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399895.1	Serilophus lunatus	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013399895.1	Serilophus lunatus	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	5	0	3	3	2	0.625	0.375	structure_disagreement	3 of 8 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013400075.1	Hippolais icterina	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400075.1	Hippolais icterina	Aves	RYR	0	fragmentary	0	A2_contig_cannot_span_the_gene	3	6	3	1	2	1	1	0.5	0.1667	annotation_failure	1 of 6 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400075.1	Hippolais icterina	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	1	1	2	1	0.5	0.5	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400195.1	Aramus guarauna	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400195.1	Aramus guarauna	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	6	0	2	4	3	0.75	0.5	structure_disagreement	2 of 8 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013400215.1	Cisticola juncidis	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	3	6	2	3	1	1	1	0.3333	0.1667	annotation_failure	3 of 6 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400215.1	Cisticola juncidis	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400215.1	Cisticola juncidis	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	4	1	3	3	2	0.5	0.375	annotation_failure	1 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400415.1	Scytalopus superciliaris	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	2	0	0	0	0	1	0	mixed	2 of 2 internal termini are exon boundaries and 0 of 2 read as splice sites
GCA_013400415.1	Scytalopus superciliaris	Aves	RYR	0	fragmentary	0	A2_contig_cannot_span_the_gene	3	6	4	1	1	2	2	0.6667	0.3333	annotation_failure	1 of 6 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400415.1	Scytalopus superciliaris	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	6	1	1	4	3	0.75	0.5	annotation_failure	1 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400445.1	Leiothrix lutea	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400445.1	Leiothrix lutea	Aves	RYR	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	2	0	1	1	0.5	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400445.1	Leiothrix lutea	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	1	1	0	0	0	0.5	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400445.1	Leiothrix lutea	Aves	RYR	2	fragmentary	0	A1_not_a_gene_copy	2	4	2	0	2	1	1	0.5	0.25	structure_disagreement	2 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013400445.1	Leiothrix lutea	Aves	RYR	3	fragmentary	0	A1_not_a_gene_copy	2	4	2	0	2	1	1	0.5	0.25	structure_disagreement	2 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013400515.1	Erpornis zantholeuca	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400515.1	Erpornis zantholeuca	Aves	RYR	0	fragmentary	0	A1_not_a_gene_copy	1	2	1	1	0	0	0	0.5	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400515.1	Erpornis zantholeuca	Aves	RYR	1	fragmentary	0	A1_not_a_gene_copy	1	2	1	1	0	0	0	0.5	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400515.1	Erpornis zantholeuca	Aves	RYR	2	fragmentary	0	A1_not_a_gene_copy	2	4	2	0	2	1	1	0.5	0.25	structure_disagreement	2 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013400585.1	Chloropsis cyanopogon	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	2	0	1	1	0.5	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400585.1	Chloropsis cyanopogon	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400585.1	Chloropsis cyanopogon	Aves	RYR	0	fragmentary	0	A1_not_a_gene_copy	1	2	0	2	0	1	0	0	0.5	annotation_failure	2 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400585.1	Chloropsis cyanopogon	Aves	RYR	2	fragmentary	0	A1_not_a_gene_copy	1	2	0	1	1	0	0	0	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	RYR	0	fragmentary	0	A1_not_a_gene_copy	1	2	0	2	0	0	0	0	0	annotation_failure	2 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	2	0	0	0	0	1	0	mixed	2 of 2 internal termini are exon boundaries and 0 of 2 read as splice sites
GCA_013400735.1	Pomatostomus ruficeps	Aves	RYR	0	fragmentary	0	A1_not_a_gene_copy	1	2	1	1	0	0	0	0.5	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400735.1	Pomatostomus ruficeps	Aves	RYR	2	split	0	A1_not_a_gene_copy	2	4	2	0	2	1	1	0.5	0.25	structure_disagreement	2 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013400815.1	Centropus bengalensis	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	1	1	0	0	0	0.5	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400815.1	Centropus bengalensis	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400815.1	Centropus bengalensis	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	4	1	3	5	3	0.5	0.625	annotation_failure	1 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	2	0	0	0	0	1	0	mixed	2 of 2 internal termini are exon boundaries and 0 of 2 read as splice sites
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR2	1	fragmentary	0	A1_not_a_gene_copy	1	2	0	2	0	1	0	0	0.5	annotation_failure	2 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400855.1	Buphagus erythrorhynchus	Aves	RYR	1	fragmentary	0	A1_not_a_gene_copy	1	1	0	1	0	0	0	0	0	annotation_failure	1 of 1 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400915.1	Pardalotus punctatus	Aves	ITPR1	0	fragmentary	0	A1_not_a_gene_copy	1	2	1	1	0	0	0	0.5	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400915.1	Pardalotus punctatus	Aves	ITPR2	0	fragmentary	0	A1_not_a_gene_copy	1	2	2	0	0	0	0	1	0	mixed	2 of 2 internal termini are exon boundaries and 0 of 2 read as splice sites
GCA_013400915.1	Pardalotus punctatus	Aves	ITPR2	1	fragmentary	0	A1_not_a_gene_copy	1	2	1	1	0	1	1	0.5	0.5	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400915.1	Pardalotus punctatus	Aves	ITPR3	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	1	1	0	0	0	0.5	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400915.1	Pardalotus punctatus	Aves	ITPR3	1	fragmentary	0	A1_not_a_gene_copy	1	2	0	1	1	0	0	0	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400915.1	Pardalotus punctatus	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	4	1	3	5	3	0.5	0.625	annotation_failure	1 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400955.1	Drymodes brunneopygia	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	1	0	1	1	1	0.5	0.5	structure_disagreement	1 of 2 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013400955.1	Drymodes brunneopygia	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	2	0	0	0	0	1	0	mixed	2 of 2 internal termini are exon boundaries and 0 of 2 read as splice sites
GCA_013400995.1	Oreotrochilus melanogaster	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	1	1	0	0	0	0.5	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400995.1	Oreotrochilus melanogaster	Aves	ITPR1	1	fragmentary	0	A1_not_a_gene_copy	2	4	1	3	0	1	1	0.25	0.25	annotation_failure	3 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400995.1	Oreotrochilus melanogaster	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	2	0	0	0	0	1	0	mixed	2 of 2 internal termini are exon boundaries and 0 of 2 read as splice sites
GCA_013400995.1	Oreotrochilus melanogaster	Aves	ITPR2	1	fragmentary	0	A1_not_a_gene_copy	1	2	1	1	0	1	1	0.5	0.5	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400995.1	Oreotrochilus melanogaster	Aves	RYR	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	3	1	2	0	0	0	0.3333	0	annotation_failure	2 of 3 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013400995.1	Oreotrochilus melanogaster	Aves	RYR	1	fragmentary	0	A1_not_a_gene_copy	2	4	2	0	2	1	1	0.5	0.25	structure_disagreement	2 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013400995.1	Oreotrochilus melanogaster	Aves	RYR	2	fragmentary	0	A2_contig_cannot_span_the_gene	3	6	4	0	2	1	1	0.6667	0.1667	structure_disagreement	2 of 6 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013401195.1	Pomatorhinus ruficollis	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013401195.1	Pomatorhinus ruficollis	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	4	8	3	1	4	4	2	0.375	0.5	annotation_failure	1 of 8 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013401215.1	Atlantisia rogersi	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	1	1	0	0	0	0.5	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013401215.1	Atlantisia rogersi	Aves	ITPR3	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	1	1	0	0	0	0.5	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013401215.1	Atlantisia rogersi	Aves	RYR	1	fragmentary	0	A1_not_a_gene_copy	3	6	3	1	2	3	2	0.5	0.5	annotation_failure	1 of 6 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013401215.1	Atlantisia rogersi	Aves	RYR	3	fragmentary	0	A1_not_a_gene_copy	1	1	0	0	1	1	0	0	1	structure_disagreement	1 of 1 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013401255.1	Urocolius indicus	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	2	0	1	1	0.5	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013401255.1	Urocolius indicus	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	1	1	0	1	1	0.5	0.5	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013401255.1	Urocolius indicus	Aves	ITPR3	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	1	1	0	0	0	0.5	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013401255.1	Urocolius indicus	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	5	10	6	1	3	5	4	0.6	0.5	annotation_failure	1 of 10 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013401295.1	Glareola pratincola	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	2	0	1	1	0.5	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013401295.1	Glareola pratincola	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	2	0	0	0	0	1	0	mixed	2 of 2 internal termini are exon boundaries and 0 of 2 read as splice sites
GCA_013401295.1	Glareola pratincola	Aves	ITPR2	1	fragmentary	0	A1_not_a_gene_copy	1	2	1	1	0	1	1	0.5	0.5	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013401295.1	Glareola pratincola	Aves	ITPR3	1	fragmentary	0	A1_not_a_gene_copy	1	2	1	1	0	0	0	0.5	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013401295.1	Glareola pratincola	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	3	6	4	0	2	4	3	0.6667	0.6667	structure_disagreement	2 of 6 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013401315.1	Balaeniceps rex	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	2	0	1	1	0.5	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013401315.1	Balaeniceps rex	Aves	ITPR2	0	fragmentary	0	A1_not_a_gene_copy	1	2	1	1	0	1	1	0.5	0.5	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013401355.1	Ceyx cyanopectus	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	2	0	0	0	0	1	0	mixed	2 of 2 internal termini are exon boundaries and 0 of 2 read as splice sites
GCA_014281875.1	Nibea albiflora	Actinopteri	ITPR1	0	fragmentary	1		2	4	1	0	3	1	1	0.25	0.25	structure_disagreement	3 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_014281875.1	Nibea albiflora	Actinopteri	ITPR3	1	fragmentary	1		1	2	0	1	1	0	0	0	0	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_014281875.1	Nibea albiflora	Actinopteri	RYR	5	fragmentary	1		2	4	1	3	0	2	1	0.25	0.5	annotation_failure	3 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	ITPR2	0	fragmentary	1		1	1	0	0	1	0	0	0	0	structure_disagreement	1 of 1 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	ITPR3	0	split	1		2	3	0	3	0	0	0	0	0	annotation_failure	3 of 3 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	ITPR1	0	split	1		4	6	1	5	0	2	1	0.1667	0.3333	annotation_failure	5 of 6 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	RYR	0	split	1		9	17	5	7	5	6	5	0.2941	0.3529	annotation_failure	7 of 17 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	ITPR1	1	split	1		3	5	3	0	2	3	3	0.6	0.6	structure_disagreement	2 of 5 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	ITPR2	0	split	1		2	4	2	0	2	2	2	0.5	0.5	structure_disagreement	2 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	ITPR3	0	fragmentary	1		1	2	0	2	0	2	0	0	1	annotation_failure	2 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	RYR	3	fragmentary	1		1	1	1	0	0	1	1	1	1	broken_at_real_junctions	all 1 internal termini are exon boundaries the genome reads as splice sites — the annotation broke the gene between real junctions, not at invented ones
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	0	split	1		4	7	0	3	4	2	0	0	0.2857	annotation_failure	3 of 7 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	2	split	1		7	12	1	4	7	2	0	0.0833	0.1667	annotation_failure	4 of 12 internal model termini sit inside an exon of the gene model, where nothing splices
