accession	organism	vclass	cell	bait	clade	family	class	contig_a	start_a	end_a	strand_a	cov_a	contig_b	start_b	end_b	strand_b	cov_b	q_overlap_frac	genomic_gap_bp	same_contig	same_strand	within_one_locus
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	JAINUG010000065.1	804474	911707	+	1	JAINUG010000546.1	2052	162640	-	1	1	-1	0	0	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	JAINUG010000085.1	1307572	1461305	-	1	JAINUG010000136.1	1480661	1583084	+	1	1	-1	0	0	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	JAINUG010000085.1	1307572	1461305	-	1	JAINUG010000546.1	2052	162640	-	1	1	-1	0	1	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	JAINUG010000136.1	1480661	1583084	+	1	JAINUG010000546.1	2052	162640	-	1	1	-1	0	0	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	A0A8V0Y8K1	RYR	RYR	dispersed	JAINUG010000051.1	14896	203401	-	1	JAINUG010000085.1	1307572	1461305	-	1	1	-1	0	1	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	JAINUG010000051.1	14896	203401	-	1	JAINUG010000065.1	804474	911707	+	1	1	-1	0	0	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	JAINUG010000051.1	14896	203401	-	1	JAINUG010000085.1	1307572	1461305	-	1	1	-1	0	1	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	JAINUG010000051.1	14896	203401	-	1	JAINUG010000136.1	1480670	1583084	+	0.9992	1	-1	0	0	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	JAINUG010000051.1	14896	203401	-	1	JAINUG010000546.1	2052	162640	-	1	1	-1	0	1	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	JAINUG010000065.1	804474	911707	+	1	JAINUG010000085.1	1307572	1461305	-	1	1	-1	0	0	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	JAINUG010000065.1	804474	911707	+	1	JAINUG010000136.1	1480670	1583084	+	0.9992	1	-1	0	1	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	JAINUG010000065.1	804474	911707	+	1	JAINUG010000546.1	2052	162640	-	1	1	-1	0	0	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	JAINUG010000085.1	1307572	1461305	-	1	JAINUG010000136.1	1480670	1583084	+	0.9992	1	-1	0	0	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	JAINUG010000085.1	1307572	1461305	-	1	JAINUG010000546.1	2052	162640	-	1	1	-1	0	1	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	JAINUG010000136.1	1480670	1583084	+	0.9992	JAINUG010000546.1	2052	162640	-	1	1	-1	0	0	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	H3BGR5	RYR	RYR	dispersed	JAINUG010000051.1	14896	134631	-	1	JAINUG010000065.1	817815	911707	+	1	1	-1	0	0	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	H3BGR5	RYR	RYR	dispersed	JAINUG010000051.1	14896	134631	-	1	JAINUG010000085.1	1307572	1424354	-	1	1	-1	0	1	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	H3BGR5	RYR	RYR	dispersed	JAINUG010000051.1	14896	134631	-	1	JAINUG010000136.1	1497810	1583084	+	1	1	-1	0	0	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	H3BGR5	RYR	RYR	dispersed	JAINUG010000051.1	14896	134631	-	1	JAINUG010000546.1	2052	142993	-	1	1	-1	0	1	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	H3BGR5	RYR	RYR	dispersed	JAINUG010000065.1	817815	911707	+	1	JAINUG010000085.1	1307572	1424354	-	1	1	-1	0	0	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	H3BGR5	RYR	RYR	dispersed	JAINUG010000065.1	817815	911707	+	1	JAINUG010000136.1	1497810	1583084	+	1	1	-1	0	1	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	H3BGR5	RYR	RYR	dispersed	JAINUG010000065.1	817815	911707	+	1	JAINUG010000546.1	2052	142993	-	1	1	-1	0	0	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	H3BGR5	RYR	RYR	dispersed	JAINUG010000085.1	1307572	1424354	-	1	JAINUG010000136.1	1497810	1583084	+	1	1	-1	0	0	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	H3BGR5	RYR	RYR	dispersed	JAINUG010000085.1	1307572	1424354	-	1	JAINUG010000546.1	2052	142993	-	1	1	-1	0	1	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	H3BGR5	RYR	RYR	dispersed	JAINUG010000136.1	1497810	1583084	+	1	JAINUG010000546.1	2052	142993	-	1	1	-1	0	0	0
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	Q92736	RYR	RYR	dispersed	JAINUG010000051.1	14896	203401	-	1	JAINUG010000085.1	1307572	1461305	-	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	A0A4W3GWE7	ITPR3	ITPR	dispersed	CM062265.1	10215841	10320574	+	0.9973	CM062265.1	23122269	23184226	-	1	1	12801694	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	A0A4W3JHJ0	vertebrate_basal	ITPR	dispersed	CM062265.1	10233802	10320589	+	0.9724	CM062265.1	23122254	23172577	-	0.9724	1	12801664	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	A0A670JBK6	ITPR1	ITPR	dispersed	CM062265.1	10215838	10320589	+	1	CM062265.1	23122254	23184229	-	1	1	12801664	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	A0A672IUQ7	ITPR1	ITPR	dispersed	CM062265.1	10215838	10320589	+	1	CM062265.1	23122254	23184229	-	1	1	12801664	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	A0A672UP22	ITPR2	ITPR	dispersed	CM062265.1	10215838	10320583	+	1	CM062265.1	23122260	23184229	-	1	1	12801676	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	A0A6I8RGU0	ITPR2	ITPR	dispersed	CM062265.1	10215838	10320565	+	0.9978	CM062265.1	23122278	23184229	-	0.9978	1	12801712	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	A0A6J0TV85	ITPR3	ITPR	dispersed	CM062265.1	10215841	10320568	+	1	CM062265.1	23122299	23184226	-	0.997	1	12801730	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	A0A7K6LHC3	ITPR3	ITPR	dispersed	CM062265.1	10215841	10320568	+	1	CM062265.1	23122275	23184226	-	1	1	12801706	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	A0A8J0SYK9	ITPR3	ITPR	dispersed	CM062265.1	10215841	10320544	+	0.9929	CM062265.1	23122299	23184226	-	0.9929	1	12801754	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	A0A8J0T3U5	ITPR1	ITPR	dispersed	CM062265.1	10215838	10320589	+	1	CM062265.1	23122254	23184229	-	1	1	12801664	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	A0A8M2BDG0	ITPR1	ITPR	dispersed	CM062265.1	10215838	10320589	+	1	CM062265.1	23122254	23184229	-	1	1	12801664	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	A0A8M9PQQ3	ITPR2	ITPR	dispersed	CM062265.1	10215838	10320556	+	0.9966	CM062265.1	23122278	23184229	-	0.9974	1	12801721	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	A0A8V0ZJT0	ITPR1	ITPR	dispersed	CM062265.1	10215838	10320589	+	0.995	CM062265.1	23122254	23184229	-	0.995	1	12801664	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	A0A8V1ACE6	ITPR3	ITPR	dispersed	CM062265.1	10215841	10320568	+	1	CM062265.1	23122275	23184226	-	1	1	12801706	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	A0AAJ7U4X1	vertebrate_basal	ITPR	dispersed	CM062265.1	10215838	10320586	+	0.9996	CM062265.1	23122257	23184229	-	0.9996	1	12801670	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	A0ABM1LG32	ITPR2	ITPR	dispersed	CM062265.1	10215838	10320565	+	0.9978	CM062265.1	23122278	23184229	-	0.9978	1	12801712	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	A0ABM4F3U0	ITPR1	ITPR	dispersed	CM062265.1	10215838	10320589	+	1	CM062265.1	23122254	23184229	-	1	1	12801664	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	F1P1X4	ITPR2	ITPR	dispersed	CM062265.1	10215838	10320583	+	1	CM062265.1	23122260	23184229	-	1	1	12801676	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	H3A1P5	ITPR1	ITPR	dispersed	CM062265.1	10233500	10320589	+	1	CM062265.1	23122254	23173259	-	1	1	12801664	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	H3B932	ITPR3	ITPR	dispersed	CM062265.1	10215841	10320583	+	0.9978	CM062265.1	23122269	23184226	-	1	1	12801685	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	P11881	ITPR1	ITPR	dispersed	CM062265.1	10215838	10320589	+	1	CM062265.1	23122254	23184229	-	1	1	12801664	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	P70227	ITPR3	ITPR	dispersed	CM062265.1	10215841	10320568	+	1	CM062265.1	23122299	23184226	-	0.997	1	12801730	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	Q14571	ITPR2	ITPR	dispersed	CM062265.1	10215838	10320565	+	0.9978	CM062265.1	23122278	23184229	-	0.9978	1	12801712	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	Q14573	ITPR3	ITPR	dispersed	CM062265.1	10215841	10320544	+	0.997	CM062265.1	23122299	23184226	-	0.997	1	12801754	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	Q14643	ITPR1	ITPR	dispersed	CM062265.1	10215838	10320589	+	1	CM062265.1	23122254	23184229	-	1	1	12801664	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	Q9Z329	ITPR2	ITPR	dispersed	CM062265.1	10215838	10320565	+	0.9978	CM062265.1	23122278	23184229	-	0.9978	1	12801712	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	W5MYT2	vertebrate_basal	ITPR	dispersed	CM062265.1	10215838	10320589	+	1	CM062265.1	23122254	23184229	-	1	1	12801664	1	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A3Q0HBW9	RYR	RYR	dispersed	CM062268.1	4354908	4461285	+	0.997	CM062275.1	16243366	16338903	+	0.9968	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A3Q0HBW9	RYR	RYR	dispersed	CM062268.1	4354908	4461285	+	0.997	CM062278.1	21247394	21332880	-	0.9962	1	-1	0	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A3Q0HBW9	RYR	RYR	dispersed	CM062268.1	4354908	4461285	+	0.997	CM062279.1	21304816	21355620	+	0.996	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A3Q0HBW9	RYR	RYR	dispersed	CM062268.1	4354908	4461285	+	0.997	CM062284.1	25192884	25314970	+	0.996	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A3Q0HBW9	RYR	RYR	dispersed	CM062275.1	16243366	16338903	+	0.9968	CM062278.1	21247394	21332880	-	0.9962	1	-1	0	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A3Q0HBW9	RYR	RYR	dispersed	CM062275.1	16243366	16338903	+	0.9968	CM062279.1	21304816	21355620	+	0.996	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A3Q0HBW9	RYR	RYR	dispersed	CM062275.1	16243366	16338903	+	0.9968	CM062284.1	25192884	25314970	+	0.996	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A3Q0HBW9	RYR	RYR	dispersed	CM062278.1	21247394	21332880	-	0.9962	CM062279.1	21304816	21355620	+	0.996	1	-1	0	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A3Q0HBW9	RYR	RYR	dispersed	CM062278.1	21247394	21332880	-	0.9962	CM062284.1	25192884	25314970	+	0.996	1	-1	0	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A3Q0HBW9	RYR	RYR	dispersed	CM062279.1	21304816	21355620	+	0.996	CM062284.1	25192884	25314970	+	0.996	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A4W3I1N0	RYR	RYR	dispersed	CM062268.1	4354914	4461285	+	0.998	CM062275.1	16243372	16338903	+	0.9978	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A4W3I1N0	RYR	RYR	dispersed	CM062268.1	4354914	4461285	+	0.998	CM062279.1	21304819	21355620	+	0.9972	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A4W3I1N0	RYR	RYR	dispersed	CM062268.1	4354914	4461285	+	0.998	CM062281.1	22588045	22696207	-	0.9972	1	-1	0	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A4W3I1N0	RYR	RYR	dispersed	CM062268.1	4354914	4461285	+	0.998	CM062284.1	25192887	25314970	+	0.9972	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A4W3I1N0	RYR	RYR	dispersed	CM062275.1	16243372	16338903	+	0.9978	CM062279.1	21304819	21355620	+	0.9972	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A4W3I1N0	RYR	RYR	dispersed	CM062275.1	16243372	16338903	+	0.9978	CM062281.1	22588045	22696207	-	0.9972	1	-1	0	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A4W3I1N0	RYR	RYR	dispersed	CM062275.1	16243372	16338903	+	0.9978	CM062284.1	25192887	25314970	+	0.9972	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A4W3I1N0	RYR	RYR	dispersed	CM062279.1	21304819	21355620	+	0.9972	CM062281.1	22588045	22696207	-	0.9972	1	-1	0	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A4W3I1N0	RYR	RYR	dispersed	CM062279.1	21304819	21355620	+	0.9972	CM062284.1	25192887	25314970	+	0.9972	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A4W3I1N0	RYR	RYR	dispersed	CM062281.1	22588045	22696207	-	0.9972	CM062284.1	25192887	25314970	+	0.9972	1	-1	0	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	CM062268.1	4334554	4461285	+	1	CM062275.1	16223837	16338903	+	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	CM062268.1	4334554	4461285	+	1	CM062279.1	21300722	21355620	+	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	CM062268.1	4334554	4461285	+	1	CM062284.1	25145335	25314970	+	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	CM062275.1	16223837	16338903	+	1	CM062279.1	21300722	21355620	+	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	CM062275.1	16223837	16338903	+	1	CM062284.1	25145335	25314970	+	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	CM062279.1	21300722	21355620	+	1	CM062284.1	25145335	25314970	+	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A8V0Y8K1	RYR	RYR	dispersed	CM062275.1	16223837	16338903	+	1	CM062278.1	21247394	21337828	-	1	1	-1	0	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A8V0Y8K1	RYR	RYR	dispersed	CM062275.1	16223837	16338903	+	1	CM062279.1	21300722	21355620	+	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A8V0Y8K1	RYR	RYR	dispersed	CM062275.1	16223837	16338903	+	1	CM062284.1	25145335	25314970	+	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A8V0Y8K1	RYR	RYR	dispersed	CM062278.1	21247394	21337828	-	1	CM062279.1	21300722	21355620	+	1	1	-1	0	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A8V0Y8K1	RYR	RYR	dispersed	CM062278.1	21247394	21337828	-	1	CM062284.1	25145335	25314970	+	1	1	-1	0	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0A8V0Y8K1	RYR	RYR	dispersed	CM062279.1	21300722	21355620	+	1	CM062284.1	25145335	25314970	+	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM062268.1	4334554	4461285	+	1	CM062275.1	16223837	16338903	+	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM062268.1	4334554	4461285	+	1	CM062278.1	21247394	21337828	-	1	1	-1	0	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM062268.1	4334554	4461285	+	1	CM062279.1	21300722	21355620	+	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM062268.1	4334554	4461285	+	1	CM062281.1	22588045	22710537	-	1	1	-1	0	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM062268.1	4334554	4461285	+	1	CM062284.1	25145335	25314970	+	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM062275.1	16223837	16338903	+	1	CM062278.1	21247394	21337828	-	1	1	-1	0	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM062275.1	16223837	16338903	+	1	CM062279.1	21300722	21355620	+	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM062275.1	16223837	16338903	+	1	CM062281.1	22588045	22710537	-	1	1	-1	0	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM062275.1	16223837	16338903	+	1	CM062284.1	25145335	25314970	+	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM062278.1	21247394	21337828	-	1	CM062279.1	21300722	21355620	+	1	1	-1	0	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM062278.1	21247394	21337828	-	1	CM062281.1	22588045	22710537	-	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM062278.1	21247394	21337828	-	1	CM062284.1	25145335	25314970	+	1	1	-1	0	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM062279.1	21300722	21355620	+	1	CM062281.1	22588045	22710537	-	1	1	-1	0	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM062279.1	21300722	21355620	+	1	CM062284.1	25145335	25314970	+	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM062281.1	22588045	22710537	-	1	CM062284.1	25145335	25314970	+	1	1	-1	0	0	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	H3BGR5	RYR	RYR	dispersed	CM062268.1	4354926	4461285	+	1	CM062275.1	16243381	16338903	+	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	H3BGR5	RYR	RYR	dispersed	CM062268.1	4354926	4461285	+	1	CM062279.1	21304819	21355620	+	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	H3BGR5	RYR	RYR	dispersed	CM062268.1	4354926	4461285	+	1	CM062284.1	25192887	25314970	+	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	H3BGR5	RYR	RYR	dispersed	CM062275.1	16243381	16338903	+	1	CM062279.1	21304819	21355620	+	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	H3BGR5	RYR	RYR	dispersed	CM062275.1	16243381	16338903	+	1	CM062284.1	25192887	25314970	+	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	H3BGR5	RYR	RYR	dispersed	CM062279.1	21304819	21355620	+	1	CM062284.1	25192887	25314970	+	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	Q92736	RYR	RYR	dispersed	CM062275.1	16223837	16338903	+	1	CM062279.1	21300722	21355620	+	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	Q92736	RYR	RYR	dispersed	CM062275.1	16223837	16338903	+	1	CM062284.1	25145335	25314970	+	1	1	-1	0	1	0
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	Q92736	RYR	RYR	dispersed	CM062279.1	21300722	21355620	+	1	CM062284.1	25145335	25314970	+	1	1	-1	0	1	0
GCA_031835075.1	Saguinus oedipus	Mammalia	RYR	A0A4W3I1N0	RYR	RYR	dispersed	CM063176.1	60906417	61311848	+	0.9978	CM063187.1	41364988	41511690	+	0.9972	1	-1	0	1	0
GCA_031835075.1	Saguinus oedipus	Mammalia	RYR	A0A4W3I1N0	RYR	RYR	dispersed	CM063176.1	60906417	61311848	+	0.9978	CM063188.1	10062847	10613180	-	0.9972	1	-1	0	0	0
GCA_031835075.1	Saguinus oedipus	Mammalia	RYR	A0A4W3I1N0	RYR	RYR	dispersed	CM063187.1	41364988	41511690	+	0.9972	CM063188.1	10062847	10613180	-	0.9972	1	-1	0	0	0
GCA_031835075.1	Saguinus oedipus	Mammalia	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	CM063176.1	60743023	61311848	+	1	CM063187.1	41356972	41511690	+	1	1	-1	0	1	0
GCA_031835075.1	Saguinus oedipus	Mammalia	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	CM063176.1	60743023	61311848	+	1	CM063188.1	10062847	10841146	-	1	1	-1	0	0	0
GCA_031835075.1	Saguinus oedipus	Mammalia	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	CM063187.1	41356972	41511690	+	1	CM063188.1	10062847	10841146	-	1	1	-1	0	0	0
GCA_031835075.1	Saguinus oedipus	Mammalia	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM063176.1	60743023	61311848	+	1	CM063187.1	41356975	41511690	+	1	1	-1	0	1	0
GCA_031835075.1	Saguinus oedipus	Mammalia	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM063176.1	60743023	61311848	+	1	CM063188.1	10062847	10841146	-	1	1	-1	0	0	0
GCA_031835075.1	Saguinus oedipus	Mammalia	RYR	A0AAJ7XD62	RYR	RYR	dispersed	CM063187.1	41356975	41511690	+	1	CM063188.1	10062847	10841146	-	1	1	-1	0	0	0
GCA_031835075.1	Saguinus oedipus	Mammalia	RYR	A0AC58GZ77	RYR	RYR	dispersed	CM063176.1	60906411	61311848	+	0.9978	CM063188.1	10062847	10841146	-	1	1	-1	0	0	0
GCA_031835075.1	Saguinus oedipus	Mammalia	RYR	H3BGR5	RYR	RYR	dispersed	CM063176.1	60906426	61311848	+	1	CM063187.1	41364988	41511690	+	1	1	-1	0	1	0
GCA_031835075.1	Saguinus oedipus	Mammalia	RYR	H3BGR5	RYR	RYR	dispersed	CM063176.1	60906426	61311848	+	1	CM063188.1	10062847	10613180	-	1	1	-1	0	0	0
GCA_031835075.1	Saguinus oedipus	Mammalia	RYR	H3BGR5	RYR	RYR	dispersed	CM063187.1	41364988	41511690	+	1	CM063188.1	10062847	10613180	-	1	1	-1	0	0	0
GCA_032275445.1	Crypturellus soui	Aves	RYR	A0A4W3I1N0	RYR	RYR	dispersed	JAUBNY010000184.1	1020968	1137172	-	0.9233	JAUBNY010000465.1	80009	297516	-	0.9972	1	-1	0	1	0
GCA_032275445.1	Crypturellus soui	Aves	RYR	A0A6I8Q6P7	RYR	RYR	dispersed	JAUBNY010000184.1	1020968	1137172	-	0.9248	JAUBNY010000465.1	80009	297519	-	0.9968	1	-1	0	1	0
GCA_032275445.1	Crypturellus soui	Aves	RYR	A0AAJ7XD62	RYR	RYR	dispersed	JAUBNY010000184.1	1020968	1137172	-	0.9253	JAUBNY010000465.1	80009	297519	-	0.9969	1	-1	0	1	0
GCA_032275445.1	Crypturellus soui	Aves	RYR	A0AC58GZ77	RYR	RYR	dispersed	JAUBNY010000184.1	1020968	1137172	-	0.9214	JAUBNY010000465.1	80009	297519	-	0.997	1	-1	0	1	0
GCA_032275445.1	Crypturellus soui	Aves	RYR	H3BGR5	RYR	RYR	dispersed	JAUBNY010000184.1	1020968	1137172	-	0.9281	JAUBNY010000465.1	80009	297516	-	1	1	-1	0	1	0
