accession	organism	vclass	cell	detector_fires	n_pairs	n_within_locus	n_tandem	n_dispersed	s16_copies	s16_same_contig_copies	truth_duplicated	agreement
GCA_013400635.1	Hypocryptadius cinnamomeus	Aves	RYR	0	0	0	0	0	0	0	0	tn
GCA_013400655.1	Mystacornis crossleyi	Aves	ITPR1	0	0	0	0	0	0	0	0	tn
GCA_013400655.1	Mystacornis crossleyi	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013400655.1	Mystacornis crossleyi	Aves	ITPR3	0	0	0	0	0	0	0	0	tn
GCA_013400655.1	Mystacornis crossleyi	Aves	RYR	0	0	0	0	0	0	0	0	tn
GCA_013400675.1	Oxylabes madagascariensis	Aves	ITPR1	0	0	0	0	0	0	0	0	tn
GCA_013400675.1	Oxylabes madagascariensis	Aves	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_013400675.1	Oxylabes madagascariensis	Aves	ITPR3	0	0	0	0	0	0	0	0	tn
GCA_013400675.1	Oxylabes madagascariensis	Aves	RYR	0	0	0	0	0	0	0	0	tn
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR1	0	0	0	0	0	0	0	0	tn
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_013400695.1	Neodrepanis coruscans	Aves	ITPR3	0	0	0	0	0	0	0	0	tn
GCA_013400695.1	Neodrepanis coruscans	Aves	RYR	0	0	0	0	0	0	0	0	tn
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR1	0	0	0	0	0	0	0	0	tn
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013400735.1	Pomatostomus ruficeps	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013400735.1	Pomatostomus ruficeps	Aves	RYR	0	0	0	0	0	0	0	0	tn
GCA_013400815.1	Centropus bengalensis	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013400815.1	Centropus bengalensis	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013400815.1	Centropus bengalensis	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013400815.1	Centropus bengalensis	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR1	0	0	0	0	0	0	0	0	tn
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013400855.1	Buphagus erythrorhynchus	Aves	ITPR3	0	0	0	0	0	0	0	0	tn
GCA_013400855.1	Buphagus erythrorhynchus	Aves	RYR	0	0	0	0	0	0	0	0	tn
GCA_013400895.1	Thalassarche chlororhynchos	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013400895.1	Thalassarche chlororhynchos	Aves	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_013400895.1	Thalassarche chlororhynchos	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013400895.1	Thalassarche chlororhynchos	Aves	RYR	0	0	0	0	0	0	0	0	tn
GCA_013400915.1	Pardalotus punctatus	Aves	ITPR1	0	0	0	0	0	0	0	0	tn
GCA_013400915.1	Pardalotus punctatus	Aves	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_013400915.1	Pardalotus punctatus	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013400915.1	Pardalotus punctatus	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013400955.1	Drymodes brunneopygia	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013400955.1	Drymodes brunneopygia	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013400955.1	Drymodes brunneopygia	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013400955.1	Drymodes brunneopygia	Aves	RYR	0	0	0	0	0	1	0	0	tn
GCA_013400995.1	Oreotrochilus melanogaster	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013400995.1	Oreotrochilus melanogaster	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013400995.1	Oreotrochilus melanogaster	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013400995.1	Oreotrochilus melanogaster	Aves	RYR	1	8	0	0	8	2	0	1	tp
GCA_013401035.1	Horornis vulcanius	Aves	ITPR1	0	0	0	0	0	0	0	0	tn
GCA_013401035.1	Horornis vulcanius	Aves	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_013401035.1	Horornis vulcanius	Aves	ITPR3	0	0	0	0	0	0	0	0	tn
GCA_013401035.1	Horornis vulcanius	Aves	RYR	0	0	0	0	0	0	0	0	tn
GCA_013401195.1	Pomatorhinus ruficollis	Aves	ITPR1	0	0	0	0	0	0	0	0	tn
GCA_013401195.1	Pomatorhinus ruficollis	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013401195.1	Pomatorhinus ruficollis	Aves	ITPR3	0	0	0	0	0	0	0	0	tn
GCA_013401195.1	Pomatorhinus ruficollis	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013401215.1	Atlantisia rogersi	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013401215.1	Atlantisia rogersi	Aves	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_013401215.1	Atlantisia rogersi	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013401215.1	Atlantisia rogersi	Aves	RYR	1	4	0	0	4	0	0	0	fp
GCA_013401255.1	Urocolius indicus	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013401255.1	Urocolius indicus	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013401255.1	Urocolius indicus	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013401255.1	Urocolius indicus	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013401295.1	Glareola pratincola	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013401295.1	Glareola pratincola	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013401295.1	Glareola pratincola	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013401295.1	Glareola pratincola	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_013401315.1	Balaeniceps rex	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_013401315.1	Balaeniceps rex	Aves	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_013401315.1	Balaeniceps rex	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_013401315.1	Balaeniceps rex	Aves	RYR	0	0	0	0	0	0	0	0	tn
GCA_013401355.1	Ceyx cyanopectus	Aves	ITPR1	0	0	0	0	0	0	0	0	tn
GCA_013401355.1	Ceyx cyanopectus	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_013401355.1	Ceyx cyanopectus	Aves	ITPR3	0	0	0	0	0	0	0	0	tn
GCA_013401355.1	Ceyx cyanopectus	Aves	RYR	0	0	0	0	0	0	0	0	tn
GCA_014281875.1	Nibea albiflora	Actinopteri	ITPR1	1	27	0	0	27	2	1	1	tp
GCA_014281875.1	Nibea albiflora	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_014281875.1	Nibea albiflora	Actinopteri	ITPR3	1	17	0	0	17	2	0	1	tp
GCA_014281875.1	Nibea albiflora	Actinopteri	RYR	1	67	0	0	67	6	0	1	tp
GCA_014363365.1	Leucopsar rothschildi	Aves	ITPR1	0	0	0	0	0	0	0	0	tn
GCA_014363365.1	Leucopsar rothschildi	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_014363365.1	Leucopsar rothschildi	Aves	ITPR3	0	0	0	0	0	0	0	0	tn
GCA_014363365.1	Leucopsar rothschildi	Aves	RYR	1	10	0	0	10	2	0	1	tp
GCA_014839755.1	Sylvia borin	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_014839755.1	Sylvia borin	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_014839755.1	Sylvia borin	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_014839755.1	Sylvia borin	Aves	RYR	1	13	0	0	13	3	0	1	tp
GCA_015883425.2	Lamprotornis superbus	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_015883425.2	Lamprotornis superbus	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_015883425.2	Lamprotornis superbus	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_015883425.2	Lamprotornis superbus	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_017639675.1	Aplochiton taeniatus	Actinopteri	RYR	1	64	0	0	64	6	0	1	tp
GCA_018340635.1	Bothrops jararaca	Lepidosauria	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_018340635.1	Bothrops jararaca	Lepidosauria	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_018340635.1	Bothrops jararaca	Lepidosauria	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_018340635.1	Bothrops jararaca	Lepidosauria	RYR	0	0	0	0	0	1	0	0	tn
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_019447015.1	Hymenochirus boettgeri	Amphibia	RYR	1	7	0	0	7	2	1	1	tp
GCA_020745705.1	Hemiprocne comata	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_020745705.1	Hemiprocne comata	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_020745705.1	Hemiprocne comata	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_020745705.1	Hemiprocne comata	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_022829145.1	Albula goreensis	Actinopteri	ITPR1	1	28	0	0	28	2	0	1	tp
GCA_022829145.1	Albula goreensis	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_022829145.1	Albula goreensis	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_022829145.1	Albula goreensis	Actinopteri	RYR	1	43	0	0	43	5	0	1	tp
GCA_023764695.1	Pygathrix nigripes	Mammalia	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_023764695.1	Pygathrix nigripes	Mammalia	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_023764695.1	Pygathrix nigripes	Mammalia	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_023764695.1	Pygathrix nigripes	Mammalia	RYR	1	13	0	0	13	3	0	1	tp
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	ITPR1	1	29	0	0	29	2	1	1	tp
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	RYR	1	68	0	0	68	6	0	1	tp
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	ITPR1	1	28	0	0	28	2	1	1	tp
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	RYR	1	64	0	0	64	6	1	1	tp
GCA_028571685.1	Heterohyrax brucei	Mammalia	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_028571685.1	Heterohyrax brucei	Mammalia	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_028571685.1	Heterohyrax brucei	Mammalia	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_028571685.1	Heterohyrax brucei	Mammalia	RYR	1	13	0	0	13	3	0	1	tp
GCA_029706075.1	Aldrovandia affinis	Actinopteri	ITPR1	1	28	0	0	28	2	0	1	tp
GCA_029706075.1	Aldrovandia affinis	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_029706075.1	Aldrovandia affinis	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_029706075.1	Aldrovandia affinis	Actinopteri	RYR	1	43	0	0	43	5	0	1	tp
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	1	27	0	0	27	2	1	1	tp
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_031216635.1	Dissostichus eleginoides	Actinopteri	RYR	1	56	0	0	56	6	0	1	tp
GCA_031835075.1	Saguinus oedipus	Mammalia	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_031835075.1	Saguinus oedipus	Mammalia	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_031835075.1	Saguinus oedipus	Mammalia	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_031835075.1	Saguinus oedipus	Mammalia	RYR	1	13	0	0	13	3	0	1	tp
GCA_032275445.1	Crypturellus soui	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_032275445.1	Crypturellus soui	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_032275445.1	Crypturellus soui	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_032275445.1	Crypturellus soui	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_033238685.1	Lates japonicus	Actinopteri	ITPR1	1	1	0	0	1	2	0	1	tp
GCA_033238685.1	Lates japonicus	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_033238685.1	Lates japonicus	Actinopteri	ITPR3	1	55	0	0	55	3	0	1	tp
GCA_033238685.1	Lates japonicus	Actinopteri	RYR	1	54	0	0	54	6	0	1	tp
GCA_035590135.1	Circaetus pectoralis	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_035590135.1	Circaetus pectoralis	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_035590135.1	Circaetus pectoralis	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_035590135.1	Circaetus pectoralis	Aves	RYR	1	11	0	0	11	3	0	1	tp
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	ITPR1	1	27	0	0	27	2	0	1	tp
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	RYR	1	48	0	0	48	6	1	1	tp
GCA_036250305.1	Ataeniobius toweri	Actinopteri	ITPR1	1	29	0	0	29	0	0	0	fp
GCA_036250305.1	Ataeniobius toweri	Actinopteri	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_036250305.1	Ataeniobius toweri	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_036250305.1	Ataeniobius toweri	Actinopteri	RYR	1	13	0	0	13	3	0	1	tp
GCA_036250325.1	Characodon lateralis	Actinopteri	ITPR1	1	11	0	0	11	0	0	0	fp
GCA_036250325.1	Characodon lateralis	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_036250325.1	Characodon lateralis	Actinopteri	ITPR3	0	0	0	0	0	0	0	0	tn
GCA_036250325.1	Characodon lateralis	Actinopteri	RYR	1	18	0	0	18	0	0	0	fp
GCA_040091285.1	Ameca splendens	Actinopteri	ITPR1	1	29	0	0	29	0	0	0	fp
GCA_040091285.1	Ameca splendens	Actinopteri	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_040091285.1	Ameca splendens	Actinopteri	ITPR3	0	0	0	0	0	0	0	0	tn
GCA_040091285.1	Ameca splendens	Actinopteri	RYR	1	4	0	0	4	1	0	0	fp
GCA_040091305.1	Ilyodon furcidens	Actinopteri	ITPR1	1	30	0	0	30	0	0	0	fp
GCA_040091305.1	Ilyodon furcidens	Actinopteri	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_040091305.1	Ilyodon furcidens	Actinopteri	ITPR3	0	0	0	0	0	0	0	0	tn
GCA_040091305.1	Ilyodon furcidens	Actinopteri	RYR	1	8	0	0	8	0	0	0	fp
GCA_040091325.1	Goodea atripinnis	Actinopteri	ITPR1	1	30	0	0	30	0	0	0	fp
GCA_040091325.1	Goodea atripinnis	Actinopteri	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_040091325.1	Goodea atripinnis	Actinopteri	ITPR3	0	0	0	0	0	0	0	0	tn
GCA_040091325.1	Goodea atripinnis	Actinopteri	RYR	1	18	0	0	18	1	0	0	fp
GCA_040091335.1	Xenoophorus captivus	Actinopteri	ITPR1	0	0	0	0	0	0	0	0	tn
GCA_040091335.1	Xenoophorus captivus	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_040091335.1	Xenoophorus captivus	Actinopteri	ITPR3	0	0	0	0	0	0	0	0	tn
GCA_040091335.1	Xenoophorus captivus	Actinopteri	RYR	1	5	0	0	5	1	0	0	fp
GCA_040091345.1	Xenotaenia resolanae	Actinopteri	ITPR1	1	29	0	0	29	0	0	0	fp
GCA_040091345.1	Xenotaenia resolanae	Actinopteri	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_040091345.1	Xenotaenia resolanae	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_040091345.1	Xenotaenia resolanae	Actinopteri	RYR	1	11	0	0	11	1	0	0	fp
GCA_043380575.1	Atractosteus spatula	Actinopteri	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_043380575.1	Atractosteus spatula	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_043380575.1	Atractosteus spatula	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_043380575.1	Atractosteus spatula	Actinopteri	RYR	1	15	0	0	15	3	0	1	tp
GCA_046255725.1	Amblyopsis spelaea	Actinopteri	ITPR1	1	29	0	29	0	2	1	1	tp
GCA_046255725.1	Amblyopsis spelaea	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_046255725.1	Amblyopsis spelaea	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_046255725.1	Amblyopsis spelaea	Actinopteri	RYR	1	76	0	0	76	6	0	1	tp
GCA_047511595.1	Polymixia lowei	Actinopteri	ITPR1	1	27	0	0	27	2	1	1	tp
GCA_047511595.1	Polymixia lowei	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_047511595.1	Polymixia lowei	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_047511595.1	Polymixia lowei	Actinopteri	RYR	1	59	0	0	59	6	0	1	tp
GCA_048126345.2	Notoryctes typhlops	Mammalia	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_048126345.2	Notoryctes typhlops	Mammalia	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_048126345.2	Notoryctes typhlops	Mammalia	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_048126345.2	Notoryctes typhlops	Mammalia	RYR	1	13	0	0	13	3	0	1	tp
GCA_048569125.1	Diretmus argenteus	Actinopteri	ITPR1	1	27	0	0	27	2	1	1	tp
GCA_048569125.1	Diretmus argenteus	Actinopteri	ITPR2	1	17	0	17	0	2	1	1	tp
GCA_048569125.1	Diretmus argenteus	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_048569125.1	Diretmus argenteus	Actinopteri	RYR	1	53	0	0	53	6	0	1	tp
GCA_050084785.1	Liparis tanakae	Actinopteri	ITPR1	1	28	0	0	28	2	1	1	tp
GCA_050084785.1	Liparis tanakae	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_050084785.1	Liparis tanakae	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_050084785.1	Liparis tanakae	Actinopteri	RYR	1	59	0	0	59	6	0	1	tp
GCA_051992705.1	Lepidogalaxias salamandroides	Actinopteri	ITPR1	0	0	0	0	0	0	0	0	tn
GCA_051992705.1	Lepidogalaxias salamandroides	Actinopteri	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_051992705.1	Lepidogalaxias salamandroides	Actinopteri	ITPR3	0	0	0	0	0	0	0	0	tn
GCA_051992705.1	Lepidogalaxias salamandroides	Actinopteri	RYR	1	8	0	0	8	0	0	0	fp
GCA_054084135.1	Copsychus sechellarum	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_054084135.1	Copsychus sechellarum	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_054084135.1	Copsychus sechellarum	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_054084135.1	Copsychus sechellarum	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_054099775.1	Steatornis caripensis	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_054099775.1	Steatornis caripensis	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_054099775.1	Steatornis caripensis	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_054099775.1	Steatornis caripensis	Aves	RYR	1	5	0	0	5	2	0	1	tp
GCA_054644205.1	Lestoros inca	Mammalia	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_054644205.1	Lestoros inca	Mammalia	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_054644205.1	Lestoros inca	Mammalia	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_054644205.1	Lestoros inca	Mammalia	RYR	1	13	0	0	13	3	0	1	tp
GCA_054883175.1	Datnioides polota	Actinopteri	ITPR1	1	27	0	0	27	2	1	1	tp
GCA_054883175.1	Datnioides polota	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_054883175.1	Datnioides polota	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_054883175.1	Datnioides polota	Actinopteri	RYR	1	75	0	0	75	6	0	1	tp
GCA_054883375.1	Arapaima gigas	Actinopteri	ITPR1	1	28	0	0	28	2	1	1	tp
GCA_054883375.1	Arapaima gigas	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_054883375.1	Arapaima gigas	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_054883375.1	Arapaima gigas	Actinopteri	RYR	1	27	0	0	27	4	0	1	tp
GCA_056506795.1	Pristigenys meyeri	Actinopteri	ITPR1	1	27	0	0	27	2	1	1	tp
GCA_056506795.1	Pristigenys meyeri	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_056506795.1	Pristigenys meyeri	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_056506795.1	Pristigenys meyeri	Actinopteri	RYR	1	75	0	0	75	6	0	1	tp
GCA_056776345.1	Spizella passerina	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_056776345.1	Spizella passerina	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_056776345.1	Spizella passerina	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_056776345.1	Spizella passerina	Aves	RYR	1	13	0	0	13	3	0	1	tp
GCA_056783565.1	Hiodon alosoides	Actinopteri	ITPR1	1	28	0	0	28	2	0	1	tp
GCA_056783565.1	Hiodon alosoides	Actinopteri	ITPR2	1	17	0	0	17	2	0	1	tp
GCA_056783565.1	Hiodon alosoides	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_056783565.1	Hiodon alosoides	Actinopteri	RYR	1	26	0	0	26	4	0	1	tp
GCA_056783665.1	Albula glossodonta	Actinopteri	ITPR1	1	28	0	0	28	2	0	1	tp
GCA_056783665.1	Albula glossodonta	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_056783665.1	Albula glossodonta	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_056783665.1	Albula glossodonta	Actinopteri	RYR	1	43	0	0	43	5	0	1	tp
GCA_056824565.1	Stylephorus chordatus	Actinopteri	ITPR1	1	29	0	0	29	2	0	1	tp
GCA_056824565.1	Stylephorus chordatus	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_056824565.1	Stylephorus chordatus	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_056824565.1	Stylephorus chordatus	Actinopteri	RYR	1	67	0	0	67	6	0	1	tp
GCA_056824585.1	Alepocephalus tenebrosus	Actinopteri	ITPR1	1	28	0	0	28	2	1	1	tp
GCA_056824585.1	Alepocephalus tenebrosus	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_056824585.1	Alepocephalus tenebrosus	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_056824585.1	Alepocephalus tenebrosus	Actinopteri	RYR	1	44	0	0	44	6	1	1	tp
GCA_057876775.1	Echinorhinus cookei	Chondrichthyes	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_057876775.1	Echinorhinus cookei	Chondrichthyes	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_057876775.1	Echinorhinus cookei	Chondrichthyes	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_057876775.1	Echinorhinus cookei	Chondrichthyes	RYR	1	16	0	0	16	3	0	1	tp
GCA_058224745.1	Acrocephalus arundinaceus	Aves	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_058224745.1	Acrocephalus arundinaceus	Aves	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_058224745.1	Acrocephalus arundinaceus	Aves	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_058224745.1	Acrocephalus arundinaceus	Aves	RYR	1	13	0	0	13	3	0	1	tp
GCA_058707665.1	Platax teira	Actinopteri	ITPR1	1	27	0	0	27	2	1	1	tp
GCA_058707665.1	Platax teira	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_058707665.1	Platax teira	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_058707665.1	Platax teira	Actinopteri	RYR	1	67	0	0	67	6	0	1	tp
GCA_900312595.1	Guentherus altivela	Actinopteri	ITPR1	0	0	0	0	0	0	0	0	tn
GCA_900312595.1	Guentherus altivela	Actinopteri	ITPR2	0	0	0	0	0	0	0	0	tn
GCA_900312595.1	Guentherus altivela	Actinopteri	ITPR3	0	0	0	0	0	0	0	0	tn
GCA_900312595.1	Guentherus altivela	Actinopteri	RYR	0	0	0	0	0	0	0	0	tn
GCA_951230385.1	Staurois parvus	Amphibia	ITPR1	0	0	0	0	0	1	0	0	tn
GCA_951230385.1	Staurois parvus	Amphibia	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_951230385.1	Staurois parvus	Amphibia	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_951230385.1	Staurois parvus	Amphibia	RYR	0	0	0	0	0	1	0	0	tn
GCA_965364685.1	Capros aper	Actinopteri	ITPR1	1	27	0	0	27	2	1	1	tp
GCA_965364685.1	Capros aper	Actinopteri	ITPR2	0	0	0	0	0	1	0	0	tn
GCA_965364685.1	Capros aper	Actinopteri	ITPR3	0	0	0	0	0	1	0	0	tn
GCA_965364685.1	Capros aper	Actinopteri	RYR	1	63	0	0	63	6	0	1	tp
