accession	organism	vclass	source	cell	locus_idx	state	n_annot_edges	n_exact	n_within_tol	n_no_match	frac_exact	frac_within_tol	n_model_exons	n_annot_blocks	median_offset
GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	RefSeq	RYR	0	complete	214	204	204	10	0.9533	0.9533	104	108	0
GCF_009764475.1	Pristis pectinata	Chondrichthyes	RefSeq	ITPR1	0	complete	120	108	108	12	0.9	0.9	58	61	0
GCF_009764475.1	Pristis pectinata	Chondrichthyes	RefSeq	ITPR2	0	complete	112	108	108	4	0.9643	0.9643	57	57	0
GCF_009764475.1	Pristis pectinata	Chondrichthyes	RefSeq	ITPR3	0	complete	114	101	101	13	0.886	0.886	56	58	0
GCF_009764475.1	Pristis pectinata	Chondrichthyes	RefSeq	RYR	2	complete	206	193	193	13	0.9369	0.9369	104	104	0
GCF_009764475.1	Pristis pectinata	Chondrichthyes	RefSeq	RYR	1	complete	202	197	197	5	0.9752	0.9752	102	102	0
GCF_009764475.1	Pristis pectinata	Chondrichthyes	RefSeq	RYR	0	complete	208	199	199	9	0.9567	0.9567	103	105	0
GCF_009769465.1	Tauraco erythrolophus	Aves	RefSeq	ITPR1	0	complete	126	121	121	5	0.9603	0.9603	62	64	0
GCF_009769465.1	Tauraco erythrolophus	Aves	RefSeq	ITPR2	0	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCF_009769465.1	Tauraco erythrolophus	Aves	RefSeq	ITPR3	0	complete	116	114	114	2	0.9828	0.9828	58	59	0
GCF_009769465.1	Tauraco erythrolophus	Aves	RefSeq	RYR	0	complete	210	203	203	7	0.9667	0.9667	104	106	0
GCF_009769465.1	Tauraco erythrolophus	Aves	RefSeq	RYR	1	complete	218	190	190	28	0.8716	0.8716	102	110	0
GCF_011004845.1	Esox lucius	Actinopteri	RefSeq	ITPR1	1	complete	128	104	104	24	0.8125	0.8125	58	65	0
GCF_011004845.1	Esox lucius	Actinopteri	RefSeq	ITPR1	0	complete	116	114	114	2	0.9828	0.9828	58	59	0
GCF_011004845.1	Esox lucius	Actinopteri	RefSeq	ITPR2	0	complete	112	105	105	7	0.9375	0.9375	57	57	0
GCF_011004845.1	Esox lucius	Actinopteri	RefSeq	ITPR3	0	complete	114	110	110	4	0.9649	0.9649	58	58	0
GCF_011004845.1	Esox lucius	Actinopteri	RefSeq	RYR	2	complete	212	199	199	13	0.9387	0.9387	103	107	0
GCF_011004845.1	Esox lucius	Actinopteri	RefSeq	RYR	0	complete	220	213	213	7	0.9682	0.9682	109	111	0
GCF_011004845.1	Esox lucius	Actinopteri	RefSeq	RYR	5	complete	206	187	187	19	0.9078	0.9078	100	104	0
GCF_011004845.1	Esox lucius	Actinopteri	RefSeq	RYR	1	complete	214	204	204	10	0.9533	0.9533	104	108	0
GCF_011004845.1	Esox lucius	Actinopteri	RefSeq	RYR	3	complete	204	190	190	14	0.9314	0.9314	101	103	0
GCF_011004845.1	Esox lucius	Actinopteri	RefSeq	RYR	4	complete	220	206	206	14	0.9364	0.9364	106	111	0
GCF_011004875.1	Balearica regulorum gibbericeps	Aves	RefSeq	ITPR1	0	complete	118	118	118	0	1	1	62	60	0
GCF_011004875.1	Balearica regulorum gibbericeps	Aves	RefSeq	ITPR2	0	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCF_011004875.1	Balearica regulorum gibbericeps	Aves	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_011004875.1	Balearica regulorum gibbericeps	Aves	RefSeq	RYR	0	complete	212	203	204	8	0.9575	0.9623	104	107	0
GCF_011004875.1	Balearica regulorum gibbericeps	Aves	RefSeq	RYR	1	complete	204	193	193	11	0.9461	0.9461	101	103	0
GCF_013368585.1	Megalops cyprinoides	Actinopteri	RefSeq	ITPR1	1	complete	120	108	108	12	0.9	0.9	58	61	0
GCF_013368585.1	Megalops cyprinoides	Actinopteri	RefSeq	ITPR1	0	complete	116	111	111	5	0.9569	0.9569	58	59	0
GCF_013368585.1	Megalops cyprinoides	Actinopteri	RefSeq	ITPR2	0	complete	112	107	107	5	0.9554	0.9554	56	57	0
GCF_013368585.1	Megalops cyprinoides	Actinopteri	RefSeq	ITPR3	0	complete	114	112	113	1	0.9825	0.9912	58	58	0
GCF_013368585.1	Megalops cyprinoides	Actinopteri	RefSeq	RYR	0	complete	208	205	205	3	0.9856	0.9856	105	105	0
GCF_013368585.1	Megalops cyprinoides	Actinopteri	RefSeq	RYR	1	complete	210	205	205	5	0.9762	0.9762	106	106	0
GCF_013368585.1	Megalops cyprinoides	Actinopteri	RefSeq	RYR	2	complete	216	206	206	10	0.9537	0.9537	105	109	0
GCF_013368585.1	Megalops cyprinoides	Actinopteri	RefSeq	RYR	3	complete	212	197	197	15	0.9292	0.9292	104	107	0
GCF_013368585.1	Megalops cyprinoides	Actinopteri	RefSeq	RYR	4	complete	196	170	171	25	0.8673	0.8724	99	99	0
GCF_013368605.1	Nyctibius grandis	Aves	RefSeq	ITPR1	0	complete	112	112	112	0	1	1	62	57	0
GCF_013368605.1	Nyctibius grandis	Aves	RefSeq	ITPR2	0	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCF_013368605.1	Nyctibius grandis	Aves	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_013368605.1	Nyctibius grandis	Aves	RefSeq	RYR	0	complete	212	203	203	9	0.9575	0.9575	104	107	0
GCF_013368605.1	Nyctibius grandis	Aves	RefSeq	RYR	1	complete	204	194	194	10	0.951	0.951	102	103	0
GCF_014839835.1	Dryobates pubescens	Aves	RefSeq	ITPR1	0	complete	122	115	115	7	0.9426	0.9426	61	62	0
GCF_014839835.1	Dryobates pubescens	Aves	RefSeq	ITPR2	0	complete	112	110	110	2	0.9821	0.9821	57	57	0
GCF_014839835.1	Dryobates pubescens	Aves	RefSeq	ITPR3	0	complete	112	111	111	1	0.9911	0.9911	58	57	0
GCF_014839835.1	Dryobates pubescens	Aves	RefSeq	RYR	1	complete	204	190	190	14	0.9314	0.9314	103	103	0
GCF_014839835.1	Dryobates pubescens	Aves	RefSeq	RYR	0	complete	206	203	203	3	0.9854	0.9854	104	104	0
GCF_016699485.2	Gallus gallus	Aves	RefSeq	ITPR1	0	complete	124	119	119	5	0.9597	0.9597	62	63	0
GCF_016699485.2	Gallus gallus	Aves	RefSeq	ITPR2	0	complete	116	112	112	4	0.9655	0.9655	57	59	0
GCF_016699485.2	Gallus gallus	Aves	RefSeq	ITPR3	0	complete	112	112	112	0	1	1	58	57	0
GCF_016699485.2	Gallus gallus	Aves	RefSeq	RYR	0	complete	212	206	206	6	0.9717	0.9717	104	107	0
GCF_016699485.2	Gallus gallus	Aves	RefSeq	RYR	2	complete	206	194	194	12	0.9417	0.9417	102	104	0
GCF_016699485.2	Gallus gallus	Aves	RefSeq	RYR	1	complete	192	182	182	10	0.9479	0.9479	94	97	0
GCF_016859285.1	Xiphias gladius	Actinopteri	RefSeq	ITPR1	0	complete	122	113	113	9	0.9262	0.9262	58	62	0
GCF_016859285.1	Xiphias gladius	Actinopteri	RefSeq	ITPR1	1	complete	124	107	107	17	0.8629	0.8629	58	63	0
GCF_016859285.1	Xiphias gladius	Actinopteri	RefSeq	ITPR2	0	complete	112	105	105	7	0.9375	0.9375	56	57	0
GCF_016859285.1	Xiphias gladius	Actinopteri	RefSeq	ITPR3	0	complete	118	116	116	2	0.9831	0.9831	60	60	0
GCF_016859285.1	Xiphias gladius	Actinopteri	RefSeq	RYR	4	complete	212	206	206	6	0.9717	0.9717	106	107	0
GCF_016859285.1	Xiphias gladius	Actinopteri	RefSeq	RYR	1	complete	206	193	193	13	0.9369	0.9369	105	104	0
GCF_016859285.1	Xiphias gladius	Actinopteri	RefSeq	RYR	3	complete	202	195	195	7	0.9653	0.9653	101	102	0
GCF_016859285.1	Xiphias gladius	Actinopteri	RefSeq	RYR	5	complete	206	198	198	8	0.9612	0.9612	104	104	0
GCF_016859285.1	Xiphias gladius	Actinopteri	RefSeq	RYR	2	complete	214	205	205	9	0.9579	0.9579	104	108	0
GCF_016859285.1	Xiphias gladius	Actinopteri	RefSeq	RYR	0	complete	226	222	222	4	0.9823	0.9823	114	114	0
GCF_017639515.1	Carcharodon carcharias	Chondrichthyes	RefSeq	ITPR1	0	complete	116	107	107	9	0.9224	0.9224	59	59	0
GCF_017639515.1	Carcharodon carcharias	Chondrichthyes	RefSeq	ITPR2	0	complete	110	105	105	5	0.9545	0.9545	57	56	0
GCF_017639515.1	Carcharodon carcharias	Chondrichthyes	RefSeq	ITPR3	0	complete	118	100	100	18	0.8475	0.8475	56	60	0
GCF_017639515.1	Carcharodon carcharias	Chondrichthyes	RefSeq	RYR	1	complete	202	200	200	2	0.9901	0.9901	103	102	0
GCF_017639515.1	Carcharodon carcharias	Chondrichthyes	RefSeq	RYR	2	complete	206	185	185	21	0.8981	0.8981	102	104	0
GCF_017639515.1	Carcharodon carcharias	Chondrichthyes	RefSeq	RYR	0	complete	200	191	191	9	0.955	0.955	102	101	0
GCF_017654505.1	Polyodon spathula	Actinopteri	RefSeq	ITPR1	0	complete	118	104	104	14	0.8814	0.8814	58	60	0
GCF_017654505.1	Polyodon spathula	Actinopteri	RefSeq	ITPR1	1	complete	118	106	106	12	0.8983	0.8983	58	60	0
GCF_017654505.1	Polyodon spathula	Actinopteri	RefSeq	ITPR2	0	complete	110	108	108	2	0.9818	0.9818	56	56	0
GCF_017654505.1	Polyodon spathula	Actinopteri	RefSeq	ITPR2	1	complete	110	107	107	3	0.9727	0.9727	56	56	0
GCF_017654505.1	Polyodon spathula	Actinopteri	RefSeq	ITPR3	1	complete	110	106	106	4	0.9636	0.9636	56	56	0
GCF_017654505.1	Polyodon spathula	Actinopteri	RefSeq	ITPR3	0	complete	110	108	108	2	0.9818	0.9818	56	56	0
GCF_017654505.1	Polyodon spathula	Actinopteri	RefSeq	RYR	1	complete	202	200	200	2	0.9901	0.9901	102	102	0
GCF_017654505.1	Polyodon spathula	Actinopteri	RefSeq	RYR	0	complete	210	202	202	8	0.9619	0.9619	104	106	0
GCF_017654505.1	Polyodon spathula	Actinopteri	RefSeq	RYR	4	complete	208	189	189	19	0.9087	0.9087	103	105	0
GCF_017654505.1	Polyodon spathula	Actinopteri	RefSeq	RYR	5	complete	236	181	181	55	0.7669	0.7669	101	119	0
GCF_017654505.1	Polyodon spathula	Actinopteri	RefSeq	RYR	3	complete	202	190	191	11	0.9406	0.9455	101	102	0
GCF_017654505.1	Polyodon spathula	Actinopteri	RefSeq	RYR	2	complete	204	190	190	14	0.9314	0.9314	100	103	0
GCF_017976375.1	Cuculus canorus	Aves	RefSeq	ITPR1	0	complete	120	116	116	4	0.9667	0.9667	62	61	0
GCF_017976375.1	Cuculus canorus	Aves	RefSeq	ITPR2	0	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCF_017976375.1	Cuculus canorus	Aves	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_017976375.1	Cuculus canorus	Aves	RefSeq	RYR	0	complete	208	202	203	5	0.9712	0.976	104	105	0
GCF_017976375.1	Cuculus canorus	Aves	RefSeq	RYR	2	complete	210	200	200	10	0.9524	0.9524	104	106	0
GCF_017976375.1	Cuculus canorus	Aves	RefSeq	RYR	1	complete	206	204	204	2	0.9903	0.9903	103	104	0
GCF_018139145.2	Gymnogyps californianus	Aves	RefSeq	ITPR1	0	complete	120	114	114	6	0.95	0.95	62	61	0
GCF_018139145.2	Gymnogyps californianus	Aves	RefSeq	ITPR2	0	complete	112	112	112	0	1	1	57	57	0
GCF_018139145.2	Gymnogyps californianus	Aves	RefSeq	ITPR3	0	complete	122	113	113	9	0.9262	0.9262	58	62	0
GCF_018139145.2	Gymnogyps californianus	Aves	RefSeq	RYR	0	complete	212	203	203	9	0.9575	0.9575	104	107	0
GCF_018139145.2	Gymnogyps californianus	Aves	RefSeq	RYR	1	complete	206	188	188	18	0.9126	0.9126	102	104	0
GCF_018320785.1	Cheilinus undulatus	Actinopteri	RefSeq	ITPR1	1	complete	120	108	108	12	0.9	0.9	58	61	0
GCF_018320785.1	Cheilinus undulatus	Actinopteri	RefSeq	ITPR1	0	complete	118	112	112	6	0.9492	0.9492	58	60	0
GCF_018320785.1	Cheilinus undulatus	Actinopteri	RefSeq	ITPR2	0	complete	112	103	103	9	0.9196	0.9196	56	57	0
GCF_018320785.1	Cheilinus undulatus	Actinopteri	RefSeq	ITPR3	0	complete	116	116	116	0	1	1	59	59	0
GCF_018320785.1	Cheilinus undulatus	Actinopteri	RefSeq	RYR	1	complete	210	202	202	8	0.9619	0.9619	104	106	0
GCF_018320785.1	Cheilinus undulatus	Actinopteri	RefSeq	RYR	5	complete	206	189	189	17	0.9175	0.9175	103	104	0
GCF_018320785.1	Cheilinus undulatus	Actinopteri	RefSeq	RYR	2	complete	214	203	203	11	0.9486	0.9486	103	108	0
GCF_018320785.1	Cheilinus undulatus	Actinopteri	RefSeq	RYR	4	complete	212	202	202	10	0.9528	0.9528	105	107	0
GCF_018320785.1	Cheilinus undulatus	Actinopteri	RefSeq	RYR	3	complete	202	180	180	22	0.8911	0.8911	101	102	0
GCF_018320785.1	Cheilinus undulatus	Actinopteri	RefSeq	RYR	0	complete	230	223	223	7	0.9696	0.9696	115	116	0
GCF_018691265.1	Tyto alba	Aves	RefSeq	ITPR1	0	complete	122	116	116	6	0.9508	0.9508	62	62	0
GCF_018691265.1	Tyto alba	Aves	RefSeq	ITPR2	0	complete	114	111	111	3	0.9737	0.9737	57	58	0
GCF_018691265.1	Tyto alba	Aves	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_018691265.1	Tyto alba	Aves	RefSeq	RYR	1	complete	208	193	193	15	0.9279	0.9279	101	105	0
GCF_018691265.1	Tyto alba	Aves	RefSeq	RYR	0	complete	210	204	204	6	0.9714	0.9714	104	106	0
GCF_018977255.1	Callorhinchus milii	Chondrichthyes	RefSeq	ITPR1	0	complete	116	108	108	8	0.931	0.931	60	59	0
GCF_018977255.1	Callorhinchus milii	Chondrichthyes	RefSeq	ITPR2	0	complete	110	102	102	8	0.9273	0.9273	55	56	0
GCF_018977255.1	Callorhinchus milii	Chondrichthyes	RefSeq	ITPR3	0	complete	114	99	99	15	0.8684	0.8684	56	58	0
GCF_018977255.1	Callorhinchus milii	Chondrichthyes	RefSeq	RYR	1	complete	212	199	199	13	0.9387	0.9387	102	107	0
GCF_018977255.1	Callorhinchus milii	Chondrichthyes	RefSeq	RYR	2	complete	210	194	194	16	0.9238	0.9238	104	106	0
GCF_018977255.1	Callorhinchus milii	Chondrichthyes	RefSeq	RYR	0	complete	206	193	193	13	0.9369	0.9369	103	104	0
GCF_019279795.1	Protopterus annectens	Dipnoi	RefSeq	ITPR1	0	complete	108	94	94	14	0.8704	0.8704	56	55	0
GCF_019279795.1	Protopterus annectens	Dipnoi	RefSeq	ITPR2	0	complete	112	106	106	6	0.9464	0.9464	58	57	0
GCF_019279795.1	Protopterus annectens	Dipnoi	RefSeq	ITPR3	0	complete	114	113	113	1	0.9912	0.9912	58	58	0
GCF_019279795.1	Protopterus annectens	Dipnoi	RefSeq	RYR	1	complete	210	201	201	9	0.9571	0.9571	103	106	0
GCF_019279795.1	Protopterus annectens	Dipnoi	RefSeq	RYR	0	complete	208	203	203	5	0.976	0.976	105	105	0
GCF_019279795.1	Protopterus annectens	Dipnoi	RefSeq	RYR	2	complete	206	193	193	13	0.9369	0.9369	103	104	0
GCF_019393635.1	Dromiciops gliroides	Mammalia	RefSeq	ITPR1	0	complete	118	116	116	2	0.9831	0.9831	60	60	0
GCF_019393635.1	Dromiciops gliroides	Mammalia	RefSeq	ITPR2	0	complete	112	112	112	0	1	1	57	57	0
GCF_019393635.1	Dromiciops gliroides	Mammalia	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_019393635.1	Dromiciops gliroides	Mammalia	RefSeq	RYR	2	complete	208	189	189	19	0.9087	0.9087	101	105	0
GCF_019393635.1	Dromiciops gliroides	Mammalia	RefSeq	RYR	1	complete	226	203	203	23	0.8982	0.8982	104	114	0
GCF_019393635.1	Dromiciops gliroides	Mammalia	RefSeq	RYR	0	complete	228	203	203	25	0.8904	0.8904	105	115	0
GCF_019740435.1	Gambusia affinis	Actinopteri	RefSeq	ITPR1	1	complete	122	112	112	10	0.918	0.918	58	62	0
GCF_019740435.1	Gambusia affinis	Actinopteri	RefSeq	ITPR1	0	complete	118	113	113	5	0.9576	0.9576	58	60	0
GCF_019740435.1	Gambusia affinis	Actinopteri	RefSeq	ITPR2	0	complete	112	100	100	12	0.8929	0.8929	54	57	0
GCF_019740435.1	Gambusia affinis	Actinopteri	RefSeq	ITPR3	0	complete	116	114	114	2	0.9828	0.9828	59	59	0
GCF_019740435.1	Gambusia affinis	Actinopteri	RefSeq	RYR	2	complete	210	198	198	12	0.9429	0.9429	105	106	0
GCF_019740435.1	Gambusia affinis	Actinopteri	RefSeq	RYR	5	complete	206	184	184	22	0.8932	0.8932	100	104	0
GCF_019740435.1	Gambusia affinis	Actinopteri	RefSeq	RYR	1	complete	212	201	201	11	0.9481	0.9481	103	107	0
GCF_019740435.1	Gambusia affinis	Actinopteri	RefSeq	RYR	3	complete	212	188	188	24	0.8868	0.8868	101	107	0
GCF_019740435.1	Gambusia affinis	Actinopteri	RefSeq	RYR	0	complete	228	223	223	5	0.9781	0.9781	114	115	0
GCF_019740435.1	Gambusia affinis	Actinopteri	RefSeq	RYR	4	complete	212	200	200	12	0.9434	0.9434	104	107	0
GCF_020171115.1	Neogale vison	Mammalia	RefSeq	ITPR1	0	complete	118	116	116	2	0.9831	0.9831	60	60	0
GCF_020171115.1	Neogale vison	Mammalia	RefSeq	ITPR2	0	complete	112	112	112	0	1	1	57	57	0
GCF_020171115.1	Neogale vison	Mammalia	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_020171115.1	Neogale vison	Mammalia	RefSeq	RYR	0	complete	208	203	203	5	0.976	0.976	104	105	0
GCF_020171115.1	Neogale vison	Mammalia	RefSeq	RYR	1	complete	210	204	204	6	0.9714	0.9714	105	106	0
GCF_020171115.1	Neogale vison	Mammalia	RefSeq	RYR	2	complete	198	189	189	9	0.9545	0.9545	102	100	0
GCF_020740795.1	Apus apus	Aves	RefSeq	ITPR1	0	complete	120	120	120	0	1	1	62	61	0
GCF_020740795.1	Apus apus	Aves	RefSeq	ITPR2	0	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCF_020740795.1	Apus apus	Aves	RefSeq	ITPR3	0	complete	114	113	113	1	0.9912	0.9912	58	58	0
GCF_020740795.1	Apus apus	Aves	RefSeq	RYR	0	complete	212	206	206	6	0.9717	0.9717	104	107	0
GCF_020740795.1	Apus apus	Aves	RefSeq	RYR	1	complete	208	192	192	16	0.9231	0.9231	102	105	0
GCF_020826845.1	Diceros bicornis minor	Mammalia	RefSeq	ITPR1	0	complete	114	111	111	3	0.9737	0.9737	60	58	0
GCF_020826845.1	Diceros bicornis minor	Mammalia	RefSeq	ITPR2	0	complete	112	112	112	0	1	1	57	57	0
GCF_020826845.1	Diceros bicornis minor	Mammalia	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_020826845.1	Diceros bicornis minor	Mammalia	RefSeq	RYR	2	complete	206	193	193	13	0.9369	0.9369	102	104	0
GCF_020826845.1	Diceros bicornis minor	Mammalia	RefSeq	RYR	0	complete	204	203	203	1	0.9951	0.9951	104	103	0
GCF_020826845.1	Diceros bicornis minor	Mammalia	RefSeq	RYR	1	complete	208	207	207	1	0.9952	0.9952	105	105	0
GCF_021028975.2	Sphaerodactylus townsendi	Lepidosauria	RefSeq	ITPR1	0	complete	90	83	83	7	0.9222	0.9222	53	46	0
GCF_021028975.2	Sphaerodactylus townsendi	Lepidosauria	RefSeq	ITPR2	0	complete	118	106	106	12	0.8983	0.8983	56	60	0
GCF_021028975.2	Sphaerodactylus townsendi	Lepidosauria	RefSeq	ITPR3	0	complete	110	108	108	2	0.9818	0.9818	55	56	0
GCF_021028975.2	Sphaerodactylus townsendi	Lepidosauria	RefSeq	RYR	0	complete	208	204	204	4	0.9808	0.9808	103	105	0
GCF_021028975.2	Sphaerodactylus townsendi	Lepidosauria	RefSeq	RYR	1	complete	210	190	190	20	0.9048	0.9048	102	106	0
GCF_021028975.2	Sphaerodactylus townsendi	Lepidosauria	RefSeq	RYR	2	split	124	114	114	10	0.9194	0.9194	71	63	0
GCF_021613505.1	Equus quagga	Mammalia	RefSeq	ITPR1	0	complete	112	109	109	3	0.9732	0.9732	60	57	0
GCF_021613505.1	Equus quagga	Mammalia	RefSeq	ITPR2	0	complete	112	112	112	0	1	1	57	57	0
GCF_021613505.1	Equus quagga	Mammalia	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_021613505.1	Equus quagga	Mammalia	RefSeq	RYR	2	complete	206	192	192	14	0.932	0.932	100	104	0
GCF_021613505.1	Equus quagga	Mammalia	RefSeq	RYR	0	complete	210	205	205	5	0.9762	0.9762	104	106	0
GCF_021613505.1	Equus quagga	Mammalia	RefSeq	RYR	1	complete	212	206	206	6	0.9717	0.9717	106	107	0
GCF_023634155.1	Falco peregrinus	Aves	RefSeq	ITPR1	0	complete	120	117	117	3	0.975	0.975	62	61	0
GCF_023634155.1	Falco peregrinus	Aves	RefSeq	ITPR2	0	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCF_023634155.1	Falco peregrinus	Aves	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_023634155.1	Falco peregrinus	Aves	RefSeq	RYR	1	complete	206	194	194	12	0.9417	0.9417	102	104	0
GCF_023634155.1	Falco peregrinus	Aves	RefSeq	RYR	0	complete	204	202	202	2	0.9902	0.9902	104	103	0
GCF_023851605.1	Tamandua tetradactyla	Mammalia	RefSeq	ITPR1	0	complete	118	114	114	4	0.9661	0.9661	60	60	0
GCF_023851605.1	Tamandua tetradactyla	Mammalia	RefSeq	ITPR2	0	complete	118	111	111	7	0.9407	0.9407	57	60	0
GCF_023851605.1	Tamandua tetradactyla	Mammalia	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_023851605.1	Tamandua tetradactyla	Mammalia	RefSeq	RYR	0	complete	212	203	204	8	0.9575	0.9623	104	107	0
GCF_023851605.1	Tamandua tetradactyla	Mammalia	RefSeq	RYR	2	complete	206	191	191	15	0.9272	0.9272	100	104	0
GCF_023851605.1	Tamandua tetradactyla	Mammalia	RefSeq	RYR	1	complete	212	205	205	7	0.967	0.967	105	107	0
GCF_024166365.1	Elephas maximus indicus	Mammalia	RefSeq	ITPR1	0	complete	112	111	111	1	0.9911	0.9911	60	57	0
GCF_024166365.1	Elephas maximus indicus	Mammalia	RefSeq	ITPR2	0	complete	112	112	112	0	1	1	57	57	0
GCF_024166365.1	Elephas maximus indicus	Mammalia	RefSeq	ITPR3	0	complete	114	113	113	1	0.9912	0.9912	58	58	0
GCF_024166365.1	Elephas maximus indicus	Mammalia	RefSeq	RYR	2	complete	204	185	185	19	0.9069	0.9069	100	103	0
GCF_024166365.1	Elephas maximus indicus	Mammalia	RefSeq	RYR	1	complete	210	207	207	3	0.9857	0.9857	105	106	0
GCF_024166365.1	Elephas maximus indicus	Mammalia	RefSeq	RYR	0	complete	210	207	207	3	0.9857	0.9857	105	106	0
GCF_025201925.1	Gopherus flavomarginatus	Testudines	RefSeq	ITPR1	0	complete	102	97	97	5	0.951	0.951	58	52	0
GCF_025201925.1	Gopherus flavomarginatus	Testudines	RefSeq	ITPR2	0	complete	116	112	112	4	0.9655	0.9655	57	59	0
GCF_025201925.1	Gopherus flavomarginatus	Testudines	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_025201925.1	Gopherus flavomarginatus	Testudines	RefSeq	RYR	0	complete	210	203	203	7	0.9667	0.9667	103	106	0
GCF_025201925.1	Gopherus flavomarginatus	Testudines	RefSeq	RYR	2	complete	208	196	196	12	0.9423	0.9423	102	105	0
GCF_025201925.1	Gopherus flavomarginatus	Testudines	RefSeq	RYR	1	complete	210	205	205	5	0.9762	0.9762	104	106	0
GCF_027244095.1	Hemicordylus capensis	Lepidosauria	RefSeq	ITPR1	0	complete	122	107	107	15	0.877	0.877	58	62	0
GCF_027244095.1	Hemicordylus capensis	Lepidosauria	RefSeq	ITPR2	0	complete	118	108	108	10	0.9153	0.9153	56	60	0
GCF_027244095.1	Hemicordylus capensis	Lepidosauria	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_027244095.1	Hemicordylus capensis	Lepidosauria	RefSeq	RYR	2	complete	210	195	195	15	0.9286	0.9286	103	106	0
GCF_027244095.1	Hemicordylus capensis	Lepidosauria	RefSeq	RYR	0	complete	214	203	204	10	0.9486	0.9533	103	108	0
GCF_027244095.1	Hemicordylus capensis	Lepidosauria	RefSeq	RYR	1	complete	208	204	204	4	0.9808	0.9808	103	105	0
GCF_027409185.1	Cynocephalus volans	Mammalia	RefSeq	ITPR1	0	complete	114	112	112	2	0.9825	0.9825	60	58	0
GCF_027409185.1	Cynocephalus volans	Mammalia	RefSeq	ITPR2	0	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCF_027409185.1	Cynocephalus volans	Mammalia	RefSeq	ITPR3	0	complete	114	114	114	0	1	1	58	58	0
GCF_027409185.1	Cynocephalus volans	Mammalia	RefSeq	RYR	2	complete	208	191	191	17	0.9183	0.9183	102	105	0
GCF_027409185.1	Cynocephalus volans	Mammalia	RefSeq	RYR	1	complete	210	205	205	5	0.9762	0.9762	105	106	0
GCF_027409185.1	Cynocephalus volans	Mammalia	RefSeq	RYR	0	complete	210	207	207	3	0.9857	0.9857	105	106	0
GCF_027409825.1	Scomber japonicus	Actinopteri	RefSeq	ITPR1	1	complete	112	107	107	5	0.9554	0.9554	58	57	0
GCF_027409825.1	Scomber japonicus	Actinopteri	RefSeq	ITPR1	0	complete	116	108	108	8	0.931	0.931	58	59	0
GCF_027409825.1	Scomber japonicus	Actinopteri	RefSeq	ITPR2	0	complete	112	106	106	6	0.9464	0.9464	56	57	0
GCF_027409825.1	Scomber japonicus	Actinopteri	RefSeq	RYR	1	complete	210	205	205	5	0.9762	0.9762	106	106	0
GCF_027409825.1	Scomber japonicus	Actinopteri	RefSeq	RYR	2	complete	212	201	201	11	0.9481	0.9481	105	107	0
GCF_027409825.1	Scomber japonicus	Actinopteri	RefSeq	RYR	3	complete	212	194	194	18	0.9151	0.9151	101	107	0
GCF_027409825.1	Scomber japonicus	Actinopteri	RefSeq	RYR	4	complete	214	196	196	18	0.9159	0.9159	104	108	0
GCF_027409825.1	Scomber japonicus	Actinopteri	RefSeq	RYR	0	complete	234	225	225	9	0.9615	0.9615	116	118	0
GCF_027579695.1	Neoarius graeffei	Actinopteri	RefSeq	ITPR1	0	complete	118	112	112	6	0.9492	0.9492	59	60	0
GCF_027579695.1	Neoarius graeffei	Actinopteri	RefSeq	ITPR1	1	complete	116	109	109	7	0.9397	0.9397	58	59	0
GCF_027579695.1	Neoarius graeffei	Actinopteri	RefSeq	ITPR2	0	complete	112	111	111	1	0.9911	0.9911	57	57	0
GCF_027579695.1	Neoarius graeffei	Actinopteri	RefSeq	ITPR3	0	complete	114	111	111	3	0.9737	0.9737	58	58	0
GCF_027579695.1	Neoarius graeffei	Actinopteri	RefSeq	RYR	4	complete	204	190	190	14	0.9314	0.9314	100	103	0
GCF_027579695.1	Neoarius graeffei	Actinopteri	RefSeq	RYR	1	complete	208	200	200	8	0.9615	0.9615	105	105	0
GCF_027579695.1	Neoarius graeffei	Actinopteri	RefSeq	RYR	5	complete	204	183	183	21	0.8971	0.8971	99	103	0
