accession	organism	vclass	vorder	cell	locus_idx	mp_id	bait	bait_paralog	frame_via_cell	reference	strand	contig	start	end	coverage	identity	q_start	q_end	residues	n_blocks	n_exons	n_merges	n_introns	frame_steps	cds_bp	span_bp	total_intron_bp	median_intron_bp	max_intron_bp	min_intron_bp_seen	mean_exon_bp	frame_balance_bp	canonical_junctions	minor_junctions	non_canonical_junctions	frac_canonical	in_scope	excluded_by
GCA_033238685.1	Lates japonicus	Actinopteri		RYR	1	MP000052	A0A6I8Q6P7	RYR1	0	Q92736	+	BRZM01000015.1	353264	417450	1	0.7475	1	5037	5037	100	100	0	99	15	15270	64187	48917	148	14547	79	152.7	156	99	0	0	1	1	
GCA_033238685.1	Lates japonicus	Actinopteri		RYR	5	MP000068	A0A4W3I1N0		0	Q92736	-	BRZM01000052.1	2634345	2719068	0.9972	0.6131	15	4982	4968	91	91	0	90	10	14422	84724	70302	399.5	4875	79	158.48	-482	88	2	0	1	1	
GCA_033238685.1	Lates japonicus	Actinopteri		RYR	3	MP000062	A0A8V0Y8K1	RYR2	0	Q92736	+	BRZM01000065.1	1502864	1561407	1	0.6507	1	4968	4968	104	104	0	103	1	14879	58544	43665	270	2067	89	143.07	-28	102	1	0	1	1	
GCA_033238685.1	Lates japonicus	Actinopteri		RYR	0	MP000063	A0AC58GZ77	RYR2	0	Q92736	+	BRZM01000068.1	1428669	1599443	1	0.8547	1	4961	4961	114	114	0	113	5	14951	170775	155824	512	41742	80	131.15	65	111	2	0	1	1	
GCA_035590135.1	Circaetus pectoralis	Aves	Accipitriformes	ITPR1	0	MP000003	A0A8V0ZJT0	ITPR1	0	Q14643	+	JAVJGK010000037.1	22503218	22677482	1	0.9924	1	2779	2779	62	62	0	61	0	8337	174265	165928	1348	32664	83	134.47	-3	60	1	0	1	0	A2_contig_cannot_span_the_gene
GCA_035590135.1	Circaetus pectoralis	Aves	Accipitriformes	ITPR2	0	MP000053	A0A672UP22	ITPR2	0	Q14571	+	JAVJGK010000024.1	9317024	9550864	0.9885	0.9884	32	2700	2669	56	56	0	55	0	8007	233841	225834	1697	39528	101	142.98	-3	54	1	0	1	0	A2_contig_cannot_span_the_gene
GCA_035590135.1	Circaetus pectoralis	Aves	Accipitriformes	ITPR3	0	MP000018	A0A8V1ACE6	ITPR3	0	Q14573	+	JAVJGK010000054.1	4301528	4343760	1	0.9899	1	2664	2664	58	58	0	57	0	7995	42233	34238	289	8134	82	137.84	0	56	1	0	1	0	A2_contig_cannot_span_the_gene
GCA_035590135.1	Circaetus pectoralis	Aves	Accipitriformes	RYR	1	MP000033	A0A6I8Q6P7	RYR1	0	Q92736	+	JAVJGK010000032.1	12640839	12886101	1	0.6748	1	5037	5037	102	102	0	101	0	14790	245263	230473	1119	50349	109	145	-324	100	1	0	1	0	A2_contig_cannot_span_the_gene
GCA_035590135.1	Circaetus pectoralis	Aves	Accipitriformes	RYR	0	MP000036	A0A8V0Y8K1	RYR2	0	Q92736	-	JAVJGK010000051.1	8106347	8556408	1	0.9853	1	4968	4968	104	104	0	103	0	14913	450062	435149	1757	99686	122	143.39	6	103	0	0	1	0	A2_contig_cannot_span_the_gene
GCA_035590135.1	Circaetus pectoralis	Aves	Accipitriformes	RYR	2	MP000034	A0A6I8Q6P7	RYR1	0	Q92736	+	JAVJGK010000078.1	9190	72125	0.9821	0.6355	91	5037	4947	78	78	0	77	4	14075	62936	48861	468	4795	81	180.45	-766	73	1	3	0.961	0	A2_contig_cannot_span_the_gene
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	Cypriniformes	ITPR1	0	MP000009	A0A8M2BDG0	ITPR1	0	Q14643	+	CM070012.1	25047354	25086266	1	0.9691	1	2711	2711	60	60	0	59	0	8139	38913	30774	142	3727	71	135.65	3	58	1	0	1	1	
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	Cypriniformes	ITPR1	1	MP000076	A0A672IUQ7	ITPR1	0	Q14643	+	CM070017.1	6969882	7134945	1	0.88	1	2748	2748	58	58	0	57	0	8190	165064	156874	1386	19903	77	141.21	-57	57	0	0	1	1	
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	Cypriniformes	ITPR2	0	MP000029	A0A8M9PQQ3	ITPR2	0	Q14571	+	CM070024.1	10536323	10652643	1	0.9288	1	2665	2665	56	56	0	55	0	8073	116321	108248	887	24217	78	144.16	75	55	0	0	1	1	
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	Cypriniformes	ITPR3	0	MP000046	A0A8M6Z266	ITPR3	0	Q14573	-	CM070014.1	10417496	10458965	1	0.9425	1	2635	2635	58	58	0	57	0	7926	41470	33544	211	2559	74	136.66	21	56	1	0	1	1	
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	Cypriniformes	RYR	1	MP000055	A0A6I8Q6P7	RYR1	0	Q92736	+	CM070016.1	19907049	19984684	1	0.8133	1	5037	5037	105	105	0	104	0	15054	77636	62582	108	9135	72	143.37	-60	104	0	0	1	1	
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	Cypriniformes	RYR	0	MP000064	A0AC58GZ77	RYR2	0	Q92736	+	CM070018.1	329855	427158	1	0.971	1	4961	4961	105	105	0	104	0	14922	97304	82382	236	21752	69	142.11	36	104	0	0	1	1	
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	Cypriniformes	RYR	5	MP000075	A0AAJ7XD62		0	Q92736	-	CM070023.1	4005047	4077787	0.9996	0.5462	3	5168	5166	98	98	0	97	4	15046	72741	57695	194	3141	76	153.53	-455	96	1	0	1	1	
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	Cypriniformes	RYR	3	MP000061	Q92736	RYR2	0	Q92736	-	CM070023.1	6053681	6231277	1	0.6796	1	4967	4967	103	103	0	102	3	14816	177597	162781	1345.5	18731	68	143.84	-88	102	0	0	1	1	
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	Cypriniformes	RYR	2	MP000056	A0A6I8Q6P7	RYR1	0	Q92736	+	CM070024.1	19819194	19936011	1	0.8028	1	5037	5037	104	104	0	103	0	15324	116818	101494	141	20107	74	147.35	210	102	1	0	1	1	
GCA_036247105.2	Cirrhinus mrigala	Actinopteri	Cypriniformes	RYR	4	MP000059	A0A6I8Q6P7	RYR1	0	Q92736	-	CM070026.1	20868657	20979752	1	0.6588	1	5037	5037	100	100	0	99	1	14749	111096	96347	193	18556	58	147.49	-365	98	0	1	0.9899	1	
GCA_036250305.1	Ataeniobius toweri	Actinopteri	Cyprinodontiformes	ITPR1	0	MP000089	A0A672IUQ7	ITPR1	0	Q14643	-	JAHUTI010000884.1	6923	22389	0.4967	0.9116	335	1699	1365	26	26	0	25	0	4176	15467	11291	98	2563	77	160.62	81	25	0	0	1	0	A1_not_a_gene_copy
GCA_036250305.1	Ataeniobius toweri	Actinopteri	Cyprinodontiformes	ITPR1	1	MP000090	A0A672IUQ7	ITPR1	0	Q14643	+	JAHUTI010042598.1	997	9209	0.3777	0.8826	383	1420	1038	20	20	0	19	0	3105	8213	5108	127	1299	79	155.25	-9	19	0	0	1	0	A1_not_a_gene_copy
GCA_036250305.1	Ataeniobius toweri	Actinopteri	Cyprinodontiformes	ITPR2	0	MP000094	A0AAX7UHL1	ITPR2	0	Q14571	+	JAHUTI010019866.1	10281	40326	0.3688	0.8064	1706	2701	996	19	19	0	18	0	2994	30046	27052	137	8294	71	157.58	6	17	0	1	0.9444	0	A1_not_a_gene_copy
GCA_036250305.1	Ataeniobius toweri	Actinopteri	Cyprinodontiformes	ITPR3	0	MP000097	A0A8C6KWV8	ITPR3	0	Q14573	+	JAHUTI010049480.1	2569	26960	0.5712	0.909	1146	2670	1525	33	33	0	32	0	4617	24392	19775	224.5	2142	72	139.91	39	32	0	0	1	0	A2_contig_cannot_span_the_gene
GCA_036250305.1	Ataeniobius toweri	Actinopteri	Cyprinodontiformes	ITPR3	2	MP000126	A0A6J0TV85	ITPR3	0	Q14573	-	JAHUTI010061784.1	1536	8414	0.1482	0.8734	122	516	395	10	10	0	9	0	1185	6879	5694	329	2410	90	118.5	0	9	0	0	1	0	A1_not_a_gene_copy
GCA_036250305.1	Ataeniobius toweri	Actinopteri	Cyprinodontiformes	ITPR3	1	MP000099	A0A8C6KWV8	ITPR3	0	Q14573	-	JAHUTI010080507.1	1260	12555	0.2206	0.8718	571	1159	589	12	12	0	11	0	1761	11296	9535	206	3034	74	146.75	-6	11	0	0	1	0	A1_not_a_gene_copy
GCA_036250305.1	Ataeniobius toweri	Actinopteri	Cyprinodontiformes	RYR	3	MP000072	A0A6I8Q6P7	RYR1	0	Q92736	+	JAHUTI010001663.1	2550	14537	0.2386	0.8201	271	1472	1202	22	22	0	21	0	3597	11988	8391	135	1657	79	163.5	-9	20	1	0	1	0	A1_not_a_gene_copy
GCA_036250305.1	Ataeniobius toweri	Actinopteri	Cyprinodontiformes	RYR	2	MP000081	A0AC58GZ77	RYR2	0	Q92736	-	JAHUTI010009873.1	10419	55119	0.5352	0.6285	1	2655	2655	52	52	0	51	0	8031	44701	36670	241	2834	78	154.44	66	50	1	0	1	0	A2_contig_cannot_span_the_gene
GCA_036250305.1	Ataeniobius toweri	Actinopteri	Cyprinodontiformes	RYR	0	MP000070	A0A6I8Q6P7	RYR1	0	Q92736	+	JAHUTI010039425.1	417	51275	0.7074	0.7999	1475	5037	3563	73	73	0	72	0	10752	50859	40107	133	4332	78	147.29	60	70	2	0	1	0	A2_contig_cannot_span_the_gene
GCA_036250305.1	Ataeniobius toweri	Actinopteri	Cyprinodontiformes	RYR	1	MP000071	A0A6I8Q6P7	RYR1	0	Q92736	+	JAHUTI010059390.1	354	29518	0.5743	0.7884	860	3752	2893	59	59	0	58	0	8787	29165	20378	100	6174	72	148.93	108	57	1	0	1	0	A2_contig_cannot_span_the_gene
GCA_036250305.1	Ataeniobius toweri	Actinopteri	Cyprinodontiformes	RYR	4	MP000085	A0A4W3I1N0		0	Q92736	-	JAHUTI010079385.1	738	25504	0.2862	0.641	274	1699	1426	26	26	0	25	2	4212	24767	20555	595	2432	92	162	-66	25	0	0	1	0	A1_not_a_gene_copy
GCA_036250325.1	Characodon lateralis	Actinopteri	Cyprinodontiformes	ITPR1	0	MP000082	A0A672IUQ7	ITPR1	0	Q14643	-	JAHUTJ010058458.1	7046	22045	0.4949	0.9128	335	1694	1360	26	26	0	25	0	4161	15000	10839	98	2580	77	160.04	81	25	0	0	1	0	A1_not_a_gene_copy
GCA_036250325.1	Characodon lateralis	Actinopteri	Cyprinodontiformes	ITPR1	1	MP000083	A0A672IUQ7	ITPR1	0	Q14643	-	JAHUTJ010067284.1	7769	16050	0.3777	0.8826	383	1420	1038	20	20	0	19	0	3105	8282	5177	127	1301	79	155.25	-9	19	0	0	1	0	A1_not_a_gene_copy
GCA_036250325.1	Characodon lateralis	Actinopteri	Cyprinodontiformes	ITPR2	0	MP000084	A0AAX7UHL1	ITPR2	0	Q14571	-	JAHUTJ010065589.1	4292	46933	0.6312	0.8172	1	1705	1705	36	36	0	35	0	5139	42642	37503	260	7502	71	142.75	24	35	0	0	1	0	A2_contig_cannot_span_the_gene
GCA_036250325.1	Characodon lateralis	Actinopteri	Cyprinodontiformes	ITPR3	0	MP000086	A0A8C6KWV8	ITPR3	0	Q14573	+	JAHUTJ010058461.1	415	13303	0.3618	0.9059	1705	2670	966	20	20	0	19	0	2937	12889	9952	196	2553	74	146.85	36	19	0	0	1	0	A1_not_a_gene_copy
GCA_036250325.1	Characodon lateralis	Actinopteri	Cyprinodontiformes	RYR	5	MP000071	A0A4W3I1N0		0	Q92736	-	JAHUTJ010000588.1	409	29260	0.3599	0.6184	274	2066	1793	30	30	0	29	2	5257	28852	23595	548	2473	92	175.23	-122	29	0	0	1	0	A1_not_a_gene_copy
GCA_036250325.1	Characodon lateralis	Actinopteri	Cyprinodontiformes	RYR	1	MP000038	A0A6I8Q6P7	RYR1	0	Q92736	-	JAHUTJ010017076.1	2854	26495	0.3095	0.7896	3479	5037	1559	33	33	0	32	0	4671	23642	18971	132.5	4328	81	141.55	-9	32	0	0	1	0	A1_not_a_gene_copy
GCA_036250325.1	Characodon lateralis	Actinopteri	Cyprinodontiformes	RYR	0	MP000099	A0A3Q0HBW9	RYR2	0	Q92736	+	JAHUTJ010041364.1	910	35558	0.4633	0.6442	2404	4713	2310	52	52	0	51	0	6873	34649	27776	220	3129	77	132.17	-57	51	0	0	1	0	A1_not_a_gene_copy
GCA_036250325.1	Characodon lateralis	Actinopteri	Cyprinodontiformes	RYR	6	MP000041	A0A6I8Q6P7	RYR1	0	Q92736	+	JAHUTJ010043295.1	549	13183	0.2718	0.8107	1475	2843	1369	25	25	0	24	0	4125	12635	8510	112.5	2477	78	165	18	24	0	0	1	0	A1_not_a_gene_copy
GCA_036250325.1	Characodon lateralis	Actinopteri	Cyprinodontiformes	RYR	4	MP000068	A0A4W3I1N0		0	Q92736	-	JAHUTJ010050206.1	1254	23336	0.2798	0.8288	2416	3809	1394	36	36	0	35	0	4176	22083	17907	103	6208	75	116	-6	34	1	0	1	0	A1_not_a_gene_copy
GCA_036250325.1	Characodon lateralis	Actinopteri	Cyprinodontiformes	RYR	2	MP000110	H3BGR5	RYR1	0	Q92736	+	JAHUTJ010059886.1	1020	12327	0.2998	0.7539	911	2416	1506	24	24	0	23	0	4620	11308	6688	101	1259	71	192.5	102	23	0	0	1	0	A1_not_a_gene_copy
GCA_036250325.1	Characodon lateralis	Actinopteri	Cyprinodontiformes	RYR	3	MP000039	A0A6I8Q6P7	RYR1	0	Q92736	+	JAHUTJ010066910.1	2580	18775	0.2746	0.827	90	1472	1383	28	28	0	27	0	4140	16196	12056	124	2158	81	147.86	-9	26	1	0	1	0	A1_not_a_gene_copy
GCA_036250325.1	Characodon lateralis	Actinopteri	Cyprinodontiformes	RYR	7	MP000046	Q92736	RYR2	0	Q92736	+	JAHUTJ010073835.1	19015	64678	0.3264	0.6607	17	1637	1621	33	33	0	32	0	4734	45664	40930	763.5	7706	71	143.45	-129	31	1	0	1	0	A1_not_a_gene_copy
GCA_036250325.1	Characodon lateralis	Actinopteri	Cyprinodontiformes	RYR	8	MP000061	A0AC58GZ77	RYR2	0	Q92736	+	JAHUTJ010074713.1	1429	24050	0.3517	0.6071	1198	2942	1745	33	33	0	32	0	5250	22622	17372	182.5	2521	78	159.09	15	32	0	0	1	0	A1_not_a_gene_copy
GCA_036250325.1	Characodon lateralis	Actinopteri	Cyprinodontiformes	vertebrate_basal	0	MP000034	A0AAJ7U4X1		1		-	JAHUTJ010057836.1	8179	33273	0.1818	0.7437	2238	2753	516	10	10	0	9	0	1533	25095	23562	887	12142	105	153.3	-15	9	0	0	1	0	A0_cell_vertebrate_basal
GCA_040091285.1	Ameca splendens	Actinopteri	Cyprinodontiformes	ITPR1	1	MP000107	A0A672IUQ7	ITPR1	0	Q14643	-	JAHRIP010040266.1	2402	10671	0.3777	0.8826	383	1420	1038	20	20	0	19	0	3105	8270	5165	127	1286	79	155.25	-9	19	0	0	1	0	A1_not_a_gene_copy
GCA_040091285.1	Ameca splendens	Actinopteri	Cyprinodontiformes	ITPR1	2	MP000108	A0A672IUQ7	ITPR1	0	Q14643	-	JAHRIP010056752.1	959	31082	0.2667	0.8842	1698	2430	733	14	14	0	13	0	2184	30124	27940	1666	7653	89	156	-15	13	0	0	1	0	A1_not_a_gene_copy
GCA_040091285.1	Ameca splendens	Actinopteri	Cyprinodontiformes	ITPR1	0	MP000106	A0A672IUQ7	ITPR1	0	Q14643	+	JAHRIP010075822.1	983	16406	0.4967	0.9088	335	1699	1365	26	26	0	25	0	4176	15424	11248	107	2561	77	160.62	81	25	0	0	1	0	A1_not_a_gene_copy
GCA_040091285.1	Ameca splendens	Actinopteri	Cyprinodontiformes	ITPR2	0	MP000111	A0AAX7UHL1	ITPR2	0	Q14571	-	JAHRIP010047186.1	4845	35213	0.3688	0.8093	1706	2701	996	19	19	0	18	0	2994	30369	27375	136.5	8634	70	157.58	6	17	0	1	0.9444	0	A1_not_a_gene_copy
GCA_040091285.1	Ameca splendens	Actinopteri	Cyprinodontiformes	ITPR2	1	MP000112	A0AAX7UHL1	ITPR2	0	Q14571	-	JAHRIP010076971.1	3539	15150	0.3602	0.7638	733	1705	973	18	18	0	17	0	2970	11612	8642	235	2085	70	165	51	17	0	0	1	0	A1_not_a_gene_copy
GCA_040091285.1	Ameca splendens	Actinopteri	Cyprinodontiformes	ITPR2	2	MP000114	A0AAX7UHL1	ITPR2	0	Q14571	-	JAHRIP010084820.1	402	28164	0.2121	0.899	1	573	573	15	15	0	14	0	1713	27763	26050	1009.5	7539	77	114.2	-6	14	0	0	1	0	A1_not_a_gene_copy
GCA_040091285.1	Ameca splendens	Actinopteri	Cyprinodontiformes	ITPR3	0	MP000115	A0A8C6KWV8	ITPR3	0	Q14573	+	JAHRIP010029351.1	940	20580	0.4869	0.9093	1170	2469	1300	28	28	0	27	0	3936	19641	15705	200	2279	72	140.57	36	27	0	0	1	0	A1_not_a_gene_copy
GCA_040091285.1	Ameca splendens	Actinopteri	Cyprinodontiformes	ITPR3	1	MP000118	A0A8C6KWV8	ITPR3	0	Q14573	-	JAHRIP010038062.1	1718	29016	0.1431	0.9634	1	382	382	11	11	0	10	0	1146	27299	26153	578	13249	90	104.18	0	10	0	0	1	0	A1_not_a_gene_copy
GCA_040091285.1	Ameca splendens	Actinopteri	Cyprinodontiformes	RYR	1	MP000086	A0A6I8Q6P7	RYR1	0	Q92736	-	JAHRIP010009702.1	2905	35593	0.4048	0.8011	2999	5037	2039	44	44	0	43	0	6066	32689	26623	156	4325	81	137.86	-54	43	0	0	1	0	A1_not_a_gene_copy
GCA_040091285.1	Ameca splendens	Actinopteri	Cyprinodontiformes	RYR	2	MP000087	A0A6I8Q6P7	RYR1	0	Q92736	-	JAHRIP010028227.1	17807	41737	0.2891	0.8275	17	1472	1456	30	30	0	29	0	4359	23931	19572	125	5699	79	145.3	-9	28	1	0	1	0	A1_not_a_gene_copy
GCA_040091285.1	Ameca splendens	Actinopteri	Cyprinodontiformes	RYR	3	MP000155	A0A3Q0HBW9	RYR2	0	Q92736	+	JAHRIP010029211.1	513	20934	0.3087	0.6362	3175	4713	1539	32	32	0	31	0	4599	20422	15823	257	2315	78	143.72	-18	31	0	0	1	0	A1_not_a_gene_copy
GCA_040091285.1	Ameca splendens	Actinopteri	Cyprinodontiformes	RYR	0	MP000085	A0A6I8Q6P7	RYR1	0	Q92736	-	JAHRIP010037930.1	2008	36772	0.5952	0.7909	860	3857	2998	63	63	0	62	0	9102	34765	25663	99	6172	72	144.48	108	61	1	0	1	0	A2_contig_cannot_span_the_gene
GCA_040091305.1	Ilyodon furcidens	Actinopteri	Cyprinodontiformes	ITPR1	1	MP000143	A0A672IUQ7	ITPR1	0	Q14643	+	JAHRIQ010071880.1	985	9334	0.3777	0.8826	383	1420	1038	20	20	0	19	0	3105	8350	5245	127	1293	79	155.25	-9	19	0	0	1	0	A1_not_a_gene_copy
GCA_040091305.1	Ilyodon furcidens	Actinopteri	Cyprinodontiformes	ITPR1	0	MP000142	A0A672IUQ7	ITPR1	0	Q14643	-	JAHRIQ010092941.1	17397	32780	0.4967	0.9116	335	1699	1365	26	26	0	25	0	4176	15384	11208	98	2557	77	160.62	81	25	0	0	1	0	A1_not_a_gene_copy
GCA_040091305.1	Ilyodon furcidens	Actinopteri	Cyprinodontiformes	ITPR2	0	MP000147	A0AAX7UHL1	ITPR2	0	Q14571	+	JAHRIQ010000194.1	10346	35914	0.3595	0.7992	1706	2676	971	18	18	0	17	0	2925	25569	22644	134	8582	71	162.5	12	16	0	1	0.9412	0	A1_not_a_gene_copy
GCA_040091305.1	Ilyodon furcidens	Actinopteri	Cyprinodontiformes	ITPR2	1	MP000148	A0AAX7UHL1	ITPR2	0	Q14571	-	JAHRIQ010024774.1	3648	15057	0.3602	0.7648	733	1705	973	18	18	0	17	0	2970	11410	8440	234	2092	71	165	51	17	0	0	1	0	A1_not_a_gene_copy
GCA_040091305.1	Ilyodon furcidens	Actinopteri	Cyprinodontiformes	ITPR2	2	MP000150	A0AAX7UHL1	ITPR2	0	Q14571	+	JAHRIQ010058323.1	628	28495	0.2121	0.8955	1	573	573	15	15	0	14	0	1713	27868	26155	1010	7557	77	114.2	-6	14	0	0	1	0	A1_not_a_gene_copy
GCA_040091305.1	Ilyodon furcidens	Actinopteri	Cyprinodontiformes	ITPR3	0	MP000152	A0A8C6KWV8	ITPR3	0	Q14573	-	JAHRIQ010059953.1	480	12244	0.306	0.9078	1170	1986	817	17	17	0	16	0	2472	11765	9293	198	2199	67	145.41	21	16	0	0	1	0	A1_not_a_gene_copy
GCA_040091305.1	Ilyodon furcidens	Actinopteri	Cyprinodontiformes	ITPR3	1	MP000153	A0A8C6KWV8	ITPR3	0	Q14573	+	JAHRIQ010082280.1	1622	10301	0.2566	0.9043	1986	2670	685	15	15	0	14	0	2073	8680	6607	195.5	1261	74	138.2	15	14	0	0	1	0	A1_not_a_gene_copy
GCA_040091305.1	Ilyodon furcidens	Actinopteri	Cyprinodontiformes	ITPR3	2	MP000155	A0A8C6KWV8	ITPR3	0	Q14573	-	JAHRIQ010092961.1	3726	23488	0.2022	0.9389	32	571	540	14	14	0	13	0	1620	19763	18143	573	5393	100	115.71	0	13	0	0	1	0	A1_not_a_gene_copy
GCA_040091305.1	Ilyodon furcidens	Actinopteri	Cyprinodontiformes	RYR	5	MP000103	A0A6I8Q6P7	RYR1	0	Q92736	+	JAHRIQ010002590.1	515	7111	0.1981	0.8467	2477	3474	998	24	24	0	23	0	2988	6597	3609	95	822	76	124.5	-6	22	1	0	1	0	A1_not_a_gene_copy
GCA_040091305.1	Ilyodon furcidens	Actinopteri	Cyprinodontiformes	RYR	6	MP000104	A0A6I8Q6P7	RYR1	0	Q92736	+	JAHRIQ010012273.1	691	22036	0.2053	0.823	2843	3876	1034	28	28	0	27	0	3075	21346	18271	133	4298	83	109.82	-27	25	2	0	1	0	A1_not_a_gene_copy
GCA_040091305.1	Ilyodon furcidens	Actinopteri	Cyprinodontiformes	RYR	7	MP000123	A0AC58GZ77	RYR2	0	Q92736	-	JAHRIQ010035639.1	1862	20530	0.2899	0.5949	871	2308	1438	25	25	0	24	0	4320	18669	14349	201.5	2952	79	172.8	6	24	0	0	1	0	A1_not_a_gene_copy
GCA_040091305.1	Ilyodon furcidens	Actinopteri	Cyprinodontiformes	RYR	9	MP000117	A0A8V0Y8K1	RYR2	0	Q92736	+	JAHRIQ010035938.1	1270	16953	0.2242	0.6382	538	1651	1114	20	20	0	19	0	3234	15684	12450	346	2160	92	161.7	-108	18	1	0	1	0	A1_not_a_gene_copy
GCA_040091305.1	Ilyodon furcidens	Actinopteri	Cyprinodontiformes	RYR	0	MP000098	A0A6I8Q6P7	RYR1	0	Q92736	+	JAHRIQ010036659.1	820	13908	0.3188	0.7565	930	2535	1606	26	26	0	25	0	4917	13089	8172	100	1405	72	189.12	99	25	0	0	1	0	A1_not_a_gene_copy
GCA_040091305.1	Ilyodon furcidens	Actinopteri	Cyprinodontiformes	RYR	3	MP000198	A0A3Q0HBW9	RYR2	0	Q92736	-	JAHRIQ010046608.1	5181	32429	0.3032	0.6987	3475	4986	1512	32	32	0	31	0	4479	27249	22770	506	2673	74	139.97	-60	31	0	0	1	0	A1_not_a_gene_copy
GCA_040091305.1	Ilyodon furcidens	Actinopteri	Cyprinodontiformes	RYR	2	MP000130	A0A4W3I1N0		0	Q92736	+	JAHRIQ010046898.1	855	24140	0.3575	0.6394	2917	4697	1781	37	37	0	36	1	5255	23286	18031	213.5	2310	77	142.03	-88	36	0	0	1	0	A1_not_a_gene_copy
GCA_040091305.1	Ilyodon furcidens	Actinopteri	Cyprinodontiformes	RYR	4	MP000214	H3BGR5	RYR1	0	Q92736	-	JAHRIQ010047760.1	2893	13613	0.2353	0.7977	3843	5024	1182	22	22	0	21	0	3543	10721	7178	147	1393	81	161.05	-6	21	0	0	1	0	A1_not_a_gene_copy
GCA_040091305.1	Ilyodon furcidens	Actinopteri	Cyprinodontiformes	RYR	8	MP000217	H3BGR5	RYR1	0	Q92736	-	JAHRIQ010062061.1	288	7357	0.1686	0.8528	1979	2825	847	18	18	0	17	0	2541	7070	4529	112	1242	79	141.17	0	17	0	0	1	0	A1_not_a_gene_copy
GCA_040091305.1	Ilyodon furcidens	Actinopteri	Cyprinodontiformes	RYR	10	MP000127	A0AC58GZ77	RYR2	0	Q92736	-	JAHRIQ010083533.1	1067	11162	0.1383	0.8237	4245	4930	686	16	16	0	15	0	2118	10096	7978	206	1472	83	132.38	60	14	1	0	1	0	A1_not_a_gene_copy
GCA_040091305.1	Ilyodon furcidens	Actinopteri	Cyprinodontiformes	RYR	1	MP000099	A0A6I8Q6P7	RYR1	0	Q92736	+	JAHRIQ010093521.1	2841	19564	0.2746	0.8277	90	1472	1383	28	28	0	27	0	4140	16724	12584	125	2154	79	147.86	-9	26	1	0	1	0	A1_not_a_gene_copy
GCA_040091325.1	Goodea atripinnis	Actinopteri	Cyprinodontiformes	ITPR1	1	MP000112	A0A672IUQ7	ITPR1	0	Q14643	-	JAHRIO010012619.1	2555	10832	0.3777	0.8845	383	1420	1038	20	20	0	19	0	3105	8278	5173	127	1301	79	155.25	-9	19	0	0	1	0	A1_not_a_gene_copy
GCA_040091325.1	Goodea atripinnis	Actinopteri	Cyprinodontiformes	ITPR1	2	MP000113	A0A672IUQ7	ITPR1	0	Q14643	+	JAHRIO010040257.1	9876	39458	0.2664	0.8868	1698	2429	732	14	14	0	13	0	2181	29583	27402	1643	7702	86	155.79	-15	13	0	0	1	0	A1_not_a_gene_copy
GCA_040091325.1	Goodea atripinnis	Actinopteri	Cyprinodontiformes	ITPR1	0	MP000111	A0A672IUQ7	ITPR1	0	Q14643	+	JAHRIO010081053.1	839	16257	0.4967	0.9088	335	1699	1365	26	26	0	25	0	4176	15419	11243	107	2532	73	160.62	81	25	0	0	1	0	A1_not_a_gene_copy
GCA_040091325.1	Goodea atripinnis	Actinopteri	Cyprinodontiformes	ITPR2	2	MP000119	A0AAX7UHL1	ITPR2	0	Q14571	+	JAHRIO010020706.1	6875	27138	0.2007	0.895	32	573	542	14	14	0	13	0	1620	20264	18644	670	6610	77	115.71	-6	13	0	0	1	0	A1_not_a_gene_copy
GCA_040091325.1	Goodea atripinnis	Actinopteri	Cyprinodontiformes	ITPR2	1	MP000117	A0AAX7UHL1	ITPR2	0	Q14571	-	JAHRIO010031817.1	4181	15801	0.3602	0.7638	733	1705	973	18	18	0	17	0	2970	11621	8651	236	2074	71	165	51	17	0	0	1	0	A1_not_a_gene_copy
GCA_040091325.1	Goodea atripinnis	Actinopteri	Cyprinodontiformes	ITPR2	0	MP000116	A0AAX7UHL1	ITPR2	0	Q14571	+	JAHRIO010070237.1	9264	39528	0.3688	0.8083	1706	2701	996	19	19	0	18	0	2994	30265	27271	137.5	8562	70	157.58	6	17	0	1	0.9444	0	A1_not_a_gene_copy
GCA_040091325.1	Goodea atripinnis	Actinopteri	Cyprinodontiformes	ITPR3	1	MP000124	A0A8C6KWV8	ITPR3	0	Q14573	-	JAHRIO010014175.1	206	5844	0.1813	0.8998	1986	2469	484	11	11	0	10	0	1467	5639	4172	189.5	1058	76	133.36	15	10	0	0	1	0	A1_not_a_gene_copy
GCA_040091325.1	Goodea atripinnis	Actinopteri	Cyprinodontiformes	ITPR3	3	MP000173	H3B932	ITPR3	0	Q14573	-	JAHRIO010040554.1	254	27919	0.117	0.7412	1	313	313	8	8	0	7	0	897	27666	26769	2131	15604	82	112.12	-42	7	0	0	1	0	A1_not_a_gene_copy
