n_introns_a	n_introns_b	n_introns_b_in_shared	n_shared_columns	observed	expected_analytic	p_analytic	n_perm	expected_perm	p_perm	accession	organism	vclass	cell_a	cell_b	tolerance	is_operating_point	frame_via_cell
58	102	43	2213	1	0.419	0.344315	1000	0.417	0.35265	GCF_963921795.1	Nannobrachium achirus	Actinopteri	ITPR1	RYR	0	1	0
59	102	49	2244	1	0.514	0.404191	1000	0.54	0.41958	GCF_963921805.1	Phalacrocorax carbo	Aves	ITPR1	RYR	0	1	0
50	101	43	2213	1	0.348	0.295149	1000	0.337	0.2967	GCF_963971535.1	Notolepis coatsorum	Actinopteri	ITPR1	RYR	0	1	0
56	99	43	2213	1	0.419	0.344315	1000	0.409	0.33367	GCF_963989245.1	Nansenia antarctica	Actinopteri	ITPR1	RYR	0	1	0
55	110	49	2229	1	0.474	0.379162	1000	0.486	0.38961	GCF_964187855.1	Myxine glutinosa	Myxini	ITPR1	RYR	0	1	0
59	102	49	2244	1	0.514	0.404191	1000	0.535	0.42857	GCF_964195595.1	Calonectris borealis	Aves	ITPR1	RYR	0	1	0
59	100	46	2237	1	0.463	0.372338	1000	0.449	0.35764	GCF_964237555.1	Oryctolagus cuniculus	Mammalia	ITPR1	RYR	0	1	0
59	102	49	2244	1	0.502	0.396642	1000	0.53	0.4046	GCF_964237585.1	Gallinula chloropus	Aves	ITPR1	RYR	0	1	0
58	100	46	2237	1	0.467	0.37515	1000	0.456	0.36064	GCF_964261635.1	Lissotriton helveticus	Amphibia	ITPR1	RYR	0	1	0
59	98	45	2229	1	0.469	0.376581	1000	0.487	0.38861	GCF_964289735.1	Phaethon aethereus	Aves	ITPR1	RYR	0	1	0
59	102	49	2244	1	0.514	0.404191	1000	0.51	0.40859	GCF_964417175.1	Larus argentatus	Aves	ITPR1	RYR	0	1	0
57	99	42	2213	1	0.405	0.334954	1000	0.432	0.36064	GCF_964638095.1	Poromitra crassiceps	Actinopteri	ITPR1	RYR	0	1	0
59	102	49	2244	1	0.514	0.404191	1000	0.506	0.3976	GCF_965183815.1	Platalea leucorodia	Aves	ITPR1	RYR	0	1	0
56	99	46	2228	1	0.425	0.347691	1000	0.454	0.35964	GCF_965601325.1	Salmo salar	Actinopteri	ITPR1	RYR	0	1	0
59	102	49	2244	1	0.514	0.404191	1000	0.53	0.41658	GCF_965638725.1	Aptenodytes patagonicus	Aves	ITPR1	RYR	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.579	0.001	GCA_008658365.1	Alca torda	Aves	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.573	0.001	GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.55	0.001	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.567	0.001	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR2	ITPR3	0	1	0
53	59	56	2550	46	0.546	3.88323e-85	1000	0.55	0.001	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR2	ITPR3	0	1	0
56	55	54	2608	48	0.525	3.7116e-93	1000	0.52	0.001	GCA_013398455.1	Loxia curvirostra	Aves	ITPR2	ITPR3	0	1	0
55	57	55	2550	47	0.561	1.37536e-88	1000	0.541	0.001	GCA_014281875.1	Nibea albiflora	Actinopteri	ITPR2	ITPR3	0	1	0
56	55	54	2608	48	0.525	3.7116e-93	1000	0.546	0.001	GCA_014839755.1	Sylvia borin	Aves	ITPR2	ITPR3	0	1	0
56	55	54	2608	48	0.525	3.7116e-93	1000	0.531	0.001	GCA_015883425.2	Lamprotornis superbus	Aves	ITPR2	ITPR3	0	1	0
54	58	55	2550	48	0.544	8.57558e-92	1000	0.558	0.001	GCA_017639675.1	Aplochiton taeniatus	Actinopteri	ITPR2	ITPR3	0	1	0
40	57	56	2599	27	0.387	6.04091e-44	1000	0.39	0.001	GCA_019447015.1	Hymenochirus boettgeri	Amphibia	ITPR2	ITPR3	0	1	0
56	57	56	2607	49	0.552	7.81595e-94	1000	0.543	0.001	GCA_020745705.1	Hemiprocne comata	Aves	ITPR2	ITPR3	0	1	0
56	57	55	2576	49	0.556	3.2056e-94	1000	0.55	0.001	GCA_022829145.1	Albula goreensis	Actinopteri	ITPR2	ITPR3	0	1	0
56	56	55	2616	49	0.557	4.9747e-94	1000	0.559	0.001	GCA_023764695.1	Pygathrix nigripes	Mammalia	ITPR2	ITPR3	0	1	0
53	59	56	2550	48	0.556	9.70841e-91	1000	0.537	0.001	GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.551	0.001	GCA_028571685.1	Heterohyrax brucei	Mammalia	ITPR2	ITPR3	0	1	0
55	57	54	2550	48	0.568	3.90042e-91	1000	0.533	0.001	GCA_029706075.1	Aldrovandia affinis	Actinopteri	ITPR2	ITPR3	0	1	0
54	59	56	2550	48	0.571	2.8381e-90	1000	0.563	0.001	GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.567	0.001	GCA_031835075.1	Saguinus oedipus	Mammalia	ITPR2	ITPR3	0	1	0
42	59	56	2550	27	0.336	5.17538e-45	1000	0.37	0.001	GCA_033238685.1	Lates japonicus	Actinopteri	ITPR2	ITPR3	0	1	0
55	55	54	2536	46	0.515	8.8492e-88	1000	0.517	0.001	GCA_036247105.2	Cirrhinus mrigala	Actinopteri	ITPR2	ITPR3	0	1	0
55	57	54	2576	49	0.559	1.02751e-94	1000	0.551	0.001	GCA_043380575.1	Atractosteus spatula	Actinopteri	ITPR2	ITPR3	0	1	0
54	59	56	2550	48	0.567	1.1949e-90	1000	0.548	0.001	GCA_046255725.1	Amblyopsis spelaea	Actinopteri	ITPR2	ITPR3	0	1	0
52	57	54	2543	43	0.517	5.33836e-79	1000	0.542	0.001	GCA_047511595.1	Polymixia lowei	Actinopteri	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.561	0.001	GCA_048126345.2	Notoryctes typhlops	Mammalia	ITPR2	ITPR3	0	1	0
54	59	56	2550	49	0.56	2.75076e-93	1000	0.59	0.001	GCA_048569125.1	Diretmus argenteus	Actinopteri	ITPR2	ITPR3	0	1	0
54	59	56	2550	48	0.56	2.29474e-90	1000	0.558	0.001	GCA_050084785.1	Liparis tanakae	Actinopteri	ITPR2	ITPR3	0	1	0
55	55	54	2608	48	0.521	1.32958e-93	1000	0.54	0.001	GCA_054084135.1	Copsychus sechellarum	Aves	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.539	0.001	GCA_054099775.1	Steatornis caripensis	Aves	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.558	0.001	GCA_054644205.1	Lestoros inca	Mammalia	ITPR2	ITPR3	0	1	0
55	59	56	2550	49	0.575	7.44808e-93	1000	0.586	0.001	GCA_054883175.1	Datnioides polota	Actinopteri	ITPR2	ITPR3	0	1	0
56	56	55	2578	50	0.555	2.23019e-97	1000	0.567	0.001	GCA_054883375.1	Arapaima gigas	Actinopteri	ITPR2	ITPR3	0	1	0
55	59	56	2550	50	0.575	7.68101e-96	1000	0.574	0.001	GCA_056506795.1	Pristigenys meyeri	Actinopteri	ITPR2	ITPR3	0	1	0
56	55	54	2608	48	0.525	3.7116e-93	1000	0.514	0.001	GCA_056776345.1	Spizella passerina	Aves	ITPR2	ITPR3	0	1	0
56	57	55	2578	50	0.565	2.64479e-97	1000	0.558	0.001	GCA_056783565.1	Hiodon alosoides	Actinopteri	ITPR2	ITPR3	0	1	0
55	58	56	2576	48	0.555	1.41096e-90	1000	0.524	0.001	GCA_056783665.1	Albula glossodonta	Actinopteri	ITPR2	ITPR3	0	1	0
53	57	53	2550	45	0.517	3.46742e-85	1000	0.519	0.001	GCA_056824565.1	Stylephorus chordatus	Actinopteri	ITPR2	ITPR3	0	1	0
55	57	54	2550	47	0.529	1.44829e-89	1000	0.544	0.001	GCA_056824585.1	Alepocephalus tenebrosus	Actinopteri	ITPR2	ITPR3	0	1	0
56	52	49	2523	47	0.514	4.55815e-94	1000	0.553	0.001	GCA_057876775.1	Echinorhinus cookei	Chondrichthyes	ITPR2	ITPR3	0	1	0
56	55	54	2608	48	0.525	3.7116e-93	1000	0.518	0.001	GCA_058224745.1	Acrocephalus arundinaceus	Aves	ITPR2	ITPR3	0	1	0
54	59	56	2550	49	0.56	2.75076e-93	1000	0.587	0.001	GCA_058707665.1	Platax teira	Actinopteri	ITPR2	ITPR3	0	1	0
54	58	55	2523	47	0.563	7.92462e-88	1000	0.548	0.001	GCA_965364685.1	Capros aper	Actinopteri	ITPR2	ITPR3	0	1	0
56	59	56	2550	49	0.578	1.55102e-92	1000	0.592	0.001	GCA_980438365.1	Acanthurus tractus	Actinopteri	ITPR2	ITPR3	0	1	0
54	59	56	2550	48	0.57	7.00268e-90	1000	0.582	0.001	GCA_984656905.1	Parequula melbournensis	Actinopteri	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.564	0.001	GCA_987193245.1	Pontoporia blainvillei	Mammalia	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.562	0.001	GCF_000001405.40	Homo sapiens	Mammalia	ITPR2	ITPR3	0	1	0
56	57	56	2615	50	0.551	6.58286e-97	1000	0.56	0.001	GCF_000001635.27	Mus musculus	Mammalia	ITPR2	ITPR3	0	1	0
55	57	56	2599	49	0.55	3.374e-94	1000	0.548	0.001	GCF_000004195.4	Xenopus tropicalis	Amphibia	ITPR2	ITPR3	0	1	0
56	55	54	2578	48	0.538	1.01887e-92	1000	0.553	0.001	GCF_001715985.3	Manacus vitellinus	Aves	ITPR2	ITPR3	0	1	0
56	57	56	2615	50	0.551	6.58286e-97	1000	0.514	0.001	GCF_003668045.3	Cricetulus griseus	Mammalia	ITPR2	ITPR3	0	1	0
56	55	54	2568	48	0.53	3.06446e-93	1000	0.555	0.001	GCF_003957555.1	Calypte anna	Aves	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.564	0.001	GCF_004115215.2	Ornithorhynchus anatinus	Mammalia	ITPR2	ITPR3	0	1	0
56	52	51	2524	47	0.53	6.92228e-92	1000	0.518	0.001	GCF_009764475.1	Pristis pectinata	Chondrichthyes	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.556	0.001	GCF_009769465.1	Tauraco erythrolophus	Aves	ITPR2	ITPR3	0	1	0
56	57	54	2550	49	0.561	2.35585e-94	1000	0.526	0.001	GCF_011004845.1	Esox lucius	Actinopteri	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.561	0.001	GCF_011004875.1	Balearica regulorum gibbericeps	Aves	ITPR2	ITPR3	0	1	0
55	57	54	2550	49	0.544	3.99328e-95	1000	0.531	0.001	GCF_013368585.1	Megalops cyprinoides	Actinopteri	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.54	0.001	GCF_013368605.1	Nyctibius grandis	Aves	ITPR2	ITPR3	0	1	0
56	56	55	2608	49	0.539	5.28695e-95	1000	0.505	0.001	GCF_014839835.1	Dryobates pubescens	Aves	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.586	0.001	GCF_016699485.2	Gallus gallus	Aves	ITPR2	ITPR3	0	1	0
53	59	56	2550	48	0.546	8.34477e-91	1000	0.576	0.001	GCF_016859285.1	Xiphias gladius	Actinopteri	ITPR2	ITPR3	0	1	0
56	52	50	2523	46	0.517	6.2614e-90	1000	0.481	0.001	GCF_017639515.1	Carcharodon carcharias	Chondrichthyes	ITPR2	ITPR3	0	1	0
55	55	53	2576	47	0.545	7.96809e-90	1000	0.521	0.001	GCF_017654505.1	Polyodon spathula	Actinopteri	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.576	0.001	GCF_017976375.1	Cuculus canorus	Aves	ITPR2	ITPR3	0	1	0
56	57	56	2607	48	0.542	2.14311e-91	1000	0.581	0.001	GCF_018139145.2	Gymnogyps californianus	Aves	ITPR2	ITPR3	0	1	0
54	58	55	2550	46	0.536	8.39925e-86	1000	0.519	0.001	GCF_018320785.1	Cheilinus undulatus	Actinopteri	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.545	0.001	GCF_018691265.1	Tyto alba	Aves	ITPR2	ITPR3	0	1	0
54	53	51	2493	46	0.544	2.83116e-88	1000	0.535	0.001	GCF_018977255.1	Callorhinchus milii	Chondrichthyes	ITPR2	ITPR3	0	1	0
57	57	55	2607	51	0.573	2.61144e-100	1000	0.544	0.001	GCF_019279795.1	Protopterus annectens	Dipnoi	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.509	0.001	GCF_019393635.1	Dromiciops gliroides	Mammalia	ITPR2	ITPR3	0	1	0
53	58	55	2550	47	0.554	2.65338e-88	1000	0.49	0.001	GCF_019740435.1	Gambusia affinis	Actinopteri	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.567	0.001	GCF_020171115.1	Neogale vison	Mammalia	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.584	0.001	GCF_020740795.1	Apus apus	Aves	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.569	0.001	GCF_020826845.1	Diceros bicornis minor	Mammalia	ITPR2	ITPR3	0	1	0
55	54	53	2488	45	0.492	1.28808e-85	1000	0.517	0.001	GCF_021028975.2	Sphaerodactylus townsendi	Lepidosauria	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.574	0.001	GCF_021613505.1	Equus quagga	Mammalia	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.536	0.001	GCF_023634155.1	Falco peregrinus	Aves	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.572	0.001	GCF_023851605.1	Tamandua tetradactyla	Mammalia	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.546	0.001	GCF_024166365.1	Elephas maximus indicus	Mammalia	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.557	0.001	GCF_025201925.1	Gopherus flavomarginatus	Testudines	ITPR2	ITPR3	0	1	0
55	57	56	2611	49	0.524	1.01139e-94	1000	0.512	0.001	GCF_027244095.1	Hemicordylus capensis	Lepidosauria	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.538	0.001	GCF_027409185.1	Cynocephalus volans	Mammalia	ITPR2	ITPR3	0	1	0
56	55	53	2536	47	0.526	7.07455e-91	1000	0.561	0.001	GCF_027579695.1	Neoarius graeffei	Actinopteri	ITPR2	ITPR3	0	1	0
55	57	56	2599	47	0.539	6.96784e-89	1000	0.517	0.001	GCF_027579735.1	Bombina bombina	Amphibia	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.525	0.001	GCF_027595985.1	Sorex araneus	Mammalia	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.568	0.001	GCF_028372415.1	Notamacropus eugenii	Mammalia	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.582	0.001	GCF_028389875.1	Rhea pennata	Aves	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.498	0.001	GCF_028858725.1	Colius striatus	Aves	ITPR2	ITPR3	0	1	0
56	55	53	2536	47	0.526	7.07455e-91	1000	0.526	0.001	GCF_029633855.1	Hoplias malabaricus	Actinopteri	ITPR2	ITPR3	0	1	0
54	43	40	2567	29	0.397	2.80383e-51	1000	0.434	0.001	GCF_029633865.1	Lampris incognitus	Actinopteri	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.53	0.001	GCF_030020395.1	Manis pentadactyla	Mammalia	ITPR2	ITPR3	0	1	0
56	57	56	2616	49	0.56	2.13215e-93	1000	0.519	0.001	GCF_030445035.2	Dasypus novemcinctus	Mammalia	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.56	0.001	GCF_030463565.1	Pelecanus crispus	Aves	ITPR2	ITPR3	0	1	0
56	55	54	2608	48	0.525	3.7116e-93	1000	0.512	0.001	GCF_030490865.1	Poecile atricapillus	Aves	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.571	0.001	GCF_030867095.1	Alligator mississippiensis	Crocodylia	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.54	0.001	GCF_030867145.1	Opisthocomus hoazin	Aves	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.544	0.001	GCF_030936135.1	Gavia stellata	Aves	ITPR2	ITPR3	0	1	0
55	59	56	2550	50	0.575	7.7935e-96	1000	0.616	0.001	GCF_033026475.1	Channa argus	Actinopteri	ITPR2	ITPR3	0	1	0
54	59	56	2550	49	0.56	2.75076e-93	1000	0.558	0.001	GCF_033807715.1	Cololabis saira	Actinopteri	ITPR2	ITPR3	0	1	0
53	58	55	2547	46	0.541	2.5093e-86	1000	0.517	0.001	GCF_033978785.1	Entelurus aequoreus	Actinopteri	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.547	0.001	GCF_034619465.1	Leptosomus discolor	Aves	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.525	0.001	GCF_034638445.1	Ciconia boyciana	Aves	ITPR2	ITPR3	0	1	0
55	57	54	2550	50	0.554	3.18493e-98	1000	0.592	0.001	GCF_034702125.1	Engraulis encrasicolus	Actinopteri	ITPR2	ITPR3	0	1	0
56	53	51	2524	47	0.53	7.73379e-92	1000	0.556	0.001	GCF_035084215.1	Heptranchias perlo	Chondrichthyes	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.573	0.001	GCF_035582795.1	Mycteria americana	Aves	ITPR2	ITPR3	0	1	0
56	56	55	2607	49	0.539	5.38716e-95	1000	0.515	0.001	GCF_036013445.1	Caloenas nicobarica	Aves	ITPR2	ITPR3	0	1	0
56	52	50	2524	47	0.517	3.22463e-93	1000	0.493	0.001	GCF_036365525.1	Heterodontus francisci	Chondrichthyes	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.58	0.001	GCF_036370855.1	Dromaius novaehollandiae	Aves	ITPR2	ITPR3	0	1	0
55	57	54	2576	49	0.538	2.43e-95	1000	0.57	0.001	GCF_036373705.1	Amia ocellicauda	Actinopteri	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.566	0.001	GCF_036417535.1	Chlamydotis macqueenii	Aves	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.568	0.001	GCF_036417845.1	Apteryx mantelli	Aves	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.503	0.001	GCF_036850765.1	Saccopteryx bilineata	Mammalia	ITPR2	ITPR3	0	1	0
54	53	51	2523	47	0.518	9.89831e-93	1000	0.498	0.001	GCF_036971445.1	Narcine bancroftii	Chondrichthyes	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.58	0.001	GCF_037157495.1	Lathamus discolor	Aves	ITPR2	ITPR3	0	1	0
56	56	55	2601	47	0.53	1.40644e-89	1000	0.528	0.001	GCF_037176945.1	Latimeria chalumnae	Coelacanthimorpha	ITPR2	ITPR3	0	1	0
55	57	56	2616	48	0.546	2.21707e-91	1000	0.542	0.001	GCF_037893015.1	Macrotis lagotis	Mammalia	ITPR2	ITPR3	0	1	0
55	59	56	2550	48	0.564	4.65605e-90	1000	0.583	0.001	GCF_039877785.1	Chaetodon trifascialis	Actinopteri	ITPR2	ITPR3	0	1	0
55	58	55	2550	48	0.558	6.66713e-91	1000	0.569	0.001	GCF_040054535.1	Antennarius striatus	Actinopteri	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.586	0.001	GCF_040807025.1	Struthio camelus	Aves	ITPR2	ITPR3	0	1	0
56	57	54	2576	49	0.562	2.20735e-94	1000	0.562	0.001	GCF_040954835.1	Lepisosteus oculatus	Actinopteri	ITPR2	ITPR3	0	1	0
56	55	54	2608	48	0.525	3.7116e-93	1000	0.487	0.001	GCF_041296385.2	Aphelocoma coerulescens	Aves	ITPR2	ITPR3	0	1	0
55	55	53	2536	47	0.526	7.07455e-91	1000	0.491	0.001	GCF_041902795.1	Electrophorus electricus	Actinopteri	ITPR2	ITPR3	0	1	0
55	57	56	2599	49	0.55	3.374e-94	1000	0.563	0.001	GCF_042186555.1	Aquarana catesbeiana	Amphibia	ITPR2	ITPR3	0	1	0
55	59	56	2550	50	0.575	7.68101e-96	1000	0.552	0.001	GCF_042242105.1	Pempheris klunzingeri	Actinopteri	ITPR2	ITPR3	0	1	0
54	59	56	2550	48	0.571	2.60392e-90	1000	0.537	0.001	GCF_043380555.1	Nothobranchius furzeri	Actinopteri	ITPR2	ITPR3	0	1	0
53	59	56	2550	46	0.557	5.10652e-85	1000	0.573	0.001	GCF_045865225.1	Trachurus japonicus	Actinopteri	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.544	0.001	GCF_047370975.1	Nipponia nippon	Aves	ITPR2	ITPR3	0	1	0
54	53	51	2524	46	0.531	1.1475e-88	1000	0.543	0.001	GCF_047496795.1	Chiloscyllium punctatum	Chondrichthyes	ITPR2	ITPR3	0	1	0
55	53	51	2524	47	0.53	7.73379e-92	1000	0.53	0.001	GCF_047496885.1	Scyliorhinus torazame	Chondrichthyes	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.542	0.001	GCF_047663525.1	Anas platyrhynchos	Aves	ITPR2	ITPR3	0	1	0
55	57	56	2607	49	0.539	2.95985e-94	1000	0.504	0.001	GCF_047716275.1	Strix uralensis	Aves	ITPR2	ITPR3	0	1	0
54	53	50	2523	47	0.514	1.16236e-93	1000	0.545	0.001	GCF_048418815.1	Hemitrygon akajei	Chondrichthyes	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.541	0.001	GCF_048593235.1	Sminthopsis crassicaudata	Mammalia	ITPR2	ITPR3	0	1	0
56	55	54	2576	48	0.556	5.68958e-92	1000	0.532	0.001	GCF_048594095.1	Paramormyrops kingsleyae	Actinopteri	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.535	0.001	GCF_049350105.2	Macaca mulatta	Mammalia	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.549	0.001	GCF_050624435.1	Tenrec ecaudatus	Mammalia	ITPR2	ITPR3	0	1	0
56	55	54	2536	46	0.539	7.13222e-87	1000	0.549	0.001	GCF_052040795.1	Danio rerio	Actinopteri	ITPR2	ITPR3	0	1	0
56	53	51	2523	47	0.53	7.8791e-92	1000	0.49	0.001	GCF_052327205.1	Somniosus microcephalus	Chondrichthyes	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.569	0.001	GCF_054371585.1	Giraffa tippelskirchi	Mammalia	ITPR2	ITPR3	0	1	0
54	57	54	2550	48	0.551	2.25026e-92	1000	0.561	0.001	GCF_054491055.1	Hypomesus nipponensis	Actinopteri	ITPR2	ITPR3	0	1	0
53	59	56	2550	47	0.556	7.24371e-88	1000	0.542	0.001	GCF_056507025.1	Lutjanus erythropterus	Actinopteri	ITPR2	ITPR3	0	1	0
56	59	56	2550	49	0.59	1.99687e-92	1000	0.591	0.001	GCF_057381845.1	Rhamphochromis longiceps	Actinopteri	ITPR2	ITPR3	0	1	0
53	59	55	2550	47	0.542	1.40386e-88	1000	0.535	0.001	GCF_900324485.3	Mastacembelus armatus	Actinopteri	ITPR2	ITPR3	0	1	0
54	59	56	2550	48	0.561	2.33819e-90	1000	0.545	0.001	GCF_900634775.2	Gouania willdenowi	Actinopteri	ITPR2	ITPR3	0	1	0
56	57	55	2576	50	0.552	1.0459e-97	1000	0.519	0.001	GCF_900747795.2	Erpetoichthys calabaricus	Cladistia	ITPR2	ITPR3	0	1	0
52	59	56	2550	47	0.553	3.42244e-88	1000	0.56	0.001	GCF_900880675.2	Sparus aurata	Actinopteri	ITPR2	ITPR3	0	1	0
55	58	55	2550	46	0.582	2.63499e-84	1000	0.582	0.001	GCF_901000725.3	Takifugu rubripes	Actinopteri	ITPR2	ITPR3	0	1	0
56	57	56	2604	50	0.543	6.56007e-97	1000	0.537	0.001	GCF_901001135.2	Rhinatrema bivittatum	Amphibia	ITPR2	ITPR3	0	1	0
53	59	56	2550	47	0.556	7.24371e-88	1000	0.578	0.001	GCF_902148855.1	Sphaeramia orbicularis	Actinopteri	ITPR2	ITPR3	0	1	0
54	59	55	2550	49	0.568	8.30463e-94	1000	0.552	0.001	GCF_902150065.1	Myripristis murdjan	Actinopteri	ITPR2	ITPR3	0	1	0
54	58	55	2545	47	0.559	2.08896e-88	1000	0.534	0.001	GCF_902167405.1	Gadus morhua	Actinopteri	ITPR2	ITPR3	0	1	0
56	55	54	2536	47	0.529	2.63655e-90	1000	0.519	0.001	GCF_902362185.1	Chanos chanos	Actinopteri	ITPR2	ITPR3	0	1	0
54	59	56	2550	47	0.567	9.09077e-88	1000	0.575	0.001	GCF_902500255.1	Thalassophryne amazonica	Actinopteri	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.527	0.001	GCF_907165065.1	Caprimulgus europaeus	Aves	ITPR2	ITPR3	0	1	0
52	59	56	2550	46	0.553	2.29867e-85	1000	0.533	0.001	GCF_933228915.1	Telmatherina bonti	Actinopteri	ITPR2	ITPR3	0	1	0
56	57	56	2607	50	0.552	7.67173e-97	1000	0.551	0.001	GCF_947461875.1	Haliaeetus albicilla	Aves	ITPR2	ITPR3	0	1	0
55	55	53	2536	46	0.512	2.65189e-88	1000	0.506	0.001	GCF_949152265.1	Phoxinus phoxinus	Actinopteri	ITPR2	ITPR3	0	1	0
54	59	56	2550	48	0.567	1.1949e-90	1000	0.566	0.001	GCF_949606895.1	Notothenia rossii	Actinopteri	ITPR2	ITPR3	0	1	0
52	57	54	2550	46	0.536	7.12688e-87	1000	0.503	0.001	GCF_949987555.1	Borostomias antarcticus	Actinopteri	ITPR2	ITPR3	0	1	0
53	54	51	2550	44	0.531	8.42391e-83	1000	0.574	0.001	GCF_949987685.1	Ammodytes marinus	Actinopteri	ITPR2	ITPR3	0	1	0
56	57	56	2616	50	0.55	6.45831e-97	1000	0.577	0.001	GCF_951640355.1	Cnephaeus nilssonii	Mammalia	ITPR2	ITPR3	0	1	0
55	58	55	2550	46	0.541	8.04649e-86	1000	0.566	0.001	GCF_951799975.1	Gobius niger	Actinopteri	ITPR2	ITPR3	0	1	0
54	59	56	2550	48	0.56	2.29474e-90	1000	0.589	0.001	GCF_960531495.1	Zeus faber	Actinopteri	ITPR2	ITPR3	0	1	0
