cell	column	phase	n_loci_with	n_loci	prevalence
RYR	6795	2	4	189	0.0212
RYR	6816	0	188	189	0.9947
RYR	6892	2	188	189	0.9947
RYR	6909	1	186	189	0.9841
RYR	6910	2	2	189	0.0106
RYR	6926	2	1	189	0.0053
RYR	6929	2	184	189	0.9735
RYR	6931	1	4	189	0.0212
RYR	6973	0	11	189	0.0582
RYR	6975	0	42	189	0.2222
RYR	7011	1	188	189	0.9947
RYR	7047	0	1	189	0.0053
RYR	7048	2	186	189	0.9841
RYR	7050	0	1	189	0.0053
RYR	7092	1	187	189	0.9894
RYR	7092	2	1	189	0.0053
RYR	7132	0	2	189	0.0106
RYR	7135	0	5	189	0.0265
RYR	7166	0	1	189	0.0053
RYR	7208	1	188	189	0.9947
RYR	7237	0	4	189	0.0212
RYR	7241	0	5	189	0.0265
RYR	7269	2	1	189	0.0053
RYR	7292	2	188	189	0.9947
RYR	7327	0	187	189	0.9894
RYR	7360	1	1	189	0.0053
RYR	7365	1	1	189	0.0053
RYR	7367	0	121	189	0.6402
RYR	7417	1	1	189	0.0053
RYR	7452	0	186	189	0.9841
RYR	7455	1	2	189	0.0106
RYR	7472	0	183	189	0.9683
RYR	7549	0	1	189	0.0053
RYR	7549	1	3	189	0.0159
RYR	7586	1	1	189	0.0053
RYR	7601	0	1	189	0.0053
RYR	7635	0	1	189	0.0053
RYR	7645	0	67	189	0.3545
RYR	7645	1	1	189	0.0053
RYR	7646	1	1	189	0.0053
RYR	7657	0	126	189	0.6667
RYR	7658	1	1	189	0.0053
RYR	7669	1	1	189	0.0053
RYR	7694	2	187	189	0.9894
RYR	7696	0	1	189	0.0053
RYR	7732	0	187	189	0.9894
RYR	7733	0	1	189	0.0053
RYR	7738	1	1	189	0.0053
RYR	7797	1	1	189	0.0053
RYR	7797	2	187	189	0.9894
RYR	7803	1	1	189	0.0053
RYR	7823	0	187	189	0.9894
RYR	7832	0	1	189	0.0053
RYR	7887	0	188	189	0.9947
RYR	7984	1	188	189	0.9947
RYR	7986	0	1	189	0.0053
RYR	8021	0	189	189	1
RYR	8062	0	1	189	0.0053
RYR	8062	2	187	189	0.9894
RYR	8208	2	1	189	0.0053
RYR	8434	1	115	189	0.6085
RYR	8434	2	4	189	0.0212
RYR	8462	0	1	189	0.0053
RYR	8462	1	188	189	0.9947
RYR	8506	0	189	189	1
RYR	8592	0	189	189	1
RYR	8669	0	130	189	0.6878
RYR	8726	1	189	189	1
RYR	8852	2	5	189	0.0265
RYR	8860	1	4	189	0.0212
RYR	8922	0	7	189	0.037
RYR	9025	0	6	189	0.0317
RYR	9237	0	12	189	0.0635
RYR	9307	1	1	189	0.0053
RYR	9334	0	1	189	0.0053
RYR	9370	0	4	189	0.0212
RYR	9380	0	1	189	0.0053
RYR	9394	0	5	189	0.0265
RYR	9407	1	1	189	0.0053
RYR	9423	2	1	189	0.0053
RYR	9450	0	4	189	0.0212
RYR	9472	0	2	189	0.0106
RYR	9553	0	1	189	0.0053
RYR	9553	2	1	189	0.0053
RYR	9566	1	1	189	0.0053
RYR	9572	0	1	189	0.0053
RYR	9573	0	45	189	0.2381
RYR	9573	1	1	189	0.0053
RYR	9574	0	70	189	0.3704
RYR	9574	1	5	189	0.0265
RYR	9575	0	9	189	0.0476
RYR	9575	1	4	189	0.0212
RYR	9582	0	3	189	0.0159
RYR	9582	1	2	189	0.0106
RYR	9582	2	1	189	0.0053
RYR	9583	0	5	189	0.0265
RYR	9583	2	1	189	0.0053
RYR	9585	0	6	189	0.0317
RYR	9585	2	1	189	0.0053
RYR	9586	0	3	189	0.0159
RYR	9586	1	1	189	0.0053
RYR	9587	0	11	189	0.0582
RYR	9587	2	1	189	0.0053
RYR	9588	0	1	189	0.0053
RYR	9591	1	1	189	0.0053
RYR	9592	1	1	189	0.0053
RYR	9595	1	1	189	0.0053
RYR	9595	2	1	189	0.0053
RYR	9602	2	1	189	0.0053
RYR	9603	2	1	189	0.0053
RYR	9617	2	174	189	0.9206
RYR	9618	2	1	189	0.0053
RYR	9623	0	1	189	0.0053
RYR	9688	0	189	189	1
RYR	9719	0	174	189	0.9206
RYR	9720	1	1	189	0.0053
RYR	9721	0	1	189	0.0053
RYR	9721	1	1	189	0.0053
RYR	9728	0	2	189	0.0106
RYR	9728	1	1	189	0.0053
RYR	9729	0	1	189	0.0053
RYR	9730	0	2	189	0.0106
RYR	9732	0	1	189	0.0053
RYR	9756	1	1	189	0.0053
RYR	9770	1	1	189	0.0053
RYR	9777	2	1	189	0.0053
RYR	9787	1	1	189	0.0053
RYR	9926	0	189	189	1
RYR	10023	2	189	189	1
RYR	10064	0	188	189	0.9947
RYR	10109	1	1	189	0.0053
RYR	10109	2	1	189	0.0053
RYR	10110	2	181	189	0.9577
RYR	10111	2	1	189	0.0053
RYR	10144	0	189	189	1
RYR	10197	0	189	189	1
RYR	10377	0	189	189	1
RYR	10471	1	189	189	1
RYR	10493	0	189	189	1
RYR	10539	2	189	189	1
RYR	10563	0	189	189	1
